Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;48211;1;0.024115;1.582767;0.075207;-0.999489;0.030324;-0.008584;0.005312;0.091942;1.524335;0.413731;0.585769;0.757641;-0.132961;0.255298;0.119616;1.528929;0.374859;0.925711;-0.226669;-0.302617;-0.010161;0.127996;1.469880;0.383059;0.663052;-0.665019;-0.283424;-0.194376;0.098210;1.545332;0.402367;0.836141;0.456377;-0.248049;0.176242;0.096920;1.502371;0.410582;0.585769;0.757641;-0.132961;0.255298;0.107560;1.523691;0.422498;0.461178;0.847623;-0.147878;0.216754;0.139665;1.531413;0.385196;0.917768;-0.203743;-0.332343;-0.075756;0.142389;1.469762;0.391705;0.663052;-0.665019;-0.283424;-0.194376;0.114414;1.549914;0.415545;0.768604;0.541041;-0.288161;0.182994;0.113169;1.501612;0.411297;0.461178;0.847623;-0.147878;0.216754;0.146853;1.483381;0.386949;0.663052;-0.665019;-0.283424;-0.194376;0.162449;1.562264;0.443899;0.780840;-0.369277;-0.313382;-0.394608;0.163126;1.517528;0.418446;0.746612;-0.484801;-0.225817;-0.395659;0.161749;1.472085;0.409341;0.653574;-0.545666;-0.322554;-0.413581;0.164575;1.545691;0.431799;0.784774;-0.370017;-0.264236;-0.421186;0.158965;1.581222;0.455117;0.780840;-0.369277;-0.313382;-0.394608;2023/04/27 11:57:02.9164;0.117023;1.526288;0.434422;0.503771;0.771249;-0.326291;0.211953;0.152812;1.526569;0.401004;0.894791;-0.234096;-0.341369;-0.167381;0.157649;1.471961;0.401482;0.663052;-0.665019;-0.283424;-0.194376;0.131719;1.547688;0.427040;0.793725;0.458998;-0.390582;0.082264;0.115990;1.503139;0.425691;0.503771;0.771249;-0.326291;0.211953;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080752;1.520167;0.388756;0.814628;-0.343529;0.215141;0.414829;0.115720;1.466979;0.382953;0.457757;-0.751884;-0.014035;0.474270;0.091744;1.489271;0.378625;0.706181;-0.586231;0.093566;0.385859;0.081913;1.539402;0.404695;0.814628;-0.343529;0.215141;0.414829;10;0.154041;1.435349;0.388702;0.663052;-0.665019;-0.283424;-0.194376
NA;48212;2;0.024329;1.583523;0.075435;-0.999427;0.032064;-0.009382;0.005533;0.092071;1.524426;0.414614;0.581629;0.760742;-0.131197;0.256451;0.119661;1.529088;0.375845;0.925628;-0.226923;-0.302694;-0.009790;0.128028;1.470049;0.384137;0.662467;-0.665572;-0.283569;-0.194270;0.098246;1.545499;0.403340;0.834808;0.458778;-0.247306;0.177363;0.097199;1.502525;0.411270;0.581629;0.760742;-0.131197;0.256451;0.107641;1.523820;0.423437;0.459545;0.848536;-0.146654;0.217482;0.139709;1.531584;0.386181;0.917732;-0.203754;-0.332579;-0.075130;0.142418;1.469941;0.392787;0.662467;-0.665572;-0.283569;-0.194270;0.114429;1.550069;0.416516;0.768019;0.541830;-0.287663;0.183897;0.113334;1.501795;0.412174;0.459545;0.848536;-0.146654;0.217482;0.146887;1.483554;0.388013;0.662467;-0.665572;-0.283569;-0.194270;0.162462;1.562515;0.444858;0.780559;-0.369722;-0.313776;-0.394433;0.163161;1.517748;0.419458;0.746351;-0.485081;-0.226310;-0.395526;0.161777;1.472291;0.410426;0.653059;-0.546197;-0.322888;-0.413432;0.164594;1.545927;0.432780;0.784515;-0.370435;-0.264662;-0.421033;0.158974;1.581488;0.456049;0.780559;-0.369722;-0.313776;-0.394433;2023/04/27 11:57:02.9276;0.117073;1.526401;0.435366;0.502180;0.772378;-0.325417;0.212958;0.152852;1.526763;0.402000;0.894836;-0.233773;-0.341730;-0.166852;0.157678;1.472155;0.402566;0.662467;-0.665572;-0.283569;-0.194270;0.131719;1.547851;0.428027;0.793108;0.460062;-0.390375;0.083246;0.116138;1.503270;0.426574;0.502180;0.772378;-0.325417;0.212958;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080829;1.520386;0.389659;0.814925;-0.343995;0.215500;0.413673;0.115752;1.467148;0.384030;0.457150;-0.752752;-0.013448;0.473494;0.091806;1.489455;0.379617;0.705762;-0.587297;0.093760;0.384958;0.082019;1.539639;0.405573;0.814925;-0.343995;0.215500;0.413673;21;0.154065;1.435524;0.389845;0.662467;-0.665572;-0.283569;-0.194270
NA;48213;3;0.024441;1.584122;0.075923;-0.999286;0.035703;-0.010666;0.006250;0.092180;1.524490;0.415445;0.577583;0.763745;-0.129395;0.257583;0.119686;1.529223;0.376774;0.925557;-0.227142;-0.302759;-0.009342;0.128047;1.470196;0.385160;0.661912;-0.666102;-0.283731;-0.194105;0.098260;1.545638;0.404259;0.833491;0.461151;-0.246511;0.178510;0.097457;1.502655;0.411912;0.577583;0.763745;-0.129395;0.257583;0.107698;1.523933;0.424331;0.458170;0.849311;-0.145481;0.218145;0.139733;1.531734;0.387109;0.917701;-0.203788;-0.332793;-0.074456;0.142436;1.470101;0.393812;0.661912;-0.666102;-0.283731;-0.194105;0.114425;1.550203;0.417430;0.767581;0.542428;-0.287158;0.184748;0.113467;1.501954;0.413017;0.458170;0.849311;-0.145481;0.218145;0.146907;1.483707;0.389018;0.661912;-0.666102;-0.283731;-0.194105;0.162427;1.562739;0.445770;0.780480;-0.369780;-0.314371;-0.394062;0.163181;1.517950;0.420410;0.746246;-0.485165;-0.226948;-0.395255;0.161793;1.472478;0.411451;0.652589;-0.546710;-0.323230;-0.413229;0.164579;1.546141;0.433709;0.784424;-0.370585;-0.265231;-0.420712;0.158914;1.581718;0.456943;0.780480;-0.369780;-0.314371;-0.394062;2023/04/27 11:57:02.9393;0.117103;1.526485;0.436258;0.500632;0.773504;-0.324463;0.213969;0.152874;1.526938;0.402936;0.894920;-0.233372;-0.342100;-0.166203;0.157696;1.472330;0.403591;0.661912;-0.666102;-0.283731;-0.194105;0.131695;1.547986;0.428959;0.792538;0.461089;-0.390102;0.084260;0.116267;1.503373;0.427408;0.500632;0.773504;-0.324463;0.213969;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080891;1.520578;0.390529;0.815207;-0.344308;0.215969;0.412610;0.115771;1.467295;0.385054;0.456569;-0.753516;-0.012848;0.472858;0.091851;1.489615;0.380566;0.705366;-0.588233;0.094039;0.384185;0.082118;1.539847;0.406421;0.815207;-0.344308;0.215969;0.412610;33;0.154080;1.435679;0.390928;0.661912;-0.666102;-0.283731;-0.194105
NA;48214;4;0.024511;1.584740;0.076444;-0.999038;0.041338;-0.012178;0.008112;0.092195;1.524172;0.415785;0.573796;0.766510;-0.126876;0.259080;0.119599;1.528953;0.377209;0.925348;-0.227881;-0.302878;-0.008153;0.128004;1.469949;0.385722;0.661277;-0.666745;-0.284122;-0.193489;0.098149;1.545389;0.404662;0.832341;0.463213;-0.245226;0.180295;0.097648;1.502407;0.412088;0.573796;0.766510;-0.126876;0.259080;0.107684;1.523644;0.424710;0.456477;0.850313;-0.143569;0.219053;0.139647;1.531501;0.387534;0.917693;-0.203953;-0.332984;-0.073246;0.142395;1.469884;0.394372;0.661277;-0.666745;-0.284122;-0.193489;0.114303;1.549949;0.417838;0.766906;0.543458;-0.286120;0.186129;0.113564;1.501725;0.413336;0.456477;0.850313;-0.143569;0.219053;0.146855;1.483483;0.389548;0.661277;-0.666745;-0.284122;-0.193489;0.162273;1.562639;0.446138;0.780496;-0.369980;-0.315266;-0.393127;0.163110;1.517807;0.420861;0.746053;-0.485677;-0.227776;-0.394514;0.161754;1.472315;0.412002;0.652168;-0.547350;-0.323819;-0.412584;0.164463;1.546026;0.434105;0.784464;-0.370861;-0.266133;-0.419823;0.158715;1.581629;0.457279;0.780496;-0.369980;-0.315266;-0.393127;2023/04/27 11:57:02.9505;0.117072;1.526215;0.436623;0.498897;0.774910;-0.322763;0.215502;0.152794;1.526749;0.403369;0.894913;-0.233666;-0.342475;-0.165049;0.157655;1.472147;0.404143;0.661277;-0.666745;-0.284122;-0.193489;0.131570;1.547791;0.429361;0.791915;0.462414;-0.389407;0.086056;0.116382;1.503119;0.427717;0.498897;0.774910;-0.322763;0.215502;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080823;1.520311;0.390986;0.815044;-0.344517;0.216688;0.412382;0.115731;1.467039;0.385623;0.455552;-0.754031;-0.012561;0.473025;0.091796;1.489333;0.381084;0.704663;-0.588946;0.094352;0.384305;0.082077;1.539598;0.406854;0.815044;-0.344517;0.216688;0.412382;44;0.154064;1.435464;0.391562;0.661277;-0.666745;-0.284122;-0.193489
NA;48215;5;0.024621;1.584978;0.076787;-0.998855;0.045053;-0.013289;0.009115;0.092203;1.523865;0.416117;0.570102;0.769175;-0.124326;0.260569;0.119505;1.528691;0.377633;0.925128;-0.228643;-0.303005;-0.006906;0.127957;1.469712;0.386270;0.660670;-0.667363;-0.284508;-0.192862;0.098029;1.545149;0.405054;0.831218;0.465211;-0.243907;0.182110;0.097830;1.502173;0.412261;0.570102;0.769175;-0.124326;0.260569;0.107663;1.523363;0.425079;0.454817;0.851295;-0.141660;0.219935;0.139553;1.531277;0.387948;0.917690;-0.204108;-0.333161;-0.072032;0.142349;1.469676;0.394917;0.660670;-0.667363;-0.284508;-0.192862;0.114174;1.549703;0.418236;0.766235;0.544487;-0.285069;0.187496;0.113652;1.501504;0.413646;0.454817;0.851295;-0.141660;0.219935;0.146798;1.483268;0.390063;0.660670;-0.667363;-0.284508;-0.192862;0.162101;1.562543;0.446498;0.780596;-0.370013;-0.316244;-0.392111;0.163034;1.517671;0.421299;0.745905;-0.486136;-0.228641;-0.393726;0.161711;1.472159;0.412537;0.651776;-0.547967;-0.324395;-0.411931;0.164336;1.545917;0.434491;0.784580;-0.371008;-0.267100;-0.418862;0.158491;1.581540;0.457610;0.780596;-0.370013;-0.316244;-0.392111;2023/04/27 11:57:02.9607;0.117039;1.525953;0.436975;0.497128;0.776342;-0.321000;0.217060;0.152707;1.526568;0.403791;0.894903;-0.233998;-0.342844;-0.163861;0.157610;1.471971;0.404680;0.660670;-0.667363;-0.284508;-0.192862;0.131440;1.547606;0.429750;0.791279;0.463773;-0.388673;0.087898;0.116497;1.502875;0.428013;0.497128;0.776342;-0.321000;0.217060;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080745;1.520046;0.391452;0.814858;-0.344583;0.217466;0.412284;0.115686;1.466792;0.386180;0.454566;-0.754436;-0.012315;0.473334;0.091731;1.489057;0.381601;0.703994;-0.589515;0.094701;0.384573;0.082028;1.539347;0.407301;0.814858;-0.344583;0.217466;0.412284;54;0.154044;1.435260;0.392178;0.660670;-0.667363;-0.284508;-0.192862
NA;48216;6;0.024708;1.585029;0.076831;-0.998719;0.047622;-0.014028;0.009802;0.092206;1.523566;0.416440;0.566418;0.771802;-0.121725;0.262060;0.119405;1.528437;0.378048;0.924901;-0.229419;-0.303138;-0.005609;0.127905;1.469483;0.386806;0.660087;-0.667960;-0.284891;-0.192226;0.097903;1.544916;0.405435;0.830091;0.467201;-0.242549;0.183962;0.098007;1.501948;0.412427;0.566418;0.771802;-0.121725;0.262060;0.107639;1.523088;0.425440;0.453148;0.852278;-0.139738;0.220803;0.139453;1.531059;0.388353;0.917695;-0.204244;-0.333327;-0.070809;0.142300;1.469476;0.395449;0.660087;-0.667960;-0.284891;-0.192226;0.114040;1.549462;0.418627;0.765548;0.545539;-0.283998;0.188861;0.113736;1.501290;0.413948;0.453148;0.852278;-0.139738;0.220803;0.146737;1.483061;0.390566;0.660087;-0.667960;-0.284891;-0.192226;0.161915;1.562450;0.446851;0.780764;-0.369907;-0.317290;-0.391029;0.162953;1.517542;0.421727;0.745797;-0.486551;-0.229536;-0.392898;0.161664;1.472011;0.413060;0.651408;-0.548565;-0.324960;-0.411272;0.164200;1.545814;0.434868;0.784758;-0.371047;-0.268120;-0.417840;0.158245;1.581450;0.457937;0.780764;-0.369907;-0.317290;-0.391029;2023/04/27 11:57:02.9723;0.117004;1.525696;0.437315;0.495302;0.777816;-0.319175;0.218644;0.152615;1.526394;0.404203;0.894894;-0.234349;-0.343209;-0.162644;0.157561;1.471803;0.405204;0.660087;-0.667960;-0.284891;-0.192226;0.131304;1.547429;0.430129;0.790616;0.465184;-0.387902;0.089789;0.116615;1.502637;0.428295;0.495302;0.777816;-0.319175;0.218644;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080659;1.519784;0.391925;0.814660;-0.344529;0.218293;0.412283;0.115636;1.466553;0.386726;0.453605;-0.754755;-0.012100;0.473752;0.091658;1.488786;0.382116;0.703354;-0.589970;0.095080;0.384952;0.081973;1.539096;0.407758;0.814660;-0.344529;0.218293;0.412283;65;0.154021;1.435063;0.392778;0.660087;-0.667960;-0.284891;-0.192226
NA;48217;7;0.024867;1.585008;0.076803;-0.998676;0.048299;-0.014438;0.010254;0.092138;1.523686;0.417839;0.562418;0.774712;-0.122367;0.261790;0.119319;1.528656;0.379536;0.925229;-0.228242;-0.302988;-0.007471;0.127636;1.469638;0.388052;0.661067;-0.667060;-0.283582;-0.193914;0.097853;1.545101;0.406971;0.828662;0.469725;-0.243361;0.182906;0.097971;1.502118;0.413612;0.562418;0.774712;-0.122367;0.261790;0.107540;1.523170;0.426882;0.451189;0.853245;-0.141176;0.220161;0.139372;1.531176;0.389857;0.917867;-0.203212;-0.333043;-0.072850;0.142025;1.469552;0.396703;0.661067;-0.667060;-0.283582;-0.193914;0.114007;1.549557;0.420184;0.764560;0.546790;-0.285196;0.187434;0.113599;1.501418;0.415283;0.451189;0.853245;-0.141176;0.220161;0.146507;1.483147;0.391882;0.661067;-0.667060;-0.283582;-0.193914;0.161811;1.562239;0.448517;0.781452;-0.367291;-0.317000;-0.392355;0.162820;1.517454;0.423184;0.746348;-0.485016;-0.228516;-0.394340;0.161393;1.471962;0.414336;0.651807;-0.547711;-0.323399;-0.413005;0.164112;1.545667;0.436447;0.785421;-0.368546;-0.267677;-0.419091;0.158119;1.581176;0.459702;0.781452;-0.367291;-0.317000;-0.392355;2023/04/27 11:57:02.9835;0.116901;1.525602;0.438763;0.492868;0.779111;-0.320332;0.217844;0.152515;1.526408;0.405692;0.895210;-0.232479;-0.342817;-0.164404;0.157292;1.471798;0.406478;0.661067;-0.667060;-0.283582;-0.193914;0.131232;1.547358;0.431708;0.789218;0.467137;-0.388718;0.088409;0.116503;1.502599;0.429602;0.492868;0.779111;-0.320332;0.217844;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080548;1.520064;0.393282;0.816474;-0.342251;0.217852;0.410823;0.115359;1.466742;0.387945;0.455654;-0.754365;-0.012100;0.472406;0.091458;1.489066;0.383374;0.705157;-0.588785;0.094844;0.383525;0.081941;1.539295;0.409207;0.816474;-0.342251;0.217852;0.410823;77;0.153642;1.435118;0.393906;0.661067;-0.667060;-0.283582;-0.193914
NA;48218;8;0.024910;1.584883;0.076740;-0.998683;0.047994;-0.014522;0.010824;0.092410;1.524052;0.415878;0.561399;0.774631;-0.121249;0.264720;0.119677;1.528710;0.377771;0.923431;-0.232831;-0.304983;-0.007061;0.127788;1.469759;0.386936;0.656640;-0.670437;-0.285210;-0.194918;0.098105;1.545441;0.404950;0.828812;0.468110;-0.243974;0.185528;0.098377;1.502517;0.411668;0.561399;0.774631;-0.121249;0.264720;0.107712;1.523684;0.425055;0.453471;0.851347;-0.141251;0.222758;0.139688;1.531283;0.388160;0.915984;-0.207946;-0.335345;-0.072638;0.142134;1.469724;0.395657;0.656640;-0.670437;-0.285210;-0.194918;0.114220;1.550016;0.418183;0.766030;0.543318;-0.286367;0.189729;0.113840;1.501864;0.413622;0.453471;0.851347;-0.141251;0.222758;0.146678;1.483258;0.390718;0.656640;-0.670437;-0.285210;-0.194918;0.161852;1.562887;0.446593;0.778808;-0.369531;-0.321445;-0.391890;0.162941;1.517844;0.421738;0.742756;-0.488295;-0.232066;-0.395002;0.161427;1.472266;0.413358;0.647604;-0.550583;-0.326314;-0.413506;0.164221;1.546198;0.434700;0.782722;-0.371153;-0.272040;-0.419029;0.158078;1.581925;0.457579;0.778808;-0.369531;-0.321445;-0.391890;2023/04/27 11:57:02.9942;0.117020;1.526165;0.436937;0.493853;0.777420;-0.320223;0.221775;0.152743;1.526643;0.404105;0.893070;-0.236802;-0.345626;-0.163995;0.157363;1.472032;0.405483;0.656640;-0.670437;-0.285210;-0.194918;0.131368;1.547886;0.429808;0.789741;0.464249;-0.390381;0.091572;0.116737;1.503109;0.427907;0.493853;0.777420;-0.320223;0.221775;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080802;1.520371;0.391357;0.815807;-0.347431;0.218385;0.407501;0.115503;1.466894;0.386798;0.452272;-0.758057;-0.009691;0.469794;0.091693;1.489237;0.381861;0.702561;-0.593731;0.095688;0.380441;0.082168;1.539769;0.407080;0.815807;-0.347431;0.218385;0.407501;88;0.153669;1.435233;0.393277;0.656640;-0.670437;-0.285210;-0.194918
NA;48219;9;0.024891;1.584555;0.076758;-0.998722;0.047160;-0.014219;0.011320;0.092672;1.524342;0.414078;0.559910;0.774946;-0.119864;0.267569;0.120000;1.528737;0.376167;0.921774;-0.236970;-0.306816;-0.006517;0.127923;1.469857;0.385935;0.652519;-0.673554;-0.286724;-0.195788;0.098329;1.545720;0.403110;0.828715;0.467042;-0.244328;0.188168;0.098786;1.502850;0.409860;0.559910;0.774946;-0.119864;0.267569;0.107876;1.524126;0.423382;0.455311;0.849739;-0.141118;0.225214;0.139973;1.531361;0.386616;0.914240;-0.212260;-0.337456;-0.072353;0.142231;1.469871;0.394718;0.652519;-0.673554;-0.286724;-0.195788;0.114409;1.550412;0.416357;0.767255;0.540292;-0.287332;0.191952;0.114078;1.502253;0.412092;0.455311;0.849739;-0.141118;0.225214;0.146831;1.483346;0.389671;0.652519;-0.673554;-0.286724;-0.195788;0.161878;1.563472;0.444826;0.776421;-0.371486;-0.325687;-0.391277;0.163048;1.518192;0.420423;0.739402;-0.491373;-0.235404;-0.395504;0.161455;1.472539;0.412480;0.643704;-0.553240;-0.329020;-0.413904;0.164314;1.546675;0.433099;0.780255;-0.373527;-0.276171;-0.418820;0.158018;1.582599;0.455626;0.776421;-0.371486;-0.325687;-0.391277;2023/04/27 11:57:03.0064;0.117137;1.526654;0.435262;0.494453;0.776090;-0.319872;0.225573;0.152947;1.526844;0.402662;0.891076;-0.240813;-0.348222;-0.163508;0.157424;1.472238;0.404590;0.652519;-0.673554;-0.286724;-0.195788;0.131487;1.548353;0.428070;0.790103;0.461804;-0.391801;0.094693;0.116978;1.503554;0.426342;0.494453;0.776090;-0.319872;0.225573;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.081028;1.520627;0.389604;0.815082;-0.352312;0.218873;0.404490;0.115633;1.467019;0.385768;0.449092;-0.761428;-0.007463;0.467428;0.091905;1.489373;0.380496;0.700042;-0.598349;0.096447;0.377648;0.082365;1.540181;0.405135;0.815082;-0.352312;0.218873;0.404490;100;0.153690;1.435331;0.392726;0.652519;-0.673554;-0.286724;-0.195788
NA;48220;10;0.025112;1.585133;0.076770;-0.998810;0.045494;-0.013438;0.011372;0.092436;1.524050;0.415448;0.556624;0.778703;-0.116275;0.265088;0.119376;1.528584;0.377398;0.923225;-0.236192;-0.303052;-0.005303;0.127418;1.469691;0.386969;0.654621;-0.673499;-0.283904;-0.193055;0.097917;1.545508;0.404546;0.828162;0.470559;-0.240305;0.187017;0.098628;1.502626;0.411003;0.556624;0.778703;-0.116275;0.265088;0.107705;1.523848;0.424652;0.453318;0.852112;-0.138238;0.222032;0.139436;1.531195;0.387682;0.915864;-0.211694;-0.333600;-0.071342;0.141804;1.469693;0.395625;0.654621;-0.673499;-0.283904;-0.193055;0.114111;1.550177;0.417670;0.767207;0.542897;-0.283735;0.190134;0.113888;1.502055;0.413196;0.453318;0.852112;-0.138238;0.222032;0.146350;1.483177;0.390561;0.654621;-0.673499;-0.283904;-0.193055;0.161611;1.563118;0.445857;0.779813;-0.368677;-0.323976;-0.388598;0.162807;1.517958;0.421258;0.741717;-0.491181;-0.232723;-0.392985;0.161175;1.472323;0.413218;0.645908;-0.554115;-0.325933;-0.411737;0.164081;1.546400;0.434025;0.783255;-0.371705;-0.273984;-0.416270;0.157662;1.582146;0.456799;0.779813;-0.368677;-0.323976;-0.388598;2023/04/27 11:57:03.0176;0.117071;1.526266;0.436433;0.492564;0.779344;-0.316520;0.223203;0.152550;1.526647;0.403606;0.892926;-0.240256;-0.344508;-0.162095;0.157076;1.472039;0.405362;0.654621;-0.673499;-0.283904;-0.193055;0.131267;1.548065;0.429239;0.790241;0.464981;-0.387970;0.093763;0.116981;1.503221;0.427372;0.492564;0.779344;-0.316520;0.223203;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.080585;1.520457;0.391239;0.814747;-0.348812;0.222430;0.406253;0.115127;1.466853;0.386916;0.450184;-0.758598;-0.005878;0.470988;0.091355;1.489226;0.381929;0.700585;-0.595386;0.099457;0.380532;0.082096;1.539957;0.406822;0.814747;-0.348812;0.222430;0.406253;111;0.153263;1.435159;0.393440;0.654621;-0.673499;-0.283904;-0.193055
