Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;20066;1;0.001150;1.572563;0.048663;-0.999800;-0.017350;-0.000248;0.009983;0.146750;1.486400;0.383771;0.347840;0.930707;0.037304;0.106776;0.154301;1.497028;0.342792;0.975143;-0.183542;-0.108318;0.060636;0.176319;1.442173;0.332450;0.793546;-0.577964;-0.190358;0.002404;0.145306;1.510312;0.377815;0.780962;0.614345;-0.044073;0.103617;0.152141;1.471131;0.367805;0.347840;0.930707;0.037304;0.106776;0.164182;1.487320;0.390641;0.327797;0.943650;0.013595;0.043463;0.176018;1.503274;0.344884;0.981802;-0.136238;-0.131707;0.012535;0.192853;1.444759;0.334283;0.793546;-0.577964;-0.190358;0.002404;0.164594;1.514794;0.385353;0.765293;0.630829;-0.086987;0.093882;0.166797;1.470774;0.371568;0.327797;0.943650;0.013595;0.043463;0.191920;1.459388;0.331359;0.793546;-0.577964;-0.190358;0.002404;0.194606;1.486287;0.393472;0.384363;0.884961;-0.248589;0.085512;0.213716;1.491357;0.361785;0.952488;-0.194792;-0.205445;-0.112320;0.216868;1.449269;0.342589;0.805982;-0.505889;-0.192521;-0.239593;0.202870;1.504376;0.387986;0.795374;0.556823;-0.238698;-0.018742;0.192880;1.469569;0.378812;0.384363;0.884961;-0.248589;0.085512;2023/04/27 11:51:49.2061;0.179013;1.486158;0.393857;0.303121;0.942324;-0.113007;0.085860;0.195375;1.499823;0.352604;0.975958;-0.152329;-0.150097;-0.042110;0.209855;1.449250;0.337165;0.793546;-0.577964;-0.190358;0.002404;0.184279;1.512100;0.388589;0.771790;0.613514;-0.161288;0.043895;0.181137;1.470230;0.375015;0.303121;0.942324;-0.113007;0.085860;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119350;1.483089;0.347830;0.459384;-0.654413;0.006819;0.600552;0.166223;1.436233;0.337082;0.480742;-0.638144;0.021783;0.600987;0.141585;1.457359;0.343178;0.551399;-0.656988;0.024438;0.513545;0.099479;1.498077;0.350254;0.459384;-0.654413;0.006819;0.600552;11;0.207822;1.415502;0.317833;0.793546;-0.577964;-0.190358;0.002404
NA;20067;2;0.001241;1.572781;0.048889;-0.999811;-0.016176;-0.000553;0.010739;0.146744;1.487331;0.382744;0.354419;0.928075;0.033481;0.109287;0.154698;1.497486;0.341684;0.973930;-0.189075;-0.111375;0.057502;0.176412;1.442391;0.331992;0.790254;-0.582146;-0.191315;-0.001614;0.145503;1.511180;0.376496;0.784703;0.609163;-0.048626;0.103911;0.152167;1.471820;0.367025;0.354419;0.928075;0.033481;0.109287;0.164132;1.488260;0.389744;0.334000;0.941407;0.009215;0.045958;0.176441;1.503603;0.343882;0.980517;-0.142362;-0.135024;0.009401;0.192950;1.444880;0.333926;0.790254;-0.582146;-0.191315;-0.001614;0.164780;1.515664;0.384125;0.769111;0.625455;-0.091645;0.094209;0.166779;1.471454;0.370905;0.334000;0.941407;0.009215;0.045958;0.192140;1.459490;0.330866;0.790254;-0.582146;-0.191315;-0.001614;0.194559;1.487087;0.392783;0.389678;0.881079;-0.252950;0.088700;0.213930;1.491580;0.361170;0.949983;-0.201557;-0.208727;-0.115504;0.216934;1.449302;0.342372;0.802175;-0.509235;-0.194849;-0.243370;0.203008;1.505034;0.387118;0.798107;0.550652;-0.243862;-0.018428;0.192800;1.470190;0.378334;0.389678;0.881079;-0.252950;0.088700;2023/04/27 11:51:49.2183;0.178941;1.487055;0.393077;0.309084;0.939591;-0.117110;0.088999;0.195716;1.500088;0.351777;0.974264;-0.158721;-0.153503;-0.045319;0.209962;1.449282;0.336897;0.790254;-0.582146;-0.191315;-0.001614;0.184439;1.512889;0.387522;0.775204;0.607841;-0.166190;0.044376;0.181086;1.470870;0.374460;0.309084;0.939591;-0.117110;0.088999;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119519;1.483732;0.346620;0.456478;-0.659568;0.008051;0.597104;0.166242;1.436562;0.336599;0.479997;-0.641905;0.024386;0.597467;0.141685;1.457873;0.342369;0.549615;-0.661375;0.025880;0.509742;0.099645;1.498767;0.348702;0.456478;-0.659568;0.008051;0.597104;22;0.207840;1.415378;0.317850;0.790254;-0.582146;-0.191315;-0.001614
NA;20068;3;0.001326;1.572856;0.049092;-0.999819;-0.015057;-0.000886;0.011587;0.146651;1.487285;0.384098;0.353582;0.928414;0.032505;0.109409;0.154647;1.497551;0.343072;0.974214;-0.187718;-0.111654;0.056592;0.176250;1.442450;0.333175;0.791354;-0.580817;-0.190792;-0.002862;0.145448;1.511154;0.377919;0.783876;0.610230;-0.049473;0.103491;0.152062;1.471797;0.368353;0.353582;0.928414;0.032505;0.109409;0.164031;1.488206;0.391151;0.333963;0.941440;0.007897;0.045803;0.176402;1.503614;0.345298;0.980646;-0.141468;-0.135103;0.008163;0.192793;1.444897;0.335121;0.791354;-0.580817;-0.190792;-0.002862;0.164748;1.515615;0.385562;0.768865;0.625736;-0.092649;0.093371;0.166646;1.471397;0.372309;0.333963;0.941440;0.007897;0.045803;0.192013;1.459519;0.332115;0.791354;-0.580817;-0.190792;-0.002862;0.194488;1.487124;0.394212;0.392021;0.879599;-0.254869;0.087556;0.213862;1.491447;0.362547;0.949569;-0.203130;-0.208047;-0.117356;0.216782;1.449236;0.343587;0.802883;-0.507862;-0.193936;-0.244630;0.203021;1.505008;0.388473;0.799175;0.548596;-0.244843;-0.020330;0.192615;1.470175;0.379839;0.392021;0.879599;-0.254869;0.087556;2023/04/27 11:51:49.2285;0.178841;1.487048;0.394490;0.309381;0.939348;-0.118502;0.088690;0.195668;1.500029;0.353183;0.974172;-0.158959;-0.153424;-0.046707;0.209812;1.449251;0.338110;0.791354;-0.580817;-0.190792;-0.002862;0.184416;1.512863;0.388925;0.775381;0.607421;-0.167167;0.043351;0.180943;1.470849;0.375879;0.309381;0.939348;-0.118502;0.088690;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119441;1.483842;0.348002;0.457477;-0.659065;0.006813;0.596911;0.166068;1.436624;0.337761;0.481855;-0.640775;0.023833;0.597207;0.141552;1.457956;0.343629;0.551535;-0.660027;0.025629;0.509428;0.099562;1.498865;0.350118;0.457477;-0.659065;0.006813;0.596911;33;0.207623;1.415425;0.318932;0.791354;-0.580817;-0.190792;-0.002862
NA;20069;4;0.001395;1.572807;0.049282;-0.999822;-0.014199;-0.001352;0.012332;0.146584;1.487237;0.385375;0.352658;0.928786;0.031562;0.109515;0.154619;1.497609;0.344386;0.974485;-0.186422;-0.111913;0.055695;0.176114;1.442501;0.334298;0.792382;-0.579576;-0.190276;-0.004078;0.145417;1.511125;0.379266;0.783017;0.611336;-0.050287;0.103072;0.151983;1.471775;0.369599;0.352658;0.928786;0.031562;0.109515;0.163955;1.488147;0.392483;0.333982;0.941451;0.006604;0.045643;0.176386;1.503619;0.346639;0.980775;-0.140572;-0.135174;0.006960;0.192661;1.444908;0.336255;0.792382;-0.579576;-0.190276;-0.004078;0.164740;1.515559;0.386923;0.768633;0.625997;-0.093624;0.092548;0.166538;1.471333;0.373642;0.333982;0.941451;0.006604;0.045643;0.191910;1.459541;0.333300;0.792382;-0.579576;-0.190276;-0.004078;0.194439;1.487163;0.395570;0.394500;0.878055;-0.256755;0.086415;0.213818;1.491314;0.363851;0.949149;-0.204719;-0.207385;-0.119155;0.216656;1.449165;0.344739;0.803532;-0.506578;-0.193058;-0.245854;0.203056;1.504982;0.389754;0.800297;0.546458;-0.245797;-0.022198;0.192453;1.470157;0.381280;0.394500;0.878055;-0.256755;0.086415;2023/04/27 11:51:49.2402;0.178766;1.487040;0.395829;0.309728;0.939090;-0.119855;0.088396;0.195643;1.499967;0.354515;0.974075;-0.159225;-0.153353;-0.048047;0.209687;1.449215;0.339261;0.792382;-0.579576;-0.190276;-0.004078;0.184416;1.512836;0.390251;0.775581;0.606973;-0.168117;0.042363;0.180827;1.470826;0.377226;0.309728;0.939090;-0.119855;0.088396;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119403;1.483961;0.349309;0.458572;-0.658561;0.005844;0.596636;0.165920;1.436680;0.338865;0.483632;-0.639778;0.023421;0.596855;0.141448;1.458039;0.344818;0.553466;-0.658727;0.025591;0.509017;0.099527;1.498983;0.351457;0.458572;-0.658561;0.005844;0.596636;45;0.207433;1.415463;0.319960;0.792382;-0.579576;-0.190276;-0.004078
NA;20070;5;0.001496;1.572606;0.049440;-0.999812;-0.014143;-0.001814;0.013117;0.146538;1.487186;0.386590;0.351680;0.929176;0.030646;0.109611;0.154611;1.497662;0.345642;0.974743;-0.185183;-0.112160;0.054811;0.175998;1.442546;0.335373;0.793353;-0.578405;-0.189766;-0.005267;0.145406;1.511095;0.380553;0.782139;0.612464;-0.051075;0.102659;0.151926;1.471753;0.370782;0.351680;0.929176;0.030646;0.109611;0.163900;1.488084;0.393758;0.334068;0.941436;0.005326;0.045479;0.176390;1.503620;0.347920;0.980900;-0.139685;-0.135239;0.005782;0.192550;1.444913;0.337340;0.793353;-0.578405;-0.189766;-0.005267;0.164752;1.515500;0.388224;0.768425;0.626229;-0.094577;0.091734;0.166450;1.471262;0.374919;0.334068;0.941436;0.005326;0.045479;0.191827;1.459557;0.334432;0.793353;-0.578405;-0.189766;-0.005267;0.194411;1.487206;0.396874;0.397138;0.876427;-0.258624;0.085267;0.213793;1.491180;0.365097;0.948712;-0.206368;-0.206728;-0.120917;0.216550;1.449092;0.345841;0.804132;-0.505364;-0.192207;-0.247052;0.203111;1.504957;0.390975;0.801488;0.544208;-0.246731;-0.024053;0.192309;1.470140;0.382671;0.397138;0.876427;-0.258624;0.085267;2023/04/27 11:51:49.2514;0.178711;1.487033;0.397110;0.310140;0.938811;-0.121180;0.088113;0.195638;1.499901;0.355787;0.973968;-0.159539;-0.153288;-0.049353;0.209582;1.449174;0.340361;0.793353;-0.578405;-0.189766;-0.005267;0.184435;1.512810;0.391517;0.775817;0.606479;-0.169048;0.041402;0.180731;1.470801;0.378518;0.310140;0.938811;-0.121180;0.088113;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119396;1.484086;0.350556;0.459725;-0.658067;0.005075;0.596301;0.165793;1.436731;0.339922;0.485346;-0.638883;0.023121;0.596434;0.141367;1.458121;0.345951;0.555406;-0.657463;0.025720;0.508533;0.099529;1.499116;0.352737;0.459725;-0.658067;0.005075;0.596301;56;0.207264;1.415493;0.320944;0.793353;-0.578405;-0.189766;-0.005267
NA;20071;6;0.001604;1.573087;0.049291;-0.999785;-0.015477;-0.002109;0.013673;0.147016;1.487245;0.386322;0.355384;0.927849;0.032274;0.108434;0.154948;1.497515;0.345256;0.974379;-0.187505;-0.110670;0.056394;0.176339;1.442366;0.335155;0.792324;-0.580219;-0.188565;-0.003408;0.145825;1.511110;0.380125;0.784214;0.609985;-0.049033;0.102583;0.152382;1.471690;0.370627;0.355384;0.927849;0.032274;0.108434;0.164390;1.488341;0.393448;0.338473;0.939918;0.006391;0.044156;0.176730;1.503502;0.347425;0.980513;-0.143697;-0.133773;0.007043;0.192895;1.444755;0.337055;0.792324;-0.580219;-0.188565;-0.003408;0.165204;1.515707;0.387664;0.771356;0.622925;-0.092738;0.091509;0.166897;1.471345;0.374761;0.338473;0.939918;0.006391;0.044156;0.192155;1.459389;0.334090;0.792324;-0.580219;-0.188565;-0.003408;0.194975;1.487613;0.396461;0.403579;0.873695;-0.258411;0.083696;0.214206;1.491176;0.364523;0.947938;-0.212156;-0.204648;-0.120509;0.216929;1.448999;0.345457;0.803386;-0.507649;-0.191530;-0.245315;0.203696;1.505265;0.390303;0.805364;0.538960;-0.245502;-0.025296;0.192733;1.470375;0.382489;0.403579;0.873695;-0.258411;0.083696;2023/04/27 11:51:49.2631;0.179235;1.487363;0.396738;0.314568;0.937564;-0.120272;0.086924;0.196010;1.499838;0.355239;0.973481;-0.164244;-0.151690;-0.048464;0.209941;1.449050;0.340003;0.792324;-0.580219;-0.188565;-0.003408;0.184943;1.513086;0.390887;0.778915;0.602959;-0.167486;0.040988;0.181185;1.470965;0.378285;0.314568;0.937564;-0.120272;0.086924;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.119635;1.483796;0.350408;0.456313;-0.658593;0.004808;0.598341;0.166150;1.436561;0.339754;0.483453;-0.638433;0.024067;0.598413;0.141686;1.457897;0.345818;0.553263;-0.657609;0.026340;0.510644;0.099677;1.498711;0.352556;0.456313;-0.658593;0.004808;0.598341;67;0.207581;1.415275;0.320755;0.792324;-0.580219;-0.188565;-0.003408
NA;20072;7;0.001731;1.572849;0.049449;-0.999758;-0.016912;-0.002655;0.013828;0.148570;1.487489;0.387809;0.355583;0.928499;0.031210;0.102354;0.156124;1.497789;0.346646;0.975324;-0.186517;-0.104864;0.054385;0.177113;1.442575;0.336070;0.794617;-0.578989;-0.182614;-0.002643;0.147463;1.511365;0.381641;0.784581;0.610630;-0.046764;0.096832;0.153670;1.471899;0.372060;0.355583;0.928499;0.031210;0.102354;0.166032;1.488488;0.394753;0.338303;0.940252;0.005448;0.038051;0.177960;1.503653;0.348598;0.981367;-0.143198;-0.128021;0.004957;0.193701;1.444870;0.337795;0.794617;-0.578989;-0.182614;-0.002643;0.166942;1.515852;0.388981;0.771867;0.623447;-0.090395;0.085818;0.168234;1.471488;0.376031;0.338303;0.940252;0.005448;0.038051;0.193004;1.459519;0.334900;0.794617;-0.578989;-0.182614;-0.002643;0.196711;1.487868;0.397460;0.409510;0.871123;-0.260060;0.076264;0.215559;1.491058;0.365223;0.948093;-0.216472;-0.197645;-0.123273;0.217849;1.448951;0.345945;0.804906;-0.507756;-0.185180;-0.244986;0.205531;1.505386;0.391063;0.808701;0.534741;-0.242913;-0.032378;0.194077;1.470543;0.383666;0.409510;0.871123;-0.260060;0.076264;2023/04/27 11:51:49.2727;0.180920;1.487517;0.397882;0.315778;0.937546;-0.121731;0.080464;0.197306;1.499855;0.356180;0.974123;-0.165272;-0.145533;-0.050896;0.210800;1.449062;0.340569;0.794617;-0.578989;-0.182614;-0.002643;0.186742;1.513195;0.391946;0.780235;0.602293;-0.165120;0.034811;0.182543;1.471098;0.379417;0.315778;0.937546;-0.121731;0.080464;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.120760;1.484160;0.352266;0.458651;-0.653916;0.006829;0.601654;0.166946;1.436803;0.340759;0.486236;-0.633245;0.026708;0.601550;0.142645;1.458200;0.347251;0.555959;-0.652733;0.029747;0.513774;0.100866;1.499113;0.354723;0.458651;-0.653916;0.006829;0.601654;78;0.208049;1.415385;0.321203;0.794617;-0.578989;-0.182614;-0.002643
NA;20073;8;0.001861;1.572495;0.049593;-0.999726;-0.018762;-0.002830;0.013704;0.150043;1.487722;0.389236;0.355907;0.929029;0.030067;0.096600;0.157246;1.498038;0.347983;0.976157;-0.185739;-0.099396;0.052341;0.177848;1.442766;0.336962;0.796757;-0.577786;-0.177026;-0.001995;0.149022;1.511606;0.383086;0.785012;0.611077;-0.044738;0.091320;0.154887;1.472095;0.373442;0.355907;0.929029;0.030067;0.096600;0.167585;1.488614;0.396007;0.338164;0.940522;0.004481;0.032311;0.179130;1.503786;0.349731;0.982133;-0.142718;-0.122627;0.002920;0.194466;1.444972;0.338522;0.796757;-0.577786;-0.177026;-0.001995;0.168592;1.515978;0.390244;0.772341;0.623884;-0.088257;0.080425;0.169500;1.471611;0.377256;0.338164;0.940522;0.004481;0.032311;0.193810;1.459636;0.335694;0.796757;-0.577786;-0.177026;-0.001995;0.198360;1.488129;0.398432;0.415641;0.868316;-0.261692;0.069188;0.216837;1.490934;0.365911;0.948073;-0.220955;-0.190985;-0.125941;0.218715;1.448898;0.346435;0.806305;-0.507800;-0.179209;-0.244735;0.207274;1.505508;0.391790;0.812063;0.530266;-0.240500;-0.039141;0.195346;1.470711;0.384834;0.415641;0.868316;-0.261692;0.069188;2023/04/27 11:51:49.2844;0.182513;1.487662;0.398990;0.317039;0.937431;-0.123198;0.074369;0.198535;1.499859;0.357095;0.974661;-0.166355;-0.139732;-0.053272;0.211612;1.449067;0.341134;0.796757;-0.577786;-0.177026;-0.001995;0.188449;1.513293;0.392964;0.781536;0.601507;-0.162957;0.028934;0.183825;1.471220;0.380520;0.317039;0.937431;-0.123198;0.074369;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.121847;1.484499;0.354055;0.460985;-0.649378;0.008801;0.604751;0.167704;1.437026;0.341737;0.488895;-0.628286;0.029213;0.604471;0.143564;1.458479;0.348633;0.558589;-0.648011;0.033035;0.516691;0.102022;1.499491;0.356809;0.460985;-0.649378;0.008801;0.604751;89;0.208490;1.415485;0.321657;0.796757;-0.577786;-0.177026;-0.001995
NA;20074;9;0.001986;1.572057;0.049728;-0.999688;-0.020866;-0.002827;0.013431;0.149683;1.488263;0.388990;0.360840;0.926996;0.028162;0.098385;0.157138;1.498186;0.347657;0.975136;-0.190332;-0.101457;0.050896;0.177612;1.442780;0.337096;0.794492;-0.580621;-0.177890;-0.004041;0.148769;1.512087;0.382595;0.788081;0.606820;-0.047321;0.091967;0.154563;1.472461;0.373382;0.360840;0.926996;0.028162;0.098385;0.167216;1.489166;0.395812;0.341796;0.939162;0.002145;0.033848;0.179033;1.503873;0.349468;0.981185;-0.147442;-0.124644;0.001258;0.194230;1.444942;0.338714;0.794492;-0.580621;-0.177890;-0.004041;0.168352;1.516475;0.389818;0.774963;0.620193;-0.090879;0.080831;0.169156;1.472014;0.377199;0.341796;0.939162;0.002145;0.033848;0.193631;1.459586;0.335781;0.794492;-0.580621;-0.177890;-0.004041;0.198045;1.488857;0.398427;0.422579;0.863828;-0.265011;0.070688;0.216624;1.491003;0.365901;0.945581;-0.228974;-0.192283;-0.128352;0.218451;1.448837;0.346704;0.803863;-0.510120;-0.180987;-0.246629;0.207111;1.506054;0.391524;0.815913;0.522733;-0.243830;-0.039784;0.194925;1.471246;0.385104;0.422579;0.863828;-0.265011;0.070688;2023/04/27 11:51:49.2961;0.182130;1.488336;0.398919;0.322439;0.935100;-0.125599;0.076465;0.198391;1.499931;0.356945;0.973162;-0.172675;-0.141789;-0.055085;0.211372;1.448994;0.341369;0.794492;-0.580621;-0.177890;-0.004041;0.188214;1.513861;0.392598;0.784996;0.596147;-0.165910;0.029399;0.183448;1.471671;0.380650;0.322439;0.935100;-0.125599;0.076465;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.121640;1.484761;0.353731;0.458489;-0.652665;0.009773;0.603094;0.167431;1.437106;0.341872;0.487942;-0.630595;0.031182;0.602736;0.143333;1.458669;0.348568;0.556945;-0.650855;0.034204;0.514812;0.101797;1.499767;0.356270;0.458489;-0.652665;0.009773;0.603094;100;0.208229;1.415299;0.322095;0.794492;-0.580621;-0.177890;-0.004041
NA;20075;10;0.002067;1.571571;0.049900;-0.999643;-0.022941;-0.002752;0.013440;0.149785;1.487814;0.389030;0.361628;0.926782;0.027204;0.097779;0.157243;1.497714;0.347681;0.975205;-0.190472;-0.101016;0.049907;0.177611;1.442288;0.337004;0.795010;-0.580144;-0.177118;-0.004644;0.148921;1.511637;0.382622;0.788369;0.606560;-0.047794;0.090970;0.154621;1.471979;0.373443;0.361628;0.926782;0.027204;0.097779;0.167325;1.488736;0.395842;0.342130;0.939061;0.001353;0.033310;0.179148;1.503362;0.349485;0.981118;-0.148197;-0.124281;0.000384;0.194233;1.444418;0.338618;0.795010;-0.580144;-0.177118;-0.004644;0.168511;1.516037;0.389823;0.775335;0.619780;-0.091265;0.079994;0.169224;1.471568;0.377239;0.342130;0.939061;0.001353;0.033310;0.193662;1.459072;0.335718;0.795010;-0.580144;-0.177118;-0.004644;0.198246;1.488756;0.398518;0.429019;0.860076;-0.267413;0.068575;0.216729;1.490403;0.365871;0.944224;-0.234832;-0.190333;-0.130644;0.218472;1.448264;0.346606;0.804122;-0.509724;-0.180079;-0.247267;0.207429;1.505791;0.391371;0.819379;0.516683;-0.244581;-0.042866;0.194911;1.471004;0.385437;0.429019;0.860076;-0.267413;0.068575;2023/04/27 11:51:49.3073;0.182249;1.488052;0.398977;0.324604;0.934237;-0.126851;0.075781;0.198505;1.499375;0.356943;0.972683;-0.175475;-0.141124;-0.056389;0.211390;1.448442;0.341277;0.795010;-0.580144;-0.177118;-0.004644;0.188416;1.513526;0.392533;0.786499;0.594058;-0.166500;0.028150;0.183496;1.471306;0.380778;0.324604;0.934237;-0.126851;0.075781;63c55e9e-4bde-4df7-8c53-52b9a93d925e;0.121659;1.484284;0.353718;0.458488;-0.652815;0.008663;0.602948;0.167419;1.436621;0.341765;0.488901;-0.630036;0.030810;0.602563;0.143341;1.458190;0.348509;0.557720;-0.650371;0.033787;0.514611;0.101793;1.499260;0.356247;0.458488;-0.652815;0.008663;0.602948;112;0.208176;1.414782;0.321951;0.795010;-0.580144;-0.177118;-0.004644
