Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;120161;1;-0.024558;1.604805;-0.003104;0.979866;0.177498;0.083397;0.037432;0.110700;1.612126;0.330928;0.957405;-0.158543;-0.221456;-0.095904;0.121463;1.557626;0.305298;0.759871;-0.610049;-0.162568;-0.154948;0.133438;1.497901;0.309795;0.712463;-0.647602;-0.231918;-0.138649;0.119176;1.596155;0.313292;0.914789;-0.318722;-0.222037;-0.110801;0.102093;1.621126;0.350583;0.957405;-0.158543;-0.221456;-0.095904;0.119379;1.548269;0.351015;0.269735;0.947487;-0.078583;0.152760;0.143358;1.560208;0.312588;0.950367;-0.170699;-0.246501;-0.083080;0.149860;1.497833;0.315340;0.712463;-0.647602;-0.231918;-0.138649;0.123721;1.576510;0.349179;0.717262;0.645936;-0.225173;0.132660;0.125818;1.533368;0.330739;0.269735;0.947487;-0.078583;0.152760;0.152281;1.511403;0.309245;0.712463;-0.647602;-0.231918;-0.138649;0.145392;1.522937;0.359643;0.188735;0.920411;-0.248130;0.235914;0.173015;1.544506;0.341040;0.919399;0.056062;-0.381559;-0.077308;0.171397;1.498808;0.328396;0.705395;-0.546385;-0.261133;-0.368362;0.150338;1.543098;0.363470;0.628127;0.697981;-0.321687;0.121645;0.152266;1.511431;0.341175;0.188735;0.920411;-0.248130;0.235914;2023/04/28 12:32:56.6752;0.131930;1.530357;0.356119;0.198179;0.942429;-0.170210;0.208759;0.159417;1.554617;0.325930;0.953765;-0.012406;-0.291386;-0.072614;0.165943;1.499107;0.321154;0.712463;-0.647602;-0.231918;-0.138649;0.136964;1.557292;0.359562;0.649813;0.698211;-0.273584;0.124081;0.139727;1.517610;0.335656;0.198179;0.942429;-0.170210;0.208759;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.091685;1.546478;0.341786;0.792327;-0.130744;0.375019;0.463125;0.121568;1.495193;0.313930;0.507299;-0.601448;0.036094;0.616121;0.097763;1.517315;0.323186;0.712083;-0.444012;0.195034;0.507694;0.103091;1.561666;0.358931;0.792327;-0.130744;0.375019;0.463125;11;0.161204;1.462598;0.305901;0.712463;-0.647602;-0.231918;-0.138649
NA;120162;2;-0.024502;1.604990;-0.002269;0.979949;0.176789;0.084278;0.036643;0.110117;1.611905;0.331891;0.957542;-0.155492;-0.222932;-0.096114;0.121024;1.557550;0.306026;0.761155;-0.607861;-0.163761;-0.155986;0.133045;1.497820;0.310308;0.713555;-0.645691;-0.233136;-0.139897;0.118673;1.596038;0.314200;0.915326;-0.315964;-0.223481;-0.111362;0.101430;1.620780;0.351568;0.957542;-0.155492;-0.222932;-0.096114;0.118793;1.547992;0.351699;0.267581;0.947818;-0.079000;0.154276;0.142892;1.560122;0.313401;0.950367;-0.168331;-0.247986;-0.083490;0.149450;1.497745;0.315907;0.713555;-0.645691;-0.233136;-0.139897;0.123118;1.576244;0.349998;0.715443;0.647344;-0.226395;0.133541;0.125310;1.533180;0.331382;0.267581;0.947818;-0.079000;0.154276;0.151875;1.511341;0.309874;0.713555;-0.645691;-0.233136;-0.139897;0.144806;1.522642;0.360302;0.186434;0.920502;-0.248480;0.237016;0.172468;1.544325;0.341884;0.918664;0.058423;-0.382938;-0.077468;0.170939;1.498681;0.329035;0.706330;-0.544088;-0.261786;-0.369506;0.149716;1.542792;0.364229;0.626063;0.699254;-0.322616;0.122505;0.151751;1.511213;0.341812;0.186434;0.920502;-0.248480;0.237016;2023/04/28 12:32:56.6864;0.131346;1.530062;0.356759;0.195700;0.942596;-0.170573;0.210047;0.158912;1.554489;0.326772;0.953334;-0.009935;-0.292837;-0.072819;0.165509;1.499007;0.321776;0.713555;-0.645691;-0.233136;-0.139897;0.136343;1.556985;0.360340;0.647717;0.699596;-0.274621;0.124947;0.139223;1.517413;0.336266;0.195700;0.942596;-0.170573;0.210047;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.091156;1.546238;0.342368;0.792949;-0.130458;0.372475;0.464194;0.121166;1.495084;0.314397;0.508449;-0.601357;0.033856;0.615389;0.097321;1.517155;0.323671;0.713100;-0.443507;0.192638;0.507622;0.102471;1.561379;0.359615;0.792949;-0.130458;0.372475;0.464194;22;0.160858;1.462561;0.306347;0.713555;-0.645691;-0.233136;-0.139897
NA;120163;3;-0.024365;1.605045;-0.001547;0.979999;0.176360;0.084823;0.036119;0.109558;1.611686;0.332794;0.957689;-0.152477;-0.224326;-0.096230;0.120608;1.557475;0.306706;0.762357;-0.605801;-0.164899;-0.156924;0.132671;1.497741;0.310791;0.714559;-0.643916;-0.234262;-0.141062;0.118192;1.595922;0.315047;0.915863;-0.313258;-0.224856;-0.111820;0.100794;1.620437;0.352491;0.957689;-0.152477;-0.224326;-0.096230;0.118239;1.547730;0.352336;0.265634;0.948102;-0.079423;0.155673;0.142449;1.560036;0.314161;0.950356;-0.166148;-0.249359;-0.083894;0.149060;1.497657;0.316438;0.714559;-0.643916;-0.234262;-0.141062;0.122549;1.575991;0.350762;0.713757;0.648635;-0.227544;0.134342;0.124828;1.532998;0.331985;0.265634;0.948102;-0.079423;0.155673;0.151488;1.511278;0.310464;0.714559;-0.643916;-0.234262;-0.141062;0.144252;1.522359;0.360916;0.184331;0.920575;-0.248794;0.238045;0.171951;1.544150;0.342672;0.917972;0.060636;-0.384228;-0.077587;0.170503;1.498557;0.329633;0.707187;-0.541955;-0.262389;-0.370573;0.149129;1.542499;0.364937;0.624138;0.700437;-0.323466;0.123328;0.151263;1.511002;0.342407;0.184331;0.920575;-0.248794;0.238045;2023/04/28 12:32:56.6981;0.130793;1.529781;0.357357;0.193476;0.942725;-0.170934;0.211232;0.158433;1.554363;0.327559;0.952925;-0.007634;-0.294188;-0.073008;0.165096;1.498907;0.322358;0.714559;-0.643916;-0.234262;-0.141062;0.135755;1.556694;0.361066;0.645784;0.700858;-0.275588;0.125746;0.138743;1.517220;0.336838;0.193476;0.942725;-0.170934;0.211232;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.090664;1.546013;0.342918;0.793511;-0.130210;0.370124;0.465183;0.120784;1.494979;0.314839;0.509536;-0.601239;0.031830;0.614713;0.096904;1.517004;0.324131;0.714052;-0.443004;0.190470;0.507541;0.101893;1.561111;0.360259;0.793511;-0.130210;0.370124;0.465183;33;0.160526;1.462520;0.306767;0.714559;-0.643916;-0.234262;-0.141062
NA;120164;4;-0.024175;1.604880;-0.000903;0.979960;0.176407;0.085367;0.035648;0.108886;1.611647;0.333444;0.958185;-0.148222;-0.225289;-0.095692;0.120149;1.557664;0.307001;0.764428;-0.602830;-0.166022;-0.157109;0.132305;1.497933;0.310843;0.715876;-0.641947;-0.235268;-0.141686;0.117610;1.596048;0.315597;0.916980;-0.309265;-0.225959;-0.111562;0.100048;1.620214;0.353189;0.958185;-0.148222;-0.225289;-0.095692;0.117695;1.547753;0.352592;0.263682;0.948480;-0.079377;0.156707;0.141970;1.560229;0.314515;0.950445;-0.164173;-0.250317;-0.083927;0.148681;1.497851;0.316526;0.715876;-0.641947;-0.235268;-0.141686;0.121971;1.576026;0.351132;0.712220;0.649965;-0.228130;0.135073;0.124347;1.533106;0.332200;0.263682;0.948480;-0.079377;0.156707;0.151099;1.511503;0.310618;0.715876;-0.641947;-0.235268;-0.141686;0.143731;1.522354;0.361124;0.182404;0.920807;-0.248768;0.238658;0.171436;1.544264;0.343019;0.917499;0.062828;-0.385029;-0.077470;0.170094;1.498728;0.329771;0.708437;-0.539729;-0.262782;-0.371155;0.148568;1.542488;0.365228;0.622445;0.701673;-0.323809;0.123955;0.150792;1.511068;0.342591;0.182404;0.920807;-0.248768;0.238658;2023/04/28 12:32:56.7093;0.130265;1.529780;0.357564;0.191321;0.942993;-0.170927;0.212003;0.157933;1.554522;0.327923;0.952678;-0.005416;-0.295051;-0.072938;0.164702;1.499102;0.322486;0.715876;-0.641947;-0.235268;-0.141686;0.135182;1.556685;0.361391;0.644011;0.702200;-0.276035;0.126373;0.138273;1.517310;0.337013;0.191321;0.942993;-0.170927;0.212003;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.090141;1.546016;0.343055;0.793852;-0.129927;0.367804;0.466517;0.120414;1.495133;0.314853;0.510415;-0.601001;0.029543;0.614330;0.096482;1.517090;0.324174;0.714769;-0.442505;0.188098;0.507852;0.101279;1.561074;0.360488;0.793852;-0.129927;0.367804;0.466517;45;0.160228;1.462778;0.306721;0.715876;-0.641947;-0.235268;-0.141686
NA;120165;5;-0.023932;1.604666;-0.000502;0.979844;0.177120;0.085388;0.035258;0.108231;1.611583;0.334085;0.958685;-0.143904;-0.226212;-0.095097;0.119709;1.557835;0.307286;0.766507;-0.599843;-0.167127;-0.157237;0.131951;1.498107;0.310899;0.717107;-0.640089;-0.236216;-0.142288;0.117045;1.596153;0.316136;0.918116;-0.305197;-0.227034;-0.111242;0.099320;1.619962;0.353878;0.958685;-0.143904;-0.226212;-0.095097;0.117174;1.547778;0.352841;0.261917;0.948808;-0.079361;0.157684;0.141510;1.560403;0.314856;0.950501;-0.162423;-0.251223;-0.083984;0.148316;1.498028;0.316615;0.717107;-0.640089;-0.236216;-0.142288;0.121421;1.576060;0.351484;0.710824;0.651148;-0.228704;0.135756;0.123884;1.533207;0.332413;0.261917;0.948808;-0.079361;0.157684;0.150724;1.511708;0.310771;0.717107;-0.640089;-0.236216;-0.142288;0.143230;1.522346;0.361330;0.180685;0.920996;-0.248759;0.239248;0.170942;1.544363;0.343353;0.917047;0.064827;-0.385797;-0.077353;0.169700;1.498882;0.329909;0.709603;-0.537627;-0.263154;-0.371714;0.148031;1.542472;0.365508;0.620907;0.702773;-0.324147;0.124553;0.150338;1.511122;0.342777;0.180685;0.920996;-0.248759;0.239248;2023/04/28 12:32:56.7200;0.129757;1.529779;0.357770;0.189385;0.943215;-0.170952;0.212732;0.157455;1.554664;0.328272;0.952436;-0.003404;-0.295872;-0.072892;0.164323;1.499278;0.322615;0.717107;-0.640089;-0.236216;-0.142288;0.134634;1.556675;0.361703;0.642394;0.703401;-0.276479;0.126956;0.137819;1.517389;0.337191;0.189385;0.943215;-0.170952;0.212732;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.089637;1.546014;0.343180;0.794198;-0.129724;0.365573;0.467738;0.120056;1.495272;0.314871;0.511240;-0.600827;0.027390;0.613914;0.096076;1.517166;0.324214;0.715444;-0.442097;0.185832;0.508091;0.100687;1.561036;0.360701;0.794198;-0.129724;0.365573;0.467738;55;0.159939;1.463014;0.306686;0.717107;-0.640089;-0.236216;-0.142288
NA;120166;6;-0.023824;1.604284;-0.000021;0.979560;0.178668;0.085709;0.034551;0.107587;1.611498;0.334719;0.959187;-0.139514;-0.227101;-0.094452;0.119284;1.557992;0.307563;0.768600;-0.596831;-0.168221;-0.157318;0.131608;1.498267;0.310957;0.718268;-0.638321;-0.237117;-0.142872;0.116493;1.596241;0.316667;0.919268;-0.301050;-0.228086;-0.110867;0.098605;1.619684;0.354561;0.959187;-0.139514;-0.227101;-0.094452;0.116672;1.547804;0.353083;0.260307;0.949095;-0.079369;0.158615;0.141066;1.560561;0.315187;0.950531;-0.160857;-0.252088;-0.084063;0.147961;1.498189;0.316706;0.718268;-0.638321;-0.237117;-0.142872;0.120893;1.576094;0.351820;0.709544;0.652211;-0.229268;0.136399;0.123436;1.533302;0.332624;0.260307;0.949095;-0.079369;0.158615;0.150361;1.511897;0.310923;0.718268;-0.638321;-0.237117;-0.142872;0.142745;1.522334;0.361534;0.179137;0.921147;-0.248765;0.239820;0.170465;1.544449;0.343677;0.916612;0.066667;-0.386539;-0.077236;0.169318;1.499021;0.330046;0.710700;-0.535626;-0.263507;-0.372255;0.147513;1.542454;0.365780;0.619495;0.703762;-0.324481;0.125129;0.149897;1.511165;0.342964;0.179137;0.921147;-0.248765;0.239820;2023/04/28 12:32:56.7312;0.129265;1.529776;0.357974;0.187628;0.943400;-0.171004;0.213426;0.156993;1.554792;0.328611;0.952199;-0.001560;-0.296658;-0.072865;0.163954;1.499439;0.322743;0.718268;-0.638321;-0.237117;-0.142872;0.134106;1.556664;0.362005;0.640903;0.704486;-0.276921;0.127503;0.137378;1.517460;0.337370;0.187628;0.943400;-0.171004;0.213426;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.089148;1.546010;0.343296;0.794547;-0.129592;0.363409;0.468866;0.119709;1.495398;0.314893;0.512022;-0.600706;0.025347;0.613469;0.095682;1.517234;0.324253;0.716085;-0.441765;0.183651;0.508270;0.100111;1.560998;0.360901;0.794547;-0.129592;0.363409;0.468866;67;0.159656;1.463234;0.306660;0.718268;-0.638321;-0.237117;-0.142872
NA;120167;7;-0.023701;1.603898;0.000380;0.979247;0.180464;0.085846;0.033749;0.107191;1.610978;0.335034;0.959474;-0.137714;-0.227425;-0.093401;0.119093;1.557619;0.307675;0.770016;-0.594940;-0.169213;-0.156490;0.131523;1.497911;0.310969;0.718909;-0.637423;-0.237752;-0.142603;0.116161;1.595820;0.316931;0.919954;-0.298876;-0.228685;-0.109822;0.098174;1.619078;0.354896;0.959474;-0.137714;-0.227425;-0.093401;0.116482;1.547322;0.353160;0.258860;0.949478;-0.078636;0.159059;0.140866;1.560213;0.315315;0.950726;-0.159518;-0.252399;-0.083476;0.147873;1.497851;0.316726;0.718909;-0.637423;-0.237752;-0.142603;0.120644;1.575624;0.351972;0.708488;0.653334;-0.228955;0.137039;0.123289;1.532889;0.332666;0.258860;0.949478;-0.078636;0.159059;0.150251;1.511574;0.310968;0.718909;-0.637423;-0.237752;-0.142603;0.142597;1.521901;0.361587;0.178131;0.921465;-0.248138;0.240000;0.170280;1.544103;0.343792;0.916518;0.067888;-0.386669;-0.076639;0.169222;1.498698;0.330078;0.711450;-0.534651;-0.263841;-0.371989;0.147319;1.542022;0.365877;0.618538;0.704702;-0.324039;0.125716;0.149779;1.510775;0.343003;0.178131;0.921465;-0.248138;0.240000;2023/04/28 12:32:56.7418;0.129113;1.529313;0.358015;0.186138;0.943759;-0.170245;0.213746;0.156797;1.554448;0.328737;0.952188;-0.000207;-0.296859;-0.072198;0.163861;1.499119;0.322773;0.718909;-0.637423;-0.237752;-0.142603;0.133887;1.556202;0.362121;0.639712;0.705627;-0.276470;0.128157;0.137268;1.517067;0.337386;0.186138;0.943759;-0.170245;0.213746;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.088923;1.545524;0.343354;0.794154;-0.130255;0.362201;0.470281;0.119627;1.495013;0.314894;0.512026;-0.600408;0.024149;0.613805;0.095558;1.516790;0.324283;0.715806;-0.441883;0.182283;0.509053;0.099802;1.560531;0.360994;0.794154;-0.130255;0.362201;0.470281;78;0.159636;1.462935;0.306622;0.718909;-0.637423;-0.237752;-0.142603
NA;120168;8;-0.023545;1.603691;0.000806;0.978886;0.182627;0.085724;0.032880;0.106244;1.611314;0.335280;0.959077;-0.138293;-0.229209;-0.092251;0.118355;1.557924;0.308075;0.769273;-0.595341;-0.171287;-0.156363;0.130899;1.498244;0.311470;0.718331;-0.637365;-0.239601;-0.142679;0.115306;1.596138;0.317238;0.919400;-0.299411;-0.230609;-0.108980;0.097144;1.619433;0.355096;0.959077;-0.138293;-0.229209;-0.092251;0.115619;1.547696;0.353581;0.259873;0.948956;-0.078140;0.160756;0.140100;1.560573;0.315778;0.950298;-0.159897;-0.254060;-0.082593;0.147231;1.498226;0.317279;0.718331;-0.637365;-0.239601;-0.142679;0.119736;1.576002;0.352350;0.708672;0.652626;-0.229315;0.138847;0.122508;1.533219;0.333145;0.259873;0.948956;-0.078140;0.160756;0.149600;1.511949;0.311516;0.718331;-0.637365;-0.239601;-0.142679;0.141767;1.522335;0.362113;0.178328;0.921185;-0.247338;0.241747;0.169460;1.544558;0.344363;0.916071;0.067562;-0.388035;-0.075357;0.168539;1.499135;0.330699;0.711132;-0.534212;-0.265701;-0.371902;0.146437;1.542473;0.366384;0.618501;0.704321;-0.324188;0.127638;0.149025;1.511191;0.343569;0.178328;0.921185;-0.247338;0.241747;2023/04/28 12:32:56.7531;0.128269;1.529719;0.358506;0.187065;0.943314;-0.169624;0.215390;0.156001;1.554857;0.329256;0.951810;-0.000643;-0.298348;-0.071040;0.163200;1.499536;0.323377;0.718331;-0.637365;-0.239601;-0.142679;0.132988;1.556625;0.362568;0.639964;0.704977;-0.276687;0.129993;0.136496;1.517427;0.337933;0.187065;0.943314;-0.169624;0.215390;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.088062;1.545824;0.343605;0.794202;-0.132639;0.360665;0.470714;0.118996;1.495324;0.315356;0.511012;-0.602014;0.023079;0.613118;0.094849;1.517070;0.324618;0.715156;-0.443891;0.180674;0.508793;0.098818;1.560897;0.361264;0.794202;-0.132639;0.360665;0.470714;89;0.159101;1.463325;0.307255;0.718331;-0.637365;-0.239601;-0.142679
NA;120169;9;-0.023342;1.603505;0.001462;0.978585;0.184302;0.085807;0.032285;0.105350;1.611631;0.335512;0.958687;-0.138866;-0.230913;-0.091183;0.117654;1.558207;0.308461;0.768506;-0.595788;-0.173237;-0.156280;0.130306;1.498554;0.311939;0.717837;-0.637244;-0.241339;-0.142779;0.114499;1.596436;0.317529;0.918845;-0.299981;-0.232435;-0.108214;0.096173;1.619770;0.355283;0.958687;-0.138866;-0.230913;-0.091183;0.114798;1.548042;0.353989;0.260919;0.948432;-0.077736;0.162346;0.139372;1.560906;0.316225;0.949888;-0.160242;-0.255629;-0.081789;0.146619;1.498573;0.317798;0.717837;-0.637244;-0.241339;-0.142779;0.118876;1.576353;0.352716;0.708867;0.651924;-0.229688;0.140524;0.121761;1.533520;0.333611;0.260919;0.948432;-0.077736;0.162346;0.148981;1.512298;0.312035;0.717837;-0.637244;-0.241339;-0.142779;0.140977;1.522735;0.362614;0.178471;0.920918;-0.246620;0.243386;0.168681;1.544976;0.344909;0.915640;0.067271;-0.389325;-0.074195;0.167890;1.499539;0.331284;0.710875;-0.533730;-0.267430;-0.371848;0.145600;1.542887;0.366868;0.618444;0.703968;-0.324359;0.129416;0.148306;1.511575;0.344108;0.178471;0.920918;-0.246620;0.243386;2023/04/28 12:32:56.7653;0.127464;1.530096;0.358980;0.188056;0.942859;-0.169116;0.216913;0.155245;1.555235;0.329754;0.951445;-0.001051;-0.299755;-0.069986;0.162571;1.499923;0.323946;0.717837;-0.637244;-0.241339;-0.142779;0.132134;1.557016;0.362998;0.640245;0.704312;-0.276931;0.131680;0.135755;1.517755;0.338462;0.188056;0.942859;-0.169116;0.216913;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.087241;1.546099;0.343836;0.794289;-0.134869;0.359130;0.471106;0.118395;1.495612;0.315788;0.510094;-0.603554;0.022000;0.612408;0.094175;1.517328;0.324927;0.714584;-0.445789;0.179069;0.508504;0.097879;1.561231;0.361516;0.794289;-0.134869;0.359130;0.471106;100;0.158591;1.463689;0.307844;0.717837;-0.637244;-0.241339;-0.142779
NA;120170;10;-0.023063;1.603268;0.002151;0.978435;0.185105;0.085956;0.031835;0.105077;1.611169;0.334175;0.957632;-0.141948;-0.233406;-0.091183;0.117493;1.557581;0.307482;0.766479;-0.597476;-0.175453;-0.157319;0.130149;1.497949;0.311290;0.715836;-0.638471;-0.243519;-0.143641;0.114302;1.595858;0.316330;0.917329;-0.302613;-0.234861;-0.108504;0.095814;1.619448;0.353849;0.957632;-0.141948;-0.233406;-0.091183;0.114426;1.547574;0.353028;0.262416;0.947577;-0.077452;0.165038;0.139172;1.560324;0.315338;0.948987;-0.161710;-0.258263;-0.081083;0.146434;1.498001;0.317227;0.715836;-0.638471;-0.243519;-0.143641;0.118474;1.575885;0.351666;0.709449;0.650357;-0.230766;0.143057;0.121510;1.532983;0.332740;0.262416;0.947577;-0.077452;0.165038;0.148819;1.511700;0.311414;0.715836;-0.638471;-0.243519;-0.143641;0.140570;1.522376;0.361900;0.179730;0.919997;-0.246363;0.246189;0.168347;1.544534;0.344236;0.914870;0.065312;-0.391665;-0.073123;0.167639;1.499036;0.330812;0.709088;-0.534382;-0.270091;-0.372399;0.145163;1.542547;0.366095;0.619055;0.702451;-0.325457;0.131953;0.147994;1.511142;0.343476;0.179730;0.919997;-0.246363;0.246189;2023/04/28 12:32:56.7765;0.127072;1.529692;0.358171;0.189745;0.941941;-0.168819;0.219647;0.154981;1.554719;0.328969;0.950725;-0.002890;-0.302243;-0.069016;0.162356;1.499385;0.323447;0.715836;-0.638471;-0.243519;-0.143641;0.131707;1.556633;0.362091;0.641105;0.702633;-0.277987;0.134219;0.135469;1.517261;0.337751;0.189745;0.941941;-0.168819;0.219647;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.086918;1.545604;0.342787;0.794664;-0.137807;0.358201;0.470331;0.118222;1.495020;0.315093;0.508653;-0.606074;0.021927;0.611118;0.093945;1.516759;0.324027;0.713968;-0.448400;0.178465;0.507284;0.097461;1.560819;0.360453;0.794664;-0.137807;0.358201;0.470331;112;0.158467;1.463077;0.307490;0.715836;-0.638471;-0.243519;-0.143641
