Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;31243;1;-0.017220;1.516711;-0.126605;0.998717;-0.011363;0.045653;0.018755;0.109085;1.422608;0.167621;0.190534;0.967454;0.016665;0.165685;0.119391;1.446513;0.134997;0.984252;-0.012821;-0.169285;0.049267;0.133439;1.388686;0.125654;0.777657;-0.590508;-0.193558;-0.095316;0.106532;1.446842;0.171222;0.637855;0.752166;-0.085704;0.141569;0.116746;1.413442;0.148327;0.190534;0.967454;0.016665;0.165685;0.123907;1.423185;0.176391;0.256400;0.959859;-0.034685;0.108291;0.141342;1.449328;0.139800;0.979958;-0.013031;-0.197132;-0.025515;0.149593;1.388547;0.129982;0.777657;-0.590508;-0.193558;-0.095316;0.124561;1.450877;0.179913;0.649957;0.734397;-0.154028;0.120383;0.128881;1.409538;0.155638;0.256400;0.959859;-0.034685;0.108291;0.151757;1.403459;0.127990;0.777657;-0.590508;-0.193558;-0.095316;0.166434;1.464691;0.199738;0.907241;-0.202154;-0.242136;-0.278242;0.174283;1.431922;0.161084;0.880504;-0.354549;-0.170381;-0.264532;0.173204;1.389739;0.142101;0.771049;-0.503946;-0.202236;-0.332602;0.170781;1.454170;0.182585;0.910201;-0.219548;-0.187610;-0.296876;0.159732;1.476878;0.217112;0.907241;-0.202154;-0.242136;-0.278242;2023/04/28 12:52:04.1413;0.135647;1.420235;0.183778;0.284342;0.932760;-0.185008;0.121984;0.158788;1.443010;0.149803;0.971741;-0.023419;-0.218269;-0.086780;0.167011;1.390748;0.135865;0.777657;-0.590508;-0.193558;-0.095316;0.142182;1.446306;0.185519;0.681477;0.690358;-0.236037;0.057276;0.138224;1.404716;0.164721;0.284342;0.932760;-0.185008;0.121984;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.081279;1.422338;0.159565;0.772221;-0.087012;0.310078;0.547683;0.121819;1.384213;0.127601;0.497851;-0.577893;-0.094196;0.639775;0.094360;1.399203;0.137959;0.698804;-0.423358;0.073208;0.571910;0.090044;1.435091;0.179143;0.772221;-0.087012;0.310078;0.547683;11;0.162171;1.357589;0.116180;0.777657;-0.590508;-0.193558;-0.095316
NA;31244;2;-0.016988;1.516790;-0.126520;0.998719;-0.011634;0.045501;0.018847;0.108892;1.422565;0.169365;0.191309;0.968224;0.023099;0.159405;0.118477;1.446491;0.136506;0.985206;-0.012871;-0.161953;0.054547;0.132951;1.388783;0.127104;0.778833;-0.591191;-0.190712;-0.086843;0.106156;1.446786;0.172918;0.639125;0.752457;-0.077047;0.139254;0.116356;1.413404;0.149991;0.191309;0.968224;0.023099;0.159405;0.123878;1.423235;0.177786;0.254846;0.961137;-0.027353;0.102572;0.140469;1.449532;0.140973;0.981523;-0.012452;-0.189868;-0.020226;0.149171;1.388815;0.131183;0.778833;-0.591191;-0.190712;-0.086843;0.124275;1.450929;0.181331;0.649984;0.736487;-0.145168;0.118463;0.128699;1.409696;0.156926;0.254846;0.961137;-0.027353;0.102572;0.151154;1.403737;0.129115;0.778833;-0.591191;-0.190712;-0.086843;0.166957;1.465519;0.200525;0.906324;-0.222510;-0.227532;-0.278021;0.173895;1.432501;0.161799;0.883097;-0.354950;-0.162860;-0.260053;0.172945;1.390262;0.142933;0.773554;-0.506363;-0.199302;-0.324791;0.170687;1.454658;0.183439;0.909778;-0.233015;-0.175250;-0.295460;0.161103;1.478312;0.217769;0.906324;-0.222510;-0.227532;-0.278021;2023/04/28 12:52:04.1519;0.135624;1.420370;0.185237;0.290237;0.932850;-0.179734;0.115107;0.158125;1.443409;0.150726;0.973791;-0.022232;-0.210921;-0.082154;0.166649;1.391196;0.136789;0.778833;-0.591191;-0.190712;-0.086843;0.142033;1.446490;0.186696;0.685556;0.689298;-0.227935;0.054105;0.137929;1.404679;0.166286;0.290237;0.932850;-0.179734;0.115107;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.081008;1.421881;0.161914;0.766013;-0.084855;0.316269;0.553171;0.121408;1.384205;0.129251;0.494658;-0.571763;-0.092831;0.647907;0.093966;1.398881;0.140091;0.694584;-0.418873;0.077291;0.579763;0.089935;1.434771;0.181329;0.766013;-0.084855;0.316269;0.553171;21;0.161839;1.357942;0.117257;0.778833;-0.591191;-0.190712;-0.086843
NA;31245;3;-0.016747;1.516908;-0.126407;0.998713;-0.012236;0.045554;0.018630;0.108547;1.422134;0.170448;0.187766;0.968662;0.029364;0.159925;0.117778;1.446262;0.137643;0.984971;-0.010547;-0.161395;0.060603;0.132891;1.388760;0.128010;0.780602;-0.588748;-0.193106;-0.082135;0.105507;1.446309;0.174074;0.637209;0.753941;-0.071967;0.142682;0.116101;1.413173;0.151016;0.187766;0.968662;0.029364;0.159925;0.123568;1.422943;0.178749;0.250548;0.962345;-0.021066;0.103318;0.139744;1.449537;0.142076;0.981822;-0.009814;-0.188975;-0.014721;0.149120;1.388963;0.132052;0.780602;-0.588748;-0.193106;-0.082135;0.123611;1.450618;0.182469;0.646992;0.739569;-0.140180;0.121608;0.128533;1.409628;0.157779;0.250548;0.962345;-0.021066;0.103318;0.150925;1.403911;0.130027;0.780602;-0.588748;-0.193106;-0.082135;0.166378;1.465600;0.201671;0.908040;-0.221417;-0.225498;-0.274936;0.173405;1.432812;0.162770;0.885134;-0.353074;-0.161709;-0.256371;0.172897;1.390635;0.143751;0.776532;-0.504132;-0.200779;-0.320213;0.170128;1.454856;0.184516;0.911846;-0.230577;-0.173696;-0.291892;0.160536;1.478315;0.218977;0.908040;-0.221417;-0.225498;-0.274936;2023/04/28 12:52:04.1631;0.135348;1.420123;0.186162;0.286353;0.935052;-0.174185;0.115494;0.157488;1.443580;0.151771;0.974517;-0.018802;-0.209791;-0.077148;0.166578;1.391519;0.137623;0.780602;-0.588748;-0.193106;-0.082135;0.141442;1.446308;0.187789;0.683060;0.693039;-0.223354;0.056908;0.137813;1.404596;0.167097;0.286353;0.935052;-0.174185;0.115494;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.080630;1.421007;0.163203;0.761867;-0.083335;0.316395;0.559025;0.121407;1.384045;0.130175;0.491997;-0.568335;-0.097173;0.652298;0.093822;1.398296;0.141218;0.691388;-0.416591;0.074294;0.585590;0.089501;1.433908;0.182636;0.761867;-0.083335;0.316395;0.559025;32;0.162106;1.358285;0.117978;0.780602;-0.588748;-0.193106;-0.082135
NA;31246;4;-0.016497;1.517021;-0.126203;0.998690;-0.013778;0.045798;0.018170;0.108248;1.421739;0.171548;0.184457;0.969085;0.035728;0.159915;0.117091;1.446043;0.138778;0.984776;-0.008500;-0.160315;0.066658;0.132823;1.388747;0.128933;0.782247;-0.586589;-0.195081;-0.077111;0.104910;1.445865;0.175238;0.635517;0.755286;-0.066554;0.145713;0.115867;1.412967;0.152056;0.184457;0.969085;0.035728;0.159915;0.123311;1.422694;0.179716;0.246526;0.963478;-0.014657;0.103544;0.139033;1.449552;0.143152;0.982177;-0.007523;-0.187585;-0.009201;0.149063;1.389122;0.132921;0.782247;-0.586589;-0.195081;-0.077111;0.123006;1.450345;0.183594;0.644273;0.742469;-0.134846;0.124372;0.128392;1.409592;0.158640;0.246526;0.963478;-0.014657;0.103544;0.150689;1.404092;0.130929;0.782247;-0.586589;-0.195081;-0.077111;0.165900;1.465754;0.202743;0.909558;-0.221858;-0.222695;-0.271829;0.172945;1.433145;0.163691;0.887139;-0.351534;-0.160169;-0.252494;0.172852;1.391023;0.144544;0.779403;-0.502307;-0.201921;-0.315351;0.169624;1.455085;0.185535;0.913674;-0.229520;-0.171417;-0.288333;0.160122;1.478440;0.220092;0.909558;-0.221858;-0.222695;-0.271829;2023/04/28 12:52:04.1742;0.135132;1.419920;0.187078;0.282757;0.937199;-0.168461;0.115449;0.156873;1.443766;0.152773;0.975302;-0.015740;-0.208181;-0.072099;0.166505;1.391854;0.138438;0.782247;-0.586589;-0.195081;-0.077111;0.140913;1.446166;0.188853;0.680822;0.696597;-0.218414;0.059406;0.137737;1.404551;0.167904;0.282757;0.937199;-0.168461;0.115449;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.080302;1.420165;0.164545;0.757525;-0.081628;0.317190;0.564697;0.121401;1.383898;0.131131;0.489214;-0.564683;-0.100996;0.656965;0.093695;1.397732;0.142397;0.688033;-0.414145;0.071913;0.591543;0.089147;1.433086;0.183977;0.757525;-0.081628;0.317190;0.564697;44;0.162346;1.358631;0.118705;0.782247;-0.586589;-0.195081;-0.077111
NA;31247;5;-0.016156;1.517108;-0.125699;0.998659;-0.015267;0.046466;0.016960;0.108183;1.422285;0.172881;0.189798;0.969585;0.051908;0.145563;0.115349;1.446153;0.139413;0.986326;-0.014726;-0.143373;0.079929;0.132060;1.389084;0.129963;0.781659;-0.591713;-0.188899;-0.056584;0.104386;1.446389;0.176257;0.641495;0.752626;-0.045612;0.141274;0.115360;1.413374;0.153285;0.189798;0.969585;0.051908;0.145563;0.123519;1.423665;0.180433;0.251924;0.963534;0.001946;0.090183;0.137340;1.450225;0.142974;0.985169;-0.013870;-0.170984;0.003861;0.148420;1.389894;0.133365;0.781659;-0.591713;-0.188899;-0.056584;0.122677;1.451357;0.183922;0.650397;0.741263;-0.114070;0.120421;0.128201;1.410399;0.159367;0.251924;0.963534;0.001946;0.090183;0.149617;1.404847;0.131056;0.781659;-0.591713;-0.188899;-0.056584;0.166227;1.468248;0.201214;0.912453;-0.239663;-0.208108;-0.258229;0.172302;1.434919;0.162580;0.888925;-0.362930;-0.148940;-0.236457;0.172527;1.392502;0.144098;0.782309;-0.511440;-0.196704;-0.296191;0.169402;1.457203;0.184133;0.916173;-0.245496;-0.157778;-0.274708;0.161047;1.481374;0.218424;0.912453;-0.239663;-0.208108;-0.258229;2023/04/28 12:52:04.1848;0.135594;1.421292;0.187535;0.293581;0.937975;-0.152711;0.103407;0.155627;1.444999;0.152062;0.979325;-0.022968;-0.191953;-0.059567;0.165957;1.393091;0.138202;0.781659;-0.591713;-0.188899;-0.056584;0.140875;1.447680;0.188633;0.690264;0.693489;-0.198596;0.056289;0.137843;1.405602;0.168577;0.293581;0.937975;-0.152711;0.103407;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.080210;1.419697;0.167297;0.742987;-0.079003;0.335489;0.573739;0.120844;1.384025;0.132679;0.479039;-0.552831;-0.093696;0.675368;0.093278;1.397309;0.144911;0.675881;-0.407514;0.084490;0.608260;0.089512;1.433104;0.186178;0.742987;-0.079003;0.335489;0.573739;55;0.161894;1.359469;0.119138;0.781659;-0.591713;-0.188899;-0.056584
NA;31248;6;-0.015994;1.516971;-0.125496;0.998637;-0.016034;0.047008;0.016016;0.108088;1.422426;0.173781;0.190866;0.969977;0.065178;0.135893;0.113957;1.446113;0.139974;0.986962;-0.016856;-0.131583;0.091146;0.131635;1.389353;0.130535;0.782518;-0.592892;-0.185722;-0.040643;0.103854;1.446470;0.177062;0.643394;0.752157;-0.029405;0.139429;0.114991;1.413534;0.154078;0.190866;0.969977;0.065178;0.135893;0.123625;1.424057;0.180854;0.251988;0.964150;0.016367;0.081538;0.135937;1.450664;0.142972;0.986983;-0.015013;-0.159364;0.015543;0.148058;1.390532;0.133511;0.782518;-0.592892;-0.185722;-0.040643;0.122230;1.451738;0.184252;0.651869;0.742513;-0.097537;0.119282;0.128110;1.410847;0.159711;0.251988;0.964150;0.016367;0.081538;0.148868;1.405471;0.131042;0.782518;-0.592892;-0.185722;-0.040643;0.166131;1.469890;0.200251;0.915309;-0.249331;-0.197970;-0.246681;0.171677;1.436219;0.161817;0.891093;-0.368980;-0.141158;-0.223342;0.172339;1.393692;0.143599;0.786018;-0.515459;-0.193460;-0.281161;0.168975;1.458657;0.183235;0.918710;-0.254514;-0.148109;-0.263169;0.161290;1.483219;0.217403;0.915309;-0.249331;-0.197970;-0.246681;2023/04/28 12:52:04.1970;0.135863;1.422023;0.187777;0.298035;0.939510;-0.139271;0.095396;0.154545;1.445879;0.151645;0.982069;-0.025085;-0.180405;-0.048630;0.165618;1.394105;0.137862;0.782518;-0.592892;-0.185722;-0.040643;0.140636;1.448520;0.188548;0.694708;0.693435;-0.182903;0.055459;0.137963;1.406230;0.168888;0.298035;0.939510;-0.139271;0.095396;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.080290;1.418942;0.169421;0.730568;-0.074306;0.348229;0.582655;0.120608;1.384093;0.133614;0.471477;-0.541485;-0.091118;0.690073;0.093149;1.396775;0.146696;0.666420;-0.399785;0.091808;0.622598;0.089926;1.432628;0.187931;0.730568;-0.074306;0.348229;0.582655;66;0.161798;1.360278;0.119112;0.782518;-0.592892;-0.185722;-0.040643
NA;31249;7;-0.015782;1.516839;-0.125450;0.998631;-0.015928;0.047382;0.015435;0.108034;1.422571;0.174700;0.191784;0.970120;0.077846;0.126593;0.112658;1.446054;0.140602;0.987318;-0.018920;-0.120288;0.101859;0.131257;1.389609;0.131153;0.783157;-0.593860;-0.182622;-0.025381;0.103379;1.446548;0.177903;0.645008;0.751552;-0.013893;0.137626;0.114671;1.413693;0.154899;0.191784;0.970120;0.077846;0.126593;0.123753;1.424431;0.181305;0.251761;0.964543;0.030227;0.073215;0.134608;1.451059;0.143060;0.988464;-0.015977;-0.148209;0.026789;0.147725;1.391140;0.133716;0.783157;-0.593860;-0.182622;-0.025381;0.121822;1.452087;0.184636;0.652987;0.743624;-0.081637;0.118180;0.128046;1.411279;0.160085;0.251761;0.964543;0.030227;0.073215;0.148157;1.406055;0.131100;0.783157;-0.593860;-0.182622;-0.025381;0.166009;1.471460;0.199370;0.917672;-0.258792;-0.188253;-0.235513;0.171056;1.437446;0.161151;0.892919;-0.374716;-0.133687;-0.210740;0.172145;1.394824;0.143176;0.789378;-0.519169;-0.190291;-0.266712;0.168540;1.460037;0.182431;0.920795;-0.263319;-0.138837;-0.252040;0.161488;1.484999;0.216445;0.917672;-0.258792;-0.188253;-0.235513;2023/04/28 12:52:04.2082;0.136134;1.422727;0.188054;0.302128;0.940777;-0.126332;0.087738;0.153503;1.446699;0.151325;0.984452;-0.027066;-0.169314;-0.038127;0.165285;1.395067;0.137595;0.783157;-0.593860;-0.182622;-0.025381;0.140408;1.449315;0.188525;0.698750;0.693248;-0.167823;0.054686;0.138097;1.406836;0.169232;0.302128;0.940777;-0.126332;0.087738;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.080498;1.418235;0.171556;0.718280;-0.069409;0.360653;0.590919;0.120427;1.384166;0.134582;0.464130;-0.530118;-0.088467;0.704083;0.093121;1.396277;0.148498;0.657118;-0.391912;0.099038;0.636233;0.090459;1.432191;0.189688;0.718280;-0.069409;0.360653;0.590919;77;0.161707;1.361052;0.119140;0.783157;-0.593860;-0.182622;-0.025381
NA;31250;8;-0.015682;1.516611;-0.125428;0.998624;-0.015104;0.047885;0.015122;0.109223;1.421643;0.178217;0.193552;0.970527;0.104031;0.098956;0.110785;1.444590;0.143534;0.988210;-0.022685;-0.088734;0.122688;0.130901;1.388745;0.133801;0.784326;-0.596873;-0.168763;0.009746;0.103830;1.445477;0.181330;0.648669;0.750125;0.022302;0.126664;0.114947;1.412728;0.158150;0.193552;0.970527;0.104031;0.098956;0.125264;1.424227;0.183717;0.255626;0.963919;0.057477;0.047033;0.132640;1.450444;0.144505;0.991793;-0.021741;-0.116809;0.047219;0.147435;1.390937;0.135245;0.784326;-0.596873;-0.168763;0.009746;0.122470;1.451840;0.186786;0.658379;0.743556;-0.045577;0.107633;0.128711;1.410942;0.162426;0.255626;0.963919;0.057477;0.047033;0.147101;1.405780;0.132341;0.784326;-0.596873;-0.168763;0.009746;0.166986;1.473144;0.198227;0.923630;-0.276239;-0.163367;-0.209552;0.170657;1.438492;0.160409;0.896805;-0.387436;-0.112579;-0.181547;0.172218;1.395647;0.143010;0.795892;-0.529864;-0.176690;-0.233625;0.168750;1.461402;0.181409;0.925916;-0.279982;-0.114671;-0.226143;0.163226;1.487014;0.215221;0.923630;-0.276239;-0.163367;-0.209552;2023/04/28 12:52:04.2188;0.138071;1.423092;0.189827;0.314621;0.941879;-0.098918;0.063980;0.152176;1.446924;0.151599;0.989614;-0.034488;-0.138403;-0.017853;0.165012;1.395543;0.137878;0.784326;-0.596873;-0.168763;0.009746;0.141397;1.449818;0.189516;0.709654;0.690464;-0.132251;0.046490;0.139392;1.406853;0.171247;0.314621;0.941879;-0.098918;0.063980;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.082119;1.415887;0.177643;0.691234;-0.058931;0.389454;0.605846;0.120552;1.382985;0.138082;0.449544;-0.503545;-0.077325;0.733740;0.093910;1.394165;0.153931;0.637023;-0.373713;0.119111;0.663591;0.092814;1.430487;0.194826;0.691234;-0.058931;0.389454;0.605846;88;0.161561;1.361115;0.120178;0.784326;-0.596873;-0.168763;0.009746
NA;31251;9;-0.015537;1.516504;-0.125437;0.998631;-0.014030;0.048185;0.014755;0.108645;1.421366;0.179823;0.187364;0.971533;0.107110;0.097704;0.109909;1.444616;0.145360;0.988117;-0.017861;-0.087133;0.125358;0.130299;1.388999;0.134990;0.787802;-0.592309;-0.168462;0.012610;0.103117;1.445133;0.183194;0.644541;0.753507;0.025551;0.127047;0.114323;1.412719;0.159625;0.187364;0.971533;0.107110;0.097704;0.124726;1.423972;0.185181;0.248492;0.965622;0.061130;0.045708;0.131736;1.450583;0.146280;0.992024;-0.016645;-0.114667;0.049631;0.146831;1.391274;0.136356;0.787802;-0.592309;-0.168462;0.012610;0.121766;1.451524;0.188621;0.653317;0.748216;-0.042091;0.107604;0.128148;1.411013;0.163686;0.248492;0.965622;0.061130;0.045708;0.146382;1.406129;0.133581;0.787802;-0.592309;-0.168462;0.012610;0.166293;1.472921;0.200070;0.925407;-0.273820;-0.159676;-0.207722;0.169901;1.438681;0.161865;0.899729;-0.382554;-0.110049;-0.178968;0.171610;1.396027;0.144015;0.799724;-0.525846;-0.174914;-0.230938;0.167998;1.461342;0.183134;0.928017;-0.276195;-0.111260;-0.223882;0.162620;1.486672;0.217180;0.925407;-0.273820;-0.159676;-0.207722;2023/04/28 12:52:04.2300;0.137556;1.422768;0.191276;0.310022;0.943863;-0.095815;0.061879;0.151327;1.447100;0.153238;0.990189;-0.028693;-0.135855;-0.015670;0.164379;1.395936;0.138920;0.787802;-0.592309;-0.168462;0.012610;0.140729;1.449514;0.191239;0.706096;0.694802;-0.128690;0.046025;0.138869;1.406722;0.172529;0.310022;0.943863;-0.095815;0.061879;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.081745;1.415345;0.179622;0.687663;-0.052954;0.389667;0.610307;0.120017;1.383147;0.139307;0.450476;-0.496881;-0.080717;0.737337;0.093474;1.393977;0.155560;0.636131;-0.367521;0.116921;0.668279;0.092541;1.429817;0.196848;0.687663;-0.052954;0.389667;0.610307;100;0.161028;1.361674;0.120882;0.787802;-0.592309;-0.168462;0.012610
NA;31252;10;-0.015512;1.516496;-0.125388;0.998640;-0.012793;0.048424;0.014456;0.108118;1.421093;0.181391;0.181536;0.972434;0.110405;0.096066;0.109050;1.444624;0.147136;0.988002;-0.013262;-0.085108;0.128193;0.129726;1.389240;0.136158;0.791028;-0.588035;-0.168035;0.015918;0.102454;1.444792;0.185007;0.640628;0.756678;0.029185;0.127211;0.113735;1.412701;0.161069;0.181536;0.972434;0.110405;0.096066;0.124242;1.423732;0.186590;0.241594;0.967189;0.065080;0.044070;0.130845;1.450714;0.147987;0.992243;-0.011743;-0.112162;0.052300;0.146253;1.391607;0.137437;0.791028;-0.588035;-0.168035;0.015918;0.121108;1.451218;0.190389;0.648402;0.752709;-0.038181;0.107451;0.127624;1.411090;0.164901;0.241594;0.967189;0.065080;0.044070;0.145686;1.406472;0.134784;0.791028;-0.588035;-0.168035;0.015918;0.165617;1.472727;0.201821;0.927297;-0.271278;-0.155999;-0.205408;0.169171;1.438900;0.163238;0.902655;-0.377759;-0.107513;-0.175938;0.171034;1.396427;0.144977;0.803394;-0.522202;-0.173102;-0.227812;0.167267;1.461312;0.184769;0.930192;-0.272401;-0.107837;-0.221159;0.162022;1.486351;0.219048;0.927297;-0.271278;-0.155999;-0.205408;2023/04/28 12:52:04.2422;0.137105;1.422455;0.192645;0.305337;0.945889;-0.092241;0.059629;0.150497;1.447286;0.154798;0.990762;-0.022941;-0.133016;-0.013107;0.163774;1.396339;0.139922;0.791028;-0.588035;-0.168035;0.015918;0.140103;1.449220;0.192883;0.702497;0.699198;-0.124648;0.045632;0.138409;1.406607;0.173729;0.305337;0.945889;-0.092241;0.059629;b3fe3b05-05bd-4e37-b29e-1d981255a6dd;0.081385;1.414836;0.181499;0.684169;-0.047569;0.390144;0.614360;0.119516;1.383294;0.140513;0.450995;-0.490776;-0.083753;0.740762;0.093066;1.393793;0.157130;0.634994;-0.361992;0.114957;0.672703;0.092280;1.429203;0.198752;0.684169;-0.047569;0.390144;0.614360;112;0.160526;1.362229;0.121581;0.791028;-0.588035;-0.168035;0.015918
