Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;154417;1;0.049144;1.493696;0.080214;0.995327;0.049949;-0.061744;0.054926;0.043824;1.523952;0.492806;-0.831327;-0.234585;0.488929;-0.121713;0.093999;1.513321;0.468478;-0.825103;0.212135;0.512041;0.109624;0.101631;1.457596;0.479575;-0.615219;0.550121;0.453151;0.336938;0.064374;1.530475;0.482785;-0.840393;-0.121450;0.523928;-0.067004;0.026999;1.513671;0.502340;-0.831327;-0.234585;0.488929;-0.121713;0.050336;1.528144;0.509667;-0.764198;-0.350922;0.527822;-0.119416;0.106061;1.515561;0.486567;-0.800566;0.218990;0.528437;0.178581;0.111419;1.457520;0.492844;-0.615219;0.550121;0.453151;0.336938;0.073815;1.538211;0.501080;-0.808585;-0.180047;0.555220;-0.074186;0.032191;1.512717;0.515192;-0.764198;-0.350922;0.527822;-0.119416;0.116245;1.469888;0.487635;-0.615219;0.550121;0.453151;0.336938;0.065426;1.504845;0.532739;-0.679419;-0.294776;0.671372;-0.027527;0.112381;1.499698;0.524296;-0.753293;0.059614;0.627882;0.186442;0.119935;1.457300;0.512480;-0.599470;0.380169;0.472392;0.522450;0.084621;1.509434;0.530439;-0.745168;-0.198327;0.634662;0.050943;0.045670;1.496530;0.531333;-0.679419;-0.294776;0.671372;-0.027527;2023/05/01 13:49:21.7186;0.054995;1.518445;0.523924;-0.697092;-0.368977;0.603041;-0.119419;0.110572;1.509804;0.505552;-0.796621;0.145538;0.554045;0.192997;0.120011;1.457875;0.503961;-0.615219;0.550121;0.453151;0.336938;0.079041;1.526808;0.518664;-0.775291;-0.200031;0.599015;-0.009608;0.036185;1.503806;0.524750;-0.697092;-0.368977;0.603041;-0.119419;6e526951-250e-4037-8505-3204f70e406b;0.038209;1.489892;0.495521;-0.612370;0.520109;0.084847;-0.589314;0.089806;1.455334;0.478537;-0.522083;0.610992;0.161568;-0.572726;0.062181;1.469739;0.484935;-0.638132;0.570879;0.118291;-0.502884;0.020517;1.503105;0.505141;-0.612370;0.520109;0.084847;-0.589314;11;0.126428;1.424214;0.488703;-0.615219;0.550121;0.453151;0.336938
NA;154418;2;0.049197;1.493714;0.080286;0.995359;0.049494;-0.061488;0.055039;0.044311;1.523916;0.492962;-0.831003;-0.237491;0.487961;-0.122177;0.094444;1.513495;0.468517;-0.825984;0.210565;0.511289;0.109534;0.102033;1.457737;0.479480;-0.616002;0.550032;0.451943;0.337274;0.064818;1.530556;0.482931;-0.840487;-0.124204;0.523079;-0.067400;0.027545;1.513524;0.502481;-0.831003;-0.237491;0.487961;-0.122177;0.050886;1.528240;0.509802;-0.764048;-0.352347;0.527245;-0.118725;0.106541;1.515684;0.486590;-0.801144;0.218650;0.527435;0.179371;0.111844;1.457622;0.492732;-0.616002;0.550032;0.451943;0.337274;0.074346;1.538341;0.501204;-0.808775;-0.181308;0.554625;-0.073499;0.032763;1.512781;0.515311;-0.764048;-0.352347;0.527245;-0.118725;0.116674;1.469996;0.487545;-0.616002;0.550032;0.451943;0.337274;0.065981;1.504921;0.532815;-0.679541;-0.295574;0.670946;-0.026298;0.112909;1.499735;0.524274;-0.753826;0.059388;0.626880;0.187723;0.120394;1.457352;0.512356;-0.599987;0.380271;0.471101;0.522947;0.085176;1.509498;0.530495;-0.745429;-0.198965;0.634049;0.052246;0.046221;1.496616;0.531418;-0.679541;-0.295574;0.670946;-0.026298;2023/05/01 13:49:21.7298;0.055553;1.518567;0.524039;-0.697285;-0.369473;0.602764;-0.118151;0.111079;1.509881;0.505555;-0.797098;0.145446;0.553026;0.194017;0.120455;1.457945;0.503839;-0.616002;0.550032;0.451943;0.337274;0.079599;1.526913;0.518754;-0.775608;-0.200467;0.598477;-0.008409;0.036729;1.503945;0.524867;-0.697285;-0.369473;0.602764;-0.118151;6e526951-250e-4037-8505-3204f70e406b;0.038701;1.490122;0.495564;-0.613696;0.519029;0.084275;-0.588969;0.090205;1.455490;0.478454;-0.523210;0.610436;0.161208;-0.572390;0.062613;1.469937;0.484903;-0.639327;0.569999;0.117666;-0.502511;0.021059;1.503357;0.505245;-0.613696;0.519029;0.084275;-0.588969;22;0.126808;1.424309;0.488499;-0.616002;0.550032;0.451943;0.337274
NA;154419;3;0.049257;1.493778;0.080383;0.995402;0.049014;-0.061191;0.055033;0.044165;1.523903;0.491725;-0.829363;-0.236151;0.490593;-0.125332;0.094505;1.513509;0.467719;-0.823650;0.211359;0.514966;0.108341;0.102035;1.457804;0.478991;-0.613071;0.550015;0.455225;0.338228;0.064730;1.530567;0.481828;-0.838578;-0.123100;0.526030;-0.070189;0.027358;1.513495;0.501153;-0.829363;-0.236151;0.490593;-0.125332;0.050617;1.528432;0.508591;-0.762836;-0.350073;0.529871;-0.121522;0.106460;1.515786;0.485875;-0.798586;0.219765;0.531053;0.178735;0.111741;1.457754;0.492319;-0.613071;0.550015;0.455225;0.338228;0.074141;1.538497;0.500126;-0.807044;-0.179086;0.557565;-0.075694;0.032456;1.512994;0.514035;-0.762836;-0.350073;0.529871;-0.121522;0.116606;1.470108;0.487116;-0.613071;0.550015;0.455225;0.338228;0.065548;1.505222;0.531826;-0.677562;-0.294086;0.673465;-0.029472;0.112543;1.500011;0.523679;-0.751247;0.060462;0.630308;0.186234;0.120140;1.457579;0.512013;-0.597412;0.379495;0.474703;0.523201;0.084759;1.509797;0.529633;-0.743441;-0.197439;0.637060;0.049685;0.045808;1.496891;0.530311;-0.677562;-0.294086;0.673465;-0.029472;2023/05/01 13:49:21.7425;0.055181;1.518818;0.522904;-0.695747;-0.367545;0.605074;-0.121379;0.110853;1.510072;0.504900;-0.794607;0.146540;0.556666;0.193000;0.120266;1.458133;0.503494;-0.613071;0.550015;0.455225;0.338228;0.079263;1.527153;0.517768;-0.773741;-0.198691;0.601437;-0.010925;0.036363;1.504184;0.523655;-0.695747;-0.367545;0.605074;-0.121379;6e526951-250e-4037-8505-3204f70e406b;0.038566;1.490249;0.494399;-0.612133;0.522813;0.085355;-0.587090;0.090215;1.455547;0.477880;-0.521035;0.614010;0.162044;-0.570313;0.062569;1.470019;0.484033;-0.637403;0.573600;0.119170;-0.500499;0.020847;1.503528;0.503876;-0.612133;0.522813;0.085355;-0.587090;34;0.126753;1.424431;0.488357;-0.613071;0.550015;0.455225;0.338228
NA;154420;4;0.049321;1.493863;0.080499;0.995460;0.048410;-0.060896;0.054838;0.044051;1.523907;0.490595;-0.827924;-0.234702;0.493000;-0.128092;0.094574;1.513523;0.466990;-0.821489;0.212193;0.518286;0.107283;0.102045;1.457868;0.478543;-0.610388;0.550011;0.458182;0.339093;0.064669;1.530584;0.480818;-0.836860;-0.121891;0.528708;-0.072639;0.027202;1.513496;0.499944;-0.827924;-0.234702;0.493000;-0.128092;0.050388;1.528618;0.507486;-0.761782;-0.347843;0.532281;-0.123975;0.106400;1.515880;0.485220;-0.796238;0.220822;0.534325;0.178156;0.111657;1.457877;0.491939;-0.610388;0.550011;0.458182;0.339093;0.073972;1.538642;0.499140;-0.805494;-0.176906;0.560233;-0.077603;0.032189;1.513207;0.512873;-0.761782;-0.347843;0.532281;-0.123975;0.116555;1.470212;0.486723;-0.610388;0.550011;0.458182;0.339093;0.065172;1.505503;0.530919;-0.675779;-0.292643;0.675749;-0.032351;0.112224;1.500266;0.523132;-0.748882;0.061523;0.633410;0.184887;0.119918;1.457788;0.511696;-0.595051;0.378807;0.477957;0.523428;0.084397;1.510074;0.528842;-0.741640;-0.195947;0.639789;0.047383;0.045449;1.497152;0.529300;-0.675779;-0.292643;0.675749;-0.032351;2023/05/01 13:49:21.7527;0.054860;1.519050;0.521866;-0.694354;-0.365754;0.607158;-0.124322;0.110662;1.510247;0.504299;-0.792324;0.147570;0.559962;0.192065;0.120104;1.458307;0.503175;-0.610388;0.550011;0.458182;0.339093;0.078974;1.527373;0.516863;-0.772046;-0.197019;0.604114;-0.013205;0.036048;1.504406;0.522548;-0.694354;-0.365754;0.607158;-0.124322;6e526951-250e-4037-8505-3204f70e406b;0.038449;1.490355;0.493330;-0.610628;0.526277;0.086403;-0.585406;0.090236;1.455601;0.477354;-0.519015;0.617220;0.162844;-0.568459;0.062540;1.470090;0.483239;-0.635548;0.576915;0.120638;-0.498693;0.020658;1.503670;0.502619;-0.610628;0.526277;0.086403;-0.585406;45;0.126709;1.424544;0.488225;-0.610388;0.550011;0.458182;0.339093
NA;154421;5;0.049366;1.493975;0.080622;0.995518;0.047939;-0.060397;0.054745;0.043962;1.523925;0.489554;-0.826643;-0.233187;0.495221;-0.130545;0.094649;1.513538;0.466318;-0.819473;0.213044;0.521317;0.106326;0.102064;1.457929;0.478127;-0.607909;0.550018;0.460875;0.339884;0.064630;1.530606;0.479886;-0.835294;-0.120620;0.531164;-0.074831;0.027072;1.513517;0.498832;-0.826643;-0.233187;0.495221;-0.130545;0.050193;1.528799;0.506466;-0.760858;-0.345653;0.534514;-0.126151;0.106358;1.515969;0.484615;-0.794062;0.221832;0.537315;0.177623;0.111588;1.457993;0.491586;-0.607909;0.550018;0.460875;0.339884;0.073833;1.538778;0.498228;-0.804091;-0.174762;0.562681;-0.079282;0.031953;1.513418;0.511805;-0.760858;-0.345653;0.534514;-0.126151;0.116516;1.470310;0.486358;-0.607909;0.550018;0.460875;0.339884;0.064841;1.505770;0.530082;-0.674155;-0.291241;0.677841;-0.034995;0.111942;1.500502;0.522623;-0.746691;0.062575;0.636245;0.183655;0.119722;1.457983;0.511400;-0.592865;0.378191;0.480928;0.523632;0.084079;1.510333;0.528109;-0.739994;-0.194483;0.642289;0.045289;0.045133;1.497400;0.528367;-0.674155;-0.291241;0.677841;-0.034995;2023/05/01 13:49:21.7639;0.054581;1.519268;0.520907;-0.693080;-0.364077;0.609057;-0.127033;0.110499;1.510410;0.503743;-0.790210;0.148550;0.562979;0.191196;0.119963;1.458469;0.502879;-0.607909;0.550018;0.460875;0.339884;0.078724;1.527579;0.516025;-0.770491;-0.195430;0.606561;-0.015295;0.035774;1.504613;0.521527;-0.693080;-0.364077;0.609057;-0.127033;6e526951-250e-4037-8505-3204f70e406b;0.038347;1.490445;0.492338;-0.609175;0.529482;0.087417;-0.583878;0.090263;1.455653;0.476867;-0.517123;0.620138;0.163611;-0.566784;0.062523;1.470154;0.482507;-0.633750;0.579998;0.122071;-0.497053;0.020488;1.503791;0.501452;-0.609175;0.529482;0.087417;-0.583878;55;0.126674;1.424651;0.488101;-0.607909;0.550018;0.460875;0.339884
NA;154422;6;0.049450;1.494096;0.080751;0.995560;0.047305;-0.060020;0.054951;0.044290;1.523561;0.490914;-0.826337;-0.238806;0.493326;-0.129492;0.094869;1.513526;0.467354;-0.821736;0.209290;0.519076;0.107276;0.102438;1.457842;0.478696;-0.611451;0.547996;0.458611;0.339858;0.064884;1.530420;0.481212;-0.835823;-0.125918;0.529257;-0.073703;0.027495;1.512980;0.500168;-0.826337;-0.238806;0.493326;-0.129492;0.050587;1.528370;0.507817;-0.760470;-0.349826;0.532784;-0.124292;0.106659;1.515835;0.485614;-0.796301;0.218754;0.534962;0.178514;0.112027;1.457817;0.492110;-0.611451;0.547996;0.458611;0.339858;0.074161;1.538485;0.499552;-0.804535;-0.179043;0.560911;-0.077758;0.032417;1.512892;0.513112;-0.760470;-0.349826;0.532784;-0.124292;0.116907;1.470183;0.486950;-0.611451;0.547996;0.458611;0.339858;0.065361;1.505069;0.531162;-0.674002;-0.296182;0.675925;-0.033525;0.112449;1.500079;0.523472;-0.748644;0.058527;0.634059;0.184599;0.120252;1.457665;0.511879;-0.595945;0.376641;0.477820;0.524099;0.084568;1.509748;0.529155;-0.740499;-0.199200;0.640172;0.046490;0.045697;1.496599;0.529445;-0.674002;-0.296182;0.675925;-0.033525;2023/05/01 13:49:21.7746;0.055044;1.518660;0.522149;-0.692506;-0.368607;0.607342;-0.125301;0.110899;1.510134;0.504678;-0.792315;0.145068;0.560668;0.191950;0.120452;1.458218;0.503361;-0.611451;0.547996;0.458611;0.339858;0.079131;1.527114;0.517237;-0.770898;-0.199944;0.604601;-0.014013;0.036306;1.503916;0.522723;-0.692506;-0.368607;0.607342;-0.125301;6e526951-250e-4037-8505-3204f70e406b;0.038785;1.490199;0.493484;-0.611310;0.525598;0.088323;-0.585019;0.090635;1.455555;0.477480;-0.519691;0.616788;0.164768;-0.567755;0.062912;1.469994;0.483359;-0.636343;0.576083;0.122425;-0.498205;0.020965;1.503463;0.502792;-0.611310;0.525598;0.088323;-0.585019;66;0.127155;1.424530;0.488286;-0.611451;0.547996;0.458611;0.339858
NA;154423;7;0.049528;1.494191;0.080888;0.995577;0.046888;-0.059799;0.055253;0.044160;1.523079;0.489624;-0.824397;-0.239862;0.495320;-0.132265;0.094895;1.513215;0.466395;-0.820175;0.208591;0.521946;0.106655;0.102409;1.457551;0.477872;-0.609626;0.547326;0.460889;0.341133;0.064780;1.530041;0.480053;-0.833965;-0.127089;0.531570;-0.076047;0.027362;1.512407;0.498769;-0.824397;-0.239862;0.495320;-0.132265;0.050337;1.528072;0.506548;-0.759099;-0.348772;0.534999;-0.126109;0.106569;1.515556;0.484725;-0.794494;0.218534;0.537803;0.178297;0.111913;1.457550;0.491346;-0.609626;0.547326;0.460889;0.341133;0.073955;1.538191;0.498416;-0.802864;-0.178282;0.563344;-0.079169;0.032140;1.512597;0.511759;-0.759099;-0.348772;0.534999;-0.126109;0.116822;1.469909;0.486197;-0.609626;0.547326;0.460889;0.341133;0.064976;1.504770;0.530006;-0.671801;-0.296464;0.677861;-0.036027;0.112124;1.499861;0.522644;-0.746626;0.057900;0.636801;0.183526;0.120014;1.457431;0.511167;-0.594222;0.375374;0.480166;0.524819;0.084186;1.509484;0.528122;-0.738537;-0.199378;0.642516;0.044543;0.045347;1.496242;0.528165;-0.671801;-0.296464;0.677861;-0.036027;2023/05/01 13:49:21.7858;0.054712;1.518368;0.520916;-0.690707;-0.368091;0.609238;-0.127522;0.110690;1.509885;0.503825;-0.790481;0.144750;0.563503;0.191447;0.120268;1.457971;0.502649;-0.609626;0.547326;0.460889;0.341133;0.078819;1.526846;0.516148;-0.769073;-0.199664;0.606973;-0.015686;0.035993;1.503597;0.521391;-0.690707;-0.368091;0.609238;-0.127522;6e526951-250e-4037-8505-3204f70e406b;0.038705;1.489984;0.492196;-0.610953;0.527937;0.089448;-0.583111;0.090615;1.455258;0.476585;-0.518744;0.619337;0.165744;-0.565558;0.062864;1.469732;0.482243;-0.635895;0.578095;0.123555;-0.496163;0.020843;1.503283;0.501373;-0.610953;0.527937;0.089448;-0.583111;78;0.127076;1.424262;0.487669;-0.609626;0.547326;0.460889;0.341133
NA;154424;8;0.049626;1.494268;0.081008;0.995579;0.046572;-0.059728;0.055560;0.044047;1.522612;0.488411;-0.822537;-0.240956;0.497133;-0.135029;0.094928;1.512927;0.465493;-0.818717;0.207858;0.524665;0.105940;0.102389;1.457282;0.477098;-0.607890;0.546712;0.463023;0.342324;0.064688;1.529680;0.478963;-0.832194;-0.128311;0.533704;-0.078419;0.027252;1.511848;0.497452;-0.822537;-0.240956;0.497133;-0.135029;0.050108;1.527796;0.505352;-0.757849;-0.347665;0.537088;-0.127793;0.106492;1.515299;0.483889;-0.792791;0.218309;0.540491;0.178023;0.111812;1.457304;0.490627;-0.607890;0.546712;0.463023;0.342324;0.073768;1.537916;0.497344;-0.801305;-0.177481;0.565625;-0.080493;0.031884;1.512327;0.510487;-0.757849;-0.347665;0.537088;-0.127793;0.116749;1.469657;0.485490;-0.607890;0.546712;0.463023;0.342324;0.064624;1.504496;0.528917;-0.669743;-0.296675;0.679670;-0.038419;0.111827;1.499663;0.521864;-0.744715;0.057342;0.639388;0.182468;0.119796;1.457217;0.510497;-0.592583;0.374203;0.482370;0.525488;0.083837;1.509242;0.527147;-0.736704;-0.199465;0.644716;0.042698;0.045029;1.495915;0.526960;-0.669743;-0.296675;0.679670;-0.038419;2023/05/01 13:49:21.7974;0.054409;1.518101;0.519755;-0.689041;-0.367541;0.611015;-0.129606;0.110502;1.509658;0.503021;-0.788747;0.144462;0.566173;0.190936;0.120100;1.457745;0.501980;-0.607890;0.546712;0.463023;0.342324;0.078535;1.526600;0.515120;-0.767368;-0.199330;0.609194;-0.017253;0.035707;1.503306;0.520138;-0.689041;-0.367541;0.611015;-0.129606;6e526951-250e-4037-8505-3204f70e406b;0.038642;1.489792;0.490980;-0.610633;0.530152;0.090471;-0.581276;0.090603;1.454984;0.475743;-0.517839;0.621776;0.166636;-0.563445;0.062828;1.469493;0.481190;-0.635486;0.580002;0.124580;-0.494202;0.020743;1.503127;0.500032;-0.610633;0.530152;0.090471;-0.581276;89;0.127005;1.424015;0.487092;-0.607890;0.546712;0.463023;0.342324
NA;154425;9;0.049734;1.494305;0.081124;0.995604;0.046350;-0.059512;0.055531;0.044070;1.523210;0.488569;-0.825021;-0.238529;0.494004;-0.135665;0.094791;1.513325;0.465378;-0.819707;0.211205;0.522208;0.103785;0.102313;1.457747;0.477262;-0.607827;0.549728;0.461839;0.339190;0.064653;1.530193;0.478935;-0.834440;-0.125469;0.530714;-0.079440;0.027330;1.512516;0.497793;-0.825021;-0.238529;0.494004;-0.135665;0.050274;1.528589;0.505450;-0.761083;-0.344751;0.534481;-0.127397;0.106482;1.515799;0.483680;-0.793701;0.222258;0.538078;0.176383;0.111831;1.457845;0.490726;-0.607827;0.549728;0.461839;0.339190;0.073905;1.538586;0.497208;-0.803989;-0.174199;0.562797;-0.080719;0.032044;1.513206;0.510818;-0.761083;-0.344751;0.534481;-0.127397;0.116735;1.470164;0.485477;-0.607827;0.549728;0.461839;0.339190;0.064930;1.505381;0.529081;-0.673313;-0.293639;0.677461;-0.038366;0.112073;1.500383;0.521708;-0.746661;0.061009;0.637149;0.181151;0.119950;1.457870;0.510534;-0.593060;0.377809;0.481800;0.522885;0.084143;1.510059;0.527136;-0.739682;-0.196053;0.642360;0.042512;0.045295;1.496850;0.527327;-0.673313;-0.293639;0.677461;-0.038366;2023/05/01 13:49:21.8076;0.054667;1.518982;0.519904;-0.692746;-0.364649;0.608660;-0.129103;0.110621;1.510269;0.502817;-0.790065;0.148409;0.563759;0.189601;0.120196;1.458347;0.502013;-0.607827;0.549728;0.461839;0.339190;0.078785;1.527370;0.515036;-0.770287;-0.195843;0.606634;-0.017290;0.035917;1.504255;0.520524;-0.692746;-0.364649;0.608660;-0.129103;6e526951-250e-4037-8505-3204f70e406b;0.038669;1.490344;0.491429;-0.609449;0.529787;0.086577;-0.583440;0.090517;1.455446;0.476008;-0.516775;0.621095;0.163062;-0.566212;0.062786;1.469990;0.481584;-0.634227;0.580074;0.120901;-0.496642;0.020836;1.503732;0.500534;-0.609449;0.529787;0.086577;-0.583440;100;0.126989;1.424529;0.487274;-0.607827;0.549728;0.461839;0.339190
NA;154426;10;0.049881;1.494334;0.081209;0.995619;0.046269;-0.059345;0.055500;0.043751;1.522759;0.488170;-0.823955;-0.238742;0.495284;-0.137092;0.094578;1.512967;0.465175;-0.818784;0.210633;0.523983;0.103288;0.102196;1.457411;0.477101;-0.607351;0.548545;0.463705;0.339412;0.064356;1.529781;0.478612;-0.833373;-0.125731;0.532151;-0.080610;0.027000;1.512029;0.497333;-0.823955;-0.238742;0.495284;-0.137092;0.049882;1.528117;0.505074;-0.759816;-0.345463;0.535380;-0.129244;0.106193;1.515474;0.483521;-0.792880;0.221369;0.539836;0.175822;0.111665;1.457535;0.490600;-0.607351;0.548545;0.463705;0.339412;0.073514;1.538187;0.496923;-0.802790;-0.174942;0.564056;-0.082249;0.031682;1.512673;0.510370;-0.759816;-0.345463;0.535380;-0.129244;0.116557;1.469866;0.485363;-0.607351;0.548545;0.463705;0.339412;0.064499;1.504974;0.528774;-0.672186;-0.293953;0.678386;-0.039389;0.111681;1.500078;0.521571;-0.745696;0.059954;0.638600;0.180371;0.119709;1.457583;0.510434;-0.592793;0.376255;0.483432;0.522802;0.083709;1.509688;0.526896;-0.738598;-0.196685;0.643486;0.041404;0.044881;1.496417;0.526955;-0.672186;-0.293953;0.678386;-0.039389;2023/05/01 13:49:21.8198;0.054239;1.518540;0.519549;-0.691487;-0.365068;0.609506;-0.130671;0.110275;1.509957;0.502673;-0.789216;0.147492;0.565420;0.188904;0.119985;1.458060;0.501913;-0.607351;0.548545;0.463705;0.339412;0.078355;1.526988;0.514770;-0.769139;-0.196499;0.607837;-0.018665;0.035522;1.503768;0.520102;-0.691487;-0.365068;0.609506;-0.130671;6e526951-250e-4037-8505-3204f70e406b;0.038408;1.489816;0.491079;-0.608647;0.530286;0.088202;-0.583581;0.090410;1.455081;0.475809;-0.515726;0.621633;0.164846;-0.566061;0.062618;1.469539;0.481305;-0.633318;0.580590;0.122815;-0.496729;0.020515;1.503151;0.500144;-0.608647;0.530286;0.088202;-0.583581;111;0.126920;1.424257;0.487206;-0.607351;0.548545;0.463705;0.339412
