Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;42115;1;0.013547;1.692450;0.032952;0.978322;0.201644;0.015380;0.044599;0.136601;1.581853;0.285177;-0.781800;0.208264;0.426424;0.404447;0.157374;1.530935;0.254704;-0.738084;0.364025;0.368578;0.432282;0.165726;1.474012;0.238235;-0.705256;0.382098;0.387671;0.454231;0.148497;1.564067;0.272635;-0.772585;0.242152;0.434173;0.394928;0.126170;1.597633;0.297992;-0.781800;0.208264;0.426424;0.404447;0.128512;1.504048;0.275934;0.005578;-0.856258;0.233300;-0.460827;0.168397;1.524384;0.273559;-0.801727;-0.097842;0.546078;0.222396;0.174409;1.467450;0.251426;-0.705256;0.382098;0.387671;0.454231;0.128132;1.528152;0.290400;-0.395080;-0.705954;0.508832;-0.294331;0.148373;1.497651;0.261266;0.005578;-0.856258;0.233300;-0.460827;0.179611;1.480973;0.254219;-0.705256;0.382098;0.387671;0.454231;0.139861;1.475028;0.288162;0.082924;-0.777184;0.428870;-0.452966;0.172118;1.491953;0.301856;-0.684014;-0.250103;0.652043;0.210745;0.181605;1.457625;0.271824;-0.650079;0.212962;0.363730;0.632254;0.140848;1.489842;0.302627;-0.313380;-0.704943;0.593268;-0.229958;0.156414;1.468639;0.274477;0.082924;-0.777184;0.428870;-0.452966;2023/04/28 12:17:22.4220;0.133606;1.485077;0.280151;0.069409;-0.813893;0.338275;-0.467260;0.171618;1.510114;0.288935;-0.755942;-0.218455;0.586820;0.190975;0.182374;1.462103;0.264163;-0.705256;0.382098;0.387671;0.454231;0.132991;1.505890;0.297525;-0.330580;-0.722828;0.545764;-0.265290;0.152944;1.478622;0.265888;0.069409;-0.813893;0.338275;-0.467260;8ea579a2-e989-4668-8e58-e517dab580c6;0.115038;1.513353;0.263879;-0.910096;0.019098;0.000310;-0.413958;0.154007;1.473113;0.233660;-0.673196;0.613380;0.226303;-0.345484;0.129835;1.495326;0.238474;-0.873824;0.342984;0.118469;-0.323666;0.114287;1.515422;0.288909;-0.910096;0.019098;0.000310;-0.413958;11;0.190825;1.437561;0.234880;-0.705256;0.382098;0.387671;0.454231
NA;42116;2;0.014135;1.693681;0.033253;0.979405;0.195959;0.017099;0.045532;0.136023;1.581888;0.285355;-0.783258;0.208539;0.425031;0.402948;0.156834;1.531038;0.254786;-0.739598;0.364140;0.367686;0.430353;0.165071;1.474126;0.238224;-0.706504;0.383207;0.385331;0.453347;0.147914;1.564135;0.272761;-0.774053;0.242375;0.432858;0.393357;0.125604;1.597639;0.298215;-0.783258;0.208539;0.425031;0.402948;0.128072;1.504239;0.276225;0.005104;-0.857620;0.233767;-0.458056;0.167967;1.524469;0.273569;-0.803410;-0.096354;0.543295;0.223782;0.173832;1.467551;0.251357;-0.706504;0.383207;0.385331;0.453347;0.127835;1.528339;0.290702;-0.396962;-0.706550;0.508175;-0.291490;0.147838;1.497844;0.261429;0.005104;-0.857620;0.233767;-0.458056;0.179054;1.481071;0.254128;-0.706504;0.383207;0.385331;0.453347;0.139476;1.475109;0.288322;0.080748;-0.778433;0.429876;-0.450254;0.171848;1.492013;0.301817;-0.685909;-0.249252;0.650054;0.211735;0.181147;1.457708;0.271701;-0.651162;0.214622;0.361503;0.631855;0.140582;1.489924;0.302777;-0.315607;-0.705260;0.592693;-0.227412;0.155915;1.468681;0.274518;0.080748;-0.778433;0.429876;-0.450254;2023/04/28 12:17:22.4328;0.133151;1.485227;0.280391;0.068327;-0.815182;0.339146;-0.464532;0.171276;1.510185;0.288914;-0.757796;-0.217350;0.584293;0.192627;0.181871;1.462193;0.264039;-0.706504;0.383207;0.385331;0.453347;0.132703;1.506034;0.297778;-0.332650;-0.723293;0.545358;-0.262254;0.152389;1.478760;0.265999;0.068327;-0.815182;0.339146;-0.464532;8ea579a2-e989-4668-8e58-e517dab580c6;0.114534;1.513377;0.264265;-0.909911;0.016585;-0.002585;-0.414465;0.153324;1.473233;0.233723;-0.674081;0.611813;0.224637;-0.347618;0.129162;1.495418;0.238714;-0.874459;0.340809;0.115780;-0.325218;0.113966;1.515391;0.289304;-0.909911;0.016585;-0.002585;-0.414465;22;0.190142;1.437672;0.234686;-0.706504;0.383207;0.385331;0.453347
NA;42117;3;0.014896;1.694709;0.033258;0.980274;0.191232;0.017884;0.046617;0.135786;1.582316;0.285234;-0.784260;0.208729;0.425039;0.400886;0.156779;1.531515;0.254702;-0.740645;0.364058;0.368305;0.428088;0.165022;1.474585;0.238205;-0.707071;0.384282;0.384737;0.452057;0.147727;1.564593;0.272647;-0.775044;0.242433;0.432987;0.391222;0.125329;1.598048;0.298087;-0.784260;0.208729;0.425039;0.400886;0.128121;1.504795;0.276318;0.004576;-0.858490;0.232768;-0.456939;0.167980;1.524987;0.273460;-0.804575;-0.094788;0.541912;0.223620;0.173833;1.468040;0.251320;-0.707071;0.384282;0.384737;0.452057;0.127922;1.528922;0.290750;-0.398434;-0.706810;0.507041;-0.290826;0.147853;1.498414;0.261471;0.004576;-0.858490;0.232768;-0.456939;0.179050;1.481570;0.254049;-0.707071;0.384282;0.384737;0.452057;0.139560;1.475639;0.288409;0.078811;-0.779429;0.429732;-0.449010;0.171987;1.492578;0.301745;-0.687415;-0.248218;0.648946;0.211468;0.181224;1.458236;0.271651;-0.651914;0.215956;0.361048;0.630885;0.140725;1.490484;0.302827;-0.317555;-0.705363;0.591836;-0.226609;0.155934;1.469173;0.274545;0.078811;-0.779429;0.429732;-0.449010;2023/04/28 12:17:22.4441;0.133193;1.485782;0.280509;0.067265;-0.816125;0.338613;-0.463419;0.171354;1.510730;0.288816;-0.759239;-0.215949;0.582901;0.192741;0.181919;1.462710;0.263980;-0.707071;0.384282;0.384737;0.452057;0.132817;1.506622;0.297857;-0.334444;-0.723457;0.544497;-0.261305;0.152387;1.479305;0.266063;0.067265;-0.816125;0.338613;-0.463419;8ea579a2-e989-4668-8e58-e517dab580c6;0.114520;1.513777;0.264386;-0.909524;0.016250;-0.004530;-0.415309;0.153259;1.473672;0.233746;-0.673753;0.611463;0.223741;-0.349443;0.129077;1.495822;0.238793;-0.874251;0.340438;0.114190;-0.326724;0.114044;1.515815;0.289425;-0.909524;0.016250;-0.004530;-0.415309;33;0.190120;1.438153;0.234639;-0.707071;0.384282;0.384737;0.452057
NA;42118;4;0.015598;1.695531;0.033171;0.980936;0.187518;0.018666;0.047474;0.135516;1.582698;0.285127;-0.785227;0.208820;0.425070;0.398908;0.156703;1.531954;0.254625;-0.741707;0.363804;0.368981;0.425876;0.164955;1.475008;0.238190;-0.707597;0.385270;0.384219;0.450831;0.147512;1.565007;0.272545;-0.776014;0.242357;0.433158;0.389154;0.125021;1.598408;0.297975;-0.785227;0.208820;0.425070;0.398908;0.128148;1.505312;0.276404;0.004195;-0.859291;0.231704;-0.455976;0.167966;1.525465;0.273359;-0.805656;-0.093284;0.540640;0.223440;0.173814;1.468492;0.251288;-0.707597;0.385270;0.384219;0.450831;0.127978;1.529464;0.290795;-0.399739;-0.707081;0.505931;-0.290309;0.147855;1.498950;0.261514;0.004195;-0.859291;0.231704;-0.455976;0.179024;1.482032;0.253979;-0.707597;0.385270;0.384219;0.450831;0.139614;1.476135;0.288495;0.076987;-0.780352;0.429603;-0.447845;0.172092;1.493103;0.301679;-0.688843;-0.247182;0.647892;0.211264;0.181275;1.458726;0.271608;-0.652623;0.217182;0.360654;0.629955;0.140834;1.491009;0.302879;-0.319375;-0.705453;0.591036;-0.225861;0.155927;1.469632;0.274576;0.076987;-0.780352;0.429603;-0.447845;2023/04/28 12:17:22.4548;0.133211;1.486303;0.280625;0.066320;-0.816994;0.338049;-0.462434;0.171401;1.511234;0.288726;-0.760606;-0.214539;0.581594;0.192874;0.181943;1.463189;0.263929;-0.707597;0.385270;0.384219;0.450831;0.132899;1.507175;0.297936;-0.336110;-0.723604;0.543675;-0.260469;0.152366;1.479819;0.266131;0.066320;-0.816994;0.338049;-0.462434;8ea579a2-e989-4668-8e58-e517dab580c6;0.114482;1.514146;0.264497;-0.909150;0.016057;-0.006296;-0.416111;0.153180;1.474075;0.233771;-0.673427;0.611144;0.222921;-0.351149;0.128977;1.496191;0.238868;-0.874021;0.340160;0.112743;-0.328126;0.114088;1.516212;0.289535;-0.909150;0.016057;-0.006296;-0.416111;44;0.190082;1.438598;0.234599;-0.707597;0.385270;0.384219;0.450831
NA;42119;5;0.016359;1.696373;0.033046;0.981500;0.184426;0.019597;0.047542;0.135821;1.581249;0.286471;-0.784962;0.206605;0.423430;0.402314;0.156897;1.530680;0.255589;-0.742333;0.360874;0.367374;0.428659;0.164993;1.473865;0.238634;-0.708515;0.382246;0.381899;0.453925;0.147760;1.563608;0.273765;-0.775945;0.240008;0.431581;0.392483;0.125384;1.596907;0.299428;-0.784962;0.206605;0.423430;0.402314;0.128229;1.503985;0.277124;0.007494;-0.858657;0.235238;-0.455319;0.168119;1.523980;0.274273;-0.804647;-0.095606;0.540005;0.227591;0.173819;1.467199;0.251679;-0.708515;0.382246;0.381899;0.453925;0.128142;1.528008;0.291730;-0.396965;-0.707770;0.508742;-0.287509;0.147928;1.497694;0.262195;0.007494;-0.858657;0.235238;-0.455319;0.179068;1.480699;0.254495;-0.708515;0.382246;0.381899;0.453925;0.139585;1.474593;0.288902;0.079775;-0.779134;0.433411;-0.445804;0.172114;1.491339;0.302291;-0.686921;-0.249888;0.647551;0.215345;0.181229;1.457221;0.271906;-0.652489;0.214283;0.357710;0.632759;0.140850;1.489320;0.303434;-0.316134;-0.705937;0.593456;-0.222538;0.155866;1.468158;0.274916;0.079775;-0.779134;0.433411;-0.445804;2023/04/28 12:17:22.4661;0.133224;1.484895;0.281159;0.069776;-0.815869;0.341401;-0.461448;0.171493;1.509595;0.289508;-0.759096;-0.216903;0.581304;0.197007;0.181918;1.461755;0.264270;-0.708515;0.382246;0.381899;0.453925;0.132971;1.505605;0.298664;-0.332959;-0.724100;0.546296;-0.257639;0.152380;1.478493;0.266629;0.069776;-0.815869;0.341401;-0.461448;8ea579a2-e989-4668-8e58-e517dab580c6;0.114626;1.512851;0.265327;-0.909722;0.011379;-0.004192;-0.415042;0.153217;1.473007;0.234201;-0.676784;0.608210;0.224000;-0.349096;0.129067;1.495133;0.239504;-0.876235;0.335603;0.113885;-0.326517;0.114237;1.514661;0.290385;-0.909722;0.011379;-0.004192;-0.415042;55;0.190017;1.437417;0.234718;-0.708515;0.382246;0.381899;0.453925
NA;42120;6;0.017104;1.697009;0.032933;0.982069;0.181384;0.021474;0.046687;0.136670;1.582288;0.286336;-0.786811;0.210230;0.419865;0.400556;0.157475;1.531637;0.255394;-0.743918;0.363865;0.364517;0.425811;0.165429;1.474790;0.238477;-0.710329;0.385189;0.378716;0.451262;0.148477;1.564606;0.273564;-0.777836;0.243367;0.428150;0.390424;0.126378;1.597995;0.299350;-0.786811;0.210230;0.419865;0.400556;0.129058;1.505049;0.277334;0.005556;-0.861150;0.234471;-0.451014;0.168899;1.524981;0.273971;-0.807778;-0.092792;0.535699;0.227840;0.174401;1.468158;0.251439;-0.710329;0.385189;0.378716;0.451262;0.129134;1.529107;0.291881;-0.400633;-0.708827;0.506232;-0.284231;0.148604;1.498742;0.262210;0.005556;-0.861150;0.234471;-0.451014;0.179671;1.481669;0.254162;-0.710329;0.385189;0.378716;0.451262;0.140554;1.475599;0.288993;0.076572;-0.781755;0.433389;-0.441781;0.173216;1.492397;0.302008;-0.690637;-0.248442;0.643992;0.215805;0.182033;1.458227;0.271594;-0.654404;0.218133;0.354934;0.631028;0.141967;1.490352;0.303484;-0.319899;-0.707024;0.591327;-0.219349;0.156676;1.469138;0.274835;0.076572;-0.781755;0.433389;-0.441781;2023/04/28 12:17:22.4769;0.134091;1.485933;0.281341;0.067342;-0.818464;0.341073;-0.457440;0.172446;1.510627;0.289197;-0.762620;-0.214729;0.577224;0.197775;0.182638;1.462746;0.263942;-0.710329;0.385189;0.378716;0.451262;0.134029;1.506680;0.298804;-0.336709;-0.725175;0.544159;-0.254244;0.153097;1.479515;0.266622;0.067342;-0.818464;0.341073;-0.457440;8ea579a2-e989-4668-8e58-e517dab580c6;0.115307;1.513694;0.265728;-0.909200;0.009107;-0.009968;-0.416142;0.153602;1.473912;0.234184;-0.677265;0.606373;0.220467;-0.353578;0.129466;1.495991;0.239739;-0.876440;0.333730;0.108715;-0.329633;0.115225;1.515520;0.290788;-0.909200;0.009107;-0.009968;-0.416142;66;0.190442;1.438357;0.234353;-0.710329;0.385189;0.378716;0.451262
NA;42121;7;0.017792;1.697386;0.032740;0.982597;0.178522;0.023868;0.045434;0.137458;1.583266;0.286201;-0.788465;0.213766;0.416486;0.398957;0.157999;1.532530;0.255212;-0.745343;0.366724;0.361824;0.423156;0.165823;1.475655;0.238335;-0.712012;0.387916;0.375749;0.448746;0.149135;1.565541;0.273372;-0.779537;0.246625;0.424905;0.388528;0.127307;1.599025;0.299265;-0.788465;0.213766;0.416486;0.398957;0.129824;1.506052;0.277532;0.003772;-0.863457;0.233700;-0.447004;0.169612;1.525916;0.273687;-0.810691;-0.090038;0.531643;0.228099;0.174933;1.469054;0.251219;-0.712012;0.387916;0.375749;0.448746;0.130050;1.530145;0.292020;-0.404068;-0.709782;0.503861;-0.281182;0.149226;1.499733;0.262229;0.003772;-0.863457;0.233700;-0.447004;0.180219;1.482576;0.253850;-0.712012;0.387916;0.375749;0.448746;0.141454;1.476536;0.289072;0.073653;-0.784190;0.433274;-0.438059;0.174230;1.493386;0.301738;-0.694080;-0.247125;0.640663;0.216179;0.182772;1.459167;0.271300;-0.656188;0.221709;0.352345;0.629377;0.142999;1.491315;0.303524;-0.323335;-0.708067;0.589277;-0.216446;0.157428;1.470054;0.274758;0.073653;-0.784190;0.433274;-0.438059;2023/04/28 12:17:22.4881;0.134892;1.486907;0.281511;0.065074;-0.820869;0.340741;-0.453691;0.173319;1.511592;0.288903;-0.765905;-0.212647;0.573384;0.198498;0.183298;1.463673;0.263635;-0.712012;0.387916;0.375749;0.448746;0.135006;1.507688;0.298933;-0.340199;-0.726163;0.542136;-0.251080;0.153756;1.480475;0.266617;0.065074;-0.820869;0.340741;-0.453691;8ea579a2-e989-4668-8e58-e517dab580c6;0.115927;1.514459;0.266122;-0.908594;0.006803;-0.015469;-0.417339;0.153951;1.474756;0.234176;-0.677682;0.604506;0.217236;-0.357950;0.129822;1.496781;0.239975;-0.876573;0.331831;0.103865;-0.332748;0.116140;1.516295;0.291180;-0.908594;0.006803;-0.015469;-0.417339;77;0.190827;1.439237;0.234014;-0.712012;0.387916;0.375749;0.448746
NA;42122;8;0.018562;1.697784;0.032502;0.982897;0.176721;0.026474;0.044525;0.136906;1.584507;0.284104;-0.786037;0.217637;0.419931;0.398042;0.157549;1.533440;0.253723;-0.742520;0.369514;0.365632;0.422418;0.165292;1.476386;0.237424;-0.708923;0.390904;0.378711;0.448553;0.148616;1.566635;0.271510;-0.777049;0.250064;0.428463;0.387404;0.126739;1.600427;0.296958;-0.786037;0.217637;0.419931;0.398042;0.129255;1.507346;0.276233;0.000046;-0.862348;0.232361;-0.449850;0.169077;1.526973;0.272303;-0.809954;-0.084897;0.534022;0.227129;0.174340;1.469886;0.250403;-0.708923;0.390904;0.378711;0.448553;0.129491;1.531575;0.290493;-0.406870;-0.706676;0.504197;-0.284344;0.148710;1.500861;0.261069;0.000046;-0.862348;0.232361;-0.449850;0.179651;1.483422;0.252916;-0.708923;0.390904;0.378711;0.448553;0.140712;1.477828;0.288067;0.069338;-0.783189;0.432703;-0.441106;0.173512;1.494698;0.300677;-0.693877;-0.243234;0.643159;0.213819;0.182081;1.460173;0.270596;-0.653708;0.224072;0.356260;0.628917;0.142269;1.492739;0.302382;-0.326262;-0.705184;0.589923;-0.219679;0.156687;1.471139;0.273849;0.069338;-0.783189;0.432703;-0.441106;2023/04/28 12:17:22.4994;0.134213;1.488211;0.280428;0.061362;-0.819850;0.339533;-0.456946;0.172693;1.512785;0.287668;-0.765871;-0.207683;0.575716;0.197132;0.182647;1.464605;0.262891;-0.708923;0.390904;0.378711;0.448553;0.134341;1.509158;0.297650;-0.343222;-0.723211;0.542682;-0.254286;0.153118;1.481594;0.265669;0.061362;-0.819850;0.339533;-0.456946;8ea579a2-e989-4668-8e58-e517dab580c6;0.115415;1.515507;0.264752;-0.908958;0.010608;-0.016432;-0.416428;0.153429;1.475474;0.233242;-0.674947;0.608278;0.216000;-0.357475;0.129325;1.497594;0.238772;-0.875441;0.335735;0.103010;-0.332076;0.115596;1.517536;0.289796;-0.908958;0.010608;-0.016432;-0.416428;88;0.190225;1.439871;0.233530;-0.708923;0.390904;0.378711;0.448553
NA;42123;9;0.019298;1.698006;0.032170;0.983050;0.175549;0.028909;0.044277;0.136358;1.585227;0.283408;-0.786770;0.221044;0.419334;0.395338;0.156967;1.534008;0.253257;-0.742753;0.372563;0.365580;0.419364;0.164682;1.476866;0.237261;-0.709135;0.394091;0.378201;0.445851;0.148042;1.567297;0.270872;-0.777749;0.253182;0.428001;0.384473;0.126234;1.601218;0.296208;-0.786770;0.221044;0.419334;0.395338;0.128833;1.508132;0.276153;-0.003441;-0.863791;0.230818;-0.447858;0.168612;1.527665;0.271807;-0.812024;-0.080789;0.531950;0.226098;0.173816;1.470454;0.250225;-0.709135;0.394091;0.378201;0.445851;0.129165;1.532455;0.290250;-0.410871;-0.706208;0.501972;-0.283689;0.148194;1.501552;0.260908;-0.003441;-0.863791;0.230818;-0.447858;0.179125;1.484013;0.252618;-0.709135;0.394091;0.378201;0.445851;0.140367;1.478619;0.288061;0.065059;-0.784922;0.431885;-0.439477;0.173252;1.495566;0.300346;-0.696787;-0.240437;0.641435;0.212697;0.181688;1.460872;0.270421;-0.654460;0.227638;0.356348;0.626801;0.142021;1.493616;0.302274;-0.330385;-0.704949;0.588140;-0.219051;0.156228;1.471829;0.273763;0.065059;-0.784922;0.431885;-0.439477;2023/04/28 12:17:22.5101;0.133812;1.489005;0.280438;0.057886;-0.821517;0.338162;-0.455418;0.172335;1.513573;0.287235;-0.768590;-0.204027;0.573637;0.196425;0.182203;1.465259;0.262686;-0.709135;0.394091;0.378201;0.445851;0.134054;1.510060;0.297527;-0.347288;-0.722942;0.540769;-0.253603;0.152628;1.482305;0.265602;0.057886;-0.821517;0.338162;-0.455418;8ea579a2-e989-4668-8e58-e517dab580c6;0.114907;1.516007;0.264725;-0.908368;0.010921;-0.020915;-0.417507;0.152793;1.475912;0.233162;-0.673531;0.608688;0.213523;-0.360919;0.128671;1.498003;0.238730;-0.874587;0.336504;0.099429;-0.334629;0.115281;1.518144;0.289757;-0.908368;0.010921;-0.020915;-0.417507;99;0.189639;1.440360;0.233429;-0.709135;0.394091;0.378201;0.445851
NA;42124;10;0.020015;1.698086;0.031813;0.983096;0.174891;0.031123;0.044353;0.135837;1.585912;0.282750;-0.787502;0.224172;0.418774;0.392704;0.156415;1.534554;0.252816;-0.742979;0.375459;0.365484;0.416454;0.164105;1.477329;0.237105;-0.709347;0.397107;0.377686;0.443267;0.147499;1.567930;0.270268;-0.778446;0.256061;0.427558;0.381640;0.125748;1.601965;0.295501;-0.787502;0.224172;0.418774;0.392704;0.128431;1.508898;0.276086;-0.007013;-0.865154;0.229516;-0.445850;0.168171;1.528328;0.271335;-0.813993;-0.076735;0.529921;0.225192;0.173322;1.471002;0.250053;-0.709347;0.397107;0.377686;0.443267;0.128864;1.533311;0.290023;-0.414825;-0.705663;0.499898;-0.282951;0.147692;1.502213;0.260761;-0.007013;-0.865154;0.229516;-0.445850;0.178629;1.484581;0.252332;-0.709347;0.397107;0.377686;0.443267;0.140042;1.479387;0.288060;0.060880;-0.786552;0.431199;-0.437834;0.173010;1.496395;0.300027;-0.699598;-0.237645;0.639726;0.211753;0.181319;1.461543;0.270250;-0.655183;0.231023;0.356397;0.624776;0.141792;1.494464;0.302177;-0.334359;-0.704684;0.586468;-0.218361;0.155789;1.472496;0.273684;0.060880;-0.786552;0.431199;-0.437834;2023/04/28 12:17:22.5219;0.133432;1.489777;0.280455;0.054460;-0.823097;0.336946;-0.453887;0.171998;1.514327;0.286820;-0.771199;-0.200423;0.571599;0.195848;0.181785;1.465887;0.262488;-0.709347;0.397107;0.377686;0.443267;0.133788;1.510935;0.297414;-0.351227;-0.722638;0.538972;-0.252871;0.152158;1.482992;0.265543;0.054460;-0.823097;0.336946;-0.453887;8ea579a2-e989-4668-8e58-e517dab580c6;0.114420;1.516483;0.264701;-0.907753;0.011111;-0.025214;-0.418599;0.152192;1.476337;0.233087;-0.672163;0.609012;0.211226;-0.364259;0.128049;1.498396;0.238693;-0.873731;0.337205;0.096060;-0.337135;0.114981;1.518719;0.289721;-0.907753;0.011111;-0.025214;-0.418599;111;0.189086;1.440833;0.233329;-0.709347;0.397107;0.377686;0.443267
