Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;58802;1;0.003325;1.641663;0.019465;0.993631;0.065198;-0.035965;0.084580;0.080424;1.524738;0.353026;-0.546825;-0.690360;0.412110;-0.233565;0.122591;1.520270;0.324588;-0.852257;0.202604;0.402510;0.265698;0.129799;1.457423;0.315938;-0.698347;0.484520;0.365688;0.379242;0.098761;1.543309;0.349054;-0.756308;-0.428233;0.491321;-0.056724;0.076568;1.501550;0.346786;-0.546825;-0.690360;0.412110;-0.233565;0.089012;1.507298;0.365435;-0.316170;-0.834288;0.335197;-0.302726;0.137776;1.517011;0.343238;-0.849860;0.079119;0.463371;0.238256;0.141104;1.452956;0.329368;-0.698347;0.484520;0.365688;0.379242;0.102809;1.533577;0.369259;-0.641121;-0.561788;0.498288;-0.158326;0.096233;1.486655;0.349351;-0.316170;-0.834288;0.335197;-0.302726;0.146856;1.467619;0.329846;-0.698347;0.484520;0.365688;0.379242;0.104473;1.482384;0.383379;-0.222107;-0.758040;0.544292;-0.282472;0.147607;1.488669;0.378090;-0.781125;-0.039560;0.546271;0.299776;0.152702;1.446675;0.352216;-0.657706;0.327313;0.363251;0.573008;0.118338;1.497536;0.391440;-0.561789;-0.566752;0.601215;-0.041555;0.107591;1.466823;0.365575;-0.222107;-0.758040;0.544292;-0.282472;2023/04/28 12:41:17.6835;0.095326;1.493272;0.375270;-0.239126;-0.804896;0.428152;-0.334136;0.144304;1.505099;0.361289;-0.832335;0.017381;0.492541;0.253614;0.151993;1.449825;0.343302;-0.698347;0.484520;0.365688;0.379242;0.109947;1.516907;0.383070;-0.591351;-0.577955;0.548710;-0.123243;0.102761;1.474485;0.358149;-0.239126;-0.804896;0.428152;-0.334136;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.072253;1.506896;0.330012;-0.857064;0.285452;-0.006736;-0.428852;0.117001;1.455803;0.312169;-0.607045;0.666650;0.167791;-0.398648;0.091035;1.479662;0.314106;-0.775121;0.522718;0.100537;-0.340362;0.065657;1.521176;0.351642;-0.857064;0.285452;-0.006736;-0.428852;10;0.155936;1.418227;0.316454;-0.698347;0.484520;0.365688;0.379242
NA;58803;2;0.003380;1.641784;0.019595;0.993697;0.064988;-0.035819;0.084020;0.079963;1.523880;0.353286;-0.545837;-0.691114;0.412316;-0.233279;0.122166;1.519559;0.324856;-0.852637;0.200822;0.402551;0.265771;0.129512;1.456756;0.316011;-0.699375;0.482788;0.365893;0.379359;0.098283;1.542482;0.349379;-0.755524;-0.429572;0.491383;-0.056513;0.076121;1.500707;0.346987;-0.545837;-0.691114;0.412316;-0.233279;0.088568;1.506374;0.365630;-0.314488;-0.834940;0.335137;-0.302747;0.137341;1.516268;0.343510;-0.850031;0.076982;0.463450;0.238192;0.140816;1.452268;0.329436;-0.699375;0.482788;0.365893;0.379359;0.102312;1.532666;0.369555;-0.639806;-0.563275;0.498300;-0.158321;0.095833;1.485793;0.349486;-0.314488;-0.834940;0.335137;-0.302747;0.146536;1.466941;0.329961;-0.699375;0.482788;0.365893;0.379359;0.104061;1.481482;0.383536;-0.220811;-0.758596;0.544459;-0.281671;0.147197;1.487831;0.378276;-0.781143;-0.041235;0.545873;0.300230;0.152405;1.445935;0.352267;-0.658674;0.325558;0.362949;0.573087;0.117913;1.496619;0.391646;-0.560852;-0.567895;0.601061;-0.040829;0.107190;1.465979;0.365683;-0.220811;-0.758596;0.544459;-0.281671;2023/04/28 12:41:17.6948;0.094899;1.492339;0.375429;-0.237476;-0.805491;0.428128;-0.333910;0.143876;1.504310;0.361527;-0.832390;0.015351;0.492526;0.253593;0.151697;1.449113;0.343363;-0.699375;0.482788;0.365893;0.379359;0.109474;1.515974;0.383315;-0.590125;-0.579316;0.548633;-0.123077;0.102373;1.473617;0.358254;-0.237476;-0.805491;0.428128;-0.333910;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.071850;1.506044;0.330253;-0.857228;0.283562;-0.005692;-0.429792;0.116719;1.455121;0.312232;-0.607756;0.665422;0.169372;-0.398950;0.090697;1.478914;0.314247;-0.775707;0.521169;0.101828;-0.341018;0.065233;1.520219;0.351946;-0.857228;0.283562;-0.005692;-0.429792;22;0.155732;1.417613;0.316413;-0.699375;0.482788;0.365893;0.379359
NA;58804;3;0.003487;1.641842;0.019694;0.993723;0.065182;-0.035396;0.083743;0.079738;1.523764;0.352347;-0.544357;-0.691772;0.412275;-0.234854;0.122029;1.519608;0.324045;-0.852544;0.199301;0.403915;0.265143;0.129533;1.456829;0.315184;-0.699488;0.481562;0.367233;0.379413;0.098010;1.542433;0.348527;-0.754307;-0.430894;0.491919;-0.058021;0.075985;1.500589;0.346003;-0.544357;-0.691772;0.412275;-0.234854;0.088366;1.506263;0.364684;-0.312616;-0.835326;0.334412;-0.304419;0.137159;1.516335;0.342738;-0.849724;0.075367;0.464687;0.237392;0.140814;1.452356;0.328634;-0.699488;0.481562;0.367233;0.379413;0.102004;1.532595;0.368699;-0.638220;-0.564436;0.498501;-0.159951;0.095760;1.485737;0.348527;-0.312616;-0.835326;0.334412;-0.304419;0.146501;1.467039;0.329173;-0.699488;0.481562;0.367233;0.379413;0.103864;1.481410;0.382615;-0.218485;-0.759267;0.543689;-0.283161;0.146982;1.487890;0.377508;-0.780686;-0.042936;0.546809;0.299476;0.152354;1.446027;0.351477;-0.658938;0.324085;0.363977;0.572966;0.117634;1.496582;0.390799;-0.559210;-0.569313;0.601143;-0.042355;0.107125;1.465952;0.364746;-0.218485;-0.759267;0.543689;-0.283161;2023/04/28 12:41:17.7060;0.094708;1.492235;0.374482;-0.235292;-0.805927;0.427305;-0.335454;0.143671;1.504376;0.360763;-0.832007;0.013661;0.493660;0.252742;0.151664;1.449212;0.342574;-0.699488;0.481562;0.367233;0.379413;0.109168;1.515909;0.382461;-0.588420;-0.580618;0.548720;-0.124707;0.102318;1.473574;0.357300;-0.235292;-0.805927;0.427305;-0.335454;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.071719;1.505952;0.329402;-0.856982;0.283000;-0.004572;-0.430665;0.116749;1.455168;0.311385;-0.607560;0.665080;0.170943;-0.399146;0.090663;1.478890;0.313394;-0.775487;0.520841;0.103333;-0.341567;0.065049;1.520072;0.351114;-0.856982;0.283000;-0.004572;-0.430665;33;0.155842;1.417743;0.315609;-0.699488;0.481562;0.367233;0.379413
NA;58805;4;0.003609;1.641799;0.019784;0.993741;0.065602;-0.034761;0.083473;0.079498;1.523628;0.351416;-0.542602;-0.692650;0.412100;-0.236627;0.121875;1.519662;0.323252;-0.852488;0.197634;0.405330;0.264409;0.129533;1.456905;0.314382;-0.699593;0.480360;0.368556;0.379461;0.097709;1.542374;0.347694;-0.752937;-0.432496;0.492407;-0.059734;0.075852;1.500450;0.345017;-0.542602;-0.692650;0.412100;-0.236627;0.088159;1.506140;0.363744;-0.310432;-0.835842;0.333493;-0.306241;0.136961;1.516406;0.341983;-0.849427;0.073664;0.465941;0.236530;0.140793;1.452448;0.327856;-0.699593;0.480360;0.368556;0.379461;0.101675;1.532520;0.367860;-0.636455;-0.565804;0.498629;-0.161743;0.095701;1.485682;0.347569;-0.310432;-0.835842;0.333493;-0.306241;0.146446;1.467142;0.328405;-0.699593;0.480360;0.368556;0.379461;0.103662;1.481318;0.381690;-0.215646;-0.760150;0.542653;-0.284953;0.146750;1.487954;0.376757;-0.780214;-0.044882;0.547819;0.298572;0.152284;1.446125;0.350708;-0.659194;0.322639;0.364995;0.572841;0.117330;1.496533;0.389964;-0.557259;-0.571079;0.601147;-0.044208;0.107087;1.465914;0.363804;-0.215646;-0.760150;0.542653;-0.284953;2023/04/28 12:41:17.7172;0.094515;1.492116;0.373537;-0.232715;-0.806507;0.426275;-0.337164;0.143450;1.504446;0.360017;-0.831630;0.011822;0.494810;0.251823;0.151611;1.449315;0.341805;-0.699593;0.480360;0.368556;0.379461;0.108840;1.515836;0.381622;-0.586467;-0.582188;0.548728;-0.126534;0.102282;1.473530;0.356344;-0.232715;-0.806507;0.426275;-0.337164;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.071567;1.505859;0.328598;-0.856720;0.282352;-0.003582;-0.431620;0.116758;1.455220;0.310567;-0.607414;0.664621;0.172436;-0.399491;0.090606;1.478869;0.312583;-0.775257;0.520463;0.104748;-0.342231;0.064850;1.519924;0.350332;-0.856720;0.282352;-0.003582;-0.431620;44;0.155932;1.417877;0.314826;-0.699593;0.480360;0.368556;0.379461
NA;58806;5;0.003753;1.641695;0.019857;0.993727;0.066315;-0.034330;0.083252;0.079246;1.523476;0.350492;-0.540644;-0.693688;0.411823;-0.238543;0.121706;1.519719;0.322473;-0.852460;0.195858;0.406780;0.263595;0.129516;1.456985;0.313599;-0.699690;0.479177;0.369865;0.379503;0.097388;1.542311;0.346877;-0.751453;-0.434301;0.492855;-0.061598;0.075720;1.500297;0.344031;-0.540644;-0.693688;0.411823;-0.238543;0.087947;1.506010;0.362811;-0.308016;-0.836450;0.332426;-0.308174;0.136748;1.516481;0.341243;-0.849137;0.071896;0.467205;0.235621;0.140756;1.452543;0.327097;-0.699690;0.479177;0.369865;0.379503;0.101331;1.532441;0.367034;-0.634554;-0.567323;0.498701;-0.163658;0.095651;1.485629;0.346614;-0.308016;-0.836450;0.332426;-0.308174;0.146376;1.467248;0.327652;-0.699690;0.479177;0.369865;0.379503;0.103457;1.481212;0.380764;-0.212431;-0.761178;0.541419;-0.286961;0.146505;1.488023;0.376021;-0.779731;-0.046999;0.548880;0.297560;0.152198;1.446225;0.349954;-0.659441;0.321215;0.366005;0.572712;0.117009;1.496477;0.389137;-0.555079;-0.573092;0.601091;-0.046298;0.107065;1.465872;0.362860;-0.212431;-0.761178;0.541419;-0.286961;2023/04/28 12:41:17.7284;0.094320;1.491987;0.372596;-0.229849;-0.807187;0.425091;-0.338993;0.143214;1.504521;0.359285;-0.831257;0.009876;0.495971;0.250853;0.151543;1.449421;0.341052;-0.699690;0.479177;0.369865;0.379503;0.108496;1.515756;0.380796;-0.584333;-0.583952;0.548674;-0.128505;0.102260;1.473487;0.355390;-0.229849;-0.807187;0.425091;-0.338993;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.071398;1.505767;0.327831;-0.856445;0.281640;-0.002691;-0.432637;0.116748;1.455274;0.309773;-0.607303;0.664075;0.173868;-0.399947;0.090530;1.478849;0.311805;-0.775021;0.520049;0.106094;-0.342982;0.064639;1.519775;0.349589;-0.856445;0.281640;-0.002691;-0.432637;55;0.156004;1.418014;0.314060;-0.699690;0.479177;0.369865;0.379503
NA;58807;6;0.003909;1.641561;0.019940;0.993686;0.067223;-0.033962;0.083158;0.079707;1.524559;0.350244;-0.547729;-0.688808;0.412942;-0.234554;0.122082;1.520269;0.321964;-0.851976;0.200511;0.404999;0.264401;0.129601;1.457455;0.313428;-0.698315;0.482649;0.368563;0.378902;0.098020;1.543168;0.346334;-0.755399;-0.428428;0.492338;-0.058525;0.075824;1.501358;0.344074;-0.547729;-0.688808;0.412942;-0.234554;0.088410;1.506974;0.362545;-0.312648;-0.835109;0.333163;-0.306345;0.137187;1.517076;0.340691;-0.849359;0.076058;0.465920;0.236056;0.140882;1.453045;0.326904;-0.698315;0.482649;0.368563;0.378902;0.101956;1.533358;0.366536;-0.637965;-0.564296;0.498251;-0.162225;0.095910;1.486436;0.346453;-0.312648;-0.835109;0.333163;-0.306345;0.146563;1.467729;0.327339;-0.698315;0.482649;0.368563;0.378902;0.103877;1.482259;0.380620;-0.218409;-0.759182;0.542597;-0.285533;0.146970;1.488775;0.375590;-0.780410;-0.042003;0.548067;0.298024;0.152390;1.446809;0.349736;-0.658115;0.324955;0.365645;0.572357;0.117588;1.497488;0.388795;-0.559224;-0.569015;0.601236;-0.044779;0.107237;1.466753;0.362811;-0.218409;-0.759182;0.542597;-0.285533;2023/04/28 12:41:17.7397;0.094738;1.492969;0.372395;-0.235160;-0.805828;0.426005;-0.337433;0.143677;1.505192;0.358774;-0.831703;0.013974;0.494976;0.251145;0.151712;1.449957;0.340819;-0.698315;0.482649;0.368563;0.378902;0.109098;1.516708;0.380360;-0.588096;-0.580645;0.548484;-0.127123;0.102452;1.474290;0.355279;-0.235160;-0.805828;0.426005;-0.337433;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.071745;1.506531;0.327713;-0.856435;0.282935;-0.006484;-0.431770;0.116806;1.455774;0.309678;-0.606782;0.664931;0.169982;-0.400984;0.090688;1.479458;0.311724;-0.774618;0.521317;0.102167;-0.343159;0.065142;1.520682;0.349426;-0.856435;0.282935;-0.006484;-0.431770;66;0.155938;1.418382;0.313987;-0.698315;0.482649;0.368563;0.378902
NA;58808;7;0.004072;1.641390;0.020012;0.993638;0.068238;-0.033637;0.083037;0.080102;1.525573;0.349965;-0.554509;-0.683977;0.414085;-0.230715;0.122404;1.520781;0.321446;-0.851479;0.204791;0.403410;0.265151;0.129665;1.457898;0.313224;-0.697043;0.485763;0.367453;0.378343;0.098575;1.543962;0.345780;-0.759067;-0.422794;0.491906;-0.055610;0.075874;1.502359;0.344079;-0.554509;-0.683977;0.414085;-0.230715;0.088807;1.507865;0.362244;-0.316896;-0.833829;0.333837;-0.304728;0.137562;1.517631;0.340137;-0.849522;0.079851;0.464804;0.236419;0.140982;1.453518;0.326681;-0.697043;0.485763;0.367453;0.378343;0.102499;1.534205;0.366023;-0.641049;-0.561499;0.497857;-0.160976;0.096122;1.487183;0.346252;-0.316896;-0.833829;0.333837;-0.304728;0.146716;1.468182;0.327006;-0.697043;0.485763;0.367453;0.378343;0.104235;1.483230;0.380434;-0.223960;-0.757272;0.543677;-0.284246;0.147368;1.489475;0.375146;-0.780988;-0.037414;0.547376;0.298392;0.152549;1.447357;0.349490;-0.656901;0.328302;0.365383;0.572010;0.118092;1.498425;0.388426;-0.563024;-0.565209;0.601379;-0.043437;0.107365;1.467572;0.362717;-0.223960;-0.757272;0.543677;-0.284246;2023/04/28 12:41:17.7509;0.095093;1.493875;0.372154;-0.240058;-0.804523;0.426845;-0.336034;0.144074;1.505816;0.358257;-0.832073;0.017671;0.494132;0.251348;0.151850;1.450462;0.340559;-0.697043;0.485763;0.367453;0.378343;0.109618;1.517584;0.379905;-0.591510;-0.577588;0.548319;-0.125913;0.102598;1.475032;0.355125;-0.240058;-0.804523;0.426845;-0.336034;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.072041;1.507231;0.327562;-0.856372;0.284122;-0.009908;-0.431050;0.116847;1.456242;0.309545;-0.606296;0.665658;0.166482;-0.401982;0.090817;1.480022;0.311606;-0.774230;0.522429;0.098617;-0.343382;0.065580;1.521512;0.349232;-0.856372;0.284122;-0.009908;-0.431050;77;0.155870;1.418734;0.313876;-0.697043;0.485763;0.367453;0.378343
NA;58809;8;0.004228;1.641188;0.020086;0.993623;0.069173;-0.033176;0.082632;0.080488;1.525383;0.350691;-0.554687;-0.683825;0.415201;-0.228722;0.122752;1.520511;0.322097;-0.851546;0.204596;0.402270;0.266814;0.129906;1.457642;0.313685;-0.697619;0.485102;0.366250;0.379295;0.099025;1.543710;0.346512;-0.759139;-0.422621;0.492188;-0.053402;0.076160;1.502195;0.344770;-0.554687;-0.683825;0.415201;-0.228722;0.089183;1.507507;0.362859;-0.315551;-0.834328;0.334569;-0.303955;0.137918;1.517279;0.340767;-0.849612;0.078964;0.464137;0.237700;0.141228;1.453203;0.327119;-0.697619;0.485102;0.366250;0.379295;0.102894;1.533825;0.366725;-0.640209;-0.562450;0.498235;-0.159824;0.096483;1.486877;0.346792;-0.315551;-0.834328;0.334569;-0.303955;0.146985;1.467857;0.327478;-0.697619;0.485102;0.366250;0.379295;0.104581;1.482793;0.380964;-0.222506;-0.757551;0.544449;-0.283167;0.147703;1.488999;0.375683;-0.780883;-0.038289;0.546605;0.299964;0.152800;1.446954;0.349893;-0.657080;0.327766;0.364019;0.572980;0.118449;1.497947;0.389014;-0.561958;-0.566084;0.601650;-0.042057;0.107705;1.467203;0.363186;-0.222506;-0.757551;0.544449;-0.283167;2023/04/28 12:41:17.7616;0.095464;1.493449;0.372703;-0.238519;-0.804935;0.427446;-0.335378;0.144424;1.505399;0.358847;-0.832066;0.016646;0.493584;0.252516;0.152101;1.450087;0.340973;-0.697619;0.485102;0.366250;0.379295;0.109987;1.517131;0.380543;-0.590393;-0.578659;0.548600;-0.125011;0.102976;1.474669;0.355608;-0.238519;-0.804935;0.427446;-0.335378;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.072361;1.507010;0.328253;-0.857215;0.282192;-0.010090;-0.430637;0.117080;1.456018;0.310018;-0.607805;0.664462;0.166282;-0.401764;0.091086;1.479825;0.312196;-0.775273;0.521158;0.098400;-0.343022;0.065959;1.521222;0.349985;-0.857215;0.282192;-0.010090;-0.430637;88;0.156052;1.418435;0.314189;-0.697619;0.485102;0.366250;0.379295
NA;58810;9;0.004355;1.640992;0.020145;0.993610;0.069975;-0.033119;0.082132;0.080629;1.524992;0.351283;-0.549191;-0.687070;0.417053;-0.228890;0.122993;1.520450;0.322848;-0.851753;0.199658;0.402760;0.269145;0.130238;1.457678;0.313810;-0.699497;0.480446;0.366004;0.381990;0.099154;1.543394;0.347396;-0.755566;-0.427067;0.493955;-0.052361;0.076400;1.501864;0.345066;-0.549191;-0.687070;0.417053;-0.228890;0.089270;1.506932;0.363291;-0.309477;-0.835785;0.336115;-0.304492;0.138079;1.517035;0.341551;-0.849136;0.073272;0.464876;0.239768;0.141505;1.453109;0.327247;-0.699497;0.480446;0.366004;0.381990;0.102904;1.533233;0.367525;-0.635580;-0.566237;0.500118;-0.159048;0.096701;1.486508;0.347023;-0.309477;-0.835785;0.336115;-0.304492;0.147247;1.467763;0.327785;-0.699497;0.480446;0.366004;0.381990;0.104614;1.482032;0.381182;-0.215981;-0.758827;0.545549;-0.282684;0.147733;1.488399;0.376211;-0.779540;-0.044070;0.546934;0.302057;0.152981;1.446630;0.350006;-0.658221;0.322897;0.362603;0.575328;0.118390;1.497132;0.389487;-0.556862;-0.570060;0.602701;-0.041076;0.107898;1.466659;0.363244;-0.215981;-0.758827;0.545549;-0.282684;2023/04/28 12:41:17.7728;0.095552;1.492744;0.372978;-0.231651;-0.806185;0.428602;-0.335715;0.144515;1.504971;0.359534;-0.831171;0.010755;0.494277;0.254422;0.152318;1.449857;0.341115;-0.699497;0.480446;0.366004;0.381990;0.109942;1.516382;0.381186;-0.585085;-0.582785;0.550036;-0.124489;0.103243;1.474203;0.355703;-0.231651;-0.806185;0.428602;-0.335715;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.072597;1.506858;0.328631;-0.858792;0.278102;-0.006125;-0.430232;0.117430;1.456082;0.310070;-0.610772;0.662136;0.169927;-0.399573;0.091412;1.479852;0.312380;-0.777627;0.517898;0.102099;-0.341546;0.066116;1.520824;0.350499;-0.858792;0.278102;-0.006125;-0.430232;100;0.156416;1.418490;0.314019;-0.699497;0.480446;0.366004;0.381990
NA;58811;10;0.004468;1.640805;0.020210;0.993572;0.070714;-0.033027;0.081993;0.080751;1.524598;0.351759;-0.543273;-0.690638;0.418503;-0.229630;0.123201;1.520402;0.323504;-0.851939;0.194877;0.403336;0.271188;0.130541;1.457728;0.313881;-0.701220;0.476050;0.365826;0.384497;0.099243;1.543094;0.348169;-0.751874;-0.431746;0.495575;-0.051836;0.076663;1.501529;0.345238;-0.543273;-0.690638;0.418503;-0.229630;0.089333;1.506383;0.363631;-0.303539;-0.837198;0.337460;-0.305098;0.138211;1.516817;0.342237;-0.848665;0.067705;0.465628;0.241608;0.141754;1.453036;0.327321;-0.701220;0.476050;0.365826;0.384497;0.102885;1.532667;0.368219;-0.631069;-0.569911;0.501854;-0.158419;0.096901;1.486163;0.347172;-0.303539;-0.837198;0.337460;-0.305098;0.147481;1.467689;0.328029;-0.701220;0.476050;0.365826;0.384497;0.104630;1.481310;0.381311;-0.209550;-0.760114;0.546369;-0.282484;0.147743;1.487852;0.376656;-0.778208;-0.049769;0.547388;0.303779;0.153139;1.446345;0.350066;-0.659264;0.318295;0.361324;0.577498;0.118304;1.496364;0.389863;-0.551861;-0.573978;0.603625;-0.040456;0.108084;1.466147;0.363226;-0.209550;-0.760114;0.546369;-0.282484;2023/04/28 12:41:17.7841;0.095626;1.492073;0.373160;-0.224751;-0.807461;0.429469;-0.336230;0.144581;1.504583;0.360128;-0.830288;0.004962;0.494993;0.256085;0.152511;1.449658;0.341205;-0.701220;0.476050;0.365826;0.384497;0.109871;1.515671;0.381727;-0.579801;-0.586904;0.551314;-0.124213;0.103510;1.473773;0.355716;-0.224751;-0.807461;0.429469;-0.336230;b1e8840f-cda5-4aac-b19e-205ea865eb8f;0.072812;1.506736;0.328910;-0.860307;0.274223;-0.002379;-0.429731;0.117751;1.456158;0.310068;-0.613475;0.660071;0.173380;-0.397359;0.091712;1.479894;0.312487;-0.779805;0.514910;0.105624;-0.340023;0.066259;1.520467;0.350906;-0.860307;0.274223;-0.002379;-0.429731;111;0.156751;1.418561;0.313821;-0.701220;0.476050;0.365826;0.384497
