Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;35068;1;-0.005723;1.532716;-0.069615;0.995834;0.053585;0.072775;-0.012112;0.047717;1.383913;0.340887;-0.776466;-0.315169;0.495302;-0.229008;0.092710;1.430822;0.323488;-0.765433;-0.260537;0.545121;-0.221531;0.149059;1.403206;0.312689;-0.798519;0.128647;0.576775;0.114663;0.063085;1.404440;0.334609;-0.744238;-0.347555;0.510185;-0.255005;0.031925;1.367302;0.349020;-0.776466;-0.315169;0.495302;-0.229008;0.095690;1.382593;0.343069;0.196249;-0.832831;-0.169676;-0.488968;0.102078;1.434747;0.345531;-0.747269;-0.373740;0.510312;-0.203688;0.157936;1.405640;0.328420;-0.798519;0.128647;0.576775;0.114663;0.073614;1.399008;0.354847;-0.220305;-0.813185;0.188494;-0.504645;0.116712;1.394918;0.331103;0.196249;-0.832831;-0.169676;-0.488968;0.149143;1.418470;0.330655;-0.798519;0.128647;0.576775;0.114663;0.121699;1.380953;0.363334;0.381492;-0.809025;-0.024088;-0.446500;0.127575;1.415458;0.378582;-0.678684;-0.474462;0.547463;-0.120657;0.167518;1.404201;0.351439;-0.832563;-0.025592;0.475010;0.283813;0.106598;1.389559;0.376925;-0.111200;-0.868338;0.232338;-0.423844;0.138806;1.395310;0.354962;0.381492;-0.809025;-0.024088;-0.446500;2023/04/28 12:53:08.0166;0.110305;1.381317;0.352843;0.341924;-0.810954;-0.110778;-0.461703;0.113805;1.427400;0.363387;-0.726708;-0.430534;0.505079;-0.177289;0.165382;1.408238;0.343131;-0.798519;0.128647;0.576775;0.114663;0.089176;1.393308;0.368431;-0.139535;-0.856172;0.192305;-0.458822;0.129110;1.397341;0.343304;0.341924;-0.810954;-0.110778;-0.461703;3dca1549-cc01-4a85-976e-cb70f9547f39;0.077187;1.364973;0.310564;-0.296800;0.438785;0.626988;-0.571195;0.143310;1.392767;0.306514;-0.342272;0.395732;0.569557;-0.633918;0.111821;1.376832;0.307856;-0.439945;0.382504;0.562861;-0.585942;0.053772;1.353404;0.304805;-0.296800;0.438785;0.626988;-0.571195;10;0.196208;1.402193;0.315780;-0.798519;0.128647;0.576775;0.114663
NA;35069;2;-0.005854;1.532715;-0.069437;0.995834;0.053564;0.072730;-0.012485;0.046264;1.383730;0.339689;-0.774762;-0.312436;0.497819;-0.233032;0.091318;1.430625;0.322422;-0.763476;-0.257573;0.547769;-0.225189;0.147781;1.402977;0.312327;-0.795531;0.130508;0.580790;0.113055;0.061638;1.404258;0.333431;-0.742553;-0.344757;0.512447;-0.259144;0.030441;1.367125;0.347774;-0.774762;-0.312436;0.497819;-0.233032;0.094107;1.382547;0.342360;0.193045;-0.831292;-0.172382;-0.491905;0.100484;1.434702;0.344522;-0.746393;-0.370226;0.512855;-0.206906;0.156515;1.405525;0.328121;-0.795531;0.130508;0.580790;0.113055;0.071929;1.399036;0.353840;-0.222140;-0.810296;0.187693;-0.508768;0.115222;1.394812;0.330496;0.193045;-0.831292;-0.172382;-0.491905;0.147693;1.418366;0.330178;-0.795531;0.130508;0.580790;0.113055;0.119975;1.381048;0.362859;0.378818;-0.808254;-0.027529;-0.449961;0.125696;1.415649;0.377927;-0.677776;-0.471747;0.550006;-0.124768;0.165891;1.404247;0.351219;-0.830600;-0.024341;0.479672;0.281826;0.104745;1.389729;0.376255;-0.112775;-0.866120;0.231120;-0.428604;0.137150;1.395360;0.354547;0.378818;-0.808254;-0.027529;-0.449961;2023/04/28 12:53:08.0278;0.108657;1.381327;0.352274;0.338798;-0.809913;-0.114118;-0.465010;0.112054;1.427480;0.362531;-0.725846;-0.427228;0.507779;-0.181068;0.163827;1.408228;0.342866;-0.795531;0.130508;0.580790;0.113055;0.087383;1.393420;0.367584;-0.141549;-0.853577;0.191283;-0.463444;0.127543;1.397296;0.342803;0.338798;-0.809913;-0.114118;-0.465010;3dca1549-cc01-4a85-976e-cb70f9547f39;0.075978;1.364632;0.309927;-0.292303;0.441685;0.626338;-0.571992;0.142093;1.392486;0.306184;-0.338112;0.399133;0.568849;-0.634653;0.110615;1.376517;0.307393;-0.435969;0.385988;0.562572;-0.586906;0.052625;1.352986;0.304070;-0.292303;0.441685;0.626338;-0.571992;22;0.194902;1.402029;0.315834;-0.795531;0.130508;0.580790;0.113055
NA;35070;3;-0.005986;1.532693;-0.069262;0.995837;0.053684;0.072626;-0.012328;0.044939;1.383550;0.338586;-0.773122;-0.310029;0.500133;-0.236711;0.090046;1.430438;0.321451;-0.761625;-0.254906;0.550221;-0.228491;0.146604;1.402758;0.311999;-0.792778;0.132175;0.584433;0.111674;0.060316;1.404082;0.332350;-0.740933;-0.342273;0.514532;-0.262916;0.029090;1.366946;0.346622;-0.773122;-0.310029;0.500133;-0.236711;0.092648;1.382499;0.341707;0.190165;-0.829865;-0.174764;-0.494591;0.099027;1.434648;0.343602;-0.745580;-0.366997;0.515211;-0.209717;0.155208;1.405407;0.327849;-0.792778;0.132175;0.584433;0.111674;0.070381;1.399054;0.352916;-0.223788;-0.807646;0.187058;-0.512481;0.113848;1.394709;0.329939;0.190165;-0.829865;-0.174764;-0.494591;0.146363;1.418258;0.329743;-0.792778;0.132175;0.584433;0.111674;0.118389;1.381122;0.362418;0.376376;-0.807500;-0.030584;-0.453154;0.123974;1.415804;0.377324;-0.676901;-0.469247;0.552373;-0.128437;0.164394;1.404272;0.351015;-0.828763;-0.023237;0.483905;0.280086;0.103042;1.389871;0.375635;-0.114167;-0.864056;0.230087;-0.432936;0.135627;1.395391;0.354163;0.376376;-0.807500;-0.030584;-0.453154;2023/04/28 12:53:08.0385;0.107140;1.381326;0.351749;0.335972;-0.808906;-0.117095;-0.468063;0.110453;1.427538;0.361748;-0.725021;-0.424185;0.510294;-0.184421;0.162397;1.408204;0.342623;-0.792778;0.132175;0.584433;0.111674;0.085736;1.393511;0.366803;-0.143350;-0.851169;0.190440;-0.467647;0.126100;1.397245;0.342345;0.335972;-0.808906;-0.117095;-0.468063;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074865;1.364311;0.309359;-0.288228;0.444300;0.625725;-0.572704;0.140971;1.392220;0.305887;-0.334354;0.402192;0.568169;-0.635321;0.109504;1.376222;0.306977;-0.432381;0.389121;0.562261;-0.587787;0.051568;1.352596;0.303415;-0.288228;0.444300;0.625725;-0.572704;32;0.193698;1.401868;0.315885;-0.792778;0.132175;0.584433;0.111674
NA;35071;4;-0.006119;1.532635;-0.069131;0.995823;0.054218;0.072502;-0.011851;0.045413;1.382483;0.340068;-0.774978;-0.311856;0.496218;-0.236481;0.090170;1.429564;0.322555;-0.763586;-0.257146;0.546362;-0.228693;0.146675;1.401948;0.312613;-0.795441;0.132403;0.580976;0.110498;0.060640;1.403089;0.333708;-0.742523;-0.344868;0.510508;-0.262884;0.029687;1.365831;0.348243;-0.774978;-0.311856;0.496218;-0.236481;0.093126;1.381678;0.342752;0.192418;-0.831581;-0.175385;-0.490601;0.099344;1.433791;0.344623;-0.747534;-0.368815;0.511368;-0.208976;0.155418;1.404616;0.328385;-0.795441;0.132403;0.580976;0.110498;0.070882;1.398114;0.354180;-0.222895;-0.810499;0.184495;-0.509285;0.114169;1.393989;0.330810;0.192418;-0.831581;-0.175385;-0.490601;0.146574;1.417458;0.330345;-0.795441;0.132403;0.580976;0.110498;0.118937;1.380315;0.363281;0.377249;-0.809394;-0.029685;-0.449093;0.124615;1.414988;0.378125;-0.679496;-0.470057;0.548903;-0.126639;0.164813;1.403501;0.351459;-0.831103;-0.022185;0.480211;0.279594;0.103696;1.389032;0.376640;-0.114735;-0.866259;0.228819;-0.429037;0.136067;1.394627;0.354879;0.377249;-0.809394;-0.029685;-0.449093;2023/04/28 12:53:08.0497;0.107600;1.380482;0.352701;0.336325;-0.811251;-0.115751;-0.464068;0.110940;1.426701;0.362668;-0.727283;-0.425412;0.506567;-0.182958;0.162736;1.407428;0.343083;-0.795441;0.132403;0.580976;0.110498;0.086322;1.392638;0.367955;-0.143933;-0.853493;0.189150;-0.463740;0.126464;1.396400;0.343104;0.336325;-0.811251;-0.115751;-0.464068;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074976;1.363388;0.310716;-0.290713;0.441041;0.624325;-0.575488;0.141000;1.391397;0.306564;-0.336425;0.398829;0.566627;-0.637721;0.109570;1.375351;0.307968;-0.434583;0.385893;0.560045;-0.590402;0.051639;1.351630;0.305020;-0.290713;0.441041;0.624325;-0.575488;44;0.193804;1.401124;0.316068;-0.795441;0.132403;0.580976;0.110498
NA;35072;5;-0.006232;1.532582;-0.068996;0.995826;0.054782;0.072132;-0.011281;0.045125;1.382362;0.340198;-0.774269;-0.311844;0.497448;-0.236232;0.089981;1.429409;0.322848;-0.762901;-0.256964;0.547585;-0.228259;0.146503;1.401793;0.313008;-0.794833;0.131770;0.581829;0.111141;0.060393;1.402957;0.333899;-0.741856;-0.344648;0.511777;-0.262588;0.029365;1.365712;0.348314;-0.774269;-0.311844;0.497448;-0.236232;0.092886;1.381503;0.342983;0.193136;-0.830761;-0.175475;-0.491675;0.099103;1.433604;0.344944;-0.746685;-0.369044;0.512438;-0.208986;0.155210;1.404438;0.328804;-0.794833;0.131770;0.581829;0.111141;0.070612;1.397918;0.354383;-0.222003;-0.810073;0.185099;-0.510132;0.113948;1.393852;0.331112;0.193136;-0.830761;-0.175475;-0.491675;0.146364;1.417281;0.330755;-0.794833;0.131770;0.581829;0.111141;0.118594;1.380090;0.363595;0.377331;-0.808721;-0.029405;-0.450253;0.124291;1.414749;0.378479;-0.678803;-0.469801;0.550021;-0.126454;0.164550;1.403291;0.351892;-0.830490;-0.023053;0.481002;0.279987;0.103339;1.388823;0.376929;-0.114560;-0.865661;0.229786;-0.429775;0.135760;1.394389;0.355246;0.377331;-0.808721;-0.029405;-0.450253;2023/04/28 12:53:08.0610;0.107327;1.380292;0.352967;0.337102;-0.810341;-0.115946;-0.465045;0.110656;1.426486;0.363006;-0.726463;-0.425632;0.507561;-0.182950;0.162494;1.407230;0.343517;-0.794833;0.131770;0.581829;0.111141;0.086015;1.392423;0.368192;-0.143046;-0.853082;0.189679;-0.464555;0.126204;1.396239;0.343445;0.337102;-0.810341;-0.115946;-0.465045;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074824;1.363194;0.310929;-0.289994;0.441386;0.625211;-0.574625;0.140840;1.391248;0.306938;-0.335893;0.399082;0.567374;-0.637178;0.109417;1.375181;0.308267;-0.434018;0.386111;0.560942;-0.589823;0.051511;1.351428;0.305158;-0.289994;0.441386;0.625211;-0.574625;55;0.193625;1.400958;0.316566;-0.794833;0.131770;0.581829;0.111141
NA;35073;6;-0.006355;1.532517;-0.068851;0.995845;0.055035;0.071727;-0.010964;0.044829;1.382258;0.340313;-0.773618;-0.311773;0.498648;-0.235930;0.089791;1.429259;0.323116;-0.762282;-0.256696;0.548778;-0.227763;0.146328;1.401639;0.313374;-0.794251;0.131187;0.582633;0.111777;0.060140;1.402837;0.334071;-0.741265;-0.344339;0.513029;-0.262218;0.029034;1.365614;0.348373;-0.773618;-0.311773;0.498648;-0.235930;0.092642;1.381334;0.343193;0.193798;-0.829986;-0.175535;-0.492700;0.098864;1.433422;0.345239;-0.745890;-0.369224;0.513475;-0.208961;0.155000;1.404263;0.329193;-0.794251;0.131187;0.582633;0.111777;0.070342;1.397732;0.354566;-0.221203;-0.809649;0.185719;-0.510927;0.113724;1.393716;0.331391;0.193798;-0.829986;-0.175535;-0.492700;0.146153;1.417107;0.331135;-0.794251;0.131187;0.582633;0.111777;0.118249;1.379870;0.363885;0.377329;-0.808099;-0.029069;-0.451392;0.123972;1.414516;0.378805;-0.678170;-0.469485;0.551121;-0.126232;0.164288;1.403084;0.352294;-0.829897;-0.023863;0.481753;0.280385;0.102984;1.388624;0.377194;-0.114487;-0.865061;0.230785;-0.430464;0.135453;1.394153;0.355585;0.377329;-0.808099;-0.029069;-0.451392;2023/04/28 12:53:08.0722;0.107054;1.380109;0.353210;0.337884;-0.809452;-0.116146;-0.465975;0.110374;1.426277;0.363317;-0.725693;-0.425818;0.508520;-0.182911;0.162252;1.407035;0.343919;-0.794251;0.131187;0.582633;0.111777;0.085709;1.392218;0.368407;-0.142200;-0.852687;0.190200;-0.465326;0.125943;1.396086;0.343761;0.337884;-0.809452;-0.116146;-0.465975;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074668;1.363002;0.311124;-0.289283;0.441725;0.626071;-0.573785;0.140674;1.391099;0.307284;-0.335385;0.399312;0.568071;-0.636681;0.109260;1.375012;0.308545;-0.433467;0.386322;0.561800;-0.589273;0.051377;1.351227;0.305280;-0.289283;0.441725;0.626071;-0.573785;66;0.193442;1.400791;0.317031;-0.794251;0.131187;0.582633;0.111777
NA;35074;7;-0.006475;1.532476;-0.068689;0.995878;0.055272;0.071081;-0.010942;0.044865;1.382806;0.339903;-0.773816;-0.309114;0.500408;-0.235053;0.090132;1.429524;0.322731;-0.762329;-0.253873;0.550402;-0.226850;0.146547;1.401573;0.313232;-0.792951;0.133556;0.583558;0.113360;0.060305;1.403289;0.333657;-0.741562;-0.341614;0.514796;-0.261479;0.028958;1.366266;0.347953;-0.773816;-0.309114;0.500408;-0.235053;0.092692;1.381651;0.342929;0.191983;-0.829681;-0.174863;-0.494162;0.099164;1.433693;0.344869;-0.746080;-0.366657;0.515324;-0.208250;0.155189;1.404193;0.329069;-0.792951;0.133556;0.583558;0.113360;0.070430;1.398173;0.354195;-0.222930;-0.808181;0.187325;-0.511913;0.113851;1.393941;0.331171;0.191983;-0.829681;-0.174863;-0.494162;0.146405;1.417091;0.330941;-0.792951;0.133556;0.583558;0.113360;0.118219;1.380073;0.363700;0.375125;-0.807897;-0.028149;-0.453642;0.124075;1.414737;0.378554;-0.678157;-0.467060;0.553258;-0.125953;0.164405;1.403024;0.352187;-0.828484;-0.021960;0.483351;0.281965;0.102960;1.388947;0.376937;-0.116482;-0.863597;0.232763;-0.431802;0.135523;1.394247;0.355421;0.375125;-0.807897;-0.028149;-0.453642;2023/04/28 12:53:08.0835;0.107071;1.380369;0.352988;0.336129;-0.809174;-0.115575;-0.467866;0.110584;1.426532;0.362998;-0.725863;-0.423409;0.510484;-0.182360;0.162413;1.406965;0.343797;-0.792951;0.133556;0.583558;0.113360;0.085734;1.392608;0.368092;-0.143870;-0.851358;0.191877;-0.466556;0.126051;1.396259;0.343576;0.336129;-0.809174;-0.115575;-0.467866;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074707;1.363268;0.310946;-0.289328;0.444238;0.624396;-0.573648;0.140853;1.391043;0.307163;-0.335673;0.401821;0.566470;-0.636376;0.109360;1.375107;0.308410;-0.433619;0.388980;0.560493;-0.588656;0.051372;1.351586;0.305093;-0.289328;0.444238;0.624396;-0.573648;77;0.193647;1.400490;0.317014;-0.792951;0.133556;0.583558;0.113360
NA;35075;8;-0.006650;1.532471;-0.068507;0.995945;0.054956;0.070380;-0.010996;0.044741;1.381558;0.339079;-0.771019;-0.313504;0.502299;-0.234394;0.089927;1.428571;0.322517;-0.759867;-0.257967;0.552409;-0.225608;0.146442;1.400856;0.312931;-0.792881;0.128698;0.584351;0.115373;0.060136;1.402151;0.333088;-0.738596;-0.345686;0.516755;-0.260657;0.028866;1.364882;0.346910;-0.771019;-0.313504;0.502299;-0.234394;0.092581;1.380543;0.342244;0.197525;-0.827353;-0.174682;-0.495942;0.098881;1.432546;0.344722;-0.743159;-0.370686;0.517031;-0.207333;0.155032;1.403348;0.328818;-0.792881;0.128698;0.584351;0.115373;0.070216;1.396858;0.353607;-0.217395;-0.808852;0.188722;-0.512721;0.113713;1.393072;0.330690;0.197525;-0.827353;-0.174682;-0.495942;0.146208;1.416208;0.330773;-0.792881;0.128698;0.584351;0.115373;0.118003;1.378793;0.363092;0.379563;-0.805318;-0.027482;-0.454577;0.123743;1.413325;0.378293;-0.674977;-0.470664;0.554374;-0.124705;0.164182;1.401981;0.351932;-0.828021;-0.027108;0.483159;0.283202;0.102687;1.387509;0.376367;-0.111574;-0.863742;0.234098;-0.432087;0.135299;1.393088;0.355006;0.379563;-0.805318;-0.027482;-0.454577;2023/04/28 12:53:08.0947;0.106909;1.379171;0.352338;0.340890;-0.806529;-0.115044;-0.469117;0.110267;1.425237;0.362813;-0.722780;-0.427403;0.511864;-0.181415;0.162205;1.405999;0.343576;-0.792881;0.128698;0.584351;0.115373;0.085493;1.391199;0.367500;-0.138689;-0.851649;0.193209;-0.467043;0.125864;1.395220;0.343148;0.340890;-0.806529;-0.115044;-0.469117;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074722;1.362363;0.310199;-0.290050;0.442414;0.627674;-0.571110;0.140792;1.390362;0.306760;-0.336037;0.400067;0.570162;-0.633989;0.109343;1.374325;0.307810;-0.434090;0.386654;0.563879;-0.586605;0.051427;1.350665;0.304218;-0.290050;0.442414;0.627674;-0.571110;88;0.193535;1.399870;0.316823;-0.792881;0.128698;0.584351;0.115373
NA;35076;9;-0.006817;1.532487;-0.068315;0.996018;0.054449;0.069762;-0.010809;0.044620;1.380375;0.338288;-0.768284;-0.317763;0.504060;-0.233862;0.089722;1.427666;0.322309;-0.757499;-0.261839;0.554313;-0.224439;0.146330;1.400169;0.312649;-0.792778;0.124113;0.585099;0.117296;0.059967;1.401072;0.332541;-0.735717;-0.349601;0.518589;-0.259936;0.028782;1.363566;0.345908;-0.768284;-0.317763;0.504060;-0.233862;0.092469;1.379504;0.341590;0.202924;-0.825040;-0.174639;-0.497628;0.098603;1.431456;0.344576;-0.740371;-0.374450;0.518669;-0.206446;0.154871;1.402541;0.328583;-0.792778;0.124113;0.585099;0.117296;0.070001;1.395616;0.353041;-0.212039;-0.809467;0.189984;-0.513526;0.113568;1.392268;0.330236;0.202924;-0.825040;-0.174639;-0.497628;0.146011;1.415365;0.330611;-0.792778;0.124113;0.585099;0.117296;0.117777;1.377583;0.362515;0.383705;-0.802868;-0.026785;-0.455473;0.123417;1.411984;0.378038;-0.672021;-0.473941;0.555458;-0.123426;0.163959;1.400985;0.351689;-0.827544;-0.031969;0.482984;0.284386;0.102409;1.386152;0.375825;-0.106977;-0.863843;0.235419;-0.432330;0.135066;1.391988;0.354611;0.383705;-0.802868;-0.026785;-0.455473;2023/04/28 12:53:08.1059;0.106736;1.378034;0.351718;0.345285;-0.804052;-0.114438;-0.470300;0.109956;1.424006;0.362631;-0.719878;-0.431127;0.513168;-0.180459;0.161996;1.405076;0.343364;-0.792778;0.124113;0.585099;0.117296;0.085250;1.389868;0.366934;-0.133874;-0.851891;0.194541;-0.467453;0.125670;1.394226;0.342736;0.345285;-0.804052;-0.114438;-0.470300;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074719;1.361514;0.309528;-0.290853;0.440645;0.630570;-0.568874;0.140721;1.389708;0.306387;-0.336450;0.398423;0.573510;-0.631780;0.109312;1.373583;0.307259;-0.434654;0.384420;0.566838;-0.584800;0.051458;1.349803;0.303441;-0.290853;0.440645;0.630570;-0.568874;100;0.193417;1.399274;0.316646;-0.792778;0.124113;0.585099;0.117296
NA;35077;10;-0.006965;1.532557;-0.068114;0.996099;0.053742;0.069188;-0.010585;0.044501;1.379244;0.337523;-0.765597;-0.321907;0.505718;-0.233425;0.089518;1.426799;0.322107;-0.755205;-0.265529;0.556134;-0.223326;0.146213;1.399507;0.312383;-0.792647;0.119749;0.585811;0.119149;0.059798;1.400042;0.332012;-0.732907;-0.353382;0.520324;-0.259292;0.028702;1.362307;0.344938;-0.765597;-0.321907;0.505718;-0.233425;0.092354;1.378520;0.340960;0.208199;-0.822736;-0.174702;-0.499238;0.098329;1.430411;0.344431;-0.737690;-0.378002;0.520253;-0.205584;0.154706;1.401763;0.328361;-0.792647;0.119749;0.585811;0.119149;0.069785;1.394431;0.352493;-0.206831;-0.810033;0.191141;-0.514327;0.113418;1.391514;0.329803;0.208199;-0.822736;-0.174702;-0.499238;0.145812;1.414554;0.330455;-0.792647;0.119749;0.585811;0.119149;0.117543;1.376429;0.361962;0.387613;-0.800521;-0.026068;-0.456337;0.123096;1.410699;0.377787;-0.669243;-0.476959;0.556516;-0.122126;0.163736;1.400029;0.351454;-0.827054;-0.036599;0.482821;0.285527;0.102127;1.384860;0.375304;-0.102628;-0.863907;0.236729;-0.432540;0.134827;1.390935;0.354233;0.387613;-0.800521;-0.026068;-0.456337;2023/04/28 12:53:08.1166;0.106555;1.376947;0.351122;0.349393;-0.801708;-0.113777;-0.471428;0.109649;1.422827;0.362450;-0.717116;-0.434635;0.514411;-0.179495;0.161786;1.404189;0.343161;-0.792647;0.119749;0.585811;0.119149;0.085006;1.388599;0.366388;-0.129348;-0.852093;0.195870;-0.467805;0.125471;1.393268;0.342338;0.349393;-0.801708;-0.113777;-0.471428;3dca1549-cc01-4a85-976e-cb70f9547f39;0.074704;1.360708;0.308918;-0.291711;0.438922;0.633171;-0.566876;0.140642;1.389076;0.306037;-0.336899;0.396868;0.576590;-0.629713;0.109269;1.372874;0.306746;-0.435283;0.382262;0.569467;-0.583191;0.051472;1.348987;0.302740;-0.291711;0.438922;0.633171;-0.566876;110;0.193294;1.398698;0.316479;-0.792647;0.119749;0.585811;0.119149
