Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;32766;1;0.011211;1.623429;0.074239;0.966120;0.255787;0.025919;-0.022664;0.103231;1.448979;0.447589;-0.976383;0.140282;0.146074;0.075238;0.119368;1.409436;0.398371;-0.905455;0.392916;0.144590;0.069725;0.127719;1.359778;0.360343;-0.909268;0.388131;0.087999;0.121827;0.110957;1.439159;0.424752;-0.966889;0.184594;0.165189;0.061347;0.097410;1.457076;0.469397;-0.976383;0.140282;0.146074;0.075238;0.138674;1.448269;0.460554;-0.977657;-0.004907;0.119938;0.172564;0.143195;1.409001;0.400567;-0.906713;0.392706;0.054232;0.143922;0.145377;1.357578;0.360987;-0.909268;0.388131;0.087999;0.121827;0.143870;1.442462;0.432094;-0.982353;0.086641;0.101203;0.131280;0.133069;1.450153;0.486662;-0.977657;-0.004907;0.119938;0.172564;0.147825;1.372518;0.364874;-0.909268;0.388131;0.087999;0.121827;0.189010;1.410647;0.447997;-0.936414;0.036465;0.130341;0.323745;0.178593;1.381149;0.405779;-0.866324;0.414535;-0.039603;0.275817;0.170662;1.352052;0.367292;-0.874445;0.323760;0.040165;0.359045;0.188375;1.404063;0.427272;-0.927357;0.148822;0.039008;0.341085;0.184435;1.415416;0.470568;-0.936414;0.036465;0.130341;0.323745;2023/05/02 10:45:52.1144;0.163892;1.436480;0.458152;-0.963904;-0.024899;0.163387;0.208745;0.162071;1.397579;0.403635;-0.887782;0.413176;0.016256;0.202149;0.163482;1.356353;0.363127;-0.909268;0.388131;0.087999;0.121827;0.167843;1.428496;0.431120;-0.962660;0.122872;0.100117;0.219463;0.156330;1.438463;0.483068;-0.963904;-0.024899;0.163387;0.208745;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078338;1.364978;0.422240;-0.700386;0.106607;0.032622;-0.705004;0.116218;1.354161;0.363830;-0.641599;0.278876;0.194200;-0.687652;0.094183;1.357322;0.390611;-0.733877;0.230288;0.100212;-0.631150;0.072099;1.368395;0.447634;-0.700386;0.106607;0.032622;-0.705004;11;0.152455;1.336035;0.329181;-0.909268;0.388131;0.087999;0.121827
NA;32767;2;0.011397;1.623399;0.074406;0.966014;0.256119;0.026200;-0.023104;0.103248;1.448804;0.447137;-0.976443;0.140427;0.145980;0.074363;0.119414;1.409229;0.397962;-0.905240;0.393529;0.144653;0.068930;0.127814;1.359535;0.359994;-0.909131;0.388674;0.088107;0.121039;0.110979;1.438982;0.424303;-0.966917;0.184793;0.165123;0.060476;0.097424;1.456903;0.468944;-0.976443;0.140427;0.145980;0.074363;0.138686;1.448145;0.460079;-0.977808;-0.005216;0.119919;0.171708;0.143242;1.408831;0.400147;-0.906508;0.393439;0.054378;0.143150;0.145476;1.357360;0.360631;-0.909131;0.388674;0.088107;0.121039;0.143888;1.442343;0.431619;-0.982468;0.086625;0.101212;0.130421;0.133077;1.450008;0.486188;-0.977808;-0.005216;0.119919;0.171708;0.147904;1.372309;0.364497;-0.909131;0.388674;0.088107;0.121039;0.189063;1.410596;0.447551;-0.936654;0.036745;0.130521;0.322945;0.178682;1.381034;0.405375;-0.866231;0.415228;-0.039287;0.275110;0.170771;1.351878;0.366929;-0.874500;0.324376;0.040387;0.358328;0.188439;1.403993;0.426832;-0.927560;0.149205;0.039273;0.340336;0.184480;1.415376;0.470117;-0.936654;0.036745;0.130521;0.322945;2023/05/02 10:45:52.1323;0.163892;1.436358;0.457701;-0.964055;-0.025642;0.163570;0.207811;0.162136;1.397439;0.403219;-0.887702;0.413708;0.016537;0.201388;0.163583;1.356163;0.362763;-0.909131;0.388674;0.088107;0.121039;0.167870;1.428395;0.430666;-0.962884;0.122497;0.100376;0.218574;0.156310;1.438300;0.482614;-0.964055;-0.025642;0.163570;0.207811;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078471;1.364707;0.421924;-0.699701;0.106724;0.032266;-0.705682;0.116323;1.353906;0.363495;-0.640935;0.278760;0.193927;-0.688395;0.094301;1.357052;0.390287;-0.733277;0.230221;0.099806;-0.631936;0.072237;1.368134;0.447318;-0.699701;0.106724;0.032266;-0.705682;29;0.152567;1.335787;0.328847;-0.909131;0.388674;0.088107;0.121039
NA;32768;3;0.011647;1.623424;0.074897;0.966155;0.255462;0.026999;-0.023573;0.103270;1.448358;0.446424;-0.976698;0.139756;0.145732;0.072748;0.119490;1.408801;0.397271;-0.905112;0.394051;0.144700;0.067508;0.127979;1.359066;0.359377;-0.909013;0.389349;0.088251;0.119643;0.111010;1.438572;0.423578;-0.967139;0.184306;0.164938;0.058898;0.097439;1.456416;0.468244;-0.976698;0.139756;0.145732;0.072748;0.138685;1.447822;0.459291;-0.978080;-0.006319;0.119935;0.170104;0.143321;1.408466;0.399434;-0.906262;0.394474;0.054705;0.141729;0.145647;1.356938;0.360000;-0.909013;0.389349;0.088251;0.119643;0.143903;1.442053;0.430827;-0.982710;0.086191;0.101282;0.128817;0.133059;1.449619;0.485401;-0.978080;-0.006319;0.119935;0.170104;0.148040;1.371899;0.363838;-0.909013;0.389349;0.088251;0.119643;0.189162;1.410445;0.446771;-0.937111;0.037288;0.130733;0.321468;0.178835;1.380766;0.404672;-0.866083;0.416468;-0.038790;0.273771;0.170961;1.351529;0.366280;-0.874707;0.325198;0.040657;0.357044;0.188549;1.403804;0.426063;-0.927926;0.150005;0.039618;0.338943;0.184569;1.415246;0.469331;-0.937111;0.037288;0.130733;0.321468;2023/05/02 10:45:52.1450;0.163893;1.436078;0.456927;-0.964330;-0.027032;0.163845;0.206136;0.162247;1.397126;0.402505;-0.887575;0.414635;0.016993;0.199999;0.163758;1.355789;0.362114;-0.909013;0.389349;0.088251;0.119643;0.167914;1.428153;0.429888;-0.963288;0.121830;0.100776;0.216973;0.156276;1.437941;0.481835;-0.964330;-0.027032;0.163845;0.206136;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078706;1.364118;0.421380;-0.698408;0.106589;0.031973;-0.706996;0.116507;1.353413;0.362900;-0.639781;0.278162;0.193769;-0.689754;0.094510;1.356500;0.389720;-0.732204;0.229731;0.099412;-0.633418;0.072480;1.367538;0.446776;-0.698408;0.106589;0.031973;-0.706996;42;0.152760;1.335332;0.328242;-0.909013;0.389349;0.088251;0.119643
NA;32769;4;0.012081;1.623940;0.075856;0.966306;0.254755;0.027751;-0.024139;0.102971;1.448500;0.446046;-0.976336;0.139459;0.147523;0.074548;0.119262;1.408894;0.396965;-0.904634;0.394309;0.145891;0.069814;0.127728;1.359109;0.359128;-0.908497;0.389549;0.089463;0.121994;0.110776;1.438702;0.423227;-0.966756;0.184173;0.166637;0.060798;0.097074;1.456559;0.467848;-0.976336;0.139459;0.147523;0.074548;0.138327;1.447812;0.459047;-0.977520;-0.008274;0.122182;0.171632;0.143083;1.408477;0.399225;-0.905753;0.394618;0.055847;0.144119;0.145384;1.356917;0.359827;-0.908497;0.389549;0.089463;0.121994;0.143661;1.442085;0.430596;-0.982366;0.085059;0.103313;0.130570;0.132571;1.449536;0.485134;-0.977520;-0.008274;0.122182;0.171632;0.147820;1.371871;0.363672;-0.908497;0.389549;0.089463;0.121994;0.188678;1.410287;0.446768;-0.936281;0.035312;0.133488;0.322972;0.178478;1.380657;0.404625;-0.865616;0.416012;-0.037441;0.276118;0.170659;1.351423;0.366220;-0.873894;0.324820;0.041987;0.359219;0.188171;1.403675;0.426048;-0.927405;0.148441;0.041967;0.340770;0.183945;1.415049;0.469307;-0.936281;0.035312;0.133488;0.322972;2023/05/02 10:45:52.1573;0.163473;1.435956;0.456817;-0.963532;-0.029281;0.166364;0.207537;0.161956;1.397073;0.402381;-0.887149;0.414335;0.018136;0.202395;0.163487;1.355705;0.362022;-0.908497;0.389549;0.089463;0.121994;0.167617;1.428086;0.429780;-0.962862;0.120195;0.102918;0.218763;0.155712;1.437742;0.481687;-0.963532;-0.029281;0.166364;0.207537;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078180;1.364452;0.420879;-0.699788;0.108838;0.032943;-0.705242;0.116217;1.353502;0.362600;-0.640596;0.280739;0.194273;-0.687809;0.094100;1.356721;0.389306;-0.733185;0.231950;0.100219;-0.631344;0.071847;1.367933;0.446241;-0.699788;0.108838;0.032943;-0.705242;55;0.152556;1.335265;0.328119;-0.908497;0.389549;0.089463;0.121994
NA;32770;5;0.012411;1.624019;0.076323;0.966563;0.253678;0.028392;-0.024436;0.102687;1.448601;0.445707;-0.976027;0.138950;0.149195;0.076199;0.119047;1.408967;0.396680;-0.904237;0.394420;0.147006;0.071959;0.127490;1.359141;0.358890;-0.908031;0.389680;0.090591;0.124191;0.110553;1.438803;0.422909;-0.966432;0.183840;0.168226;0.062552;0.096726;1.456651;0.467495;-0.976027;0.138950;0.149195;0.076199;0.137986;1.447769;0.458827;-0.976983;-0.010552;0.124319;0.173025;0.142858;1.408474;0.399031;-0.905297;0.394691;0.056906;0.146352;0.145135;1.356888;0.359660;-0.908031;0.389680;0.090591;0.124191;0.143432;1.442097;0.430387;-0.982063;0.083704;0.105238;0.132180;0.132102;1.449401;0.484891;-0.976983;-0.010552;0.124319;0.173025;0.147611;1.371835;0.363514;-0.908031;0.389680;0.090591;0.124191;0.188212;1.410117;0.446768;-0.935501;0.033080;0.136207;0.324332;0.178142;1.380542;0.404580;-0.865201;0.415538;-0.036150;0.278297;0.170374;1.351314;0.366160;-0.873149;0.324414;0.043212;0.361247;0.187810;1.403540;0.426035;-0.926953;0.146728;0.044262;0.342449;0.183335;1.414828;0.469288;-0.935501;0.033080;0.136207;0.324332;2023/05/02 10:45:52.1696;0.163072;1.435809;0.456722;-0.962757;-0.031792;0.168777;0.208814;0.161682;1.397010;0.402265;-0.886773;0.413993;0.019188;0.204634;0.163232;1.355618;0.361932;-0.908031;0.389680;0.090591;0.124191;0.167337;1.428006;0.429685;-0.962489;0.118391;0.104956;0.220416;0.155169;1.437506;0.481553;-0.962757;-0.031792;0.168777;0.208814;cac30bdb-35e1-45ca-8340-45cec70e4348;0.077678;1.364766;0.420393;-0.701131;0.111014;0.033875;-0.703523;0.115942;1.353576;0.362310;-0.641386;0.283248;0.194761;-0.685903;0.093711;1.356925;0.388904;-0.734137;0.234109;0.101006;-0.629313;0.071241;1.368308;0.445721;-0.701131;0.111014;0.033875;-0.703523;67;0.152364;1.335196;0.327997;-0.908031;0.389680;0.090591;0.124191
NA;32771;6;0.012467;1.623989;0.076769;0.966700;0.252950;0.029591;-0.025146;0.103057;1.447894;0.446054;-0.976510;0.135905;0.148837;0.076199;0.119392;1.408474;0.396867;-0.904939;0.392925;0.146592;0.072151;0.127836;1.358785;0.358896;-0.908754;0.388065;0.090282;0.124183;0.110918;1.438222;0.423200;-0.966976;0.181229;0.167889;0.062668;0.097097;1.455805;0.467893;-0.976510;0.135905;0.148837;0.076199;0.138346;1.447045;0.459140;-0.976993;-0.012899;0.123889;0.173120;0.143204;1.407978;0.399209;-0.905961;0.393239;0.056477;0.146314;0.145483;1.356534;0.359653;-0.908754;0.388065;0.090282;0.124183;0.143790;1.441499;0.430674;-0.982276;0.081552;0.104878;0.132230;0.132463;1.448550;0.485211;-0.976993;-0.012899;0.123889;0.173120;0.147956;1.371468;0.363559;-0.908754;0.388065;0.090282;0.124183;0.188551;1.409449;0.446944;-0.935620;0.030813;0.135777;0.324394;0.178497;1.380036;0.404647;-0.865986;0.414019;-0.036647;0.278053;0.170724;1.350943;0.366125;-0.873777;0.322903;0.042477;0.361168;0.188161;1.402959;0.426183;-0.927331;0.144685;0.043752;0.342359;0.183657;1.414055;0.469481;-0.935620;0.030813;0.135777;0.324394;2023/05/02 10:45:52.1875;0.163411;1.435083;0.456996;-0.962704;-0.034386;0.168457;0.208905;0.162032;1.396508;0.402395;-0.887534;0.412450;0.018760;0.204492;0.163580;1.355260;0.361915;-0.908754;0.388065;0.090282;0.124183;0.167686;1.427408;0.429923;-0.962810;0.116100;0.104590;0.220404;0.155495;1.436646;0.481831;-0.962704;-0.034386;0.168457;0.208905;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078071;1.364156;0.420454;-0.701265;0.109092;0.034731;-0.703648;0.116291;1.353206;0.362300;-0.641801;0.281878;0.196005;-0.685724;0.094068;1.356445;0.388914;-0.734543;0.232259;0.101818;-0.629393;0.071673;1.367597;0.445805;-0.701265;0.109092;0.034731;-0.703648;85;0.152707;1.334957;0.327910;-0.908754;0.388065;0.090282;0.124183
NA;32772;7;0.012749;1.623883;0.077424;0.966721;0.252772;0.030455;-0.025082;0.102602;1.447018;0.445360;-0.976741;0.132774;0.150062;0.076355;0.119055;1.407756;0.396113;-0.905114;0.391998;0.147560;0.073020;0.127632;1.358128;0.358088;-0.908889;0.387196;0.091777;0.124811;0.110530;1.437458;0.422482;-0.967187;0.178834;0.169091;0.063055;0.096572;1.454792;0.467229;-0.976741;0.132774;0.150062;0.076355;0.137732;1.446120;0.458538;-0.976761;-0.016469;0.125769;0.172772;0.142859;1.407262;0.398535;-0.906295;0.392024;0.058128;0.146860;0.145275;1.355877;0.358905;-0.908889;0.387196;0.091777;0.124811;0.143309;1.440718;0.430070;-0.982314;0.078814;0.106797;0.132067;0.131716;1.447453;0.484589;-0.976761;-0.016469;0.125769;0.172772;0.147739;1.370804;0.362850;-0.908889;0.387196;0.091777;0.124811;0.188019;1.408662;0.446411;-0.935429;0.028093;0.137801;0.324337;0.178139;1.379319;0.404054;-0.866175;0.413374;-0.035408;0.278586;0.170503;1.350280;0.365463;-0.873972;0.321661;0.043737;0.361654;0.187735;1.402233;0.425630;-0.927529;0.142489;0.045581;0.342505;0.182996;1.413180;0.468938;-0.935429;0.028093;0.137801;0.324337;2023/05/02 10:45:52.2022;0.162782;1.434201;0.456442;-0.962273;-0.038150;0.170677;0.208436;0.161678;1.395791;0.401769;-0.887813;0.411498;0.020403;0.205041;0.163373;1.354602;0.361235;-0.908889;0.387196;0.091777;0.124811;0.167213;1.426659;0.429357;-0.962957;0.113171;0.106719;0.220267;0.154714;1.435595;0.481239;-0.962273;-0.038150;0.170677;0.208436;cac30bdb-35e1-45ca-8340-45cec70e4348;0.077589;1.363464;0.419419;-0.701368;0.110543;0.036758;-0.703215;0.116071;1.352546;0.361432;-0.641642;0.283207;0.197708;-0.684837;0.093727;1.355772;0.387947;-0.734557;0.233416;0.103739;-0.628635;0.071066;1.366885;0.444741;-0.701368;0.110543;0.036758;-0.703215;99;0.152620;1.334345;0.327165;-0.908889;0.387196;0.091777;0.124811
NA;32773;8;0.012875;1.623867;0.077639;0.966561;0.253409;0.030503;-0.024784;0.103043;1.447225;0.445282;-0.976726;0.133889;0.149262;0.076166;0.119393;1.407831;0.396106;-0.904724;0.393271;0.146757;0.072629;0.127924;1.358137;0.358160;-0.908649;0.388052;0.091198;0.124320;0.110926;1.437604;0.422414;-0.967102;0.180152;0.168259;0.062837;0.097054;1.455046;0.467145;-0.976726;0.133889;0.149262;0.076166;0.138162;1.446312;0.458433;-0.976891;-0.015536;0.125150;0.172568;0.143200;1.407346;0.398491;-0.906005;0.392950;0.057571;0.146394;0.145569;1.355893;0.358950;-0.908649;0.388052;0.091198;0.124320;0.143694;1.440859;0.429966;-0.982340;0.079824;0.106128;0.131805;0.132187;1.447688;0.484490;-0.976891;-0.015536;0.125150;0.172568;0.148032;1.370828;0.362860;-0.908649;0.388052;0.091198;0.124320;0.188474;1.408847;0.446276;-0.935536;0.029259;0.137129;0.324209;0.178495;1.379420;0.404001;-0.865693;0.414576;-0.036132;0.278204;0.170805;1.350314;0.365472;-0.873776;0.322683;0.043379;0.361261;0.188144;1.402377;0.425508;-0.927421;0.143770;0.044892;0.342352;0.183497;1.413405;0.468805;-0.935536;0.029259;0.137129;0.324209;2023/05/02 10:45:52.2160;0.163238;1.434416;0.456301;-0.962473;-0.036968;0.169994;0.208282;0.162027;1.395885;0.401715;-0.887384;0.412658;0.019773;0.204625;0.163667;1.354627;0.361247;-0.908649;0.388052;0.091198;0.124320;0.167615;1.426813;0.429225;-0.962928;0.114490;0.106020;0.220049;0.155216;1.435861;0.481110;-0.962473;-0.036968;0.169994;0.208282;cac30bdb-35e1-45ca-8340-45cec70e4348;0.078038;1.363515;0.419613;-0.701164;0.109691;0.035142;-0.703635;0.116373;1.352556;0.361539;-0.641439;0.282734;0.196627;-0.685533;0.094089;1.355799;0.388103;-0.734353;0.232885;0.102373;-0.629293;0.071603;1.366963;0.444954;-0.701164;0.109691;0.035142;-0.703635;113;0.152863;1.334311;0.327229;-0.908649;0.388052;0.091198;0.124320
NA;32774;9;0.013102;1.623808;0.077804;0.966402;0.254114;0.029952;-0.024442;0.103063;1.447016;0.444731;-0.976530;0.134565;0.149619;0.076789;0.119398;1.407533;0.395620;-0.904368;0.393908;0.146903;0.073310;0.127923;1.357790;0.357736;-0.908322;0.388529;0.091598;0.124926;0.110950;1.437351;0.421883;-0.966860;0.180942;0.168561;0.063477;0.097066;1.454872;0.466580;-0.976530;0.134565;0.149619;0.076789;0.138122;1.446067;0.457923;-0.976742;-0.015204;0.125898;0.172895;0.143202;1.407028;0.398032;-0.905678;0.393407;0.058056;0.146993;0.145565;1.355530;0.358549;-0.908322;0.388529;0.091598;0.124926;0.143685;1.440577;0.429469;-0.982172;0.080340;0.106787;0.132211;0.132112;1.447469;0.483971;-0.976742;-0.015204;0.125898;0.172895;0.148039;1.370466;0.362447;-0.908322;0.388529;0.091598;0.124926;0.188440;1.408536;0.445857;-0.935273;0.029159;0.137907;0.324649;0.178464;1.379074;0.403613;-0.865235;0.415093;-0.035917;0.278884;0.170789;1.349933;0.365108;-0.873399;0.322983;0.043921;0.361839;0.188127;1.402050;0.425093;-0.927151;0.143958;0.045489;0.342926;0.183431;1.413104;0.468377;-0.935273;0.029159;0.137907;0.324649;2023/05/02 10:45:52.2323;0.163194;1.434147;0.455827;-0.962280;-0.036795;0.170795;0.208550;0.162014;1.395552;0.401290;-0.886992;0.413163;0.020225;0.205261;0.163660;1.354248;0.360870;-0.908322;0.388529;0.091598;0.124926;0.167600;1.426513;0.428764;-0.962709;0.114872;0.106713;0.220474;0.155135;1.435612;0.480623;-0.962280;-0.036795;0.170795;0.208550;cac30bdb-35e1-45ca-8340-45cec70e4348;0.077963;1.363267;0.419121;-0.701409;0.110318;0.035079;-0.703296;0.116362;1.352224;0.361106;-0.641455;0.283557;0.196622;-0.685180;0.094046;1.355510;0.387637;-0.734442;0.233636;0.102438;-0.628901;0.071509;1.366743;0.444453;-0.701409;0.110318;0.035079;-0.703296;129;0.152876;1.333904;0.326862;-0.908322;0.388529;0.091598;0.124926
NA;32775;10;0.013453;1.623853;0.078581;0.966372;0.254147;0.030135;-0.025029;0.103054;1.446551;0.443701;-0.976166;0.135671;0.150361;0.078004;0.119378;1.406941;0.394683;-0.903860;0.394687;0.147282;0.074612;0.127893;1.357116;0.356900;-0.907730;0.389321;0.092421;0.126147;0.110955;1.436817;0.420888;-0.966443;0.182119;0.169218;0.064706;0.097040;1.454466;0.465524;-0.976166;0.135671;0.150361;0.078004;0.137999;1.445557;0.456955;-0.976441;-0.014717;0.127424;0.173520;0.143176;1.406396;0.397153;-0.905106;0.394126;0.059083;0.148180;0.145528;1.354820;0.357763;-0.907730;0.389321;0.092421;0.126147;0.143628;1.440004;0.428526;-0.981848;0.081175;0.108154;0.132995;0.131916;1.447002;0.482984;-0.976441;-0.014717;0.127424;0.173520;0.148028;1.369758;0.361648;-0.907730;0.389321;0.092421;0.126147;0.188318;1.407897;0.445068;-0.934755;0.028475;0.139632;0.325460;0.178372;1.378387;0.402869;-0.864453;0.415867;-0.035352;0.280225;0.170733;1.349188;0.364400;-0.872704;0.323418;0.044988;0.362995;0.188052;1.401393;0.424309;-0.926685;0.143932;0.046828;0.344015;0.183229;1.412464;0.467570;-0.934755;0.028475;0.139632;0.325460;2023/05/02 10:45:52.2460;0.163045;1.433576;0.454938;-0.961872;-0.036882;0.172510;0.209003;0.161959;1.394891;0.400476;-0.886351;0.413869;0.021267;0.206499;0.163622;1.353508;0.360138;-0.907730;0.389321;0.092421;0.126147;0.167523;1.425902;0.427898;-0.962323;0.115204;0.108230;0.221245;0.154903;1.435059;0.479705;-0.961872;-0.036882;0.172510;0.209003;cac30bdb-35e1-45ca-8340-45cec70e4348;0.077725;1.362800;0.418103;-0.701936;0.112113;0.035489;-0.702465;0.116308;1.351583;0.360242;-0.641519;0.285466;0.196849;-0.684261;0.093908;1.354956;0.386691;-0.734633;0.235528;0.102997;-0.627880;0.071196;1.366333;0.443408;-0.701936;0.112113;0.035489;-0.702465;143;0.152880;1.333120;0.326143;-0.907730;0.389321;0.092421;0.126147
