Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;36931;1;-0.023108;1.774086;-0.049780;0.960184;0.273388;0.003788;0.057377;-0.030126;1.536081;0.278436;0.744715;0.274737;-0.554656;-0.249552;0.034291;1.544594;0.268448;0.732244;0.248657;-0.592929;-0.224551;0.088919;1.523933;0.247719;0.752383;0.139535;-0.541613;-0.348001;-0.005019;1.540668;0.275396;0.716752;0.300524;-0.592067;-0.213093;-0.052754;1.533524;0.284924;0.744715;0.274737;-0.554656;-0.249552;0.008189;1.487724;0.253992;0.074151;0.845365;-0.411880;0.331986;0.040458;1.532585;0.287843;0.606121;0.531493;-0.588833;-0.058385;0.095481;1.514960;0.261600;0.752383;0.139535;-0.541613;-0.348001;0.005234;1.506457;0.276111;0.251736;0.772646;-0.531604;0.238839;0.020643;1.476201;0.233725;0.074151;0.845365;-0.411880;0.331986;0.087247;1.524490;0.270353;0.752383;0.139535;-0.541613;-0.348001;0.055063;1.476260;0.262633;-0.397995;0.769906;-0.307516;0.392785;0.059844;1.494727;0.301819;0.399574;0.692493;-0.599136;-0.042796;0.101618;1.498838;0.277967;0.729746;0.309826;-0.396196;-0.463149;0.042363;1.478413;0.279823;-0.097428;0.840963;-0.439201;0.300653;0.074423;1.484437;0.252755;-0.397995;0.769906;-0.307516;0.392785;2023/05/02 11:30:51.6042;0.044435;1.483311;0.253957;-0.388476;0.765850;-0.233024;0.456354;0.049067;1.514631;0.297186;0.481263;0.658864;-0.578129;0.007121;0.100833;1.507264;0.274279;0.752383;0.139535;-0.541613;-0.348001;0.026504;1.488137;0.275053;-0.070039;0.837243;-0.417547;0.346084;0.067201;1.491951;0.245479;-0.388476;0.765850;-0.233024;0.456354;890466f8-4800-4136-9056-fb649b447e31;0.024753;1.487087;0.225340;0.458062;-0.091304;-0.594071;0.654922;0.083701;1.520192;0.236341;0.392942;-0.280001;-0.777374;0.403592;0.054923;1.506182;0.223776;0.513647;-0.147913;-0.675451;0.507991;0.006555;1.469664;0.231922;0.458062;-0.091304;-0.594071;0.654922;12;0.134036;1.516395;0.252863;0.752383;0.139535;-0.541613;-0.348001
NA;36932;2;-0.023123;1.774184;-0.049986;0.960159;0.273496;0.003849;0.057267;-0.030842;1.535306;0.278222;0.743543;0.277621;-0.554485;-0.250234;0.033581;1.543983;0.268417;0.731092;0.251498;-0.592834;-0.225391;0.088284;1.523540;0.247667;0.751770;0.142497;-0.541172;-0.348813;-0.005736;1.539952;0.275260;0.715445;0.303300;-0.591944;-0.213895;-0.053479;1.532673;0.284647;0.743543;0.277621;-0.554485;-0.250234;0.007862;1.487175;0.253481;0.066993;0.845973;-0.410145;0.334099;0.039733;1.531872;0.287753;0.603467;0.534501;-0.588833;-0.058416;0.094835;1.514497;0.261507;0.751770;0.142497;-0.541172;-0.348813;0.004634;1.505708;0.275730;0.245990;0.774517;-0.530972;0.240168;0.020591;1.475948;0.233219;0.066993;0.845973;-0.410145;0.334099;0.086568;1.523957;0.270302;0.751770;0.142497;-0.541172;-0.348813;0.054500;1.475746;0.262266;-0.402121;0.768064;-0.306843;0.392714;0.059158;1.493966;0.301544;0.397144;0.694180;-0.598735;-0.043663;0.100968;1.498286;0.277794;0.728868;0.312705;-0.395257;-0.463400;0.041737;1.477750;0.279428;-0.101359;0.840725;-0.438918;0.300432;0.073877;1.484057;0.252533;-0.402121;0.768064;-0.306843;0.392714;2023/05/02 11:30:51.6195;0.043943;1.482847;0.253599;-0.392746;0.763701;-0.232251;0.456696;0.048355;1.513878;0.297007;0.478456;0.660929;-0.578106;0.006778;0.100176;1.506731;0.274154;0.751770;0.142497;-0.541172;-0.348813;0.025910;1.487472;0.274652;-0.074328;0.836932;-0.417257;0.346290;0.066719;1.491635;0.245300;-0.392746;0.763701;-0.232251;0.456696;890466f8-4800-4136-9056-fb649b447e31;0.024197;1.486769;0.224939;0.457409;-0.090453;-0.596895;0.652925;0.083093;1.519861;0.236255;0.392903;-0.278753;-0.779112;0.401134;0.054352;1.505901;0.223552;0.513228;-0.146477;-0.677597;0.505968;0.005993;1.469292;0.231356;0.457409;-0.090453;-0.596895;0.652925;28;0.133402;1.516042;0.252852;0.751770;0.142497;-0.541172;-0.348813
NA;36933;3;-0.023229;1.774362;-0.050293;0.960197;0.273367;0.003920;0.057249;-0.030871;1.536606;0.278218;0.743961;0.273726;-0.554680;-0.252839;0.033584;1.544737;0.268164;0.731599;0.247609;-0.592940;-0.227761;0.088042;1.523778;0.247285;0.751544;0.138441;-0.540956;-0.351259;-0.005740;1.541039;0.275152;0.716118;0.299362;-0.592233;-0.216373;-0.053506;1.534178;0.284732;0.743961;0.273726;-0.554680;-0.252839;0.007425;1.488098;0.253466;0.069165;0.844798;-0.412347;0.333920;0.039707;1.532639;0.287517;0.604851;0.531159;-0.590217;-0.060581;0.094570;1.514727;0.261131;0.751544;0.138441;-0.540956;-0.351259;0.004371;1.506715;0.275669;0.248418;0.772496;-0.533176;0.239294;0.020064;1.476747;0.233216;0.069165;0.844798;-0.412347;0.333920;0.086412;1.524286;0.269924;0.751544;0.138441;-0.540956;-0.351259;0.053877;1.476307;0.262194;-0.399092;0.767770;-0.309943;0.393942;0.058872;1.494620;0.301361;0.399752;0.690387;-0.601207;-0.045981;0.100630;1.498521;0.277447;0.728187;0.309073;-0.395964;-0.466295;0.041193;1.478483;0.279393;-0.097813;0.839461;-0.442305;0.300175;0.073300;1.484430;0.252396;-0.399092;0.767770;-0.309943;0.393942;2023/05/02 11:30:51.6364;0.043401;1.483478;0.253526;-0.389766;0.763774;-0.234902;0.457770;0.048216;1.514605;0.296798;0.480643;0.657573;-0.580137;0.004573;0.099893;1.506961;0.273782;0.751544;0.138441;-0.540956;-0.351259;0.025465;1.488317;0.274614;-0.071013;0.835806;-0.420241;0.346097;0.066227;1.492071;0.245161;-0.389766;0.763774;-0.234902;0.457770;890466f8-4800-4136-9056-fb649b447e31;0.023573;1.487451;0.224883;0.460734;-0.093239;-0.595579;0.651396;0.082780;1.520102;0.235906;0.395406;-0.281743;-0.776604;0.401449;0.053884;1.506323;0.223356;0.516114;-0.149370;-0.675515;0.504970;0.005214;1.470156;0.231354;0.460734;-0.093239;-0.595579;0.651396;45;0.133118;1.515932;0.252330;0.751544;0.138441;-0.540956;-0.351259
NA;36934;4;-0.023179;1.774557;-0.050486;0.960480;0.272310;0.004081;0.057517;-0.031799;1.536671;0.277569;0.742838;0.273908;-0.556424;-0.252111;0.032701;1.544768;0.267778;0.730444;0.247584;-0.594588;-0.227197;0.087195;1.523720;0.247085;0.750591;0.138309;-0.542327;-0.351233;-0.006653;1.541097;0.274611;0.714912;0.299511;-0.593917;-0.215542;-0.054462;1.534253;0.283987;0.742838;0.273908;-0.556424;-0.252111;0.006045;1.488099;0.253225;0.076980;0.843281;-0.416780;0.330522;0.038751;1.532681;0.287160;0.605159;0.529494;-0.591357;-0.060965;0.093671;1.514675;0.260961;0.750591;0.138309;-0.542327;-0.351233;0.003327;1.506860;0.275351;0.253402;0.769961;-0.535583;0.236850;0.018304;1.476413;0.232932;0.076980;0.843281;-0.416780;0.330522;0.085500;1.524257;0.269716;0.750591;0.138309;-0.542327;-0.351233;0.052903;1.476291;0.261935;-0.398262;0.767421;-0.310087;0.395346;0.057831;1.494652;0.301098;0.399321;0.689678;-0.602379;-0.045006;0.099665;1.498483;0.277305;0.727465;0.309208;-0.397452;-0.466066;0.040183;1.478518;0.279101;-0.097401;0.838749;-0.442805;0.301559;0.072361;1.484354;0.252157;-0.398262;0.767421;-0.310087;0.395346;2023/05/02 11:30:51.6534;0.042448;1.483476;0.253247;-0.389290;0.763165;-0.234714;0.459285;0.047211;1.514646;0.296484;0.480394;0.656692;-0.581334;0.005295;0.098949;1.506921;0.273631;0.750591;0.138309;-0.542327;-0.351233;0.024463;1.488371;0.274281;-0.070789;0.835026;-0.420644;0.347533;0.065311;1.492023;0.244936;-0.389290;0.763165;-0.234714;0.459285;890466f8-4800-4136-9056-fb649b447e31;0.022778;1.487384;0.224585;0.460045;-0.094303;-0.595397;0.651897;0.081961;1.520032;0.235697;0.394247;-0.282807;-0.776804;0.401454;0.053093;1.506253;0.223084;0.515283;-0.150366;-0.675566;0.505456;0.004408;1.470101;0.231055;0.460045;-0.094303;-0.595397;0.651897;62;0.132248;1.515834;0.252271;0.750591;0.138309;-0.542327;-0.351233
NA;36935;5;-0.023021;1.774929;-0.050824;0.960893;0.270924;0.004464;0.057146;-0.032819;1.536539;0.275842;0.740110;0.274877;-0.559721;-0.251779;0.031775;1.544552;0.266625;0.727568;0.248441;-0.597835;-0.226972;0.086359;1.523382;0.246295;0.748189;0.139175;-0.544961;-0.351940;-0.007642;1.540937;0.273113;0.711957;0.300465;-0.597189;-0.214949;-0.055540;1.534152;0.282062;0.740110;0.274877;-0.559721;-0.251779;0.004380;1.487889;0.252083;0.087344;0.840467;-0.424144;0.325713;0.037660;1.532433;0.286038;0.604164;0.527781;-0.593824;-0.061691;0.092715;1.514309;0.260207;0.748189;0.139175;-0.544961;-0.351940;0.002128;1.506806;0.274127;0.259385;0.765999;-0.539952;0.233275;0.016093;1.475752;0.231733;0.087344;0.840467;-0.424144;0.325713;0.084507;1.523905;0.268912;0.748189;0.139175;-0.544961;-0.351940;0.051839;1.476020;0.260873;-0.399078;0.765267;-0.309916;0.398818;0.056545;1.494343;0.300075;0.396946;0.688870;-0.604989;-0.043354;0.098554;1.498089;0.276578;0.725347;0.310646;-0.400172;-0.466083;0.039000;1.478280;0.277946;-0.098779;0.836862;-0.443907;0.304715;0.071398;1.484027;0.251251;-0.399078;0.765267;-0.309916;0.398818;2023/05/02 11:30:51.6765;0.041469;1.483258;0.252135;-0.390431;0.760625;-0.234070;0.462845;0.046009;1.514368;0.295405;0.478214;0.655839;-0.584075;0.006656;0.097885;1.506532;0.272906;0.748189;0.139175;-0.544961;-0.351940;0.023331;1.488178;0.273030;-0.072422;0.833066;-0.421604;0.350722;0.064421;1.491772;0.244038;-0.390431;0.760625;-0.234070;0.462845;890466f8-4800-4136-9056-fb649b447e31;0.021998;1.487243;0.223407;0.459252;-0.096695;-0.596604;0.651000;0.081195;1.519715;0.234867;0.392588;-0.285156;-0.777782;0.399520;0.052361;1.506045;0.222058;0.514162;-0.152365;-0.676698;0.504481;0.003551;1.470002;0.229773;0.459252;-0.096695;-0.596604;0.651000;85;0.131354;1.515378;0.251786;0.748189;0.139175;-0.544961;-0.351940
NA;36936;6;-0.022900;1.775189;-0.051180;0.961304;0.269592;0.004984;0.056477;-0.033734;1.536426;0.274278;0.737698;0.275544;-0.562633;-0.251638;0.030942;1.544353;0.265575;0.724961;0.249175;-0.600759;-0.226787;0.085602;1.523074;0.245568;0.746008;0.139926;-0.547328;-0.352596;-0.008531;1.540792;0.271752;0.709319;0.301197;-0.600112;-0.214506;-0.056505;1.534077;0.280328;0.737698;0.275544;-0.562633;-0.251638;0.002889;1.487696;0.251030;0.096594;0.837854;-0.430689;0.321212;0.036676;1.532205;0.285015;0.603170;0.526423;-0.595978;-0.062255;0.091850;1.513975;0.259512;0.746008;0.139926;-0.547328;-0.352596;0.001061;1.506743;0.273001;0.264710;0.762448;-0.543807;0.229947;0.014099;1.475168;0.230633;0.096594;0.837854;-0.430689;0.321212;0.083609;1.523580;0.268176;0.746008;0.139926;-0.547328;-0.352596;0.050902;1.475780;0.259909;-0.400394;0.762964;-0.309364;0.402323;0.055383;1.494060;0.299139;0.394672;0.688130;-0.607428;-0.041751;0.097547;1.497725;0.275909;0.723418;0.311916;-0.402627;-0.466118;0.037938;1.478061;0.276885;-0.100397;0.835049;-0.444779;0.307873;0.070560;1.483753;0.250462;-0.400394;0.762964;-0.309364;0.402323;2023/05/02 11:30:51.6923;0.040623;1.483068;0.251119;-0.391956;0.758016;-0.233078;0.466323;0.044924;1.514113;0.294419;0.476023;0.655162;-0.586600;0.008077;0.096921;1.506172;0.272239;0.746008;0.139926;-0.547328;-0.352596;0.022328;1.487998;0.271874;-0.074260;0.831217;-0.422308;0.353864;0.063657;1.491574;0.243248;-0.391956;0.758016;-0.233078;0.466323;890466f8-4800-4136-9056-fb649b447e31;0.021259;1.487187;0.222329;0.458951;-0.099046;-0.597821;0.649741;0.080503;1.519434;0.234104;0.391459;-0.287550;-0.778554;0.397402;0.051685;1.505897;0.221118;0.513542;-0.154324;-0.677669;0.503214;0.002725;1.470003;0.228592;0.458951;-0.099046;-0.597821;0.649741;100;0.130543;1.514956;0.251337;0.746008;0.139926;-0.547328;-0.352596
NA;36937;7;-0.022829;1.775280;-0.051477;0.961341;0.269557;0.005022;0.056006;-0.033911;1.535406;0.274516;0.736984;0.279855;-0.561248;-0.252066;0.030734;1.543700;0.265922;0.724271;0.253543;-0.599538;-0.227379;0.085523;1.522836;0.245829;0.745882;0.144383;-0.546156;-0.352885;-0.008726;1.539905;0.272040;0.708426;0.305425;-0.598790;-0.215174;-0.056675;1.532904;0.280531;0.736984;0.279855;-0.561248;-0.252066;0.003444;1.487043;0.250684;0.085453;0.839652;-0.426747;0.324915;0.036497;1.531427;0.285274;0.599505;0.531501;-0.595263;-0.061342;0.091793;1.513657;0.259710;0.745882;0.144383;-0.546156;-0.352885;0.001135;1.505811;0.272850;0.255884;0.766127;-0.541702;0.232661;0.015134;1.474970;0.230283;0.085453;0.839652;-0.426747;0.324915;0.083495;1.523155;0.268437;0.745882;0.144383;-0.546156;-0.352885;0.051007;1.475299;0.259773;-0.405635;0.761605;-0.308217;0.400526;0.055363;1.493261;0.299127;0.392030;0.691280;-0.605461;-0.043156;0.097542;1.497305;0.275988;0.722990;0.316026;-0.400592;-0.465768;0.038001;1.477350;0.276745;-0.105420;0.835705;-0.443461;0.306310;0.070636;1.483488;0.250450;-0.405635;0.761605;-0.308217;0.400526;2023/05/02 11:30:51.7091;0.040824;1.482624;0.251008;-0.397490;0.755962;-0.231807;0.465606;0.044816;1.513301;0.294549;0.472575;0.658657;-0.585477;0.007769;0.096882;1.505777;0.272384;0.745882;0.144383;-0.546156;-0.352885;0.022417;1.487252;0.271733;-0.079926;0.831517;-0.421085;0.353383;0.063835;1.491354;0.243318;-0.397490;0.755962;-0.231807;0.465606;890466f8-4800-4136-9056-fb649b447e31;0.021360;1.486868;0.222232;0.457695;-0.096268;-0.600789;0.648306;0.080457;1.519262;0.234329;0.391360;-0.284605;-0.780947;0.394917;0.051709;1.505713;0.221202;0.512752;-0.151136;-0.680258;0.501490;0.002893;1.469556;0.228342;0.457695;-0.096268;-0.600789;0.648306;117;0.130492;1.514882;0.251600;0.745882;0.144383;-0.546156;-0.352885
NA;36938;8;-0.022886;1.775329;-0.052188;0.961416;0.269417;0.004811;0.055419;-0.033905;1.535691;0.274330;0.736076;0.279093;-0.562071;-0.253723;0.030783;1.543786;0.265864;0.723131;0.253368;-0.600562;-0.228501;0.085635;1.522949;0.245915;0.744944;0.145842;-0.546920;-0.353082;-0.008700;1.540097;0.271891;0.707476;0.304754;-0.599733;-0.216618;-0.056685;1.533281;0.280322;0.736076;0.279093;-0.562071;-0.253723;0.003328;1.487125;0.250484;0.087711;0.838686;-0.429149;0.323640;0.036491;1.531474;0.285208;0.598249;0.531740;-0.596314;-0.061327;0.091869;1.513750;0.259802;0.744944;0.145842;-0.546920;-0.353082;0.001139;1.505911;0.272648;0.256940;0.764965;-0.543296;0.231602;0.014877;1.474949;0.230064;0.087711;0.838686;-0.429149;0.323640;0.083545;1.523257;0.268501;0.744944;0.145842;-0.546920;-0.353082;0.051079;1.475404;0.259623;-0.406920;0.760879;-0.307956;0.400803;0.055329;1.493287;0.299039;0.390462;0.692123;-0.605535;-0.042807;0.097579;1.497397;0.276041;0.722122;0.317607;-0.401165;-0.465545;0.038041;1.477411;0.276576;-0.106802;0.835463;-0.443396;0.306585;0.070720;1.483628;0.250358;-0.406920;0.760879;-0.307956;0.400803;2023/05/02 11:30:51.7224;0.041015;1.482780;0.250853;-0.400272;0.754119;-0.230386;0.466915;0.044789;1.513332;0.294471;0.470656;0.659564;-0.585992;0.008526;0.096927;1.505877;0.272453;0.744944;0.145842;-0.546920;-0.353082;0.022504;1.487315;0.271507;-0.082434;0.830952;-0.420689;0.354604;0.064047;1.491605;0.243336;-0.400272;0.754119;-0.230386;0.466915;890466f8-4800-4136-9056-fb649b447e31;0.021635;1.486767;0.222281;0.456252;-0.095550;-0.600884;0.649341;0.080597;1.519360;0.234407;0.390162;-0.283878;-0.781667;0.395201;0.051908;1.505733;0.221231;0.511634;-0.150075;-0.680283;0.502915;0.003229;1.469392;0.228392;0.456252;-0.095550;-0.600884;0.649341;131;0.130598;1.515040;0.251795;0.744944;0.145842;-0.546920;-0.353082
NA;36939;9;-0.022914;1.775414;-0.052358;0.961408;0.269455;0.004426;0.055399;-0.034229;1.534845;0.274357;0.735700;0.281682;-0.562012;-0.252079;0.030439;1.543309;0.266091;0.722587;0.256209;-0.600654;-0.226805;0.085482;1.522866;0.246262;0.745012;0.149042;-0.547178;-0.351198;-0.009041;1.539386;0.271993;0.706925;0.307365;-0.599613;-0.215053;-0.057012;1.532303;0.280285;0.735700;0.281682;-0.562012;-0.252079;0.003728;1.486532;0.250345;0.080206;0.840091;-0.424685;0.327808;0.036164;1.530985;0.285422;0.595966;0.535371;-0.595646;-0.058393;0.091730;1.513672;0.260146;0.745012;0.149042;-0.547178;-0.351198;0.001094;1.505173;0.272582;0.250868;0.767768;-0.540499;0.235496;0.015688;1.474653;0.229986;0.080206;0.840091;-0.424685;0.327808;0.083320;1.523105;0.268842;0.745012;0.149042;-0.547178;-0.351198;0.051199;1.475097;0.259763;-0.410505;0.760347;-0.304844;0.400534;0.055198;1.492881;0.299217;0.388892;0.694610;-0.603794;-0.041380;0.097493;1.497315;0.276361;0.722555;0.320495;-0.400708;-0.463281;0.038073;1.476952;0.276666;-0.110253;0.836235;-0.440624;0.307256;0.070821;1.483501;0.250621;-0.410505;0.760347;-0.304844;0.400534;2023/05/02 11:30:51.7350;0.041179;1.482446;0.250964;-0.403962;0.753124;-0.227250;0.466879;0.044546;1.512872;0.294665;0.468539;0.662235;-0.584640;0.010603;0.096798;1.505799;0.272792;0.745012;0.149042;-0.547178;-0.351198;0.022531;1.486767;0.271540;-0.086267;0.831532;-0.417887;0.355646;0.064180;1.491474;0.243596;-0.403962;0.753124;-0.227250;0.466879;890466f8-4800-4136-9056-fb649b447e31;0.021765;1.486367;0.222356;0.453590;-0.094301;-0.602876;0.649541;0.080502;1.519272;0.234730;0.388293;-0.281620;-0.783533;0.394962;0.051930;1.505511;0.221441;0.509406;-0.148142;-0.682098;0.503290;0.003434;1.468872;0.228353;0.453590;-0.094301;-0.602876;0.649541;143;0.130476;1.515225;0.252262;0.745012;0.149042;-0.547178;-0.351198
NA;36940;10;-0.022950;1.775550;-0.052458;0.961496;0.269114;0.004003;0.055567;-0.034535;1.534069;0.274358;0.735306;0.284035;-0.562005;-0.250601;0.030114;1.542866;0.266284;0.722027;0.258819;-0.600791;-0.225257;0.085332;1.522786;0.246573;0.745025;0.152020;-0.547451;-0.349464;-0.009363;1.538731;0.272065;0.706372;0.309734;-0.599550;-0.213645;-0.057320;1.531410;0.280225;0.735306;0.284035;-0.562005;-0.250601;0.004142;1.485996;0.250182;0.072502;0.841362;-0.420181;0.332117;0.035852;1.530529;0.285604;0.593687;0.538844;-0.595061;-0.055549;0.091592;1.513596;0.260455;0.745025;0.152020;-0.547451;-0.349464;0.001057;1.504484;0.272488;0.244659;0.770473;-0.537738;0.239480;0.016520;1.474425;0.229895;0.072502;0.841362;-0.420181;0.332117;0.083102;1.522961;0.269147;0.745025;0.152020;-0.547451;-0.349464;0.051304;1.474817;0.259881;-0.413953;0.759741;-0.301877;0.400385;0.055064;1.492504;0.299367;0.387383;0.696895;-0.602220;-0.040025;0.097401;1.497235;0.276649;0.722911;0.323191;-0.400323;-0.461183;0.038093;1.476529;0.276732;-0.113586;0.836887;-0.438024;0.307984;0.070910;1.483390;0.250862;-0.413953;0.759741;-0.301877;0.400385;2023/05/02 11:30:51.7447;0.041332;1.482142;0.251053;-0.407460;0.752111;-0.224282;0.466908;0.044311;1.512444;0.294830;0.466490;0.664722;-0.583416;0.012578;0.096668;1.505724;0.273098;0.745025;0.152020;-0.547451;-0.349464;0.022552;1.486261;0.271551;-0.089944;0.832013;-0.415251;0.356696;0.064303;1.491362;0.243829;-0.407460;0.752111;-0.224282;0.466908;890466f8-4800-4136-9056-fb649b447e31;0.021876;1.486009;0.222404;0.451140;-0.093250;-0.604813;0.649599;0.080408;1.519191;0.235019;0.386565;-0.279586;-0.785263;0.394667;0.051944;1.505311;0.221622;0.507349;-0.146424;-0.683823;0.503531;0.003611;1.468408;0.228288;0.451140;-0.093250;-0.604813;0.649599;153;0.130352;1.515392;0.252691;0.745025;0.152020;-0.547451;-0.349464
