Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;115580;1;0.050735;1.568808;0.079869;0.992088;0.124653;0.002798;-0.014681;0.070869;1.533051;0.541500;0.307811;0.938498;0.132815;0.082675;0.073783;1.539113;0.500454;0.954162;-0.250325;-0.080063;0.143189;0.098672;1.481411;0.500834;0.739854;-0.651467;-0.158491;0.055567;0.064672;1.557572;0.535435;0.773505;0.617480;0.046084;0.135224;0.077058;1.518994;0.523111;0.307811;0.938498;0.132815;0.082675;0.090258;1.534689;0.546167;0.301591;0.949421;0.086411;0.013242;0.096571;1.546243;0.499189;0.972875;-0.199254;-0.094754;0.069521;0.116202;1.484757;0.499839;0.739854;-0.651467;-0.158491;0.055567;0.086828;1.563449;0.540655;0.762920;0.637459;-0.013093;0.106905;0.092837;1.518530;0.525010;0.301591;0.949421;0.086411;0.013242;0.113319;1.498273;0.492836;0.739854;-0.651467;-0.158491;0.055567;0.121627;1.524444;0.546667;0.277727;0.943945;-0.156239;0.086167;0.138059;1.537900;0.515363;0.973988;-0.114691;-0.192536;-0.033530;0.140847;1.490456;0.504050;0.761886;-0.592085;-0.183452;-0.187911;0.125981;1.545670;0.544936;0.734061;0.658187;-0.164265;0.031022;0.122714;1.510540;0.527755;0.277727;0.943945;-0.156239;0.086167;2023/04/27 13:37:23.2102;0.106400;1.528254;0.548401;0.259864;0.962685;-0.041805;0.062936;0.117703;1.544513;0.505954;0.982071;-0.147276;-0.116338;0.017681;0.132984;1.489222;0.499161;0.739854;-0.651467;-0.158491;0.055567;0.107950;1.556413;0.544747;0.748530;0.653759;-0.091357;0.062901;0.109067;1.513596;0.526982;0.259864;0.962685;-0.041805;0.062936;3b006fbb-fa66-473b-966c-32788aec9db3;0.062918;1.520613;0.554732;0.619039;-0.062171;0.506430;0.597038;0.089790;1.476995;0.509596;0.423127;-0.421422;0.069788;0.799060;0.068411;1.493284;0.531692;0.580214;-0.332235;0.266608;0.694185;0.076421;1.539345;0.567423;0.619039;-0.062171;0.506430;0.597038;10;0.130068;1.450303;0.486484;0.739854;-0.651467;-0.158491;0.055567
NA;115581;2;0.050662;1.569047;0.080126;0.992184;0.123912;0.003012;-0.014430;0.070595;1.533647;0.541385;0.308666;0.938340;0.130082;0.085571;0.073837;1.539662;0.500361;0.953986;-0.251442;-0.083138;0.140625;0.098523;1.481877;0.501039;0.738791;-0.652574;-0.160144;0.051848;0.064528;1.558185;0.535256;0.774136;0.616760;0.042184;0.136166;0.076871;1.519560;0.523049;0.308666;0.938340;0.130082;0.085571;0.089950;1.535237;0.546172;0.302210;0.949419;0.083702;0.016335;0.096659;1.546708;0.499260;0.972482;-0.200361;-0.098114;0.067137;0.116073;1.485160;0.500171;0.738791;-0.652574;-0.160144;0.051848;0.086657;1.564005;0.540626;0.763138;0.636910;-0.017003;0.108063;0.092638;1.519057;0.525045;0.302210;0.949419;0.083702;0.016335;0.113284;1.498668;0.493117;0.738791;-0.652574;-0.160144;0.051848;0.121269;1.524933;0.546970;0.278228;0.943034;-0.158935;0.089539;0.137990;1.538244;0.515769;0.973013;-0.116231;-0.196141;-0.035558;0.140696;1.490772;0.504557;0.760340;-0.592311;-0.185499;-0.191417;0.125714;1.546139;0.545227;0.734193;0.656950;-0.168299;0.032442;0.122454;1.510986;0.528096;0.278228;0.943034;-0.158935;0.089539;2023/04/27 13:37:23.2214;0.106041;1.528783;0.548572;0.260784;0.962092;-0.044572;0.066218;0.117733;1.544914;0.506193;0.981493;-0.148570;-0.119847;0.015363;0.132867;1.489557;0.499609;0.738791;-0.652574;-0.160144;0.051848;0.107724;1.556931;0.544884;0.748828;0.652718;-0.095420;0.064123;0.108818;1.514072;0.527204;0.260784;0.962092;-0.044572;0.066218;3b006fbb-fa66-473b-966c-32788aec9db3;0.062601;1.521397;0.554546;0.622384;-0.063471;0.505693;0.594041;0.089565;1.477513;0.509750;0.424576;-0.425016;0.070269;0.796341;0.068089;1.493964;0.531630;0.582575;-0.334689;0.266732;0.690973;0.076143;1.540086;0.567259;0.622384;-0.063471;0.505693;0.594041;22;0.129909;1.450628;0.486974;0.738791;-0.652574;-0.160144;0.051848
NA;115582;3;0.050593;1.569212;0.080397;0.992294;0.123013;0.003274;-0.014460;0.070882;1.533398;0.540893;0.306224;0.939085;0.130588;0.085399;0.074074;1.539556;0.499917;0.954373;-0.249772;-0.083033;0.141041;0.098795;1.481784;0.500453;0.739527;-0.651709;-0.160191;0.052096;0.064781;1.557956;0.534881;0.772652;0.618561;0.042690;0.136270;0.077147;1.519407;0.522478;0.306224;0.939085;0.130588;0.085399;0.090227;1.535001;0.545690;0.300479;0.949935;0.084107;0.016173;0.096892;1.546619;0.498818;0.972801;-0.198844;-0.097900;0.067341;0.116342;1.485080;0.499583;0.739527;-0.651709;-0.160191;0.052096;0.086911;1.563786;0.540244;0.762028;0.638255;-0.016672;0.108012;0.092906;1.518898;0.524503;0.300479;0.949935;0.084107;0.016173;0.113543;1.498603;0.492562;0.739527;-0.651709;-0.160191;0.052096;0.121545;1.524756;0.546452;0.276572;0.943601;-0.158654;0.089180;0.138238;1.538146;0.515285;0.973213;-0.115111;-0.195815;-0.035536;0.140966;1.490699;0.503969;0.761095;-0.591485;-0.185257;-0.191207;0.125976;1.545969;0.544769;0.733259;0.658094;-0.167940;0.032248;0.122735;1.510876;0.527528;0.276572;0.943601;-0.158654;0.089180;2023/04/27 13:37:23.2326;0.106315;1.528568;0.548073;0.259278;0.962532;-0.044339;0.065883;0.117970;1.544823;0.505735;0.981738;-0.147161;-0.119561;0.015462;0.133136;1.489490;0.499023;0.739527;-0.651709;-0.160191;0.052096;0.107983;1.556727;0.544466;0.747885;0.653863;-0.095102;0.063932;0.109085;1.513925;0.526657;0.259278;0.962532;-0.044339;0.065883;3b006fbb-fa66-473b-966c-32788aec9db3;0.062898;1.521177;0.554048;0.622370;-0.061984;0.505996;0.593954;0.089843;1.477394;0.509157;0.424740;-0.424545;0.069348;0.796586;0.068359;1.493787;0.531074;0.582833;-0.333782;0.266374;0.691332;0.076497;1.539826;0.566757;0.622370;-0.061984;0.505996;0.593954;33;0.130194;1.450587;0.486305;0.739527;-0.651709;-0.160191;0.052096
NA;115583;4;0.050469;1.569283;0.080649;0.992366;0.122438;0.003693;-0.014341;0.071464;1.533522;0.542192;0.306911;0.939103;0.130467;0.082889;0.074473;1.539645;0.501173;0.954619;-0.249791;-0.080466;0.140827;0.099144;1.481851;0.501452;0.740678;-0.650867;-0.157843;0.053431;0.065382;1.558082;0.536171;0.773162;0.618305;0.043985;0.134104;0.077621;1.519484;0.523777;0.306911;0.939103;0.130467;0.082889;0.090873;1.535008;0.546869;0.300060;0.950074;0.084507;0.013540;0.097290;1.546689;0.499960;0.973241;-0.197953;-0.095200;0.067475;0.116689;1.485132;0.500488;0.740678;-0.650867;-0.157843;0.053431;0.087551;1.563800;0.541466;0.761845;0.638859;-0.014913;0.105970;0.093426;1.518911;0.525662;0.300060;0.950074;0.084507;0.013540;0.113861;1.498671;0.493509;0.740678;-0.650867;-0.157843;0.053431;0.122188;1.524752;0.547416;0.276487;0.943894;-0.158783;0.086063;0.138721;1.538143;0.516174;0.973808;-0.114899;-0.192826;-0.036247;0.141341;1.490717;0.504744;0.762139;-0.591322;-0.182624;-0.190078;0.126648;1.545959;0.545737;0.733313;0.658544;-0.166432;0.029540;0.123241;1.510895;0.528468;0.276487;0.943894;-0.158783;0.086063;2023/04/27 13:37:23.2443;0.106978;1.528539;0.549118;0.258466;0.962955;-0.044005;0.063064;0.118406;1.544859;0.506753;0.982198;-0.146328;-0.116778;0.015408;0.133481;1.489526;0.499840;0.740678;-0.650867;-0.157843;0.053431;0.108645;1.556705;0.545560;0.747493;0.654779;-0.093295;0.061763;0.109619;1.513937;0.527657;0.258466;0.962955;-0.044005;0.063064;3b006fbb-fa66-473b-966c-32788aec9db3;0.063597;1.521213;0.555289;0.621493;-0.059623;0.507299;0.594003;0.090239;1.477452;0.510200;0.425377;-0.422136;0.070214;0.797450;0.068892;1.493844;0.532250;0.582860;-0.331332;0.267752;0.691955;0.077291;1.539825;0.567951;0.621493;-0.059623;0.507299;0.594003;44;0.130431;1.450652;0.487059;0.740678;-0.650867;-0.157843;0.053431
NA;115584;5;0.050387;1.569348;0.080844;0.992389;0.122230;0.004097;-0.014370;0.071986;1.533671;0.543427;0.308334;0.938871;0.130182;0.080650;0.074842;1.539720;0.502350;0.954734;-0.250280;-0.078146;0.140488;0.099465;1.481906;0.502391;0.741745;-0.650071;-0.155680;0.054645;0.065931;1.558226;0.537358;0.774094;0.617502;0.044999;0.132081;0.078047;1.519559;0.525037;0.308334;0.938871;0.130182;0.080650;0.091464;1.535019;0.547987;0.300012;0.950088;0.084863;0.011167;0.097660;1.546747;0.501032;0.973610;-0.197246;-0.092753;0.067636;0.117009;1.485173;0.501341;0.741745;-0.650071;-0.155680;0.054645;0.088137;1.563815;0.542606;0.761843;0.639197;-0.013305;0.104143;0.093905;1.518914;0.526772;0.300012;0.950088;0.084863;0.011167;0.114154;1.498727;0.494402;0.741745;-0.650071;-0.155680;0.054645;0.122779;1.524751;0.548329;0.276582;0.944089;-0.159015;0.083142;0.139166;1.538133;0.517014;0.974336;-0.114826;-0.190041;-0.037003;0.141685;1.490728;0.505478;0.763106;-0.591151;-0.180194;-0.189051;0.127271;1.545951;0.546648;0.733434;0.658852;-0.165109;0.026955;0.123701;1.510909;0.529362;0.276582;0.944089;-0.159015;0.083142;2023/04/27 13:37:23.2545;0.107590;1.528509;0.550099;0.257752;0.963326;-0.043652;0.060509;0.118809;1.544885;0.507711;0.982602;-0.145617;-0.114247;0.015408;0.133799;1.489553;0.500613;0.741745;-0.650071;-0.155680;0.054645;0.109252;1.556680;0.546584;0.747133;0.655607;-0.091613;0.059827;0.110113;1.513944;0.528599;0.257752;0.963326;-0.043652;0.060509;3b006fbb-fa66-473b-966c-32788aec9db3;0.064238;1.521246;0.556443;0.620698;-0.057665;0.508339;0.594137;0.090605;1.477499;0.511180;0.425983;-0.419963;0.071067;0.798198;0.069385;1.493896;0.533349;0.582883;-0.329175;0.268991;0.692485;0.078007;1.539829;0.569067;0.620698;-0.057665;0.508339;0.594137;55;0.130648;1.450706;0.487772;0.741745;-0.650071;-0.155680;0.054645
NA;115585;6;0.050402;1.569322;0.080960;0.992384;0.122274;0.004335;-0.014294;0.072461;1.533838;0.544607;0.310314;0.938446;0.129779;0.078626;0.075188;1.539785;0.503464;0.954746;-0.251128;-0.076024;0.140057;0.099765;1.481951;0.503282;0.742744;-0.649314;-0.153667;0.055762;0.066440;1.558383;0.538463;0.775342;0.616280;0.045797;0.130178;0.078436;1.519631;0.526262;0.310314;0.938446;0.129779;0.078626;0.092012;1.535033;0.549053;0.300246;0.950008;0.085186;0.009004;0.098004;1.546795;0.502048;0.973923;-0.196681;-0.090510;0.067816;0.117306;1.485206;0.502152;0.742744;-0.649314;-0.153667;0.055762;0.088680;1.563830;0.543680;0.761979;0.639332;-0.011820;0.102490;0.094352;1.518909;0.527843;0.300246;0.950008;0.085186;0.009004;0.114426;1.498773;0.495249;0.742744;-0.649314;-0.153667;0.055762;0.123326;1.524751;0.549198;0.276811;0.944209;-0.159325;0.080385;0.139581;1.538116;0.517813;0.974809;-0.114859;-0.187423;-0.037791;0.142004;1.490730;0.506177;0.764008;-0.590973;-0.177927;-0.188108;0.127853;1.545944;0.547512;0.733605;0.659053;-0.163932;0.024473;0.124122;1.510918;0.530219;0.276811;0.944209;-0.159325;0.080385;2023/04/27 13:37:23.2662;0.108159;1.528478;0.551027;0.257114;0.963657;-0.043288;0.058167;0.119184;1.544903;0.508622;0.982960;-0.144999;-0.111919;0.015448;0.134093;1.489571;0.501348;0.742744;-0.649314;-0.153667;0.055762;0.109815;1.556654;0.547554;0.746796;0.656367;-0.090036;0.058076;0.110576;1.513945;0.529494;0.257114;0.963657;-0.043288;0.058167;3b006fbb-fa66-473b-966c-32788aec9db3;0.064832;1.521277;0.557527;0.619973;-0.056015;0.509179;0.594333;0.090947;1.477538;0.512109;0.426564;-0.417980;0.071907;0.798853;0.069845;1.493942;0.534386;0.582903;-0.327248;0.270119;0.692942;0.078661;1.539836;0.570120;0.619973;-0.056015;0.509179;0.594333;67;0.130848;1.450751;0.488450;0.742744;-0.649314;-0.153667;0.055762
NA;115586;7;0.050369;1.569248;0.081086;0.992368;0.122399;0.004595;-0.014245;0.072446;1.533822;0.543537;0.312432;0.937711;0.128428;0.081182;0.075431;1.539651;0.502382;0.954239;-0.252890;-0.078602;0.138908;0.099939;1.481787;0.502453;0.741689;-0.650293;-0.155382;0.053607;0.066491;1.558354;0.537277;0.776541;0.614650;0.043271;0.131599;0.078521;1.519543;0.525280;0.312432;0.937711;0.128428;0.081182;0.091982;1.534993;0.548072;0.301703;0.949670;0.083501;0.011399;0.098263;1.546632;0.501084;0.973479;-0.198134;-0.093061;0.066500;0.117490;1.485020;0.501419;0.741689;-0.650293;-0.155382;0.053607;0.088729;1.563784;0.542621;0.762690;0.638237;-0.014436;0.103677;0.094417;1.518811;0.526916;0.301703;0.949670;0.083501;0.011399;0.114668;1.498578;0.494475;0.741689;-0.650293;-0.155382;0.053607;0.123290;1.524628;0.548409;0.277016;0.943707;-0.160570;0.083052;0.139738;1.537937;0.517107;0.974171;-0.115466;-0.190200;-0.038515;0.142173;1.490525;0.505578;0.762799;-0.591283;-0.179978;-0.190081;0.127847;1.545814;0.546727;0.733493;0.658503;-0.166374;0.026108;0.124179;1.510769;0.529454;0.277016;0.943707;-0.160570;0.083052;2023/04/27 13:37:23.2777;0.108111;1.528415;0.550148;0.258027;0.963187;-0.044773;0.060736;0.119402;1.544728;0.507784;0.982489;-0.146232;-0.114573;0.014309;0.134289;1.489365;0.500706;0.741689;-0.650293;-0.155382;0.053607;0.109832;1.556583;0.546636;0.747142;0.655489;-0.092644;0.059418;0.110626;1.513834;0.528658;0.258027;0.963187;-0.044773;0.060736;3b006fbb-fa66-473b-966c-32788aec9db3;0.064751;1.521258;0.556409;0.621883;-0.057398;0.508566;0.592728;0.091062;1.477400;0.511234;0.426790;-0.420775;0.071586;0.797292;0.069843;1.493868;0.533351;0.583896;-0.329487;0.269509;0.691280;0.078574;1.539809;0.569021;0.621883;-0.057398;0.508566;0.592728;78;0.131073;1.450524;0.487866;0.741689;-0.650293;-0.155382;0.053607
NA;115587;8;0.050234;1.569577;0.081189;0.992324;0.122765;0.004711;-0.014147;0.072444;1.533809;0.542590;0.314538;0.936975;0.127163;0.083510;0.075666;1.539523;0.501422;0.953752;-0.254569;-0.080941;0.137839;0.100107;1.481631;0.501718;0.740745;-0.651160;-0.156909;0.051641;0.066550;1.558327;0.536217;0.777718;0.613043;0.040946;0.132874;0.078609;1.519458;0.524421;0.314538;0.936975;0.127163;0.083510;0.091968;1.534953;0.547201;0.303079;0.949342;0.081910;0.013542;0.098512;1.546477;0.500231;0.973067;-0.199481;-0.095346;0.065246;0.117666;1.484843;0.500771;0.740745;-0.651160;-0.156909;0.051641;0.088792;1.563739;0.541679;0.763348;0.637225;-0.016839;0.104695;0.094486;1.518716;0.526098;0.303079;0.949342;0.081910;0.013542;0.114898;1.498394;0.493791;0.740745;-0.651160;-0.156909;0.051641;0.123270;1.524503;0.547711;0.277173;0.943251;-0.161719;0.085434;0.139893;1.537764;0.516484;0.973595;-0.115952;-0.192696;-0.039198;0.142336;1.490330;0.505051;0.761709;-0.591547;-0.181804;-0.191882;0.127856;1.545684;0.546035;0.733345;0.658046;-0.168587;0.027557;0.124243;1.510622;0.528776;0.277173;0.943251;-0.161719;0.085434;2023/04/27 13:37:23.2881;0.108081;1.528352;0.549367;0.258853;0.962752;-0.046170;0.063032;0.119614;1.544562;0.507044;0.982056;-0.147358;-0.116951;0.013222;0.134476;1.489171;0.500139;0.740745;-0.651160;-0.156909;0.051641;0.109865;1.556511;0.545822;0.747433;0.654709;-0.095029;0.060582;0.110682;1.513726;0.527917;0.258853;0.962752;-0.046170;0.063032;3b006fbb-fa66-473b-966c-32788aec9db3;0.064691;1.521232;0.555414;0.623631;-0.058569;0.508032;0.591235;0.091177;1.477267;0.510456;0.427016;-0.423291;0.071274;0.795866;0.069852;1.493793;0.532429;0.584822;-0.331473;0.268957;0.689762;0.078514;1.539773;0.568041;0.623631;-0.058569;0.508032;0.591235;88;0.131284;1.450310;0.487350;0.740745;-0.651160;-0.156909;0.051641
NA;115588;9;0.050246;1.569400;0.081311;0.992191;0.123826;0.004831;-0.014157;0.072003;1.534209;0.542938;0.317407;0.935698;0.129468;0.083430;0.075154;1.539741;0.501718;0.952912;-0.256524;-0.080590;0.140215;0.099854;1.481963;0.502192;0.739611;-0.652085;-0.157614;0.054023;0.066001;1.558667;0.536437;0.779094;0.610890;0.042973;0.134087;0.078216;1.519765;0.524859;0.317407;0.935698;0.129468;0.083430;0.091543;1.535435;0.547493;0.305176;0.948472;0.084207;0.013364;0.097969;1.546788;0.500466;0.972568;-0.201280;-0.094937;0.067711;0.117399;1.485247;0.501200;0.739611;-0.652085;-0.157614;0.054023;0.088234;1.564183;0.541855;0.764464;0.635735;-0.014674;0.105931;0.094103;1.519111;0.526461;0.305176;0.948472;0.084207;0.013364;0.114550;1.498753;0.494168;0.739611;-0.652085;-0.157614;0.054023;0.122889;1.525129;0.547997;0.279309;0.942956;-0.159821;0.085311;0.139413;1.538310;0.516683;0.973587;-0.117746;-0.192050;-0.037159;0.142040;1.490847;0.505413;0.761220;-0.592651;-0.182794;-0.189459;0.127406;1.546317;0.546222;0.734860;0.656769;-0.166815;0.028443;0.123869;1.511166;0.529123;0.279309;0.942956;-0.159821;0.085311;2023/04/27 13:37:23.3004;0.107696;1.528890;0.549639;0.260407;0.962453;-0.043718;0.062944;0.119090;1.544988;0.507252;0.981826;-0.149002;-0.116486;0.015701;0.134177;1.489636;0.500518;0.739611;-0.652085;-0.157614;0.054023;0.109349;1.557045;0.545998;0.748454;0.653725;-0.092885;0.061909;0.110329;1.514202;0.528236;0.260407;0.962453;-0.043718;0.062944;3b006fbb-fa66-473b-966c-32788aec9db3;0.064424;1.521696;0.555769;0.621988;-0.060681;0.509622;0.591383;0.090968;1.477598;0.510975;0.424639;-0.423683;0.072934;0.796778;0.069631;1.494162;0.532907;0.582642;-0.332683;0.270637;0.690366;0.078186;1.540350;0.568295;0.621988;-0.060681;0.509622;0.591383;100;0.131132;1.450718;0.487871;0.739611;-0.652085;-0.157614;0.054023
NA;115589;10;0.050220;1.569273;0.081434;0.992080;0.124721;0.004852;-0.014108;0.071337;1.533868;0.541450;0.319044;0.934994;0.128615;0.086349;0.074761;1.539278;0.500239;0.952244;-0.258408;-0.083567;0.139546;0.099441;1.481495;0.501105;0.737819;-0.653705;-0.159971;0.051977;0.065375;1.558306;0.534840;0.780085;0.609337;0.040635;0.136104;0.077671;1.519377;0.523450;0.319044;0.934994;0.128615;0.086349;0.090840;1.535122;0.546121;0.306540;0.948083;0.083094;0.016349;0.097586;1.546314;0.499118;0.971905;-0.203200;-0.098085;0.067000;0.116993;1.484770;0.500221;0.737819;-0.653705;-0.159971;0.051977;0.087577;1.563855;0.540379;0.765324;0.634293;-0.017178;0.107971;0.093534;1.518749;0.525144;0.306540;0.948083;0.083094;0.016349;0.114197;1.498251;0.493119;0.737819;-0.653705;-0.159971;0.051977;0.122176;1.524846;0.546890;0.279855;0.942322;-0.160598;0.088988;0.138915;1.537887;0.515653;0.972650;-0.119790;-0.195477;-0.037296;0.141606;1.490380;0.504583;0.759422;-0.593478;-0.185700;-0.191253;0.126707;1.546027;0.545073;0.735417;0.655374;-0.169366;0.031030;0.123297;1.510838;0.528057;0.279855;0.942322;-0.160598;0.088988;2023/04/27 13:37:23.3106;0.106966;1.528609;0.548427;0.261973;0.961758;-0.044806;0.066216;0.118659;1.544534;0.506056;0.981139;-0.150999;-0.119744;0.015063;0.133777;1.489153;0.499639;0.737819;-0.653705;-0.159971;0.051977;0.108663;1.556749;0.544688;0.749422;0.652024;-0.095550;0.064043;0.109735;1.513844;0.527094;0.261973;0.961758;-0.044806;0.066216;3b006fbb-fa66-473b-966c-32788aec9db3;0.063676;1.521478;0.554244;0.624023;-0.063336;0.509289;0.589245;0.090492;1.477166;0.509842;0.424175;-0.427570;0.073183;0.794924;0.069000;1.493835;0.531542;0.583251;-0.336133;0.270438;0.688256;0.077407;1.540161;0.566761;0.624023;-0.063336;0.509289;0.589245;111;0.130808;1.450187;0.487120;0.737819;-0.653705;-0.159971;0.051977
