Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;84586;1;-0.051690;1.719955;-0.056273;0.985194;0.154042;0.073112;0.017869;0.073565;1.444716;0.414010;-0.552927;-0.819866;0.129503;-0.072944;0.089190;1.504037;0.402799;-0.834133;-0.517727;0.189757;-0.013133;0.121786;1.508945;0.350967;-0.960280;-0.133143;0.216942;0.114329;0.077157;1.469534;0.418365;-0.642066;-0.747379;0.164291;-0.046741;0.072994;1.422619;0.406194;-0.552927;-0.819866;0.129503;-0.072944;0.092321;1.436191;0.413121;-0.356388;-0.927601;0.110318;-0.019354;0.110269;1.502465;0.412834;-0.802130;-0.570187;0.174752;0.030595;0.138343;1.508244;0.356704;-0.960280;-0.133143;0.216942;0.114329;0.096098;1.461824;0.425812;-0.528521;-0.832046;0.166255;-0.026927;0.091259;1.417873;0.394457;-0.356388;-0.927601;0.110318;-0.019354;0.133671;1.513786;0.369997;-0.960280;-0.133143;0.216942;0.114329;0.129981;1.439309;0.405175;-0.274260;-0.931746;0.167338;0.169199;0.150576;1.484658;0.407965;-0.766422;-0.606824;0.116066;0.175756;0.160712;1.501815;0.364509;-0.933929;-0.207432;0.049769;0.286829;0.137990;1.456046;0.415576;-0.480281;-0.855639;0.111262;0.157585;0.120127;1.427970;0.387766;-0.274260;-0.931746;0.167338;0.169199;2023/05/02 10:58:21.9902;0.111056;1.434034;0.409881;-0.255082;-0.953207;0.149930;0.062059;0.130530;1.494474;0.412983;-0.790441;-0.592379;0.130753;0.084820;0.153584;1.507334;0.362999;-0.960280;-0.133143;0.216942;0.114329;0.117985;1.457136;0.423764;-0.496193;-0.854766;0.137145;0.066033;0.105921;1.420645;0.388757;-0.255082;-0.953207;0.149930;0.062059;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.070663;1.462163;0.381064;-0.616185;-0.101598;0.420123;-0.658400;0.113652;1.501212;0.344519;-0.619799;0.044755;0.541746;-0.566001;0.089062;1.482220;0.358445;-0.694715;-0.056091;0.421050;-0.580467;0.059657;1.445323;0.397191;-0.616185;-0.101598;0.420123;-0.658400;11;0.157073;1.525107;0.327160;-0.960280;-0.133143;0.216942;0.114329
NA;84587;2;-0.051101;1.720281;-0.055327;0.985630;0.150908;0.073671;0.018245;0.074554;1.443230;0.414533;-0.549479;-0.822094;0.129392;-0.074108;0.090064;1.502660;0.403774;-0.832140;-0.520770;0.190122;-0.013997;0.122783;1.507977;0.352060;-0.959666;-0.136656;0.217702;0.113899;0.078075;1.468024;0.419078;-0.639083;-0.749867;0.164287;-0.047767;0.074057;1.421193;0.406544;-0.549479;-0.822094;0.129392;-0.074108;0.093326;1.434745;0.413586;-0.352865;-0.928979;0.109820;-0.020612;0.111120;1.501064;0.413854;-0.799711;-0.573532;0.175080;0.029521;0.139325;1.507270;0.357835;-0.959666;-0.136656;0.217702;0.113899;0.097009;1.460291;0.426478;-0.525145;-0.834171;0.166116;-0.028055;0.092355;1.416559;0.394787;-0.352865;-0.928979;0.109820;-0.020612;0.134611;1.512712;0.371155;-0.959666;-0.136656;0.217702;0.113899;0.130989;1.437990;0.405864;-0.271695;-0.932860;0.165969;0.168548;0.151475;1.483370;0.408975;-0.764601;-0.609531;0.115566;0.174650;0.161690;1.500832;0.365660;-0.933466;-0.210919;0.049855;0.285779;0.138940;1.454682;0.416382;-0.477756;-0.857371;0.110241;0.156559;0.121192;1.426725;0.388375;-0.271695;-0.932860;0.165969;0.168548;2023/05/02 10:58:22.0015;0.112058;1.432640;0.410427;-0.252352;-0.954134;0.149008;0.061191;0.131396;1.493113;0.414005;-0.788141;-0.595581;0.130844;0.083643;0.154555;1.506346;0.364168;-0.959666;-0.136656;0.217702;0.113899;0.118904;1.455668;0.424473;-0.493378;-0.856565;0.136596;0.064923;0.106997;1.419357;0.389218;-0.252352;-0.954134;0.149008;0.061191;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.071624;1.461001;0.381764;-0.615280;-0.103133;0.422248;-0.657648;0.114679;1.500275;0.345538;-0.619224;0.043456;0.544040;-0.564530;0.090068;1.481193;0.359302;-0.693984;-0.057501;0.423496;-0.579423;0.060617;1.444059;0.397784;-0.615280;-0.103133;0.422248;-0.657648;22;0.158103;1.524360;0.328455;-0.959666;-0.136656;0.217702;0.113899
NA;84588;3;-0.050624;1.720594;-0.054554;0.985989;0.148437;0.073872;0.018318;0.078374;1.440884;0.418098;-0.548074;-0.824818;0.120884;-0.068390;0.093173;1.500497;0.407365;-0.832489;-0.523818;0.180083;-0.012139;0.124902;1.506430;0.355104;-0.961651;-0.139668;0.208009;0.111590;0.081769;1.465683;0.422711;-0.638374;-0.752695;0.155177;-0.043011;0.077916;1.418887;0.409996;-0.548074;-0.824818;0.120884;-0.068390;0.097226;1.432546;0.416595;-0.350330;-0.930902;0.102513;-0.013496;0.114422;1.499024;0.417051;-0.799182;-0.577074;0.165204;0.031645;0.141553;1.505834;0.360574;-0.961651;-0.139668;0.208009;0.111590;0.100909;1.458030;0.429610;-0.523395;-0.837068;0.157719;-0.022363;0.096083;1.414489;0.397683;-0.350330;-0.930902;0.102513;-0.013496;0.137030;1.511153;0.374009;-0.961651;-0.139668;0.208009;0.111590;0.134698;1.436184;0.408212;-0.270175;-0.933131;0.158723;0.176296;0.154836;1.481722;0.411326;-0.763874;-0.611573;0.105351;0.177133;0.164108;1.499550;0.367948;-0.934450;-0.211540;0.039527;0.283709;0.142687;1.452864;0.418718;-0.476055;-0.858286;0.101529;0.162509;0.124690;1.424971;0.390809;-0.270175;-0.933131;0.158723;0.176296;2023/05/02 10:58:22.0127;0.115919;1.430629;0.413022;-0.250251;-0.955192;0.142104;0.069204;0.134766;1.491254;0.416782;-0.787002;-0.598897;0.120743;0.085862;0.156899;1.505010;0.366621;-0.961651;-0.139668;0.208009;0.111590;0.122805;1.453604;0.427134;-0.491344;-0.858593;0.127969;0.070875;0.110596;1.417463;0.391803;-0.250251;-0.955192;0.142104;0.069204;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.074699;1.458871;0.385488;-0.616223;-0.112971;0.417507;-0.658176;0.116752;1.498692;0.348681;-0.622094;0.034182;0.539878;-0.566005;0.092564;1.479331;0.362802;-0.695405;-0.066430;0.418414;-0.580456;0.064153;1.441752;0.401629;-0.616223;-0.112971;0.417507;-0.658176;33;0.159639;1.523281;0.330968;-0.961651;-0.139668;0.208009;0.111590
NA;84589;4;-0.050307;1.720759;-0.053831;0.986251;0.146535;0.074239;0.018034;0.082012;1.438693;0.421486;-0.547131;-0.827004;0.112974;-0.062844;0.096164;1.498460;0.410743;-0.832935;-0.526300;0.170654;-0.010242;0.126950;1.504959;0.357988;-0.963412;-0.142476;0.198869;0.109499;0.085301;1.463498;0.426144;-0.637981;-0.754978;0.146680;-0.038384;0.081576;1.416727;0.413300;-0.547131;-0.827004;0.112974;-0.062844;0.100938;1.430484;0.419403;-0.347838;-0.932630;0.095735;-0.006789;0.117587;1.497103;0.420055;-0.798546;-0.580393;0.155983;0.033713;0.143696;1.504469;0.363170;-0.963412;-0.142476;0.198869;0.109499;0.104629;1.455906;0.432536;-0.521650;-0.839714;0.149911;-0.016970;0.099627;1.412550;0.400385;-0.347838;-0.932630;0.095735;-0.006789;0.139356;1.509675;0.376709;-0.963412;-0.142476;0.198869;0.109499;0.138212;1.434492;0.410364;-0.268135;-0.933446;0.152029;0.183495;0.158035;1.480167;0.413535;-0.762804;-0.613768;0.095887;0.179512;0.166419;1.498330;0.370115;-0.935253;-0.212104;0.029813;0.281823;0.146240;1.451150;0.420876;-0.473989;-0.859276;0.093473;0.168056;0.128011;1.423348;0.393030;-0.268135;-0.933446;0.152029;0.183495;2023/05/02 10:58:22.0234;0.119589;1.428747;0.415395;-0.247750;-0.956208;0.135651;0.076715;0.137986;1.489501;0.419392;-0.785581;-0.602272;0.111304;0.087999;0.159144;1.503739;0.368945;-0.963412;-0.142476;0.198869;0.109499;0.126515;1.451658;0.429591;-0.488960;-0.860633;0.119917;0.076474;0.114023;1.415711;0.394158;-0.247750;-0.956208;0.135651;0.076715;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.077657;1.456867;0.389003;-0.617114;-0.122138;0.412949;-0.658579;0.118759;1.497186;0.351661;-0.624781;0.025475;0.535813;-0.567366;0.094978;1.477568;0.366115;-0.696739;-0.074716;0.413562;-0.581325;0.067546;1.439589;0.405252;-0.617114;-0.122138;0.412949;-0.658579;44;0.161126;1.522246;0.333363;-0.963412;-0.142476;0.198869;0.109499
NA;84590;5;-0.050042;1.720875;-0.053309;0.986404;0.145608;0.074225;0.017202;0.081081;1.438294;0.420982;-0.543814;-0.828732;0.115786;-0.063752;0.095457;1.498105;0.410760;-0.830457;-0.529261;0.173576;-0.009783;0.126596;1.504982;0.358261;-0.961986;-0.146770;0.201653;0.111255;0.084418;1.463055;0.425834;-0.634971;-0.756930;0.149537;-0.038830;0.080624;1.416391;0.412629;-0.543814;-0.828732;0.115786;-0.063752;0.100000;1.430027;0.418842;-0.344195;-0.933720;0.098100;-0.008627;0.116817;1.496607;0.420196;-0.795298;-0.584029;0.158990;0.033669;0.143307;1.504399;0.363544;-0.961986;-0.146770;0.201653;0.111255;0.103680;1.455327;0.432211;-0.517659;-0.841666;0.152643;-0.018112;0.098748;1.412235;0.399687;-0.344195;-0.933720;0.098100;-0.008627;0.138897;1.509496;0.377102;-0.961986;-0.146770;0.201653;0.111255;0.137329;1.434032;0.410057;-0.263358;-0.934970;0.153334;0.181558;0.157259;1.479614;0.413785;-0.759397;-0.617721;0.098440;0.179015;0.165970;1.498134;0.370581;-0.933822;-0.217058;0.031852;0.282574;0.145334;1.450565;0.420781;-0.469312;-0.861954;0.095502;0.166317;0.127208;1.423066;0.392562;-0.263358;-0.934970;0.153334;0.181558;2023/05/02 10:58:22.0347;0.118660;1.428261;0.414970;-0.244591;-0.956923;0.137357;0.074882;0.137198;1.488953;0.419596;-0.782329;-0.606004;0.114172;0.087663;0.158718;1.503573;0.369412;-0.961986;-0.146770;0.201653;0.111255;0.125564;1.451048;0.429375;-0.485333;-0.862487;0.122197;0.075075;0.113173;1.415360;0.393631;-0.244591;-0.956923;0.137357;0.074882;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076935;1.456825;0.388570;-0.616591;-0.122017;0.417586;-0.656164;0.118422;1.497290;0.351813;-0.624314;0.025610;0.539963;-0.563930;0.094483;1.477643;0.365962;-0.696279;-0.074911;0.418299;-0.578455;0.066670;1.439452;0.404620;-0.616591;-0.122017;0.417586;-0.656164;55;0.160977;1.522385;0.334007;-0.961986;-0.146770;0.201653;0.111255
NA;84591;6;-0.049775;1.721016;-0.052866;0.986386;0.145750;0.074362;0.016430;0.080857;1.438293;0.421625;-0.543671;-0.829217;0.114867;-0.060217;0.095285;1.498107;0.411449;-0.830323;-0.530250;0.171318;-0.007000;0.126158;1.505118;0.358812;-0.962140;-0.148130;0.198973;0.112936;0.084279;1.463037;0.426501;-0.634792;-0.757509;0.148199;-0.035442;0.080295;1.416403;0.413243;-0.543671;-0.829217;0.114867;-0.060217;0.099748;1.429978;0.419238;-0.343452;-0.934021;0.098062;-0.005435;0.116692;1.496533;0.420763;-0.794452;-0.585499;0.157227;0.036289;0.142897;1.504487;0.364004;-0.962140;-0.148130;0.198973;0.112936;0.103551;1.455225;0.432673;-0.516654;-0.842465;0.151980;-0.014968;0.098346;1.412231;0.400051;-0.343452;-0.934021;0.098062;-0.005435;0.138563;1.509547;0.377600;-0.962140;-0.148130;0.198973;0.112936;0.137025;1.433952;0.410254;-0.262437;-0.934670;0.153109;0.184598;0.157067;1.479491;0.414068;-0.758056;-0.618894;0.096777;0.181536;0.165579;1.498160;0.370888;-0.933221;-0.218059;0.028985;0.284092;0.145117;1.450434;0.420992;-0.467947;-0.862220;0.094756;0.169188;0.126789;1.423047;0.392788;-0.262437;-0.934670;0.153109;0.184598;2023/05/02 10:58:22.0460;0.118372;1.428192;0.415241;-0.243954;-0.956820;0.137497;0.077951;0.137055;1.488844;0.420023;-0.781137;-0.607464;0.112620;0.090167;0.158331;1.503617;0.369780;-0.962140;-0.148130;0.198973;0.112936;0.125397;1.450917;0.429686;-0.484134;-0.862982;0.121615;0.078016;0.112741;1.415344;0.393908;-0.243954;-0.956820;0.137497;0.077951;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076596;1.456936;0.389243;-0.618116;-0.124405;0.417101;-0.654587;0.117942;1.497456;0.352382;-0.626314;0.023297;0.539009;-0.562723;0.094060;1.477795;0.366609;-0.697812;-0.077212;0.417438;-0.576926;0.066386;1.439529;0.405292;-0.618116;-0.124405;0.417101;-0.654587;66;0.160434;1.522562;0.334436;-0.962140;-0.148130;0.198973;0.112936
NA;84592;7;-0.049612;1.721055;-0.052495;0.986305;0.146351;0.074445;0.015534;0.080729;1.438250;0.422317;-0.543792;-0.829528;0.113859;-0.056660;0.095198;1.498069;0.412171;-0.830232;-0.531171;0.168977;-0.004267;0.125806;1.505209;0.359398;-0.962301;-0.149450;0.196271;0.114539;0.084234;1.462980;0.427209;-0.634727;-0.757992;0.146768;-0.032068;0.080061;1.416369;0.413921;-0.543792;-0.829528;0.113859;-0.056660;0.099586;1.429891;0.419682;-0.342847;-0.934266;0.097973;-0.002267;0.116653;1.496423;0.421363;-0.793656;-0.586889;0.155439;0.038853;0.142573;1.504535;0.364498;-0.962301;-0.149450;0.196271;0.114539;0.103511;1.455087;0.433177;-0.515741;-0.843201;0.151270;-0.011864;0.098038;1.412184;0.400470;-0.342847;-0.934266;0.097973;-0.002267;0.138311;1.509561;0.378130;-0.962301;-0.149450;0.196271;0.114539;0.136813;1.433834;0.410495;-0.261810;-0.934293;0.152828;0.187607;0.156961;1.479337;0.414384;-0.756725;-0.620053;0.095119;0.183996;0.165271;1.498153;0.371229;-0.932642;-0.219005;0.026102;0.285541;0.144989;1.450273;0.421236;-0.466839;-0.862348;0.093953;0.172019;0.126461;1.422979;0.393067;-0.261810;-0.934293;0.152828;0.187607;2023/05/02 10:58:22.0567;0.118176;1.428091;0.415545;-0.243233;-0.956740;0.137619;0.080916;0.136999;1.488702;0.420483;-0.779954;-0.608894;0.111115;0.092592;0.158026;1.503627;0.370180;-0.962301;-0.149450;0.196271;0.114539;0.125316;1.450754;0.430031;-0.482885;-0.863500;0.121048;0.080856;0.112406;1.415299;0.394215;-0.243233;-0.956740;0.137619;0.080916;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076373;1.456972;0.389959;-0.619450;-0.126768;0.416664;-0.653148;0.117552;1.497571;0.352990;-0.628127;0.020811;0.538014;-0.561751;0.093743;1.477880;0.367298;-0.699162;-0.079595;0.416534;-0.575619;0.066220;1.439528;0.406004;-0.619450;-0.126768;0.416664;-0.653148;77;0.159970;1.522700;0.334897;-0.962301;-0.149450;0.196271;0.114539
NA;84593;8;-0.049494;1.721036;-0.052097;0.986196;0.147109;0.074547;0.014795;0.080157;1.439474;0.421127;-0.544283;-0.828464;0.116898;-0.061144;0.094772;1.499247;0.410931;-0.830250;-0.529637;0.173548;-0.007110;0.125993;1.506204;0.358496;-0.961342;-0.148683;0.201947;0.113723;0.083625;1.464218;0.425973;-0.635213;-0.756704;0.150325;-0.036151;0.079568;1.417571;0.412782;-0.544283;-0.828464;0.116898;-0.061144;0.099040;1.431082;0.418676;-0.343950;-0.933605;0.100124;-0.007432;0.116119;1.497614;0.420371;-0.793514;-0.586060;0.160009;0.035586;0.142701;1.505539;0.363790;-0.961342;-0.148683;0.201947;0.113723;0.102828;1.456314;0.432142;-0.516078;-0.842366;0.154298;-0.016584;0.097690;1.413308;0.399510;-0.343950;-0.933605;0.100124;-0.007432;0.138276;1.510617;0.377350;-0.961342;-0.148683;0.201947;0.113723;0.136352;1.434978;0.409883;-0.263003;-0.934709;0.154852;0.182126;0.156493;1.480483;0.413899;-0.756727;-0.620289;0.100100;0.180518;0.165305;1.499172;0.370788;-0.932693;-0.219305;0.031875;0.284556;0.144415;1.451444;0.420669;-0.467522;-0.862599;0.097236;0.167007;0.126191;1.424049;0.392389;-0.263003;-0.934709;0.154852;0.182126;2023/05/02 10:58:22.0685;0.117662;1.429254;0.414746;-0.244490;-0.956607;0.139432;0.075403;0.136469;1.489878;0.419744;-0.779946;-0.608513;0.115949;0.089175;0.158076;1.504648;0.369642;-0.961342;-0.148683;0.201947;0.113723;0.124651;1.451958;0.429240;-0.483546;-0.863132;0.124195;0.075909;0.112119;1.416374;0.393409;-0.244490;-0.956607;0.139432;0.075403;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076254;1.457998;0.388630;-0.616921;-0.122252;0.419305;-0.654712;0.117817;1.498538;0.352021;-0.624708;0.024522;0.540757;-0.562779;0.093873;1.478857;0.366116;-0.696597;-0.075401;0.419790;-0.576926;0.065928;1.440591;0.404605;-0.616921;-0.122252;0.419305;-0.654712;89;0.160434;1.523620;0.334329;-0.961342;-0.148683;0.201947;0.113723
NA;84594;9;-0.049442;1.721186;-0.051764;0.986038;0.148328;0.074352;0.014134;0.079614;1.437816;0.421379;-0.544964;-0.827356;0.118204;-0.067275;0.094102;1.497610;0.411114;-0.830243;-0.528335;0.177227;-0.012205;0.125929;1.504670;0.359058;-0.960449;-0.149407;0.207494;0.110282;0.082926;1.462593;0.426163;-0.635798;-0.755497;0.152361;-0.042093;0.079213;1.415881;0.413107;-0.544964;-0.827356;0.118204;-0.067275;0.098596;1.429467;0.419068;-0.345061;-0.933133;0.100017;-0.013848;0.115341;1.496094;0.420815;-0.793203;-0.585861;0.163387;0.030004;0.142575;1.504096;0.364557;-0.960449;-0.149407;0.207494;0.110282;0.102108;1.454753;0.432510;-0.516256;-0.841913;0.155355;-0.022969;0.097550;1.411618;0.399955;-0.345061;-0.933133;0.100017;-0.013848;0.137956;1.509167;0.378055;-0.960449;-0.149407;0.207494;0.110282;0.136020;1.433535;0.410703;-0.264510;-0.935607;0.154014;0.175937;0.155877;1.479161;0.414855;-0.757163;-0.620899;0.103103;0.174811;0.165120;1.497853;0.371836;-0.933306;-0.220656;0.037157;0.280838;0.143870;1.450072;0.421537;-0.468530;-0.863188;0.097847;0.160660;0.126113;1.422480;0.393142;-0.264510;-0.935607;0.154014;0.175937;2023/05/02 10:58:22.0792;0.117287;1.427715;0.415335;-0.245949;-0.956834;0.138596;0.069051;0.135736;1.488460;0.420445;-0.779844;-0.608820;0.119245;0.083437;0.157879;1.503291;0.370595;-0.960449;-0.149407;0.207494;0.110282;0.123992;1.450494;0.429848;-0.484180;-0.863205;0.125000;0.069437;0.112052;1.414716;0.393993;-0.245949;-0.956834;0.138596;0.069051;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076062;1.456191;0.388582;-0.612466;-0.118342;0.423453;-0.656939;0.117875;1.496952;0.352494;-0.619578;0.026545;0.544590;-0.564660;0.093877;1.477132;0.366299;-0.692284;-0.072427;0.424175;-0.579286;0.065580;1.438742;0.404408;-0.612466;-0.118342;0.423453;-0.656939;100;0.160572;1.522241;0.335295;-0.960449;-0.149407;0.207494;0.110282
NA;84595;10;-0.049455;1.721080;-0.051365;0.986033;0.148589;0.073860;0.014319;0.079138;1.436233;0.421736;-0.546009;-0.826008;0.119508;-0.072816;0.093534;1.496031;0.411348;-0.830460;-0.526702;0.180664;-0.016788;0.125905;1.503202;0.359645;-0.959596;-0.150138;0.212523;0.107091;0.082318;1.461043;0.426437;-0.636711;-0.754008;0.154331;-0.047462;0.078899;1.414261;0.413556;-0.546009;-0.826008;0.119508;-0.072816;0.098225;1.427910;0.419531;-0.346442;-0.932521;0.099977;-0.019684;0.114671;1.494622;0.421287;-0.793022;-0.585471;0.166491;0.024905;0.142491;1.502711;0.365329;-0.959596;-0.150138;0.212523;0.107091;0.101489;1.453251;0.432931;-0.516679;-0.841290;0.156347;-0.028790;0.097452;1.409977;0.400482;-0.346442;-0.932521;0.099977;-0.019684;0.137698;1.507771;0.378770;-0.959596;-0.150138;0.212523;0.107091;0.135764;1.432135;0.411551;-0.266260;-0.936279;0.153120;0.170416;0.155350;1.477877;0.415791;-0.757738;-0.621213;0.105649;0.169605;0.164983;1.496581;0.372863;-0.933834;-0.221941;0.041936;0.277377;0.143420;1.448743;0.422414;-0.469722;-0.863538;0.098238;0.154962;0.126086;1.420951;0.393945;-0.266260;-0.936279;0.153120;0.170416;2023/05/02 10:58:22.0904;0.116987;1.426225;0.415965;-0.247682;-0.956899;0.137802;0.063314;0.135104;1.487085;0.421150;-0.779807;-0.608982;0.122187;0.078184;0.157730;1.501984;0.371537;-0.959596;-0.150138;0.212523;0.107091;0.123433;1.449078;0.430478;-0.484980;-0.863111;0.125676;0.063560;0.112028;1.413101;0.394633;-0.247682;-0.956899;0.137802;0.063314;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.075911;1.454464;0.388577;-0.608339;-0.114483;0.427755;-0.658667;0.117961;1.495440;0.352998;-0.614809;0.028305;0.548237;-0.566255;0.093917;1.475485;0.366525;-0.688269;-0.069674;0.428462;-0.581251;0.065261;1.436974;0.404245;-0.608339;-0.114483;0.427755;-0.658667;111;0.160726;1.520920;0.336254;-0.959596;-0.150138;0.212523;0.107091
