Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;26767;1;-0.063738;1.649253;0.036698;0.981817;0.166195;0.045921;0.079414;0.022730;1.521150;0.402606;0.778617;0.338008;-0.528510;-0.013523;0.078050;1.517349;0.375990;0.835309;-0.049833;-0.500212;-0.222631;0.087197;1.457856;0.363984;0.702529;-0.400337;-0.398489;-0.432885;0.045740;1.529502;0.395635;0.795703;0.248701;-0.548826;-0.061604;0.003017;1.509868;0.408423;0.778617;0.338008;-0.528510;-0.013523;0.026651;1.511015;0.418223;0.671108;0.482305;-0.562140;0.031554;0.089794;1.511930;0.395489;0.812782;-0.015963;-0.525301;-0.251375;0.096904;1.452207;0.377614;0.702529;-0.400337;-0.398489;-0.432885;0.051768;1.524969;0.415611;0.738287;0.338572;-0.583188;-0.013950;0.007143;1.493636;0.416663;0.671108;0.482305;-0.562140;0.031554;0.101990;1.466626;0.377895;0.702529;-0.400337;-0.398489;-0.432885;0.045067;1.481023;0.432798;0.532926;0.497284;-0.683465;-0.039682;0.094783;1.480366;0.426217;0.735034;0.094474;-0.589444;-0.321490;0.104836;1.443733;0.397193;0.653711;-0.231424;-0.377970;-0.613387;0.064951;1.488091;0.435459;0.646504;0.394699;-0.637779;-0.139588;0.026608;1.470926;0.423519;0.532926;0.497284;-0.683465;-0.039682;2023/05/02 10:47:37.7119;0.032822;1.496061;0.427863;0.571556;0.525038;-0.629125;0.043134;0.093659;1.498239;0.411981;0.792540;0.038935;-0.539122;-0.282331;0.105405;1.447910;0.389083;0.702529;-0.400337;-0.398489;-0.432885;0.057863;1.508151;0.428955;0.689504;0.377742;-0.613953;-0.070411;0.014515;1.479973;0.420253;0.571556;0.525038;-0.629125;0.043134;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.017830;1.482106;0.390286;0.671926;-0.436294;-0.251494;0.543060;0.074663;1.455979;0.361392;0.626796;-0.503014;-0.292673;0.518119;0.044423;1.467123;0.372377;0.734943;-0.436816;-0.236986;0.461399;-0.003426;1.490869;0.401957;0.671926;-0.436294;-0.251494;0.543060;11;0.114185;1.421321;0.360301;0.702529;-0.400337;-0.398489;-0.432885
NA;26768;2;-0.063589;1.649245;0.036536;0.981722;0.166949;0.046617;0.078598;0.023228;1.521434;0.403033;0.780070;0.336021;-0.527557;-0.016273;0.078415;1.517311;0.376148;0.835890;-0.051839;-0.498278;-0.224320;0.087326;1.457790;0.364106;0.702591;-0.401881;-0.396496;-0.433183;0.046252;1.529633;0.395931;0.797107;0.246254;-0.547575;-0.064345;0.003479;1.510272;0.408960;0.780070;0.336021;-0.527557;-0.016273;0.027150;1.511214;0.418622;0.672899;0.480448;-0.561738;0.028765;0.090219;1.511858;0.395602;0.813412;-0.017547;-0.523619;-0.252736;0.097067;1.452112;0.377698;0.702591;-0.401881;-0.396496;-0.433183;0.052323;1.525040;0.415877;0.739793;0.336776;-0.582255;-0.016382;0.007538;1.493942;0.417182;0.672899;0.480448;-0.561738;0.028765;0.102200;1.466512;0.377967;0.702591;-0.401881;-0.396496;-0.433183;0.045533;1.481164;0.433136;0.535426;0.494598;-0.683282;-0.042642;0.095228;1.480283;0.426315;0.735722;0.092312;-0.588148;-0.322914;0.105049;1.443613;0.397257;0.653458;-0.233289;-0.376358;-0.613941;0.065468;1.488133;0.435681;0.648098;0.392329;-0.637098;-0.141962;0.026948;1.471174;0.423996;0.535426;0.494598;-0.683282;-0.042642;2023/05/02 10:47:37.7226;0.033306;1.496251;0.428255;0.573912;0.522829;-0.629018;0.040149;0.094105;1.498158;0.412080;0.793160;0.037186;-0.537582;-0.283761;0.105600;1.447788;0.389144;0.702591;-0.401881;-0.396496;-0.433183;0.058417;1.508208;0.429201;0.691142;0.375572;-0.613141;-0.072984;0.014853;1.480269;0.420776;0.573912;0.522829;-0.629018;0.040149;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.018073;1.482198;0.390603;0.672459;-0.436302;-0.250399;0.542900;0.074778;1.455956;0.361553;0.627774;-0.502445;-0.291184;0.518325;0.044595;1.467158;0.372636;0.735583;-0.436627;-0.235619;0.461258;-0.003149;1.491005;0.402302;0.672459;-0.436302;-0.250399;0.542900;21;0.114181;1.421166;0.360333;0.702591;-0.401881;-0.396496;-0.433183
NA;26769;3;-0.063440;1.649193;0.036262;0.981519;0.168234;0.046928;0.078198;0.023627;1.521098;0.403395;0.778592;0.337296;-0.528869;-0.018005;0.078865;1.516944;0.376616;0.835134;-0.050359;-0.498648;-0.226641;0.087722;1.457470;0.364307;0.702685;-0.399874;-0.396130;-0.435219;0.046691;1.529263;0.396381;0.795853;0.247334;-0.548662;-0.066429;0.003839;1.509953;0.409221;0.778592;0.337296;-0.528869;-0.018005;0.027452;1.510700;0.418917;0.671180;0.481301;-0.563135;0.027318;0.090606;1.511380;0.396075;0.812542;-0.015296;-0.524223;-0.254425;0.097416;1.451711;0.377899;0.702685;-0.399874;-0.396130;-0.435219;0.052659;1.524489;0.416301;0.738252;0.337953;-0.583478;-0.018034;0.007805;1.493479;0.417353;0.671180;0.481301;-0.563135;0.027318;0.102570;1.466102;0.378256;0.702685;-0.399874;-0.396130;-0.435219;0.045760;1.480581;0.433338;0.533713;0.494857;-0.684335;-0.044193;0.095483;1.479649;0.426650;0.734400;0.094014;-0.588661;-0.324495;0.105331;1.443105;0.397442;0.653039;-0.231134;-0.375611;-0.615657;0.065704;1.487497;0.435956;0.646419;0.393115;-0.637975;-0.143500;0.027168;1.470675;0.424121;0.533713;0.494857;-0.684335;-0.044193;2023/05/02 10:47:37.7339;0.033554;1.495671;0.428481;0.572171;0.523269;-0.630325;0.038729;0.094426;1.497594;0.412498;0.792069;0.039471;-0.538283;-0.285167;0.105911;1.447318;0.389352;0.702685;-0.399874;-0.396130;-0.435219;0.058684;1.507578;0.429543;0.689471;0.376632;-0.614192;-0.074468;0.015080;1.479763;0.420895;0.572171;0.523269;-0.630325;0.038729;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.018384;1.481829;0.390664;0.672653;-0.436781;-0.253313;0.540919;0.075179;1.455668;0.361705;0.628794;-0.501829;-0.293198;0.516547;0.044973;1.466843;0.372751;0.736195;-0.436175;-0.238057;0.459453;-0.002904;1.490606;0.402266;0.672653;-0.436781;-0.253313;0.540919;33;0.114533;1.420823;0.360436;0.702685;-0.399874;-0.396130;-0.435219
NA;26770;4;-0.063277;1.649152;0.035936;0.981290;0.169551;0.047040;0.078163;0.023978;1.521616;0.403144;0.777564;0.336758;-0.530669;-0.019469;0.079268;1.517231;0.376502;0.833980;-0.050755;-0.499511;-0.228889;0.087969;1.457755;0.364090;0.701790;-0.399141;-0.396074;-0.437381;0.047098;1.529676;0.396196;0.794876;0.246479;-0.550232;-0.068299;0.004128;1.510544;0.408897;0.777564;0.336758;-0.530669;-0.019469;0.027688;1.511129;0.418663;0.670556;0.479918;-0.565133;0.025666;0.090933;1.511588;0.395985;0.811325;-0.015136;-0.525209;-0.256277;0.097601;1.451936;0.377699;0.701790;-0.399141;-0.396074;-0.437381;0.052970;1.524794;0.416118;0.737371;0.336906;-0.585137;-0.019819;0.007947;1.494020;0.417050;0.670556;0.479918;-0.565133;0.025666;0.102801;1.466308;0.378107;0.701790;-0.399141;-0.396074;-0.437381;0.045868;1.480934;0.433105;0.533247;0.492912;-0.685961;-0.046304;0.095614;1.479778;0.426508;0.732941;0.093728;-0.589466;-0.326409;0.105430;1.443263;0.397254;0.651704;-0.230150;-0.375571;-0.617462;0.065846;1.487738;0.435757;0.645380;0.391881;-0.639349;-0.145422;0.027213;1.471160;0.423875;0.533247;0.492912;-0.685961;-0.046304;2023/05/02 10:47:37.7451;0.033725;1.496080;0.428228;0.571541;0.521738;-0.632249;0.037296;0.094658;1.497756;0.412391;0.790745;0.039287;-0.539226;-0.287079;0.106047;1.447491;0.389174;0.701790;-0.399141;-0.396074;-0.437381;0.058911;1.507862;0.429354;0.688456;0.375558;-0.615786;-0.076104;0.015176;1.480281;0.420597;0.571541;0.521738;-0.632249;0.037296;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.018557;1.482219;0.390213;0.672657;-0.438176;-0.255250;0.538870;0.075428;1.456002;0.361441;0.629393;-0.502247;-0.294373;0.514739;0.045207;1.467210;0.372411;0.736381;-0.436980;-0.239860;0.457448;-0.002784;1.491019;0.401700;0.672657;-0.438176;-0.255250;0.538870;44;0.114669;1.421027;0.360229;0.701790;-0.399141;-0.396074;-0.437381
NA;26771;5;-0.063119;1.649213;0.035548;0.981007;0.171020;0.046749;0.078687;0.024302;1.522101;0.402918;0.776671;0.336146;-0.532309;-0.020864;0.079633;1.517484;0.376395;0.832918;-0.051282;-0.500253;-0.231010;0.088182;1.458005;0.363889;0.700953;-0.398532;-0.395969;-0.439370;0.047475;1.530057;0.396025;0.794033;0.245527;-0.551648;-0.070093;0.004393;1.511102;0.408609;0.776671;0.336146;-0.532309;-0.020864;0.027904;1.511534;0.418439;0.670133;0.478417;-0.566978;0.023978;0.091229;1.511768;0.395898;0.810214;-0.015126;-0.526068;-0.258026;0.097759;1.452131;0.377513;0.700953;-0.398532;-0.395969;-0.439370;0.053258;1.525074;0.415950;0.736663;0.335739;-0.586636;-0.021590;0.008067;1.494539;0.416791;0.670133;0.478417;-0.566978;0.023978;0.103003;1.466484;0.377967;0.700953;-0.398532;-0.395969;-0.439370;0.045966;1.481268;0.432904;0.533042;0.490841;-0.687451;-0.048511;0.095730;1.479887;0.426374;0.731628;0.093288;-0.590136;-0.328264;0.105509;1.443395;0.397078;0.650456;-0.229318;-0.375497;-0.619131;0.065979;1.487960;0.435577;0.644549;0.390515;-0.640574;-0.147378;0.027241;1.471628;0.423675;0.533042;0.490841;-0.687451;-0.048511;2023/05/02 10:47:37.7558;0.033883;1.496471;0.428007;0.571134;0.520117;-0.634036;0.035818;0.094868;1.497894;0.412287;0.789543;0.038917;-0.540026;-0.288928;0.106161;1.447636;0.389008;0.700953;-0.398532;-0.395969;-0.439370;0.059125;1.508128;0.429183;0.687631;0.374361;-0.617230;-0.077745;0.015255;1.480780;0.420347;0.571134;0.520117;-0.634036;0.035818;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.018701;1.482566;0.389794;0.672585;-0.439543;-0.257065;0.536982;0.075645;1.456298;0.361197;0.629931;-0.502610;-0.295439;0.513114;0.045409;1.467535;0.372100;0.736492;-0.437783;-0.241548;0.455609;-0.002690;1.491388;0.401171;0.672585;-0.439543;-0.257065;0.536982;55;0.114777;1.421199;0.360036;0.700953;-0.398532;-0.395969;-0.439370
NA;26772;6;-0.062990;1.649745;0.035138;0.980902;0.171589;0.046125;0.079134;0.024845;1.522247;0.402750;0.778646;0.333174;-0.531262;-0.021582;0.080049;1.517284;0.376002;0.833468;-0.054769;-0.498957;-0.231028;0.088556;1.457761;0.363681;0.700823;-0.400507;-0.395673;-0.438046;0.048019;1.530067;0.395706;0.795847;0.242012;-0.550492;-0.070824;0.004923;1.511347;0.408584;0.778646;0.333174;-0.531262;-0.021582;0.028445;1.511647;0.418304;0.672739;0.475773;-0.566156;0.023014;0.091705;1.511639;0.395490;0.810978;-0.017739;-0.525042;-0.257548;0.098174;1.451935;0.377298;0.700823;-0.400507;-0.395673;-0.438046;0.053832;1.525090;0.415631;0.738804;0.332935;-0.585517;-0.022188;0.008540;1.494716;0.416836;0.672739;0.475773;-0.566156;0.023014;0.103421;1.466289;0.377688;0.700823;-0.400507;-0.395673;-0.438046;0.046526;1.481378;0.432819;0.537057;0.487180;-0.686830;-0.049893;0.096299;1.479869;0.426068;0.732696;0.090811;-0.589788;-0.327199;0.105985;1.443270;0.396876;0.650599;-0.231479;-0.375613;-0.618105;0.066582;1.488005;0.435327;0.647403;0.386930;-0.639709;-0.148080;0.027676;1.471787;0.423795;0.537057;0.487180;-0.686830;-0.049893;2023/05/02 10:47:37.7676;0.034434;1.496555;0.427906;0.574185;0.517734;-0.633291;0.034727;0.095394;1.497824;0.411918;0.790463;0.036830;-0.539181;-0.288263;0.106612;1.447482;0.388788;0.700823;-0.400507;-0.395673;-0.438046;0.059716;1.508141;0.428901;0.689910;0.371754;-0.616180;-0.078390;0.015704;1.480899;0.420423;0.574185;0.517734;-0.633291;0.034727;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.019042;1.482203;0.389688;0.670498;-0.440639;-0.257040;0.538703;0.076012;1.456046;0.361030;0.628777;-0.502211;-0.294687;0.515348;0.045769;1.467208;0.371990;0.735225;-0.438103;-0.240875;0.457700;-0.002392;1.490988;0.401012;0.670498;-0.440639;-0.257040;0.538703;66;0.115137;1.420938;0.359887;0.700823;-0.400507;-0.395673;-0.438046
NA;26773;7;-0.062841;1.649926;0.035081;0.981032;0.170753;0.045263;0.079822;0.024909;1.522219;0.401924;0.778774;0.332210;-0.531720;-0.020528;0.080142;1.517190;0.375256;0.833116;-0.055804;-0.499755;-0.230322;0.088670;1.457629;0.363138;0.699990;-0.401299;-0.396792;-0.437641;0.048089;1.530027;0.394887;0.795843;0.241069;-0.551044;-0.069790;0.004984;1.511328;0.407763;0.778774;0.332210;-0.531720;-0.020528;0.028479;1.511724;0.417542;0.673648;0.473911;-0.566620;0.023441;0.091775;1.511607;0.394775;0.810654;-0.018878;-0.525852;-0.256835;0.098273;1.451846;0.376784;0.699990;-0.401299;-0.396792;-0.437641;0.053884;1.525126;0.414836;0.739213;0.331301;-0.585951;-0.021571;0.008539;1.494828;0.416138;0.673648;0.473911;-0.566620;0.023441;0.103517;1.466203;0.377127;0.699990;-0.401299;-0.396792;-0.437641;0.046536;1.481506;0.432174;0.538619;0.484864;-0.687273;-0.049530;0.096335;1.479932;0.425456;0.732471;0.089588;-0.590928;-0.325984;0.106061;1.443244;0.396389;0.650047;-0.232086;-0.376970;-0.617631;0.066606;1.488104;0.434643;0.648256;0.384838;-0.640266;-0.147390;0.027643;1.471932;0.423222;0.538619;0.484864;-0.687273;-0.049530;2023/05/02 10:47:37.7788;0.034450;1.496716;0.427227;0.575760;0.515369;-0.633779;0.034923;0.095446;1.497843;0.411251;0.790203;0.035316;-0.540068;-0.287504;0.106697;1.447431;0.388289;0.699990;-0.401299;-0.396792;-0.437641;0.059760;1.508246;0.428164;0.690712;0.369538;-0.616667;-0.077970;0.015660;1.481090;0.419836;0.575760;0.515369;-0.633779;0.034923;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.019125;1.482124;0.389025;0.669256;-0.442373;-0.256973;0.538857;0.076126;1.455901;0.360486;0.627900;-0.503180;-0.294194;0.515753;0.045875;1.467084;0.371399;0.734351;-0.439415;-0.240612;0.457984;-0.002340;1.490936;0.400269;0.669256;-0.442373;-0.256973;0.538857;77;0.115260;1.420799;0.359480;0.699990;-0.401299;-0.396792;-0.437641
NA;26774;8;-0.062758;1.650151;0.035071;0.981237;0.169714;0.044633;0.079868;0.024973;1.522177;0.401158;0.778867;0.331396;-0.532128;-0.019554;0.080233;1.517098;0.374565;0.832800;-0.056696;-0.500477;-0.229677;0.088769;1.457499;0.362636;0.699201;-0.402069;-0.397778;-0.437300;0.048158;1.529980;0.394131;0.795813;0.240307;-0.551542;-0.068817;0.005045;1.511293;0.407000;0.778867;0.331396;-0.532128;-0.019554;0.028515;1.511795;0.416840;0.674534;0.472102;-0.567063;0.023724;0.091845;1.511570;0.394112;0.810354;-0.019955;-0.526569;-0.256230;0.098360;1.451756;0.376307;0.699201;-0.402069;-0.397778;-0.437300;0.053940;1.525154;0.414101;0.739609;0.329744;-0.586348;-0.021081;0.008540;1.494937;0.415497;0.674534;0.472102;-0.567063;0.023724;0.103604;1.466116;0.376606;0.699201;-0.402069;-0.397778;-0.437300;0.046547;1.481626;0.431578;0.540145;0.482575;-0.687703;-0.049302;0.096371;1.479982;0.424888;0.732253;0.088389;-0.591980;-0.324890;0.106126;1.443212;0.395935;0.649507;-0.232690;-0.378188;-0.617228;0.066632;1.488193;0.434008;0.649082;0.382787;-0.640788;-0.146829;0.027609;1.472073;0.422699;0.540145;0.482575;-0.687703;-0.049302;2023/05/02 10:47:37.7895;0.034469;1.496877;0.426605;0.577347;0.512979;-0.634273;0.034949;0.095497;1.497853;0.410630;0.789956;0.033792;-0.540861;-0.286876;0.106772;1.447375;0.387824;0.699201;-0.402069;-0.397778;-0.437300;0.059809;1.508346;0.427483;0.691519;0.367317;-0.617124;-0.077704;0.015613;1.481287;0.419306;0.577347;0.512979;-0.634273;0.034949;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.019209;1.482062;0.388425;0.668199;-0.443975;-0.256785;0.538941;0.076227;1.455762;0.359986;0.627189;-0.504074;-0.293600;0.516084;0.045972;1.466973;0.370861;0.733630;-0.440622;-0.240229;0.458180;-0.002280;1.490906;0.399598;0.668199;-0.443975;-0.256785;0.538941;88;0.115363;1.420662;0.359100;0.699201;-0.402069;-0.397778;-0.437300
NA;26775;9;-0.062644;1.650489;0.035042;0.981495;0.168639;0.044034;0.079305;0.025370;1.522109;0.401304;0.779553;0.331858;-0.530860;-0.018852;0.080574;1.517142;0.374589;0.833617;-0.056706;-0.499608;-0.228601;0.089155;1.457540;0.362702;0.699843;-0.402696;-0.397301;-0.436128;0.048519;1.529969;0.394224;0.796540;0.240800;-0.550385;-0.067947;0.005482;1.511179;0.407195;0.779553;0.331858;-0.530860;-0.018852;0.028973;1.511746;0.416975;0.675308;0.472519;-0.565774;0.024177;0.092245;1.511646;0.394110;0.811212;-0.020017;-0.525761;-0.255166;0.098793;1.451823;0.376352;0.699843;-0.402696;-0.397301;-0.436128;0.054358;1.525167;0.414175;0.740341;0.330235;-0.585173;-0.020314;0.009033;1.494841;0.415689;0.675308;0.472519;-0.565774;0.024177;0.104018;1.466192;0.376612;0.699843;-0.402696;-0.397301;-0.436128;0.047081;1.481647;0.431696;0.541266;0.482792;-0.686691;-0.048986;0.096896;1.480091;0.424901;0.733238;0.088218;-0.591315;-0.323925;0.106622;1.443308;0.395955;0.650316;-0.233548;-0.377744;-0.616323;0.067160;1.488253;0.434074;0.650147;0.382830;-0.639806;-0.146284;0.028139;1.472051;0.422872;0.541266;0.482792;-0.686691;-0.048986;2023/05/02 10:47:37.8008;0.034971;1.496870;0.426740;0.578347;0.513252;-0.633125;0.035217;0.095960;1.497948;0.410631;0.790851;0.033562;-0.540102;-0.285864;0.107240;1.447465;0.387838;0.699843;-0.402696;-0.397301;-0.436128;0.060289;1.508391;0.427551;0.692448;0.367506;-0.616048;-0.077067;0.016125;1.481238;0.419502;0.578347;0.513252;-0.633125;0.035217;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.019659;1.482038;0.388722;0.667831;-0.443626;-0.256012;0.540051;0.076606;1.455781;0.360100;0.627253;-0.503192;-0.292562;0.517454;0.046378;1.466965;0.371077;0.733620;-0.439969;-0.239021;0.459453;-0.001817;1.490866;0.399931;0.667831;-0.443626;-0.256012;0.540051;99;0.115790;1.420738;0.359115;0.699843;-0.402696;-0.397301;-0.436128
NA;26776;10;-0.062543;1.650804;0.035055;0.981694;0.167875;0.043562;0.078722;0.025362;1.521978;0.400772;0.779563;0.331929;-0.530821;-0.018255;0.080570;1.517046;0.374079;0.833629;-0.056819;-0.499772;-0.228170;0.089191;1.457437;0.362259;0.699787;-0.402796;-0.397689;-0.435773;0.048504;1.529867;0.393700;0.796495;0.241050;-0.550426;-0.067245;0.005483;1.511030;0.406662;0.779563;0.331929;-0.530821;-0.018255;0.028960;1.511652;0.416456;0.675675;0.472041;-0.565722;0.024498;0.092241;1.511574;0.393607;0.811223;-0.020164;-0.526003;-0.254620;0.098833;1.451738;0.375915;0.699787;-0.402796;-0.397689;-0.435773;0.054337;1.525086;0.413649;0.740445;0.330055;-0.585163;-0.019760;0.009018;1.494747;0.415196;0.675675;0.472041;-0.565722;0.024498;0.104048;1.466114;0.376149;0.699787;-0.402796;-0.397689;-0.435773;0.047072;1.481536;0.431180;0.541695;0.482524;-0.686568;-0.048604;0.096906;1.480047;0.424425;0.733231;0.088632;-0.591805;-0.322929;0.106663;1.443248;0.395510;0.650390;-0.233615;-0.378142;-0.615975;0.067144;1.488163;0.433556;0.650349;0.382749;-0.639806;-0.145596;0.028128;1.471926;0.422375;0.541695;0.482524;-0.686568;-0.048604;2023/05/02 10:47:37.8120;0.034962;1.496766;0.426221;0.578662;0.512999;-0.633016;0.035685;0.095961;1.497892;0.410140;0.790881;0.033557;-0.540434;-0.285155;0.107280;1.447399;0.387390;0.699787;-0.402796;-0.397689;-0.435773;0.060270;1.508312;0.427031;0.692548;0.367449;-0.616058;-0.076358;0.016121;1.481120;0.419003;0.578662;0.512999;-0.633016;0.035685;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.019699;1.481880;0.388342;0.667152;-0.444034;-0.256215;0.540459;0.076640;1.455662;0.359673;0.627068;-0.502903;-0.292334;0.518088;0.046415;1.466823;0.370679;0.733412;-0.439819;-0.238757;0.460066;-0.001796;1.490694;0.399527;0.667152;-0.444034;-0.256215;0.540459;111;0.115855;1.420654;0.358690;0.699787;-0.402796;-0.397689;-0.435773
