Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;78412;1;-0.036879;1.663340;0.005612;0.980185;0.181644;0.052928;0.058661;0.065708;1.411575;0.420349;-0.429829;-0.866827;0.252534;0.009242;0.090531;1.463540;0.449030;-0.574326;-0.761738;0.292629;0.065377;0.132642;1.495471;0.416557;-0.828731;-0.434286;0.254657;0.244437;0.073224;1.430307;0.435853;-0.441074;-0.852960;0.277558;0.029595;0.060057;1.393554;0.406455;-0.429829;-0.866827;0.252534;0.009242;0.075572;1.392594;0.429478;-0.557615;-0.789752;0.220145;0.129979;0.108843;1.451959;0.457865;-0.558254;-0.778841;0.264766;0.107971;0.147302;1.487495;0.421196;-0.828731;-0.434286;0.254657;0.244437;0.087993;1.415437;0.441978;-0.522926;-0.806223;0.258152;0.099550;0.063826;1.370569;0.421605;-0.557615;-0.789752;0.220145;0.129979;0.141538;1.481878;0.434483;-0.828731;-0.434286;0.254657;0.244437;0.138691;1.438520;0.405901;0.738738;-0.653910;0.157987;-0.041329;0.147407;1.433025;0.446921;-0.213623;-0.936782;0.227902;0.157688;0.167865;1.470504;0.425421;-0.779426;-0.522611;0.044776;0.342590;0.134770;1.422461;0.419286;0.430414;-0.881501;0.193916;-0.009879;0.144861;1.460650;0.406878;0.738738;-0.653910;0.157987;-0.041329;2023/05/02 10:57:13.1547;0.123912;1.440650;0.406604;0.797124;-0.579963;0.098920;-0.135834;0.127783;1.441605;0.454966;-0.314807;-0.917677;0.227674;0.083251;0.161759;1.477112;0.427034;-0.828731;-0.434286;0.254657;0.244437;0.115690;1.419557;0.422788;0.451535;-0.869482;0.186487;-0.073070;0.132370;1.463919;0.412841;0.797124;-0.579963;0.098920;-0.135834;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.077744;1.460754;0.426594;-0.549628;-0.546063;0.389098;-0.498324;0.124532;1.498448;0.406841;-0.777737;-0.010699;0.606348;-0.165385;0.092539;1.491053;0.415845;-0.732090;-0.371586;0.458319;-0.340457;0.079840;1.435296;0.430102;-0.549628;-0.546063;0.389098;-0.498324;11;0.174234;1.511797;0.411102;-0.828731;-0.434286;0.254657;0.244437
NA;78413;2;-0.037935;1.663721;0.005450;0.980803;0.178777;0.051882;0.058073;0.065225;1.411563;0.420410;-0.428488;-0.867792;0.251532;0.008176;0.089880;1.463564;0.449158;-0.574106;-0.762316;0.291749;0.064493;0.131929;1.495636;0.416750;-0.828740;-0.435189;0.254255;0.243218;0.072670;1.430293;0.435952;-0.440275;-0.853730;0.276550;0.028695;0.059653;1.393562;0.406458;-0.428488;-0.867792;0.251532;0.008176;0.075133;1.392564;0.429588;-0.557869;-0.790047;0.218907;0.129181;0.108218;1.452025;0.457996;-0.558165;-0.779428;0.263590;0.107072;0.146608;1.487699;0.421397;-0.828740;-0.435189;0.254255;0.243218;0.087486;1.415447;0.442083;-0.523154;-0.806570;0.256889;0.098807;0.063452;1.370503;0.421719;-0.557869;-0.790047;0.218907;0.129181;0.140848;1.482061;0.434674;-0.828740;-0.435189;0.254255;0.243218;0.138149;1.438758;0.406049;0.739843;-0.653070;0.156536;-0.040345;0.146844;1.433212;0.447064;-0.212893;-0.937439;0.226278;0.157106;0.167214;1.470772;0.425621;-0.779614;-0.523231;0.044176;0.341292;0.134269;1.422658;0.419397;0.431433;-0.881375;0.192238;-0.009404;0.144248;1.460904;0.407098;0.739843;-0.653070;0.156536;-0.040345;2023/05/02 10:57:13.1654;0.123356;1.440814;0.406741;0.797934;-0.579281;0.097748;-0.134839;0.127190;1.441728;0.455102;-0.314376;-0.918216;0.226337;0.082574;0.161088;1.477361;0.427236;-0.828740;-0.435189;0.254255;0.243218;0.115186;1.419677;0.422893;0.452246;-0.869463;0.185034;-0.072600;0.131737;1.464097;0.413031;0.797934;-0.579281;0.097748;-0.134839;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.077132;1.460729;0.426738;-0.549099;-0.546067;0.388987;-0.498990;0.123819;1.498588;0.407026;-0.777245;-0.011949;0.606611;-0.166647;0.091848;1.491071;0.416007;-0.731402;-0.372203;0.458091;-0.341569;0.079259;1.435273;0.430249;-0.549099;-0.546067;0.388987;-0.498990;22;0.173477;1.512098;0.411351;-0.828740;-0.435189;0.254255;0.243218
NA;78414;3;-0.039074;1.664121;0.005203;0.981570;0.176172;0.050408;0.054242;0.064667;1.411524;0.420542;-0.427319;-0.868658;0.250560;0.007221;0.089173;1.463563;0.449332;-0.574067;-0.762742;0.290880;0.063722;0.131159;1.495755;0.416968;-0.828819;-0.435899;0.253849;0.242100;0.072047;1.430253;0.436115;-0.439644;-0.854397;0.275574;0.027900;0.059168;1.393538;0.406541;-0.427319;-0.868658;0.250560;0.007221;0.074619;1.392508;0.429770;-0.558166;-0.790284;0.217712;0.128468;0.107535;1.452066;0.458172;-0.558250;-0.779864;0.262436;0.106286;0.145857;1.487856;0.421623;-0.828819;-0.435899;0.253849;0.242100;0.086911;1.415431;0.442253;-0.523475;-0.806830;0.255667;0.098152;0.062999;1.370412;0.421909;-0.558166;-0.790284;0.217712;0.128468;0.140101;1.482204;0.434892;-0.828819;-0.435899;0.253849;0.242100;0.137530;1.438941;0.406239;0.740708;-0.652462;0.155243;-0.039299;0.146217;1.433362;0.447250;-0.212382;-0.938013;0.224697;0.156641;0.166502;1.470990;0.425847;-0.779852;-0.523678;0.043604;0.340134;0.133693;1.422808;0.419560;0.432203;-0.881343;0.190674;-0.008835;0.143558;1.461104;0.407344;0.740708;-0.652462;0.155243;-0.039299;2023/05/02 10:57:13.1767;0.122724;1.440926;0.406925;0.798580;-0.578788;0.096728;-0.133860;0.126536;1.441820;0.455282;-0.314195;-0.918640;0.225065;0.082021;0.160358;1.477562;0.427463;-0.828819;-0.435899;0.253849;0.242100;0.114606;1.419753;0.423056;0.452726;-0.869534;0.183723;-0.072087;0.131034;1.464224;0.413255;0.798580;-0.578788;0.096728;-0.133860;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.076459;1.460674;0.426942;-0.548844;-0.545977;0.388747;-0.499555;0.123049;1.498679;0.407237;-0.776886;-0.013015;0.606687;-0.167960;0.091102;1.491052;0.416209;-0.730935;-0.372646;0.457704;-0.342602;0.078611;1.435223;0.430467;-0.548844;-0.545977;0.388747;-0.499555;33;0.172666;1.512343;0.411612;-0.828819;-0.435899;0.253849;0.242100
NA;78415;4;-0.040111;1.664704;0.004945;0.982087;0.174553;0.049814;0.050546;0.063052;1.409367;0.422041;-0.432763;-0.867405;0.245564;0.004807;0.087098;1.461983;0.450172;-0.578991;-0.760943;0.286572;0.060096;0.128692;1.494316;0.417465;-0.832206;-0.433536;0.252012;0.236580;0.070285;1.428353;0.437370;-0.445214;-0.853135;0.270753;0.025275;0.057698;1.391165;0.408266;-0.432763;-0.867405;0.245564;0.004807;0.073327;1.390564;0.431324;-0.562646;-0.788925;0.213147;0.124882;0.105597;1.450770;0.459092;-0.562903;-0.778564;0.257796;0.102564;0.143485;1.486632;0.422185;-0.832206;-0.433536;0.252012;0.236580;0.085370;1.413744;0.443571;-0.528011;-0.805794;0.250888;0.094634;0.061955;1.368263;0.423683;-0.562646;-0.788925;0.213147;0.124882;0.137799;1.481065;0.435510;-0.832206;-0.433536;0.252012;0.236580;0.135640;1.437505;0.407249;0.738227;-0.656375;0.151610;-0.034764;0.144475;1.432405;0.448290;-0.217797;-0.938304;0.219236;0.155197;0.164314;1.470068;0.426534;-0.784059;-0.520298;0.041739;0.335857;0.132033;1.421445;0.420721;0.428113;-0.884470;0.185461;-0.006091;0.141392;1.459749;0.408168;0.738227;-0.656375;0.151610;-0.034764;2023/05/02 10:57:13.1879;0.120864;1.439360;0.407972;0.797509;-0.581770;0.093115;-0.129823;0.124708;1.440712;0.456270;-0.319012;-0.918356;0.220194;0.079808;0.158099;1.476585;0.428100;-0.832206;-0.433536;0.252012;0.236580;0.112985;1.418219;0.424264;0.449857;-0.872210;0.178787;-0.070104;0.128919;1.462785;0.414158;0.797509;-0.581770;0.093115;-0.129823;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.074473;1.458583;0.427822;-0.548673;-0.545393;0.382697;-0.505023;0.120544;1.497024;0.407704;-0.775816;-0.013329;0.605605;-0.176561;0.088709;1.489038;0.416765;-0.730633;-0.371853;0.453335;-0.349842;0.076938;1.433200;0.431620;-0.548673;-0.545393;0.382697;-0.505023;44;0.170000;1.511360;0.411929;-0.832206;-0.433536;0.252012;0.236580
NA;78416;5;-0.040840;1.665168;0.004562;0.982442;0.173388;0.049928;0.047442;0.062712;1.409879;0.421842;-0.432295;-0.867805;0.244998;0.003388;0.086609;1.462573;0.449950;-0.579314;-0.760928;0.286222;0.058826;0.128151;1.494965;0.417248;-0.832603;-0.433611;0.251967;0.235089;0.069882;1.428893;0.437166;-0.445404;-0.853246;0.270203;0.024037;0.057432;1.391670;0.408047;-0.432295;-0.867805;0.244998;0.003388;0.073042;1.391075;0.431218;-0.563293;-0.788883;0.212276;0.123709;0.105129;1.451419;0.458899;-0.563574;-0.778525;0.256926;0.101347;0.142962;1.487330;0.421998;-0.832603;-0.433611;0.251967;0.235089;0.085017;1.414312;0.443425;-0.528870;-0.805654;0.249944;0.093518;0.061738;1.368731;0.423601;-0.563293;-0.788883;0.212276;0.123709;0.137273;1.481780;0.435323;-0.832603;-0.433611;0.251967;0.235089;0.135271;1.438224;0.407117;0.739188;-0.655684;0.150019;-0.034262;0.144069;1.433150;0.448156;-0.218019;-0.938711;0.217913;0.154284;0.163827;1.470848;0.426385;-0.784744;-0.520159;0.041596;0.334486;0.131693;1.422145;0.420575;0.428513;-0.884622;0.183806;-0.006046;0.140963;1.460482;0.408100;0.739188;-0.655684;0.150019;-0.034262;2023/05/02 10:57:13.1986;0.120504;1.440045;0.407845;0.798481;-0.580781;0.091509;-0.129415;0.124271;1.441411;0.456107;-0.319261;-0.918600;0.219199;0.078731;0.157593;1.477348;0.427938;-0.832603;-0.433611;0.251967;0.235089;0.112648;1.418868;0.424100;0.450550;-0.872153;0.177240;-0.070279;0.128482;1.463476;0.414107;0.798481;-0.580781;0.091509;-0.129415;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.074062;1.459016;0.427589;-0.548091;-0.544979;0.381740;-0.506823;0.120009;1.497616;0.407467;-0.774956;-0.013844;0.606015;-0.178881;0.088196;1.489503;0.416493;-0.729955;-0.371708;0.452844;-0.352039;0.076604;1.433649;0.431447;-0.548091;-0.544979;0.381740;-0.506823;55;0.169416;1.512141;0.411747;-0.832603;-0.433611;0.251967;0.235089
NA;78417;6;-0.041537;1.665711;0.004270;0.982534;0.173046;0.051081;0.045538;0.062321;1.410354;0.421673;-0.431503;-0.868334;0.244536;0.001898;0.086070;1.463113;0.449779;-0.579503;-0.760975;0.285971;0.057565;0.127559;1.495556;0.417070;-0.833034;-0.433592;0.251894;0.233671;0.069426;1.429390;0.437000;-0.445387;-0.853431;0.269754;0.022768;0.057120;1.392148;0.407844;-0.431503;-0.868334;0.244536;0.001898;0.072691;1.391539;0.431173;-0.563967;-0.788786;0.211475;0.122624;0.104612;1.452018;0.458757;-0.564279;-0.778426;0.256127;0.100208;0.142387;1.487970;0.421850;-0.833034;-0.433592;0.251894;0.233671;0.084604;1.414833;0.443333;-0.529809;-0.805426;0.249070;0.092492;0.061450;1.369156;0.423582;-0.563967;-0.788786;0.211475;0.122624;0.136696;1.482437;0.435176;-0.833034;-0.433592;0.251894;0.233671;0.134852;1.438893;0.407035;0.740278;-0.654815;0.148515;-0.033911;0.143608;1.433839;0.448068;-0.218206;-0.939082;0.216740;0.153408;0.163287;1.471564;0.426273;-0.785445;-0.519934;0.041443;0.333207;0.131296;1.422794;0.420474;0.429006;-0.884696;0.182292;-0.006087;0.140490;1.461161;0.408090;0.740278;-0.654815;0.148515;-0.033911;2023/05/02 10:57:13.2099;0.120088;1.440679;0.407768;0.799498;-0.579705;0.089963;-0.129044;0.123782;1.442057;0.455992;-0.319505;-0.918827;0.218251;0.077717;0.157034;1.478051;0.427814;-0.833034;-0.433592;0.251894;0.233671;0.112254;1.419465;0.423986;0.451280;-0.872061;0.175768;-0.070449;0.127993;1.464114;0.414110;0.799498;-0.579705;0.089963;-0.129044;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.073594;1.459405;0.427410;-0.547576;-0.544594;0.380737;-0.508545;0.119421;1.498152;0.407272;-0.774169;-0.014271;0.606344;-0.181122;0.087631;1.489921;0.416271;-0.729363;-0.371528;0.452310;-0.354136;0.076211;1.434054;0.431327;-0.547576;-0.544594;0.380737;-0.508545;67;0.168781;1.512857;0.411595;-0.833034;-0.433592;0.251894;0.233671
NA;78418;7;-0.042110;1.666331;0.003803;0.982341;0.173489;0.052791;0.046065;0.060436;1.411053;0.425605;-0.445265;-0.862171;0.241542;0.007639;0.084833;1.464451;0.451907;-0.591546;-0.752747;0.282196;0.061735;0.125801;1.496030;0.417741;-0.839912;-0.421733;0.247715;0.235217;0.067881;1.430463;0.440289;-0.459088;-0.846894;0.266879;0.028028;0.054924;1.392504;0.412366;-0.445265;-0.862171;0.241542;0.007639;0.071030;1.392457;0.435275;-0.574249;-0.781413;0.208303;0.127446;0.103511;1.453529;0.460816;-0.575901;-0.770446;0.252590;0.104640;0.140700;1.488532;0.422445;-0.839912;-0.421733;0.247715;0.235217;0.083183;1.416013;0.446666;-0.541436;-0.798114;0.245807;0.097157;0.059639;1.369927;0.428368;-0.574249;-0.781413;0.208303;0.127446;0.135228;1.483338;0.435991;-0.839912;-0.421733;0.247715;0.235217;0.132833;1.439244;0.408926;0.732875;-0.661912;0.154470;-0.030120;0.142288;1.435036;0.449876;-0.229956;-0.935343;0.216537;0.159262;0.161644;1.472213;0.426882;-0.791413;-0.507932;0.038916;0.337869;0.129500;1.423415;0.422739;0.418690;-0.888881;0.185981;-0.000534;0.138496;1.461523;0.409472;0.732875;-0.661912;0.154470;-0.030120;2023/05/02 10:57:13.2211;0.118093;1.441038;0.409868;0.792817;-0.588646;0.095565;-0.125718;0.122615;1.443471;0.457951;-0.331612;-0.914347;0.216897;0.083419;0.155428;1.478744;0.428381;-0.839912;-0.421733;0.247715;0.235217;0.110511;1.420184;0.426663;0.440450;-0.877256;0.179352;-0.065254;0.126127;1.464583;0.415610;0.792817;-0.588646;0.095565;-0.125718;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.072072;1.460134;0.429874;-0.557066;-0.542748;0.369558;-0.508459;0.117501;1.498391;0.408020;-0.779575;-0.006525;0.597319;-0.188228;0.085875;1.490389;0.417769;-0.737506;-0.366202;0.441445;-0.356521;0.074789;1.434885;0.434343;-0.557066;-0.542748;0.369558;-0.508459;78;0.166945;1.513146;0.411166;-0.839912;-0.421733;0.247715;0.235217
NA;78419;8;-0.042571;1.666779;0.003171;0.982041;0.174009;0.054509;0.048425;0.060563;1.410198;0.424827;-0.442721;-0.864073;0.239317;0.010182;0.085009;1.463496;0.451266;-0.590639;-0.754279;0.279427;0.064264;0.125663;1.495320;0.416966;-0.840026;-0.423278;0.243714;0.236210;0.068048;1.429533;0.439588;-0.457235;-0.848531;0.264550;0.030750;0.055028;1.391733;0.411479;-0.442721;-0.864073;0.239317;0.010182;0.071231;1.391527;0.434477;-0.573958;-0.782026;0.205071;0.130209;0.103775;1.452579;0.459993;-0.575441;-0.771443;0.249447;0.107331;0.140615;1.487843;0.421538;-0.840026;-0.423278;0.243714;0.236210;0.083425;1.415073;0.445846;-0.541240;-0.798827;0.242732;0.100079;0.059833;1.368996;0.427587;-0.573958;-0.782026;0.205071;0.130209;0.135245;1.482588;0.435096;-0.840026;-0.423278;0.243714;0.236210;0.132834;1.438729;0.407843;0.735795;-0.658464;0.155851;-0.027244;0.142522;1.434237;0.448696;-0.227354;-0.935931;0.214378;0.162436;0.161626;1.471574;0.425751;-0.790729;-0.508741;0.034726;0.338710;0.129604;1.422786;0.421548;0.421702;-0.887395;0.186251;0.002972;0.138467;1.461011;0.408583;0.735795;-0.658464;0.155851;-0.027244;2023/05/02 10:57:13.2324;0.118069;1.440442;0.408935;0.795386;-0.585481;0.097438;-0.122796;0.122884;1.442583;0.456947;-0.329877;-0.915270;0.214387;0.086601;0.155404;1.478083;0.427325;-0.840026;-0.423278;0.243714;0.236210;0.110634;1.419439;0.425610;0.443416;-0.875950;0.179749;-0.061520;0.126075;1.463954;0.414849;0.795386;-0.585481;0.097438;-0.122796;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.072158;1.459160;0.429323;-0.556312;-0.546233;0.367578;-0.506985;0.117294;1.497684;0.407306;-0.781197;-0.009952;0.595011;-0.188664;0.085769;1.489510;0.417239;-0.737658;-0.369573;0.438960;-0.355796;0.075002;1.433906;0.433678;-0.556312;-0.546233;0.367578;-0.506985;89;0.166715;1.512597;0.410199;-0.840026;-0.423278;0.243714;0.236210
NA;78420;9;-0.043244;1.667227;0.002815;0.981768;0.174290;0.056923;0.050142;0.060640;1.409402;0.424077;-0.439706;-0.866140;0.237292;0.012332;0.085116;1.462591;0.450682;-0.589634;-0.755804;0.276879;0.066559;0.125469;1.494641;0.416247;-0.840182;-0.424635;0.239907;0.237115;0.068152;1.428654;0.438933;-0.455025;-0.850290;0.262415;0.033122;0.055097;1.391032;0.410602;-0.439706;-0.866140;0.237292;0.012332;0.071350;1.390645;0.433771;-0.574072;-0.782268;0.202077;0.132902;0.103966;1.451682;0.459237;-0.575096;-0.772269;0.246563;0.109873;0.140470;1.487185;0.420695;-0.840182;-0.424635;0.239907;0.237115;0.083588;1.414186;0.445104;-0.541301;-0.799288;0.239891;0.102880;0.059939;1.368108;0.426924;-0.574072;-0.782268;0.202077;0.132902;0.135198;1.481877;0.434265;-0.840182;-0.424635;0.239907;0.237115;0.132789;1.438256;0.406843;0.738700;-0.654980;0.157187;-0.024827;0.142682;1.433485;0.447604;-0.224738;-0.936465;0.212576;0.165343;0.161543;1.470969;0.424698;-0.790133;-0.509397;0.030754;0.339497;0.129646;1.422205;0.420442;0.424620;-0.885905;0.186640;0.006059;0.138406;1.460534;0.407778;0.738700;-0.654980;0.157187;-0.024827;2023/05/02 10:57:13.2431;0.117990;1.439881;0.408088;0.797907;-0.582312;0.099171;-0.120095;0.123079;1.441747;0.456021;-0.328276;-0.916108;0.212022;0.089595;0.155316;1.477455;0.426341;-0.840182;-0.424635;0.239907;0.237115;0.110690;1.418735;0.424641;0.446340;-0.874626;0.180115;-0.058044;0.125970;1.463357;0.414175;0.797907;-0.582312;0.099171;-0.120095;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.072171;1.458233;0.428829;-0.555708;-0.549420;0.365621;-0.505617;0.117033;1.497003;0.406646;-0.782721;-0.013143;0.592772;-0.189201;0.085607;1.488665;0.416755;-0.737893;-0.372575;0.436571;-0.355116;0.075133;1.432976;0.433083;-0.555708;-0.549420;0.365621;-0.505617;100;0.166430;1.512072;0.409293;-0.840182;-0.424635;0.239907;0.237115
NA;78421;10;-0.044114;1.667590;0.002745;0.981935;0.172315;0.059594;0.050597;0.060675;1.408655;0.423356;-0.436358;-0.868311;0.235430;0.014184;0.085168;1.461728;0.450145;-0.588565;-0.757312;0.274507;0.068670;0.125228;1.493987;0.415575;-0.840372;-0.425839;0.236259;0.237946;0.068202;1.427818;0.438319;-0.452564;-0.852125;0.260438;0.035228;0.055135;1.390388;0.409741;-0.436358;-0.868311;0.235430;0.014184;0.071404;1.389802;0.433141;-0.574494;-0.782229;0.199267;0.135527;0.104097;1.450829;0.458536;-0.574847;-0.772958;0.243880;0.112293;0.140276;1.486554;0.419905;-0.840372;-0.425839;0.236259;0.237946;0.083688;1.413342;0.444426;-0.541562;-0.799553;0.237232;0.105576;0.059975;1.367255;0.426355;-0.574494;-0.782229;0.199267;0.135527;0.135098;1.481198;0.433487;-0.840372;-0.425839;0.236259;0.237946;0.132705;1.437815;0.405910;0.741578;-0.651480;0.158485;-0.022763;0.142781;1.432771;0.446585;-0.222124;-0.936954;0.211047;0.168041;0.161408;1.470391;0.423710;-0.789611;-0.509927;0.026961;0.340239;0.129634;1.421662;0.419405;0.427453;-0.884417;0.187117;0.008820;0.138318;1.460085;0.407040;0.741578;-0.651480;0.158485;-0.022763;2023/05/02 10:57:13.2549;0.117865;1.439348;0.407311;0.800376;-0.579151;0.100794;-0.117571;0.123212;1.440953;0.455159;-0.326789;-0.916875;0.209775;0.092436;0.155176;1.476856;0.425418;-0.840372;-0.425839;0.236259;0.237946;0.110691;1.418064;0.423741;0.449215;-0.873292;0.180459;-0.054775;0.125822;1.462787;0.413571;0.800376;-0.579151;0.100794;-0.117571;877217d7-3f0e-41b9-a180-bf8c766a3d8d;0.072127;1.457344;0.428381;-0.555220;-0.552367;0.363680;-0.504340;0.116728;1.496343;0.406029;-0.784162;-0.016138;0.590591;-0.189821;0.085400;1.487847;0.416308;-0.738192;-0.375285;0.434256;-0.354479;0.075200;1.432084;0.432547;-0.555220;-0.552367;0.363680;-0.504340;111;0.166100;1.511567;0.408438;-0.840372;-0.425839;0.236259;0.237946
