Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;47344;1;0.021166;1.695268;0.163968;0.955466;0.294575;0.010853;0.013861;0.083679;1.565863;0.667813;-0.944680;0.315086;0.008652;0.090698;0.085476;1.529521;0.615504;-0.949445;0.309902;0.029186;0.040788;0.095974;1.486569;0.574854;-0.938121;0.335190;0.059665;0.063375;0.084305;1.552478;0.646829;-0.957597;0.278454;0.032456;0.066476;0.085097;1.580312;0.685569;-0.944680;0.315086;0.008652;0.090698;0.108846;1.557512;0.682826;-0.969478;0.200997;0.014159;0.139685;0.108297;1.531281;0.615643;-0.975136;0.202521;0.012561;0.089090;0.113086;1.486762;0.573358;-0.938121;0.335190;0.059665;0.063375;0.108807;1.548749;0.655998;-0.982448;0.156457;0.015289;0.100420;0.110206;1.568522;0.705901;-0.969478;0.200997;0.014159;0.139685;0.112778;1.501029;0.577336;-0.938121;0.335190;0.059665;0.063375;0.125688;1.479225;0.636847;-0.232965;-0.930412;0.261541;0.107969;0.144853;1.507972;0.614589;-0.950523;-0.210768;0.115253;0.196974;0.136504;1.483731;0.575477;-0.909531;0.286052;-0.003344;0.301524;0.135345;1.496791;0.642428;-0.583753;-0.773954;0.187360;0.158502;0.117684;1.469953;0.617981;-0.232965;-0.930412;0.261541;0.107969;2023/05/02 12:32:36.7466;0.113708;1.489604;0.653402;-0.321213;-0.927084;0.172364;0.087344;0.127505;1.522063;0.615745;-0.985739;-0.094236;0.042461;0.132802;0.128931;1.487511;0.572596;-0.938121;0.335190;0.059665;0.063375;0.123161;1.515092;0.654841;-0.678335;-0.713052;0.134068;0.115948;0.106723;1.474203;0.635022;-0.321213;-0.927084;0.172364;0.087344;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079658;1.486964;0.643687;-0.651700;-0.231062;-0.280099;-0.665914;0.087403;1.478863;0.580090;-0.639281;0.185700;0.117339;-0.736931;0.073290;1.481011;0.610183;-0.726359;0.000328;-0.126929;-0.675494;0.095801;1.489466;0.662905;-0.651700;-0.231062;-0.280099;-0.665914;11;0.117258;1.470778;0.539029;-0.938121;0.335190;0.059665;0.063375
NA;47345;2;0.021357;1.695401;0.164423;0.955713;0.293786;0.011201;0.013304;0.083286;1.566411;0.667049;-0.943858;0.317130;0.010021;0.091980;0.085173;1.529805;0.614928;-0.948570;0.312287;0.030423;0.042025;0.095801;1.486685;0.574489;-0.937294;0.336960;0.061638;0.064331;0.083951;1.552923;0.646132;-0.956809;0.280707;0.033806;0.067660;0.084675;1.580939;0.684743;-0.943858;0.317130;0.010021;0.091980;0.108314;1.558078;0.682223;-0.968883;0.203113;0.016191;0.140528;0.107995;1.531547;0.615157;-0.974611;0.204526;0.014523;0.089957;0.112918;1.486857;0.573065;-0.937294;0.336960;0.061638;0.064331;0.108368;1.549194;0.655435;-0.982008;0.158490;0.017312;0.101197;0.109600;1.569199;0.705249;-0.968883;0.203113;0.016191;0.140528;0.112613;1.501138;0.576990;-0.937294;0.336960;0.061638;0.064331;0.125261;1.479581;0.636670;-0.234628;-0.929907;0.262708;0.105864;0.144537;1.508205;0.614350;-0.950687;-0.208887;0.117508;0.196859;0.136333;1.483814;0.575301;-0.908842;0.287238;-0.000934;0.302490;0.134917;1.497162;0.642206;-0.585093;-0.772800;0.189185;0.157019;0.117312;1.470230;0.617820;-0.234628;-0.929907;0.262708;0.105864;2023/05/02 12:32:36.7572;0.113222;1.490051;0.653124;-0.322927;-0.926455;0.173611;0.085202;0.127195;1.522315;0.615377;-0.985821;-0.092084;0.044775;0.132936;0.128775;1.487589;0.572373;-0.937294;0.336960;0.061638;0.064331;0.122690;1.515537;0.654488;-0.679587;-0.711727;0.136022;0.114474;0.106298;1.474573;0.634785;-0.322927;-0.926455;0.173611;0.085202;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079161;1.487396;0.643227;-0.653098;-0.229024;-0.280613;-0.665032;0.087194;1.479011;0.579712;-0.639051;0.189062;0.117259;-0.736288;0.072929;1.481308;0.609722;-0.727101;0.003249;-0.126818;-0.674708;0.095261;1.489958;0.662473;-0.653098;-0.229024;-0.280613;-0.665032;22;0.117231;1.470730;0.538824;-0.937294;0.336960;0.061638;0.064331
NA;47346;3;0.021514;1.695574;0.164825;0.955782;0.293561;0.011622;0.012962;0.082947;1.566900;0.666352;-0.943142;0.318823;0.011125;0.093339;0.084891;1.530056;0.614401;-0.947761;0.314458;0.031395;0.043354;0.095626;1.486791;0.574144;-0.936544;0.338509;0.063458;0.065338;0.083638;1.553321;0.645494;-0.956096;0.282685;0.034895;0.068942;0.084320;1.581492;0.683994;-0.943142;0.318823;0.011125;0.093339;0.107819;1.558549;0.681685;-0.968386;0.204693;0.018076;0.141431;0.107714;1.531778;0.614714;-0.974150;0.206167;0.016343;0.090883;0.112748;1.486938;0.572792;-0.936544;0.338509;0.063458;0.065338;0.107961;1.549573;0.654928;-0.981640;0.160007;0.019206;0.102036;0.109035;1.569756;0.704674;-0.968386;0.204693;0.018076;0.141431;0.112454;1.501231;0.576674;-0.936544;0.338509;0.063458;0.065338;0.124851;1.479896;0.636517;-0.236195;-0.929368;0.263932;0.104055;0.144236;1.508399;0.614135;-0.950806;-0.207103;0.119539;0.196945;0.136164;1.483878;0.575140;-0.908191;0.288234;0.001272;0.303494;0.134515;1.497487;0.642007;-0.586329;-0.771668;0.190956;0.155830;0.116946;1.470473;0.617684;-0.236195;-0.929368;0.263932;0.104055;2023/05/02 12:32:36.7685;0.112757;1.490448;0.652867;-0.324447;-0.925867;0.174871;0.083218;0.126904;1.522528;0.615043;-0.985872;-0.090105;0.046959;0.133162;0.128622;1.487650;0.572169;-0.936544;0.338509;0.063458;0.065338;0.122246;1.515931;0.654167;-0.680676;-0.710529;0.137931;0.113153;0.105889;1.474902;0.634565;-0.324447;-0.925867;0.174871;0.083218;509cbfb8-316c-45f9-98a4-a504cffff20b;0.078632;1.487799;0.642782;-0.654655;-0.226990;-0.280800;-0.664119;0.086978;1.479149;0.579348;-0.638983;0.192436;0.117376;-0.735453;0.072554;1.481590;0.609271;-0.728004;0.006231;-0.126353;-0.673800;0.094681;1.490408;0.662065;-0.654655;-0.226990;-0.280800;-0.664119;33;0.117195;1.470684;0.538633;-0.936544;0.338509;0.063458;0.065338
NA;47347;4;0.021689;1.695541;0.165166;0.955861;0.293288;0.012045;0.012910;0.083624;1.566144;0.667451;-0.944381;0.315679;0.008126;0.091794;0.085298;1.529675;0.615227;-0.948984;0.311223;0.028552;0.041897;0.095910;1.486727;0.574601;-0.937989;0.335216;0.061181;0.063748;0.084205;1.552719;0.646491;-0.957267;0.279380;0.031924;0.067585;0.085085;1.580610;0.685190;-0.944381;0.315679;0.008126;0.091794;0.108540;1.557703;0.682606;-0.969473;0.200656;0.015170;0.140106;0.108118;1.531442;0.615437;-0.974990;0.202971;0.013507;0.089524;0.113025;1.486917;0.573163;-0.937989;0.335216;0.061181;0.063748;0.108558;1.548954;0.655774;-0.982449;0.156101;0.016343;0.100798;0.109853;1.568704;0.705688;-0.969473;0.200656;0.015170;0.140106;0.112727;1.501181;0.577153;-0.937989;0.335216;0.061181;0.063748;0.125480;1.479468;0.636806;-0.234060;-0.930084;0.262046;0.107203;0.144684;1.508143;0.614503;-0.950684;-0.209593;0.116095;0.196958;0.136463;1.483889;0.575373;-0.909539;0.285714;-0.001845;0.301833;0.135139;1.497041;0.642361;-0.584448;-0.773358;0.188127;0.157945;0.117490;1.470149;0.617957;-0.234060;-0.930084;0.262046;0.107203;2023/05/02 12:32:36.7797;0.113449;1.489877;0.653308;-0.322599;-0.926625;0.172847;0.086148;0.127328;1.522230;0.615601;-0.985821;-0.092991;0.043716;0.132662;0.128898;1.487666;0.572467;-0.937989;0.335216;0.061181;0.063748;0.122899;1.515369;0.654707;-0.679038;-0.712365;0.135001;0.114977;0.106499;1.474415;0.634966;-0.322599;-0.926625;0.172847;0.086148;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079246;1.487223;0.643318;-0.652473;-0.231135;-0.280772;-0.664848;0.087301;1.479032;0.579790;-0.639283;0.188407;0.118631;-0.736035;0.073011;1.481239;0.609795;-0.727136;0.002112;-0.125801;-0.674865;0.095413;1.489725;0.662516;-0.652473;-0.231135;-0.280772;-0.664848;44;0.117335;1.470919;0.538868;-0.937989;0.335216;0.061181;0.063748
NA;47348;5;0.021961;1.695570;0.165445;0.955847;0.293325;0.012212;0.012972;0.083477;1.566705;0.666564;-0.943634;0.318678;0.008144;0.089062;0.085218;1.529924;0.614562;-0.948151;0.314126;0.028401;0.039096;0.096007;1.486792;0.574177;-0.937194;0.337915;0.061601;0.060714;0.084080;1.553155;0.645685;-0.956608;0.282301;0.031766;0.064787;0.084905;1.581288;0.684210;-0.943634;0.318678;0.008144;0.089062;0.108461;1.558545;0.681712;-0.969083;0.204419;0.015066;0.137350;0.108028;1.531819;0.614727;-0.974534;0.206342;0.013275;0.086774;0.113118;1.487068;0.572713;-0.937194;0.337915;0.061601;0.060714;0.108465;1.549606;0.654942;-0.982160;0.159648;0.016007;0.098072;0.109772;1.569725;0.704708;-0.969083;0.204419;0.015066;0.137350;0.112748;1.501353;0.576618;-0.937194;0.337915;0.061601;0.060714;0.125707;1.480062;0.636371;-0.237213;-0.930039;0.259626;0.106551;0.144722;1.508717;0.613878;-0.951886;-0.207107;0.115353;0.194199;0.136578;1.484182;0.574906;-0.909506;0.288679;-0.000824;0.299102;0.135279;1.497719;0.641811;-0.587210;-0.772087;0.186009;0.156417;0.117739;1.470592;0.617588;-0.237213;-0.930039;0.259626;0.106551;2023/05/02 12:32:36.7904;0.113655;1.490539;0.652877;-0.326451;-0.925776;0.170364;0.085707;0.127290;1.522714;0.614917;-0.986513;-0.089709;0.042929;0.130010;0.128987;1.487900;0.571989;-0.937194;0.337915;0.061601;0.060714;0.122974;1.516089;0.654076;-0.681983;-0.710201;0.132807;0.113474;0.106746;1.474905;0.634665;-0.326451;-0.925776;0.170364;0.085707;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079461;1.487642;0.642901;-0.651033;-0.229708;-0.284925;-0.664987;0.087446;1.479082;0.579424;-0.636824;0.189728;0.116333;-0.738190;0.073181;1.481410;0.609432;-0.725270;0.004004;-0.128794;-0.676298;0.095698;1.490348;0.662012;-0.651033;-0.229708;-0.284925;-0.664987;55;0.117468;1.470888;0.538509;-0.937194;0.337915;0.061601;0.060714
NA;47349;6;0.022177;1.695680;0.165732;0.955720;0.293717;0.012531;0.013160;0.083328;1.567219;0.665729;-0.942924;0.321456;0.008202;0.086565;0.085136;1.530153;0.613932;-0.947371;0.316783;0.028305;0.036535;0.096090;1.486851;0.573773;-0.936438;0.340412;0.062009;0.057944;0.083952;1.553554;0.644926;-0.955981;0.285000;0.031662;0.062228;0.084724;1.581909;0.683287;-0.942924;0.321456;0.008202;0.086565;0.108390;1.559350;0.680857;-0.968578;0.208450;0.014898;0.134849;0.107937;1.532163;0.614056;-0.974063;0.209586;0.013022;0.084293;0.113197;1.487205;0.572285;-0.936438;0.340412;0.062009;0.057944;0.108375;1.550215;0.654153;-0.981805;0.163316;0.015639;0.095618;0.109706;1.570721;0.703759;-0.968578;0.208450;0.014898;0.134849;0.112761;1.501510;0.576111;-0.936438;0.340412;0.062009;0.057944;0.125901;1.480597;0.635941;-0.239908;-0.930034;0.257409;0.105932;0.144746;1.509244;0.613287;-0.952913;-0.205076;0.114718;0.191680;0.136676;1.484450;0.574464;-0.909451;0.291415;0.000143;0.296608;0.135391;1.498327;0.641283;-0.589599;-0.771014;0.184078;0.155003;0.117955;1.470996;0.617215;-0.239908;-0.930034;0.257409;0.105932;2023/05/02 12:32:36.8021;0.113833;1.491152;0.652466;-0.330011;-0.924960;0.168116;0.085314;0.127244;1.523157;0.614272;-0.987130;-0.086660;0.042204;0.127610;0.129063;1.488114;0.571536;-0.936438;0.340412;0.062009;0.057944;0.123032;1.516753;0.653478;-0.684715;-0.708155;0.130811;0.112122;0.106960;1.475360;0.634377;-0.330011;-0.924960;0.168116;0.085314;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079662;1.488037;0.642498;-0.649690;-0.228557;-0.288992;-0.664943;0.087575;1.479127;0.579073;-0.634563;0.191006;0.114153;-0.740146;0.073332;1.481573;0.609083;-0.723565;0.005705;-0.131695;-0.677553;0.095973;1.490933;0.661518;-0.649690;-0.228557;-0.288992;-0.664943;67;0.117586;1.470856;0.538167;-0.936438;0.340412;0.062009;0.057944
NA;47350;7;0.022377;1.695760;0.166132;0.955653;0.293925;0.012819;0.013088;0.083051;1.566650;0.665970;-0.943502;0.319800;0.008197;0.086396;0.084880;1.529742;0.614061;-0.947829;0.315422;0.028355;0.036409;0.095916;1.486582;0.573773;-0.936985;0.338847;0.062530;0.057714;0.083684;1.553055;0.645121;-0.956467;0.283393;0.031684;0.062095;0.084437;1.581280;0.683579;-0.943502;0.319800;0.008197;0.086396;0.108052;1.558738;0.681105;-0.969005;0.206658;0.015170;0.134505;0.107678;1.531776;0.614212;-0.974442;0.207936;0.013369;0.083941;0.113024;1.486959;0.572302;-0.936985;0.338847;0.062530;0.057714;0.108068;1.549696;0.654370;-0.982126;0.161558;0.015957;0.095248;0.109337;1.570028;0.704049;-0.969005;0.206658;0.015170;0.134505;0.112570;1.501250;0.576174;-0.936985;0.338847;0.062530;0.057714;0.125675;1.480155;0.635924;-0.238038;-0.930692;0.256844;0.105744;0.144512;1.508898;0.613404;-0.952594;-0.206907;0.114780;0.191257;0.136504;1.484221;0.574494;-0.910072;0.289815;0.000243;0.296269;0.135139;1.497874;0.641351;-0.587970;-0.772429;0.183746;0.154542;0.117762;1.470617;0.617152;-0.238038;-0.930692;0.256844;0.105744;2023/05/02 12:32:36.8128;0.113579;1.490633;0.652481;-0.328434;-0.925635;0.167644;0.085008;0.126995;1.522790;0.614417;-0.987017;-0.088519;0.042416;0.127132;0.128890;1.487886;0.571571;-0.936985;0.338847;0.062530;0.057714;0.122751;1.516240;0.653596;-0.683409;-0.709531;0.130584;0.111649;0.106739;1.474895;0.634333;-0.328434;-0.925635;0.167644;0.085008;509cbfb8-316c-45f9-98a4-a504cffff20b;0.079426;1.487572;0.642475;-0.649223;-0.229349;-0.288256;-0.665445;0.087402;1.478832;0.579039;-0.634503;0.190575;0.115533;-0.740094;0.073124;1.481192;0.609038;-0.723418;0.005043;-0.130552;-0.677936;0.095739;1.490428;0.661500;-0.649223;-0.229349;-0.288256;-0.665445;77;0.117462;1.470724;0.538136;-0.936985;0.338847;0.062530;0.057714
NA;47351;8;0.022585;1.695790;0.166563;0.955707;0.293736;0.013066;0.013111;0.082408;1.568342;0.665453;-0.942699;0.321409;0.010662;0.088894;0.084418;1.531189;0.613727;-0.946894;0.317708;0.030691;0.038877;0.095601;1.487764;0.573765;-0.935709;0.341438;0.065335;0.060006;0.083120;1.554659;0.644664;-0.955677;0.285232;0.034190;0.064461;0.083738;1.583037;0.683013;-0.942699;0.321409;0.010662;0.088894;0.107259;1.560560;0.680732;-0.968110;0.209195;0.018360;0.136613;0.107221;1.533159;0.614019;-0.973540;0.211055;0.016371;0.086070;0.112719;1.488084;0.572406;-0.935709;0.341438;0.065335;0.060006;0.107417;1.551354;0.654054;-0.981421;0.164296;0.019132;0.097228;0.108432;1.571986;0.703615;-0.968110;0.209195;0.018360;0.136613;0.112278;1.502400;0.576191;-0.935709;0.341438;0.065335;0.060006;0.124931;1.481642;0.636200;-0.240844;-0.929624;0.259353;0.102617;0.143993;1.510171;0.613589;-0.952652;-0.204017;0.118578;0.191756;0.136173;1.485293;0.574768;-0.908803;0.291443;0.003716;0.298536;0.134420;1.499369;0.641555;-0.589949;-0.770473;0.187216;0.152582;0.117089;1.471981;0.617461;-0.240844;-0.929624;0.259353;0.102617;2023/05/02 12:32:36.8241;0.112765;1.492291;0.652624;-0.331320;-0.924358;0.170408;0.082165;0.126510;1.524119;0.614405;-0.987008;-0.085135;0.045962;0.128280;0.128589;1.488963;0.571774;-0.935709;0.341438;0.065335;0.060006;0.122013;1.517876;0.653606;-0.685446;-0.707131;0.134164;0.110134;0.105982;1.476437;0.634556;-0.331320;-0.924358;0.170408;0.082165;509cbfb8-316c-45f9-98a4-a504cffff20b;0.078749;1.489157;0.642349;-0.651190;-0.227174;-0.288856;-0.664007;0.087033;1.480068;0.579022;-0.634547;0.194699;0.115321;-0.739015;0.072574;1.482621;0.608919;-0.724606;0.008203;-0.130741;-0.676599;0.095021;1.492067;0.661401;-0.651190;-0.227174;-0.288856;-0.664007;88;0.117335;1.471641;0.538362;-0.935709;0.341438;0.065335;0.060006
NA;47352;9;0.022748;1.695817;0.166998;0.955796;0.293447;0.013261;0.012954;0.081802;1.569916;0.664966;-0.942036;0.322608;0.012980;0.091238;0.083982;1.532557;0.613398;-0.946065;0.319658;0.032889;0.041207;0.095303;1.488882;0.573749;-0.934477;0.343895;0.067993;0.062173;0.082588;1.556163;0.644227;-0.955009;0.286663;0.036551;0.066688;0.083077;1.584660;0.682489;-0.942036;0.322608;0.012980;0.091238;0.106518;1.562312;0.680350;-0.967215;0.211717;0.021367;0.138618;0.106788;1.534467;0.613823;-0.972609;0.214251;0.019177;0.088098;0.112431;1.489150;0.572495;-0.934477;0.343895;0.067993;0.062173;0.106808;1.552943;0.653729;-0.980711;0.167011;0.022120;0.099113;0.107588;1.573872;0.703170;-0.967215;0.211717;0.021367;0.138618;0.112000;1.503487;0.576196;-0.934477;0.343895;0.067993;0.062173;0.124228;1.483067;0.636475;-0.244072;-0.928408;0.261771;0.099821;0.143499;1.511378;0.613751;-0.952752;-0.200960;0.122074;0.192296;0.135857;1.486309;0.575018;-0.907580;0.292990;0.007010;0.300675;0.133746;1.500805;0.641742;-0.592185;-0.768293;0.190474;0.150876;0.116438;1.473271;0.617785;-0.244072;-0.928408;0.261771;0.099821;2023/05/02 12:32:36.8349;0.112002;1.493897;0.652771;-0.334407;-0.922980;0.173067;0.079555;0.126050;1.525378;0.614380;-0.987008;-0.081497;0.049229;0.129425;0.128302;1.489983;0.571956;-0.934477;0.343895;0.067993;0.062173;0.121325;1.519460;0.653605;-0.687644;-0.704551;0.137543;0.108789;0.105264;1.477921;0.634794;-0.334407;-0.922980;0.173067;0.079555;509cbfb8-316c-45f9-98a4-a504cffff20b;0.078147;1.490626;0.642222;-0.652768;-0.225636;-0.289714;-0.662607;0.086687;1.481236;0.578998;-0.634517;0.198360;0.115206;-0.738085;0.072064;1.483955;0.608801;-0.725593;0.010751;-0.131093;-0.675436;0.094404;1.493582;0.661279;-0.652768;-0.225636;-0.289714;-0.662607;100;0.117212;1.472508;0.538569;-0.934477;0.343895;0.067993;0.062173
NA;47353;10;0.022859;1.695681;0.167360;0.955896;0.293129;0.013545;0.012458;0.081658;1.568760;0.666377;-0.943429;0.319490;0.011537;0.087953;0.083821;1.531757;0.614552;-0.947271;0.316603;0.031580;0.037997;0.095266;1.488348;0.574648;-0.935629;0.341479;0.067235;0.058908;0.082432;1.555156;0.645539;-0.956262;0.283369;0.035066;0.063526;0.082927;1.583389;0.683997;-0.943429;0.319490;0.011537;0.087953;0.106451;1.561403;0.681536;-0.968008;0.210302;0.019772;0.135435;0.106617;1.533803;0.614907;-0.973280;0.212614;0.017695;0.084906;0.112388;1.488726;0.573335;-0.935629;0.341479;0.067235;0.058908;0.106689;1.552135;0.654880;-0.981345;0.165311;0.020472;0.095996;0.107549;1.572892;0.704391;-0.968008;0.210302;0.019772;0.135435;0.111883;1.503042;0.577109;-0.935629;0.341479;0.067235;0.058908;0.124451;1.482415;0.637281;-0.243336;-0.929384;0.258313;0.101528;0.143466;1.510938;0.614592;-0.953129;-0.202953;0.119227;0.190107;0.135839;1.486015;0.575762;-0.909221;0.291245;0.005555;0.297428;0.133885;1.500189;0.642575;-0.591582;-0.769651;0.186695;0.151042;0.116639;1.472636;0.618590;-0.243336;-0.929384;0.258313;0.101528;2023/05/02 12:32:36.8461;0.112221;1.493122;0.653677;-0.333353;-0.923928;0.169512;0.080615;0.125934;1.524828;0.615351;-0.987332;-0.083219;0.046889;0.126698;0.128251;1.489658;0.572744;-0.935629;0.341479;0.067235;0.058908;0.121393;1.518738;0.654572;-0.686911;-0.706037;0.133931;0.108295;0.105511;1.477169;0.635670;-0.333353;-0.923928;0.169512;0.080615;509cbfb8-316c-45f9-98a4-a504cffff20b;0.078384;1.489662;0.643178;-0.649539;-0.228272;-0.290684;-0.664451;0.086714;1.480623;0.579889;-0.632996;0.195235;0.116427;-0.740030;0.072181;1.483117;0.609754;-0.723361;0.007786;-0.131163;-0.677853;0.094735;1.492621;0.662154;-0.649539;-0.228272;-0.290684;-0.664451;111;0.117149;1.472282;0.539310;-0.935629;0.341479;0.067235;0.058908
