Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;48101;1;0.020776;1.690558;0.190622;0.947699;0.311453;-0.063617;0.028595;-0.007234;1.502580;0.581192;-0.479423;-0.459918;0.578103;0.473737;0.055203;1.491585;0.585718;-0.498981;-0.397447;0.589398;0.495645;0.104317;1.470510;0.557355;-0.550272;-0.285996;0.454773;0.639209;0.017041;1.498875;0.585302;-0.455679;-0.453676;0.613768;0.458065;-0.030033;1.504862;0.580171;-0.479423;-0.459918;0.578103;0.473737;-0.018997;1.479472;0.591803;-0.467170;-0.470957;0.517500;0.540505;0.052520;1.470039;0.592964;-0.488159;-0.441087;0.546238;0.518428;0.103647;1.453972;0.561173;-0.550272;-0.285996;0.454773;0.639209;0.008956;1.476008;0.593586;-0.466739;-0.468054;0.559019;0.500577;-0.044401;1.482179;0.593491;-0.467170;-0.470957;0.517500;0.540505;0.095327;1.456149;0.573538;-0.550272;-0.285996;0.454773;0.639209;0.046619;1.440366;0.544272;0.628678;-0.432898;0.491516;-0.419257;0.054510;1.428663;0.580124;-0.182619;-0.648767;0.646258;0.357914;0.098184;1.428678;0.563400;-0.458934;-0.470796;0.315506;0.684242;0.032467;1.435765;0.558815;0.346085;-0.650419;0.653000;-0.175418;0.068736;1.443915;0.546335;0.628678;-0.432898;0.491516;-0.419257;2023/05/02 12:32:45.1885;0.038929;1.454281;0.548207;0.593826;-0.418773;0.423314;-0.541115;0.052341;1.449117;0.588945;-0.308463;-0.600985;0.643793;0.359442;0.101000;1.436840;0.565722;-0.550272;-0.285996;0.454773;0.639209;0.019215;1.452794;0.566921;0.306047;-0.633269;0.665350;-0.250231;0.063242;1.455101;0.553868;0.593826;-0.418773;0.423314;-0.541115;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045897;1.506247;0.554524;-0.713110;-0.062725;0.694026;-0.076599;0.103673;1.479031;0.547956;-0.686928;0.298309;0.619888;0.234265;0.079962;1.502355;0.549738;-0.749494;-0.000244;0.656412;0.085922;0.021014;1.502362;0.555918;-0.713110;-0.062725;0.694026;-0.076599;11;0.138133;1.442259;0.554112;-0.550272;-0.285996;0.454773;0.639209
NA;48102;2;0.021031;1.690524;0.190765;0.947988;0.310456;-0.063997;0.028981;-0.007609;1.501697;0.581594;-0.479911;-0.460382;0.576411;0.474852;0.054858;1.490775;0.585863;-0.499790;-0.397710;0.587474;0.496902;0.103978;1.469898;0.557378;-0.550985;-0.287031;0.453200;0.639248;0.016685;1.498013;0.585606;-0.456405;-0.453976;0.611956;0.459467;-0.030415;1.503947;0.580642;-0.479911;-0.460382;0.576411;0.474852;-0.019304;1.478458;0.592176;-0.468081;-0.471312;0.515164;0.541638;0.052242;1.469202;0.593052;-0.489031;-0.441682;0.544076;0.519372;0.103361;1.453348;0.561158;-0.550985;-0.287031;0.453200;0.639248;0.008664;1.475058;0.593834;-0.467746;-0.468485;0.556696;0.501822;-0.044708;1.481096;0.593969;-0.468081;-0.471312;0.515164;0.541638;0.095065;1.455482;0.573541;-0.550985;-0.287031;0.453200;0.639248;0.046352;1.439653;0.544274;0.629588;-0.433236;0.491963;-0.417010;0.054330;1.427868;0.580094;-0.182559;-0.649944;0.644544;0.358899;0.097985;1.428047;0.563323;-0.459376;-0.471490;0.313670;0.684311;0.032241;1.434960;0.558828;0.346774;-0.651203;0.652427;-0.173266;0.068460;1.443274;0.546305;0.629588;-0.433236;0.491963;-0.417010;2023/05/02 12:32:45.1997;0.038605;1.453536;0.548269;0.594856;-0.418999;0.424019;-0.539253;0.052115;1.448291;0.588975;-0.308705;-0.602046;0.642098;0.360489;0.100782;1.436210;0.565666;-0.550985;-0.287031;0.453200;0.639248;0.018937;1.451935;0.567023;0.306595;-0.634086;0.665124;-0.248083;0.062925;1.454410;0.553890;0.594856;-0.418999;0.424019;-0.539253;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045380;1.505399;0.554572;-0.713076;-0.063798;0.693831;-0.077783;0.103280;1.478428;0.547992;-0.687536;0.296838;0.620554;0.232583;0.079458;1.501637;0.549777;-0.749747;-0.001467;0.656311;0.084458;0.020510;1.501434;0.555973;-0.713076;-0.063798;0.693831;-0.077783;22;0.137887;1.441762;0.554031;-0.550985;-0.287031;0.453200;0.639248
NA;48103;3;0.021276;1.690642;0.190723;0.948050;0.310302;-0.064012;0.028585;-0.006995;1.501397;0.581812;-0.482329;-0.457614;0.575868;0.475736;0.055487;1.490410;0.585689;-0.502154;-0.394797;0.586829;0.497603;0.104528;1.469355;0.557203;-0.551834;-0.284952;0.454275;0.638683;0.017322;1.497696;0.585671;-0.458962;-0.451257;0.611443;0.460282;-0.029803;1.503673;0.581007;-0.482329;-0.457614;0.575868;0.475736;-0.018679;1.478146;0.592305;-0.470099;-0.469077;0.515328;0.541674;0.052867;1.468873;0.592984;-0.490702;-0.439799;0.544518;0.518930;0.103907;1.452823;0.561066;-0.551834;-0.284952;0.454275;0.638683;0.009294;1.474744;0.593870;-0.469712;-0.466452;0.556904;0.501648;-0.044074;1.480800;0.594199;-0.470099;-0.469077;0.515328;0.541674;0.095642;1.455028;0.573455;-0.551834;-0.284952;0.454275;0.638683;0.046923;1.439099;0.544334;0.628253;-0.434283;0.491246;-0.418776;0.054898;1.427477;0.580215;-0.183961;-0.648960;0.645891;0.357539;0.098521;1.427543;0.563360;-0.460504;-0.469636;0.315011;0.684212;0.032815;1.434498;0.558920;0.344833;-0.651642;0.652580;-0.174910;0.069036;1.442693;0.546353;0.628253;-0.434283;0.491246;-0.418776;2023/05/02 12:32:45.2104;0.039152;1.453007;0.548285;0.593327;-0.420592;0.423329;-0.540238;0.052716;1.447943;0.589004;-0.310384;-0.600790;0.643028;0.359483;0.101328;1.435715;0.565659;-0.551834;-0.284952;0.454275;0.638683;0.019514;1.451513;0.567078;0.304444;-0.634720;0.665057;-0.249286;0.063481;1.453886;0.553868;0.593327;-0.420592;0.423329;-0.540238;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045909;1.504845;0.554207;-0.713497;-0.061562;0.693316;-0.080283;0.103811;1.477836;0.547775;-0.686734;0.299190;0.621164;0.230299;0.079985;1.501052;0.549416;-0.749958;0.001110;0.656358;0.082200;0.021042;1.500878;0.555651;-0.713497;-0.061562;0.693316;-0.080283;33;0.138416;1.441183;0.553927;-0.551834;-0.284952;0.454275;0.638683
NA;48104;4;0.021176;1.690888;0.190851;0.948217;0.310126;-0.063486;0.026006;-0.006426;1.501075;0.582078;-0.484739;-0.454912;0.575100;0.476805;0.056069;1.490026;0.585537;-0.504533;-0.391950;0.585950;0.498482;0.105034;1.468811;0.557044;-0.552660;-0.283015;0.455209;0.638164;0.017913;1.497357;0.585773;-0.461523;-0.448599;0.610709;0.461293;-0.029237;1.503375;0.581427;-0.484739;-0.454912;0.575100;0.476805;-0.018099;1.477805;0.592454;-0.472080;-0.466938;0.515321;0.541807;0.053449;1.468522;0.592928;-0.492321;-0.438046;0.544819;0.518565;0.104411;1.452297;0.560982;-0.552660;-0.283015;0.455209;0.638164;0.009879;1.474403;0.593921;-0.471628;-0.464535;0.556961;0.501567;-0.043485;1.480470;0.594451;-0.472080;-0.466938;0.515321;0.541807;0.096177;1.454565;0.573378;-0.552660;-0.283015;0.455209;0.638164;0.047459;1.438542;0.544394;0.627027;-0.435218;0.490560;-0.420445;0.055428;1.427070;0.580333;-0.185210;-0.648049;0.647164;0.356244;0.099019;1.427036;0.563395;-0.461578;-0.467897;0.316191;0.684135;0.033353;1.434027;0.559009;0.343043;-0.652027;0.652722;-0.176455;0.069577;1.442110;0.546405;0.627027;-0.435218;0.490560;-0.420445;2023/05/02 12:32:45.2216;0.039662;1.452473;0.548308;0.591934;-0.422066;0.422683;-0.541122;0.053276;1.447575;0.589039;-0.311941;-0.599650;0.643858;0.358553;0.101836;1.435215;0.565654;-0.552660;-0.283015;0.455209;0.638164;0.020051;1.451075;0.567136;0.302472;-0.635319;0.664974;-0.250380;0.063998;1.453357;0.553857;0.591934;-0.422066;0.422683;-0.541122;509cbfb8-316c-45f9-98a4-a504cffff20b;0.046393;1.504289;0.553869;-0.713887;-0.059456;0.692821;-0.082637;0.104298;1.477247;0.547577;-0.685981;0.301364;0.621752;0.228113;0.080465;1.500466;0.549083;-0.750148;0.003539;0.656395;0.080073;0.021528;1.500321;0.555354;-0.713887;-0.059456;0.692821;-0.082637;44;0.138905;1.440609;0.553828;-0.552660;-0.283015;0.455209;0.638164
NA;48105;5;0.021206;1.690838;0.190887;0.948357;0.309868;-0.063145;0.024764;-0.006742;1.500528;0.582807;-0.481930;-0.456971;0.571791;0.481639;0.055741;1.489297;0.585852;-0.502595;-0.393608;0.581879;0.503873;0.104668;1.468359;0.557115;-0.550373;-0.286498;0.451604;0.641142;0.017604;1.496708;0.586356;-0.459179;-0.450140;0.607171;0.466768;-0.029549;1.502881;0.582242;-0.481930;-0.456971;0.571791;0.481639;-0.018449;1.477038;0.592657;-0.468982;-0.469708;0.511894;0.545340;0.053094;1.467705;0.592973;-0.489470;-0.440900;0.541486;0.522320;0.104034;1.451797;0.560864;-0.550373;-0.286498;0.451604;0.641142;0.009528;1.473600;0.594063;-0.468639;-0.467233;0.553726;0.505429;-0.043832;1.479693;0.594697;-0.468982;-0.469708;0.511894;0.545340;0.095825;1.453950;0.573287;-0.550373;-0.286498;0.451604;0.641142;0.046981;1.438343;0.544080;0.629170;-0.431738;0.494038;-0.416743;0.055042;1.426412;0.579864;-0.181779;-0.648815;0.644679;0.361087;0.098648;1.426544;0.562964;-0.458177;-0.470898;0.312356;0.686121;0.032920;1.433640;0.558679;0.346204;-0.650143;0.654308;-0.171285;0.069105;1.441885;0.546080;0.629170;-0.431738;0.494038;-0.416743;2023/05/02 12:32:45.2328;0.039137;1.452242;0.548115;0.592608;-0.420091;0.428559;-0.537287;0.052904;1.446809;0.588823;-0.308637;-0.600601;0.641796;0.363483;0.101472;1.434692;0.565327;-0.550373;-0.286498;0.451604;0.641142;0.019635;1.450637;0.567040;0.304278;-0.633668;0.667883;-0.244567;0.063515;1.453025;0.553492;0.592608;-0.420091;0.428559;-0.537287;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045899;1.503672;0.554125;-0.712924;-0.062515;0.693788;-0.080562;0.103906;1.476881;0.547730;-0.686952;0.297479;0.621978;0.229667;0.079994;1.500010;0.549372;-0.749692;-0.000640;0.656778;0.081263;0.021037;1.499660;0.555530;-0.712924;-0.062515;0.693788;-0.080562;55;0.138556;1.440195;0.553601;-0.550373;-0.286498;0.451604;0.641142
NA;48106;6;0.021488;1.690954;0.190858;0.948074;0.310673;-0.063374;0.024938;-0.006850;1.500824;0.583283;-0.481176;-0.457554;0.568333;0.485913;0.055639;1.489498;0.585815;-0.502329;-0.394038;0.578028;0.508217;0.104484;1.468711;0.556851;-0.549112;-0.288125;0.448970;0.643340;0.017514;1.496944;0.586640;-0.458709;-0.450506;0.603709;0.471345;-0.029658;1.503205;0.582874;-0.481176;-0.457554;0.568333;0.485913;-0.018561;1.477249;0.592656;-0.467317;-0.470873;0.509431;0.548065;0.052975;1.467853;0.592768;-0.487905;-0.442221;0.539155;0.525073;0.103843;1.452122;0.560484;-0.549112;-0.288125;0.448970;0.643340;0.009416;1.473776;0.593978;-0.467075;-0.468388;0.551394;0.508349;-0.043938;1.479909;0.594766;-0.467317;-0.470873;0.509431;0.548065;0.095673;1.454209;0.572934;-0.549112;-0.288125;0.448970;0.643340;0.046780;1.438883;0.543627;0.630002;-0.429298;0.496529;-0.415042;0.054867;1.426662;0.579333;-0.179226;-0.648748;0.643853;0.363946;0.098457;1.426882;0.562393;-0.456103;-0.472213;0.309686;0.687808;0.032743;1.434093;0.558220;0.347788;-0.648501;0.655843;-0.168403;0.068913;1.442371;0.545614;0.630002;-0.429298;0.496529;-0.415042;2023/05/02 12:32:45.2440;0.038900;1.452762;0.547767;0.592924;-0.418648;0.432206;-0.535139;0.052759;1.446990;0.588454;-0.306500;-0.600982;0.640671;0.366631;0.101292;1.435008;0.564817;-0.549112;-0.288125;0.448970;0.643340;0.019465;1.451040;0.566750;0.305324;-0.632442;0.669842;-0.241053;0.063302;1.453470;0.553044;0.592924;-0.418648;0.432206;-0.535139;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045624;1.503928;0.553999;-0.712695;-0.063821;0.694045;-0.079341;0.103691;1.477285;0.547516;-0.687698;0.295434;0.621955;0.230136;0.079727;1.500354;0.549241;-0.749694;-0.002753;0.656709;0.081761;0.020762;1.499909;0.555382;-0.712695;-0.063821;0.694045;-0.079341;66;0.138371;1.440564;0.553100;-0.549112;-0.288125;0.448970;0.643340
NA;48107;7;0.021681;1.691104;0.190922;0.947963;0.310960;-0.063663;0.024839;-0.006948;1.501050;0.583772;-0.480614;-0.458018;0.564867;0.490057;0.055545;1.489648;0.585783;-0.502235;-0.394355;0.574182;0.512406;0.104311;1.469006;0.556602;-0.547959;-0.289624;0.446462;0.645392;0.017434;1.497120;0.586933;-0.458426;-0.450770;0.600240;0.475777;-0.029756;1.503453;0.583522;-0.480614;-0.458018;0.564867;0.490057;-0.018662;1.477403;0.592668;-0.465803;-0.471928;0.507059;0.550638;0.052868;1.467955;0.592579;-0.486476;-0.443436;0.536919;0.527659;0.103665;1.452391;0.560126;-0.547959;-0.289624;0.446462;0.645392;0.009315;1.473899;0.593906;-0.465657;-0.469440;0.549146;0.511105;-0.044033;1.480067;0.594848;-0.465803;-0.471928;0.507059;0.550638;0.095533;1.454417;0.572604;-0.547959;-0.289624;0.446462;0.645392;0.046597;1.439353;0.543204;0.630723;-0.427024;0.498888;-0.413461;0.054708;1.426862;0.578838;-0.176817;-0.648644;0.643119;0.366599;0.098282;1.427166;0.561859;-0.454182;-0.473412;0.307148;0.689391;0.032583;1.434483;0.557794;0.349209;-0.646951;0.657307;-0.165698;0.068739;1.442790;0.545177;0.630723;-0.427024;0.498888;-0.413461;2023/05/02 12:32:45.2552;0.038680;1.453214;0.547444;0.593181;-0.417342;0.435651;-0.533077;0.052627;1.447124;0.588111;-0.304511;-0.601323;0.639607;0.369577;0.101126;1.435271;0.564340;-0.547959;-0.289624;0.446462;0.645392;0.019310;1.451381;0.566484;0.306253;-0.631311;0.671676;-0.237715;0.063105;1.453852;0.552625;0.593181;-0.417342;0.435651;-0.533077;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045356;1.504122;0.553871;-0.712483;-0.064948;0.694277;-0.078288;0.103485;1.477626;0.547313;-0.688378;0.293528;0.622000;0.230421;0.079468;1.500633;0.549109;-0.749697;-0.004694;0.656655;0.082085;0.020494;1.500097;0.555234;-0.712483;-0.064948;0.694277;-0.078288;77;0.138199;1.440879;0.552628;-0.547959;-0.289624;0.446462;0.645392
NA;48108;8;0.021784;1.691075;0.190935;0.947962;0.310989;-0.063793;0.024183;-0.006545;1.499817;0.585195;-0.480150;-0.457950;0.557998;0.498374;0.055942;1.488245;0.586091;-0.502586;-0.394036;0.566612;0.520667;0.104574;1.467897;0.556497;-0.546077;-0.292070;0.441689;0.649158;0.017871;1.495781;0.587932;-0.458505;-0.450368;0.593410;0.484569;-0.029348;1.502272;0.585299;-0.480150;-0.457950;0.557998;0.498374;-0.018270;1.476000;0.593025;-0.463164;-0.473801;0.502773;0.555168;0.053247;1.466468;0.592605;-0.483886;-0.445666;0.532947;0.532169;0.103915;1.451237;0.559813;-0.546077;-0.292070;0.441689;0.649158;0.009706;1.472446;0.594131;-0.462985;-0.471478;0.545257;0.515799;-0.043630;1.478663;0.595330;-0.463164;-0.473801;0.502773;0.555168;0.095840;1.453129;0.572341;-0.546077;-0.292070;0.441689;0.649158;0.046854;1.438537;0.542820;0.632180;-0.423304;0.503030;-0.410027;0.054986;1.425559;0.578315;-0.172309;-0.648883;0.641479;0.371167;0.098516;1.426019;0.561227;-0.450865;-0.475286;0.302353;0.692392;0.032869;1.433508;0.557383;0.352333;-0.644245;0.659475;-0.160942;0.069009;1.441912;0.544756;0.632180;-0.423304;0.503030;-0.410027;2023/05/02 12:32:45.2665;0.039010;1.452347;0.547254;0.595134;-0.413575;0.439960;-0.530289;0.052962;1.445699;0.587861;-0.300215;-0.602791;0.637706;0.373958;0.101380;1.434086;0.563809;-0.546077;-0.292070;0.441689;0.649158;0.019655;1.450294;0.566287;0.309874;-0.628879;0.673860;-0.233245;0.063445;1.452881;0.552400;0.595134;-0.413575;0.439960;-0.530289;509cbfb8-316c-45f9-98a4-a504cffff20b;0.045561;1.503010;0.554185;-0.712568;-0.068357;0.694224;-0.075023;0.103712;1.476622;0.547311;-0.690228;0.290024;0.620709;0.232793;0.079669;1.499582;0.549350;-0.750067;-0.008327;0.655823;0.085003;0.020701;1.498970;0.555538;-0.712568;-0.068357;0.694224;-0.075023;89;0.138432;1.439790;0.552077;-0.546077;-0.292070;0.441689;0.649158
NA;48109;9;0.021890;1.691041;0.190950;0.948011;0.310837;-0.063896;0.023926;-0.007254;1.499504;0.585025;-0.479937;-0.460093;0.555521;0.499370;0.055272;1.488139;0.585710;-0.502965;-0.395861;0.563737;0.522035;0.103927;1.468042;0.556006;-0.546169;-0.294124;0.439745;0.649473;0.017180;1.495535;0.587691;-0.458554;-0.452282;0.590749;0.485990;-0.030067;1.501879;0.585164;-0.479937;-0.460093;0.555521;0.499370;-0.018913;1.475635;0.592581;-0.462952;-0.475563;0.500426;0.555959;0.052634;1.466322;0.592114;-0.483441;-0.447819;0.531011;0.532701;0.103321;1.451364;0.559255;-0.546169;-0.294124;0.439745;0.649473;0.009074;1.472160;0.593652;-0.462686;-0.473360;0.543060;0.516661;-0.044279;1.478209;0.594919;-0.462952;-0.475563;0.500426;0.555959;0.095268;1.453201;0.571796;-0.546169;-0.294124;0.439745;0.649473;0.046376;1.438622;0.542172;0.633868;-0.422174;0.503236;-0.408332;0.054488;1.425490;0.577620;-0.170674;-0.650229;0.640044;0.372044;0.098022;1.426154;0.560548;-0.450579;-0.476918;0.300039;0.692462;0.032386;1.433493;0.556695;0.354423;-0.644016;0.658960;-0.159371;0.068522;1.442036;0.544145;0.633868;-0.422174;0.503236;-0.408332;2023/05/02 12:32:45.2777;0.038467;1.452390;0.546653;0.597003;-0.412824;0.440706;-0.528149;0.052407;1.445577;0.587267;-0.298828;-0.604784;0.636032;0.374702;0.100863;1.434216;0.563171;-0.546169;-0.294124;0.439745;0.649473;0.019115;1.450179;0.565670;0.311928;-0.629138;0.673410;-0.231099;0.062901;1.452977;0.551796;0.597003;-0.412824;0.440706;-0.528149;509cbfb8-316c-45f9-98a4-a504cffff20b;0.044660;1.502756;0.553595;-0.711601;-0.070536;0.694724;-0.077501;0.103004;1.476781;0.546842;-0.690388;0.287707;0.622387;0.230702;0.078802;1.499578;0.548831;-0.749701;-0.010789;0.656559;0.082235;0.019824;1.498552;0.554898;-0.711601;-0.070536;0.694724;-0.077501;100;0.137902;1.440079;0.551478;-0.546169;-0.294124;0.439745;0.649473
NA;48110;10;0.022006;1.691010;0.190959;0.948037;0.310739;-0.063970;0.023978;-0.007916;1.499176;0.584865;-0.479677;-0.462209;0.553171;0.500276;0.054647;1.488012;0.585355;-0.503295;-0.397653;0.560984;0.523320;0.103318;1.468155;0.555540;-0.546245;-0.296062;0.437837;0.649817;0.016536;1.495273;0.587467;-0.458554;-0.454166;0.588207;0.487313;-0.030736;1.501473;0.585032;-0.479677;-0.462209;0.553171;0.500276;-0.019511;1.475266;0.592171;-0.462750;-0.477208;0.498127;0.556780;0.052064;1.466158;0.591653;-0.482999;-0.449860;0.529129;0.533254;0.102763;1.451459;0.558724;-0.546245;-0.296062;0.437837;0.649817;0.008487;1.471865;0.593206;-0.462405;-0.475121;0.540907;0.517553;-0.044882;1.477755;0.594545;-0.462750;-0.477208;0.498127;0.556780;0.094734;1.453244;0.571279;-0.546245;-0.296062;0.437837;0.649817;0.045933;1.438683;0.541560;0.635475;-0.421027;0.503457;-0.406742;0.054024;1.425402;0.576961;-0.169073;-0.651475;0.638692;0.372917;0.097558;1.426259;0.559900;-0.450278;-0.478448;0.297787;0.692575;0.031935;1.433460;0.556043;0.356443;-0.643735;0.658504;-0.157881;0.068070;1.442132;0.543569;0.635475;-0.421027;0.503457;-0.406742;2023/05/02 12:32:45.2884;0.037959;1.452413;0.546087;0.598786;-0.412092;0.441467;-0.526064;0.051890;1.445436;0.586705;-0.297485;-0.606682;0.634403;0.375463;0.100379;1.434316;0.562562;-0.546245;-0.296062;0.437837;0.649817;0.018611;1.450048;0.565090;0.313891;-0.629370;0.673001;-0.228988;0.062393;1.453050;0.551226;0.598786;-0.412092;0.441467;-0.526064;509cbfb8-316c-45f9-98a4-a504cffff20b;0.043804;1.502474;0.553027;-0.710655;-0.072620;0.695194;-0.080003;0.102335;1.476906;0.546395;-0.690518;0.285497;0.624038;0.228589;0.077978;1.499541;0.548332;-0.749340;-0.013150;0.657272;0.079444;0.018994;1.498108;0.554281;-0.710655;-0.072620;0.695194;-0.080003;111;0.137405;1.440330;0.550904;-0.546245;-0.296062;0.437837;0.649817
