Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;42692;1;0.004328;1.557485;-0.079500;0.996223;0.052700;-0.054412;-0.042442;0.014870;1.531199;0.269788;0.947798;-0.142460;0.276843;0.068869;-0.015611;1.493406;0.227201;0.884738;-0.364830;0.276039;0.089108;-0.048649;1.442785;0.213877;0.817109;-0.437015;0.361936;0.101748;0.001327;1.521198;0.250458;0.934497;-0.189398;0.295103;0.061304;0.026298;1.539479;0.288721;0.947798;-0.142460;0.276843;0.068869;-0.008335;1.468352;0.272818;0.259394;0.934661;0.041506;-0.239585;-0.034737;1.499577;0.239507;0.945268;0.021784;0.325235;-0.014674;-0.063837;1.445754;0.222338;0.817109;-0.437015;0.361936;0.101748;-0.006928;1.497280;0.275161;0.636648;0.701713;0.218927;-0.233129;-0.019605;1.454043;0.253764;0.259394;0.934661;0.041506;-0.239585;-0.061386;1.460777;0.221309;0.817109;-0.437015;0.361936;0.101748;-0.043134;1.449233;0.274315;0.087067;0.942421;0.204417;-0.249953;-0.066297;1.483626;0.266767;0.872767;0.272687;0.404740;0.010299;-0.082579;1.447995;0.238774;0.828728;-0.318873;0.328035;0.322371;-0.043224;1.468473;0.283734;0.498954;0.798448;0.286911;-0.176655;-0.052448;1.442008;0.254381;0.087067;0.942421;0.204417;-0.249953;2023/05/02 13:12:13.4964;-0.027633;1.453531;0.272046;0.086468;0.955641;0.107397;-0.260267;-0.050912;1.494326;0.253361;0.922019;0.187183;0.338297;-0.019959;-0.077882;1.449456;0.230993;0.817109;-0.437015;0.361936;0.101748;-0.025562;1.479574;0.282195;0.525458;0.789384;0.240658;-0.207004;-0.039724;1.446181;0.250575;0.086468;0.955641;0.107397;-0.260267;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.008224;1.447353;0.261129;0.652742;-0.028445;-0.203593;-0.729157;-0.038233;1.435021;0.215007;0.468734;-0.439974;0.258462;-0.721047;-0.008167;1.436384;0.231441;0.646062;-0.285722;0.043474;-0.706454;0.003553;1.456611;0.284937;0.652742;-0.028445;-0.203593;-0.729157;11;-0.088035;1.421977;0.203111;0.817109;-0.437015;0.361936;0.101748
NA;42693;2;0.004344;1.557602;-0.079388;0.996259;0.052369;-0.054276;-0.042192;0.014644;1.532027;0.269224;0.947274;-0.142505;0.277554;0.072995;-0.015711;1.494171;0.226585;0.884815;-0.363731;0.275982;0.092935;-0.048520;1.443440;0.213114;0.817338;-0.435847;0.361768;0.105455;0.001122;1.521972;0.249909;0.934068;-0.189296;0.295648;0.065393;0.026061;1.540358;0.288141;0.947274;-0.142505;0.277554;0.072995;-0.008111;1.468978;0.272123;0.258751;0.934547;0.045444;-0.240010;-0.034832;1.500181;0.238979;0.944773;0.022687;0.326747;-0.011209;-0.063697;1.446287;0.221635;0.817338;-0.435847;0.361768;0.105455;-0.006902;1.497909;0.274540;0.636207;0.701433;0.222663;-0.231635;-0.019340;1.454648;0.253060;0.258751;0.934547;0.045444;-0.240010;-0.061330;1.461328;0.220674;0.817338;-0.435847;0.361768;0.105455;-0.042828;1.449642;0.273606;0.085271;0.941647;0.207753;-0.250735;-0.066223;1.483931;0.266257;0.871592;0.273264;0.406788;0.013316;-0.082401;1.448349;0.238141;0.828137;-0.317253;0.327666;0.325846;-0.043012;1.468847;0.283096;0.497643;0.798216;0.290413;-0.175679;-0.052165;1.442457;0.253668;0.085271;0.941647;0.207753;-0.250735;2023/05/02 13:12:13.5072;-0.027352;1.454034;0.271308;0.084566;0.955193;0.110835;-0.261094;-0.050937;1.494777;0.252856;0.921196;0.188208;0.340143;-0.016677;-0.077736;1.449872;0.230352;0.817338;-0.435847;0.361768;0.105455;-0.025420;1.480049;0.281555;0.524222;0.789392;0.244272;-0.205872;-0.039462;1.446728;0.249832;0.084566;0.955193;0.110835;-0.261094;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.008433;1.448056;0.260239;0.654890;-0.026821;-0.201345;-0.727915;-0.038059;1.435726;0.214173;0.471201;-0.440482;0.259935;-0.718595;-0.007950;1.437151;0.230523;0.648584;-0.284798;0.045054;-0.704414;0.003750;1.457169;0.284100;0.654890;-0.026821;-0.201345;-0.727915;22;-0.087827;1.422475;0.202369;0.817338;-0.435847;0.361768;0.105455
NA;42694;3;0.004361;1.557712;-0.079262;0.996305;0.051862;-0.054121;-0.041921;0.014498;1.532719;0.268754;0.946789;-0.142519;0.278231;0.076596;-0.015756;1.494813;0.226070;0.884873;-0.362703;0.276002;0.096275;-0.048374;1.443993;0.212471;0.817515;-0.434758;0.361720;0.108689;0.000990;1.522616;0.249453;0.933664;-0.189188;0.296180;0.068967;0.025907;1.541094;0.287656;0.946789;-0.142519;0.278231;0.076596;-0.007865;1.469499;0.271541;0.258203;0.934408;0.048883;-0.240465;-0.034868;1.500684;0.238544;0.944297;0.023486;0.328153;-0.008226;-0.063539;1.446734;0.221048;0.817515;-0.434758;0.361720;0.108689;-0.006827;1.498431;0.274018;0.635833;0.701121;0.225967;-0.230401;-0.019060;1.455151;0.252471;0.258203;0.934408;0.048883;-0.240465;-0.061243;1.461790;0.220147;0.817515;-0.434758;0.361720;0.108689;-0.042511;1.449979;0.273013;0.083620;0.940951;0.210625;-0.251508;-0.066108;1.484175;0.265840;0.870527;0.273769;0.408633;0.015905;-0.082206;1.448642;0.237618;0.827612;-0.315751;0.327428;0.328862;-0.042775;1.469153;0.282564;0.496476;0.797991;0.293486;-0.174897;-0.051874;1.442832;0.253073;0.083620;0.940951;0.210625;-0.251508;2023/05/02 13:12:13.5184;-0.027057;1.454450;0.270686;0.082801;0.954781;0.113794;-0.261894;-0.050909;1.495148;0.252443;0.920438;0.189121;0.341814;-0.013843;-0.077570;1.450220;0.229823;0.817515;-0.434758;0.361720;0.108689;-0.025244;1.480440;0.281020;0.523113;0.789380;0.247449;-0.204943;-0.039190;1.447188;0.249209;0.082801;0.954781;0.113794;-0.261894;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.008654;1.448632;0.259478;0.656685;-0.025405;-0.199305;-0.726909;-0.037876;1.436322;0.213464;0.473264;-0.440924;0.261363;-0.716447;-0.007727;1.437791;0.229738;0.650723;-0.283952;0.046518;-0.702686;0.003964;1.457618;0.283386;0.656685;-0.025405;-0.199305;-0.726909;33;-0.087618;1.422896;0.201751;0.817515;-0.434758;0.361720;0.108689
NA;42695;4;0.004376;1.557812;-0.079138;0.996335;0.051395;-0.054165;-0.041741;0.014906;1.532343;0.267773;0.946456;-0.139541;0.280205;0.078963;-0.015503;1.494693;0.224957;0.885547;-0.359103;0.277627;0.098867;-0.048210;1.444000;0.211084;0.818350;-0.430878;0.363647;0.111392;0.001325;1.522330;0.248476;0.933428;-0.186399;0.298079;0.071526;0.026392;1.540620;0.286672;0.946456;-0.139541;0.280205;0.078963;-0.007376;1.468983;0.270141;0.252944;0.935149;0.050262;-0.242879;-0.034543;1.500460;0.237590;0.943283;0.027680;0.330764;-0.006855;-0.063320;1.446666;0.219775;0.818350;-0.430878;0.363647;0.111392;-0.006308;1.497890;0.272890;0.631788;0.703582;0.228611;-0.231418;-0.018693;1.454853;0.250981;0.252944;0.935149;0.050262;-0.242879;-0.061033;1.461732;0.219011;0.818350;-0.430878;0.363647;0.111392;-0.042052;1.449452;0.271616;0.077190;0.940792;0.210962;-0.253863;-0.065630;1.483724;0.264923;0.868011;0.277906;0.411167;0.016351;-0.081899;1.448438;0.236489;0.828060;-0.311202;0.328423;0.331072;-0.042208;1.468527;0.281364;0.491198;0.800237;0.295193;-0.176653;-0.051581;1.442557;0.251666;0.077190;0.940792;0.210962;-0.253863;2023/05/02 13:12:13.5296;-0.026608;1.453937;0.269225;0.076587;0.954563;0.114390;-0.264311;-0.050505;1.494808;0.251534;0.918541;0.193529;0.344464;-0.013166;-0.077307;1.450082;0.228681;0.818350;-0.430878;0.363647;0.111392;-0.024687;1.479812;0.279822;0.517999;0.791730;0.249426;-0.206466;-0.038893;1.446954;0.247741;0.076587;0.954563;0.114390;-0.264311;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.009173;1.448200;0.257694;0.657506;-0.024473;-0.194364;-0.727537;-0.037704;1.436320;0.211925;0.474109;-0.441474;0.266491;-0.713656;-0.007431;1.437632;0.227979;0.651716;-0.283596;0.052132;-0.701514;0.004609;1.456974;0.281705;0.657506;-0.024473;-0.194364;-0.727537;44;-0.087524;1.423003;0.200433;0.818350;-0.430878;0.363647;0.111392
NA;42696;5;0.004410;1.557890;-0.079030;0.996365;0.051105;-0.054049;-0.041510;0.014484;1.532897;0.268129;0.946887;-0.138634;0.279145;0.079149;-0.015819;1.495304;0.225192;0.886063;-0.358654;0.276534;0.098937;-0.048481;1.444608;0.211227;0.818803;-0.430720;0.362827;0.111350;0.000945;1.522917;0.248785;0.933901;-0.185638;0.297023;0.071723;0.025930;1.541135;0.287069;0.946887;-0.138634;0.279145;0.079149;-0.007738;1.469601;0.270394;0.252876;0.935396;0.050472;-0.241951;-0.034882;1.501052;0.237798;0.943566;0.027562;0.329974;-0.006329;-0.063608;1.447262;0.219895;0.818803;-0.430720;0.362827;0.111350;-0.006704;1.498508;0.273145;0.632082;0.703679;0.228451;-0.230476;-0.019009;1.455470;0.251207;0.252876;0.935396;0.050472;-0.241951;-0.061325;1.462328;0.219144;0.818803;-0.430720;0.362827;0.111350;-0.042411;1.450034;0.271782;0.076942;0.941012;0.211384;-0.252770;-0.066008;1.484282;0.265066;0.868357;0.277955;0.410364;0.017280;-0.082214;1.449012;0.236576;0.828389;-0.311216;0.327532;0.331118;-0.042604;1.469100;0.281547;0.491213;0.800518;0.295125;-0.175447;-0.051894;1.443155;0.251805;0.076942;0.941012;0.211384;-0.252770;2023/05/02 13:12:13.5408;-0.026972;1.454546;0.269422;0.075833;0.954830;0.114492;-0.263515;-0.050865;1.495383;0.251710;0.918853;0.193383;0.343738;-0.012482;-0.077610;1.450664;0.228777;0.818803;-0.430720;0.362827;0.111350;-0.025082;1.480413;0.280044;0.517918;0.792058;0.249282;-0.205579;-0.039227;1.447602;0.247908;0.075833;0.954830;0.114492;-0.263515;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.008792;1.448804;0.257959;0.657558;-0.022932;-0.195324;-0.727283;-0.037974;1.436932;0.212083;0.474699;-0.440685;0.266183;-0.713866;-0.007732;1.438247;0.228197;0.652103;-0.282531;0.051499;-0.701631;0.004136;1.457561;0.281959;0.657558;-0.022932;-0.195324;-0.727283;56;-0.087768;1.423604;0.200490;0.818803;-0.430720;0.362827;0.111350
NA;42697;6;0.004444;1.557930;-0.078944;0.996371;0.051012;-0.053963;-0.041600;0.014165;1.533374;0.268472;0.947245;-0.137725;0.278334;0.079310;-0.016058;1.495842;0.225429;0.886523;-0.358139;0.275696;0.099023;-0.048689;1.445150;0.211380;0.819210;-0.430462;0.362210;0.111365;0.000659;1.523428;0.249089;0.934299;-0.184854;0.296217;0.071900;0.025583;1.541573;0.287446;0.947245;-0.137725;0.278334;0.079310;-0.008010;1.470133;0.270637;0.252688;0.935616;0.050662;-0.241258;-0.035138;1.501575;0.238017;0.943772;0.027597;0.329392;-0.005889;-0.063828;1.447793;0.220031;0.819210;-0.430462;0.362210;0.111365;-0.007003;1.499040;0.273399;0.632210;0.703829;0.228370;-0.229745;-0.019249;1.456007;0.251427;0.252688;0.935616;0.050662;-0.241258;-0.061547;1.462860;0.219295;0.819210;-0.430462;0.362210;0.111365;-0.042682;1.450539;0.271954;0.076597;0.941191;0.211744;-0.251907;-0.066293;1.484770;0.265230;0.868579;0.278118;0.409750;0.018055;-0.082454;1.449522;0.236688;0.828689;-0.311084;0.326825;0.331191;-0.042904;1.469595;0.281739;0.491099;0.800808;0.295101;-0.174482;-0.052131;1.443680;0.251955;0.076597;0.941191;0.211744;-0.251907;2023/05/02 13:12:13.5515;-0.027248;1.455073;0.269619;0.075069;0.955045;0.114585;-0.262916;-0.051137;1.495888;0.251904;0.919061;0.193385;0.343200;-0.011915;-0.077841;1.451182;0.228897;0.819210;-0.430462;0.362210;0.111365;-0.025380;1.480931;0.280269;0.517727;0.792388;0.249202;-0.204889;-0.039481;1.448167;0.248081;0.075069;0.955045;0.114585;-0.262916;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.008500;1.449327;0.258206;0.657584;-0.021631;-0.195972;-0.727125;-0.038181;1.437476;0.212245;0.475196;-0.440007;0.266075;-0.713993;-0.007964;1.438787;0.228403;0.652427;-0.281607;0.051122;-0.701729;0.003772;1.458063;0.282199;0.657584;-0.021631;-0.195972;-0.727125;66;-0.087956;1.424145;0.200572;0.819210;-0.430462;0.362210;0.111365
NA;42698;7;0.004476;1.557868;-0.078880;0.996361;0.051076;-0.053921;-0.041825;0.015031;1.534363;0.268637;0.946378;-0.137220;0.280068;0.084273;-0.015130;1.496779;0.225576;0.886353;-0.356569;0.276465;0.103941;-0.047521;1.445969;0.211385;0.819085;-0.428864;0.362867;0.116201;0.001510;1.524364;0.249292;0.933506;-0.184406;0.297729;0.076941;0.026475;1.542602;0.287578;0.946378;-0.137220;0.280068;0.084273;-0.006638;1.470896;0.270621;0.250820;0.935497;0.055352;-0.242634;-0.034173;1.502318;0.238305;0.942840;0.028962;0.331980;-0.001657;-0.062622;1.448461;0.220142;0.819085;-0.428864;0.362867;0.116201;-0.005834;1.499796;0.273525;0.630686;0.703960;0.233249;-0.228628;-0.017876;1.456797;0.251391;0.250820;0.935497;0.055352;-0.242634;-0.060447;1.463550;0.219505;0.819085;-0.428864;0.362867;0.116201;-0.041182;1.451055;0.272010;0.074089;0.940006;0.215804;-0.253630;-0.065067;1.485161;0.265595;0.866653;0.279133;0.412963;0.021424;-0.081171;1.449980;0.236939;0.827630;-0.308725;0.327235;0.335610;-0.041487;1.470057;0.281896;0.488832;0.800589;0.299667;-0.174073;-0.050696;1.444250;0.252023;0.074089;0.940006;0.215804;-0.253630;2023/05/02 13:12:13.5633;-0.025794;1.455692;0.269606;0.072710;0.954175;0.118697;-0.264905;-0.050056;1.496451;0.252249;0.917608;0.194868;0.346341;-0.008353;-0.076614;1.451715;0.229131;0.819085;-0.428864;0.362867;0.116201;-0.024048;1.481504;0.280388;0.515589;0.792396;0.253881;-0.204501;-0.038098;1.448837;0.248092;0.072710;0.954175;0.118697;-0.264905;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.010046;1.450199;0.257764;0.660604;-0.022395;-0.190569;-0.725800;-0.036957;1.438358;0.212115;0.477705;-0.442134;0.268882;-0.709942;-0.006620;1.439752;0.228042;0.655132;-0.282782;0.055423;-0.698401;0.005496;1.458754;0.281857;0.660604;-0.022395;-0.190569;-0.725800;78;-0.086722;1.424781;0.200705;0.819085;-0.428864;0.362867;0.116201
NA;42699;8;0.004501;1.557801;-0.078846;0.996331;0.051536;-0.053891;-0.041997;0.014619;1.534572;0.269176;0.946795;-0.137421;0.278350;0.084945;-0.015346;1.496979;0.225981;0.886926;-0.356457;0.274713;0.104082;-0.047605;1.446113;0.211688;0.819531;-0.429363;0.361246;0.116264;0.001179;1.524560;0.249780;0.933983;-0.184530;0.296002;0.077501;0.025985;1.542824;0.288159;0.946795;-0.137421;0.278350;0.084945;-0.006946;1.471120;0.271054;0.250909;0.935887;0.055762;-0.240937;-0.034437;1.502485;0.238652;0.943363;0.028596;0.330526;-0.000699;-0.062736;1.448577;0.220400;0.819531;-0.429363;0.361246;0.116264;-0.006205;1.500021;0.273961;0.631253;0.704110;0.232922;-0.226929;-0.018099;1.457011;0.251783;0.250909;0.935887;0.055762;-0.240937;-0.060587;1.463670;0.219773;0.819531;-0.429363;0.361246;0.116264;-0.041448;1.451213;0.272346;0.074776;0.940187;0.216643;-0.252038;-0.065384;1.485273;0.265849;0.867301;0.278673;0.411841;0.022727;-0.081340;1.450064;0.237144;0.827830;-0.309527;0.325709;0.335864;-0.041827;1.470218;0.282226;0.489620;0.800487;0.299701;-0.172259;-0.050884;1.444385;0.252329;0.074776;0.940187;0.216643;-0.252038;2023/05/02 13:12:13.5740;-0.026064;1.455893;0.269988;0.072905;0.954497;0.119418;-0.263364;-0.050353;1.496590;0.252548;0.918201;0.194366;0.345077;-0.007098;-0.076761;1.451807;0.229350;0.819531;-0.429363;0.361246;0.116264;-0.024403;1.481708;0.280775;0.516192;0.792466;0.253840;-0.202753;-0.038292;1.449027;0.248434;0.072905;0.954497;0.119418;-0.263364;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.009822;1.450441;0.258228;0.660980;-0.021082;-0.191605;-0.725224;-0.037029;1.438520;0.212447;0.478697;-0.441386;0.267868;-0.710123;-0.006738;1.439965;0.228456;0.655847;-0.281784;0.054221;-0.698229;0.005181;1.458986;0.282307;0.660980;-0.021082;-0.191605;-0.725224;89;-0.086736;1.424856;0.200894;0.819531;-0.429363;0.361246;0.116264
NA;42700;9;0.004555;1.557748;-0.078827;0.996336;0.051639;-0.053836;-0.041836;0.014290;1.534738;0.269700;0.947182;-0.137394;0.276858;0.085554;-0.015509;1.497158;0.226374;0.887497;-0.356159;0.273195;0.104233;-0.047650;1.446243;0.211986;0.819939;-0.429729;0.359844;0.116384;0.000919;1.524725;0.250257;0.934433;-0.184432;0.294506;0.078017;0.025589;1.542992;0.288721;0.947182;-0.137394;0.276858;0.085554;-0.007184;1.471312;0.271466;0.250863;0.936248;0.056154;-0.239486;-0.034641;1.502631;0.238997;0.943802;0.028346;0.329294;0.000187;-0.062807;1.448682;0.220661;0.819939;-0.429729;0.359844;0.116384;-0.006498;1.500214;0.274381;0.631669;0.704290;0.232692;-0.225443;-0.018266;1.457200;0.252156;0.250863;0.936248;0.056154;-0.239486;-0.060681;1.463779;0.220045;0.819939;-0.429729;0.359844;0.116384;-0.041647;1.451347;0.272674;0.075316;0.940332;0.217443;-0.250644;-0.065631;1.485367;0.266111;0.867830;0.278333;0.410889;0.023930;-0.081457;1.450137;0.237359;0.828010;-0.310146;0.324371;0.336142;-0.042092;1.470351;0.282551;0.490253;0.800412;0.299792;-0.170640;-0.051013;1.444501;0.252631;0.075316;0.940332;0.217443;-0.250644;2023/05/02 13:12:13.5852;-0.026268;1.456067;0.270356;0.072953;0.954772;0.120089;-0.262044;-0.050583;1.496709;0.252851;0.918697;0.193957;0.344009;-0.005936;-0.076861;1.451888;0.229577;0.819939;-0.429729;0.359844;0.116384;-0.024681;1.481883;0.281151;0.516645;0.792555;0.253864;-0.201216;-0.038430;1.449197;0.248766;0.072953;0.954772;0.120089;-0.262044;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.009652;1.450651;0.258666;0.661324;-0.019842;-0.192477;-0.724714;-0.037064;1.438668;0.212768;0.479606;-0.440708;0.267048;-0.710240;-0.006813;1.440156;0.228848;0.656513;-0.280839;0.053210;-0.698061;0.004930;1.459184;0.282734;0.661324;-0.019842;-0.192477;-0.724714;100;-0.086720;1.424926;0.201092;0.819939;-0.429729;0.359844;0.116384
NA;42701;10;0.004616;1.557697;-0.078812;0.996327;0.051945;-0.053728;-0.041802;0.014621;1.534678;0.269969;0.947146;-0.137558;0.276320;0.087402;-0.015064;1.497115;0.226538;0.887929;-0.355245;0.272463;0.105580;-0.047089;1.446178;0.211965;0.820566;-0.428845;0.359032;0.117731;0.001291;1.524652;0.250505;0.934515;-0.184193;0.293940;0.079710;0.025879;1.542959;0.289003;0.947146;-0.137558;0.276320;0.087402;-0.006691;1.471152;0.271566;0.249814;0.936603;0.057574;-0.238860;-0.034213;1.502508;0.239170;0.943836;0.029406;0.329100;0.001776;-0.062253;1.448556;0.220643;0.820566;-0.428845;0.359032;0.117731;-0.006082;1.500048;0.274560;0.631066;0.704897;0.233740;-0.224145;-0.017729;1.457068;0.252210;0.249814;0.936603;0.057574;-0.238860;-0.060162;1.463660;0.220084;0.820566;-0.428845;0.359032;0.117731;-0.041114;1.451110;0.272704;0.074209;0.940225;0.218742;-0.250242;-0.065177;1.485092;0.266216;0.867511;0.278918;0.411072;0.025468;-0.080917;1.449920;0.237347;0.828208;-0.309258;0.323339;0.337466;-0.041608;1.470091;0.282626;0.489567;0.800648;0.300878;-0.169587;-0.050466;1.444304;0.252641;0.074209;0.940225;0.218742;-0.250242;2023/05/02 13:12:13.5964;-0.025742;1.455877;0.270405;0.071848;0.954791;0.121501;-0.261631;-0.050148;1.496508;0.252998;0.918511;0.194774;0.344068;-0.004346;-0.076321;1.451705;0.229573;0.820566;-0.428845;0.359032;0.117731;-0.024221;1.481668;0.281269;0.515899;0.792965;0.254981;-0.200100;-0.037882;1.449044;0.248791;0.071848;0.954791;0.121501;-0.261631;f2c04bcd-4cfa-4709-adff-4f4564456d19;0.010221;1.450540;0.258639;0.662114;-0.018335;-0.191496;-0.724291;-0.036486;1.438624;0.212715;0.480978;-0.440278;0.267933;-0.709245;-0.006231;1.440114;0.228789;0.657657;-0.279857;0.054209;-0.697301;0.005466;1.458983;0.282731;0.662114;-0.018335;-0.191496;-0.724291;111;-0.086111;1.424812;0.200998;0.820566;-0.428845;0.359032;0.117731
