Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;32123;1;0.003082;1.551610;0.029581;0.994163;0.061873;-0.058215;-0.066510;-0.107558;1.436681;0.413816;0.125126;0.986461;-0.089559;-0.056719;-0.106199;1.468818;0.382173;0.989028;0.096102;0.047012;-0.101872;-0.129261;1.421353;0.348999;0.894774;-0.419817;0.147060;-0.038807;-0.103263;1.460830;0.421260;0.590150;0.802602;-0.032190;-0.080722;-0.111206;1.430127;0.391425;0.125126;0.986461;-0.089559;-0.056719;-0.126462;1.433133;0.414101;0.058633;0.995181;-0.077845;0.010847;-0.128534;1.476231;0.383419;0.980693;0.182530;0.057010;-0.040918;-0.146393;1.424786;0.349407;0.894774;-0.419817;0.147060;-0.038807;-0.124148;1.459810;0.425383;0.550170;0.833053;0.012863;-0.056303;-0.126643;1.428889;0.388085;0.058633;0.995181;-0.077845;0.010847;-0.144392;1.439952;0.352127;0.894774;-0.419817;0.147060;-0.038807;-0.156786;1.427632;0.405738;0.019841;0.990374;0.136689;-0.009053;-0.170433;1.462285;0.390019;0.948415;0.271906;0.154074;0.053265;-0.172220;1.428539;0.355722;0.902540;-0.365015;0.102991;0.203909;-0.160026;1.446105;0.416090;0.508017;0.852732;0.120330;0.016982;-0.156477;1.425503;0.382679;0.019841;0.990374;0.136689;-0.009053;2023/05/02 13:10:15.7274;-0.142052;1.427775;0.409411;-0.009417;0.999048;0.042478;-0.003028;-0.149781;1.472000;0.386861;0.966293;0.245601;0.077168;0.001533;-0.164141;1.429771;0.351484;0.894774;-0.419817;0.147060;-0.038807;-0.143616;1.452488;0.422539;0.515494;0.854278;0.066479;-0.007468;-0.142355;1.426539;0.383728;-0.009417;0.999048;0.042478;-0.003028;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.070315;1.442395;0.391845;0.526935;-0.482000;0.138277;-0.686218;-0.119891;1.412976;0.352627;0.552710;-0.452359;0.107990;-0.691535;-0.094343;1.425002;0.372085;0.631624;-0.465035;0.080860;-0.615025;-0.048753;1.450813;0.403618;0.526935;-0.482000;0.138277;-0.686218;10;-0.160251;1.403673;0.320836;0.894774;-0.419817;0.147060;-0.038807
NA;32124;2;0.003093;1.551708;0.029672;0.994163;0.061539;-0.058681;-0.066407;-0.108042;1.435878;0.413795;0.121898;0.986701;-0.090534;-0.058024;-0.106663;1.468180;0.382335;0.988591;0.098746;0.048121;-0.103064;-0.129835;1.420859;0.349028;0.895332;-0.418254;0.148108;-0.038835;-0.103672;1.459973;0.421372;0.587736;0.804202;-0.032416;-0.082307;-0.111746;1.429481;0.391368;0.121898;0.986701;-0.090534;-0.058024;-0.126930;1.432430;0.414190;0.057085;0.995214;-0.078722;0.009657;-0.128986;1.475618;0.383640;0.980330;0.183962;0.057921;-0.041915;-0.146962;1.424310;0.349478;0.895332;-0.418254;0.148108;-0.038835;-0.124543;1.459068;0.425547;0.548857;0.833828;0.012756;-0.057649;-0.127171;1.428272;0.388161;0.057085;0.995214;-0.078722;0.009657;-0.144943;1.439466;0.352252;0.895332;-0.418254;0.148108;-0.038835;-0.157264;1.427018;0.405892;0.018788;0.990462;0.136154;-0.009654;-0.170894;1.461707;0.390259;0.948105;0.272826;0.154558;0.052683;-0.172780;1.428078;0.355853;0.903204;-0.363278;0.103604;0.203759;-0.160467;1.445472;0.416288;0.507040;0.853346;0.120209;0.016176;-0.156991;1.424932;0.382829;0.018788;0.990462;0.136154;-0.009654;2023/05/02 13:10:15.7386;-0.142515;1.427139;0.409583;-0.010218;0.999059;0.041992;-0.003695;-0.150233;1.471405;0.387102;0.966067;0.246318;0.077725;0.000954;-0.164706;1.429314;0.351606;0.895332;-0.418254;0.148108;-0.038835;-0.144037;1.451837;0.422743;0.514926;0.854616;0.066439;-0.008259;-0.142855;1.425942;0.383898;-0.010218;0.999059;0.041992;-0.003695;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.070748;1.441570;0.391871;0.526865;-0.481401;0.141179;-0.686101;-0.120466;1.412458;0.352603;0.552795;-0.451539;0.110643;-0.691583;-0.094854;1.424329;0.372072;0.631861;-0.463995;0.083415;-0.615226;-0.049134;1.449871;0.403631;0.526865;-0.481401;0.141179;-0.686101;22;-0.160899;1.403313;0.320865;0.895332;-0.418254;0.148108;-0.038835
NA;32125;3;0.003062;1.551787;0.029794;0.994156;0.061302;-0.059142;-0.066321;-0.107418;1.436296;0.413757;0.124548;0.986235;-0.091833;-0.058269;-0.105980;1.468441;0.382132;0.988689;0.096347;0.048046;-0.104420;-0.129254;1.421006;0.349054;0.894238;-0.420308;0.148571;-0.040073;-0.102985;1.460419;0.421207;0.589712;0.802623;-0.033413;-0.083193;-0.111153;1.429786;0.391368;0.124548;0.986235;-0.091833;-0.058269;-0.126312;1.432906;0.414159;0.059195;0.995008;-0.079764;0.009653;-0.128287;1.475933;0.383407;0.980748;0.181492;0.057768;-0.043098;-0.146374;1.424493;0.349495;0.894238;-0.420308;0.148571;-0.040073;-0.123865;1.459589;0.425397;0.550649;0.832610;0.011811;-0.058371;-0.126568;1.428639;0.388148;0.059195;0.995008;-0.079764;0.009653;-0.144327;1.439659;0.352202;0.894238;-0.420308;0.148571;-0.040073;-0.156654;1.427525;0.405929;0.021024;0.990540;0.135226;-0.010108;-0.170222;1.462141;0.390106;0.948936;0.270219;0.154460;0.051425;-0.172187;1.428347;0.355866;0.902504;-0.365365;0.104608;0.202614;-0.159823;1.446039;0.416229;0.509282;0.852123;0.119507;0.015380;-0.156391;1.425333;0.382876;0.021024;0.990540;0.135226;-0.010108;2023/05/02 13:10:15.7493;-0.141916;1.427615;0.409575;-0.008210;0.999125;0.040802;-0.004038;-0.149542;1.471781;0.386895;0.966650;0.244039;0.077672;-0.000398;-0.164112;1.429545;0.351611;0.894238;-0.420308;0.148571;-0.040073;-0.143373;1.452373;0.422630;0.516738;0.853580;0.065555;-0.009227;-0.142273;1.426315;0.383896;-0.008210;0.999125;0.040802;-0.004038;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.070058;1.441807;0.391706;0.524588;-0.483402;0.140783;-0.686521;-0.119896;1.412605;0.352657;0.550996;-0.453203;0.109772;-0.692069;-0.094236;1.424521;0.372035;0.629994;-0.466010;0.082982;-0.615675;-0.048392;1.450109;0.403369;0.524588;-0.483402;0.140783;-0.686521;33;-0.160368;1.403385;0.320997;0.894238;-0.420308;0.148571;-0.040073
NA;32126;4;0.003033;1.551812;0.029920;0.994162;0.061043;-0.059667;-0.065992;-0.107236;1.436675;0.413667;0.125600;0.986181;-0.090623;-0.058809;-0.105926;1.468754;0.381972;0.988877;0.095133;0.048852;-0.103369;-0.129132;1.421207;0.349006;0.893821;-0.421275;0.148677;-0.038816;-0.102848;1.460824;0.421059;0.590687;0.801969;-0.032067;-0.083104;-0.110990;1.430114;0.391296;0.125600;0.986181;-0.090623;-0.058809;-0.126124;1.433232;0.414089;0.059857;0.995073;-0.078513;0.009105;-0.128249;1.476194;0.383266;0.980927;0.180478;0.058649;-0.042067;-0.146260;1.424652;0.349467;0.893821;-0.421275;0.148677;-0.038816;-0.123727;1.459939;0.425280;0.551389;0.832105;0.013172;-0.058294;-0.126405;1.428932;0.388084;0.059857;0.995073;-0.078513;0.009105;-0.144247;1.439829;0.352146;0.893821;-0.421275;0.148677;-0.038816;-0.156466;1.427757;0.405905;0.021504;0.990353;0.136455;-0.010874;-0.170141;1.462313;0.390049;0.948980;0.269311;0.155475;0.052312;-0.172074;1.428456;0.355870;0.901872;-0.366111;0.104992;0.203878;-0.159667;1.446278;0.416184;0.509763;0.851636;0.120926;0.015342;-0.156231;1.425540;0.382854;0.021504;0.990353;0.136455;-0.010874;2023/05/02 13:10:15.7611;-0.141725;1.427888;0.409533;-0.007538;0.999079;0.041966;-0.004830;-0.149488;1.471997;0.386792;0.966796;0.243134;0.078679;0.000502;-0.164008;1.429666;0.351601;0.893821;-0.421275;0.148677;-0.038816;-0.143221;1.452664;0.422550;0.517398;0.853072;0.066942;-0.009304;-0.142118;1.426551;0.383857;-0.007538;0.999079;0.041966;-0.004830;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069916;1.442210;0.391535;0.524894;-0.484488;0.140082;-0.685664;-0.119748;1.412835;0.352608;0.551355;-0.454271;0.109126;-0.691185;-0.094087;1.424839;0.371930;0.630249;-0.467089;0.082478;-0.614663;-0.048252;1.450580;0.403152;0.524894;-0.484488;0.140082;-0.685664;44;-0.160245;1.403463;0.321026;0.893821;-0.421275;0.148677;-0.038816
NA;32127;5;0.002997;1.551806;0.030018;0.994150;0.061046;-0.060221;-0.065665;-0.107073;1.437010;0.413579;0.126508;0.986134;-0.089514;-0.059355;-0.105884;1.469030;0.381821;0.989042;0.094036;0.049643;-0.102416;-0.129031;1.421384;0.348958;0.893445;-0.422128;0.148819;-0.037643;-0.102726;1.461183;0.420919;0.591556;0.801382;-0.030807;-0.083068;-0.110848;1.430406;0.391224;0.126508;0.986134;-0.089514;-0.059355;-0.125957;1.433519;0.414021;0.060420;0.995133;-0.077372;0.008552;-0.128221;1.476423;0.383136;0.981081;0.179575;0.059505;-0.041136;-0.146165;1.424792;0.349438;0.893445;-0.422128;0.148819;-0.037643;-0.123604;1.460248;0.425171;0.552042;0.831652;0.014441;-0.058268;-0.126262;1.429191;0.388021;0.060420;0.995133;-0.077372;0.008552;-0.144183;1.439976;0.352093;0.893445;-0.422128;0.148819;-0.037643;-0.156298;1.427959;0.405879;0.021879;0.990182;0.137575;-0.011617;-0.170072;1.462460;0.389999;0.948997;0.268532;0.156446;0.053111;-0.171979;1.428548;0.355873;0.901301;-0.366749;0.105380;0.205052;-0.159527;1.446484;0.416141;0.510148;0.851218;0.122243;0.015268;-0.156091;1.425721;0.382830;0.021879;0.990182;0.137575;-0.011617;2023/05/02 13:10:15.7718;-0.141554;1.428127;0.409494;-0.006940;0.999034;0.043030;-0.005600;-0.149446;1.472184;0.386699;0.966920;0.242322;0.079644;0.001316;-0.163922;1.429770;0.351591;0.893445;-0.422128;0.148819;-0.037643;-0.143085;1.452919;0.422476;0.517994;0.852606;0.068236;-0.009412;-0.141981;1.426757;0.383820;-0.006940;0.999034;0.043030;-0.005600;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069793;1.442565;0.391372;0.525195;-0.485453;0.139485;-0.684872;-0.119622;1.413037;0.352558;0.551684;-0.455238;0.108600;-0.690369;-0.093959;1.425120;0.371827;0.630491;-0.468056;0.082078;-0.613733;-0.048130;1.450996;0.402949;0.525195;-0.485453;0.139485;-0.684872;55;-0.160144;1.403530;0.321050;0.893445;-0.422128;0.148819;-0.037643
NA;32128;6;0.002968;1.551768;0.030080;0.994112;0.061364;-0.060734;-0.065485;-0.106966;1.437294;0.413466;0.127189;0.986108;-0.087974;-0.060616;-0.105968;1.469255;0.381657;0.989194;0.092903;0.051241;-0.101189;-0.129090;1.421483;0.348960;0.892864;-0.423224;0.149635;-0.035851;-0.102665;1.461488;0.420759;0.592271;0.800888;-0.028819;-0.083445;-0.110789;1.430658;0.391129;0.127189;0.986108;-0.087974;-0.060616;-0.125836;1.433760;0.413990;0.061281;0.995207;-0.075878;0.007120;-0.128322;1.476588;0.383030;0.981232;0.178380;0.061298;-0.040086;-0.146232;1.424845;0.349488;0.892864;-0.423224;0.149635;-0.035851;-0.123523;1.460516;0.425084;0.552836;0.831048;0.016446;-0.058836;-0.126212;1.429392;0.387997;0.061281;0.995207;-0.075878;0.007120;-0.144282;1.440039;0.352106;0.892864;-0.423224;0.149635;-0.035851;-0.156197;1.428060;0.405902;0.021839;0.989982;0.138856;-0.013302;-0.170112;1.462520;0.390054;0.948713;0.268244;0.158407;0.053819;-0.172034;1.428540;0.355997;0.900502;-0.367400;0.106512;0.206806;-0.159437;1.446582;0.416167;0.510105;0.850978;0.124184;0.014442;-0.156062;1.425814;0.382852;0.021839;0.989982;0.138856;-0.013302;2023/05/02 13:10:15.7835;-0.141443;1.428300;0.409476;-0.006914;0.998969;0.044265;-0.007335;-0.149523;1.472296;0.386669;0.966942;0.241585;0.081579;0.002118;-0.163994;1.429777;0.351687;0.892864;-0.423224;0.149635;-0.035851;-0.142993;1.453095;0.422450;0.518098;0.852375;0.070196;-0.010233;-0.141956;1.426925;0.383803;-0.006914;0.998969;0.044265;-0.007335;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069776;1.442908;0.391148;0.525342;-0.487320;0.139066;-0.683518;-0.119648;1.413169;0.352548;0.552042;-0.456941;0.108117;-0.689032;-0.093961;1.425360;0.371718;0.630683;-0.469810;0.081896;-0.612218;-0.048096;1.451417;0.402634;0.525342;-0.487320;0.139066;-0.683518;66;-0.160241;1.403491;0.321182;0.892864;-0.423224;0.149635;-0.035851
NA;32129;7;0.002930;1.551687;0.030113;0.994057;0.061816;-0.061133;-0.065523;-0.106275;1.437690;0.412882;0.129144;0.985783;-0.087683;-0.062176;-0.105401;1.469535;0.380956;0.989288;0.090909;0.052821;-0.101268;-0.128625;1.421649;0.348506;0.891932;-0.424744;0.151031;-0.035220;-0.101956;1.461912;0.420074;0.593748;0.799699;-0.027785;-0.084699;-0.110174;1.430972;0.390582;0.129144;0.985783;-0.087683;-0.062176;-0.125145;1.434150;0.413473;0.062992;0.995131;-0.075599;0.005546;-0.127752;1.476865;0.382382;0.981441;0.176593;0.062946;-0.040320;-0.145766;1.425010;0.349077;0.891932;-0.424744;0.151031;-0.035220;-0.122803;1.460941;0.424475;0.554122;0.830073;0.017434;-0.060193;-0.125608;1.429699;0.387495;0.062992;0.995131;-0.075599;0.005546;-0.143805;1.440212;0.351630;0.891932;-0.424744;0.151031;-0.035220;-0.155533;1.428383;0.405494;0.023261;0.989904;0.138992;-0.015213;-0.169513;1.462806;0.389594;0.948776;0.267086;0.160180;0.053210;-0.171540;1.428716;0.355653;0.899693;-0.368511;0.108320;0.207411;-0.158743;1.446937;0.415710;0.511265;0.850160;0.125182;0.012843;-0.155477;1.426060;0.382452;0.023261;0.989904;0.138992;-0.015213;2023/05/02 13:10:15.7942;-0.140768;1.428668;0.409025;-0.005434;0.998959;0.044370;-0.009155;-0.148939;1.472578;0.386107;0.967209;0.239926;0.083299;0.001698;-0.163515;1.429941;0.351312;0.891932;-0.424744;0.151031;-0.035220;-0.142278;1.453501;0.421931;0.519253;0.851569;0.071196;-0.011773;-0.141371;1.427212;0.383359;-0.005434;0.998959;0.044370;-0.009155;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069223;1.443178;0.390528;0.524336;-0.488679;0.138681;-0.683398;-0.119174;1.413348;0.352102;0.551115;-0.458360;0.107728;-0.688893;-0.093447;1.425583;0.371189;0.629825;-0.471211;0.081626;-0.612060;-0.047518;1.451710;0.401949;0.524336;-0.488679;0.138681;-0.683398;77;-0.159857;1.403559;0.320879;0.891932;-0.424744;0.151031;-0.035220
NA;32130;8;0.002889;1.551588;0.030124;0.993988;0.062424;-0.061544;-0.065605;-0.105624;1.438058;0.412328;0.131107;0.985451;-0.087404;-0.063703;-0.104870;1.469791;0.380291;0.989370;0.088997;0.054359;-0.101352;-0.128194;1.421799;0.348077;0.891054;-0.426152;0.152379;-0.034610;-0.101289;1.462305;0.419423;0.595178;0.798538;-0.026783;-0.085925;-0.109599;1.431257;0.390067;0.131107;0.985451;-0.087404;-0.063703;-0.124496;1.434509;0.412979;0.064628;0.995054;-0.075337;0.004017;-0.127219;1.477118;0.381768;0.981628;0.174921;0.064536;-0.040552;-0.145335;1.425161;0.348689;0.891054;-0.426152;0.152379;-0.034610;-0.122125;1.461332;0.423896;0.555310;0.829162;0.018382;-0.061509;-0.125044;1.429979;0.387017;0.064628;0.995054;-0.075337;0.004017;-0.143361;1.440368;0.351179;0.891054;-0.426152;0.152379;-0.034610;-0.154910;1.428679;0.405112;0.024754;0.989819;0.139123;-0.017051;-0.168952;1.463068;0.389159;0.948829;0.265982;0.161892;0.052609;-0.171079;1.428877;0.355327;0.898932;-0.369525;0.110051;0.207993;-0.158091;1.447266;0.415277;0.512457;0.849323;0.126138;0.011300;-0.154927;1.426276;0.382078;0.024754;0.989819;0.139123;-0.017051;2023/05/02 13:10:15.8050;-0.140134;1.429009;0.408603;-0.003913;0.998943;0.044483;-0.010902;-0.148393;1.472836;0.385576;0.967468;0.238300;0.084952;0.001300;-0.163069;1.430091;0.350955;0.891054;-0.426152;0.152379;-0.034610;-0.141607;1.453880;0.421440;0.520398;0.850767;0.072162;-0.013249;-0.140822;1.427471;0.382944;-0.003913;0.998943;0.044483;-0.010902;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.068724;1.443408;0.389974;0.523389;-0.489728;0.138303;-0.683449;-0.118738;1.413511;0.351684;0.550209;-0.459500;0.107360;-0.688915;-0.092977;1.425777;0.370704;0.629024;-0.472299;0.081300;-0.612089;-0.046998;1.451954;0.401346;0.523389;-0.489728;0.138303;-0.683449;88;-0.159504;1.403619;0.320589;0.891054;-0.426152;0.152379;-0.034610
NA;32131;9;0.002836;1.551487;0.030124;0.993904;0.063126;-0.061879;-0.065892;-0.106249;1.438544;0.412590;0.130720;0.985690;-0.086987;-0.061335;-0.105406;1.470226;0.380536;0.989628;0.088487;0.052207;-0.100401;-0.128541;1.422179;0.348271;0.891213;-0.426543;0.150249;-0.035029;-0.101983;1.462801;0.419693;0.595350;0.798623;-0.027536;-0.083677;-0.110110;1.431748;0.390307;0.130720;0.985690;-0.086987;-0.061335;-0.125121;1.434960;0.413183;0.064866;0.995066;-0.074821;0.006220;-0.127769;1.477527;0.381914;0.981892;0.174386;0.062550;-0.039559;-0.145688;1.425523;0.348808;0.891213;-0.426543;0.150249;-0.035029;-0.122833;1.461798;0.424081;0.555819;0.828990;0.017722;-0.059390;-0.125552;1.430409;0.387222;0.064866;0.995066;-0.074821;0.006220;-0.143740;1.440733;0.351288;0.891213;-0.426543;0.150249;-0.035029;-0.155506;1.429066;0.405161;0.025343;0.989781;0.139512;-0.015122;-0.169515;1.463434;0.389142;0.949174;0.265610;0.160175;0.053513;-0.171461;1.429212;0.355330;0.898880;-0.370400;0.108040;0.207715;-0.158742;1.447652;0.415309;0.512800;0.849181;0.125518;0.013143;-0.155430;1.426648;0.382129;0.025343;0.989781;0.139512;-0.015122;2023/05/02 13:10:15.8167;-0.140739;1.429425;0.408729;-0.003580;0.998939;0.045055;-0.008855;-0.148953;1.473223;0.385637;0.967730;0.237888;0.083084;0.002325;-0.163434;1.430432;0.350991;0.891213;-0.426543;0.150249;-0.035029;-0.142294;1.454302;0.421543;0.520831;0.850581;0.071570;-0.011212;-0.141320;1.427874;0.383068;-0.003580;0.998939;0.045055;-0.008855;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069284;1.443832;0.390465;0.523854;-0.488031;0.136684;-0.684632;-0.119093;1.413904;0.351931;0.550544;-0.457832;0.105748;-0.690006;-0.093434;1.426187;0.371080;0.629242;-0.470884;0.079543;-0.613186;-0.047624;1.452392;0.401950;0.523854;-0.488031;0.136684;-0.684632;99;-0.159710;1.403939;0.320662;0.891213;-0.426543;0.150249;-0.035029
NA;32132;10;0.002792;1.551407;0.030108;0.993853;0.063328;-0.062286;-0.066081;-0.106321;1.438759;0.412503;0.130444;0.985779;-0.086044;-0.061818;-0.105571;1.470452;0.380463;0.989670;0.088544;0.052901;-0.099578;-0.128655;1.422383;0.348192;0.891272;-0.426454;0.150393;-0.033962;-0.102088;1.463020;0.419614;0.595227;0.798754;-0.026470;-0.083641;-0.110196;1.431974;0.390220;0.130444;0.985779;-0.086044;-0.061818;-0.125189;1.435136;0.413112;0.064494;0.995158;-0.073958;0.005664;-0.127946;1.477713;0.381871;0.981842;0.174566;0.063297;-0.038817;-0.145807;1.425694;0.348752;0.891272;-0.426454;0.150393;-0.033962;-0.122932;1.461971;0.424024;0.555602;0.829110;0.018769;-0.059414;-0.125642;1.430605;0.387148;0.064494;0.995158;-0.073958;0.005664;-0.143887;1.440908;0.351243;0.891272;-0.426454;0.150393;-0.033962;-0.155576;1.429177;0.405115;0.025024;0.989672;0.140267;-0.015748;-0.169659;1.463543;0.389139;0.948906;0.265939;0.161028;0.054069;-0.171583;1.429335;0.355311;0.898735;-0.370135;0.108172;0.208744;-0.158825;1.447754;0.415277;0.512501;0.849219;0.126495;0.012971;-0.155527;1.426771;0.382082;0.025024;0.989672;0.140267;-0.015748;2023/05/02 13:10:15.8274;-0.140801;1.429569;0.408681;-0.003695;0.998894;0.045927;-0.009427;-0.149118;1.473370;0.385615;0.967612;0.238088;0.083859;0.003035;-0.163563;1.430572;0.350963;0.891272;-0.426454;0.150393;-0.033962;-0.142384;1.454440;0.421504;0.520690;0.850578;0.072613;-0.011240;-0.141408;1.428022;0.383020;-0.003695;0.998894;0.045927;-0.009427;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.069348;1.444116;0.390276;0.524382;-0.488803;0.137075;-0.683598;-0.119185;1.414123;0.351829;0.551242;-0.458387;0.106038;-0.689035;-0.093514;1.426442;0.370938;0.629772;-0.471499;0.080054;-0.612101;-0.047674;1.452706;0.401715;0.524382;-0.488803;0.137075;-0.683598;110;-0.159827;1.404102;0.320616;0.891272;-0.426454;0.150393;-0.033962
