Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;32972;1;0.013621;1.550233;0.041295;0.993467;0.070903;-0.057116;-0.068798;-0.094995;1.448563;0.408548;0.145016;0.985443;-0.027230;-0.084442;-0.099245;1.483737;0.378297;0.986034;0.132727;0.086858;-0.050760;-0.117428;1.433682;0.345594;0.891235;-0.428322;0.145143;0.034254;-0.092932;1.472913;0.416286;0.586077;0.806088;0.034047;-0.074672;-0.099445;1.440921;0.386653;0.145016;0.985443;-0.027230;-0.084442;-0.112788;1.444159;0.411241;0.083302;0.996147;-0.014943;-0.023012;-0.122258;1.488083;0.380916;0.975742;0.191804;0.105286;0.007376;-0.134766;1.434630;0.347224;0.891235;-0.428322;0.145143;0.034254;-0.112828;1.471207;0.421856;0.560588;0.822111;0.082491;-0.055415;-0.114417;1.438636;0.385517;0.083302;0.996147;-0.014943;-0.023012;-0.134946;1.449976;0.350360;0.891235;-0.428322;0.145143;0.034254;-0.141589;1.439437;0.410712;0.109191;0.968305;0.222843;-0.028356;-0.161439;1.468642;0.389886;0.956083;0.185523;0.192694;0.119817;-0.160727;1.434932;0.355516;0.883874;-0.363456;0.104731;0.275131;-0.148060;1.458644;0.417651;0.579770;0.788394;0.200953;0.043806;-0.140938;1.433242;0.388407;0.109191;0.968305;0.222843;-0.028356;2023/05/02 13:10:25.1944;-0.127307;1.439501;0.410935;0.036368;0.992594;0.109881;-0.036896;-0.142502;1.481041;0.385581;0.968310;0.208812;0.125614;0.054719;-0.153154;1.437235;0.350815;0.891235;-0.428322;0.145143;0.034254;-0.131556;1.464974;0.421826;0.552914;0.821364;0.140155;-0.002047;-0.128871;1.435731;0.385547;0.036368;0.992594;0.109881;-0.036896;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.059763;1.463403;0.384078;0.609484;-0.477947;0.094992;-0.625358;-0.106578;1.426749;0.347987;0.596356;-0.496085;0.107963;-0.621774;-0.081008;1.442435;0.364601;0.690607;-0.472513;0.059110;-0.544335;-0.040670;1.475776;0.396596;0.609484;-0.477947;0.094992;-0.625358;11;-0.147634;1.411869;0.319805;0.891235;-0.428322;0.145143;0.034254
NA;32973;2;0.013467;1.550279;0.041409;0.993498;0.070639;-0.057574;-0.068242;-0.094881;1.448551;0.408391;0.144753;0.985434;-0.027309;-0.084975;-0.099148;1.483744;0.378173;0.985937;0.133043;0.087342;-0.050980;-0.117388;1.433690;0.345508;0.891133;-0.428329;0.145723;0.034353;-0.092801;1.472893;0.416149;0.585692;0.806315;0.034207;-0.075175;-0.099356;1.440921;0.386497;0.144753;0.985434;-0.027309;-0.084975;-0.112664;1.444176;0.411130;0.083324;0.996132;-0.015001;-0.023549;-0.122156;1.488098;0.380818;0.975694;0.191785;0.105772;0.007182;-0.134725;1.434646;0.347155;0.891133;-0.428329;0.145723;0.034353;-0.112687;1.471223;0.421750;0.560471;0.822137;0.082695;-0.055905;-0.114322;1.438653;0.385408;0.083324;0.996132;-0.015001;-0.023549;-0.134891;1.449991;0.350281;0.891133;-0.428329;0.145723;0.034353;-0.141468;1.439409;0.410602;0.108944;0.968382;0.222537;-0.029056;-0.161333;1.468670;0.389836;0.955829;0.186421;0.193410;0.119290;-0.160670;1.434956;0.355468;0.883837;-0.363331;0.105310;0.275196;-0.147912;1.458618;0.417561;0.579437;0.788657;0.201057;0.043000;-0.140853;1.433217;0.388295;0.108944;0.968382;0.222537;-0.029056;2023/05/02 13:10:25.2051;-0.127187;1.439506;0.410822;0.036184;0.992594;0.109760;-0.037424;-0.142397;1.481062;0.385507;0.968197;0.209100;0.126115;0.054471;-0.153102;1.437256;0.350759;0.891133;-0.428329;0.145723;0.034353;-0.131415;1.464974;0.421732;0.552596;0.821546;0.140332;-0.002576;-0.128780;1.435743;0.385434;0.036184;0.992594;0.109760;-0.037424;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.059705;1.463343;0.384024;0.609941;-0.476887;0.094540;-0.625790;-0.106541;1.426751;0.347901;0.596095;-0.495904;0.108301;-0.622111;-0.080955;1.442404;0.364522;0.690515;-0.472138;0.059242;-0.544762;-0.040645;1.475708;0.396601;0.609941;-0.476887;0.094540;-0.625790;22;-0.147626;1.411885;0.319744;0.891133;-0.428329;0.145723;0.034353
NA;32974;3;0.013299;1.550278;0.041513;0.993509;0.070667;-0.058041;-0.067653;-0.094774;1.448550;0.408247;0.144536;0.985417;-0.027388;-0.085517;-0.099058;1.483762;0.378059;0.985843;0.133330;0.087834;-0.051203;-0.117355;1.433706;0.345435;0.891022;-0.428354;0.146309;0.034453;-0.092676;1.472886;0.416022;0.585338;0.806517;0.034371;-0.075686;-0.099275;1.440932;0.386354;0.144536;0.985417;-0.027388;-0.085517;-0.112547;1.444206;0.411033;0.083410;0.996111;-0.015052;-0.024090;-0.122062;1.488123;0.380730;0.975653;0.191727;0.106267;0.006984;-0.134690;1.434671;0.347098;0.891022;-0.428354;0.146309;0.034453;-0.112552;1.471252;0.421655;0.560402;0.822129;0.082904;-0.056401;-0.114233;1.438679;0.385315;0.083410;0.996111;-0.015052;-0.024090;-0.134843;1.450016;0.350214;0.891022;-0.428354;0.146309;0.034453;-0.141353;1.439398;0.410512;0.108811;0.968441;0.222255;-0.029755;-0.161234;1.468709;0.389797;0.955595;0.187209;0.194122;0.118773;-0.160621;1.434989;0.355433;0.883790;-0.363222;0.105900;0.275263;-0.147772;1.458610;0.417485;0.579197;0.788846;0.201175;0.042209;-0.140773;1.433204;0.388204;0.108811;0.968441;0.222255;-0.029755;2023/05/02 13:10:25.2164;-0.127074;1.439526;0.410724;0.036058;0.992591;0.109650;-0.037957;-0.142299;1.481095;0.385444;0.968096;0.209324;0.126620;0.054229;-0.153058;1.437286;0.350715;0.891022;-0.428354;0.146309;0.034453;-0.131281;1.464990;0.421650;0.552330;0.821691;0.140518;-0.003104;-0.128695;1.435766;0.385338;0.036058;0.992591;0.109650;-0.037957;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.059652;1.463298;0.383975;0.610352;-0.475918;0.094120;-0.626190;-0.106512;1.426763;0.347827;0.595826;-0.495766;0.108628;-0.622420;-0.080910;1.442385;0.364453;0.690410;-0.471817;0.059379;-0.545158;-0.040623;1.475655;0.396605;0.610352;-0.475918;0.094120;-0.626190;33;-0.147625;1.411909;0.319698;0.891022;-0.428354;0.146309;0.034453
NA;32975;4;0.013149;1.550241;0.041585;0.993505;0.070814;-0.058352;-0.067293;-0.095138;1.448805;0.409034;0.145210;0.985369;-0.025138;-0.085620;-0.099609;1.483981;0.378808;0.985962;0.132763;0.088562;-0.049093;-0.117733;1.433858;0.346184;0.890887;-0.428598;0.145923;0.036489;-0.093144;1.473161;0.416773;0.586049;0.805998;0.036437;-0.074744;-0.099624;1.441146;0.387152;0.145210;0.985369;-0.025138;-0.085620;-0.112893;1.444344;0.411824;0.084113;0.996077;-0.012834;-0.024330;-0.122627;1.488250;0.381505;0.975547;0.191701;0.107139;0.008908;-0.135069;1.434748;0.347870;0.890887;-0.428598;0.145923;0.036489;-0.113009;1.471402;0.422413;0.560983;0.821583;0.084921;-0.055575;-0.114577;1.438776;0.386114;0.084113;0.996077;-0.012834;-0.024330;-0.135288;1.450094;0.350999;0.890887;-0.428598;0.145923;0.036489;-0.141693;1.439380;0.411243;0.107855;0.968147;0.223915;-0.030352;-0.161711;1.468677;0.390612;0.955019;0.188013;0.195274;0.120241;-0.161000;1.434962;0.356245;0.883189;-0.363254;0.105633;0.277247;-0.148161;1.458563;0.418251;0.578467;0.788912;0.202935;0.042565;-0.141137;1.433224;0.388924;0.107855;0.968147;0.223915;-0.030352;2023/05/02 13:10:25.2271;-0.127410;1.439582;0.411484;0.036067;0.992355;0.111598;-0.038431;-0.142831;1.481139;0.386240;0.967782;0.209713;0.127629;0.055940;-0.153451;1.437290;0.351519;0.890887;-0.428598;0.145923;0.036489;-0.131705;1.465032;0.422412;0.552316;0.821376;0.142418;-0.002472;-0.129044;1.435817;0.386100;0.036067;0.992355;0.111598;-0.038431;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.060044;1.463709;0.384548;0.611716;-0.476926;0.093678;-0.624155;-0.106854;1.426961;0.348548;0.597083;-0.496831;0.108245;-0.620431;-0.081281;1.442700;0.365107;0.691339;-0.473014;0.059458;-0.542930;-0.041044;1.476159;0.397131;0.611716;-0.476926;0.093678;-0.624155;44;-0.147949;1.411937;0.320494;0.890887;-0.428598;0.145923;0.036489
NA;32976;5;0.013000;1.550165;0.041629;0.993468;0.071406;-0.058660;-0.066941;-0.095319;1.447964;0.408731;0.144120;0.985472;-0.027879;-0.085420;-0.099551;1.483263;0.378589;0.985671;0.134556;0.087601;-0.051697;-0.117904;1.433365;0.345746;0.891901;-0.426548;0.146351;0.033909;-0.093199;1.472290;0.416529;0.584935;0.806817;0.033879;-0.075820;-0.099819;1.440366;0.386831;0.144120;0.985472;-0.027879;-0.085420;-0.113110;1.443565;0.411434;0.082299;0.996203;-0.015606;-0.023747;-0.122549;1.487651;0.381265;0.975269;0.193956;0.105774;0.006550;-0.135237;1.434346;0.347409;0.891901;-0.426548;0.146351;0.033909;-0.113093;1.470585;0.422121;0.559402;0.822881;0.082276;-0.056277;-0.114781;1.438096;0.385701;0.082299;0.996203;-0.015606;-0.023747;-0.135376;1.449681;0.350597;0.891901;-0.426548;0.146351;0.033909;-0.141937;1.438725;0.410742;0.105824;0.969066;0.221007;-0.029457;-0.161757;1.468265;0.390237;0.954958;0.191225;0.193863;0.117921;-0.161180;1.434675;0.355745;0.884728;-0.361525;0.105434;0.274664;-0.148299;1.457913;0.417833;0.576855;0.790862;0.200068;0.041823;-0.141384;1.432662;0.388398;0.105824;0.969066;0.221007;-0.029457;2023/05/02 13:10:25.2389;-0.127650;1.438863;0.411028;0.034207;0.992757;0.108930;-0.037381;-0.142800;1.480637;0.385941;0.967528;0.212382;0.126102;0.053693;-0.153611;1.436978;0.351040;0.891901;-0.426548;0.146351;0.033909;-0.131825;1.464291;0.422052;0.550751;0.822898;0.139658;-0.002956;-0.129257;1.435202;0.385627;0.034207;0.992757;0.108930;-0.037381;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.060112;1.462726;0.384334;0.611346;-0.474362;0.095394;-0.626208;-0.107066;1.426398;0.348099;0.596312;-0.494848;0.110511;-0.622354;-0.081425;1.441919;0.364759;0.690878;-0.470785;0.061210;-0.545254;-0.041087;1.475021;0.397031;0.611346;-0.474362;0.095394;-0.626208;55;-0.148202;1.411710;0.319929;0.891901;-0.426548;0.146351;0.033909
NA;32977;6;0.012857;1.550061;0.041634;0.993408;0.072089;-0.058794;-0.066992;-0.095491;1.447187;0.408453;0.143275;0.985529;-0.030445;-0.085312;-0.099501;1.482597;0.378383;0.985392;0.136162;0.086770;-0.054163;-0.118069;1.432910;0.345339;0.892825;-0.424644;0.146788;0.031516;-0.093251;1.471487;0.416299;0.583980;0.807503;0.031517;-0.076898;-0.100008;1.439640;0.386538;0.143275;0.985529;-0.030445;-0.085312;-0.113314;1.442847;0.411068;0.080618;0.996308;-0.018191;-0.023245;-0.122480;1.487097;0.381041;0.974997;0.196048;0.104538;0.004338;-0.135399;1.433976;0.346982;0.892825;-0.424644;0.146788;0.031516;-0.113174;1.469830;0.421847;0.557920;0.824080;0.079827;-0.056969;-0.114975;1.437469;0.385316;0.080618;0.996308;-0.018191;-0.023245;-0.135463;1.449301;0.350225;0.892825;-0.424644;0.146788;0.031516;-0.142167;1.438120;0.410277;0.103971;0.969904;0.218306;-0.028639;-0.161802;1.467887;0.389891;0.954875;0.194243;0.192572;0.115757;-0.161353;1.434414;0.355285;0.886144;-0.359911;0.105289;0.272263;-0.148429;1.457312;0.417444;0.575343;0.792666;0.197412;0.041114;-0.141616;1.432143;0.387909;0.103971;0.969904;0.218306;-0.028639;2023/05/02 13:10:25.2496;-0.127876;1.438199;0.410603;0.032502;0.993118;0.106459;-0.036419;-0.142774;1.480173;0.385665;0.967270;0.214885;0.124700;0.051605;-0.153765;1.436693;0.350598;0.892825;-0.424644;0.146788;0.031516;-0.131940;1.463605;0.421717;0.549287;0.824302;0.137106;-0.003415;-0.129457;1.434632;0.385186;0.032502;0.993118;0.106459;-0.036419;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.060185;1.461810;0.384134;0.611007;-0.471936;0.096987;-0.628125;-0.107271;1.425879;0.347680;0.595568;-0.493014;0.112655;-0.624135;-0.081566;1.441195;0.364432;0.690456;-0.468669;0.062832;-0.547423;-0.041138;1.473961;0.396937;0.611007;-0.471936;0.096987;-0.628125;66;-0.148445;1.411505;0.319408;0.892825;-0.424644;0.146788;0.031516
NA;32978;7;0.012738;1.549960;0.041630;0.993336;0.072764;-0.058991;-0.067153;-0.095600;1.447789;0.408266;0.144341;0.985266;-0.027186;-0.087623;-0.099985;1.483150;0.378185;0.985360;0.135332;0.089881;-0.051703;-0.118422;1.433262;0.345365;0.891738;-0.426198;0.148027;0.035320;-0.093459;1.472109;0.416076;0.584508;0.806904;0.035467;-0.077448;-0.100195;1.440183;0.386388;0.144341;0.985266;-0.027186;-0.087623;-0.113372;1.443392;0.411006;0.081197;0.996250;-0.015007;-0.025847;-0.122976;1.487513;0.380963;0.974883;0.194715;0.107915;0.006673;-0.135748;1.434220;0.347108;0.891738;-0.426198;0.148027;0.035320;-0.113332;1.470389;0.421751;0.558378;0.823317;0.083865;-0.057711;-0.115148;1.437981;0.385269;0.081197;0.996250;-0.015007;-0.025847;-0.135895;1.449554;0.350320;0.891738;-0.426198;0.148027;0.035320;-0.142193;1.438455;0.410420;0.104563;0.969088;0.221176;-0.031888;-0.162126;1.468080;0.390086;0.954121;0.193106;0.196438;0.117367;-0.161663;1.434519;0.355566;0.884506;-0.360644;0.107032;0.275916;-0.148512;1.457635;0.417570;0.575779;0.791397;0.201460;0.039786;-0.141760;1.432424;0.388064;0.104563;0.969088;0.221176;-0.031888;2023/05/02 13:10:25.2613;-0.127898;1.438640;0.410684;0.034078;0.992617;0.109573;-0.039298;-0.143199;1.480475;0.385720;0.966985;0.213551;0.128251;0.053734;-0.154115;1.436833;0.350830;0.891738;-0.426198;0.148027;0.035320;-0.132054;1.464055;0.421745;0.550148;0.823032;0.141202;-0.004300;-0.129599;1.434974;0.385290;0.034078;0.992617;0.109573;-0.039298;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.060504;1.462731;0.383645;0.612579;-0.475253;0.095947;-0.624241;-0.107562;1.426307;0.347650;0.596691;-0.496787;0.111838;-0.620206;-0.081854;1.441880;0.364157;0.691637;-0.471929;0.062422;-0.543162;-0.041479;1.475080;0.396291;0.612579;-0.475253;0.095947;-0.624241;78;-0.148814;1.411595;0.319677;0.891738;-0.426198;0.148027;0.035320
NA;32979;8;0.012641;1.549831;0.041629;0.993306;0.073068;-0.059050;-0.067214;-0.095084;1.448287;0.407705;0.145940;0.984796;-0.026840;-0.090324;-0.099636;1.483583;0.377570;0.985254;0.134117;0.092550;-0.052165;-0.118229;1.433587;0.345002;0.890670;-0.427503;0.150403;0.036438;-0.092901;1.472625;0.415448;0.585332;0.806017;0.037011;-0.079709;-0.099800;1.440613;0.385876;0.145940;0.984796;-0.026840;-0.090324;-0.112831;1.443916;0.410573;0.082480;0.996075;-0.014689;-0.028548;-0.122614;1.487945;0.380458;0.974862;0.193307;0.110631;0.006140;-0.135545;1.434543;0.346836;0.890670;-0.427503;0.150403;0.036438;-0.112741;1.470943;0.421242;0.559296;0.822367;0.085442;-0.060006;-0.114747;1.438439;0.384859;0.082480;0.996075;-0.014689;-0.028548;-0.135682;1.449887;0.350002;0.890670;-0.427503;0.150403;0.036438;-0.141645;1.438939;0.410166;0.105635;0.968786;0.221536;-0.034881;-0.161706;1.468524;0.389853;0.953767;0.192338;0.199345;0.116599;-0.161414;1.434857;0.355434;0.883598;-0.361278;0.109773;0.276917;-0.147931;1.458143;0.417282;0.576639;0.790445;0.203192;0.037388;-0.141332;1.432831;0.387829;0.105635;0.968786;0.221536;-0.034881;2023/05/02 13:10:25.2720;-0.127353;1.439147;0.410367;0.035632;0.992422;0.109761;-0.042205;-0.142808;1.480913;0.385346;0.966928;0.212267;0.131071;0.053040;-0.153894;1.437159;0.350650;0.890670;-0.427503;0.150403;0.036438;-0.131457;1.464602;0.421356;0.551279;0.821977;0.142834;-0.006718;-0.129191;1.435386;0.384995;0.035632;0.992422;0.109761;-0.042205;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.060155;1.463237;0.382880;0.612446;-0.477272;0.095703;-0.622866;-0.107353;1.426644;0.347248;0.595810;-0.499631;0.112235;-0.618695;-0.081566;1.442298;0.363555;0.691164;-0.474282;0.062890;-0.541658;-0.041112;1.475661;0.395426;0.612446;-0.477272;0.095703;-0.622866;89;-0.148751;1.411828;0.319547;0.890670;-0.427503;0.150403;0.036438
NA;32980;9;0.012577;1.549746;0.041624;0.993297;0.073257;-0.059103;-0.067090;-0.094607;1.448746;0.407172;0.147438;0.984341;-0.026561;-0.092895;-0.099314;1.483984;0.376990;0.985136;0.133020;0.095074;-0.052657;-0.118056;1.433890;0.344660;0.889668;-0.428699;0.152660;0.037465;-0.092381;1.473100;0.414853;0.586060;0.805203;0.038430;-0.081886;-0.099438;1.441008;0.385391;0.147438;0.984341;-0.026561;-0.092895;-0.112330;1.444402;0.410162;0.083660;0.995904;-0.014433;-0.031107;-0.122278;1.488347;0.379983;0.974830;0.192000;0.113190;0.005595;-0.135363;1.434846;0.346579;0.889668;-0.428699;0.152660;0.037465;-0.112190;1.471456;0.420760;0.560141;0.821476;0.086898;-0.062199;-0.114378;1.438867;0.384471;0.083660;0.995904;-0.014433;-0.031107;-0.135489;1.450198;0.349703;0.889668;-0.428699;0.152660;0.037465;-0.141136;1.439391;0.409926;0.106677;0.968493;0.221863;-0.037673;-0.161315;1.468940;0.389633;0.953425;0.191645;0.202060;0.115864;-0.161188;1.435175;0.355309;0.882754;-0.361843;0.112365;0.277830;-0.147392;1.458617;0.417008;0.577469;0.789527;0.204798;0.035147;-0.140933;1.433209;0.387609;0.106677;0.968493;0.221863;-0.037673;2023/05/02 13:10:25.2832;-0.126847;1.439620;0.410067;0.037095;0.992233;0.109898;-0.044954;-0.142445;1.481323;0.384994;0.966865;0.211067;0.133727;0.052343;-0.153693;1.437467;0.350480;0.889668;-0.428699;0.152660;0.037465;-0.130900;1.465111;0.420988;0.552351;0.820971;0.144343;-0.009023;-0.128815;1.435769;0.384719;0.037095;0.992233;0.109898;-0.044954;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.059841;1.463704;0.382167;0.612375;-0.479052;0.095426;-0.621611;-0.107166;1.426957;0.346870;0.594965;-0.502271;0.112623;-0.617298;-0.081307;1.442684;0.362989;0.690739;-0.476412;0.063301;-0.540282;-0.040786;1.476196;0.394624;0.612375;-0.479052;0.095426;-0.621611;100;-0.148700;1.412048;0.319423;0.889668;-0.428699;0.152660;0.037465
NA;32981;10;0.012557;1.549709;0.041633;0.993311;0.073129;-0.059091;-0.067034;-0.096142;1.448722;0.408207;0.146910;0.984865;-0.025911;-0.088249;-0.100666;1.483983;0.378022;0.985549;0.133698;0.090799;-0.050733;-0.119016;1.433845;0.345549;0.890315;-0.428960;0.148276;0.036687;-0.094050;1.473073;0.415935;0.585895;0.805835;0.036850;-0.077452;-0.100756;1.440995;0.386376;0.146910;0.984865;-0.025911;-0.088249;-0.113878;1.444326;0.411045;0.083801;0.996033;-0.013567;-0.026691;-0.123666;1.488290;0.380817;0.975193;0.192408;0.109178;0.007575;-0.136343;1.434766;0.347310;0.890315;-0.428960;0.148276;0.036687;-0.113893;1.471375;0.421661;0.560338;0.821805;0.085438;-0.057945;-0.115690;1.438778;0.385340;0.083801;0.996033;-0.013567;-0.026691;-0.136522;1.450115;0.350416;0.890315;-0.428960;0.148276;0.036687;-0.142668;1.439259;0.410552;0.107625;0.968406;0.222487;-0.033260;-0.162738;1.468788;0.390124;0.954037;0.191468;0.198199;0.117775;-0.162232;1.435030;0.355797;0.882931;-0.363101;0.108070;0.277328;-0.149023;1.458463;0.417604;0.577815;0.789502;0.203182;0.039165;-0.142255;1.433081;0.388236;0.107625;0.968406;0.222487;-0.033260;2023/05/02 13:10:25.2944;-0.128385;1.439521;0.410801;0.037161;0.992310;0.110870;-0.040588;-0.143858;1.481216;0.385651;0.967247;0.211259;0.129790;0.054388;-0.154701;1.437340;0.351034;0.890315;-0.428960;0.148276;0.036687;-0.132587;1.464988;0.421724;0.552371;0.821247;0.142884;-0.004836;-0.130127;1.435689;0.385433;0.037161;0.992310;0.110870;-0.040588;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.061289;1.463726;0.383753;0.613811;-0.474953;0.091469;-0.623931;-0.108139;1.426934;0.347879;0.596146;-0.498698;0.109105;-0.619682;-0.082483;1.442686;0.364298;0.691808;-0.472857;0.058942;-0.542526;-0.042415;1.476242;0.396459;0.613811;-0.474953;0.091469;-0.623931;111;-0.149377;1.411940;0.320016;0.890315;-0.428960;0.148276;0.036687
