Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;47144;1;-0.003459;1.552472;-0.082634;0.997409;0.037609;-0.031709;-0.052500;-0.046407;1.483076;0.230590;0.768848;0.258051;0.584587;-0.023240;-0.105551;1.473339;0.211893;0.791778;-0.095838;0.570809;0.195144;-0.125028;1.415103;0.204720;0.680729;-0.356569;0.497309;0.402679;-0.070889;1.488321;0.225093;0.778393;0.159778;0.606012;0.036401;-0.025221;1.473929;0.235598;0.768848;0.258051;0.584587;-0.023240;-0.071847;1.446458;0.234939;0.050810;0.832137;0.181821;-0.521449;-0.114408;1.470678;0.233568;0.778090;0.067591;0.608226;0.141661;-0.132605;1.411449;0.220295;0.680729;-0.356569;0.497309;0.402679;-0.070687;1.473718;0.244932;0.438357;0.649232;0.500449;-0.368635;-0.093911;1.438043;0.223226;0.050810;0.832137;0.181821;-0.521449;-0.135450;1.426379;0.221667;0.680729;-0.356569;0.497309;0.402679;-0.085716;1.424922;0.254989;-0.094780;0.768146;0.375406;-0.509940;-0.118116;1.441626;0.267271;0.692831;0.190645;0.667090;0.196546;-0.137902;1.405037;0.243023;0.651928;-0.173234;0.467077;0.571680;-0.085737;1.441563;0.268479;0.328048;0.687482;0.585007;-0.278424;-0.104808;1.418713;0.243445;-0.094780;0.768146;0.375406;-0.509940;2023/05/02 13:13:03.1255;-0.077842;1.432917;0.244925;-0.045485;0.796884;0.270306;-0.538369;-0.117136;1.458491;0.251601;0.752266;0.142487;0.626270;0.146897;-0.139326;1.408841;0.234762;0.680729;-0.356569;0.497309;0.402679;-0.076660;1.457241;0.258798;0.377133;0.675807;0.539230;-0.332096;-0.099914;1.425737;0.233857;-0.045485;0.796884;0.270306;-0.538369;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047065;1.430165;0.204959;0.521619;-0.568173;0.389660;-0.503247;-0.113940;1.411622;0.198824;0.516857;-0.572203;0.393576;-0.500540;-0.080345;1.418395;0.200036;0.613340;-0.538271;0.375779;-0.439169;-0.021735;1.435886;0.205090;0.521619;-0.568173;0.389660;-0.503247;11;-0.156492;1.382080;0.209767;0.680729;-0.356569;0.497309;0.402679
NA;47145;2;-0.003395;1.552448;-0.082402;0.997391;0.037785;-0.031971;-0.052545;-0.046220;1.483075;0.230120;0.767620;0.257500;0.586457;-0.022830;-0.105413;1.473207;0.211663;0.790391;-0.096042;0.572264;0.196399;-0.124716;1.414905;0.204555;0.679104;-0.356623;0.497961;0.404566;-0.070735;1.488272;0.224727;0.777060;0.159389;0.607788;0.036984;-0.024994;1.473972;0.235037;0.767620;0.257500;0.586457;-0.022830;-0.071541;1.446412;0.234565;0.051204;0.830819;0.183236;-0.523013;-0.114178;1.470513;0.233371;0.776649;0.067094;0.609882;0.142681;-0.132220;1.411224;0.220157;0.679104;-0.356623;0.497961;0.404566;-0.070421;1.473674;0.244558;0.437833;0.647796;0.502307;-0.369256;-0.093626;1.437931;0.222939;0.051204;0.830819;0.183236;-0.523013;-0.135112;1.426143;0.221545;0.679104;-0.356623;0.497961;0.404566;-0.085248;1.424820;0.254658;-0.094380;0.766571;0.376687;-0.511438;-0.117657;1.441445;0.267084;0.691082;0.190317;0.668857;0.197018;-0.137408;1.404790;0.242907;0.650057;-0.172917;0.467982;0.573166;-0.085273;1.441461;0.268148;0.327405;0.685967;0.586776;-0.279195;-0.104355;1.418536;0.243178;-0.094380;0.766571;0.376687;-0.511438;2023/05/02 13:13:03.1362;-0.077452;1.432843;0.244566;-0.045189;0.795414;0.271576;-0.539928;-0.116796;1.458314;0.251413;0.750746;0.142114;0.627992;0.147681;-0.138877;1.408590;0.234652;0.679104;-0.356623;0.497961;0.404566;-0.076287;1.457167;0.258440;0.376452;0.674406;0.541012;-0.332816;-0.099543;1.425593;0.233580;-0.045189;0.795414;0.271576;-0.539928;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.046814;1.430268;0.204482;0.521797;-0.569959;0.389669;-0.501032;-0.113640;1.411464;0.198613;0.517060;-0.573969;0.393537;-0.498335;-0.080067;1.418368;0.199689;0.613499;-0.539823;0.375961;-0.436880;-0.021506;1.436087;0.204508;0.521797;-0.569959;0.389669;-0.501032;22;-0.156045;1.381772;0.209719;0.679104;-0.356623;0.497961;0.404566
NA;47146;3;-0.003280;1.552441;-0.082155;0.997370;0.038026;-0.032301;-0.052568;-0.046644;1.482997;0.231665;0.767294;0.260048;0.585869;-0.019813;-0.105780;1.473188;0.213003;0.791240;-0.093699;0.570565;0.199036;-0.124973;1.414907;0.205439;0.680539;-0.355044;0.495527;0.406526;-0.071154;1.488205;0.226258;0.777082;0.161925;0.606899;0.039958;-0.025417;1.473885;0.236559;0.767294;0.260048;0.585869;-0.019813;-0.071940;1.446250;0.235766;0.048362;0.831422;0.185380;-0.521568;-0.114586;1.470325;0.234674;0.776905;0.069632;0.608645;0.145331;-0.132502;1.411101;0.220999;0.680539;-0.355044;0.495527;0.406526;-0.070852;1.473436;0.245966;0.435917;0.649646;0.503476;-0.366672;-0.094000;1.437846;0.224036;0.048362;0.831422;0.185380;-0.521568;-0.135421;1.426005;0.222490;0.680539;-0.355044;0.495527;0.406526;-0.085639;1.424491;0.255671;-0.096312;0.766498;0.379100;-0.509399;-0.118085;1.441013;0.268173;0.690782;0.192507;0.667743;0.199701;-0.137726;1.404498;0.243696;0.650670;-0.171591;0.465133;0.575184;-0.085703;1.441037;0.269278;0.325600;0.687069;0.587818;-0.276390;-0.104713;1.418261;0.244109;-0.096312;0.766498;0.379100;-0.509399;2023/05/02 13:13:03.1469;-0.077836;1.432600;0.245657;-0.047395;0.795612;0.274137;-0.538149;-0.117220;1.457995;0.252623;0.750695;0.144539;0.626857;0.150386;-0.139184;1.408353;0.235464;0.680539;-0.355044;0.495527;0.406526;-0.076722;1.456824;0.259711;0.374667;0.675805;0.542226;-0.330005;-0.099893;1.425399;0.234573;-0.047395;0.795612;0.274137;-0.538149;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047113;1.430461;0.205600;0.524817;-0.568172;0.390245;-0.499457;-0.113880;1.411527;0.199492;0.520050;-0.572238;0.394136;-0.496738;-0.080328;1.418510;0.200672;0.616247;-0.537810;0.376334;-0.435171;-0.021820;1.436345;0.205711;0.524817;-0.568172;0.390245;-0.499457;33;-0.156256;1.381685;0.210307;0.680539;-0.355044;0.495527;0.406526
NA;47147;4;-0.003295;1.552442;-0.081868;0.997350;0.038331;-0.032464;-0.052635;-0.047034;1.482920;0.233154;0.766978;0.262488;0.585286;-0.016894;-0.106115;1.473168;0.214295;0.792053;-0.091438;0.568913;0.201568;-0.125213;1.414914;0.206299;0.681908;-0.353489;0.493267;0.408332;-0.071539;1.488137;0.227734;0.777102;0.164352;0.606025;0.042833;-0.025805;1.473800;0.238028;0.766978;0.262488;0.585286;-0.016894;-0.072315;1.446086;0.236917;0.045468;0.831994;0.187266;-0.520241;-0.114957;1.470148;0.235930;0.777133;0.072179;0.607471;0.147761;-0.132765;1.410993;0.221819;0.681908;-0.353489;0.493267;0.408332;-0.071244;1.473196;0.247318;0.433938;0.651508;0.504494;-0.364309;-0.094356;1.437767;0.225092;0.045468;0.831994;0.187266;-0.520241;-0.135707;1.425882;0.223409;0.681908;-0.353489;0.493267;0.408332;-0.086004;1.424174;0.256646;-0.098269;0.766441;0.381259;-0.507498;-0.118478;1.440607;0.269224;0.690468;0.194701;0.666698;0.202137;-0.138021;1.404229;0.244465;0.651276;-0.170275;0.462464;0.577039;-0.086097;1.440628;0.270365;0.323772;0.688188;0.588715;-0.273834;-0.105052;1.418003;0.245009;-0.098269;0.766441;0.381259;-0.507498;2023/05/02 13:13:03.1587;-0.078191;1.432364;0.246707;-0.049547;0.795800;0.276496;-0.536468;-0.117608;1.457693;0.253791;0.750623;0.146934;0.625788;0.152859;-0.139469;1.408138;0.236257;0.681908;-0.353489;0.493267;0.408332;-0.077120;1.456490;0.260931;0.372907;0.677172;0.543317;-0.327392;-0.100218;1.425213;0.235531;-0.049547;0.795800;0.276496;-0.536468;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047394;1.430651;0.206660;0.527656;-0.566541;0.390806;-0.497876;-0.114107;1.411591;0.200346;0.522845;-0.570665;0.394731;-0.495139;-0.080573;1.418650;0.201617;0.618775;-0.536005;0.376760;-0.433437;-0.022117;1.436600;0.206848;0.527656;-0.566541;0.390806;-0.497876;44;-0.156456;1.381616;0.210889;0.681908;-0.353489;0.493267;0.408332
NA;47148;5;-0.003246;1.552420;-0.081571;0.997340;0.038500;-0.032693;-0.052547;-0.047395;1.482843;0.234597;0.766669;0.264839;0.584706;-0.014070;-0.106423;1.473149;0.215546;0.792834;-0.089245;0.567303;0.204003;-0.125439;1.414925;0.207138;0.683220;-0.351956;0.491152;0.410009;-0.071895;1.488069;0.229163;0.777117;0.166690;0.605164;0.045616;-0.026165;1.473716;0.239450;0.766669;0.264839;0.584706;-0.014070;-0.072668;1.445920;0.238028;0.042544;0.832538;0.188944;-0.519009;-0.115299;1.469979;0.237145;0.777335;0.074726;0.606353;0.150008;-0.133012;1.410895;0.222620;0.683220;-0.351956;0.491152;0.410009;-0.071603;1.472956;0.248622;0.431916;0.653370;0.505391;-0.362127;-0.094696;1.437693;0.226114;0.042544;0.832538;0.188944;-0.519009;-0.135973;1.425769;0.224305;0.683220;-0.351956;0.491152;0.410009;-0.086349;1.423868;0.257590;-0.100238;0.766394;0.383210;-0.505711;-0.118842;1.440221;0.270243;0.690143;0.196892;0.665709;0.204371;-0.138298;1.403980;0.245218;0.651874;-0.168969;0.459946;0.578757;-0.086462;1.440232;0.271414;0.321931;0.689315;0.589494;-0.271482;-0.105374;1.417757;0.245883;-0.100238;0.766394;0.383210;-0.505711;2023/05/02 13:13:03.1694;-0.078521;1.432132;0.247722;-0.051651;0.795978;0.278686;-0.534870;-0.117965;1.457408;0.254921;0.750532;0.149300;0.624774;0.155142;-0.139736;1.407939;0.237033;0.683220;-0.351956;0.491152;0.410009;-0.077487;1.456163;0.262108;0.371169;0.678510;0.544306;-0.324944;-0.100522;1.425034;0.236461;-0.051651;0.795978;0.278686;-0.534870;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047660;1.430839;0.207673;0.530343;-0.565034;0.391355;-0.496302;-0.114321;1.411655;0.201178;0.525477;-0.569215;0.395322;-0.493547;-0.080806;1.418788;0.202530;0.621124;-0.534365;0.377227;-0.431694;-0.022399;1.436851;0.207931;0.530343;-0.565034;0.391355;-0.496302;55;-0.156647;1.381560;0.211466;0.683220;-0.351956;0.491152;0.410009
NA;47149;6;-0.003156;1.552489;-0.081387;0.997325;0.038873;-0.032940;-0.052406;-0.047710;1.482462;0.234464;0.767390;0.262209;0.584917;-0.015240;-0.106730;1.472581;0.215481;0.792385;-0.091844;0.567918;0.202878;-0.125646;1.414271;0.207452;0.681635;-0.354505;0.492267;0.409113;-0.072218;1.487621;0.229005;0.777512;0.164012;0.605478;0.044408;-0.026466;1.473393;0.239367;0.767390;0.262209;0.584917;-0.015240;-0.072961;1.445504;0.238096;0.045023;0.832133;0.187435;-0.519996;-0.115593;1.469534;0.237103;0.777266;0.072228;0.607166;0.148294;-0.133205;1.410327;0.222962;0.681635;-0.354505;0.492267;0.409113;-0.071890;1.472603;0.248525;0.433676;0.651838;0.504540;-0.363967;-0.095000;1.437201;0.226255;0.045023;0.832133;0.187435;-0.519996;-0.136193;1.425206;0.224554;0.681635;-0.354505;0.492267;0.409113;-0.086559;1.423589;0.257826;-0.097239;0.766199;0.381972;-0.507525;-0.119071;1.439982;0.270393;0.690367;0.193978;0.666924;0.202430;-0.138471;1.403546;0.245607;0.650728;-0.171361;0.461759;0.577899;-0.086690;1.440053;0.271532;0.324424;0.687513;0.589251;-0.273602;-0.105585;1.417363;0.246182;-0.097239;0.766199;0.381972;-0.507525;2023/05/02 13:13:03.1806;-0.078770;1.431777;0.247887;-0.048854;0.795764;0.277278;-0.536180;-0.118231;1.457072;0.254961;0.750634;0.146677;0.625733;0.153272;-0.139919;1.407451;0.237397;0.681635;-0.354505;0.492267;0.409113;-0.077744;1.455904;0.262112;0.373306;0.676872;0.543708;-0.326907;-0.100774;1.424581;0.236694;-0.048854;0.795764;0.277278;-0.536180;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047920;1.430409;0.207855;0.529372;-0.567246;0.388931;-0.496719;-0.114524;1.410983;0.201508;0.524284;-0.571636;0.393044;-0.493837;-0.081030;1.418225;0.202794;0.620065;-0.536915;0.375125;-0.431883;-0.022677;1.436499;0.208078;0.529372;-0.567246;0.388931;-0.496719;66;-0.156792;1.380878;0.212005;0.681635;-0.354505;0.492267;0.409113
NA;47150;7;-0.003136;1.552491;-0.081112;0.997337;0.039008;-0.033142;-0.051944;-0.048005;1.482098;0.234418;0.768027;0.259929;0.585072;-0.016209;-0.107017;1.472054;0.215489;0.792012;-0.094079;0.568416;0.201916;-0.125842;1.413670;0.207792;0.680238;-0.356746;0.493232;0.408327;-0.072520;1.487198;0.228934;0.777869;0.161687;0.605718;0.043405;-0.026748;1.473080;0.239364;0.768027;0.259929;0.585072;-0.016209;-0.073243;1.445102;0.238217;0.047090;0.831779;0.186012;-0.520890;-0.115869;1.469114;0.237131;0.777196;0.070112;0.607882;0.146729;-0.133391;1.409801;0.223326;0.680238;-0.356746;0.493232;0.408327;-0.072157;1.472256;0.248501;0.435128;0.650556;0.503729;-0.365646;-0.095294;1.436741;0.226440;0.047090;0.831779;0.186012;-0.520890;-0.136401;1.424684;0.224837;0.680238;-0.356746;0.493232;0.408327;-0.086762;1.423315;0.258097;-0.094595;0.766007;0.380824;-0.509174;-0.119290;1.439744;0.270586;0.690548;0.191378;0.668017;0.200676;-0.138638;1.403139;0.246011;0.649715;-0.173466;0.463339;0.577146;-0.086908;1.439867;0.271696;0.326629;0.685896;0.589022;-0.275524;-0.105789;1.416988;0.246511;-0.094595;0.766007;0.380824;-0.509174;2023/05/02 13:13:03.1918;-0.079009;1.431431;0.248094;-0.046417;0.795568;0.275983;-0.537356;-0.118481;1.456748;0.255059;0.750706;0.144404;0.626593;0.151561;-0.140095;1.406995;0.237780;0.680238;-0.356746;0.493232;0.408327;-0.077987;1.455642;0.262176;0.375159;0.675438;0.543146;-0.328683;-0.101017;1.424153;0.236962;-0.046417;0.795568;0.275983;-0.537356;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.048168;1.430019;0.208076;0.528601;-0.569206;0.386721;-0.497023;-0.114717;1.410367;0.201863;0.523280;-0.573815;0.390986;-0.494008;-0.081244;1.417713;0.203088;0.619180;-0.539194;0.373222;-0.431963;-0.022943;1.436185;0.208269;0.528601;-0.569206;0.386721;-0.497023;77;-0.156933;1.380253;0.212543;0.680238;-0.356746;0.493232;0.408327
NA;47151;8;-0.003064;1.552362;-0.080839;0.997344;0.039063;-0.033421;-0.051596;-0.047686;1.482495;0.233831;0.767839;0.259171;0.585640;-0.016701;-0.106728;1.472421;0.215006;0.791515;-0.094508;0.569165;0.201555;-0.125445;1.413988;0.207425;0.679328;-0.357587;0.493528;0.408747;-0.072210;1.487584;0.228376;0.777542;0.161097;0.606332;0.042864;-0.026419;1.473494;0.238762;0.767839;0.259171;0.585640;-0.016701;-0.072862;1.445571;0.237750;0.048558;0.831314;0.186763;-0.521228;-0.115554;1.469499;0.236660;0.776841;0.068969;0.608405;0.146987;-0.132973;1.410129;0.222972;0.679328;-0.357587;0.493528;0.408747;-0.071839;1.472745;0.247987;0.435979;0.649423;0.504387;-0.365739;-0.094896;1.437124;0.226001;0.048558;0.831314;0.186763;-0.521228;-0.136012;1.425009;0.224457;0.679328;-0.357587;0.493528;0.408747;-0.086322;1.423798;0.257679;-0.093331;0.765521;0.381506;-0.509627;-0.118888;1.440177;0.270166;0.690247;0.190277;0.668581;0.200882;-0.138188;1.403495;0.245668;0.648804;-0.174176;0.463935;0.577477;-0.086505;1.440369;0.271255;0.327370;0.684871;0.589743;-0.275653;-0.105333;1.417400;0.246104;-0.093331;0.765521;0.381506;-0.509627;2023/05/02 13:13:03.2030;-0.078603;1.431916;0.247656;-0.045290;0.795099;0.276426;-0.537918;-0.118126;1.457157;0.254610;0.750417;0.143179;0.627152;0.151838;-0.139660;1.407335;0.237432;0.679328;-0.357587;0.493528;0.408747;-0.077625;1.456152;0.261699;0.375864;0.674412;0.543777;-0.328940;-0.100602;1.424571;0.236552;-0.045290;0.795099;0.276426;-0.537918;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047803;1.430482;0.207657;0.528484;-0.570119;0.385965;-0.496689;-0.114317;1.410695;0.201495;0.523194;-0.574719;0.390194;-0.493676;-0.080857;1.418106;0.202692;0.619161;-0.540030;0.372449;-0.431613;-0.022590;1.436694;0.207825;0.528484;-0.570119;0.385965;-0.496689;88;-0.156469;1.380519;0.212253;0.679328;-0.357587;0.493528;0.408747
NA;47152;9;-0.003004;1.552345;-0.080575;0.997318;0.039368;-0.033755;-0.051655;-0.047675;1.482255;0.234001;0.767780;0.259044;0.585775;-0.016700;-0.106722;1.472171;0.215194;0.791410;-0.094554;0.569296;0.201573;-0.125382;1.413717;0.207629;0.679046;-0.357920;0.493437;0.409035;-0.072201;1.487338;0.228552;0.777466;0.160974;0.606461;0.042879;-0.026405;1.473261;0.238928;0.767780;0.259044;0.585775;-0.016700;-0.072846;1.445346;0.237933;0.048466;0.831239;0.186838;-0.521330;-0.115543;1.469246;0.236850;0.776760;0.068792;0.608468;0.147235;-0.132904;1.409855;0.223178;0.679046;-0.357920;0.493437;0.409035;-0.071829;1.472520;0.248172;0.435958;0.649317;0.504562;-0.365712;-0.094882;1.436900;0.226189;0.048466;0.831239;0.186838;-0.521330;-0.135957;1.424732;0.224662;0.679046;-0.357920;0.493437;0.409035;-0.086289;1.423550;0.257860;-0.093364;0.765326;0.381372;-0.510015;-0.118844;1.439930;0.270365;0.690022;0.190189;0.668886;0.200723;-0.138110;1.403221;0.245880;0.648464;-0.174483;0.463961;0.577746;-0.086461;1.440126;0.271429;0.327256;0.684695;0.589834;-0.276030;-0.105310;1.417149;0.246303;-0.093364;0.765326;0.381372;-0.510015;2023/05/02 13:13:03.2142;-0.078569;1.431677;0.247838;-0.045160;0.794964;0.276582;-0.538048;-0.118101;1.456907;0.254804;0.750286;0.143089;0.627312;0.151907;-0.139586;1.407057;0.237643;0.679046;-0.357920;0.493437;0.409035;-0.077597;1.455914;0.261879;0.375891;0.674227;0.543965;-0.328976;-0.100567;1.424320;0.236740;-0.045160;0.794964;0.276582;-0.538048;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047748;1.430267;0.207816;0.528211;-0.570692;0.385975;-0.496313;-0.114253;1.410434;0.201696;0.523194;-0.575012;0.390006;-0.493482;-0.080797;1.417867;0.202879;0.619053;-0.540437;0.372386;-0.431312;-0.022538;1.436493;0.207950;0.528211;-0.570692;0.385975;-0.496313;99;-0.156370;1.380218;0.212473;0.679046;-0.357920;0.493437;0.409035
NA;47153;10;-0.002936;1.552454;-0.080358;0.997275;0.039945;-0.034069;-0.051826;-0.047681;1.482031;0.234226;0.767736;0.258945;0.585879;-0.016561;-0.106728;1.471921;0.215426;0.791334;-0.094636;0.569330;0.201739;-0.125337;1.413450;0.207864;0.678817;-0.358190;0.493323;0.409317;-0.072211;1.487101;0.228779;0.777424;0.160822;0.606543;0.043067;-0.026407;1.473044;0.239149;0.767736;0.258945;0.585879;-0.016561;-0.072857;1.445109;0.238151;0.047974;0.831207;0.186676;-0.521484;-0.115545;1.468992;0.237083;0.776694;0.068785;0.608500;0.147457;-0.132853;1.409583;0.223415;0.678817;-0.358190;0.493323;0.409317;-0.071830;1.472279;0.248401;0.435702;0.649407;0.504630;-0.365764;-0.094905;1.436688;0.226413;0.047974;0.831207;0.186676;-0.521484;-0.135918;1.424457;0.224903;0.678817;-0.358190;0.493323;0.409317;-0.086288;1.423282;0.258068;-0.093730;0.765140;0.380926;-0.510560;-0.118817;1.439678;0.270603;0.689746;0.190298;0.669244;0.200373;-0.138050;1.402948;0.246124;0.648173;-0.174732;0.463944;0.578011;-0.086433;1.439862;0.271633;0.326903;0.684666;0.589771;-0.276654;-0.105330;1.416893;0.246540;-0.093730;0.765140;0.380926;-0.510560;2023/05/02 13:13:03.2250;-0.078559;1.431417;0.248051;-0.045231;0.794856;0.276628;-0.538178;-0.118091;1.456653;0.255039;0.750136;0.143231;0.627470;0.151860;-0.139531;1.406781;0.237887;0.678817;-0.358190;0.493323;0.409317;-0.077583;1.455653;0.262094;0.375755;0.674178;0.544064;-0.329070;-0.100562;1.424060;0.236960;-0.045231;0.794856;0.276628;-0.538178;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.047706;1.430043;0.207983;0.527789;-0.571348;0.386182;-0.495847;-0.114208;1.410178;0.201925;0.523134;-0.575287;0.389954;-0.493266;-0.080755;1.417627;0.203089;0.618820;-0.540899;0.372527;-0.430945;-0.022498;1.436278;0.208070;0.527789;-0.571348;0.386182;-0.495847;110;-0.156291;1.379922;0.212722;0.678817;-0.358190;0.493323;0.409317
