Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;33191;1;-0.019658;1.511608;0.040703;0.995100;0.087351;-0.007469;0.045720;-0.065661;1.446403;0.306755;0.681656;-0.468104;0.409674;0.385217;-0.085684;1.387214;0.293878;0.702575;-0.466405;0.431179;0.320842;-0.089757;1.327013;0.292442;0.677337;-0.485959;0.375516;0.405027;-0.073762;1.423458;0.301387;0.703405;-0.443016;0.442740;0.336065;-0.062191;1.468508;0.311879;0.681656;-0.468104;0.409674;0.385217;-0.088164;1.451053;0.335663;0.669908;-0.446228;0.373369;0.461194;-0.098920;1.383735;0.312248;0.687616;-0.467341;0.359651;0.423589;-0.100764;1.322760;0.305238;0.677337;-0.485959;0.375516;0.405027;-0.094577;1.425432;0.325649;0.715623;-0.411119;0.392083;0.406370;-0.087098;1.475286;0.343922;0.669908;-0.446228;0.373369;0.461194;-0.106098;1.336639;0.300539;0.677337;-0.485959;0.375516;0.405027;-0.057634;1.370164;0.358011;0.694507;0.223559;0.675414;0.107230;-0.105274;1.357009;0.345852;0.749748;-0.068590;0.599281;0.272095;-0.109625;1.316908;0.322111;0.633435;-0.323437;0.376483;0.593640;-0.078146;1.370520;0.354430;0.746576;0.153068;0.624964;0.169160;-0.035263;1.367648;0.358077;0.694507;0.223559;0.675414;0.107230;2023/05/02 14:07:40.9001;-0.059888;1.411828;0.358459;0.771729;0.032869;0.596379;0.218372;-0.103678;1.372443;0.329699;0.769606;-0.251515;0.462018;0.361920;-0.109531;1.319806;0.313644;0.677337;-0.485959;0.375516;0.405027;-0.082524;1.401293;0.347554;0.789942;-0.054433;0.544889;0.275907;-0.037114;1.418447;0.366357;0.771729;0.032869;0.596379;0.218372;098488ab-54a2-432e-8612-2a6918f976ff;-0.042208;1.358501;0.339067;0.774666;-0.245211;-0.001078;-0.582892;-0.077276;1.325415;0.294035;0.662511;-0.471293;0.136742;-0.565920;-0.053455;1.341073;0.311315;0.804778;-0.315404;0.004608;-0.502824;-0.034312;1.368943;0.360651;0.774666;-0.245211;-0.001078;-0.582892;11;-0.113275;1.289543;0.288831;0.677337;-0.485959;0.375516;0.405027
NA;33192;2;-0.019746;1.511817;0.040787;0.995165;0.086181;-0.007731;0.046482;-0.065131;1.446420;0.306747;0.683065;-0.468330;0.409187;0.382957;-0.085306;1.387295;0.293815;0.703937;-0.466437;0.430641;0.318524;-0.089501;1.327102;0.292437;0.678218;-0.486829;0.374906;0.403068;-0.073285;1.423499;0.301358;0.704749;-0.443178;0.442105;0.333865;-0.061604;1.468515;0.311875;0.683065;-0.468330;0.409187;0.382957;-0.087770;1.451183;0.335518;0.670864;-0.447240;0.372783;0.459294;-0.098626;1.383868;0.312136;0.688717;-0.467942;0.359274;0.421452;-0.100569;1.322888;0.305194;0.678218;-0.486829;0.374906;0.403068;-0.094205;1.425565;0.325511;0.716638;-0.411913;0.391409;0.404422;-0.086685;1.475426;0.343748;0.670864;-0.447240;0.372783;0.459294;-0.105855;1.336772;0.300459;0.678218;-0.486829;0.374906;0.403068;-0.057536;1.370191;0.358041;0.695712;0.225000;0.674032;0.105072;-0.105173;1.357199;0.345748;0.751200;-0.068801;0.598246;0.270307;-0.109513;1.317077;0.322041;0.634624;-0.324665;0.375914;0.592060;-0.078035;1.370642;0.354402;0.747945;0.153858;0.623666;0.167174;-0.035179;1.367545;0.358160;0.695712;0.225000;0.674032;0.105072;2023/05/02 14:07:40.9113;-0.059592;1.411790;0.358428;0.773082;0.035016;0.595590;0.215386;-0.103479;1.372609;0.329582;0.770959;-0.251646;0.461435;0.359686;-0.109377;1.319963;0.313571;0.678218;-0.486829;0.374906;0.403068;-0.082269;1.401395;0.347474;0.791441;-0.053186;0.544197;0.273208;-0.036781;1.418231;0.366365;0.773082;0.035016;0.595590;0.215386;098488ab-54a2-432e-8612-2a6918f976ff;-0.042045;1.358543;0.339198;0.773797;-0.244667;-0.002594;-0.584270;-0.077030;1.325481;0.294079;0.661812;-0.470450;0.135683;-0.567690;-0.053238;1.341103;0.311431;0.803940;-0.315087;0.003236;-0.504372;-0.034203;1.368994;0.360797;0.773797;-0.244667;-0.002594;-0.584270;22;-0.113084;1.289676;0.288782;0.678218;-0.486829;0.374906;0.403068
NA;33193;3;-0.019824;1.512115;0.040988;0.995209;0.084820;-0.008481;0.047883;-0.065655;1.447687;0.305165;0.681112;-0.471929;0.409710;0.381455;-0.085703;1.388421;0.292688;0.702109;-0.470025;0.430911;0.316917;-0.089695;1.328204;0.291881;0.675516;-0.491056;0.375445;0.401974;-0.073759;1.424708;0.299951;0.703012;-0.446796;0.442457;0.332234;-0.062179;1.469831;0.310114;0.681112;-0.471929;0.409710;0.381455;-0.088413;1.452691;0.333775;0.668347;-0.451359;0.373770;0.458131;-0.099043;1.385126;0.311018;0.686157;-0.472065;0.360066;0.420352;-0.100771;1.324076;0.304659;0.675516;-0.491056;0.375445;0.401974;-0.094762;1.426961;0.324002;0.714424;-0.416152;0.392207;0.403226;-0.087413;1.477014;0.341775;0.668347;-0.451359;0.373770;0.458131;-0.106095;1.337896;0.299782;0.675516;-0.491056;0.375445;0.401974;-0.057986;1.372028;0.357101;0.697064;0.220705;0.674454;0.102485;-0.105560;1.358760;0.344874;0.750856;-0.073959;0.598912;0.268422;-0.109724;1.318398;0.321547;0.632388;-0.328848;0.377669;0.591025;-0.078482;1.372385;0.353431;0.748895;0.149068;0.624243;0.165096;-0.035625;1.369430;0.357269;0.697064;0.220705;0.674454;0.102485;2023/05/02 14:07:40.9226;-0.060136;1.413571;0.357069;0.773305;0.031439;0.596467;0.212694;-0.103889;1.374019;0.328563;0.769496;-0.256489;0.462264;0.358333;-0.109584;1.321203;0.313050;0.675516;-0.491056;0.375445;0.401974;-0.082794;1.403047;0.346197;0.791224;-0.057325;0.545168;0.271054;-0.037327;1.420086;0.364953;0.773305;0.031439;0.596467;0.212694;098488ab-54a2-432e-8612-2a6918f976ff;-0.042439;1.360207;0.338449;0.773710;-0.247028;-0.006740;-0.583356;-0.077221;1.326641;0.293559;0.660536;-0.473212;0.131814;-0.567792;-0.053503;1.342490;0.310806;0.803334;-0.317942;-0.000529;-0.503555;-0.034701;1.370869;0.359983;0.773710;-0.247028;-0.006740;-0.583356;33;-0.113147;1.290666;0.288547;0.675516;-0.491056;0.375445;0.401974
NA;33194;4;-0.019899;1.512334;0.041169;0.995260;0.083757;-0.009130;0.048572;-0.066159;1.448863;0.303684;0.679303;-0.475180;0.410169;0.380150;-0.086094;1.389473;0.291619;0.700427;-0.473248;0.431155;0.315507;-0.089888;1.329239;0.291345;0.672919;-0.494974;0.375954;0.401047;-0.074220;1.425832;0.298629;0.701437;-0.450007;0.442794;0.330777;-0.062732;1.471049;0.308471;0.679303;-0.475180;0.410169;0.380150;-0.089039;1.454091;0.332128;0.665959;-0.455113;0.374739;0.457102;-0.099449;1.386298;0.309958;0.683651;-0.475944;0.360779;0.419448;-0.100968;1.325189;0.304144;0.672919;-0.494974;0.375954;0.401047;-0.095310;1.428260;0.322574;0.712311;-0.420030;0.393001;0.402167;-0.088116;1.478487;0.339914;0.665959;-0.455113;0.374739;0.457102;-0.106330;1.338947;0.299136;0.672919;-0.494974;0.375954;0.401047;-0.058423;1.373776;0.356200;0.698346;0.216251;0.674894;0.100340;-0.105928;1.360215;0.344040;0.750415;-0.079000;0.599539;0.266813;-0.109927;1.319632;0.321069;0.630209;-0.332713;0.379321;0.590131;-0.078915;1.374026;0.352501;0.749743;0.144206;0.624809;0.163415;-0.036054;1.371246;0.356418;0.698346;0.216251;0.674894;0.100340;2023/05/02 14:07:40.9333;-0.060686;1.415265;0.355772;0.773438;0.027753;0.597283;0.210421;-0.104283;1.375333;0.327596;0.767956;-0.261249;0.462969;0.357286;-0.109784;1.322361;0.312548;0.672919;-0.494974;0.375954;0.401047;-0.083317;1.404603;0.344980;0.790908;-0.061485;0.546056;0.269272;-0.037885;1.421869;0.363606;0.773438;0.027753;0.597283;0.210421;098488ab-54a2-432e-8612-2a6918f976ff;-0.042833;1.361754;0.337740;0.773764;-0.248828;-0.010745;-0.582459;-0.077411;1.327731;0.293055;0.659369;-0.475755;0.128262;-0.567837;-0.053762;1.343789;0.310203;0.802876;-0.320303;-0.004145;-0.502772;-0.035210;1.372602;0.359221;0.773764;-0.248828;-0.010745;-0.582459;44;-0.113212;1.291595;0.288314;0.672919;-0.494974;0.375954;0.401047
NA;33195;5;-0.019988;1.512513;0.041361;0.995286;0.083305;-0.009668;0.048709;-0.066648;1.449963;0.302286;0.677609;-0.478149;0.410578;0.379006;-0.086479;1.390464;0.290597;0.698862;-0.476178;0.431380;0.314258;-0.090078;1.330217;0.290826;0.670408;-0.498638;0.376440;0.400257;-0.074670;1.426888;0.297376;0.699991;-0.452894;0.443119;0.329462;-0.063267;1.472188;0.306925;0.677609;-0.478149;0.410578;0.379006;-0.089650;1.455402;0.330560;0.663676;-0.458570;0.375691;0.456185;-0.099845;1.387400;0.308947;0.681195;-0.479615;0.361432;0.418700;-0.101160;1.326239;0.303645;0.670408;-0.498638;0.376440;0.400257;-0.095850;1.429479;0.321212;0.710283;-0.423613;0.393790;0.401222;-0.088799;1.479864;0.338146;0.663676;-0.458570;0.375691;0.456185;-0.106561;1.339937;0.298515;0.670408;-0.498638;0.376440;0.400257;-0.058847;1.375448;0.355332;0.699554;0.211698;0.675352;0.098537;-0.106281;1.361583;0.343239;0.749893;-0.083929;0.600138;0.265425;-0.110122;1.320795;0.320605;0.628077;-0.336316;0.380888;0.589351;-0.079335;1.375582;0.351604;0.750498;0.139313;0.625370;0.162041;-0.036469;1.373000;0.355598;0.699554;0.211698;0.675352;0.098537;2023/05/02 14:07:40.9491;-0.061237;1.416884;0.354526;0.773494;0.024015;0.598057;0.208469;-0.104665;1.376568;0.326670;0.766358;-0.265916;0.463584;0.356475;-0.109977;1.323454;0.312061;0.670408;-0.498638;0.376440;0.400257;-0.083837;1.406078;0.343813;0.790510;-0.065629;0.546886;0.267775;-0.038449;1.423588;0.362311;0.773494;0.024015;0.598057;0.208469;098488ab-54a2-432e-8612-2a6918f976ff;-0.043227;1.363204;0.337062;0.773930;-0.250197;-0.014619;-0.581567;-0.077599;1.328764;0.292564;0.658290;-0.478123;0.124969;-0.567833;-0.054014;1.345016;0.309616;0.802536;-0.322282;-0.007627;-0.502008;-0.035727;1.374220;0.358502;0.773930;-0.250197;-0.014619;-0.581567;60;-0.113277;1.292474;0.288083;0.670408;-0.498638;0.376440;0.400257
NA;33196;6;-0.020095;1.512588;0.041483;0.995287;0.083188;-0.009994;0.048820;-0.066491;1.449653;0.302946;0.677351;-0.475661;0.411249;0.381860;-0.086314;1.390188;0.291072;0.698625;-0.473774;0.432308;0.317131;-0.089861;1.329941;0.290979;0.670506;-0.495843;0.377069;0.402966;-0.074510;1.426592;0.297967;0.699613;-0.450511;0.443997;0.332337;-0.063113;1.471860;0.307675;0.677351;-0.475661;0.411249;0.381860;-0.089252;1.454879;0.331464;0.663982;-0.455216;0.376123;0.458735;-0.099573;1.387014;0.309482;0.681614;-0.476286;0.362066;0.421263;-0.100864;1.325884;0.303841;0.670506;-0.495843;0.377069;0.402966;-0.095511;1.429016;0.321987;0.710498;-0.420137;0.394628;0.403665;-0.088361;1.479292;0.339197;0.663982;-0.455216;0.376123;0.458735;-0.106310;1.339602;0.298833;0.670506;-0.495843;0.377069;0.402966;-0.058288;1.374781;0.355535;0.696641;0.214817;0.677312;0.098963;-0.105792;1.361008;0.343671;0.748290;-0.081273;0.601642;0.267365;-0.109729;1.320339;0.320840;0.627647;-0.333098;0.380954;0.591590;-0.078801;1.374972;0.351950;0.748077;0.142565;0.627365;0.162696;-0.035914;1.372283;0.355628;0.696641;0.214817;0.677312;0.098963;2023/05/02 14:07:40.9573;-0.060549;1.416050;0.354965;0.771480;0.030382;0.600615;0.207741;-0.104283;1.376083;0.327174;0.765915;-0.262106;0.465160;0.358191;-0.109635;1.323043;0.312310;0.670506;-0.495843;0.377069;0.402966;-0.083301;1.405459;0.344360;0.789267;-0.059934;0.549352;0.267727;-0.037640;1.422514;0.362596;0.771480;0.030382;0.600615;0.207741;098488ab-54a2-432e-8612-2a6918f976ff;-0.042657;1.362780;0.336995;0.774736;-0.250984;-0.010388;-0.580245;-0.077368;1.328492;0.292619;0.659262;-0.478687;0.128427;-0.565454;-0.053677;1.344690;0.309577;0.803302;-0.322983;-0.003209;-0.500378;-0.034991;1.373714;0.358418;0.774736;-0.250984;-0.010388;-0.580245;68;-0.113047;1.292191;0.288184;0.670506;-0.495843;0.377069;0.402966
NA;33197;7;-0.020186;1.512553;0.041588;0.995262;0.083447;-0.010272;0.048829;-0.066385;1.449407;0.303490;0.676959;-0.473532;0.411864;0.384528;-0.086185;1.389964;0.291468;0.698267;-0.471721;0.433155;0.319812;-0.089673;1.329718;0.291092;0.670469;-0.493384;0.377664;0.405479;-0.074395;1.426355;0.298456;0.699131;-0.448475;0.444805;0.335015;-0.063017;1.471599;0.308296;0.676959;-0.473532;0.411864;0.384528;-0.088913;1.454433;0.332239;0.664184;-0.452178;0.376548;0.461093;-0.099343;1.386692;0.309932;0.681897;-0.473305;0.362653;0.423653;-0.100602;1.325590;0.303993;0.670469;-0.493384;0.377664;0.405479;-0.095226;1.428625;0.322649;0.710624;-0.416983;0.395434;0.405919;-0.087987;1.478803;0.340104;0.664184;-0.452178;0.376548;0.461093;-0.106092;1.339324;0.299097;0.670469;-0.493384;0.377664;0.405479;-0.057792;1.374223;0.355678;0.693937;0.217544;0.679167;0.099287;-0.105356;1.360520;0.344032;0.746749;-0.079010;0.603061;0.269148;-0.109376;1.319955;0.321032;0.627130;-0.330242;0.381072;0.593659;-0.078327;1.374461;0.352225;0.745813;0.145419;0.629260;0.163242;-0.035424;1.371681;0.355609;0.693937;0.217544;0.679167;0.099287;2023/05/02 14:07:40.9680;-0.059931;1.415319;0.355308;0.769534;0.036393;0.603086;0.206835;-0.103949;1.375673;0.327597;0.765425;-0.258693;0.466667;0.359756;-0.109330;1.322699;0.312514;0.670469;-0.493384;0.377664;0.405479;-0.082828;1.404932;0.344813;0.788056;-0.054603;0.551748;0.267507;-0.036907;1.421552;0.362785;0.769534;0.036393;0.603086;0.206835;098488ab-54a2-432e-8612-2a6918f976ff;-0.042141;1.362451;0.336878;0.775494;-0.251900;-0.006557;-0.578889;-0.077168;1.328277;0.292639;0.660116;-0.479386;0.131520;-0.563151;-0.053381;1.344437;0.309499;0.803978;-0.323865;0.000845;-0.498729;-0.034322;1.373321;0.358278;0.775494;-0.251900;-0.006557;-0.578889;79;-0.112841;1.291956;0.288262;0.670469;-0.493384;0.377664;0.405479
NA;33198;8;-0.020272;1.512465;0.041668;0.995247;0.083987;-0.010360;0.048189;-0.064955;1.449344;0.301971;0.677241;-0.473983;0.415142;0.379924;-0.085292;1.390006;0.290334;0.698260;-0.472134;0.436198;0.315044;-0.089278;1.329784;0.290420;0.670438;-0.494339;0.380979;0.401243;-0.073172;1.426332;0.297086;0.699258;-0.448868;0.447781;0.330226;-0.061385;1.471536;0.306630;0.677241;-0.473983;0.415142;0.379924;-0.087486;1.454800;0.330579;0.664542;-0.453013;0.380423;0.456554;-0.098485;1.386974;0.308815;0.681815;-0.474584;0.366244;0.419241;-0.100250;1.325840;0.303343;0.670438;-0.494339;0.380979;0.401243;-0.094018;1.428973;0.321194;0.710743;-0.418164;0.398754;0.401222;-0.086334;1.479221;0.338255;0.664542;-0.453013;0.380423;0.456554;-0.105617;1.339586;0.298317;0.670438;-0.494339;0.380979;0.401243;-0.057075;1.374556;0.354675;0.695322;0.217467;0.678543;0.093890;-0.104728;1.361099;0.343098;0.747620;-0.079899;0.604134;0.264012;-0.109070;1.320404;0.320389;0.628460;-0.331076;0.384406;0.589626;-0.077605;1.374909;0.351202;0.747232;0.144522;0.629072;0.158199;-0.034727;1.371837;0.354636;0.695322;0.217467;0.678543;0.093890;2023/05/02 14:07:40.9787;-0.059017;1.415806;0.354013;0.770736;0.033348;0.602978;0.203152;-0.103189;1.376121;0.326556;0.765681;-0.260731;0.468385;0.355482;-0.108998;1.323086;0.311852;0.670438;-0.494339;0.380979;0.401243;-0.081923;1.405399;0.343559;0.788870;-0.057545;0.552122;0.263694;-0.035997;1.422050;0.361493;0.770736;0.033348;0.602978;0.203152;098488ab-54a2-432e-8612-2a6918f976ff;-0.041629;1.362317;0.336202;0.772237;-0.252554;-0.008470;-0.582920;-0.076790;1.328247;0.292013;0.656306;-0.479754;0.131209;-0.567347;-0.052902;1.344276;0.308855;0.800987;-0.324581;-0.000741;-0.503058;-0.033802;1.373219;0.357583;0.772237;-0.252554;-0.008470;-0.582920;89;-0.112750;1.292199;0.287820;0.670438;-0.494339;0.380979;0.401243
NA;33199;9;-0.020296;1.512299;0.041688;0.995247;0.084500;-0.010124;0.047333;-0.066023;1.449962;0.302450;0.676788;-0.472509;0.414336;0.383430;-0.086099;1.390577;0.290598;0.697686;-0.471125;0.435422;0.318879;-0.089661;1.330330;0.290525;0.668980;-0.493919;0.379985;0.405118;-0.074156;1.426939;0.297477;0.698840;-0.447432;0.447240;0.333773;-0.062539;1.472146;0.307209;0.676788;-0.472509;0.414336;0.383430;-0.088537;1.455233;0.331030;0.663150;-0.451988;0.379960;0.459966;-0.099197;1.387400;0.309122;0.680306;-0.474022;0.365503;0.422960;-0.100554;1.326271;0.303480;0.668980;-0.493919;0.379985;0.405118;-0.094958;1.429394;0.321596;0.709320;-0.417421;0.398447;0.404803;-0.087484;1.479635;0.338777;0.663150;-0.451988;0.379960;0.459966;-0.106038;1.339994;0.298516;0.668980;-0.493919;0.379985;0.405118;-0.057497;1.375046;0.354722;0.692744;0.218150;0.680831;0.094796;-0.105123;1.361384;0.343355;0.745562;-0.080368;0.605267;0.267077;-0.109269;1.320724;0.320546;0.626099;-0.330358;0.383633;0.593034;-0.078048;1.375341;0.351368;0.744967;0.144963;0.631236;0.159850;-0.035145;1.372368;0.354532;0.692744;0.218150;0.680831;0.094796;2023/05/02 14:07:40.9900;-0.059819;1.416488;0.354243;0.768868;0.030480;0.603897;0.207898;-0.103755;1.376464;0.326851;0.763708;-0.261011;0.468436;0.359432;-0.109249;1.323431;0.312016;0.668980;-0.493919;0.379985;0.405118;-0.082650;1.405867;0.343838;0.786798;-0.059343;0.552746;0.268142;-0.036857;1.422990;0.361680;0.768868;0.030480;0.603897;0.207898;098488ab-54a2-432e-8612-2a6918f976ff;-0.042052;1.363074;0.336202;0.774795;-0.252305;-0.007230;-0.579640;-0.077156;1.328876;0.292064;0.658715;-0.480446;0.131634;-0.563860;-0.053314;1.345027;0.308854;0.803186;-0.324560;0.000495;-0.499552;-0.034235;1.373968;0.357590;0.774795;-0.252305;-0.007230;-0.579640;100;-0.112879;1.292588;0.287911;0.668980;-0.493919;0.379985;0.405118
NA;33200;10;-0.020305;1.512083;0.041686;0.995215;0.085174;-0.009641;0.046912;-0.067015;1.450545;0.302868;0.676379;-0.471055;0.413646;0.386673;-0.086857;1.391123;0.290815;0.697130;-0.470146;0.434737;0.322455;-0.090021;1.330854;0.290601;0.667534;-0.493567;0.379110;0.408738;-0.075077;1.427515;0.297812;0.698465;-0.445998;0.446805;0.337043;-0.063606;1.472720;0.307722;0.676379;-0.471055;0.413646;0.386673;-0.089516;1.455652;0.331412;0.661809;-0.451009;0.379630;0.463120;-0.099863;1.387813;0.309380;0.678818;-0.473533;0.364871;0.426429;-0.100837;1.326691;0.303587;0.667534;-0.493567;0.379110;0.408738;-0.095836;1.429804;0.321936;0.707940;-0.416726;0.398248;0.408117;-0.088551;1.480038;0.339222;0.661809;-0.451009;0.379630;0.463120;-0.106431;1.340389;0.298681;0.667534;-0.493567;0.379110;0.408738;-0.057886;1.375520;0.354727;0.690249;0.218896;0.683042;0.095366;-0.105487;1.361673;0.343570;0.743582;-0.080860;0.606409;0.269842;-0.109451;1.321044;0.320674;0.623820;-0.329716;0.382981;0.596205;-0.078456;1.375769;0.351490;0.742791;0.145438;0.633353;0.161165;-0.035533;1.372870;0.354388;0.690249;0.218896;0.683042;0.095366;2023/05/02 14:07:41.0007;-0.060573;1.417155;0.354420;0.767077;0.027566;0.604751;0.212389;-0.104281;1.376803;0.327098;0.761787;-0.261355;0.468539;0.363106;-0.109481;1.323772;0.312151;0.667534;-0.493567;0.379110;0.408738;-0.083328;1.406328;0.344064;0.784798;-0.061180;0.553349;0.272312;-0.037670;1.423909;0.361816;0.767077;0.027566;0.604751;0.212389;098488ab-54a2-432e-8612-2a6918f976ff;-0.042443;1.363811;0.336161;0.777184;-0.252188;-0.006104;-0.576497;-0.077500;1.329479;0.292087;0.660910;-0.481228;0.132002;-0.560529;-0.053701;1.345751;0.308821;0.805202;-0.324711;0.001669;-0.496195;-0.034634;1.374704;0.357553;0.777184;-0.252188;-0.006104;-0.576497;111;-0.112999;1.292965;0.287982;0.667534;-0.493567;0.379110;0.408738
