Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;82356;1;0.011548;1.521889;0.049881;0.998117;0.039243;-0.015213;0.044621;-0.071386;1.521842;0.415337;0.524890;-0.308974;0.537525;0.583174;-0.088098;1.461017;0.405818;0.538747;-0.334510;0.560499;0.532631;-0.074307;1.405104;0.388696;0.483871;-0.359930;0.416817;0.680134;-0.078470;1.498251;0.411569;0.534450;-0.306527;0.574831;0.538492;-0.067625;1.543704;0.421237;0.524890;-0.308974;0.537525;0.583174;-0.024002;1.483470;0.421868;0.561093;0.191063;0.774451;0.221124;-0.086656;1.451773;0.426729;0.596180;-0.023827;0.696895;0.397919;-0.073524;1.396365;0.403563;0.483871;-0.359930;0.416817;0.680134;-0.050919;1.477434;0.427941;0.581598;0.124381;0.769439;0.232887;0.000556;1.487543;0.415789;0.561093;0.191063;0.774451;0.221124;-0.083436;1.406337;0.408513;0.483871;-0.359930;0.416817;0.680134;-0.032731;1.416535;0.419187;0.092039;0.530413;0.718588;-0.440253;-0.063853;1.423716;0.450743;0.445025;0.184846;0.850669;0.210114;-0.067545;1.386211;0.422987;0.392683;-0.157819;0.422562;0.801458;-0.037559;1.429793;0.434503;0.277107;0.460468;0.809750;-0.235553;-0.039310;1.400353;0.404986;0.092039;0.530413;0.718588;-0.440253;2023/05/02 14:16:48.7024;-0.033931;1.426938;0.409314;0.101468;0.583757;0.638119;-0.491668;-0.076761;1.438955;0.440601;0.535297;0.172451;0.794269;0.229901;-0.073190;1.389167;0.416703;0.483871;-0.359930;0.416817;0.680134;-0.039592;1.446175;0.427759;0.301292;0.487534;0.775121;-0.265936;-0.043547;1.407891;0.396291;0.101468;0.583757;0.638119;-0.491668;098488ab-54a2-432e-8612-2a6918f976ff;-0.050211;1.471074;0.399152;0.828398;-0.533301;0.163646;-0.050653;-0.065244;1.409261;0.380886;0.722625;-0.676584;0.140670;-0.016133;-0.057739;1.441705;0.382382;0.860183;-0.484644;0.152043;0.045697;-0.042756;1.493559;0.407874;0.828398;-0.533301;0.163646;-0.050653;11;-0.080216;1.360900;0.390298;0.483871;-0.359930;0.416817;0.680134
NA;82357;2;0.011730;1.521476;0.049557;0.998173;0.037198;-0.015400;0.045054;-0.071152;1.522081;0.415311;0.526099;-0.309214;0.537066;0.582381;-0.087904;1.461278;0.405726;0.539832;-0.334873;0.559816;0.532022;-0.074144;1.405352;0.388619;0.484943;-0.360480;0.416299;0.679397;-0.078257;1.498500;0.411517;0.535607;-0.306798;0.574234;0.537825;-0.067369;1.543936;0.421224;0.526099;-0.309214;0.537066;0.582381;-0.023862;1.483769;0.422045;0.562553;0.189984;0.773090;0.223099;-0.086530;1.452025;0.426637;0.597365;-0.024142;0.695707;0.398201;-0.073412;1.396607;0.403486;0.484943;-0.360480;0.416299;0.679397;-0.050794;1.477680;0.427994;0.582945;0.123737;0.768113;0.234237;0.000715;1.487921;0.416097;0.562553;0.189984;0.773090;0.223099;-0.083323;1.406590;0.408415;0.484943;-0.360480;0.416299;0.679397;-0.032630;1.416711;0.419225;0.092755;0.531462;0.718270;-0.439356;-0.063829;1.423929;0.450703;0.446256;0.185246;0.849941;0.210094;-0.067497;1.386438;0.422924;0.393811;-0.158542;0.422009;0.801053;-0.037484;1.429970;0.434532;0.278017;0.461336;0.809120;-0.234948;-0.039184;1.400542;0.404997;0.092755;0.531462;0.718270;-0.439356;2023/05/02 14:16:48.7131;-0.033805;1.427131;0.409355;0.101586;0.584938;0.637517;-0.491020;-0.076689;1.439188;0.440532;0.536469;0.172825;0.793357;0.230040;-0.073121;1.389404;0.416627;0.484943;-0.360480;0.416299;0.679397;-0.039477;1.446368;0.427795;0.301880;0.488583;0.774401;-0.265440;-0.043429;1.408106;0.396305;0.101586;0.584938;0.637517;-0.491020;098488ab-54a2-432e-8612-2a6918f976ff;-0.049967;1.471269;0.399172;0.829244;-0.532015;0.163092;-0.052111;-0.065057;1.409499;0.380832;0.722824;-0.676413;0.140299;-0.017520;-0.057506;1.441932;0.382351;0.860680;-0.484104;0.151356;0.044336;-0.042488;1.493716;0.407971;0.829244;-0.532015;0.163092;-0.052111;22;-0.080115;1.361156;0.390193;0.484943;-0.360480;0.416299;0.679397
NA;82358;3;0.011819;1.521972;0.049719;0.998201;0.034627;-0.015972;0.046279;-0.070934;1.522294;0.415276;0.527212;-0.309473;0.536643;0.581625;-0.087723;1.461510;0.405633;0.540836;-0.335238;0.559193;0.531427;-0.073995;1.405570;0.388545;0.485950;-0.361002;0.415847;0.678676;-0.078057;1.498722;0.411459;0.536677;-0.307080;0.573689;0.537179;-0.067131;1.544142;0.421200;0.527212;-0.309473;0.536643;0.581625;-0.023734;1.484047;0.422210;0.563953;0.188858;0.771772;0.225072;-0.086413;1.452251;0.426545;0.598480;-0.024466;0.694574;0.398484;-0.073311;1.396821;0.403411;0.485950;-0.361002;0.415847;0.678676;-0.050681;1.477903;0.428039;0.584229;0.123058;0.766834;0.235582;0.000859;1.488279;0.416391;0.563953;0.188858;0.771772;0.225072;-0.083219;1.406816;0.408321;0.485950;-0.361002;0.415847;0.678676;-0.032539;1.416859;0.419256;0.093436;0.532460;0.717916;-0.438581;-0.063809;1.424119;0.450662;0.447417;0.185629;0.849274;0.209984;-0.067457;1.386640;0.422865;0.394881;-0.159224;0.421526;0.800645;-0.037417;1.430122;0.434552;0.278889;0.462152;0.808500;-0.234447;-0.039071;1.400701;0.405006;0.093436;0.532460;0.717916;-0.438581;2023/05/02 14:16:48.7244;-0.033692;1.427296;0.409389;0.101653;0.586070;0.636886;-0.490474;-0.076624;1.439398;0.440461;0.537573;0.173188;0.792502;0.230135;-0.073061;1.389614;0.416554;0.485950;-0.361002;0.415847;0.678676;-0.039370;1.446537;0.427823;0.302405;0.489597;0.773693;-0.265039;-0.043328;1.408294;0.396315;0.101653;0.586070;0.636886;-0.490474;098488ab-54a2-432e-8612-2a6918f976ff;-0.049733;1.471434;0.399185;0.830078;-0.530719;0.162605;-0.053548;-0.064886;1.409708;0.380780;0.722978;-0.676277;0.139990;-0.018864;-0.057288;1.442129;0.382317;0.861155;-0.483570;0.150743;0.042993;-0.042229;1.493843;0.408062;0.830078;-0.530719;0.162605;-0.053548;33;-0.080025;1.361381;0.390096;0.485950;-0.361002;0.415847;0.678676
NA;82359;4;0.011902;1.522413;0.049883;0.998186;0.032692;-0.016662;0.047725;-0.070472;1.522778;0.413862;0.526228;-0.312240;0.538181;0.579613;-0.087200;1.461911;0.404650;0.539859;-0.337916;0.560636;0.529200;-0.073441;1.405855;0.387975;0.484916;-0.363307;0.417842;0.676959;-0.077569;1.499173;0.410211;0.535791;-0.309798;0.575120;0.534968;-0.066702;1.544675;0.419630;0.526228;-0.312240;0.538181;0.579613;-0.023262;1.484646;0.421213;0.565353;0.185874;0.771913;0.223556;-0.085922;1.452801;0.425630;0.598883;-0.027133;0.695352;0.396343;-0.072776;1.397213;0.402903;0.484916;-0.363307;0.417842;0.676959;-0.050212;1.478491;0.427017;0.585334;0.120211;0.766992;0.233787;0.001337;1.488899;0.415435;0.565353;0.185874;0.771913;0.223556;-0.082690;1.407239;0.407735;0.484916;-0.363307;0.417842;0.676959;-0.032001;1.417402;0.418667;0.096168;0.532287;0.716872;-0.439906;-0.063350;1.424848;0.449982;0.448655;0.183997;0.849615;0.207385;-0.066946;1.387170;0.422447;0.394558;-0.161302;0.424048;0.799055;-0.036934;1.430747;0.433874;0.281381;0.461136;0.807752;-0.236041;-0.038476;1.401153;0.404494;0.096168;0.532287;0.716872;-0.439906;2023/05/02 14:16:48.7357;-0.033181;1.427734;0.408738;0.103750;0.586172;0.634588;-0.492887;-0.076152;1.440050;0.439653;0.538790;0.170988;0.792903;0.227536;-0.072541;1.390098;0.416106;0.484916;-0.363307;0.417842;0.676959;-0.038879;1.447110;0.427024;0.304650;0.488729;0.772486;-0.267580;-0.042837;1.408643;0.395808;0.103750;0.586172;0.634588;-0.492887;098488ab-54a2-432e-8612-2a6918f976ff;-0.049147;1.471766;0.398178;0.828455;-0.533230;0.162245;-0.054813;-0.064328;1.409940;0.380187;0.720396;-0.679048;0.139742;-0.019916;-0.056715;1.442368;0.381478;0.859799;-0.486121;0.150629;0.041761;-0.041629;1.494223;0.406921;0.828455;-0.533230;0.162245;-0.054813;44;-0.079458;1.361676;0.389840;0.484916;-0.363307;0.417842;0.676959
NA;82360;5;0.012014;1.522447;0.050289;0.998164;0.031493;-0.017461;0.048709;-0.070037;1.523216;0.412542;0.525298;-0.314870;0.539573;0.577737;-0.086710;1.462274;0.403734;0.538958;-0.340429;0.561974;0.527085;-0.072927;1.406111;0.387444;0.483984;-0.365450;0.419693;0.675325;-0.077110;1.499581;0.409046;0.534966;-0.312362;0.576433;0.532885;-0.066300;1.545157;0.418163;0.525298;-0.314870;0.539573;0.577737;-0.022820;1.485193;0.420289;0.566680;0.183076;0.772002;0.222196;-0.085463;1.453304;0.424776;0.599283;-0.029602;0.696043;0.394345;-0.072281;1.397569;0.402429;0.483984;-0.365450;0.419693;0.675325;-0.049773;1.479026;0.426066;0.586386;0.117553;0.767098;0.232151;0.001786;1.489467;0.414552;0.566680;0.183076;0.772002;0.222196;-0.082198;1.407624;0.407188;0.483984;-0.365450;0.419693;0.675325;-0.031498;1.417897;0.418118;0.098729;0.532146;0.715921;-0.441056;-0.062924;1.425515;0.449346;0.449825;0.182527;0.849900;0.204969;-0.066474;1.387656;0.422057;0.394293;-0.163239;0.426385;0.797548;-0.036485;1.431317;0.433242;0.283731;0.460206;0.807053;-0.237430;-0.037918;1.401567;0.404014;0.098729;0.532146;0.715921;-0.441056;2023/05/02 14:16:48.7469;-0.032708;1.428128;0.408133;0.105631;0.586319;0.632346;-0.495187;-0.075712;1.440647;0.438898;0.539946;0.168962;0.793247;0.225099;-0.072060;1.390540;0.415688;0.483984;-0.365450;0.419693;0.675325;-0.038421;1.447631;0.426280;0.306728;0.487964;0.771315;-0.269969;-0.042387;1.408957;0.395341;0.105631;0.586319;0.632346;-0.495187;098488ab-54a2-432e-8612-2a6918f976ff;-0.048589;1.472058;0.397240;0.826945;-0.535521;0.161967;-0.056087;-0.063810;1.410146;0.379634;0.717957;-0.681630;0.139572;-0.020965;-0.056176;1.442578;0.380694;0.858567;-0.488418;0.150567;0.040509;-0.041053;1.494556;0.405860;0.826945;-0.535521;0.161967;-0.056087;55;-0.078934;1.361944;0.389600;0.483984;-0.365450;0.419693;0.675325
NA;82361;6;0.012082;1.522735;0.050090;0.998118;0.031639;-0.018041;0.049333;-0.069636;1.523372;0.412296;0.523808;-0.313754;0.541024;0.578340;-0.086293;1.462409;0.403603;0.537256;-0.339712;0.563139;0.528041;-0.072506;1.406256;0.387282;0.482364;-0.364452;0.420756;0.676362;-0.076714;1.499730;0.408851;0.533359;-0.311430;0.577818;0.533542;-0.065878;1.545317;0.417882;0.523808;-0.313754;0.541024;0.578340;-0.022385;1.485530;0.419905;0.565154;0.181368;0.773108;0.223631;-0.084937;1.453457;0.424646;0.597386;-0.029665;0.697418;0.394789;-0.071775;1.397727;0.402270;0.482364;-0.364452;0.420756;0.676362;-0.049294;1.479253;0.425767;0.584694;0.116360;0.768258;0.233182;0.002184;1.489937;0.414113;0.565154;0.181368;0.773108;0.223631;-0.081679;1.407769;0.407079;0.482364;-0.364452;0.420756;0.676362;-0.030932;1.418163;0.417769;0.097804;0.530492;0.716846;-0.441752;-0.062244;1.425723;0.449137;0.447790;0.182279;0.851033;0.204943;-0.065857;1.387837;0.421893;0.392641;-0.161938;0.427453;0.798056;-0.035885;1.431568;0.432917;0.282288;0.458926;0.808131;-0.237960;-0.037365;1.401824;0.403681;0.097804;0.530492;0.716846;-0.441752;2023/05/02 14:16:48.7581;-0.032219;1.428346;0.407786;0.104860;0.584660;0.632823;-0.496701;-0.075103;1.440827;0.438734;0.538053;0.168618;0.794698;0.224771;-0.071475;1.390708;0.415547;0.482364;-0.364452;0.420756;0.676362;-0.037880;1.447856;0.425941;0.305415;0.486617;0.772262;-0.271177;-0.041925;1.409149;0.395054;0.104860;0.584660;0.632823;-0.496701;098488ab-54a2-432e-8612-2a6918f976ff;-0.048317;1.472286;0.396848;0.826307;-0.536350;0.163363;-0.053460;-0.063441;1.410300;0.379415;0.717134;-0.682391;0.140480;-0.018082;-0.055902;1.442756;0.380389;0.857708;-0.489199;0.152201;0.043088;-0.040802;1.494816;0.405403;0.826307;-0.536350;0.163363;-0.053460;66;-0.078421;1.362080;0.389512;0.482364;-0.364452;0.420756;0.676362
NA;82362;7;0.012176;1.522548;0.050062;0.998066;0.032761;-0.018542;0.049464;-0.069337;1.523656;0.413011;0.526034;-0.313654;0.539854;0.577467;-0.086065;1.462743;0.404112;0.539287;-0.339820;0.561633;0.527504;-0.072267;1.406614;0.387716;0.484153;-0.365094;0.419049;0.675796;-0.076451;1.500037;0.409486;0.535485;-0.311387;0.576448;0.532918;-0.065539;1.545580;0.418654;0.526034;-0.313654;0.539854;0.577467;-0.022259;1.485926;0.420857;0.567241;0.179847;0.770892;0.227199;-0.084813;1.453737;0.425139;0.599169;-0.030006;0.695317;0.395766;-0.071615;1.398046;0.402686;0.484153;-0.365094;0.419049;0.675796;-0.049186;1.479542;0.426515;0.586686;0.115428;0.766043;0.235910;0.002333;1.490470;0.415273;0.567241;0.179847;0.770892;0.227199;-0.081531;1.408089;0.407471;0.484153;-0.365094;0.419049;0.675796;-0.030801;1.418427;0.418439;0.098637;0.531886;0.716803;-0.439958;-0.062262;1.425914;0.449659;0.449778;0.182295;0.849602;0.206506;-0.065798;1.388101;0.422304;0.394262;-0.162959;0.425672;0.798001;-0.035818;1.431802;0.433592;0.283630;0.460025;0.807590;-0.236069;-0.037188;1.402121;0.404291;0.098637;0.531886;0.716803;-0.439958;2023/05/02 14:16:48.7688;-0.032070;1.428622;0.408475;0.104767;0.586375;0.632276;-0.495395;-0.075056;1.441060;0.439237;0.539840;0.168913;0.793047;0.226092;-0.071385;1.390995;0.415941;0.484153;-0.365094;0.419049;0.675796;-0.037769;1.448106;0.426647;0.306211;0.488119;0.771505;-0.269731;-0.041785;1.409470;0.395682;0.104767;0.586375;0.632276;-0.495395;098488ab-54a2-432e-8612-2a6918f976ff;-0.047921;1.472532;0.397619;0.828487;-0.533031;0.162302;-0.056089;-0.063158;1.410667;0.379905;0.718317;-0.681218;0.139773;-0.020638;-0.055527;1.443098;0.380999;0.859186;-0.487249;0.150790;0.040629;-0.040365;1.494972;0.406371;0.828487;-0.533031;0.162302;-0.056089;77;-0.078249;1.362441;0.389804;0.484153;-0.365094;0.419049;0.675796
NA;82363;8;0.012295;1.522304;0.049977;0.998016;0.033829;-0.019090;0.049545;-0.069046;1.523924;0.413637;0.528100;-0.313595;0.538853;0.576546;-0.085843;1.463057;0.404560;0.541155;-0.339975;0.560297;0.526912;-0.072035;1.406947;0.388107;0.485798;-0.365737;0.417522;0.675213;-0.076194;1.500326;0.410042;0.537448;-0.311397;0.575240;0.532241;-0.065208;1.545829;0.419327;0.528100;-0.313595;0.538853;0.576546;-0.022138;1.486311;0.421723;0.569245;0.178205;0.768779;0.230614;-0.084688;1.454004;0.425572;0.600836;-0.030438;0.693358;0.396642;-0.071456;1.398346;0.403061;0.485798;-0.365737;0.417522;0.675213;-0.049080;1.479822;0.427185;0.588586;0.114376;0.763939;0.238501;0.002473;1.490992;0.416339;0.569245;0.178205;0.768779;0.230614;-0.081385;1.408390;0.407820;0.485798;-0.365737;0.417522;0.675213;-0.030670;1.418678;0.419049;0.099484;0.533175;0.716685;-0.438395;-0.062271;1.426103;0.450126;0.451684;0.182201;0.848271;0.207898;-0.065736;1.388352;0.422675;0.395773;-0.163950;0.424086;0.797895;-0.035748;1.432028;0.434204;0.284968;0.461000;0.807053;-0.234390;-0.037015;1.402399;0.404852;0.099484;0.533175;0.716685;-0.438395;2023/05/02 14:16:48.7801;-0.031926;1.428881;0.409102;0.104661;0.587994;0.631622;-0.494331;-0.075005;1.441285;0.439684;0.541544;0.169104;0.791507;0.227269;-0.071293;1.391266;0.416295;0.485798;-0.365737;0.417522;0.675213;-0.037656;1.448347;0.427283;0.306979;0.489515;0.770740;-0.268514;-0.041656;1.409771;0.396258;0.104661;0.587994;0.631622;-0.494331;098488ab-54a2-432e-8612-2a6918f976ff;-0.047522;1.472750;0.398324;0.830596;-0.529738;0.161355;-0.058760;-0.062883;1.411006;0.380349;0.719363;-0.680151;0.139190;-0.023196;-0.055156;1.443410;0.381550;0.860589;-0.485366;0.149512;0.038121;-0.039919;1.495098;0.407268;0.830596;-0.529738;0.161355;-0.058760;88;-0.078081;1.362777;0.390068;0.485798;-0.365737;0.417522;0.675213
NA;82364;9;0.012413;1.522054;0.049866;0.997996;0.034911;-0.019519;0.049038;-0.069007;1.524197;0.413431;0.527426;-0.312068;0.539764;0.577140;-0.085883;1.463349;0.404370;0.540374;-0.338615;0.561173;0.527655;-0.072093;1.407241;0.387898;0.484670;-0.364938;0.418430;0.675893;-0.076195;1.500609;0.409847;0.536729;-0.309853;0.576271;0.532752;-0.065130;1.546094;0.419124;0.527426;-0.312068;0.539764;0.577140;-0.022087;1.486475;0.421182;0.567435;0.180387;0.770570;0.227377;-0.084649;1.454312;0.425385;0.599501;-0.029797;0.694803;0.396181;-0.071453;1.398651;0.402856;0.484670;-0.364938;0.418430;0.675893;-0.049023;1.480115;0.426825;0.586885;0.116065;0.765779;0.235963;0.002512;1.491004;0.415614;0.567435;0.180387;0.770570;0.227377;-0.081367;1.408689;0.407654;0.484670;-0.364938;0.418430;0.675893;-0.030606;1.419066;0.418726;0.098942;0.531935;0.717137;-0.439285;-0.062125;1.426448;0.449882;0.450390;0.181560;0.849084;0.207947;-0.065651;1.388675;0.422469;0.394653;-0.162913;0.424970;0.798191;-0.035656;1.432419;0.433887;0.284036;0.459971;0.807738;-0.235181;-0.036966;1.402769;0.404556;0.098942;0.531935;0.717137;-0.439285;2023/05/02 14:16:48.7912;-0.031952;1.429235;0.408772;0.103513;0.586966;0.631393;-0.496084;-0.074907;1.441612;0.439472;0.540225;0.168753;0.792499;0.227212;-0.071232;1.391580;0.416106;0.484670;-0.364938;0.418430;0.675893;-0.037606;1.448721;0.426955;0.305651;0.488800;0.771215;-0.269963;-0.041749;1.410112;0.395998;0.103513;0.586966;0.631393;-0.496084;098488ab-54a2-432e-8612-2a6918f976ff;-0.047610;1.473043;0.397997;0.831403;-0.528140;0.162866;-0.057558;-0.062982;1.411303;0.380095;0.718604;-0.680798;0.140241;-0.021325;-0.055296;1.443720;0.381218;0.860573;-0.484816;0.151055;0.039375;-0.039976;1.495354;0.407006;0.831403;-0.528140;0.162866;-0.057558;100;-0.078085;1.363065;0.389923;0.484670;-0.364938;0.418430;0.675893
NA;82365;10;0.012523;1.521829;0.049747;0.997990;0.035571;-0.019839;0.048556;-0.068672;1.524169;0.413031;0.526542;-0.311545;0.540871;0.577194;-0.085593;1.463315;0.404094;0.539446;-0.338147;0.562295;0.527711;-0.071863;1.407182;0.387654;0.483914;-0.364281;0.419585;0.676073;-0.075880;1.500579;0.409498;0.535828;-0.309322;0.577439;0.532703;-0.064776;1.546072;0.418686;0.526542;-0.311545;0.540871;0.577194;-0.021736;1.486395;0.420672;0.566296;0.181334;0.771722;0.225549;-0.084302;1.454306;0.425117;0.598562;-0.029454;0.695895;0.395710;-0.071182;1.398613;0.402621;0.483914;-0.364281;0.419585;0.676073;-0.048663;1.480097;0.426425;0.585791;0.116746;0.766952;0.234531;0.002851;1.490850;0.414993;0.566296;0.181334;0.771722;0.225549;-0.081078;1.408658;0.407437;0.483914;-0.364281;0.419585;0.676073;-0.030278;1.419047;0.418358;0.098327;0.531294;0.716998;-0.440424;-0.061715;1.426469;0.449589;0.449373;0.181580;0.849812;0.207153;-0.065325;1.388661;0.422236;0.394034;-0.162027;0.426061;0.798095;-0.035289;1.432419;0.433516;0.283270;0.459479;0.807973;-0.236259;-0.036675;1.402733;0.404224;0.098327;0.531294;0.716998;-0.440424;2023/05/02 14:16:48.8024;-0.031684;1.429186;0.408395;0.102476;0.586412;0.630664;-0.497878;-0.074523;1.441622;0.439195;0.539258;0.168796;0.793376;0.226415;-0.070924;1.391558;0.415884;0.483914;-0.364281;0.419585;0.676073;-0.037256;1.448707;0.426565;0.304600;0.488485;0.771256;-0.271597;-0.041559;1.410054;0.395694;0.102476;0.586412;0.630664;-0.497878;098488ab-54a2-432e-8612-2a6918f976ff;-0.047331;1.472967;0.397622;0.831550;-0.527529;0.164232;-0.057146;-0.062777;1.411232;0.379816;0.717836;-0.681402;0.141370;-0.020407;-0.055084;1.443651;0.380863;0.860394;-0.484663;0.152452;0.039781;-0.039653;1.495258;0.406645;0.831550;-0.527529;0.164232;-0.057146;111;-0.077854;1.363011;0.389758;0.483914;-0.364281;0.419585;0.676073
