Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;105070;1;0.009810;1.530544;0.072810;0.997868;0.010957;-0.054020;0.034950;-0.041940;1.452187;0.414986;0.838250;0.382059;0.368584;-0.124556;-0.079182;1.431703;0.381189;0.843058;-0.359088;0.363230;0.168444;-0.086155;1.372470;0.388534;0.666570;-0.600998;0.341507;0.279032;-0.060070;1.460006;0.399785;0.896523;0.158626;0.412088;-0.035604;-0.029650;1.436085;0.425784;0.838250;0.382059;0.368584;-0.124556;-0.055338;1.457901;0.429929;0.791830;0.437466;0.416808;-0.088883;-0.096727;1.432806;0.395877;0.814168;-0.379011;0.378395;0.224272;-0.099633;1.371387;0.399190;0.666570;-0.600998;0.341507;0.279032;-0.077091;1.467438;0.414641;0.877279;0.176307;0.445297;-0.031760;-0.040046;1.438903;0.437789;0.791830;0.437466;0.416808;-0.088883;-0.104166;1.384369;0.393606;0.666570;-0.600998;0.341507;0.279032;-0.081461;1.440840;0.452613;0.728417;0.319222;0.606160;0.008748;-0.113007;1.414814;0.431865;0.763190;-0.352269;0.416116;0.346836;-0.114267;1.370311;0.417425;0.646431;-0.459721;0.366583;0.486211;-0.100698;1.440842;0.444637;0.815786;0.107725;0.544887;0.161207;-0.060953;1.431719;0.454363;0.728417;0.319222;0.606160;0.008748;2023/05/02 14:21:01.8260;-0.066846;1.452969;0.442891;0.745430;0.412960;0.515134;-0.091848;-0.106406;1.425995;0.413614;0.795584;-0.374767;0.382593;0.283228;-0.111896;1.371134;0.408836;0.666570;-0.600998;0.341507;0.279032;-0.090554;1.458502;0.430660;0.849860;0.147343;0.503803;0.047022;-0.048776;1.436236;0.447171;0.745430;0.412960;0.515134;-0.091848;098488ab-54a2-432e-8612-2a6918f976ff;-0.033677;1.419297;0.412203;0.761789;-0.351378;-0.144332;-0.524766;-0.073675;1.370700;0.389792;0.556439;-0.619130;0.041941;-0.552535;-0.049312;1.392123;0.397453;0.702022;-0.534660;-0.035832;-0.469062;-0.029255;1.437307;0.429330;0.761789;-0.351378;-0.144332;-0.524766;11;-0.111604;1.335931;0.391335;0.666570;-0.600998;0.341507;0.279032
NA;105071;2;0.009741;1.530753;0.073011;0.997823;0.009976;-0.054640;0.035570;-0.041427;1.451949;0.415774;0.838515;0.384566;0.364845;-0.126054;-0.078579;1.431763;0.381742;0.844836;-0.358071;0.361684;0.164990;-0.085881;1.372570;0.389088;0.668100;-0.601182;0.341020;0.275549;-0.059410;1.459931;0.400482;0.897440;0.161162;0.408886;-0.037965;-0.029317;1.435738;0.426613;0.838515;0.384566;0.364845;-0.126054;-0.054911;1.457766;0.430590;0.791900;0.440717;0.412851;-0.090647;-0.096206;1.432957;0.396324;0.815817;-0.378802;0.376985;0.220986;-0.099430;1.371557;0.399662;0.668100;-0.601182;0.341020;0.275549;-0.076503;1.467492;0.415196;0.878260;0.178802;0.442173;-0.034251;-0.039831;1.438608;0.438477;0.791900;0.440717;0.412851;-0.090647;-0.103863;1.384555;0.394033;0.668100;-0.601182;0.341020;0.275549;-0.081185;1.440816;0.453114;0.728887;0.323888;0.603151;0.005458;-0.112787;1.415062;0.432223;0.765392;-0.351966;0.415098;0.343493;-0.114174;1.370558;0.417798;0.648569;-0.460460;0.365871;0.483191;-0.100389;1.441015;0.445062;0.817547;0.110655;0.542612;0.157938;-0.060797;1.431437;0.454897;0.728887;0.323888;0.603151;0.005458;2023/05/02 14:21:01.8367;-0.066505;1.452886;0.443469;0.745521;0.416869;0.511421;-0.094164;-0.106024;1.426202;0.414006;0.797330;-0.374836;0.381306;0.279944;-0.111748;1.371365;0.409223;0.668100;-0.601182;0.341020;0.275549;-0.090104;1.458636;0.431127;0.851205;0.149966;0.501011;0.044150;-0.048631;1.435952;0.447783;0.745521;0.416869;0.511421;-0.094164;098488ab-54a2-432e-8612-2a6918f976ff;-0.033409;1.419205;0.413102;0.760281;-0.349944;-0.146457;-0.527317;-0.073419;1.370743;0.390436;0.555326;-0.617402;0.041078;-0.555644;-0.049027;1.392080;0.398244;0.701063;-0.533086;-0.037537;-0.472145;-0.029042;1.437205;0.430253;0.760281;-0.349944;-0.146457;-0.527317;22;-0.111520;1.336153;0.391741;0.668100;-0.601182;0.341020;0.275549
NA;105072;3;0.009667;1.530902;0.073235;0.997779;0.009561;-0.055285;0.035910;-0.040951;1.451719;0.416494;0.838669;0.387076;0.361316;-0.127509;-0.078018;1.431826;0.382241;0.846524;-0.357021;0.360241;0.161740;-0.085625;1.372672;0.389593;0.669490;-0.601374;0.340568;0.272297;-0.058792;1.459862;0.401121;0.898243;0.163732;0.405873;-0.040233;-0.029014;1.435401;0.427364;0.838669;0.387076;0.361316;-0.127509;-0.054515;1.457633;0.431184;0.791769;0.444095;0.409061;-0.092474;-0.095721;1.433106;0.396725;0.817339;-0.378602;0.375686;0.217893;-0.099240;1.371727;0.400090;0.669490;-0.601374;0.340568;0.272297;-0.075953;1.467551;0.415696;0.879106;0.181361;0.439241;-0.036714;-0.039648;1.438314;0.439081;0.791769;0.444095;0.409061;-0.092474;-0.103579;1.384737;0.394417;0.669490;-0.601374;0.340568;0.272297;-0.080921;1.440786;0.453558;0.729044;0.328805;0.600315;0.002007;-0.112580;1.415306;0.432541;0.767446;-0.351639;0.414187;0.340332;-0.114085;1.370800;0.418133;0.650528;-0.461171;0.365218;0.480365;-0.100095;1.441186;0.445442;0.819117;0.113763;0.540547;0.154645;-0.060658;1.431142;0.455354;0.729044;0.328805;0.600315;0.002007;2023/05/02 14:21:01.8480;-0.066188;1.452801;0.443980;0.745359;0.420931;0.507861;-0.096613;-0.105667;1.426405;0.414355;0.798928;-0.374926;0.380137;0.276842;-0.111607;1.371591;0.409570;0.669490;-0.601374;0.340568;0.272297;-0.089681;1.458773;0.431542;0.852389;0.152686;0.498416;0.041258;-0.048515;1.435662;0.448312;0.745359;0.420931;0.507861;-0.096613;098488ab-54a2-432e-8612-2a6918f976ff;-0.033177;1.419144;0.413923;0.758935;-0.348586;-0.148556;-0.529563;-0.073180;1.370794;0.391025;0.554288;-0.615856;0.040158;-0.558457;-0.048766;1.392057;0.398966;0.700219;-0.531611;-0.039280;-0.474911;-0.028870;1.437139;0.431095;0.758935;-0.348586;-0.148556;-0.529563;33;-0.111438;1.336368;0.392109;0.669490;-0.601374;0.340568;0.272297
NA;105073;4;0.009652;1.530957;0.073442;0.997750;0.009855;-0.055697;0.035993;-0.040507;1.451495;0.417158;0.838728;0.389588;0.357960;-0.128926;-0.077491;1.431892;0.382697;0.848135;-0.355943;0.358885;0.158659;-0.085383;1.372777;0.390057;0.670764;-0.601572;0.340145;0.269236;-0.058210;1.459798;0.401713;0.898951;0.166330;0.403016;-0.042421;-0.028737;1.435072;0.428052;0.838728;0.389588;0.357960;-0.128926;-0.054147;1.457503;0.431723;0.791470;0.447569;0.405410;-0.094342;-0.095263;1.433254;0.397087;0.818757;-0.378409;0.374479;0.214962;-0.099059;1.371895;0.400481;0.670764;-0.601572;0.340145;0.269236;-0.075435;1.467612;0.416150;0.879842;0.183967;0.436466;-0.039147;-0.039492;1.438022;0.439617;0.791470;0.447569;0.405410;-0.094342;-0.103311;1.384917;0.394766;0.670764;-0.601572;0.340145;0.269236;-0.080668;1.440751;0.453954;0.728939;0.333918;0.597615;-0.001564;-0.112384;1.415545;0.432825;0.769376;-0.351291;0.413364;0.337322;-0.113997;1.371037;0.418434;0.652339;-0.461857;0.364615;0.477702;-0.099814;1.441355;0.445784;0.820525;0.117012;0.538650;0.151339;-0.060536;1.430836;0.455748;0.728939;0.333918;0.597615;-0.001564;2023/05/02 14:21:01.8592;-0.065891;1.452716;0.444438;0.744986;0.425111;0.504424;-0.099159;-0.105329;1.426605;0.414669;0.800402;-0.375031;0.379067;0.273891;-0.111472;1.371813;0.409885;0.670764;-0.601572;0.340145;0.269236;-0.089281;1.458910;0.431914;0.853438;0.155482;0.495982;0.038359;-0.048422;1.435370;0.448772;0.744986;0.425111;0.504424;-0.099159;098488ab-54a2-432e-8612-2a6918f976ff;-0.032975;1.419109;0.414680;0.757721;-0.347293;-0.150633;-0.531561;-0.072955;1.370850;0.391569;0.553311;-0.614457;0.039190;-0.561029;-0.048526;1.392051;0.399630;0.699470;-0.530217;-0.041051;-0.477417;-0.028731;1.437101;0.431870;0.757721;-0.347293;-0.150633;-0.531561;44;-0.111358;1.336580;0.392445;0.670764;-0.601572;0.340145;0.269236
NA;105074;5;0.009659;1.530877;0.073628;0.997734;0.010405;-0.056015;0.035779;-0.040420;1.451208;0.416830;0.836144;0.390724;0.363034;-0.128076;-0.077602;1.431578;0.382640;0.846767;-0.354424;0.361459;0.163451;-0.085286;1.372387;0.389626;0.670670;-0.598652;0.341804;0.273839;-0.058304;1.459513;0.401595;0.896712;0.167590;0.407692;-0.040120;-0.028485;1.434769;0.427517;0.836144;0.390724;0.363034;-0.128076;-0.053911;1.456802;0.431631;0.787073;0.451485;0.409594;-0.094392;-0.095242;1.432813;0.397204;0.818270;-0.374640;0.376732;0.219439;-0.098843;1.371408;0.400187;0.670670;-0.598652;0.341804;0.273839;-0.075343;1.467074;0.416368;0.876790;0.188429;0.440809;-0.037716;-0.039189;1.437232;0.439174;0.787073;0.451485;0.409594;-0.094392;-0.103203;1.384472;0.394666;0.670670;-0.598652;0.341804;0.273839;-0.080150;1.439934;0.454066;0.724922;0.335875;0.601394;0.001284;-0.111986;1.414850;0.432993;0.768662;-0.346736;0.414735;0.341948;-0.113636;1.370426;0.418349;0.651474;-0.458042;0.365713;0.481698;-0.099373;1.440573;0.446081;0.817259;0.121108;0.541854;0.154322;-0.059962;1.430091;0.455602;0.724922;0.335875;0.601394;0.001284;2023/05/02 14:21:01.8704;-0.065498;1.451897;0.444440;0.740420;0.428223;0.508628;-0.098491;-0.105127;1.426035;0.414839;0.799911;-0.370822;0.381018;0.278316;-0.111193;1.371259;0.409781;0.670670;-0.598652;0.341804;0.273839;-0.089008;1.458234;0.432217;0.850126;0.160326;0.499979;0.040026;-0.047980;1.434518;0.448431;0.740420;0.428223;0.508628;-0.098491;098488ab-54a2-432e-8612-2a6918f976ff;-0.032498;1.418746;0.413403;0.760445;-0.350141;-0.144220;-0.527565;-0.072832;1.370464;0.390920;0.554417;-0.618577;0.044094;-0.555014;-0.048313;1.391697;0.398615;0.700397;-0.534250;-0.034229;-0.472070;-0.028039;1.436699;0.430579;0.760445;-0.350141;-0.144220;-0.527565;55;-0.111165;1.336132;0.392128;0.670670;-0.598652;0.341804;0.273839
NA;105075;6;0.009659;1.530766;0.073784;0.997742;0.011285;-0.055919;0.035464;-0.040452;1.451174;0.416493;0.836155;0.390293;0.363219;-0.128798;-0.077665;1.431499;0.382376;0.846295;-0.355083;0.362012;0.163242;-0.085378;1.372320;0.389430;0.670233;-0.598836;0.342461;0.273687;-0.058346;1.459466;0.401264;0.896625;0.167047;0.408044;-0.040727;-0.028518;1.434738;0.427189;0.836155;0.390293;0.363219;-0.128798;-0.053919;1.456750;0.431324;0.786936;0.451475;0.409708;-0.095086;-0.095290;1.432764;0.396954;0.818012;-0.374789;0.377272;0.219217;-0.098924;1.371362;0.400006;0.670233;-0.598836;0.342461;0.273687;-0.075357;1.467030;0.416073;0.876639;0.188317;0.441106;-0.038297;-0.039211;1.437168;0.438861;0.786936;0.451475;0.409708;-0.095086;-0.103284;1.384425;0.394483;0.670233;-0.598836;0.342461;0.273687;-0.080157;1.439943;0.453796;0.724677;0.335986;0.601628;0.000438;-0.112013;1.414855;0.432780;0.768337;-0.347022;0.415241;0.341774;-0.113705;1.370414;0.418193;0.651178;-0.458113;0.366446;0.481474;-0.099387;1.440592;0.445830;0.817092;0.121068;0.542291;0.153700;-0.059978;1.430077;0.455314;0.724677;0.335986;0.601628;0.000438;2023/05/02 14:21:01.8817;-0.065502;1.451853;0.444141;0.739964;0.428736;0.508665;-0.099495;-0.105164;1.426013;0.414607;0.799647;-0.370981;0.381551;0.278132;-0.111269;1.371236;0.409622;0.670233;-0.598836;0.342461;0.273687;-0.089017;1.458221;0.431942;0.849896;0.160618;0.500338;0.039253;-0.048015;1.434437;0.448107;0.739964;0.428736;0.508665;-0.099495;098488ab-54a2-432e-8612-2a6918f976ff;-0.032550;1.418695;0.413041;0.760777;-0.350179;-0.144572;-0.526966;-0.072923;1.370389;0.390702;0.553690;-0.619657;0.044307;-0.554517;-0.048379;1.391625;0.398307;0.700143;-0.534978;-0.034104;-0.471630;-0.028117;1.436661;0.430211;0.760777;-0.350179;-0.144572;-0.526966;66;-0.111279;1.336086;0.392012;0.670233;-0.598836;0.342461;0.273687
NA;105076;7;0.009666;1.530624;0.073945;0.997770;0.012205;-0.055514;0.034986;-0.040466;1.451137;0.416190;0.836165;0.389964;0.363285;-0.129538;-0.077707;1.431433;0.382134;0.845906;-0.355651;0.362506;0.162928;-0.085455;1.372266;0.389256;0.669854;-0.599021;0.343057;0.273462;-0.058365;1.459424;0.400963;0.896563;0.166621;0.408289;-0.041385;-0.028540;1.434702;0.426894;0.836165;0.389964;0.363285;-0.129538;-0.053914;1.456708;0.431042;0.786829;0.451506;0.409716;-0.095794;-0.095321;1.432727;0.396723;0.817797;-0.374950;0.377757;0.218908;-0.098992;1.371329;0.399843;0.669854;-0.599021;0.343057;0.273462;-0.075353;1.466997;0.415799;0.876533;0.188211;0.441308;-0.038909;-0.039223;1.437112;0.438577;0.786829;0.451506;0.409716;-0.095794;-0.103350;1.384391;0.394315;0.669854;-0.599021;0.343057;0.273462;-0.080155;1.439959;0.453541;0.724423;0.336270;0.601775;-0.000567;-0.112032;1.414873;0.432582;0.768050;-0.347356;0.415709;0.341510;-0.113764;1.370415;0.418049;0.650945;-0.458208;0.367111;0.481193;-0.099392;1.440622;0.445592;0.816977;0.121084;0.542667;0.152973;-0.059991;1.430060;0.455042;0.724423;0.336270;0.601775;-0.000567;2023/05/02 14:21:01.8929;-0.065498;1.451818;0.443864;0.739514;0.429351;0.508589;-0.100565;-0.105187;1.426004;0.414391;0.799418;-0.371181;0.382031;0.277864;-0.111333;1.371225;0.409475;0.669854;-0.599021;0.343057;0.273462;-0.089013;1.458220;0.431685;0.849717;0.160923;0.500608;0.038426;-0.048047;1.434360;0.447807;0.739514;0.429351;0.508589;-0.100565;098488ab-54a2-432e-8612-2a6918f976ff;-0.032605;1.418653;0.412744;0.761121;-0.349955;-0.145107;-0.526471;-0.073000;1.370327;0.390513;0.553024;-0.620545;0.044415;-0.554180;-0.048435;1.391565;0.398044;0.699986;-0.535437;-0.034191;-0.471336;-0.028211;1.436629;0.429914;0.761121;-0.349955;-0.145107;-0.526471;78;-0.111379;1.336055;0.391907;0.669854;-0.599021;0.343057;0.273462
NA;105077;8;0.009658;1.530519;0.074129;0.997821;0.012524;-0.054918;0.034347;-0.040849;1.451823;0.414373;0.836597;0.385642;0.366177;-0.131527;-0.078253;1.431697;0.380778;0.842640;-0.359705;0.365637;0.163953;-0.085845;1.372572;0.388407;0.666049;-0.600973;0.345964;0.274809;-0.058878;1.459932;0.399204;0.895862;0.162068;0.411523;-0.042587;-0.028810;1.435502;0.425126;0.836597;0.385642;0.366177;-0.131527;-0.054188;1.457435;0.429303;0.787108;0.447915;0.412512;-0.098326;-0.095766;1.433074;0.395480;0.814613;-0.378099;0.381034;0.219682;-0.099304;1.371695;0.399099;0.666049;-0.600973;0.345964;0.274809;-0.075755;1.467555;0.414129;0.875777;0.184038;0.444425;-0.040389;-0.039412;1.437918;0.436879;0.787108;0.447915;0.412512;-0.098326;-0.103727;1.384707;0.393507;0.666049;-0.600973;0.345964;0.274809;-0.080194;1.440705;0.452116;0.722627;0.335112;0.604555;-0.004868;-0.112192;1.415473;0.431595;0.765020;-0.349282;0.419497;0.341715;-0.113948;1.370900;0.417423;0.647426;-0.459376;0.370888;0.481929;-0.099495;1.441336;0.444321;0.815197;0.119371;0.546442;0.150355;-0.060047;1.430754;0.453490;0.722627;0.335112;0.604555;-0.004868;2023/05/02 14:21:01.9036;-0.065659;1.452526;0.442239;0.738582;0.427327;0.510887;-0.104326;-0.105496;1.426474;0.413269;0.796348;-0.373698;0.385547;0.278447;-0.111579;1.371647;0.408826;0.666049;-0.600973;0.345964;0.274809;-0.089265;1.458855;0.430198;0.848337;0.158365;0.503925;0.036105;-0.048207;1.435060;0.446140;0.738582;0.427327;0.510887;-0.104326;098488ab-54a2-432e-8612-2a6918f976ff;-0.032881;1.419216;0.411120;0.760893;-0.354387;-0.144834;-0.523904;-0.073378;1.370662;0.389583;0.550755;-0.624880;0.043926;-0.551602;-0.048785;1.391991;0.396756;0.698307;-0.539974;-0.033740;-0.468676;-0.028409;1.437327;0.428127;0.760893;-0.354387;-0.144834;-0.523904;89;-0.111687;1.336340;0.391535;0.666049;-0.600973;0.345964;0.274809
NA;105078;9;0.009651;1.530497;0.074312;0.997881;0.012443;-0.054131;0.033886;-0.040949;1.452704;0.414596;0.836901;0.384753;0.367014;-0.129857;-0.078266;1.432391;0.381016;0.842149;-0.360760;0.364915;0.165753;-0.085645;1.373240;0.388643;0.665541;-0.601572;0.344919;0.276039;-0.059016;1.460724;0.399424;0.895984;0.160886;0.411914;-0.040704;-0.028841;1.436437;0.425352;0.836901;0.384753;0.367014;-0.129857;-0.054318;1.458332;0.429526;0.787728;0.446177;0.413656;-0.096430;-0.095782;1.433706;0.395720;0.813876;-0.379454;0.380218;0.221484;-0.099099;1.372314;0.399336;0.665541;-0.601572;0.344919;0.276039;-0.075941;1.468303;0.414333;0.876059;0.182060;0.444873;-0.038249;-0.039434;1.438909;0.437131;0.787728;0.446177;0.413656;-0.096430;-0.103569;1.385311;0.393747;0.665541;-0.601572;0.344919;0.276039;-0.080251;1.441393;0.452339;0.722238;0.334768;0.605215;-0.004163;-0.112141;1.416046;0.431836;0.764235;-0.350360;0.418766;0.343260;-0.113738;1.371467;0.417664;0.646544;-0.460009;0.370094;0.483119;-0.099557;1.441968;0.444554;0.814826;0.118687;0.546798;0.151605;-0.060084;1.431479;0.453687;0.722238;0.334768;0.605215;-0.004163;2023/05/02 14:21:01.9149;-0.065776;1.453335;0.442472;0.738953;0.425953;0.511823;-0.102718;-0.105486;1.427070;0.413510;0.795599;-0.374857;0.384691;0.280209;-0.111373;1.372222;0.409066;0.665541;-0.601572;0.344919;0.276039;-0.089412;1.459538;0.430422;0.848343;0.156812;0.504258;0.038051;-0.048244;1.435952;0.446383;0.738953;0.425953;0.511823;-0.102718;098488ab-54a2-432e-8612-2a6918f976ff;-0.032831;1.420075;0.411327;0.761990;-0.353984;-0.145567;-0.522377;-0.073170;1.371374;0.389815;0.551724;-0.625052;0.042859;-0.550521;-0.048652;1.392793;0.396980;0.699021;-0.540162;-0.034513;-0.467336;-0.028437;1.438201;0.428338;0.761990;-0.353984;-0.145567;-0.522377;100;-0.111356;1.336915;0.391774;0.665541;-0.601572;0.344919;0.276039
NA;105079;10;0.009655;1.530514;0.074490;0.997930;0.012479;-0.053476;0.033476;-0.041031;1.453539;0.414812;0.837218;0.383887;0.367757;-0.128264;-0.078266;1.433054;0.381239;0.841731;-0.361690;0.364215;0.167381;-0.085449;1.373879;0.388870;0.665066;-0.602154;0.343936;0.277140;-0.059131;1.461472;0.399634;0.896123;0.159731;0.412232;-0.038921;-0.028859;1.437324;0.425573;0.837218;0.383887;0.367757;-0.128264;-0.054436;1.459217;0.429731;0.788520;0.444149;0.414772;-0.094510;-0.095787;1.434311;0.395943;0.813107;-0.380919;0.379408;0.223176;-0.098900;1.372909;0.399563;0.665066;-0.602154;0.343936;0.277140;-0.076114;1.469028;0.414512;0.876412;0.179820;0.445267;-0.036124;-0.039441;1.439897;0.437381;0.788520;0.444149;0.414772;-0.094510;-0.103413;1.385890;0.393973;0.665066;-0.602154;0.343936;0.277140;-0.080305;1.442065;0.452544;0.721971;0.334272;0.605812;-0.003486;-0.112086;1.416598;0.432061;0.763444;-0.351548;0.418032;0.344698;-0.113536;1.372014;0.417890;0.645729;-0.460630;0.369350;0.484185;-0.099615;1.442582;0.444764;0.814523;0.117854;0.547099;0.152794;-0.060118;1.432191;0.453874;0.721971;0.334272;0.605812;-0.003486;2023/05/02 14:21:01.9261;-0.065888;1.454142;0.442690;0.739584;0.424161;0.512746;-0.100969;-0.105468;1.427644;0.413734;0.794823;-0.376137;0.383821;0.281885;-0.111173;1.372777;0.409292;0.665066;-0.602154;0.343936;0.277140;-0.089552;1.460202;0.430622;0.848445;0.154894;0.504523;0.040072;-0.048265;1.436858;0.446629;0.739584;0.424161;0.512746;-0.100969;098488ab-54a2-432e-8612-2a6918f976ff;-0.032779;1.420893;0.411535;0.762946;-0.353651;-0.146303;-0.520999;-0.072968;1.372054;0.390043;0.552639;-0.625138;0.041775;-0.549589;-0.048523;1.393556;0.397207;0.699625;-0.540359;-0.035281;-0.466146;-0.028456;1.439035;0.428547;0.762946;-0.353651;-0.146303;-0.520999;111;-0.111039;1.337469;0.392002;0.665066;-0.602154;0.343936;0.277140
