Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;86656;1;-0.002520;1.519672;0.041994;0.997965;0.040015;-0.005801;0.049306;0.000047;1.505718;0.459829;0.825015;-0.546608;0.139087;0.035014;-0.015806;1.447858;0.438476;0.802516;-0.578972;0.143543;-0.012477;-0.044293;1.394110;0.438147;0.733245;-0.631260;0.249077;-0.042701;-0.006285;1.483855;0.449690;0.838707;-0.522620;0.153079;0.002541;0.003920;1.527070;0.467312;0.825015;-0.546608;0.139087;0.035014;-0.025001;1.438921;0.486636;0.363426;0.927166;-0.047156;-0.077859;-0.036707;1.456948;0.440780;0.978942;-0.121251;0.153312;-0.058878;-0.060323;1.398850;0.440876;0.733245;-0.631260;0.249077;-0.042701;-0.022868;1.466601;0.481430;0.756543;0.634965;0.068215;-0.140749;-0.029921;1.421053;0.468941;0.363426;0.927166;-0.047156;-0.077859;-0.058361;1.413193;0.435951;0.733245;-0.631260;0.249077;-0.042701;-0.057726;1.427603;0.485661;0.181363;0.965393;0.111969;-0.150288;-0.074351;1.452428;0.461909;0.962372;0.063682;0.263116;-0.023560;-0.083506;1.408002;0.450367;0.765168;-0.552084;0.268123;0.194503;-0.058494;1.448177;0.488790;0.641579;0.740914;0.161750;-0.115155;-0.062762;1.417883;0.465990;0.181363;0.965393;0.111969;-0.150288;2023/05/02 14:17:36.6274;-0.042562;1.428551;0.485382;0.208162;0.969882;0.032259;-0.122297;-0.055829;1.457105;0.450214;0.982569;0.009347;0.179558;-0.047224;-0.076923;1.406254;0.444562;0.733245;-0.631260;0.249077;-0.042701;-0.041757;1.455692;0.487611;0.666530;0.727098;0.110650;-0.121754;-0.048212;1.416777;0.464067;0.208162;0.969882;0.032259;-0.122297;098488ab-54a2-432e-8612-2a6918f976ff;0.027294;1.413740;0.452574;0.288786;-0.667649;0.135330;-0.672707;-0.034255;1.387414;0.442231;0.372395;-0.614569;0.063672;-0.692511;-0.004300;1.399732;0.450115;0.406089;-0.671612;0.115953;-0.608756;0.052091;1.418424;0.453224;0.288786;-0.667649;0.135330;-0.672707;11;-0.080014;1.369439;0.431121;0.733245;-0.631260;0.249077;-0.042701
NA;86657;2;-0.002656;1.519560;0.042252;0.997937;0.039788;-0.006588;0.049958;-0.000333;1.505734;0.459924;0.827004;-0.542893;0.141406;0.036565;-0.016343;1.448037;0.438253;0.804076;-0.576232;0.145963;-0.010662;-0.044873;1.394308;0.437615;0.735139;-0.628288;0.251387;-0.040363;-0.006738;1.483950;0.449659;0.840213;-0.519457;0.155529;0.004175;0.003604;1.527017;0.467570;0.827004;-0.542893;0.141406;0.036565;-0.025286;1.438768;0.486397;0.359863;0.928371;-0.046221;-0.080554;-0.037225;1.457124;0.440739;0.978939;-0.117911;0.156147;-0.058251;-0.060882;1.399036;0.440472;0.735139;-0.628288;0.251387;-0.040363;-0.023165;1.466484;0.481381;0.754000;0.637365;0.070550;-0.142384;-0.030310;1.421042;0.468587;0.359863;0.928371;-0.046221;-0.080554;-0.058939;1.413427;0.435666;0.735139;-0.628288;0.251387;-0.040363;-0.058028;1.427444;0.485496;0.177079;0.965770;0.112789;-0.152350;-0.074763;1.452462;0.462023;0.961440;0.067459;0.265630;-0.022881;-0.084014;1.408139;0.450168;0.766787;-0.548366;0.269520;0.196700;-0.058772;1.447994;0.488789;0.638256;0.743143;0.163682;-0.116518;-0.063170;1.417889;0.465772;0.177079;0.965770;0.112789;-0.152350;2023/05/02 14:17:36.6381;-0.042866;1.428388;0.485146;0.204177;0.970396;0.032995;-0.124719;-0.056298;1.457219;0.450272;0.982048;0.013075;0.182262;-0.046803;-0.077462;1.406433;0.444316;0.735139;-0.628288;0.251387;-0.040363;-0.042034;1.455511;0.487584;0.663355;0.729419;0.112641;-0.123368;-0.048633;1.416788;0.463768;0.204177;0.970396;0.032995;-0.124719;098488ab-54a2-432e-8612-2a6918f976ff;0.026819;1.413844;0.451503;0.291143;-0.669722;0.138522;-0.668969;-0.034817;1.387563;0.441573;0.374497;-0.616554;0.067708;-0.689223;-0.004795;1.399845;0.449258;0.407934;-0.673210;0.120021;-0.604958;0.051613;1.418565;0.451964;0.291143;-0.669722;0.138522;-0.668969;22;-0.080653;1.369730;0.430593;0.735139;-0.628288;0.251387;-0.040363
NA;86658;3;-0.002836;1.519302;0.042447;0.997896;0.039937;-0.007255;0.050566;-0.000701;1.505763;0.459989;0.828849;-0.539396;0.143578;0.038034;-0.016857;1.448218;0.438028;0.805493;-0.573700;0.148220;-0.008931;-0.045427;1.394508;0.437099;0.736906;-0.625482;0.253545;-0.038161;-0.007173;1.484054;0.449608;0.841587;-0.516519;0.157820;0.005732;0.003296;1.526979;0.467787;0.828849;-0.539396;0.143578;0.038034;-0.025563;1.438639;0.486152;0.356489;0.929495;-0.045326;-0.083071;-0.037719;1.457301;0.440683;0.978918;-0.114805;0.158802;-0.057633;-0.061417;1.399224;0.440077;0.736906;-0.625482;0.253545;-0.038161;-0.023453;1.466388;0.481316;0.751604;0.639602;0.072755;-0.143898;-0.030683;1.421049;0.468235;0.356489;0.929495;-0.045326;-0.083071;-0.059491;1.413660;0.435382;0.736906;-0.625482;0.253545;-0.038161;-0.058320;1.427307;0.485322;0.173026;0.966108;0.113556;-0.154283;-0.075158;1.452504;0.462113;0.960545;0.071014;0.267984;-0.022238;-0.084500;1.408279;0.449965;0.768294;-0.544862;0.270821;0.198764;-0.059042;1.447832;0.488768;0.635118;0.745226;0.165495;-0.117791;-0.063563;1.417907;0.465549;0.173026;0.966108;0.113556;-0.154283;2023/05/02 14:17:36.6493;-0.043161;1.428247;0.484904;0.200411;0.970863;0.033701;-0.126982;-0.056746;1.457337;0.450309;0.981542;0.016576;0.184793;-0.046385;-0.077978;1.406613;0.444069;0.736906;-0.625482;0.253545;-0.038161;-0.042304;1.455351;0.487538;0.660354;0.731593;0.114518;-0.124865;-0.049037;1.416811;0.463467;0.200411;0.970863;0.033701;-0.126982;098488ab-54a2-432e-8612-2a6918f976ff;0.026356;1.413971;0.450464;0.293443;-0.671700;0.141424;-0.665365;-0.035354;1.387718;0.440937;0.376494;-0.618480;0.071469;-0.686022;-0.005273;1.399974;0.448429;0.409677;-0.674766;0.123805;-0.601272;0.051144;1.418734;0.450747;0.293443;-0.671700;0.141424;-0.665365;33;-0.081262;1.370018;0.430081;0.736906;-0.625482;0.253545;-0.038161
NA;86659;4;-0.003052;1.519081;0.042612;0.997842;0.040937;-0.007835;0.050746;-0.000768;1.506126;0.460243;0.829354;-0.539375;0.141141;0.036405;-0.016792;1.448576;0.438198;0.805884;-0.573733;0.145839;-0.010625;-0.045346;1.394861;0.437110;0.737595;-0.625465;0.251297;-0.039963;-0.007177;1.484414;0.449830;0.841982;-0.516643;0.155334;0.004214;0.003186;1.527340;0.468070;0.829354;-0.539375;0.141141;0.036405;-0.025779;1.438994;0.486281;0.356415;0.929728;-0.046244;-0.080225;-0.037671;1.457655;0.440728;0.979402;-0.114601;0.155857;-0.057853;-0.061354;1.399574;0.439993;0.737595;-0.625465;0.251297;-0.039963;-0.023651;1.466741;0.481446;0.751971;0.639864;0.070622;-0.141870;-0.030786;1.421401;0.468335;0.356415;0.929728;-0.046244;-0.080225;-0.059403;1.414009;0.435307;0.737595;-0.625465;0.251297;-0.039963;-0.058527;1.427671;0.485246;0.173319;0.966558;0.113215;-0.151357;-0.075235;1.452855;0.461936;0.961358;0.070919;0.265113;-0.021817;-0.084496;1.408626;0.449742;0.769018;-0.545551;0.268512;0.197201;-0.059278;1.448196;0.488689;0.635620;0.745556;0.163738;-0.115430;-0.063649;1.418272;0.465441;0.173319;0.966558;0.113215;-0.151357;2023/05/02 14:17:36.6600;-0.043367;1.428596;0.484927;0.200745;0.971187;0.033234;-0.124068;-0.056755;1.457690;0.450241;0.982091;0.016762;0.181871;-0.046263;-0.077939;1.406960;0.443885;0.737595;-0.625465;0.251297;-0.039963;-0.042534;1.455701;0.487555;0.660858;0.731810;0.112642;-0.122609;-0.049112;1.417149;0.463460;0.200745;0.971187;0.033234;-0.124068;098488ab-54a2-432e-8612-2a6918f976ff;0.026344;1.414380;0.450847;0.293847;-0.670101;0.140246;-0.667046;-0.035294;1.388073;0.441011;0.376778;-0.616807;0.070053;-0.687517;-0.005262;1.400357;0.448654;0.410059;-0.673339;0.122295;-0.602918;0.051128;1.419161;0.451256;0.293847;-0.670101;0.140246;-0.667046;44;-0.081134;1.370362;0.429885;0.737595;-0.625465;0.251297;-0.039963
NA;86660;5;-0.003251;1.518959;0.042774;0.997793;0.042012;-0.008168;0.050767;-0.001092;1.506163;0.460331;0.829723;-0.538930;0.140590;0.036732;-0.017043;1.448620;0.438216;0.806247;-0.573365;0.145299;-0.010305;-0.045551;1.394882;0.437003;0.738298;-0.624860;0.250784;-0.039669;-0.007472;1.484455;0.449892;0.842285;-0.516305;0.154804;0.004583;0.002836;1.527371;0.468188;0.829723;-0.538930;0.140590;0.036732;-0.026064;1.438921;0.486266;0.355312;0.930210;-0.045929;-0.079713;-0.037932;1.457677;0.440746;0.979625;-0.113524;0.155441;-0.057312;-0.061565;1.399577;0.439882;0.738298;-0.624860;0.250784;-0.039669;-0.023955;1.466682;0.481497;0.751320;0.640768;0.070719;-0.141190;-0.031040;1.421367;0.468274;0.355312;0.930210;-0.045929;-0.079713;-0.059622;1.414022;0.435226;0.738298;-0.624860;0.250784;-0.039669;-0.058794;1.427605;0.485196;0.172500;0.966731;0.113730;-0.150804;-0.075508;1.452806;0.461916;0.961421;0.071523;0.264782;-0.021075;-0.084723;1.408592;0.449631;0.769554;-0.545017;0.267797;0.197555;-0.059567;1.448123;0.488674;0.635095;0.746071;0.163952;-0.114683;-0.063892;1.418239;0.465369;0.172500;0.966731;0.113730;-0.150804;2023/05/02 14:17:36.6718;-0.043638;1.428527;0.484884;0.199808;0.971430;0.033680;-0.123556;-0.057023;1.457678;0.450244;0.982167;0.017660;0.181524;-0.045656;-0.078160;1.406942;0.443776;0.738298;-0.624860;0.250784;-0.039669;-0.042831;1.455628;0.487566;0.660236;0.732461;0.112807;-0.121917;-0.049356;1.417120;0.463389;0.199808;0.971430;0.033680;-0.123556;098488ab-54a2-432e-8612-2a6918f976ff;0.026103;1.414480;0.450765;0.294840;-0.670028;0.140280;-0.666674;-0.035497;1.388095;0.440896;0.377727;-0.616651;0.070169;-0.687125;-0.005481;1.400409;0.448551;0.411061;-0.673136;0.122231;-0.602476;0.050880;1.419297;0.451177;0.294840;-0.670028;0.140280;-0.666674;55;-0.081313;1.370368;0.429705;0.738298;-0.624860;0.250784;-0.039669
NA;86661;6;-0.003378;1.518770;0.042982;0.997774;0.042748;-0.008536;0.050474;-0.001413;1.506209;0.460402;0.830070;-0.538498;0.140104;0.037088;-0.017294;1.448672;0.438220;0.806590;-0.573010;0.144822;-0.009953;-0.045759;1.394914;0.436884;0.738992;-0.624239;0.250338;-0.039348;-0.007765;1.484505;0.449939;0.842567;-0.515980;0.154339;0.004980;0.002491;1.527411;0.468287;0.830070;-0.538498;0.140104;0.037088;-0.026344;1.438856;0.486237;0.354178;0.930695;-0.045613;-0.079271;-0.038191;1.457708;0.440754;0.979837;-0.112431;0.155093;-0.056782;-0.061779;1.399590;0.439762;0.738992;-0.624239;0.250338;-0.039348;-0.024253;1.466630;0.481536;0.750636;0.641690;0.070851;-0.140568;-0.031292;1.421343;0.468198;0.354178;0.930695;-0.045613;-0.079271;-0.059845;1.414047;0.435136;0.738992;-0.624239;0.250338;-0.039348;-0.059056;1.427548;0.485138;0.171652;0.966898;0.114224;-0.150324;-0.075778;1.452767;0.461890;0.961463;0.072145;0.264516;-0.020368;-0.084951;1.408570;0.449515;0.770085;-0.544450;0.267145;0.197931;-0.059850;1.448058;0.488651;0.634546;0.746590;0.164185;-0.114009;-0.064134;1.418217;0.465290;0.171652;0.966898;0.114224;-0.150324;2023/05/02 14:17:36.6825;-0.043904;1.428468;0.484829;0.198830;0.971672;0.034116;-0.123113;-0.057289;1.457676;0.450239;0.982230;0.018571;0.181243;-0.045068;-0.078382;1.406937;0.443661;0.738992;-0.624239;0.250338;-0.039348;-0.043120;1.455564;0.487567;0.659581;0.733126;0.113000;-0.121289;-0.049599;1.417103;0.463306;0.198830;0.971672;0.034116;-0.123113;098488ab-54a2-432e-8612-2a6918f976ff;0.025862;1.414589;0.450662;0.295838;-0.669989;0.140337;-0.666259;-0.035702;1.388126;0.440769;0.378664;-0.616540;0.070331;-0.686692;-0.005700;1.400471;0.448432;0.412059;-0.672965;0.122206;-0.601990;0.050631;1.419442;0.451075;0.295838;-0.669989;0.140337;-0.666259;66;-0.081498;1.370387;0.429518;0.738992;-0.624239;0.250338;-0.039348
NA;86662;7;-0.003567;1.518817;0.043141;0.997734;0.043787;-0.008818;0.050322;-0.001730;1.506263;0.460458;0.830400;-0.538075;0.139671;0.037468;-0.017545;1.448731;0.438213;0.806917;-0.572663;0.144396;-0.009576;-0.045970;1.394954;0.436756;0.739679;-0.623603;0.249945;-0.039005;-0.008057;1.484562;0.449973;0.842834;-0.515664;0.153927;0.005398;0.002150;1.527459;0.468370;0.830400;-0.538075;0.139671;0.037468;-0.026619;1.438798;0.486197;0.353017;0.931184;-0.045297;-0.078887;-0.038451;1.457747;0.440754;0.980040;-0.111326;0.154801;-0.056260;-0.061994;1.399614;0.439635;0.739679;-0.623603;0.249945;-0.039005;-0.024545;1.466584;0.481565;0.749926;0.642627;0.071012;-0.139993;-0.031543;1.421327;0.468111;0.353017;0.931184;-0.045297;-0.078887;-0.060069;1.414082;0.435039;0.739679;-0.623603;0.249945;-0.039005;-0.059314;1.427498;0.485073;0.170780;0.967061;0.114703;-0.149903;-0.076045;1.452738;0.461859;0.961488;0.072783;0.264303;-0.019688;-0.085178;1.408558;0.449393;0.770613;-0.543856;0.266543;0.198323;-0.060127;1.448002;0.488622;0.633977;0.747111;0.164437;-0.113392;-0.064375;1.418203;0.465203;0.170780;0.967061;0.114703;-0.149903;2023/05/02 14:17:36.6937;-0.044166;1.428417;0.484765;0.197820;0.971912;0.034543;-0.122725;-0.057553;1.457683;0.450228;0.982280;0.019494;0.181015;-0.044496;-0.078606;1.406941;0.443540;0.739679;-0.623603;0.249945;-0.039005;-0.043404;1.455508;0.487560;0.658898;0.733802;0.113214;-0.120713;-0.049840;1.417094;0.463214;0.197820;0.971912;0.034543;-0.122725;098488ab-54a2-432e-8612-2a6918f976ff;0.025619;1.414705;0.450542;0.296839;-0.669976;0.140416;-0.665809;-0.035910;1.388166;0.440631;0.379593;-0.616465;0.070531;-0.686226;-0.005921;1.400540;0.448298;0.413054;-0.672819;0.122214;-0.601469;0.050382;1.419594;0.450954;0.296839;-0.669976;0.140416;-0.665809;77;-0.081687;1.370417;0.429325;0.739679;-0.623603;0.249945;-0.039005
NA;86663;8;-0.003602;1.518888;0.043326;0.997709;0.044291;-0.009147;0.050319;-0.002421;1.506675;0.459882;0.830005;-0.538320;0.140725;0.038723;-0.018253;1.449127;0.437691;0.806691;-0.572746;0.145402;-0.008324;-0.046654;1.395335;0.436258;0.739618;-0.623370;0.250896;-0.037783;-0.008760;1.484966;0.449420;0.842544;-0.515798;0.155014;0.006590;0.001463;1.527879;0.467769;0.830005;-0.538320;0.140725;0.038723;-0.027207;1.439079;0.485638;0.351140;0.931802;-0.044887;-0.080188;-0.039156;1.458130;0.440301;0.979949;-0.110348;0.156207;-0.055886;-0.062672;1.399982;0.439192;0.739618;-0.623370;0.250896;-0.037783;-0.025139;1.466880;0.481094;0.748748;0.643696;0.072147;-0.140804;-0.032182;1.421684;0.467492;0.351140;0.931802;-0.044887;-0.080188;-0.060769;1.414459;0.434609;0.739618;-0.623370;0.250896;-0.037783;-0.059885;1.427807;0.484621;0.169090;0.967111;0.115096;-0.151191;-0.076686;1.453082;0.461512;0.961047;0.073596;0.265699;-0.019393;-0.085834;1.408910;0.449031;0.770430;-0.543262;0.267446;0.199443;-0.060690;1.448302;0.488221;0.632852;0.747697;0.165519;-0.114241;-0.065007;1.418574;0.464738;0.169090;0.967111;0.115096;-0.151191;2023/05/02 14:17:36.7055;-0.044739;1.428729;0.484279;0.196825;0.971924;0.034978;-0.124095;-0.058230;1.458047;0.449832;0.982004;0.020195;0.182479;-0.044291;-0.079277;1.407301;0.443157;0.739618;-0.623370;0.250896;-0.037783;-0.043973;1.455815;0.487119;0.658104;0.734190;0.114324;-0.121636;-0.050475;1.417448;0.462723;0.196825;0.971924;0.034978;-0.124095;098488ab-54a2-432e-8612-2a6918f976ff;0.024953;1.415182;0.449727;0.297418;-0.671468;0.140538;-0.664021;-0.036578;1.388545;0.440091;0.380020;-0.618124;0.071163;-0.684429;-0.006570;1.400959;0.447615;0.413534;-0.674154;0.122639;-0.599555;0.049706;1.420123;0.450036;0.297418;-0.671468;0.140538;-0.664021;89;-0.082382;1.370789;0.428916;0.739618;-0.623370;0.250896;-0.037783
NA;86664;9;-0.003648;1.518945;0.043557;0.997719;0.044115;-0.009394;0.050223;-0.003089;1.507073;0.459333;0.829619;-0.538565;0.141722;0.039951;-0.018936;1.449510;0.437191;0.806485;-0.572810;0.146354;-0.007104;-0.047314;1.395702;0.435776;0.739593;-0.623103;0.251804;-0.036600;-0.009440;1.485357;0.448893;0.842271;-0.515916;0.156045;0.007754;0.000796;1.528286;0.467196;0.829619;-0.538565;0.141722;0.039951;-0.027778;1.439342;0.485097;0.349154;0.932457;-0.044530;-0.081436;-0.039835;1.458500;0.439869;0.979870;-0.109311;0.157551;-0.055530;-0.063324;1.400339;0.438762;0.739593;-0.623103;0.251804;-0.036600;-0.025712;1.467158;0.480644;0.747509;0.644843;0.073218;-0.141587;-0.032803;1.422028;0.466887;0.349154;0.932457;-0.044530;-0.081436;-0.061443;1.414825;0.434192;0.739593;-0.623103;0.251804;-0.036600;-0.060438;1.428098;0.484182;0.167316;0.967184;0.115458;-0.152413;-0.077303;1.453412;0.461181;0.960616;0.074477;0.267030;-0.019097;-0.086465;1.409248;0.448680;0.770283;-0.542651;0.268295;0.200529;-0.061234;1.448584;0.487836;0.631678;0.748338;0.166546;-0.115045;-0.065620;1.418932;0.464283;0.167316;0.967184;0.115458;-0.152413;2023/05/02 14:17:36.7157;-0.045294;1.429024;0.483810;0.195772;0.971955;0.035385;-0.125403;-0.058883;1.458398;0.449453;0.981736;0.020948;0.183879;-0.044094;-0.079924;1.407648;0.442785;0.739593;-0.623103;0.251804;-0.036600;-0.044522;1.456105;0.486697;0.657273;0.734622;0.115381;-0.122518;-0.051089;1.417788;0.462246;0.195772;0.971955;0.035385;-0.125403;098488ab-54a2-432e-8612-2a6918f976ff;0.024308;1.415646;0.448936;0.298045;-0.672904;0.140651;-0.662259;-0.037223;1.388911;0.439566;0.380467;-0.619737;0.071799;-0.682654;-0.007196;1.401363;0.446951;0.414049;-0.675437;0.123054;-0.597667;0.049052;1.420639;0.449145;0.298045;-0.672904;0.140651;-0.662259;99;-0.083051;1.371149;0.428516;0.739593;-0.623103;0.251804;-0.036600
NA;86665;10;-0.003750;1.519197;0.043708;0.997746;0.044017;-0.009589;0.049740;-0.005227;1.508161;0.458741;0.829156;-0.539242;0.140427;0.044705;-0.020588;1.450437;0.436675;0.806132;-0.573730;0.144842;-0.002379;-0.048435;1.396342;0.435300;0.739468;-0.624310;0.249794;-0.032048;-0.011401;1.486380;0.448330;0.841869;-0.516833;0.154866;0.012554;-0.001520;1.529412;0.466589;0.829156;-0.539242;0.140427;0.044705;-0.029169;1.440253;0.484640;0.350406;0.932272;-0.039105;-0.080972;-0.041567;1.459221;0.439415;0.979836;-0.110875;0.158421;-0.050306;-0.064479;1.400818;0.438344;0.739468;-0.624310;0.249794;-0.032048;-0.027413;1.468082;0.480136;0.748667;0.643613;0.077676;-0.138660;-0.034065;1.422857;0.466474;0.350406;0.932272;-0.039105;-0.080972;-0.062761;1.415336;0.433791;0.739468;-0.624310;0.249794;-0.032048;-0.061714;1.428642;0.483822;0.168753;0.966194;0.120976;-0.152828;-0.078922;1.453761;0.460832;0.960370;0.072714;0.268710;-0.014086;-0.087685;1.409511;0.448348;0.768960;-0.543599;0.266700;0.205116;-0.062731;1.449123;0.487448;0.632673;0.746754;0.171474;-0.112609;-0.066845;1.419388;0.463951;0.168753;0.966194;0.120976;-0.152828;2023/05/02 14:17:36.7269;-0.046597;1.429724;0.483376;0.196237;0.971608;0.040614;-0.125779;-0.060586;1.458930;0.449054;0.981698;0.019618;0.185366;-0.039044;-0.081146;1.407977;0.442435;0.739468;-0.624310;0.249794;-0.032048;-0.046096;1.456811;0.486257;0.657781;0.733799;0.120082;-0.120183;-0.052339;1.418434;0.461825;0.196237;0.971608;0.040614;-0.125779;098488ab-54a2-432e-8612-2a6918f976ff;0.023066;1.416962;0.448023;0.301203;-0.675458;0.138124;-0.658753;-0.038263;1.389639;0.439031;0.383598;-0.622149;0.070062;-0.678878;-0.008312;1.402378;0.446233;0.416580;-0.677852;0.121180;-0.593543;0.047757;1.422212;0.448093;0.301203;-0.675458;0.138124;-0.658753;111;-0.083954;1.371452;0.428166;0.739468;-0.624310;0.249794;-0.032048
