Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;55029;1;-0.007364;1.518331;0.037807;0.996154;0.076701;-0.017276;0.038664;-0.043994;1.410421;0.330212;0.871678;-0.285348;0.378288;0.125115;-0.084059;1.372737;0.298235;0.852862;-0.332271;0.392021;0.092424;-0.085375;1.313262;0.287672;0.735641;-0.541586;0.247981;0.322526;-0.060445;1.397594;0.316583;0.875273;-0.254605;0.402115;0.085892;-0.031173;1.424844;0.342643;0.871678;-0.285348;0.378288;0.125115;-0.089724;1.435767;0.334643;0.732158;-0.502514;0.311856;0.337891;-0.102670;1.368791;0.310996;0.753890;-0.506779;0.299898;0.291353;-0.098783;1.308342;0.296964;0.735641;-0.541586;0.247981;0.322526;-0.095766;1.410113;0.324484;0.772128;-0.470279;0.314666;0.289209;-0.087852;1.460249;0.341973;0.732158;-0.502514;0.311856;0.337891;-0.104991;1.321963;0.296559;0.735641;-0.541586;0.247981;0.322526;-0.136678;1.388130;0.354486;0.663955;-0.509927;0.269120;0.476144;-0.119685;1.341266;0.339922;0.610200;-0.609992;0.159034;0.479870;-0.115367;1.301722;0.315259;0.690076;-0.414202;0.254848;0.535989;-0.132011;1.369521;0.346387;0.659475;-0.506488;0.221380;0.509464;-0.140589;1.409234;0.361280;0.663955;-0.509927;0.269120;0.476144;2023/05/02 14:11:44.1669;-0.118110;1.421829;0.342071;0.702456;-0.513888;0.319298;0.374865;-0.112907;1.357080;0.325581;0.673683;-0.581964;0.238140;0.388276;-0.112458;1.304817;0.307382;0.735641;-0.541586;0.247981;0.322526;-0.118147;1.395824;0.333946;0.704033;-0.517222;0.288739;0.391727;-0.118077;1.446069;0.348179;0.702456;-0.513888;0.319298;0.374865;098488ab-54a2-432e-8612-2a6918f976ff;-0.048335;1.373351;0.299299;0.745667;-0.563232;-0.042524;-0.353473;-0.072739;1.312348;0.286777;0.633829;-0.687849;-0.001989;-0.353725;-0.056602;1.341462;0.288568;0.767542;-0.586085;-0.040381;-0.256425;-0.039803;1.395738;0.307254;0.745667;-0.563232;-0.042524;-0.353473;11;-0.107312;1.275135;0.282123;0.735641;-0.541586;0.247981;0.322526
NA;55030;2;-0.007396;1.518676;0.037872;0.996252;0.074641;-0.018235;0.039717;-0.043780;1.410515;0.329467;0.871903;-0.285231;0.378357;0.123593;-0.083891;1.372862;0.297517;0.852767;-0.332832;0.392030;0.091235;-0.085284;1.313352;0.287158;0.734937;-0.542784;0.248795;0.321489;-0.060252;1.397718;0.315836;0.875437;-0.254545;0.402108;0.084414;-0.030929;1.424911;0.341897;0.871903;-0.285231;0.378357;0.123593;-0.089414;1.435977;0.333808;0.731798;-0.503403;0.312418;0.336826;-0.102512;1.368987;0.310285;0.753792;-0.507176;0.300679;0.290108;-0.098700;1.308482;0.296465;0.734937;-0.542784;0.248795;0.321489;-0.095513;1.410317;0.323697;0.772052;-0.470696;0.315391;0.287941;-0.087514;1.460477;0.341073;0.731798;-0.503403;0.312418;0.336826;-0.104891;1.322111;0.296015;0.734937;-0.542784;0.248795;0.321489;-0.136561;1.388530;0.353631;0.662730;-0.512006;0.269784;0.475243;-0.119574;1.341588;0.339304;0.609002;-0.611539;0.160100;0.479067;-0.115302;1.301951;0.314783;0.689746;-0.415351;0.255964;0.534993;-0.131887;1.369881;0.345628;0.658383;-0.508372;0.222279;0.508608;-0.140490;1.409666;0.360311;0.662730;-0.512006;0.269784;0.475243;2023/05/02 14:11:44.1781;-0.117957;1.422163;0.341116;0.701421;-0.515609;0.319899;0.373928;-0.112769;1.357342;0.324909;0.672538;-0.583540;0.238846;0.387460;-0.112386;1.305014;0.306897;0.734937;-0.542784;0.248795;0.321489;-0.118004;1.396124;0.333100;0.703140;-0.518730;0.289506;0.390769;-0.117927;1.446430;0.347113;0.701421;-0.515609;0.319899;0.373928;098488ab-54a2-432e-8612-2a6918f976ff;-0.048192;1.373452;0.298523;0.744145;-0.565149;-0.042740;-0.353592;-0.072650;1.312417;0.286262;0.632281;-0.689224;-0.002302;-0.353817;-0.056489;1.341525;0.287927;0.766232;-0.587749;-0.040497;-0.256514;-0.039627;1.395866;0.306366;0.744145;-0.565149;-0.042740;-0.353592;22;-0.107271;1.275235;0.281745;0.734937;-0.542784;0.248795;0.321489
NA;55031;3;-0.007438;1.518975;0.037943;0.996298;0.073369;-0.019226;0.040464;-0.043571;1.410614;0.328767;0.872097;-0.285259;0.378334;0.122220;-0.083713;1.372978;0.296844;0.852675;-0.333457;0.391951;0.090151;-0.085176;1.313434;0.286678;0.734266;-0.543960;0.249509;0.320478;-0.060059;1.397839;0.315134;0.875585;-0.254625;0.402014;0.083084;-0.030697;1.424992;0.341196;0.872097;-0.285259;0.378334;0.122220;-0.089103;1.436172;0.333026;0.731488;-0.504251;0.312900;0.335784;-0.102345;1.369170;0.309616;0.753745;-0.507533;0.301373;0.288883;-0.098600;1.308613;0.295997;0.734266;-0.543960;0.249509;0.320478;-0.095255;1.410507;0.322959;0.772003;-0.471106;0.316017;0.286711;-0.087178;1.460687;0.340230;0.731488;-0.504251;0.312900;0.335784;-0.104776;1.322249;0.295505;0.734266;-0.543960;0.249509;0.320478;-0.136433;1.388906;0.352825;0.661587;-0.513991;0.270366;0.474361;-0.119455;1.341892;0.338720;0.607931;-0.612967;0.161123;0.478259;-0.115220;1.302166;0.314337;0.689428;-0.416496;0.256974;0.534027;-0.131751;1.370220;0.344913;0.657361;-0.510177;0.223082;0.507769;-0.140380;1.410073;0.359397;0.661587;-0.513991;0.270366;0.474361;2023/05/02 14:11:44.1888;-0.117815;1.422477;0.340200;0.700386;-0.517359;0.320382;0.373035;-0.112623;1.357587;0.324275;0.671378;-0.585154;0.239419;0.386684;-0.112297;1.305198;0.306441;0.734266;-0.543960;0.249509;0.320478;-0.117863;1.396405;0.332293;0.702219;-0.520303;0.290134;0.389867;-0.117793;1.446771;0.346089;0.700386;-0.517359;0.320382;0.373035;098488ab-54a2-432e-8612-2a6918f976ff;-0.048039;1.373549;0.297785;0.742696;-0.566995;-0.042992;-0.353654;-0.072543;1.312481;0.285782;0.630783;-0.690572;-0.002645;-0.353859;-0.056362;1.341585;0.287322;0.764971;-0.589366;-0.040643;-0.256546;-0.039446;1.395990;0.305519;0.742696;-0.566995;-0.042992;-0.353654;33;-0.107207;1.275327;0.281394;0.734266;-0.543960;0.249509;0.320478
NA;55032;4;-0.007460;1.519147;0.037950;0.996322;0.072702;-0.020160;0.040618;-0.043369;1.410813;0.328803;0.871869;-0.286843;0.377725;0.122025;-0.083439;1.373069;0.296913;0.852551;-0.334597;0.391349;0.089708;-0.084878;1.313512;0.286825;0.734115;-0.544707;0.249063;0.319901;-0.059825;1.397985;0.315181;0.875485;-0.256042;0.401387;0.082809;-0.030531;1.425243;0.341207;0.871869;-0.286843;0.377725;0.122025;-0.088942;1.436341;0.332930;0.731362;-0.505025;0.312702;0.335078;-0.102092;1.369275;0.309658;0.753192;-0.508942;0.300814;0.288430;-0.098319;1.308702;0.296126;0.734115;-0.544707;0.249063;0.319901;-0.095070;1.410655;0.322905;0.771748;-0.472159;0.315602;0.286124;-0.087021;1.460867;0.340099;0.731362;-0.505025;0.312702;0.335078;-0.104494;1.322335;0.295603;0.734115;-0.544707;0.249063;0.319901;-0.136180;1.389080;0.352805;0.662073;-0.513911;0.270996;0.473409;-0.119248;1.342032;0.338768;0.607867;-0.613538;0.161346;0.477531;-0.114968;1.302275;0.314442;0.689352;-0.417395;0.256708;0.533551;-0.131526;1.370379;0.344913;0.657660;-0.510424;0.223520;0.506941;-0.140078;1.410259;0.359366;0.662073;-0.513911;0.270996;0.473409;2023/05/02 14:11:44.2001;-0.117551;1.422614;0.340191;0.700724;-0.517526;0.320339;0.372206;-0.112394;1.357710;0.324314;0.671494;-0.585569;0.239306;0.385925;-0.112032;1.305298;0.306548;0.734115;-0.544707;0.249063;0.319901;-0.117615;1.396537;0.332298;0.702467;-0.520611;0.290031;0.389086;-0.117506;1.446909;0.346071;0.700724;-0.517526;0.320339;0.372206;098488ab-54a2-432e-8612-2a6918f976ff;-0.047773;1.373681;0.297836;0.741089;-0.568886;-0.043648;-0.353909;-0.072243;1.312559;0.285957;0.630436;-0.690693;-0.003784;-0.354229;-0.056090;1.341679;0.287486;0.763849;-0.590690;-0.041394;-0.256723;-0.039160;1.396153;0.305457;0.741089;-0.568886;-0.043648;-0.353909;44;-0.106896;1.275396;0.281547;0.734115;-0.544707;0.249063;0.319901
NA;55033;5;-0.007484;1.519177;0.037890;0.996311;0.072658;-0.020667;0.040713;-0.043335;1.411099;0.328526;0.871782;-0.287021;0.378023;0.121301;-0.083454;1.373370;0.296682;0.852396;-0.334824;0.391650;0.089022;-0.084980;1.313797;0.286713;0.733789;-0.545148;0.249874;0.319266;-0.059809;1.398278;0.314920;0.875382;-0.256226;0.401644;0.082076;-0.030477;1.425525;0.340916;0.871782;-0.287021;0.378023;0.121301;-0.088868;1.436722;0.332575;0.731029;-0.505468;0.313489;0.334400;-0.102108;1.369626;0.309441;0.752812;-0.509451;0.301545;0.287759;-0.098426;1.309023;0.296026;0.733789;-0.545148;0.249874;0.319266;-0.095030;1.411023;0.322604;0.771392;-0.472691;0.316307;0.285425;-0.086912;1.461259;0.339696;0.731029;-0.505468;0.313489;0.334400;-0.104581;1.322664;0.295473;0.733789;-0.545148;0.249874;0.319266;-0.136171;1.389563;0.352517;0.661678;-0.514509;0.272080;0.472690;-0.119290;1.342460;0.338608;0.607213;-0.614299;0.162332;0.477051;-0.115075;1.302652;0.314353;0.689289;-0.417750;0.257618;0.532915;-0.131542;1.370836;0.344673;0.657258;-0.511094;0.224606;0.506307;-0.140037;1.410765;0.359024;0.661678;-0.514509;0.272080;0.472690;2023/05/02 14:11:44.2118;-0.117462;1.423045;0.339873;0.700507;-0.517769;0.321357;0.371396;-0.112420;1.358102;0.324122;0.671145;-0.585979;0.240309;0.385285;-0.112137;1.305657;0.306452;0.733789;-0.545148;0.249874;0.319266;-0.117577;1.396953;0.332029;0.702250;-0.520909;0.291051;0.388315;-0.117368;1.447351;0.345708;0.700507;-0.517769;0.321357;0.371396;098488ab-54a2-432e-8612-2a6918f976ff;-0.047834;1.373954;0.297610;0.740358;-0.569689;-0.043780;-0.354130;-0.072346;1.312826;0.285850;0.629662;-0.691286;-0.003904;-0.354449;-0.056174;1.341938;0.287324;0.763164;-0.591474;-0.041438;-0.256948;-0.039203;1.396435;0.305183;0.740358;-0.569689;-0.043780;-0.354130;56;-0.107053;1.275702;0.281504;0.733789;-0.545148;0.249874;0.319266
NA;55034;6;-0.007479;1.519045;0.037746;0.996240;0.073571;-0.021234;0.040514;-0.043292;1.411373;0.328254;0.871712;-0.287245;0.378232;0.120619;-0.083450;1.373653;0.296449;0.852263;-0.335089;0.391860;0.088370;-0.085055;1.314064;0.286599;0.733460;-0.545630;0.250610;0.318620;-0.059779;1.398556;0.314660;0.875301;-0.256459;0.401813;0.081390;-0.030418;1.425797;0.340630;0.871712;-0.287245;0.378232;0.120619;-0.088782;1.437081;0.332221;0.730709;-0.505943;0.314198;0.333715;-0.102105;1.369956;0.309220;0.752465;-0.509958;0.302209;0.287070;-0.098506;1.309325;0.295922;0.733460;-0.545630;0.250610;0.318620;-0.094975;1.411370;0.322301;0.771052;-0.473248;0.316933;0.284725;-0.086795;1.461630;0.339294;0.730709;-0.505943;0.314198;0.333715;-0.104642;1.322972;0.295339;0.733460;-0.545630;0.250610;0.318620;-0.136143;1.390025;0.352226;0.661309;-0.515111;0.273110;0.471955;-0.119316;1.342867;0.338441;0.606617;-0.615027;0.163306;0.476538;-0.115158;1.303009;0.314259;0.689217;-0.418161;0.258465;0.532276;-0.131539;1.371271;0.344430;0.656885;-0.511763;0.225644;0.505653;-0.139979;1.411249;0.358679;0.661309;-0.515111;0.273110;0.471955;2023/05/02 14:11:44.2225;-0.117371;1.423455;0.339541;0.700257;-0.518110;0.322281;0.370591;-0.112429;1.358473;0.323925;0.670752;-0.586477;0.241216;0.384645;-0.112219;1.305995;0.306352;0.733460;-0.545630;0.250610;0.318620;-0.117530;1.397348;0.331750;0.701989;-0.521311;0.291973;0.387554;-0.117234;1.447772;0.345329;0.700257;-0.518110;0.322281;0.370591;098488ab-54a2-432e-8612-2a6918f976ff;-0.047876;1.374212;0.297385;0.739682;-0.570424;-0.044001;-0.354332;-0.072422;1.313074;0.285742;0.628886;-0.691881;-0.004091;-0.354664;-0.056234;1.342180;0.287161;0.762505;-0.592224;-0.041562;-0.257159;-0.039233;1.396703;0.304914;0.739682;-0.570424;-0.044001;-0.354332;67;-0.107179;1.275987;0.281459;0.733460;-0.545630;0.250610;0.318620
NA;55035;7;-0.007450;1.518740;0.037507;0.996133;0.074982;-0.021543;0.040402;-0.043308;1.411397;0.327307;0.870383;-0.287600;0.380677;0.121674;-0.083584;1.373549;0.295805;0.850705;-0.336031;0.394113;0.089771;-0.085112;1.313933;0.286124;0.731672;-0.545871;0.252577;0.320758;-0.059855;1.398533;0.313829;0.873859;-0.257243;0.404221;0.082475;-0.030378;1.425849;0.339590;0.870383;-0.287600;0.380677;0.121674;-0.088854;1.437062;0.331431;0.728794;-0.506143;0.316322;0.335589;-0.102154;1.369843;0.308696;0.750481;-0.510546;0.304225;0.289082;-0.098500;1.309187;0.295537;0.731672;-0.545871;0.252577;0.320758;-0.095049;1.411311;0.321617;0.769156;-0.473765;0.319092;0.286578;-0.086873;1.461632;0.338431;0.728794;-0.506143;0.316322;0.335589;-0.104668;1.322818;0.294947;0.731672;-0.545871;0.252577;0.320758;-0.135922;1.389958;0.351852;0.659920;-0.513919;0.276128;0.473441;-0.119130;1.342788;0.338086;0.604788;-0.614578;0.165352;0.478732;-0.115026;1.302879;0.313979;0.687324;-0.417719;0.260709;0.533974;-0.131364;1.371189;0.344067;0.655394;-0.510800;0.228419;0.507314;-0.139700;1.411196;0.358294;0.659920;-0.513919;0.276128;0.473441;2023/05/02 14:11:44.2337;-0.117287;1.423379;0.339004;0.698644;-0.517619;0.324681;0.372223;-0.112365;1.358373;0.323490;0.669075;-0.586193;0.243298;0.386682;-0.112140;1.305852;0.306047;0.731672;-0.545871;0.252577;0.320758;-0.117473;1.397258;0.331262;0.700404;-0.520842;0.294343;0.389257;-0.117130;1.447707;0.344750;0.698644;-0.517619;0.324681;0.372223;098488ab-54a2-432e-8612-2a6918f976ff;-0.047983;1.374178;0.296595;0.739391;-0.572193;-0.042984;-0.352206;-0.072482;1.312969;0.285206;0.628562;-0.693343;-0.003519;-0.352382;-0.056340;1.342107;0.286491;0.762108;-0.593764;-0.040392;-0.254960;-0.039338;1.396701;0.304025;0.739391;-0.572193;-0.042984;-0.352206;78;-0.107182;1.275794;0.281198;0.731672;-0.545871;0.252577;0.320758
NA;55036;8;-0.007422;1.518442;0.037249;0.996033;0.076449;-0.021597;0.040082;-0.043418;1.411376;0.327242;0.870235;-0.288699;0.380281;0.121372;-0.083644;1.373446;0.295776;0.850553;-0.337009;0.393695;0.089385;-0.085190;1.313814;0.286201;0.731428;-0.546586;0.252586;0.320089;-0.059944;1.398476;0.313774;0.873779;-0.258286;0.403796;0.082145;-0.030508;1.425861;0.339508;0.870235;-0.288699;0.380281;0.121372;-0.088978;1.437048;0.331239;0.728411;-0.507119;0.316297;0.334970;-0.102230;1.369769;0.308653;0.749952;-0.511731;0.304037;0.288556;-0.098593;1.309091;0.295605;0.731428;-0.546586;0.252586;0.320089;-0.095157;1.411273;0.321478;0.768760;-0.474851;0.318944;0.286008;-0.087005;1.461634;0.338188;0.728411;-0.507119;0.316297;0.334970;-0.104751;1.322723;0.294980;0.731428;-0.546586;0.252586;0.320089;-0.135935;1.389994;0.351766;0.660457;-0.513564;0.277423;0.472319;-0.119249;1.342771;0.338070;0.604704;-0.615056;0.166134;0.477953;-0.115139;1.302821;0.314034;0.687241;-0.418508;0.260887;0.533376;-0.131439;1.371202;0.343998;0.655877;-0.510671;0.229607;0.506281;-0.139635;1.411250;0.358192;0.660457;-0.513564;0.277423;0.472319;2023/05/02 14:11:44.2449;-0.117322;1.423358;0.338884;0.698844;-0.517771;0.325052;0.371311;-0.112461;1.358329;0.323456;0.668945;-0.586738;0.243516;0.385943;-0.112243;1.305779;0.306100;0.731428;-0.546586;0.252586;0.320089;-0.117543;1.397229;0.331167;0.700555;-0.521098;0.294683;0.388384;-0.117127;1.447690;0.344609;0.698844;-0.517771;0.325052;0.371311;098488ab-54a2-432e-8612-2a6918f976ff;-0.048043;1.374057;0.296645;0.738915;-0.572356;-0.043776;-0.352842;-0.072558;1.312844;0.285308;0.628009;-0.693447;-0.004144;-0.353156;-0.056405;1.341975;0.286582;0.761487;-0.594220;-0.041031;-0.255651;-0.039403;1.396587;0.304062;0.738915;-0.572356;-0.043776;-0.352842;89;-0.107273;1.275677;0.281306;0.731428;-0.546586;0.252586;0.320089
NA;55037;9;-0.007373;1.518159;0.036984;0.995948;0.077689;-0.021745;0.039745;-0.043519;1.411379;0.327154;0.870008;-0.290004;0.379871;0.121170;-0.083688;1.373350;0.295733;0.850348;-0.338113;0.393263;0.089058;-0.085250;1.313703;0.286266;0.731174;-0.547312;0.252592;0.319423;-0.060022;1.398434;0.313701;0.873644;-0.259496;0.403362;0.081890;-0.030635;1.425906;0.339397;0.870008;-0.290004;0.379871;0.121170;-0.089095;1.437046;0.331026;0.727980;-0.508157;0.316251;0.334375;-0.102290;1.369703;0.308597;0.749376;-0.512981;0.303824;0.288056;-0.098667;1.309003;0.295663;0.731174;-0.547312;0.252592;0.319423;-0.095255;1.411245;0.321321;0.768321;-0.476000;0.318775;0.285463;-0.087133;1.461648;0.337920;0.727980;-0.508157;0.316251;0.334375;-0.104818;1.322636;0.295000;0.731174;-0.547312;0.252592;0.319423;-0.135915;1.390040;0.351677;0.661079;-0.513076;0.278805;0.471164;-0.119352;1.342762;0.338041;0.604715;-0.615432;0.167003;0.477151;-0.115234;1.302770;0.314077;0.687147;-0.419308;0.261067;0.532780;-0.131489;1.371226;0.343922;0.656469;-0.510397;0.230892;0.505206;-0.139529;1.411314;0.358092;0.661079;-0.513076;0.278805;0.471164;2023/05/02 14:11:44.2556;-0.117344;1.423344;0.338752;0.699043;-0.517925;0.325410;0.370408;-0.112541;1.358292;0.323408;0.668800;-0.587299;0.243708;0.385219;-0.112329;1.305714;0.306141;0.731174;-0.547312;0.252592;0.319423;-0.117599;1.397208;0.331060;0.700703;-0.521357;0.295008;0.387522;-0.117112;1.447680;0.344455;0.699043;-0.517925;0.325410;0.370408;098488ab-54a2-432e-8612-2a6918f976ff;-0.048087;1.373946;0.296681;0.738472;-0.572486;-0.044589;-0.353456;-0.072618;1.312726;0.285397;0.627446;-0.693566;-0.004773;-0.353914;-0.056453;1.341851;0.286660;0.760861;-0.594686;-0.041672;-0.256327;-0.039453;1.396482;0.304086;0.738472;-0.572486;-0.044589;-0.353456;100;-0.107346;1.275568;0.281403;0.731174;-0.547312;0.252592;0.319423
NA;55038;10;-0.007227;1.517613;0.036528;0.995870;0.078795;-0.021827;0.039459;-0.043614;1.411401;0.327048;0.869719;-0.291471;0.379450;0.121045;-0.083719;1.373260;0.295680;0.850102;-0.339319;0.392819;0.088777;-0.085297;1.313599;0.286322;0.730912;-0.548048;0.252595;0.318758;-0.060091;1.398407;0.313611;0.873466;-0.260840;0.402921;0.081696;-0.030759;1.425977;0.339263;0.869719;-0.291471;0.379450;0.121045;-0.089207;1.437053;0.330796;0.727510;-0.509248;0.316189;0.333797;-0.102335;1.369644;0.308531;0.748759;-0.514288;0.303590;0.287578;-0.098728;1.308921;0.295710;0.730912;-0.548048;0.252595;0.318758;-0.095345;1.411225;0.321148;0.767846;-0.477205;0.318588;0.284939;-0.087257;1.461671;0.337634;0.727510;-0.509248;0.316189;0.333797;-0.104870;1.322554;0.295011;0.730912;-0.548048;0.252595;0.318758;-0.135869;1.390093;0.351585;0.661771;-0.512479;0.280259;0.469979;-0.119441;1.342761;0.338003;0.604801;-0.615729;0.167942;0.476329;-0.115315;1.302726;0.314110;0.687044;-0.420118;0.261247;0.532185;-0.131518;1.371258;0.343841;0.657148;-0.510005;0.232255;0.504093;-0.139391;1.411386;0.357992;0.661771;-0.512479;0.280259;0.469979;2023/05/02 14:11:44.2674;-0.117355;1.423336;0.338608;0.699243;-0.518077;0.325757;0.369511;-0.112608;1.358263;0.323351;0.668643;-0.587872;0.243882;0.384505;-0.112400;1.305655;0.306173;0.730912;-0.548048;0.252595;0.318758;-0.117643;1.397193;0.330941;0.700850;-0.521616;0.295321;0.386666;-0.117087;1.447677;0.344291;0.699243;-0.518077;0.325757;0.369511;098488ab-54a2-432e-8612-2a6918f976ff;-0.048117;1.373841;0.296705;0.738053;-0.572591;-0.045421;-0.354055;-0.072663;1.312615;0.285477;0.626874;-0.693696;-0.005406;-0.354663;-0.056487;1.341734;0.286727;0.760230;-0.595160;-0.042316;-0.256992;-0.039492;1.396383;0.304101;0.738053;-0.572591;-0.045421;-0.354055;111;-0.107404;1.275464;0.281492;0.730912;-0.548048;0.252595;0.318758
