Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;101675;1;0.022369;1.519640;0.088590;0.996544;0.062036;-0.030593;0.046004;0.006869;1.408504;0.528711;0.908991;0.160455;0.384170;-0.020092;-0.038946;1.432704;0.491514;0.887918;0.172995;0.421487;-0.063427;-0.081588;1.406066;0.457918;0.895205;-0.144877;0.399856;0.133168;-0.010694;1.418678;0.514257;0.887310;0.206015;0.409286;-0.052199;0.022690;1.402431;0.544195;0.908991;0.160455;0.384170;-0.020092;-0.003631;1.408123;0.550533;0.910627;0.135993;0.383856;0.070134;-0.055350;1.434345;0.507420;0.892628;0.201195;0.403365;-0.005668;-0.094850;1.405938;0.468591;0.895205;-0.144877;0.399856;0.133168;-0.023757;1.418335;0.533547;0.894790;0.203918;0.397179;0.004272;0.014504;1.404200;0.568206;0.910627;0.135993;0.383856;0.070134;-0.089593;1.417499;0.476593;0.895205;-0.144877;0.399856;0.133168;-0.078417;1.375603;0.507593;-0.178911;0.929954;0.151719;-0.283121;-0.087942;1.412519;0.526004;0.685255;0.587021;0.428327;-0.048666;-0.111956;1.401635;0.487331;0.897795;-0.022380;0.293875;0.327262;-0.071252;1.385866;0.524236;0.201409;0.913479;0.255256;-0.244612;-0.091047;1.380139;0.489517;-0.178911;0.929954;0.151719;-0.283121;2023/05/02 14:20:23.9915;-0.060509;1.378911;0.508200;-0.187122;0.929514;0.067827;-0.310465;-0.071417;1.425555;0.518341;0.789601;0.474994;0.382572;-0.067454;-0.107412;1.406125;0.481064;0.895205;-0.144877;0.399856;0.133168;-0.049824;1.393500;0.528578;0.227944;0.907756;0.223509;-0.272148;-0.075732;1.384954;0.489316;-0.187122;0.929514;0.067827;-0.310465;098488ab-54a2-432e-8612-2a6918f976ff;-0.014634;1.408486;0.480684;0.688293;-0.304319;0.346270;-0.560125;-0.073296;1.398659;0.451769;0.613934;-0.457735;0.429038;-0.479051;-0.041116;1.403692;0.458863;0.758996;-0.293617;0.314465;-0.488698;0.006478;1.410140;0.494425;0.688293;-0.304319;0.346270;-0.560125;11;-0.123836;1.400653;0.445767;0.895205;-0.144877;0.399856;0.133168
NA;101676;2;0.022328;1.519586;0.088561;0.996549;0.060872;-0.031991;0.046486;0.007001;1.408618;0.527683;0.908492;0.159294;0.385833;-0.020029;-0.038976;1.432692;0.490603;0.887381;0.171832;0.423084;-0.063467;-0.081700;1.405927;0.457215;0.894242;-0.145762;0.401503;0.133721;-0.010626;1.418745;0.513272;0.886810;0.204900;0.410913;-0.052295;0.022884;1.402598;0.543123;0.908492;0.159294;0.385833;-0.020029;-0.003419;1.408222;0.549518;0.909975;0.135254;0.385673;0.070063;-0.055325;1.434339;0.506566;0.892005;0.200400;0.405132;-0.005910;-0.094923;1.405800;0.467936;0.894242;-0.145762;0.401503;0.133721;-0.023619;1.418393;0.532595;0.894175;0.203144;0.398958;0.004030;0.014785;1.404343;0.567129;0.909975;0.135254;0.385673;0.070063;-0.089654;1.417385;0.475895;0.894242;-0.145762;0.401503;0.133721;-0.078336;1.375559;0.506898;-0.178225;0.929480;0.151685;-0.285123;-0.087816;1.412500;0.525308;0.684670;0.586446;0.429907;-0.049886;-0.111954;1.401508;0.486744;0.896995;-0.022837;0.295797;0.327692;-0.071117;1.385855;0.523498;0.201741;0.912711;0.255942;-0.246481;-0.091040;1.380048;0.488863;-0.178225;0.929480;0.151685;-0.285123;2023/05/02 14:20:24.0027;-0.060430;1.378889;0.507431;-0.186379;0.929030;0.067739;-0.312375;-0.071339;1.425545;0.517561;0.789133;0.474285;0.384262;-0.068307;-0.107440;1.405992;0.480452;0.894242;-0.145762;0.401503;0.133721;-0.049681;1.393518;0.527748;0.228288;0.906964;0.224202;-0.273926;-0.075731;1.384887;0.488597;-0.186379;0.929030;0.067739;-0.312375;098488ab-54a2-432e-8612-2a6918f976ff;-0.014669;1.408461;0.479748;0.687671;-0.306170;0.346779;-0.559565;-0.073420;1.398518;0.451053;0.613000;-0.459379;0.429386;-0.478362;-0.041221;1.403598;0.458027;0.758428;-0.295344;0.315129;-0.488112;0.006489;1.410164;0.493410;0.687671;-0.306170;0.346779;-0.559565;22;-0.123985;1.400431;0.445225;0.894242;-0.145762;0.401503;0.133721
NA;101677;3;0.022261;1.519351;0.088445;0.996517;0.060723;-0.033116;0.046593;0.007125;1.408737;0.526696;0.908047;0.158091;0.387381;-0.019872;-0.039006;1.432677;0.489722;0.886907;0.170633;0.424570;-0.063415;-0.081808;1.405790;0.456533;0.893317;-0.146594;0.403077;0.134253;-0.010562;1.418813;0.512324;0.886364;0.203774;0.412431;-0.052306;0.023067;1.402772;0.542098;0.908047;0.158091;0.387381;-0.019872;-0.003220;1.408307;0.548536;0.909352;0.134550;0.387396;0.070002;-0.055301;1.434328;0.505738;0.891401;0.199679;0.406811;-0.006144;-0.094994;1.405665;0.467301;0.893317;-0.146594;0.403077;0.134253;-0.023488;1.418441;0.531673;0.893580;0.202442;0.400648;0.003796;0.015051;1.404471;0.566088;0.909352;0.134550;0.387396;0.070002;-0.089714;1.417273;0.475218;0.893317;-0.146594;0.403077;0.134253;-0.078270;1.375513;0.506214;-0.177724;0.928992;0.151567;-0.287080;-0.087695;1.412477;0.524633;0.683992;0.586024;0.431412;-0.051134;-0.111953;1.401384;0.486172;0.896226;-0.023258;0.297633;0.328104;-0.070995;1.385837;0.522772;0.201938;0.911995;0.256550;-0.248330;-0.091046;1.379965;0.488220;-0.177724;0.928992;0.151567;-0.287080;2023/05/02 14:20:24.0135;-0.060354;1.378857;0.506685;-0.185493;0.928594;0.067727;-0.314197;-0.071264;1.425532;0.516805;0.788648;0.473651;0.385885;-0.069151;-0.107467;1.405863;0.479856;0.893317;-0.146594;0.403077;0.134253;-0.049548;1.393528;0.526940;0.228716;0.906171;0.224900;-0.275614;-0.075729;1.384803;0.487894;-0.185493;0.928594;0.067727;-0.314197;098488ab-54a2-432e-8612-2a6918f976ff;-0.014707;1.408429;0.478849;0.687068;-0.307888;0.347242;-0.559077;-0.073539;1.398380;0.450360;0.612096;-0.460916;0.429716;-0.477744;-0.041322;1.403502;0.457220;0.757875;-0.296955;0.315740;-0.487598;0.006495;1.410177;0.492438;0.687068;-0.307888;0.347242;-0.559077;33;-0.124126;1.400217;0.444697;0.893317;-0.146594;0.403077;0.134253
NA;101678;4;0.022174;1.519820;0.088411;0.996455;0.061322;-0.034006;0.046489;0.006539;1.409769;0.528405;0.909280;0.157573;0.384756;-0.018554;-0.039409;1.433619;0.491145;0.888260;0.170399;0.422011;-0.062167;-0.081975;1.406622;0.457739;0.894205;-0.147722;0.400556;0.134648;-0.011080;1.419807;0.513922;0.887703;0.203388;0.409910;-0.050898;0.022397;1.403843;0.543906;0.909280;0.157573;0.384756;-0.018554;-0.003894;1.409419;0.550204;0.910533;0.132812;0.384930;0.071558;-0.055794;1.435248;0.507072;0.892711;0.198619;0.404471;-0.004580;-0.095218;1.406474;0.468436;0.894205;-0.147722;0.400556;0.134648;-0.024091;1.419477;0.533211;0.894860;0.201360;0.398311;0.005374;0.014283;1.405678;0.567874;0.910533;0.132812;0.384930;0.071558;-0.090005;1.418097;0.476379;0.894205;-0.147722;0.400556;0.134648;-0.078633;1.376364;0.507476;-0.175523;0.929827;0.153308;-0.284800;-0.088244;1.413342;0.525807;0.685410;0.585386;0.430263;-0.049105;-0.112270;1.402169;0.487225;0.896671;-0.024800;0.295309;0.328874;-0.071478;1.386736;0.524056;0.203754;0.912147;0.257044;-0.245767;-0.091317;1.380724;0.489394;-0.175523;0.929827;0.153308;-0.284800;2023/05/02 14:20:24.0247;-0.060649;1.379706;0.508101;-0.181740;0.930008;0.070399;-0.311609;-0.071798;1.426426;0.518059;0.790254;0.472630;0.384244;-0.066908;-0.107760;1.406653;0.480930;0.894205;-0.147722;0.400556;0.134648;-0.050046;1.394504;0.528372;0.231796;0.906109;0.225782;-0.272508;-0.075924;1.385455;0.489168;-0.181740;0.930008;0.070399;-0.311609;098488ab-54a2-432e-8612-2a6918f976ff;-0.014990;1.409486;0.480370;0.688602;-0.307529;0.345085;-0.558722;-0.073657;1.399230;0.451609;0.613776;-0.460590;0.427351;-0.478024;-0.041491;1.404458;0.458624;0.759284;-0.296610;0.313374;-0.487141;0.006148;1.411313;0.494047;0.688602;-0.307529;0.345085;-0.558722;44;-0.124217;1.400945;0.445685;0.894205;-0.147722;0.400556;0.134648
NA;101679;5;0.022147;1.519513;0.088264;0.996354;0.062985;-0.034506;0.046054;0.005999;1.410726;0.529932;0.910407;0.157030;0.382364;-0.017288;-0.039783;1.434485;0.492411;0.889497;0.170137;0.419679;-0.060976;-0.082134;1.407384;0.458814;0.894974;-0.148782;0.398311;0.135036;-0.011557;1.420725;0.515347;0.888928;0.202981;0.407615;-0.049558;0.021783;1.404839;0.545525;0.910407;0.157030;0.382364;-0.017288;-0.004508;1.410454;0.551694;0.911604;0.131059;0.382710;0.073047;-0.056247;1.436093;0.508257;0.893900;0.197558;0.402372;-0.003109;-0.095426;1.407214;0.469448;0.894974;-0.148782;0.398311;0.135036;-0.024641;1.420438;0.534583;0.896021;0.200279;0.396216;0.006859;0.013584;1.406809;0.569472;0.911604;0.131059;0.382710;0.073047;-0.090276;1.418850;0.477413;0.894974;-0.148782;0.398311;0.135036;-0.078965;1.377144;0.508603;-0.173394;0.930567;0.154922;-0.282804;-0.088743;1.414137;0.526853;0.686663;0.584778;0.429290;-0.047320;-0.112561;1.402886;0.488165;0.897039;-0.026223;0.293254;0.329599;-0.071917;1.387562;0.525200;0.205462;0.912229;0.257537;-0.243513;-0.091566;1.381413;0.490442;-0.173394;0.930567;0.154922;-0.282804;2023/05/02 14:20:24.0359;-0.060904;1.380477;0.509379;-0.177774;0.931353;0.073053;-0.309258;-0.072287;1.427247;0.519174;0.791746;0.471578;0.382816;-0.064844;-0.108030;1.407375;0.481888;0.894974;-0.148782;0.398311;0.135036;-0.050495;1.395406;0.529655;0.234947;0.905917;0.226724;-0.269649;-0.076087;1.386017;0.490311;-0.177774;0.931353;0.073053;-0.309258;098488ab-54a2-432e-8612-2a6918f976ff;-0.015254;1.410466;0.481720;0.690005;-0.307327;0.343145;-0.558297;-0.073772;1.400009;0.452722;0.615305;-0.460390;0.425186;-0.478183;-0.041653;1.405340;0.459873;0.760574;-0.296403;0.311248;-0.486619;0.005829;1.412371;0.495472;0.690005;-0.307327;0.343145;-0.558297;55;-0.124306;1.401608;0.446569;0.894974;-0.148782;0.398311;0.135036
NA;101680;6;0.022147;1.519225;0.088092;0.996334;0.064026;-0.034182;0.045291;0.005318;1.409471;0.529762;0.909468;0.161641;0.382912;-0.010924;-0.040639;1.433376;0.492548;0.888607;0.174694;0.420575;-0.054548;-0.082772;1.406473;0.458509;0.895662;-0.143805;0.396478;0.141123;-0.012315;1.419519;0.515304;0.887837;0.207261;0.408576;-0.043063;0.021144;1.403502;0.545281;0.909468;0.161641;0.382912;-0.010924;-0.005251;1.408645;0.551471;0.910411;0.137125;0.382275;0.078829;-0.057125;1.434635;0.508404;0.892464;0.203251;0.402727;0.002853;-0.096065;1.406044;0.469131;0.895662;-0.143805;0.396478;0.141123;-0.025436;1.418769;0.534503;0.894531;0.206005;0.396501;0.012781;0.012854;1.404826;0.569198;0.910411;0.137125;0.382275;0.078829;-0.091008;1.417592;0.477289;0.895662;-0.143805;0.396478;0.141123;-0.079409;1.375508;0.507863;-0.178686;0.928935;0.160622;-0.281697;-0.089471;1.412175;0.526657;0.682548;0.588535;0.431318;-0.041465;-0.113182;1.401312;0.487793;0.896097;-0.020917;0.290465;0.334969;-0.072463;1.385744;0.524616;0.200117;0.912838;0.262589;-0.240264;-0.092017;1.379933;0.489744;-0.178686;0.928935;0.160622;-0.281697;2023/05/02 14:20:24.0472;-0.061494;1.379025;0.508604;-0.186408;0.929337;0.077417;-0.309179;-0.073106;1.425515;0.519180;0.788078;0.477024;0.384513;-0.059421;-0.108680;1.405924;0.481585;0.895662;-0.143805;0.396478;0.141123;-0.051141;1.393627;0.529143;0.227248;0.907495;0.231081;-0.267231;-0.076710;1.384889;0.489658;-0.186408;0.929337;0.077417;-0.309179;098488ab-54a2-432e-8612-2a6918f976ff;-0.015907;1.409849;0.481390;0.694687;-0.304355;0.346483;-0.552021;-0.074353;1.399266;0.452294;0.620882;-0.458002;0.426890;-0.471704;-0.042279;1.404799;0.459494;0.764993;-0.292383;0.313902;-0.480379;0.005184;1.411754;0.495130;0.694687;-0.304355;0.346483;-0.552021;66;-0.124891;1.400550;0.446175;0.895662;-0.143805;0.396478;0.141123
NA;101681;7;0.022167;1.519002;0.087903;0.996332;0.064709;-0.033707;0.044713;0.005538;1.410281;0.529153;0.909104;0.160400;0.384274;-0.011624;-0.040535;1.434077;0.492012;0.888216;0.173371;0.421849;-0.055301;-0.082764;1.407040;0.458204;0.894754;-0.145066;0.398117;0.140973;-0.012140;1.420287;0.514721;0.887505;0.205966;0.409866;-0.043853;0.021411;1.404355;0.544640;0.909104;0.160400;0.384274;-0.011624;-0.004942;1.409549;0.550898;0.910007;0.135575;0.383895;0.078306;-0.056969;1.435377;0.507918;0.892127;0.201756;0.404228;0.002139;-0.096024;1.406641;0.468870;0.894754;-0.145066;0.398117;0.140973;-0.025188;1.419610;0.533964;0.894205;0.204524;0.398022;0.012073;0.013221;1.405803;0.568580;0.910007;0.135575;0.383895;0.078306;-0.090945;1.418221;0.476967;0.894754;-0.145066;0.398117;0.140973;-0.079244;1.376236;0.507613;-0.177508;0.928706;0.160056;-0.283509;-0.089245;1.412958;0.526346;0.682543;0.587576;0.432477;-0.043057;-0.113076;1.401962;0.487593;0.895502;-0.021836;0.292437;0.334783;-0.072243;1.386521;0.524313;0.200985;0.912114;0.262689;-0.242173;-0.091913;1.380603;0.489523;-0.177508;0.928706;0.160056;-0.283509;2023/05/02 14:20:24.0579;-0.061332;1.379773;0.508283;-0.185532;0.928999;0.076629;-0.310912;-0.072910;1.426283;0.518774;0.788078;0.475814;0.385812;-0.060695;-0.108596;1.406557;0.481356;0.894754;-0.145066;0.398117;0.140973;-0.050907;1.394426;0.528750;0.227972;0.906746;0.231129;-0.269110;-0.076615;1.385598;0.489379;-0.185532;0.928999;0.076629;-0.310912;098488ab-54a2-432e-8612-2a6918f976ff;-0.015836;1.410466;0.480904;0.693563;-0.306229;0.346559;-0.552350;-0.074361;1.399811;0.451993;0.619445;-0.459570;0.426992;-0.471977;-0.042266;1.405355;0.459092;0.763990;-0.294204;0.314120;-0.480720;0.005294;1.412409;0.494579;0.693563;-0.306229;0.346559;-0.552350;77;-0.124920;1.401064;0.446016;0.894754;-0.145066;0.398117;0.140973
NA;101682;8;0.022218;1.518848;0.087704;0.996327;0.065025;-0.033254;0.044712;0.005729;1.411038;0.528580;0.908766;0.159284;0.385517;-0.012221;-0.040451;1.434733;0.491508;0.887858;0.172163;0.423013;-0.055939;-0.082765;1.407568;0.457915;0.893902;-0.146240;0.399628;0.140891;-0.011991;1.421005;0.514173;0.887195;0.204800;0.411047;-0.044532;0.021645;1.405151;0.544038;0.908766;0.159284;0.385517;-0.012221;-0.004665;1.410400;0.550358;0.909627;0.134069;0.385402;0.077904;-0.056838;1.436069;0.507460;0.891812;0.200330;0.405632;0.001548;-0.095994;1.407195;0.468621;0.893902;-0.146240;0.399628;0.140891;-0.024968;1.420398;0.533457;0.893901;0.203112;0.399444;0.011487;0.013553;1.406727;0.568000;0.909627;0.134069;0.385402;0.077904;-0.090897;1.418805;0.476661;0.893902;-0.146240;0.399628;0.140891;-0.079100;1.376914;0.507369;-0.176450;0.928470;0.159562;-0.285217;-0.089044;1.413683;0.526049;0.682497;0.586701;0.433587;-0.044518;-0.112986;1.402563;0.487400;0.894928;-0.022687;0.294260;0.334664;-0.072048;1.387243;0.524020;0.201746;0.911433;0.262820;-0.243956;-0.091827;1.381227;0.489307;-0.176450;0.928470;0.159562;-0.285217;2023/05/02 14:20:24.0696;-0.061185;1.380467;0.507979;-0.184619;0.928691;0.075992;-0.312527;-0.072741;1.426996;0.518390;0.788076;0.474662;0.387052;-0.061826;-0.108528;1.407143;0.481136;0.893902;-0.146240;0.399628;0.140891;-0.050696;1.395170;0.528377;0.228709;0.906017;0.231251;-0.270829;-0.076530;1.386249;0.489112;-0.184619;0.928691;0.075992;-0.312527;098488ab-54a2-432e-8612-2a6918f976ff;-0.015783;1.411034;0.480457;0.692516;-0.307912;0.346577;-0.552717;-0.074377;1.400318;0.451710;0.618112;-0.460977;0.427052;-0.472298;-0.042263;1.405868;0.458719;0.763056;-0.295849;0.314266;-0.481099;0.005380;1.413010;0.494076;0.692516;-0.307912;0.346577;-0.552717;88;-0.124955;1.401541;0.445861;0.893902;-0.146240;0.399628;0.140891
NA;101683;9;0.022278;1.518738;0.087516;0.996369;0.064845;-0.032308;0.044727;0.004787;1.412143;0.529820;0.910111;0.159545;0.382334;-0.007945;-0.041236;1.435691;0.492459;0.889392;0.172849;0.420027;-0.051795;-0.083098;1.408404;0.458402;0.895450;-0.146282;0.395102;0.143755;-0.012879;1.422044;0.515301;0.888664;0.205127;0.408153;-0.040121;0.020615;1.406310;0.545388;0.910111;0.159545;0.382334;-0.007945;-0.005805;1.411322;0.551505;0.910739;0.134412;0.381805;0.081930;-0.057765;1.436865;0.508276;0.893083;0.200975;0.402465;0.005819;-0.096415;1.407910;0.468994;0.895450;-0.146282;0.395102;0.143755;-0.026023;1.421272;0.534475;0.895111;0.203737;0.396256;0.015763;0.012286;1.407686;0.569286;0.910739;0.134412;0.381805;0.081930;-0.091456;1.419518;0.477120;0.895450;-0.146282;0.395102;0.143755;-0.079673;1.377562;0.507753;-0.175889;0.928978;0.163955;-0.281391;-0.089992;1.414212;0.526502;0.683131;0.587112;0.432542;-0.039250;-0.113537;1.403102;0.487607;0.895199;-0.023235;0.289723;0.337846;-0.072830;1.387877;0.524500;0.202082;0.911983;0.265257;-0.238933;-0.092264;1.381832;0.489587;-0.175889;0.928978;0.163955;-0.281391;2023/05/02 14:20:24.0803;-0.061797;1.381229;0.508521;-0.185061;0.929421;0.080191;-0.309028;-0.073705;1.427653;0.519035;0.788808;0.475513;0.385281;-0.056823;-0.109054;1.407733;0.481400;0.895450;-0.146282;0.395102;0.143755;-0.051563;1.395909;0.529066;0.228584;0.906927;0.233481;-0.265934;-0.077018;1.386989;0.489547;-0.185061;0.929421;0.080191;-0.309028;098488ab-54a2-432e-8612-2a6918f976ff;-0.016336;1.412242;0.481524;0.696168;-0.306110;0.344036;-0.550714;-0.074613;1.401229;0.452241;0.622455;-0.459207;0.423669;-0.471363;-0.042600;1.406971;0.459551;0.766554;-0.293581;0.310971;-0.479065;0.004719;1.414323;0.495293;0.696168;-0.306110;0.344036;-0.550714;99;-0.125147;1.402171;0.445965;0.895450;-0.146282;0.395102;0.143755
NA;101684;10;0.022369;1.518668;0.087325;0.996394;0.064838;-0.031494;0.044755;0.004243;1.412236;0.529706;0.910143;0.160486;0.381858;-0.008249;-0.041711;1.435928;0.492351;0.889338;0.174094;0.419579;-0.052172;-0.083561;1.408742;0.458198;0.895916;-0.145428;0.394479;0.143427;-0.013397;1.422184;0.515188;0.888646;0.206102;0.407677;-0.040379;0.020050;1.406357;0.545279;0.910143;0.160486;0.381858;-0.008249;-0.006396;1.411335;0.551363;0.910830;0.135972;0.381143;0.081429;-0.058260;1.437096;0.508147;0.893031;0.202494;0.401824;0.005417;-0.096893;1.408249;0.468771;0.895916;-0.145428;0.394479;0.143427;-0.026577;1.421370;0.534338;0.895064;0.205248;0.395599;0.015352;0.011670;1.407611;0.569150;0.910830;0.135972;0.381143;0.081429;-0.091931;1.419840;0.476919;0.895916;-0.145428;0.394479;0.143427;-0.080230;1.377818;0.507496;-0.176251;0.929261;0.163980;-0.280214;-0.090538;1.414453;0.526295;0.682922;0.588081;0.431597;-0.038775;-0.114046;1.403433;0.487351;0.895615;-0.022574;0.288872;0.337516;-0.073408;1.388100;0.524272;0.201473;0.912513;0.264766;-0.237964;-0.092778;1.382115;0.489306;-0.176251;0.929261;0.163980;-0.280214;2023/05/02 14:20:24.0916;-0.062403;1.381468;0.508254;-0.186512;0.929431;0.079717;-0.308247;-0.074226;1.427886;0.518870;0.788370;0.476903;0.384447;-0.056888;-0.109548;1.408069;0.481157;0.895916;-0.145428;0.394479;0.143427;-0.052159;1.396073;0.528847;0.227249;0.907605;0.232747;-0.265408;-0.077592;1.387307;0.489279;-0.186512;0.929431;0.079717;-0.308247;098488ab-54a2-432e-8612-2a6918f976ff;-0.016823;1.412475;0.481420;0.695999;-0.305745;0.344548;-0.550811;-0.075076;1.401564;0.452041;0.622855;-0.458125;0.423759;-0.471808;-0.043069;1.407258;0.459412;0.766656;-0.292690;0.311006;-0.479424;0.004239;1.414525;0.495183;0.695999;-0.305745;0.344548;-0.550811;111;-0.125601;1.402583;0.445691;0.895916;-0.145428;0.394479;0.143427
