Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;107432;1;0.008474;1.529719;0.120036;0.998354;0.051672;-0.000206;0.024895;0.034181;1.424121;0.467146;0.684395;0.094098;0.635964;0.343947;-0.026565;1.405431;0.461765;0.672926;0.071580;0.670635;0.303804;-0.081314;1.384679;0.448267;0.741171;0.124185;0.585260;0.304489;0.010223;1.417530;0.465275;0.667210;0.107651;0.671465;0.303936;0.055269;1.431804;0.471961;0.684395;0.094098;0.635964;0.343947;0.005204;1.357329;0.458629;0.031251;0.814487;0.365821;-0.449232;-0.031299;1.395852;0.482029;0.659423;0.387285;0.637929;0.090654;-0.086839;1.377660;0.463061;0.741171;0.124185;0.585260;0.304489;0.008820;1.378463;0.477017;0.281872;0.717366;0.557566;-0.308310;-0.012318;1.346581;0.443329;0.031251;0.814487;0.365821;-0.449232;-0.078059;1.387897;0.469505;0.741171;0.124185;0.585260;0.304489;-0.024649;1.338093;0.476419;-0.196145;0.841155;0.405282;-0.299554;-0.049851;1.361256;0.500545;0.619957;0.521904;0.560045;0.172099;-0.091967;1.364321;0.480359;0.734308;0.297692;0.442403;0.420061;-0.022321;1.346945;0.495125;0.158626;0.838723;0.495637;-0.160389;-0.038722;1.339513;0.458905;-0.196145;0.841155;0.405282;-0.299554;2023/05/02 14:21:28.1547;-0.013180;1.344749;0.464985;-0.198902;0.814073;0.325242;-0.438110;-0.039320;1.379680;0.493377;0.637860;0.480682;0.594877;0.090556;-0.091293;1.372079;0.475949;0.741171;0.124185;0.585260;0.304489;-0.005498;1.359470;0.486586;0.162048;0.801058;0.504691;-0.278090;-0.033719;1.344362;0.450743;-0.198902;0.814073;0.325242;-0.438110;098488ab-54a2-432e-8612-2a6918f976ff;-0.016528;1.353470;0.435740;0.510123;-0.131571;0.548171;-0.649594;-0.077111;1.379220;0.437640;0.432354;-0.335068;0.724075;-0.420137;-0.046855;1.368597;0.428535;0.567687;-0.179421;0.603188;-0.530757;0.002734;1.339582;0.444303;0.510123;-0.131571;0.548171;-0.649594;11;-0.124819;1.379941;0.456980;0.741171;0.124185;0.585260;0.304489
NA;107433;2;0.008352;1.529746;0.119956;0.998362;0.051289;-0.000845;0.025322;0.033636;1.424111;0.467591;0.686834;0.094151;0.633100;0.344354;-0.027104;1.405539;0.461742;0.675467;0.071886;0.667917;0.304079;-0.081804;1.384941;0.447815;0.743405;0.124533;0.582222;0.304726;0.009683;1.417558;0.465531;0.669753;0.107726;0.668629;0.304568;0.054703;1.431746;0.472571;0.686834;0.094151;0.633100;0.344354;0.004402;1.357361;0.458681;0.028011;0.816652;0.363026;-0.447779;-0.032000;1.395928;0.481952;0.661108;0.388892;0.635081;0.091497;-0.087446;1.377902;0.462554;0.743405;0.124533;0.582222;0.304726;0.008090;1.378412;0.477149;0.280712;0.720221;0.555166;-0.307040;-0.013183;1.346832;0.443301;0.028011;0.816652;0.363026;-0.447779;-0.078688;1.388100;0.469086;0.743405;0.124533;0.582222;0.304726;-0.025452;1.338145;0.476247;-0.195771;0.842641;0.405258;-0.295628;-0.050755;1.361334;0.500266;0.621381;0.523060;0.556929;0.173565;-0.092723;1.364533;0.479793;0.735988;0.297473;0.439081;0.420761;-0.023236;1.346949;0.494989;0.159262;0.840173;0.494063;-0.156998;-0.039384;1.339635;0.458626;-0.195771;0.842641;0.405258;-0.295628;2023/05/02 14:21:28.1660;-0.013944;1.344817;0.464898;-0.200148;0.815595;0.324765;-0.435056;-0.040135;1.379749;0.493210;0.639290;0.482122;0.591976;0.091821;-0.092001;1.372298;0.475405;0.743405;0.124533;0.582222;0.304726;-0.006333;1.359450;0.486583;0.161882;0.803005;0.503136;-0.275376;-0.034408;1.344556;0.450546;-0.200148;0.815595;0.324765;-0.435056;098488ab-54a2-432e-8612-2a6918f976ff;-0.017028;1.353559;0.435587;0.510830;-0.128108;0.547490;-0.650304;-0.077540;1.379503;0.437201;0.434125;-0.332159;0.723837;-0.421029;-0.047266;1.368798;0.428250;0.568727;-0.176330;0.602510;-0.531450;0.002133;1.339587;0.444240;0.510830;-0.128108;0.547490;-0.650304;22;-0.125377;1.380272;0.456219;0.743405;0.124533;0.582222;0.304726
NA;107434;3;0.008210;1.529644;0.119881;0.998364;0.051173;-0.001197;0.025498;0.033055;1.424801;0.468033;0.687510;0.093693;0.632314;0.344573;-0.027657;1.406187;0.462025;0.676231;0.071235;0.667023;0.304496;-0.082293;1.385523;0.447948;0.743961;0.123763;0.581313;0.305420;0.009110;1.418236;0.465914;0.670493;0.107218;0.667823;0.304887;0.054108;1.432442;0.473062;0.687510;0.093693;0.632314;0.344573;0.003849;1.358055;0.459037;0.027240;0.817146;0.362458;-0.447387;-0.032592;1.396568;0.482222;0.661891;0.388542;0.634347;0.092412;-0.087964;1.378474;0.462671;0.743961;0.123763;0.581313;0.305420;0.007527;1.379091;0.477525;0.280748;0.720721;0.554817;-0.306465;-0.013748;1.347576;0.443637;0.027240;0.817146;0.362458;-0.447387;-0.079236;1.388678;0.469231;0.743961;0.123763;0.581313;0.305420;-0.026015;1.338790;0.476482;-0.196274;0.842617;0.405416;-0.295145;-0.051349;1.361947;0.500483;0.621552;0.523086;0.556499;0.174250;-0.093267;1.365090;0.479900;0.736269;0.296647;0.438295;0.421671;-0.023818;1.347574;0.495235;0.159084;0.840319;0.494086;-0.156319;-0.039939;1.340306;0.458856;-0.196274;0.842617;0.405416;-0.295145;2023/05/02 14:21:28.1767;-0.014465;1.345483;0.465200;-0.200255;0.815858;0.325051;-0.434299;-0.040735;1.380377;0.493457;0.639917;0.481881;0.591347;0.092771;-0.092544;1.372857;0.475514;0.743961;0.123763;0.581313;0.305420;-0.006901;1.360106;0.486908;0.162188;0.803245;0.503180;-0.274413;-0.034908;1.345237;0.450816;-0.200255;0.815858;0.325051;-0.434299;098488ab-54a2-432e-8612-2a6918f976ff;-0.017430;1.354269;0.435852;0.512151;-0.127612;0.546835;-0.649914;-0.077995;1.380098;0.437341;0.435460;-0.332210;0.723135;-0.420817;-0.047681;1.369455;0.428455;0.569970;-0.176132;0.601855;-0.530927;0.001733;1.340326;0.444550;0.512151;-0.127612;0.546835;-0.649914;33;-0.125880;1.380787;0.456241;0.743961;0.123763;0.581313;0.305420
NA;107435;4;0.007982;1.529907;0.119829;0.998351;0.051523;-0.001264;0.025296;0.032537;1.425447;0.468401;0.688076;0.093395;0.631731;0.344594;-0.028155;1.406810;0.462270;0.676870;0.070716;0.666316;0.304744;-0.082735;1.386083;0.448068;0.744416;0.123043;0.580572;0.306010;0.008597;1.418879;0.466238;0.671106;0.106868;0.667210;0.305002;0.053582;1.433086;0.473465;0.688076;0.093395;0.631731;0.344594;0.003349;1.358721;0.459350;0.026486;0.817556;0.361877;-0.447153;-0.033123;1.397186;0.482456;0.662583;0.388171;0.633736;0.093200;-0.088429;1.379027;0.462778;0.744416;0.123043;0.580572;0.306010;0.007023;1.379745;0.477852;0.280747;0.721142;0.554498;-0.306051;-0.014264;1.348290;0.443936;0.026486;0.817556;0.361877;-0.447153;-0.079728;1.389236;0.469362;0.744416;0.123043;0.580572;0.306010;-0.026520;1.339411;0.476688;-0.196764;0.842577;0.405504;-0.294813;-0.051877;1.362542;0.500677;0.621682;0.523106;0.556166;0.174789;-0.093753;1.365632;0.480001;0.736496;0.295888;0.437673;0.422452;-0.024336;1.348180;0.495451;0.158910;0.840438;0.494101;-0.155806;-0.040440;1.340951;0.459063;-0.196764;0.842577;0.405504;-0.294813;2023/05/02 14:21:28.1884;-0.014929;1.346125;0.465469;-0.200324;0.816078;0.325284;-0.433680;-0.041271;1.380985;0.493674;0.640493;0.481604;0.590818;0.093598;-0.093031;1.373399;0.475616;0.744416;0.123043;0.580572;0.306010;-0.007407;1.360741;0.487196;0.162502;0.803429;0.503230;-0.273597;-0.035353;1.345889;0.451059;-0.200324;0.816078;0.325284;-0.433680;098488ab-54a2-432e-8612-2a6918f976ff;-0.017792;1.354953;0.436084;0.513350;-0.127254;0.546238;-0.649540;-0.078408;1.380671;0.437467;0.436634;-0.332353;0.722493;-0.420590;-0.048057;1.370087;0.428636;0.571082;-0.176048;0.601269;-0.530422;0.001374;1.341041;0.444822;0.513350;-0.127254;0.546238;-0.649540;44;-0.126333;1.381287;0.456269;0.744416;0.123043;0.580572;0.306010
NA;107436;5;0.007895;1.529793;0.119718;0.998341;0.051901;-0.001345;0.024908;0.032688;1.425053;0.468108;0.688757;0.094058;0.631022;0.344351;-0.028010;1.406486;0.461845;0.677623;0.071016;0.665443;0.304909;-0.082536;1.385717;0.447496;0.744859;0.122781;0.579617;0.306845;0.008743;1.418523;0.465900;0.671797;0.107447;0.666457;0.304926;0.053740;1.432650;0.473208;0.688757;0.094058;0.631022;0.344351;0.003487;1.358464;0.458947;0.025200;0.817850;0.361503;-0.446993;-0.033015;1.396835;0.482010;0.663055;0.387894;0.633231;0.094418;-0.088257;1.378639;0.462185;0.744859;0.122781;0.579617;0.306845;0.007167;1.379458;0.477481;0.280228;0.721613;0.554408;-0.305580;-0.014153;1.348097;0.443520;0.025200;0.817850;0.361503;-0.446993;-0.079582;1.388851;0.468801;0.744859;0.122781;0.579617;0.306845;-0.026258;1.339043;0.476247;-0.194616;0.843166;0.407126;-0.292308;-0.051774;1.362152;0.500151;0.622456;0.522801;0.555092;0.176353;-0.093606;1.365221;0.479382;0.736624;0.295562;0.436757;0.423406;-0.024201;1.347819;0.495020;0.160569;0.840377;0.494464;-0.153263;-0.040060;1.340533;0.458524;-0.194616;0.843166;0.407126;-0.292308;2023/05/02 14:21:28.1993;-0.014635;1.345826;0.465069;-0.199166;0.816536;0.326880;-0.432147;-0.041172;1.380614;0.493192;0.641384;0.480921;0.590118;0.095408;-0.092882;1.372993;0.475007;0.744859;0.122781;0.579617;0.306845;-0.007237;1.360451;0.486833;0.163680;0.803392;0.503953;-0.271665;-0.034997;1.345539;0.450572;-0.199166;0.816536;0.326880;-0.432147;098488ab-54a2-432e-8612-2a6918f976ff;-0.017560;1.354614;0.435624;0.514192;-0.125826;0.545304;-0.649937;-0.078179;1.380320;0.436900;0.437527;-0.331859;0.722218;-0.420525;-0.047808;1.369752;0.428117;0.571840;-0.175242;0.600803;-0.530402;0.001563;1.340689;0.444434;0.514192;-0.125826;0.545304;-0.649937;55;-0.126148;1.380867;0.455592;0.744859;0.122781;0.579617;0.306845
NA;107437;6;0.007815;1.529697;0.119576;0.998334;0.052234;-0.001141;0.024479;0.031509;1.426236;0.468262;0.690238;0.091268;0.629973;0.344058;-0.029111;1.407502;0.461735;0.679228;0.068103;0.664215;0.304680;-0.083503;1.386527;0.447181;0.746173;0.119734;0.578430;0.307098;0.007590;1.419643;0.465949;0.673461;0.104612;0.665321;0.304721;0.052520;1.433892;0.473442;0.690238;0.091268;0.629973;0.344058;0.002409;1.359554;0.459158;0.025961;0.818589;0.360035;-0.446781;-0.034194;1.397914;0.481911;0.665193;0.385825;0.632183;0.094877;-0.089280;1.379489;0.461867;0.746173;0.119734;0.578430;0.307098;0.006044;1.380603;0.477640;0.282047;0.721732;0.553415;-0.305426;-0.015228;1.349191;0.443727;0.025961;0.818589;0.360035;-0.446781;-0.080668;1.389748;0.468490;0.746173;0.119734;0.578430;0.307098;-0.027234;1.340110;0.476418;-0.191337;0.843900;0.408253;-0.290780;-0.052951;1.363249;0.500087;0.624812;0.520457;0.554253;0.177590;-0.094682;1.366119;0.479088;0.737732;0.292426;0.436059;0.424372;-0.025313;1.348964;0.495169;0.163900;0.839880;0.494770;-0.151465;-0.040930;1.341494;0.458605;-0.191337;0.843900;0.408253;-0.290780;2023/05/02 14:21:28.2105;-0.015585;1.346898;0.465272;-0.196494;0.817588;0.327488;-0.430920;-0.042363;1.381714;0.493112;0.643828;0.478609;0.589154;0.096525;-0.093956;1.373877;0.474687;0.746173;0.119734;0.578430;0.307098;-0.008338;1.361621;0.487021;0.166809;0.803186;0.504011;-0.270258;-0.035875;1.346518;0.450677;-0.196494;0.817588;0.327488;-0.430920;098488ab-54a2-432e-8612-2a6918f976ff;-0.018387;1.355541;0.435727;0.516087;-0.125729;0.542480;-0.650817;-0.079076;1.381105;0.436626;0.439107;-0.332525;0.719980;-0.422186;-0.048639;1.370574;0.428030;0.573527;-0.175869;0.598326;-0.531171;0.000719;1.341693;0.444695;0.516087;-0.125729;0.542480;-0.650817;66;-0.127142;1.381582;0.455068;0.746173;0.119734;0.578430;0.307098
NA;107438;7;0.007742;1.529630;0.119420;0.998353;0.052059;-0.000789;0.024089;0.030392;1.427387;0.468391;0.691593;0.088530;0.628985;0.343861;-0.030146;1.408480;0.461616;0.680699;0.065268;0.663067;0.304518;-0.084413;1.387310;0.446878;0.747367;0.116850;0.577368;0.307302;0.006502;1.420728;0.465978;0.674997;0.101810;0.664244;0.304620;0.051362;1.435106;0.473646;0.691593;0.088530;0.628985;0.343861;0.001372;1.360597;0.459331;0.026314;0.819293;0.358366;-0.446811;-0.035301;1.398954;0.481802;0.667136;0.383977;0.631217;0.095165;-0.090241;1.380310;0.461561;0.747367;0.116850;0.577368;0.307302;0.004984;1.381693;0.477764;0.283530;0.721932;0.552359;-0.305492;-0.016282;1.350253;0.443905;0.026314;0.819293;0.358366;-0.446811;-0.081688;1.390615;0.468189;0.747367;0.116850;0.577368;0.307302;-0.028156;1.341141;0.476568;-0.188426;0.844535;0.409204;-0.289498;-0.054052;1.364306;0.500017;0.627006;0.518230;0.553506;0.178697;-0.095690;1.366987;0.478808;0.738750;0.289465;0.435464;0.425242;-0.026357;1.350067;0.495297;0.166925;0.839408;0.495034;-0.149908;-0.041761;1.342430;0.458678;-0.188426;0.844535;0.409204;-0.289498;2023/05/02 14:21:28.2217;-0.016492;1.347930;0.465446;-0.194181;0.818518;0.327880;-0.429903;-0.043481;1.382773;0.493024;0.646059;0.476485;0.588278;0.097462;-0.094964;1.374731;0.474382;0.747367;0.116850;0.577368;0.307302;-0.009376;1.362742;0.487178;0.169612;0.803007;0.503990;-0.269081;-0.036721;1.347471;0.450768;-0.194181;0.818518;0.327880;-0.429903;098488ab-54a2-432e-8612-2a6918f976ff;-0.019167;1.356433;0.435803;0.517789;-0.125778;0.539907;-0.651594;-0.079922;1.381862;0.436363;0.440503;-0.333186;0.717895;-0.423759;-0.049425;1.371366;0.427937;0.575022;-0.176569;0.596078;-0.531850;-0.000073;1.342660;0.444913;0.517789;-0.125778;0.539907;-0.651594;77;-0.128076;1.382275;0.454576;0.747367;0.116850;0.577368;0.307302
NA;107439;8;0.007678;1.529593;0.119247;0.998375;0.051889;-0.000208;0.023540;0.030410;1.426602;0.467049;0.692367;0.090931;0.630497;0.338871;-0.030318;1.408224;0.460529;0.681262;0.067199;0.664299;0.300122;-0.084711;1.387252;0.445974;0.747787;0.116995;0.578393;0.304284;0.006447;1.420169;0.464744;0.675565;0.104201;0.665506;0.299760;0.051476;1.434128;0.472196;0.692367;0.090931;0.630497;0.338871;0.000809;1.360177;0.458331;0.024019;0.819702;0.353768;-0.449845;-0.035480;1.398803;0.480763;0.667269;0.384650;0.631202;0.091547;-0.090545;1.380338;0.460696;0.747787;0.116995;0.578393;0.304284;0.004694;1.381296;0.476681;0.281905;0.723090;0.549518;-0.309356;-0.017041;1.349973;0.443037;0.024019;0.819702;0.353768;-0.449845;-0.081931;1.390627;0.467268;0.747787;0.116995;0.578393;0.304284;-0.028573;1.340928;0.475788;-0.187042;0.845863;0.406765;-0.289955;-0.054360;1.364316;0.499150;0.628365;0.518236;0.552837;0.175955;-0.096024;1.367109;0.478008;0.739922;0.289402;0.436312;0.422367;-0.026733;1.349930;0.494476;0.168446;0.840107;0.492871;-0.151409;-0.042169;1.342193;0.457889;-0.187042;0.845863;0.406765;-0.289955;2023/05/02 14:21:28.2324;-0.016911;1.347652;0.464614;-0.193783;0.819279;0.325018;-0.430805;-0.043715;1.382705;0.492065;0.647008;0.476248;0.587875;0.094718;-0.095269;1.374831;0.473549;0.747787;0.116995;0.578393;0.304284;-0.009693;1.362518;0.486275;0.170204;0.803568;0.501792;-0.271133;-0.037166;1.347225;0.449972;-0.193783;0.819279;0.325018;-0.430805;098488ab-54a2-432e-8612-2a6918f976ff;-0.019660;1.355963;0.434872;0.515082;-0.125799;0.539221;-0.654298;-0.080265;1.381744;0.435472;0.437711;-0.332570;0.718519;-0.426072;-0.049850;1.371038;0.427014;0.572409;-0.176660;0.596147;-0.534555;-0.000637;1.342115;0.444014;0.515082;-0.125799;0.539221;-0.654298;88;-0.128382;1.382452;0.453774;0.747787;0.116995;0.578393;0.304284
NA;107440;9;0.007619;1.529591;0.119061;0.998407;0.051462;0.000510;0.023152;0.030424;1.425840;0.465759;0.693135;0.093520;0.632006;0.333747;-0.030494;1.408012;0.459497;0.681825;0.069257;0.665508;0.295665;-0.085003;1.387223;0.445117;0.748168;0.117068;0.579377;0.301432;0.006389;1.419643;0.463565;0.676117;0.106780;0.666762;0.294775;0.051588;1.433162;0.470796;0.693135;0.093520;0.632006;0.333747;0.000249;1.359815;0.457379;0.021696;0.820043;0.349269;-0.452846;-0.035661;1.398692;0.479776;0.667353;0.385286;0.631222;0.088056;-0.090841;1.380391;0.459875;0.748168;0.117068;0.579377;0.301432;0.004406;1.380952;0.475649;0.280216;0.724201;0.546752;-0.313168;-0.017792;1.349751;0.442217;0.021696;0.820043;0.349269;-0.452846;-0.082171;1.390667;0.466394;0.748168;0.117068;0.579377;0.301432;-0.028967;1.340762;0.475059;-0.185582;0.847120;0.404528;-0.290352;-0.054659;1.364359;0.498330;0.629725;0.518118;0.552202;0.173418;-0.096347;1.367252;0.477249;0.741019;0.289283;0.437144;0.419657;-0.027093;1.349839;0.493708;0.170013;0.840717;0.490867;-0.152776;-0.042551;1.341997;0.457149;-0.185582;0.847120;0.404528;-0.290352;2023/05/02 14:21:28.2442;-0.017310;1.347427;0.463833;-0.193310;0.819978;0.322357;-0.431686;-0.043946;1.382674;0.491154;0.647957;0.475884;0.587528;0.092178;-0.095567;1.374953;0.472759;0.748168;0.117068;0.579377;0.301432;-0.009996;1.362348;0.485425;0.170818;0.804043;0.499755;-0.273096;-0.037590;1.347026;0.449225;-0.193310;0.819978;0.322357;-0.431686;098488ab-54a2-432e-8612-2a6918f976ff;-0.020142;1.355540;0.433992;0.512470;-0.125833;0.538519;-0.656916;-0.080600;1.381656;0.434627;0.435005;-0.332003;0.719099;-0.428302;-0.050265;1.370751;0.426139;0.569886;-0.176760;0.596175;-0.537180;-0.001187;1.341620;0.443167;0.512470;-0.125833;0.538519;-0.656916;100;-0.128681;1.382642;0.453012;0.748168;0.117068;0.579377;0.301432
NA;107441;10;0.007582;1.529630;0.118852;0.998422;0.051312;0.001445;0.022762;0.030434;1.425096;0.464514;0.693892;0.096253;0.633499;0.328524;-0.030672;1.407837;0.458510;0.682382;0.071412;0.666692;0.291165;-0.085290;1.387218;0.444298;0.748518;0.117084;0.580327;0.298717;0.006327;1.419144;0.462432;0.676652;0.109502;0.668002;0.289699;0.051696;1.432206;0.469439;0.693892;0.096253;0.633499;0.328524;-0.000309;1.359499;0.456468;0.019346;0.820329;0.344845;-0.455816;-0.035843;1.398615;0.478832;0.667399;0.385889;0.631268;0.084669;-0.091131;1.380465;0.459091;0.748518;0.117084;0.580327;0.298717;0.004118;1.380649;0.474659;0.278474;0.725275;0.544042;-0.316933;-0.018538;1.349579;0.441439;0.019346;0.820329;0.344845;-0.455816;-0.082408;1.390728;0.465558;0.748518;0.117084;0.580327;0.298717;-0.029343;1.340634;0.474372;-0.184063;0.848319;0.402455;-0.290700;-0.054950;1.364430;0.497547;0.631083;0.517901;0.551594;0.171047;-0.096661;1.367412;0.476525;0.742052;0.289120;0.437961;0.417082;-0.027441;1.349784;0.492982;0.171615;0.841254;0.488992;-0.154035;-0.042913;1.341835;0.456449;-0.184063;0.848319;0.402455;-0.290700;2023/05/02 14:21:28.2549;-0.017693;1.347247;0.463096;-0.192780;0.820626;0.319858;-0.432551;-0.044174;1.382674;0.490285;0.648904;0.475419;0.587227;0.089805;-0.095857;1.375094;0.472004;0.748518;0.117084;0.580327;0.298717;-0.010290;1.362222;0.484619;0.171450;0.804447;0.497848;-0.274985;-0.037996;1.346865;0.448519;-0.192780;0.820626;0.319858;-0.432551;098488ab-54a2-432e-8612-2a6918f976ff;-0.020613;1.355155;0.433155;0.509938;-0.125878;0.537802;-0.659461;-0.080927;1.381595;0.433821;0.432369;-0.331477;0.719641;-0.430461;-0.050670;1.370497;0.425303;0.567437;-0.176868;0.596169;-0.539737;-0.001725;1.341167;0.442364;0.509938;-0.125878;0.537802;-0.659461;111;-0.128972;1.382842;0.452283;0.748518;0.117084;0.580327;0.298717
