Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;117318;1;0.041599;1.642035;0.060280;0.990897;0.134369;0.007392;-0.003752;0.097178;1.506963;0.366112;-0.210727;-0.949320;0.035632;-0.230469;0.115049;1.526599;0.333448;-0.967694;0.072476;0.241478;-0.001813;0.127825;1.466997;0.327990;-0.754451;0.590326;0.239251;0.158358;0.096684;1.532073;0.367729;-0.662557;-0.710030;0.167303;-0.169959;0.107062;1.496362;0.348017;-0.210727;-0.949320;0.035632;-0.230469;0.111422;1.500434;0.376240;-0.211831;-0.959217;0.067606;-0.174526;0.136568;1.528482;0.341736;-0.961245;-0.010364;0.271698;0.045616;0.143681;1.466264;0.334507;-0.754451;0.590326;0.239251;0.158358;0.113308;1.528698;0.379615;-0.645425;-0.713603;0.223444;-0.155793;0.119395;1.488239;0.354850;-0.211831;-0.959217;0.067606;-0.174526;0.146620;1.480991;0.331815;-0.754451;0.590326;0.239251;0.158358;0.137662;1.488207;0.384595;-0.134808;-0.924940;0.264731;-0.237132;0.165564;1.509455;0.368548;-0.913248;-0.074270;0.386055;0.106886;0.165340;1.466171;0.349547;-0.741942;0.485887;0.250842;0.387963;0.142628;1.507765;0.390526;-0.588466;-0.725113;0.339446;-0.112678;0.145112;1.478767;0.365297;-0.134808;-0.924940;0.264731;-0.237132;2023/04/27 14:12:17.3294;0.123920;1.492601;0.381655;-0.151537;-0.948474;0.175793;-0.215712;0.152270;1.521345;0.354632;-0.948249;-0.052819;0.304298;0.073744;0.160125;1.467404;0.342268;-0.754451;0.590326;0.239251;0.158358;0.128652;1.519112;0.387309;-0.617932;-0.722427;0.284321;-0.124179;0.132447;1.481892;0.360442;-0.151537;-0.948474;0.175793;-0.215712;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073344;1.516395;0.336525;-0.589710;0.632508;-0.020593;-0.501749;0.115627;1.463256;0.329464;-0.533208;0.680383;0.014028;-0.502565;0.092099;1.487209;0.331948;-0.628934;0.659215;-0.005887;-0.412119;0.057487;1.535987;0.340364;-0.589710;0.632508;-0.020593;-0.501749;11;0.156672;1.433499;0.321894;-0.754451;0.590326;0.239251;0.158358
NA;117319;2;0.041547;1.642197;0.060781;0.991302;0.131356;0.006886;-0.004402;0.096814;1.507063;0.366248;-0.211069;-0.948940;0.036723;-0.231550;0.114803;1.526674;0.333632;-0.967378;0.072612;0.242706;-0.000950;0.127489;1.467050;0.328230;-0.753922;0.590414;0.239756;0.159784;0.096356;1.532174;0.367865;-0.662467;-0.709673;0.168754;-0.170367;0.106727;1.496437;0.348184;-0.211069;-0.948940;0.036723;-0.231550;0.111018;1.500501;0.376412;-0.211850;-0.958934;0.068661;-0.175642;0.136304;1.528522;0.341976;-0.960839;-0.010350;0.273007;0.046343;0.143328;1.466292;0.334787;-0.753922;0.590414;0.239756;0.159784;0.112941;1.528763;0.379792;-0.645259;-0.713203;0.224892;-0.156224;0.119029;1.488295;0.355043;-0.211850;-0.958934;0.068661;-0.175642;0.146298;1.481010;0.332094;-0.753922;0.590414;0.239756;0.159784;0.137221;1.488241;0.384837;-0.134612;-0.924424;0.265519;-0.238369;0.165194;1.509450;0.368870;-0.912629;-0.074120;0.387408;0.107371;0.164944;1.466162;0.349879;-0.741206;0.485677;0.251449;0.389236;0.142193;1.507793;0.390783;-0.588029;-0.724749;0.340749;-0.113360;0.144713;1.478790;0.365561;-0.134612;-0.924424;0.265519;-0.238369;2023/04/27 14:12:17.3395;0.123492;1.492638;0.381856;-0.151430;-0.948055;0.176653;-0.216919;0.151958;1.521360;0.354916;-0.947759;-0.052924;0.305674;0.074264;0.159751;1.467402;0.342586;-0.753922;0.590414;0.239756;0.159784;0.128244;1.519142;0.387525;-0.617597;-0.722082;0.285668;-0.124760;0.132063;1.481918;0.360666;-0.151430;-0.948055;0.176653;-0.216919;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073069;1.516532;0.336691;-0.590471;0.632548;-0.020703;-0.500798;0.115282;1.463332;0.329680;-0.533607;0.680766;0.014046;-0.501622;0.091783;1.487318;0.332129;-0.629411;0.659374;-0.005873;-0.411136;0.057247;1.536154;0.340527;-0.590471;0.632548;-0.020703;-0.500798;22;0.156293;1.433498;0.322211;-0.753922;0.590414;0.239756;0.159784
NA;117320;3;0.041497;1.642257;0.061006;0.991549;0.129493;0.006171;-0.004956;0.096480;1.507179;0.366374;-0.211541;-0.948555;0.037769;-0.232525;0.114580;1.526760;0.333796;-0.967080;0.072839;0.243826;-0.000128;0.127179;1.467114;0.328454;-0.753393;0.590548;0.240206;0.161099;0.096058;1.532290;0.367983;-0.662478;-0.709254;0.170112;-0.170713;0.106417;1.496523;0.348340;-0.211541;-0.948555;0.037769;-0.232525;0.110647;1.500585;0.376571;-0.211938;-0.958657;0.069651;-0.176657;0.136063;1.528574;0.342192;-0.960465;-0.010263;0.274208;0.047024;0.143003;1.466332;0.335047;-0.753393;0.590548;0.240206;0.161099;0.112606;1.528844;0.379950;-0.645178;-0.712768;0.226236;-0.156604;0.118691;1.488364;0.355222;-0.211938;-0.958657;0.069651;-0.176657;0.146002;1.481042;0.332350;-0.753393;0.590548;0.240206;0.161099;0.136816;1.488293;0.385058;-0.134473;-0.923939;0.266234;-0.239529;0.164855;1.509462;0.369163;-0.912063;-0.073902;0.388660;0.107809;0.164579;1.466168;0.350185;-0.740488;0.485538;0.252011;0.390411;0.141795;1.507840;0.391016;-0.587663;-0.724379;0.341949;-0.114009;0.144348;1.478831;0.365804;-0.134473;-0.923939;0.266234;-0.239529;2023/04/27 14:12:17.3512;0.123100;1.492691;0.382039;-0.151397;-0.947657;0.177445;-0.218036;0.151674;1.521390;0.355172;-0.947309;-0.052972;0.306946;0.074732;0.159406;1.467415;0.342879;-0.753393;0.590548;0.240206;0.161099;0.127871;1.519190;0.387718;-0.617343;-0.721714;0.286909;-0.125298;0.131711;1.481957;0.360872;-0.151397;-0.947657;0.177445;-0.218036;2662f340-d2ea-4524-82e8-e01dffae0cab;0.072819;1.516678;0.336853;-0.591187;0.632543;-0.020904;-0.499950;0.114963;1.463418;0.329885;-0.533961;0.681105;0.013984;-0.500786;0.091493;1.487435;0.332302;-0.629852;0.659498;-0.005954;-0.410260;0.057033;1.536327;0.340689;-0.591187;0.632543;-0.020904;-0.499950;33;0.155940;1.433510;0.322508;-0.753393;0.590548;0.240206;0.161099
NA;117321;4;0.041487;1.642383;0.060963;0.991572;0.129341;0.005290;-0.005349;0.096691;1.507651;0.366145;-0.210331;-0.948059;0.040733;-0.235132;0.115082;1.527304;0.333751;-0.966427;0.071253;0.246854;0.002323;0.127394;1.467602;0.328338;-0.752866;0.589798;0.240853;0.165291;0.096356;1.532758;0.367840;-0.661007;-0.709523;0.173944;-0.171440;0.106703;1.497014;0.348141;-0.210331;-0.948059;0.040733;-0.235132;0.110729;1.500983;0.376440;-0.211574;-0.958026;0.073124;-0.179099;0.136520;1.528984;0.342289;-0.959425;-0.011505;0.277337;0.049549;0.143168;1.466719;0.335034;-0.752866;0.589798;0.240853;0.165291;0.112813;1.529224;0.379891;-0.644104;-0.712344;0.230327;-0.156988;0.118842;1.488745;0.355127;-0.211574;-0.958026;0.073124;-0.179099;0.146267;1.481422;0.332400;-0.752866;0.589798;0.240853;0.165291;0.136770;1.488568;0.385063;-0.133554;-0.922550;0.269585;-0.241638;0.165035;1.509656;0.369400;-0.910387;-0.074816;0.391679;0.110383;0.164649;1.466408;0.350320;-0.739187;0.484101;0.252632;0.394242;0.141823;1.508074;0.391095;-0.586161;-0.723677;0.345926;-0.114198;0.144361;1.479096;0.365837;-0.133554;-0.922550;0.269585;-0.241638;2023/04/27 14:12:17.3629;0.123100;1.493044;0.381971;-0.150591;-0.946607;0.180799;-0.220384;0.152008;1.521686;0.355353;-0.946029;-0.053910;0.310069;0.077328;0.159530;1.467699;0.342984;-0.752866;0.589798;0.240853;0.165291;0.127981;1.519504;0.387734;-0.616044;-0.721153;0.290967;-0.125560;0.131781;1.482300;0.360838;-0.150591;-0.946607;0.180799;-0.220384;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073232;1.517435;0.336414;-0.592921;0.634082;-0.019640;-0.495983;0.115148;1.463967;0.329668;-0.535921;0.682513;0.014708;-0.496737;0.091789;1.488104;0.331955;-0.631534;0.660501;-0.004833;-0.406053;0.057509;1.537154;0.340150;-0.592921;0.634082;-0.019640;-0.495983;44;0.156013;1.433860;0.322511;-0.752866;0.589798;0.240853;0.165291
NA;117322;5;0.041474;1.642406;0.060913;0.991464;0.130200;0.004622;-0.005050;0.096855;1.507717;0.365880;-0.211294;-0.947883;0.040220;-0.235065;0.115225;1.527312;0.333439;-0.966394;0.072203;0.246710;0.001811;0.127534;1.467595;0.328184;-0.752110;0.590849;0.240925;0.164876;0.096508;1.532828;0.367523;-0.661739;-0.708900;0.173475;-0.171665;0.106866;1.497047;0.347896;-0.211294;-0.947883;0.040220;-0.235065;0.110888;1.501094;0.376203;-0.212889;-0.957767;0.072777;-0.179063;0.136667;1.529014;0.341965;-0.959484;-0.010287;0.277266;0.049072;0.143310;1.466730;0.334877;-0.752110;0.590849;0.240925;0.164876;0.112971;1.529346;0.379572;-0.645157;-0.711453;0.229970;-0.157230;0.118996;1.488800;0.354922;-0.212889;-0.957767;0.072777;-0.179063;0.146408;1.481425;0.332201;-0.752110;0.590849;0.240925;0.164876;0.136931;1.488710;0.384848;-0.134853;-0.922411;0.269214;-0.241860;0.165191;1.509758;0.369117;-0.910553;-0.073584;0.391682;0.109836;0.164796;1.466459;0.350154;-0.738570;0.485175;0.253018;0.393830;0.141986;1.508232;0.390823;-0.587230;-0.722880;0.345663;-0.114552;0.144516;1.479186;0.365646;-0.134853;-0.922411;0.269214;-0.241860;2023/04/27 14:12:17.3741;0.123252;1.493178;0.381764;-0.152336;-0.946366;0.180538;-0.220434;0.152159;1.521751;0.355042;-0.946155;-0.052590;0.310034;0.076840;0.159674;1.467730;0.342816;-0.752110;0.590849;0.240925;0.164876;0.128142;1.519656;0.387437;-0.617323;-0.720123;0.290699;-0.125811;0.131919;1.482357;0.360665;-0.152336;-0.946366;0.180538;-0.220434;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073372;1.517447;0.336166;-0.592429;0.634380;-0.020669;-0.496147;0.115288;1.463964;0.329531;-0.535027;0.683044;0.013927;-0.496994;0.091928;1.488106;0.331770;-0.630674;0.661177;-0.005533;-0.406282;0.057665;1.537183;0.339882;-0.592429;0.634380;-0.020669;-0.496147;56;0.156149;1.433836;0.322436;-0.752110;0.590849;0.240925;0.164876
NA;117323;6;0.041587;1.642499;0.060972;0.991394;0.130782;0.003876;-0.004395;0.097005;1.507799;0.365635;-0.212246;-0.947704;0.039795;-0.235001;0.115359;1.527331;0.333148;-0.966354;0.073184;0.246580;0.001396;0.127659;1.467600;0.328047;-0.751378;0.591853;0.240988;0.164516;0.096650;1.532913;0.367226;-0.662468;-0.708270;0.173087;-0.171847;0.107014;1.497095;0.347670;-0.212246;-0.947704;0.039795;-0.235001;0.111032;1.501219;0.375985;-0.214107;-0.957523;0.072467;-0.179043;0.136803;1.529052;0.341663;-0.959533;-0.009052;0.277214;0.048663;0.143438;1.466750;0.334736;-0.751378;0.591853;0.240988;0.164516;0.113116;1.529480;0.379275;-0.646171;-0.710581;0.229668;-0.157453;0.119136;1.488871;0.354733;-0.214107;-0.957523;0.072467;-0.179043;0.146536;1.481437;0.332018;-0.751378;0.591853;0.240988;0.164516;0.137077;1.488859;0.384651;-0.136056;-0.922269;0.268872;-0.242107;0.165334;1.509863;0.368856;-0.910703;-0.072338;0.391702;0.109346;0.164928;1.466515;0.350004;-0.737963;0.486197;0.253384;0.393470;0.142135;1.508397;0.390573;-0.588239;-0.722109;0.345444;-0.114901;0.144658;1.479286;0.365471;-0.136056;-0.922269;0.268872;-0.242107;2023/04/27 14:12:17.3844;0.123390;1.493321;0.381576;-0.154053;-0.946114;0.180324;-0.220498;0.152299;1.521821;0.354754;-0.946267;-0.051269;0.310021;0.076404;0.159804;1.467769;0.342665;-0.751378;0.591853;0.240988;0.164516;0.128290;1.519816;0.387161;-0.618575;-0.719096;0.290480;-0.126049;0.132043;1.482424;0.360510;-0.154053;-0.946114;0.180324;-0.220498;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073503;1.517472;0.335949;-0.592071;0.634548;-0.021747;-0.496315;0.115414;1.463975;0.329410;-0.534206;0.683508;0.013140;-0.497260;0.092055;1.488121;0.331608;-0.629890;0.661772;-0.006258;-0.406519;0.057817;1.537228;0.339651;-0.592071;0.634548;-0.021747;-0.496315;66;0.156269;1.433823;0.322373;-0.751378;0.591853;0.240988;0.164516
NA;117324;7;0.041707;1.642633;0.061060;0.991301;0.131532;0.003491;-0.003236;0.097510;1.508204;0.365262;-0.211830;-0.947491;0.042209;-0.235814;0.116029;1.527764;0.332865;-0.966118;0.072251;0.247758;0.003536;0.128052;1.467978;0.327710;-0.751019;0.591754;0.240452;0.167278;0.097247;1.533316;0.366908;-0.661776;-0.708439;0.175525;-0.171340;0.107525;1.497491;0.347305;-0.211830;-0.947491;0.042209;-0.235814;0.111468;1.501568;0.375641;-0.213862;-0.957231;0.075109;-0.179809;0.137458;1.529371;0.341439;-0.959028;-0.009600;0.278532;0.050928;0.143806;1.467042;0.334444;-0.751019;0.591754;0.240452;0.167278;0.113667;1.529813;0.378985;-0.645597;-0.710403;0.232260;-0.156807;0.119571;1.489207;0.354396;-0.213862;-0.957231;0.075109;-0.179809;0.146986;1.481721;0.331761;-0.751019;0.591754;0.240452;0.167278;0.137404;1.489144;0.384402;-0.136433;-0.921213;0.271830;-0.242614;0.165823;1.510010;0.368684;-0.909891;-0.071839;0.392950;0.111930;0.165257;1.466687;0.349778;-0.736966;0.485831;0.252945;0.396065;0.142564;1.508650;0.390343;-0.588034;-0.721096;0.348232;-0.113894;0.144966;1.479528;0.365236;-0.136433;-0.921213;0.271830;-0.242614;2023/04/27 14:12:17.3956;0.123750;1.493647;0.381287;-0.154296;-0.945375;0.183206;-0.221122;0.152884;1.522048;0.354563;-0.945627;-0.051334;0.311344;0.078867;0.160159;1.467975;0.342427;-0.751019;0.591754;0.240452;0.167278;0.128779;1.520111;0.386902;-0.618305;-0.718376;0.293212;-0.125143;0.132390;1.482709;0.360237;-0.154296;-0.945375;0.183206;-0.221122;2662f340-d2ea-4524-82e8-e01dffae0cab;0.074101;1.518095;0.335466;-0.593606;0.635090;-0.021886;-0.493775;0.115784;1.464409;0.329024;-0.535698;0.684171;0.012784;-0.494746;0.092531;1.488662;0.331162;-0.631207;0.662160;-0.006444;-0.403833;0.058494;1.537920;0.339132;-0.593606;0.635090;-0.021886;-0.493775;78;0.156513;1.434071;0.322084;-0.751019;0.591754;0.240452;0.167278
NA;117325;8;0.041680;1.642876;0.061310;0.991342;0.131208;0.003811;-0.003241;0.097328;1.508448;0.364401;-0.213515;-0.946932;0.041061;-0.236741;0.115855;1.527907;0.331955;-0.965800;0.074006;0.248494;0.002257;0.127947;1.468110;0.327113;-0.749480;0.593362;0.241686;0.166704;0.097017;1.533565;0.365948;-0.662871;-0.707195;0.175010;-0.172772;0.107385;1.497680;0.346501;-0.213515;-0.946932;0.041061;-0.236741;0.111271;1.501893;0.374844;-0.215933;-0.956643;0.074106;-0.180877;0.137271;1.529578;0.340550;-0.958875;-0.007631;0.279375;0.049507;0.143693;1.467223;0.333872;-0.749480;0.593362;0.241686;0.166704;0.113421;1.530157;0.378058;-0.646976;-0.708935;0.231827;-0.158395;0.119426;1.489444;0.353670;-0.215933;-0.956643;0.074106;-0.180877;0.146861;1.481891;0.331120;-0.749480;0.593362;0.241686;0.166704;0.137191;1.489563;0.383722;-0.138600;-0.920803;0.270908;-0.243969;0.165618;1.510381;0.367929;-0.909853;-0.069867;0.393819;0.110425;0.165123;1.466966;0.349236;-0.735798;0.487241;0.254678;0.395394;0.142330;1.509104;0.389563;-0.589757;-0.719537;0.348025;-0.115461;0.144785;1.479852;0.364616;-0.138600;-0.920803;0.270908;-0.243969;2023/04/27 14:12:17.4074;0.123542;1.494039;0.380566;-0.156667;-0.944886;0.182258;-0.222325;0.152686;1.522336;0.353731;-0.945579;-0.049128;0.312192;0.077478;0.160034;1.468211;0.341871;-0.749480;0.593362;0.241686;0.166704;0.128537;1.520538;0.386046;-0.619982;-0.716764;0.292935;-0.126730;0.132220;1.482993;0.359589;-0.156667;-0.944886;0.182258;-0.222325;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073911;1.518183;0.334608;-0.592159;0.636284;-0.022479;-0.493949;0.115681;1.464534;0.328430;-0.533743;0.685557;0.012444;-0.494950;0.092386;1.488758;0.330440;-0.629498;0.663628;-0.006641;-0.404087;0.058285;1.538007;0.338195;-0.592159;0.636284;-0.022479;-0.493949;89;0.156451;1.434204;0.321691;-0.749480;0.593362;0.241686;0.166704
NA;117326;9;0.041641;1.643114;0.061611;0.991492;0.130039;0.004205;-0.003955;0.097159;1.508692;0.363587;-0.215080;-0.946406;0.040007;-0.237603;0.115695;1.528047;0.331097;-0.965490;0.075754;0.249176;0.001110;0.127848;1.468240;0.326557;-0.748003;0.594902;0.242835;0.166176;0.096805;1.533814;0.365043;-0.663899;-0.706020;0.174546;-0.174094;0.107257;1.497872;0.345742;-0.215080;-0.946406;0.040007;-0.237603;0.111089;1.502212;0.374093;-0.217868;-0.956084;0.073137;-0.181899;0.137098;1.529778;0.339712;-0.958723;-0.005681;0.280175;0.048169;0.143588;1.467400;0.333339;-0.748003;0.594902;0.242835;0.166176;0.113194;1.530494;0.377182;-0.648299;-0.707520;0.231417;-0.159908;0.119294;1.489682;0.352987;-0.217868;-0.956084;0.073137;-0.181899;0.146744;1.482057;0.330519;-0.748003;0.594902;0.242835;0.166176;0.136991;1.489962;0.383081;-0.140602;-0.920416;0.270001;-0.245288;0.165427;1.510737;0.367218;-0.909807;-0.067999;0.394654;0.108977;0.164996;1.467233;0.348728;-0.734667;0.488595;0.256307;0.394772;0.142111;1.509537;0.388826;-0.591395;-0.718046;0.347825;-0.116965;0.144618;1.480163;0.364034;-0.140602;-0.920416;0.270001;-0.245288;2023/04/27 14:12:17.4175;0.123349;1.494421;0.379889;-0.158904;-0.944414;0.181333;-0.223493;0.152503;1.522613;0.352947;-0.945529;-0.046954;0.313003;0.076157;0.159915;1.468440;0.341351;-0.748003;0.594902;0.242835;0.166176;0.128312;1.520953;0.385237;-0.621579;-0.715216;0.292667;-0.128264;0.132065;1.483274;0.358980;-0.158904;-0.944414;0.181333;-0.223493;2662f340-d2ea-4524-82e8-e01dffae0cab;0.073732;1.518269;0.333834;-0.590907;0.637193;-0.023164;-0.494245;0.115585;1.464660;0.327880;-0.531915;0.686741;0.012073;-0.495285;0.092249;1.488854;0.329782;-0.627932;0.664873;-0.006922;-0.404473;0.058093;1.538093;0.337360;-0.590907;0.637193;-0.023164;-0.494245;100;0.156390;1.434335;0.321326;-0.748003;0.594902;0.242835;0.166176
NA;117327;10;0.041549;1.643423;0.061927;0.991687;0.128508;0.004710;-0.004622;0.097783;1.509440;0.363642;-0.216943;-0.946404;0.040507;-0.235830;0.116264;1.528689;0.331030;-0.965814;0.077043;0.247517;0.001711;0.128253;1.468840;0.326572;-0.747557;0.596295;0.241022;0.165832;0.097496;1.534567;0.365026;-0.665440;-0.705110;0.174075;-0.172361;0.107794;1.498538;0.345798;-0.216943;-0.946404;0.040507;-0.235830;0.111735;1.502938;0.374099;-0.219420;-0.956023;0.073806;-0.180076;0.137700;1.530386;0.339569;-0.959138;-0.004436;0.278627;0.049000;0.144012;1.467976;0.333305;-0.747557;0.596295;0.241022;0.165832;0.113922;1.531221;0.377117;-0.649686;-0.706770;0.231029;-0.158148;0.119835;1.490333;0.352997;-0.219420;-0.956023;0.073806;-0.180076;0.147197;1.482620;0.330448;-0.747557;0.596295;0.241022;0.165832;0.137633;1.490681;0.383036;-0.142854;-0.920229;0.270904;-0.243686;0.166074;1.511334;0.367021;-0.910426;-0.066132;0.393269;0.109958;0.165474;1.467791;0.348628;-0.734078;0.490375;0.254896;0.394576;0.142832;1.510254;0.388714;-0.593073;-0.717005;0.347693;-0.115227;0.145154;1.480802;0.363988;-0.142854;-0.920229;0.270904;-0.243686;2023/04/27 14:12:17.4292;0.123989;1.495142;0.379880;-0.160908;-0.944317;0.182130;-0.221815;0.153131;1.523211;0.352767;-0.946007;-0.045496;0.311552;0.077054;0.160371;1.468994;0.341265;-0.747557;0.596295;0.241022;0.165832;0.129045;1.521674;0.385142;-0.623202;-0.714222;0.292406;-0.126513;0.132597;1.483910;0.358972;-0.160908;-0.944317;0.182130;-0.221815;2662f340-d2ea-4524-82e8-e01dffae0cab;0.074239;1.518984;0.333901;-0.590548;0.637123;-0.025056;-0.494671;0.115985;1.465292;0.327936;-0.531701;0.686505;0.010153;-0.495885;0.092699;1.489531;0.329862;-0.627493;0.664988;-0.008787;-0.404928;0.058640;1.538840;0.337428;-0.590548;0.637123;-0.025056;-0.494671;111;0.156694;1.434855;0.321326;-0.747557;0.596295;0.241022;0.165832
