Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;23038;1;-0.017385;1.584082;0.046790;0.975914;0.218079;0.001974;0.005390;-0.000768;1.549039;0.415054;0.787064;0.181454;-0.580358;0.103872;0.068711;1.548751;0.397888;0.784121;-0.087762;-0.611741;-0.056800;0.094374;1.483981;0.396281;0.679196;-0.379301;-0.520230;-0.352400;0.025893;1.558093;0.408538;0.778255;0.135745;-0.607323;0.083970;-0.024408;1.539333;0.422518;0.787064;0.181454;-0.580358;0.103872;0.037067;1.516476;0.426283;0.017830;0.837359;-0.065343;0.542441;0.079310;1.548836;0.422252;0.786227;0.065535;-0.611546;-0.059686;0.103580;1.482229;0.413931;0.679196;-0.379301;-0.520230;-0.352400;0.029823;1.547302;0.434678;0.425573;0.668286;-0.426059;0.436754;0.063940;1.512112;0.414364;0.017830;0.837359;-0.065343;0.542441;0.105831;1.499300;0.413303;0.679196;-0.379301;-0.520230;-0.352400;0.051334;1.499344;0.452856;-0.102539;0.777446;-0.277890;0.554834;0.086206;1.520396;0.463212;0.712588;0.140190;-0.672834;-0.140925;0.110521;1.478001;0.439584;0.664486;-0.197579;-0.493266;-0.525462;0.049733;1.520025;0.465231;0.361227;0.680003;-0.542006;0.336660;0.074782;1.494430;0.442473;-0.102539;0.777446;-0.277890;0.554834;2023/04/28 09:23:23.5644;0.045225;1.505087;0.439328;-0.093384;0.806292;-0.149065;0.564759;0.083603;1.537428;0.443770;0.765963;0.127489;-0.625041;-0.079814;0.111687;1.481415;0.429852;0.679196;-0.379301;-0.520230;-0.352400;0.038258;1.532998;0.452402;0.363536;0.698610;-0.467770;0.401219;0.072214;1.502672;0.429019;-0.093384;0.806292;-0.149065;0.564759;4fad4b11-e082-4450-bc91-cd45055286dd;0.005195;1.495329;0.396272;0.406232;-0.634118;-0.426809;0.500704;0.081852;1.478603;0.390794;0.482798;-0.571050;-0.372225;0.549779;0.043680;1.484098;0.393528;0.558482;-0.568742;-0.377337;0.471431;-0.023243;1.498279;0.389963;0.406232;-0.634118;-0.426809;0.500704;11;0.132352;1.449763;0.404354;0.679196;-0.379301;-0.520230;-0.352400
NA;23039;2;-0.017444;1.584229;0.046910;0.976020;0.217601;0.001390;0.005738;-0.000706;1.548074;0.416399;0.786082;0.186888;-0.580751;0.099383;0.068753;1.547959;0.399160;0.785001;-0.082595;-0.610877;-0.061490;0.094426;1.483223;0.396611;0.682181;-0.374555;-0.517412;-0.355840;0.025956;1.557196;0.409985;0.777620;0.141019;-0.607568;0.079258;-0.024346;1.538279;0.423748;0.786082;0.186888;-0.580751;0.099383;0.037159;1.515279;0.427115;0.011376;0.837800;-0.069007;0.541480;0.079376;1.547699;0.423512;0.786106;0.071336;-0.610600;-0.064155;0.103652;1.481223;0.414225;0.682181;-0.374555;-0.517412;-0.355840;0.029905;1.545973;0.435975;0.420709;0.671807;-0.428836;0.433335;0.064022;1.511118;0.415103;0.011376;0.837800;-0.069007;0.541480;0.105900;1.498301;0.413831;0.682181;-0.374555;-0.517412;-0.355840;0.051464;1.497747;0.453421;-0.108578;0.777000;-0.281385;0.552544;0.086319;1.518678;0.464055;0.711874;0.145624;-0.671457;-0.145516;0.110620;1.476630;0.439800;0.666182;-0.193031;-0.489200;-0.528796;0.049848;1.518243;0.466096;0.356260;0.683031;-0.543936;0.332688;0.074914;1.493019;0.442957;-0.108578;0.777000;-0.281385;0.552544;2023/04/28 09:23:23.5750;0.045323;1.503688;0.439991;-0.099152;0.805892;-0.152973;0.563300;0.083693;1.535986;0.444861;0.765320;0.133086;-0.624098;-0.084117;0.111776;1.480183;0.430117;0.682181;-0.374555;-0.517412;-0.355840;0.038357;1.531408;0.453466;0.358692;0.701450;-0.470314;0.397634;0.072304;1.501431;0.429624;-0.099152;0.805892;-0.152973;0.563300;4fad4b11-e082-4450-bc91-cd45055286dd;0.005256;1.494597;0.396909;0.411141;-0.630912;-0.429979;0.498028;0.081897;1.477920;0.391069;0.487236;-0.567272;-0.375692;0.547411;0.043731;1.483390;0.393934;0.562999;-0.564370;-0.380087;0.469097;-0.023189;1.497645;0.390684;0.411141;-0.630912;-0.429979;0.498028;21;0.132423;1.448904;0.404150;0.682181;-0.374555;-0.517412;-0.355840
NA;23040;3;-0.017436;1.584431;0.047135;0.976111;0.217188;0.000883;0.005931;-0.000670;1.547172;0.417658;0.785129;0.191715;-0.581193;0.095034;0.068777;1.547203;0.400364;0.785729;-0.077812;-0.610110;-0.065898;0.094462;1.482512;0.396934;0.684951;-0.370023;-0.514778;-0.359068;0.025999;1.556344;0.411343;0.776968;0.145760;-0.607854;0.074751;-0.024316;1.537310;0.424897;0.785129;0.191715;-0.581193;0.095034;0.037217;1.514143;0.427898;0.005443;0.838160;-0.072622;0.540542;0.079420;1.546618;0.424702;0.785931;0.076845;-0.609700;-0.068365;0.103705;1.480279;0.414512;0.684951;-0.370023;-0.514778;-0.359068;0.029963;1.544707;0.437194;0.416160;0.675034;-0.431516;0.430040;0.064069;1.510160;0.415800;0.005443;0.838160;-0.072622;0.540542;0.105949;1.497362;0.414334;0.684951;-0.370023;-0.514778;-0.359068;0.051563;1.496244;0.453946;-0.114358;0.776530;-0.284713;0.550330;0.086404;1.517055;0.464844;0.711164;0.150793;-0.670098;-0.149922;0.110697;1.475345;0.440006;0.667742;-0.188685;-0.485382;-0.531905;0.049935;1.516560;0.466907;0.351507;0.685885;-0.545766;0.328852;0.075016;1.491697;0.443409;-0.114358;0.776530;-0.284713;0.550330;2023/04/28 09:23:23.5862;0.045391;1.502370;0.440613;-0.104497;0.805456;-0.156696;0.561933;0.083757;1.534619;0.445887;0.764649;0.138314;-0.623223;-0.088172;0.111844;1.479029;0.430370;0.684951;-0.370023;-0.514778;-0.359068;0.038430;1.529907;0.454463;0.354152;0.704033;-0.472736;0.394252;0.072363;1.500255;0.430195;-0.104497;0.805456;-0.156696;0.561933;4fad4b11-e082-4450-bc91-cd45055286dd;0.005305;1.493921;0.397540;0.415850;-0.627848;-0.432855;0.495492;0.081925;1.477279;0.391342;0.491480;-0.563691;-0.378862;0.545127;0.043767;1.482731;0.394336;0.567356;-0.560177;-0.382529;0.466884;-0.023149;1.497067;0.391400;0.415850;-0.627848;-0.432855;0.495492;32;0.132479;1.448107;0.403967;0.684951;-0.370023;-0.514778;-0.359068
NA;23041;4;-0.017351;1.584651;0.047388;0.976189;0.216834;0.000400;0.006254;-0.001303;1.547511;0.419435;0.787272;0.190888;-0.579261;0.090668;0.068034;1.547182;0.401657;0.787765;-0.078462;-0.607080;-0.068729;0.093580;1.482461;0.397798;0.687099;-0.370370;-0.511418;-0.359408;0.025382;1.556521;0.412959;0.779125;0.145063;-0.605733;0.070768;-0.024971;1.537807;0.426815;0.787272;0.190888;-0.579261;0.090668;0.036507;1.514195;0.429329;0.005928;0.840007;-0.075650;0.537244;0.078841;1.546484;0.425919;0.787917;0.076413;-0.606829;-0.071461;0.102939;1.480143;0.415304;0.687099;-0.370370;-0.511418;-0.359408;0.029470;1.544764;0.438774;0.417738;0.676261;-0.432246;0.425829;0.063246;1.510105;0.417016;0.005928;0.840007;-0.075650;0.537244;0.105211;1.497223;0.415181;0.687099;-0.370370;-0.511418;-0.359408;0.051100;1.496099;0.455178;-0.114486;0.777888;-0.286903;0.547238;0.086045;1.516753;0.465898;0.713142;0.150516;-0.667388;-0.152862;0.110095;1.475098;0.440734;0.669286;-0.189629;-0.481905;-0.532790;0.049591;1.516365;0.468232;0.352190;0.687236;-0.545836;0.325164;0.074473;1.491554;0.444464;-0.114486;0.777888;-0.286903;0.547238;2023/04/28 09:23:23.5969;0.044798;1.502330;0.441932;-0.104309;0.807054;-0.159491;0.558879;0.083301;1.534395;0.447028;0.766584;0.137998;-0.620462;-0.091281;0.111182;1.478817;0.431105;0.687099;-0.370370;-0.511418;-0.359408;0.038021;1.529837;0.455930;0.355177;0.705348;-0.473258;0.390335;0.071685;1.500155;0.431309;-0.104309;0.807054;-0.159491;0.558879;4fad4b11-e082-4450-bc91-cd45055286dd;0.004482;1.494175;0.399021;0.420315;-0.625600;-0.430688;0.496455;0.080998;1.477272;0.392268;0.494716;-0.561794;-0.377356;0.545203;0.042879;1.482854;0.395515;0.570610;-0.558216;-0.380496;0.466929;-0.024012;1.497474;0.393154;0.420315;-0.625600;-0.430688;0.496455;43;0.131582;1.447962;0.404442;0.687099;-0.370370;-0.511418;-0.359408
NA;23042;5;-0.017221;1.584836;0.047695;0.976331;0.216195;-0.000177;0.006202;-0.001902;1.547862;0.421122;0.789302;0.189742;-0.577564;0.086141;0.067330;1.547151;0.402896;0.789609;-0.079187;-0.604248;-0.071641;0.092750;1.482407;0.398617;0.689144;-0.370541;-0.508255;-0.359800;0.024805;1.556696;0.414497;0.781136;0.144126;-0.603829;0.066674;-0.025600;1.538334;0.428634;0.789302;0.189742;-0.577564;0.086141;0.035812;1.514246;0.430696;0.006644;0.841702;-0.078854;0.534112;0.078288;1.546340;0.427087;0.789739;0.075884;-0.604144;-0.074592;0.102213;1.480004;0.416054;0.689144;-0.370541;-0.508255;-0.359800;0.029001;1.544822;0.440282;0.419349;0.677264;-0.433154;0.421707;0.062437;1.510031;0.418181;0.006644;0.841702;-0.078854;0.534112;0.104512;1.497080;0.415989;0.689144;-0.370541;-0.508255;-0.359800;0.050653;1.495949;0.456346;-0.114711;0.779106;-0.289087;0.544301;0.085696;1.516440;0.466902;0.714968;0.150233;-0.664805;-0.155840;0.109520;1.474847;0.441423;0.670744;-0.190357;-0.478600;-0.533675;0.049258;1.516162;0.469493;0.352683;0.688533;-0.545981;0.321625;0.073951;1.491407;0.445467;-0.114711;0.779106;-0.289087;0.544301;2023/04/28 09:23:23.6102;0.044224;1.502288;0.443188;-0.104113;0.808506;-0.162314;0.555997;0.082861;1.534161;0.448119;0.768372;0.137620;-0.617858;-0.094431;0.110553;1.478602;0.431803;0.689144;-0.370541;-0.508255;-0.359800;0.037627;1.529765;0.457330;0.356087;0.706549;-0.473876;0.386564;0.071029;1.500051;0.432371;-0.104113;0.808506;-0.162314;0.555997;4fad4b11-e082-4450-bc91-cd45055286dd;0.003716;1.494427;0.400399;0.424836;-0.623374;-0.428526;0.497277;0.080127;1.477260;0.393141;0.497849;-0.560076;-0.376007;0.545051;0.042048;1.482974;0.396615;0.573771;-0.556385;-0.378628;0.466759;-0.024814;1.497884;0.394803;0.424836;-0.623374;-0.428526;0.497277;56;0.130736;1.447821;0.404890;0.689144;-0.370541;-0.508255;-0.359800
NA;23043;6;-0.017119;1.584984;0.047963;0.976449;0.215665;-0.000426;0.005977;-0.002476;1.548226;0.422742;0.791249;0.188312;-0.576046;0.081454;0.066657;1.547111;0.404095;0.791301;-0.079992;-0.601560;-0.074637;0.091959;1.482349;0.399401;0.691113;-0.370569;-0.505243;-0.360237;0.024258;1.556871;0.415977;0.783035;0.142973;-0.602091;0.062464;-0.026210;1.538891;0.430381;0.791249;0.188312;-0.576046;0.081454;0.035125;1.514298;0.432018;0.007581;0.843281;-0.082234;0.531091;0.077755;1.546187;0.428218;0.791438;0.075243;-0.601593;-0.077785;0.101519;1.479862;0.416773;0.691113;-0.370569;-0.505243;-0.360237;0.028549;1.544884;0.441737;0.421019;0.678073;-0.434222;0.417627;0.061636;1.509943;0.419310;0.007581;0.843281;-0.082234;0.531091;0.103842;1.496935;0.416768;0.691113;-0.370569;-0.505243;-0.360237;0.050221;1.495793;0.457466;-0.115023;0.780213;-0.291267;0.541480;0.085352;1.516116;0.467868;0.716676;0.149946;-0.662312;-0.158856;0.108966;1.474591;0.442083;0.672137;-0.190910;-0.475422;-0.534564;0.048932;1.515952;0.470708;0.353016;0.689793;-0.546181;0.318201;0.073445;1.491257;0.446430;-0.115023;0.780213;-0.291267;0.541480;2023/04/28 09:23:23.6188;0.043664;1.502244;0.444397;-0.103910;0.809842;-0.165164;0.553244;0.082433;1.533916;0.449174;0.770046;0.137189;-0.615368;-0.097627;0.109948;1.478384;0.432472;0.691113;-0.370569;-0.505243;-0.360237;0.037244;1.529691;0.458680;0.356903;0.707664;-0.474572;0.382901;0.070388;1.499943;0.433395;-0.103910;0.809842;-0.165164;0.553244;4fad4b11-e082-4450-bc91-cd45055286dd;0.002995;1.494681;0.401698;0.429436;-0.621156;-0.426341;0.497980;0.079299;1.477244;0.393972;0.500916;-0.558509;-0.374771;0.544701;0.041259;1.483092;0.397654;0.576876;-0.554662;-0.376877;0.466399;-0.025566;1.498301;0.396373;0.429436;-0.621156;-0.426341;0.497980;65;0.129929;1.447683;0.405318;0.691113;-0.370569;-0.505243;-0.360237
NA;23044;7;-0.016958;1.585133;0.048265;0.976502;0.215443;-0.000492;0.005240;-0.003523;1.548482;0.421618;0.791190;0.187437;-0.576039;0.084056;0.065635;1.547425;0.403050;0.790868;-0.081135;-0.602248;-0.072404;0.091130;1.482719;0.398634;0.690736;-0.371030;-0.506751;-0.358364;0.023202;1.557146;0.414840;0.782992;0.141661;-0.602219;0.064722;-0.027237;1.539106;0.429270;0.791190;0.187437;-0.576039;0.084056;0.034178;1.514691;0.431090;0.007406;0.843236;-0.079332;0.531605;0.076717;1.546627;0.427184;0.791551;0.074197;-0.601816;-0.075884;0.100686;1.480329;0.416023;0.690736;-0.371030;-0.506751;-0.358364;0.027509;1.545294;0.440692;0.421531;0.677789;-0.432618;0.419232;0.060722;1.510434;0.418418;0.007406;0.843236;-0.079332;0.531605;0.102959;1.497409;0.415946;0.690736;-0.371030;-0.506751;-0.358364;0.049359;1.496250;0.456594;-0.115613;0.780509;-0.287777;0.542793;0.084373;1.516734;0.466958;0.716855;0.149649;-0.662841;-0.156097;0.108130;1.475179;0.441351;0.672380;-0.191315;-0.476995;-0.532710;0.047951;1.516455;0.469752;0.353139;0.690037;-0.544280;0.320783;0.072641;1.491812;0.445641;-0.115613;0.780509;-0.287777;0.542793;2023/04/28 09:23:23.6310;0.042716;1.502684;0.443526;-0.103510;0.810053;-0.162755;0.553725;0.081416;1.534453;0.448192;0.770314;0.136317;-0.615543;-0.095613;0.109108;1.478937;0.431726;0.690736;-0.371030;-0.506751;-0.358364;0.036232;1.530172;0.457700;0.357787;0.707403;-0.473134;0.384335;0.069459;1.500435;0.432557;-0.103510;0.810053;-0.162755;0.553725;4fad4b11-e082-4450-bc91-cd45055286dd;0.002083;1.494553;0.400939;0.426732;-0.620586;-0.427287;0.500199;0.078486;1.477554;0.393224;0.498308;-0.558140;-0.375320;0.547087;0.040413;1.483183;0.396906;0.574588;-0.554375;-0.377469;0.469079;-0.026502;1.497974;0.395607;0.426732;-0.620586;-0.427287;0.500199;77;0.129200;1.448190;0.404707;0.690736;-0.371030;-0.506751;-0.358364
NA;23045;8;-0.016478;1.585141;0.048605;0.976623;0.214916;-0.000259;0.004338;-0.003609;1.548531;0.420539;0.791708;0.185397;-0.575326;0.088465;0.065547;1.547556;0.401994;0.790563;-0.083750;-0.602759;-0.068398;0.091078;1.482822;0.398252;0.688886;-0.374284;-0.508774;-0.355663;0.023081;1.557247;0.413690;0.783408;0.139457;-0.601713;0.069029;-0.027280;1.539108;0.428265;0.791708;0.185397;-0.575326;0.088465;0.034121;1.515130;0.430355;0.010468;0.843113;-0.075571;0.532297;0.076622;1.547007;0.426139;0.791855;0.070076;-0.602290;-0.072815;0.100633;1.480614;0.415666;0.688886;-0.374284;-0.508774;-0.355663;0.027410;1.545820;0.439649;0.424538;0.675826;-0.430240;0.421807;0.060687;1.510839;0.417743;0.010468;0.843113;-0.075571;0.532297;0.102897;1.497694;0.415404;0.688886;-0.374284;-0.508774;-0.355663;0.049293;1.496896;0.456041;-0.111845;0.780957;-0.284299;0.544767;0.084282;1.517520;0.466213;0.717404;0.146043;-0.663980;-0.152099;0.108073;1.475725;0.441034;0.671492;-0.194458;-0.479837;-0.530133;0.047857;1.517244;0.468975;0.356543;0.688137;-0.542416;0.324236;0.072594;1.492365;0.445166;-0.111845;0.780957;-0.284299;0.544767;2023/04/28 09:23:23.6423;0.042606;1.503247;0.442932;-0.099554;0.810493;-0.159749;0.554681;0.081321;1.535047;0.447269;0.770977;0.132194;-0.616076;-0.092566;0.109052;1.479386;0.431372;0.688886;-0.374284;-0.508774;-0.355663;0.036135;1.530884;0.456819;0.361547;0.705419;-0.471297;0.386715;0.069354;1.500899;0.431997;-0.099554;0.810493;-0.159749;0.554681;4fad4b11-e082-4450-bc91-cd45055286dd;0.001998;1.494485;0.400535;0.423158;-0.622001;-0.425385;0.503091;0.078434;1.477592;0.392904;0.495095;-0.559844;-0.372979;0.549857;0.040352;1.483167;0.396574;0.571461;-0.556526;-0.375491;0.471930;-0.026599;1.497782;0.395190;0.423158;-0.622001;-0.425385;0.503091;88;0.129171;1.448382;0.404670;0.688886;-0.374284;-0.508774;-0.355663
NA;23046;9;-0.016332;1.585261;0.048748;0.976693;0.214621;0.000326;0.003079;-0.003710;1.548514;0.419617;0.792154;0.183944;-0.574531;0.092583;0.065439;1.547663;0.401076;0.790374;-0.085801;-0.603128;-0.064675;0.091001;1.482910;0.397933;0.687261;-0.377189;-0.510520;-0.353228;0.022940;1.557298;0.412701;0.783780;0.137864;-0.601121;0.073054;-0.027333;1.539028;0.427412;0.792154;0.183944;-0.574531;0.092583;0.034045;1.515521;0.429726;0.013108;0.843018;-0.072120;0.532867;0.076510;1.547336;0.425227;0.792139;0.066348;-0.602660;-0.070100;0.100557;1.480865;0.415367;0.687261;-0.377189;-0.510520;-0.353228;0.027297;1.546284;0.438744;0.427218;0.674091;-0.428067;0.424081;0.060632;1.511206;0.417164;0.013108;0.843018;-0.072120;0.532867;0.102814;1.497944;0.414938;0.687261;-0.377189;-0.510520;-0.353228;0.049209;1.497466;0.455571;-0.108327;0.781360;-0.281229;0.546492;0.084180;1.518213;0.465565;0.717902;0.142745;-0.664972;-0.148504;0.107998;1.476207;0.440764;0.670722;-0.197280;-0.482312;-0.527814;0.047753;1.517941;0.468300;0.359688;0.686369;-0.540745;0.327287;0.072524;1.492846;0.444763;-0.108327;0.781360;-0.281229;0.546492;2023/04/28 09:23:23.6530;0.042477;1.503750;0.442429;-0.095960;0.810899;-0.157111;0.555473;0.081212;1.535568;0.446464;0.771596;0.128426;-0.616492;-0.089911;0.108976;1.479783;0.431070;0.687261;-0.377189;-0.510520;-0.353228;0.036025;1.531519;0.456058;0.364989;0.703606;-0.469675;0.388751;0.069228;1.501309;0.431521;-0.095960;0.810899;-0.157111;0.555473;4fad4b11-e082-4450-bc91-cd45055286dd;0.001892;1.494415;0.400227;0.420027;-0.623142;-0.423639;0.505768;0.078355;1.477623;0.392645;0.492271;-0.561237;-0.370830;0.552420;0.040266;1.483146;0.396318;0.568704;-0.558342;-0.373664;0.474558;-0.026717;1.497599;0.394881;0.420027;-0.623142;-0.423639;0.505768;99;0.129118;1.448552;0.404650;0.687261;-0.377189;-0.510520;-0.353228
NA;23047;10;-0.016097;1.585113;0.048791;0.976812;0.214087;0.001375;0.001835;-0.003237;1.547448;0.420099;0.789104;0.188008;-0.578206;0.087437;0.066054;1.546694;0.402012;0.788867;-0.080179;-0.605266;-0.070097;0.091837;1.482076;0.398013;0.689077;-0.369653;-0.510581;-0.357541;0.023492;1.556226;0.413488;0.780889;0.142063;-0.604520;0.067716;-0.026952;1.537955;0.427602;0.789104;0.188008;-0.578206;0.087437;0.034593;1.513905;0.429895;0.005166;0.841459;-0.075364;0.535014;0.076962;1.546013;0.426230;0.789632;0.074898;-0.604594;-0.073071;0.101284;1.479782;0.415477;0.689077;-0.369653;-0.510581;-0.357541;0.027664;1.544485;0.439385;0.419271;0.677091;-0.431733;0.423517;0.061273;1.509871;0.417438;0.005166;0.841459;-0.075364;0.535014;0.103491;1.496873;0.415328;0.689077;-0.369653;-0.510581;-0.357541;0.049660;1.495525;0.455547;-0.117302;0.779106;-0.283504;0.546681;0.084450;1.516267;0.466145;0.714607;0.150945;-0.665953;-0.151850;0.108568;1.474739;0.440836;0.671457;-0.189334;-0.480636;-0.531307;0.048006;1.515774;0.468609;0.351044;0.689536;-0.543085;0.326139;0.073076;1.491203;0.444835;-0.117302;0.779106;-0.283504;0.546681;2023/04/28 09:23:23.6652;0.043013;1.501955;0.442449;-0.104355;0.808452;-0.159555;0.556828;0.081557;1.533919;0.447307;0.768403;0.136909;-0.618278;-0.092443;0.109601;1.478473;0.431207;0.689077;-0.369653;-0.510581;-0.357541;0.036322;1.529463;0.456487;0.356473;0.706328;-0.472474;0.388325;0.069850;1.499808;0.431693;-0.104355;0.808452;-0.159555;0.556828;4fad4b11-e082-4450-bc91-cd45055286dd;0.002690;1.493304;0.399969;0.423241;-0.620552;-0.429703;0.501136;0.079241;1.476835;0.392565;0.494891;-0.558460;-0.377532;0.548339;0.041115;1.482199;0.396091;0.571564;-0.554526;-0.379804;0.470706;-0.025897;1.496500;0.394517;0.423241;-0.620552;-0.429703;0.501136;111;0.130019;1.447733;0.404427;0.689077;-0.369653;-0.510581;-0.357541
