Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;53190;1;0.020126;1.585147;0.091541;0.975600;0.219552;-0.001280;-0.000453;0.030323;1.616693;0.509487;0.894067;-0.098612;-0.436895;0.006513;0.075811;1.568296;0.485600;0.763867;-0.470483;-0.419162;-0.139489;0.091121;1.501099;0.497063;0.652849;-0.594421;-0.400411;-0.245200;0.052849;1.605987;0.494886;0.867219;-0.201485;-0.454755;-0.023098;0.009822;1.622461;0.525463;0.894067;-0.098612;-0.436895;0.006513;0.041094;1.623052;0.532710;0.873635;-0.021832;-0.485707;-0.019354;0.094936;1.572919;0.503454;0.770809;-0.429467;-0.438415;-0.170894;0.105638;1.502286;0.510539;0.652849;-0.594421;-0.400411;-0.245200;0.067928;1.614364;0.516047;0.868197;-0.139803;-0.475535;-0.023594;0.016193;1.626088;0.548648;0.873635;-0.021832;-0.485707;-0.019354;0.109868;1.518036;0.504967;0.652849;-0.594421;-0.400411;-0.245200;0.083777;1.604382;0.566480;0.786856;-0.113850;-0.575266;-0.192262;0.113717;1.556914;0.547332;0.722832;-0.415288;-0.445194;-0.326882;0.121799;1.504881;0.534138;0.648299;-0.446158;-0.423549;-0.448618;0.100124;1.589478;0.556782;0.789696;-0.213553;-0.503618;-0.277749;0.061868;1.616171;0.574401;0.786856;-0.113850;-0.575266;-0.192262;2023/04/28 09:28:59.6211;0.061398;1.622801;0.548112;0.830286;-0.057104;-0.551523;-0.056445;0.105833;1.567615;0.525012;0.740743;-0.449344;-0.432866;-0.249032;0.119506;1.504910;0.524015;0.652849;-0.594421;-0.400411;-0.245200;0.086474;1.608482;0.535280;0.827724;-0.191229;-0.510291;-0.133822;0.035509;1.629223;0.559473;0.830286;-0.057104;-0.551523;-0.056445;4fad4b11-e082-4450-bc91-cd45055286dd;0.004482;1.522957;0.511696;0.466535;-0.575472;-0.157018;0.653087;0.077037;1.496987;0.495998;0.439961;-0.585813;-0.183732;0.655364;0.041100;1.507606;0.505514;0.499994;-0.617108;-0.205580;0.571770;-0.022228;1.532661;0.518739;0.466535;-0.575472;-0.157018;0.653087;12;0.124800;1.463154;0.506481;0.652849;-0.594421;-0.400411;-0.245200
NA;53191;2;0.019990;1.585425;0.091753;0.975919;0.218124;-0.001830;-0.000633;0.030380;1.616091;0.510322;0.894148;-0.096745;-0.437139;0.007134;0.075977;1.567859;0.486336;0.764456;-0.469186;-0.419611;-0.139277;0.091412;1.500655;0.497581;0.654074;-0.592949;-0.400556;-0.245262;0.052937;1.605484;0.495698;0.867467;-0.199705;-0.455093;-0.022589;0.009859;1.621756;0.526310;0.894148;-0.096745;-0.437139;0.007134;0.041031;1.622272;0.533652;0.873666;-0.020478;-0.485724;-0.018994;0.095094;1.572459;0.504206;0.772061;-0.426936;-0.439046;-0.169959;0.105929;1.501825;0.511060;0.654074;-0.592949;-0.400556;-0.245262;0.067896;1.613728;0.516964;0.868437;-0.137635;-0.475765;-0.022866;0.016123;1.625228;0.549594;0.873666;-0.020478;-0.485724;-0.018994;0.110129;1.517599;0.505535;0.654074;-0.592949;-0.400556;-0.245262;0.083812;1.603653;0.567342;0.787329;-0.111318;-0.575234;-0.191905;0.113905;1.556342;0.548030;0.724086;-0.413136;-0.445415;-0.326532;0.122085;1.504369;0.534661;0.649466;-0.444671;-0.423214;-0.448722;0.100197;1.588824;0.557596;0.790384;-0.211589;-0.503453;-0.277593;0.061858;1.615333;0.575300;0.787329;-0.111318;-0.575234;-0.191905;2023/04/28 09:28:59.6303;0.061376;1.622084;0.548998;0.830360;-0.055647;-0.551582;-0.056254;0.106001;1.567103;0.525746;0.741813;-0.447425;-0.433368;-0.248429;0.119792;1.504427;0.524539;0.654074;-0.592949;-0.400556;-0.245262;0.086495;1.607870;0.536133;0.828113;-0.189400;-0.510464;-0.133355;0.035473;1.628431;0.560369;0.830360;-0.055647;-0.551582;-0.056254;4fad4b11-e082-4450-bc91-cd45055286dd;0.004714;1.522170;0.512432;0.468070;-0.572651;-0.157638;0.654318;0.077335;1.496523;0.496510;0.440194;-0.584000;-0.185694;0.656271;0.041379;1.506978;0.506134;0.500349;-0.615299;-0.207483;0.572721;-0.021967;1.531821;0.519655;0.468070;-0.572651;-0.157638;0.654318;21;0.125163;1.462740;0.506864;0.654074;-0.592949;-0.400556;-0.245262
NA;53192;3;0.019870;1.585764;0.091924;0.976224;0.216745;-0.002619;-0.001261;0.029308;1.616431;0.511319;0.894587;-0.096046;-0.436385;0.007646;0.074937;1.568290;0.487198;0.765225;-0.468552;-0.419201;-0.138424;0.090494;1.501092;0.498312;0.655088;-0.592423;-0.400158;-0.244476;0.051853;1.605866;0.496644;0.867983;-0.199057;-0.454420;-0.022021;0.008809;1.622054;0.527349;0.894587;-0.096046;-0.436385;0.007646;0.040011;1.622709;0.534592;0.873988;-0.021987;-0.485057;-0.019546;0.094083;1.572891;0.505036;0.772766;-0.426428;-0.438634;-0.169092;0.105036;1.502264;0.511763;0.655088;-0.592423;-0.400158;-0.244476;0.066839;1.614106;0.517875;0.868688;-0.138530;-0.475036;-0.023070;0.015136;1.625758;0.550566;0.873988;-0.021987;-0.485057;-0.019546;0.109201;1.518053;0.506255;0.655088;-0.592423;-0.400158;-0.244476;0.082909;1.604038;0.568181;0.787991;-0.111496;-0.574400;-0.191582;0.113006;1.556739;0.548798;0.724843;-0.412897;-0.445045;-0.325660;0.121235;1.504797;0.535337;0.650545;-0.444337;-0.422563;-0.448104;0.099261;1.589194;0.558402;0.790856;-0.212270;-0.502506;-0.277446;0.060967;1.615711;0.576186;0.787991;-0.111496;-0.574400;-0.191582;2023/04/28 09:28:59.6410;0.060458;1.622534;0.549898;0.830821;-0.056776;-0.550704;-0.056901;0.105042;1.567521;0.526546;0.742434;-0.447300;-0.432749;-0.247877;0.118922;1.504867;0.525220;0.655088;-0.592423;-0.400158;-0.244476;0.085527;1.608268;0.536993;0.828444;-0.190241;-0.509524;-0.133697;0.034594;1.628953;0.561315;0.830821;-0.056776;-0.550704;-0.056901;4fad4b11-e082-4450-bc91-cd45055286dd;0.003793;1.522509;0.513273;0.469192;-0.571286;-0.157009;0.654859;0.076422;1.496940;0.497261;0.440424;-0.583285;-0.185972;0.656673;0.040471;1.507361;0.506942;0.500397;-0.614799;-0.207944;0.573049;-0.022852;1.532182;0.520602;0.469192;-0.571286;-0.157009;0.654859;32;0.124319;1.463214;0.507474;0.655088;-0.592423;-0.400158;-0.244476
NA;53193;4;0.019720;1.586263;0.092121;0.976434;0.215780;-0.003363;-0.002060;0.028311;1.616735;0.512255;0.894992;-0.095399;-0.435687;0.008133;0.073973;1.568683;0.488007;0.765955;-0.467927;-0.418835;-0.137602;0.089647;1.501491;0.498997;0.656049;-0.591910;-0.399799;-0.243729;0.050844;1.606210;0.497534;0.868460;-0.198451;-0.453798;-0.021478;0.007832;1.622319;0.528325;0.894992;-0.095399;-0.435687;0.008133;0.039068;1.623122;0.535468;0.874263;-0.023653;-0.484458;-0.020164;0.093146;1.573287;0.505815;0.773407;-0.425973;-0.438260;-0.168277;0.104212;1.502665;0.512423;0.656049;-0.591910;-0.399799;-0.243729;0.065860;1.614450;0.518727;0.868881;-0.139579;-0.474361;-0.023351;0.014222;1.626275;0.551468;0.874263;-0.023653;-0.484458;-0.020164;0.108345;1.518468;0.506930;0.656049;-0.591910;-0.399799;-0.243729;0.082076;1.604395;0.568964;0.788592;-0.111817;-0.573600;-0.191319;0.112173;1.557100;0.549520;0.725530;-0.412699;-0.444719;-0.324825;0.120452;1.505190;0.535972;0.651570;-0.444001;-0.421960;-0.447515;0.098394;1.589531;0.559157;0.791253;-0.213067;-0.501592;-0.277358;0.060151;1.616069;0.577011;0.788592;-0.111817;-0.573600;-0.191319;2023/04/28 09:28:59.6522;0.059616;1.622958;0.550739;0.831235;-0.058044;-0.549872;-0.057622;0.104152;1.567902;0.527297;0.742996;-0.447210;-0.432160;-0.247382;0.118120;1.505270;0.525858;0.656049;-0.591910;-0.399799;-0.243729;0.084633;1.608633;0.537800;0.828710;-0.191202;-0.508619;-0.134120;0.033790;1.629459;0.562198;0.831235;-0.058044;-0.549872;-0.057622;4fad4b11-e082-4450-bc91-cd45055286dd;0.002944;1.522824;0.514051;0.470292;-0.570040;-0.156372;0.655308;0.075579;1.497320;0.497965;0.440658;-0.582670;-0.186213;0.656994;0.039633;1.507714;0.507694;0.500431;-0.614402;-0.208385;0.573285;-0.023665;1.532521;0.521475;0.470292;-0.570040;-0.156372;0.655308;44;0.123543;1.463649;0.508044;0.656049;-0.591910;-0.399799;-0.243729
NA;53194;5;0.019573;1.586739;0.092445;0.976616;0.214942;-0.004002;-0.002102;0.028751;1.616219;0.512525;0.895005;-0.095933;-0.435544;0.008091;0.074321;1.568063;0.488362;0.765311;-0.469178;-0.418484;-0.137996;0.089834;1.500845;0.499410;0.655597;-0.592701;-0.399045;-0.244259;0.051273;1.605660;0.497810;0.868397;-0.199092;-0.453636;-0.021547;0.008279;1.621829;0.528595;0.895005;-0.095933;-0.435544;0.008091;0.039534;1.622565;0.535806;0.874347;-0.024588;-0.484230;-0.020857;0.093512;1.572634;0.506160;0.773196;-0.426669;-0.437770;-0.168760;0.104410;1.501994;0.512827;0.655597;-0.592701;-0.399045;-0.244259;0.066307;1.613856;0.519055;0.868959;-0.139984;-0.474077;-0.023788;0.014702;1.625786;0.551815;0.874347;-0.024588;-0.484230;-0.020857;0.108578;1.517779;0.507311;0.655597;-0.592701;-0.399045;-0.244259;0.082441;1.603736;0.569337;0.788610;-0.111804;-0.573485;-0.191598;0.112517;1.556436;0.549870;0.725593;-0.412617;-0.444549;-0.325021;0.120664;1.504494;0.536359;0.650931;-0.444857;-0.421467;-0.448059;0.098748;1.588866;0.559523;0.791251;-0.213092;-0.501420;-0.277652;0.060522;1.615417;0.577392;0.788610;-0.111804;-0.573485;-0.191598;2023/04/28 09:28:59.6640;0.060033;1.622351;0.551057;0.831236;-0.058960;-0.549733;-0.058003;0.104514;1.567239;0.527642;0.742784;-0.447695;-0.431950;-0.247509;0.118328;1.504572;0.526246;0.655597;-0.592701;-0.399045;-0.244259;0.085034;1.607995;0.538120;0.828650;-0.191727;-0.508476;-0.134285;0.034221;1.628908;0.562516;0.831236;-0.058960;-0.549733;-0.058003;4fad4b11-e082-4450-bc91-cd45055286dd;0.003187;1.522260;0.514714;0.472363;-0.567796;-0.154039;0.656318;0.075754;1.496710;0.498397;0.441110;-0.581790;-0.185541;0.657660;0.039839;1.507119;0.508224;0.501168;-0.613405;-0.207326;0.574092;-0.023334;1.532048;0.522333;0.472363;-0.567796;-0.154039;0.656318;56;0.123643;1.462924;0.508463;0.655597;-0.592701;-0.399045;-0.244259
NA;53195;6;0.019655;1.586949;0.092535;0.976967;0.213318;-0.004943;-0.002414;0.029129;1.615732;0.512798;0.895029;-0.096321;-0.435406;0.008182;0.074622;1.567493;0.488715;0.764713;-0.470328;-0.418189;-0.138291;0.089993;1.500252;0.499811;0.655222;-0.593393;-0.398352;-0.244712;0.051643;1.605151;0.498088;0.868358;-0.199587;-0.453496;-0.021486;0.008663;1.621359;0.528870;0.895029;-0.096321;-0.435406;0.008182;0.039937;1.622039;0.536151;0.874446;-0.025340;-0.483986;-0.021442;0.093829;1.572034;0.506502;0.773045;-0.427251;-0.437313;-0.169165;0.104579;1.501379;0.513219;0.655222;-0.593393;-0.398352;-0.244712;0.066695;1.613306;0.519387;0.869065;-0.140215;-0.473799;-0.024118;0.015120;1.625315;0.552171;0.874446;-0.025340;-0.483986;-0.021442;0.108777;1.517148;0.507683;0.655222;-0.593393;-0.398352;-0.244712;0.082745;1.603114;0.569717;0.788677;-0.111621;-0.573356;-0.191811;0.112817;1.555823;0.550215;0.725763;-0.412381;-0.444409;-0.325133;0.120847;1.503856;0.536734;0.650390;-0.445614;-0.421001;-0.448530;0.099048;1.588246;0.559891;0.791330;-0.212936;-0.501251;-0.277853;0.060829;1.614792;0.577782;0.788677;-0.111621;-0.573356;-0.191811;2023/04/28 09:28:59.6742;0.060382;1.621776;0.551382;0.831260;-0.059689;-0.549589;-0.058274;0.104828;1.566629;0.527983;0.742661;-0.448041;-0.431789;-0.247533;0.118507;1.503932;0.526623;0.655222;-0.593393;-0.398352;-0.244712;0.085373;1.607401;0.538446;0.828642;-0.192071;-0.508347;-0.134332;0.034583;1.628375;0.562843;0.831260;-0.059689;-0.549589;-0.058274;4fad4b11-e082-4450-bc91-cd45055286dd;0.003396;1.521716;0.515384;0.474377;-0.565409;-0.151823;0.657442;0.075902;1.496150;0.498817;0.441503;-0.580787;-0.185011;0.658432;0.040016;1.506558;0.508750;0.501884;-0.612263;-0.206382;0.575025;-0.023036;1.531583;0.523204;0.474377;-0.565409;-0.151823;0.657442;65;0.123725;1.462261;0.508864;0.655222;-0.593393;-0.398352;-0.244712
NA;53196;7;0.019433;1.587258;0.092808;0.977201;0.212226;-0.005143;-0.003438;0.028687;1.616809;0.513255;0.894935;-0.095357;-0.435828;0.007191;0.074192;1.568632;0.489066;0.765234;-0.469118;-0.418286;-0.139220;0.089475;1.501344;0.500015;0.655489;-0.592751;-0.398146;-0.245888;0.051211;1.606265;0.498534;0.868439;-0.198340;-0.453843;-0.022389;0.008209;1.622411;0.529320;0.894935;-0.095357;-0.435828;0.007191;0.039474;1.623110;0.536549;0.874103;-0.025074;-0.484581;-0.022298;0.093383;1.573112;0.506886;0.773121;-0.426488;-0.437604;-0.169981;0.104042;1.502424;0.513447;0.655489;-0.592751;-0.398146;-0.245888;0.066245;1.614369;0.519812;0.868804;-0.139900;-0.474323;-0.025027;0.014638;1.626397;0.552537;0.874103;-0.025074;-0.484581;-0.022298;0.108267;1.518206;0.507965;0.655489;-0.592751;-0.398146;-0.245888;0.082281;1.604090;0.570175;0.788335;-0.111561;-0.573294;-0.193435;0.112299;1.556783;0.550586;0.725906;-0.411400;-0.444238;-0.326286;0.120286;1.504836;0.537001;0.650364;-0.444865;-0.420652;-0.449637;0.098546;1.589192;0.560333;0.790959;-0.212868;-0.500932;-0.279531;0.060390;1.615811;0.578248;0.788335;-0.111561;-0.573294;-0.193435;2023/04/28 09:28:59.6860;0.059905;1.622752;0.551876;0.831015;-0.058645;-0.549958;-0.059338;0.104350;1.567647;0.528368;0.743011;-0.446916;-0.431748;-0.248585;0.117958;1.504938;0.526887;0.655489;-0.592751;-0.398146;-0.245888;0.084902;1.608398;0.538928;0.828581;-0.190991;-0.508563;-0.135422;0.034097;1.629334;0.563327;0.831015;-0.058645;-0.549958;-0.059338;4fad4b11-e082-4450-bc91-cd45055286dd;0.002882;1.522990;0.515301;0.475200;-0.566638;-0.152489;0.655633;0.075383;1.497256;0.498978;0.442384;-0.581988;-0.185488;0.656644;0.039488;1.507746;0.508789;0.502603;-0.613324;-0.206912;0.573071;-0.023558;1.532913;0.523026;0.475200;-0.566638;-0.152489;0.655633;77;0.123151;1.463300;0.509043;0.655489;-0.592751;-0.398146;-0.245888
NA;53197;8;0.019492;1.587454;0.092973;0.977556;0.210564;-0.005249;-0.004351;0.028265;1.617779;0.513710;0.894869;-0.094425;-0.436182;0.006290;0.073787;1.569669;0.489413;0.765772;-0.467931;-0.418361;-0.140031;0.088992;1.502339;0.500224;0.655757;-0.592150;-0.397944;-0.246946;0.050800;1.607275;0.498976;0.868546;-0.197115;-0.454132;-0.023188;0.007778;1.623358;0.529771;0.894869;-0.094425;-0.436182;0.006290;0.039034;1.624082;0.536940;0.873798;-0.024822;-0.485109;-0.023051;0.092963;1.574093;0.507263;0.773209;-0.425771;-0.437874;-0.170684;0.103541;1.503376;0.513677;0.655757;-0.592150;-0.397944;-0.246946;0.065818;1.615333;0.520227;0.868572;-0.139613;-0.474789;-0.025831;0.014181;1.627377;0.552901;0.873798;-0.024822;-0.485109;-0.023051;0.107790;1.519170;0.508245;0.655757;-0.592150;-0.397944;-0.246946;0.081849;1.604977;0.570625;0.788040;-0.111554;-0.573176;-0.194981;0.111816;1.557656;0.550950;0.726076;-0.410467;-0.444052;-0.327336;0.119764;1.505729;0.537267;0.650365;-0.444172;-0.420314;-0.450636;0.098076;1.590050;0.560765;0.790629;-0.212854;-0.500571;-0.281120;0.059984;1.616740;0.578707;0.788040;-0.111554;-0.573176;-0.194981;2023/04/28 09:28:59.6972;0.059454;1.623631;0.552364;0.830815;-0.057598;-0.550267;-0.060299;0.103901;1.568574;0.528746;0.743386;-0.445822;-0.431692;-0.249525;0.117448;1.505854;0.527151;0.655757;-0.592150;-0.397944;-0.246946;0.084456;1.609301;0.539401;0.828560;-0.189926;-0.508734;-0.136405;0.033637;1.630194;0.563807;0.830815;-0.057598;-0.550267;-0.060299;4fad4b11-e082-4450-bc91-cd45055286dd;0.002404;1.524162;0.515229;0.475948;-0.567860;-0.153101;0.653888;0.074900;1.498262;0.499146;0.443195;-0.583176;-0.185910;0.654921;0.038996;1.508833;0.508838;0.503258;-0.614379;-0.207389;0.571192;-0.024043;1.534138;0.522861;0.475948;-0.567860;-0.153101;0.653888;88;0.122617;1.464247;0.509227;0.655757;-0.592150;-0.397944;-0.246946
NA;53198;9;0.019573;1.587875;0.093074;0.977699;0.209884;-0.005579;-0.004824;0.028107;1.616719;0.513908;0.895075;-0.092470;-0.436145;0.008196;0.073750;1.568751;0.489592;0.765988;-0.467448;-0.418853;-0.138988;0.089140;1.501454;0.500362;0.656248;-0.591572;-0.398565;-0.246022;0.050670;1.606299;0.499158;0.868735;-0.196105;-0.454277;-0.021804;0.007601;1.622162;0.529992;0.895075;-0.092470;-0.436145;0.008196;0.038804;1.622949;0.537211;0.874001;-0.023257;-0.484887;-0.021565;0.092921;1.573220;0.507436;0.773971;-0.424406;-0.438410;-0.169249;0.103687;1.502524;0.513812;0.656248;-0.591572;-0.398565;-0.246022;0.065613;1.614331;0.520471;0.868850;-0.138102;-0.474800;-0.024328;0.013947;1.626121;0.553190;0.874001;-0.023257;-0.484887;-0.021565;0.107894;1.518337;0.508396;0.656248;-0.591572;-0.398565;-0.246022;0.081585;1.603947;0.570834;0.788587;-0.109608;-0.573428;-0.193128;0.111834;1.556820;0.551111;0.727256;-0.408610;-0.445208;-0.325463;0.119915;1.504918;0.537410;0.651109;-0.443605;-0.420710;-0.449751;0.097894;1.589118;0.560962;0.791462;-0.211099;-0.501055;-0.279230;0.059656;1.615584;0.578926;0.788587;-0.109608;-0.573428;-0.193128;2023/04/28 09:28:59.7079;0.059187;1.622588;0.552539;0.830977;-0.056541;-0.550324;-0.058514;0.103882;1.567723;0.528913;0.744024;-0.444781;-0.432681;-0.247760;0.117594;1.505040;0.527294;0.656248;-0.591572;-0.398565;-0.246022;0.084246;1.608357;0.539574;0.828859;-0.188986;-0.509070;-0.134632;0.033345;1.629045;0.563985;0.830977;-0.056541;-0.550324;-0.058514;4fad4b11-e082-4450-bc91-cd45055286dd;0.002478;1.522967;0.515404;0.476490;-0.566061;-0.152665;0.655154;0.075060;1.497336;0.499273;0.442042;-0.582731;-0.187166;0.655738;0.039115;1.507764;0.508969;0.502590;-0.613610;-0.208350;0.572256;-0.023941;1.532918;0.523165;0.476490;-0.566061;-0.152665;0.655154;99;0.122867;1.463453;0.509356;0.656248;-0.591572;-0.398565;-0.246022
NA;53199;10;0.019788;1.588045;0.093066;0.977685;0.209953;-0.005895;-0.004239;0.027473;1.617294;0.514583;0.894808;-0.089973;-0.437218;0.008043;0.073257;1.569524;0.490157;0.766663;-0.465258;-0.419809;-0.139726;0.088760;1.502206;0.500639;0.657437;-0.589400;-0.399273;-0.246912;0.050089;1.606989;0.499835;0.868715;-0.193621;-0.455362;-0.022140;0.006922;1.622621;0.530648;0.894808;-0.089973;-0.437218;0.008043;0.038112;1.623486;0.537901;0.873483;-0.021527;-0.485883;-0.021968;0.092382;1.573949;0.508061;0.774448;-0.422308;-0.439344;-0.169891;0.103275;1.503243;0.514127;0.657437;-0.589400;-0.399273;-0.246912;0.064970;1.614959;0.521194;0.868550;-0.136259;-0.475858;-0.024797;0.013215;1.626580;0.553833;0.873483;-0.021527;-0.485883;-0.021968;0.107462;1.519091;0.508800;0.657437;-0.589400;-0.399273;-0.246912;0.080760;1.604310;0.571564;0.788516;-0.106150;-0.574260;-0.192874;0.111236;1.557385;0.551700;0.728269;-0.405618;-0.446185;-0.325603;0.119449;1.505563;0.537776;0.652134;-0.441209;-0.420795;-0.450541;0.097144;1.589581;0.561665;0.791799;-0.208123;-0.501760;-0.279243;0.058757;1.615808;0.579652;0.788516;-0.106150;-0.574260;-0.192874;2023/04/28 09:28:59.7202;0.058408;1.622989;0.553337;0.830627;-0.053384;-0.551157;-0.058610;0.103309;1.568375;0.529536;0.744997;-0.442091;-0.433476;-0.248261;0.117149;1.505726;0.527657;0.657437;-0.589400;-0.399273;-0.246912;0.083537;1.608901;0.540355;0.828996;-0.185965;-0.509900;-0.134852;0.032520;1.629300;0.564761;0.830627;-0.053384;-0.551157;-0.058610;4fad4b11-e082-4450-bc91-cd45055286dd;0.002007;1.523476;0.515502;0.477608;-0.565303;-0.154626;0.654534;0.074691;1.498064;0.499493;0.442429;-0.582535;-0.189793;0.654896;0.038699;1.508381;0.509130;0.502896;-0.613308;-0.211120;0.571295;-0.024426;1.533379;0.523277;0.477608;-0.565303;-0.154626;0.654534;111;0.122542;1.464233;0.509538;0.657437;-0.589400;-0.399273;-0.246912
