Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;74365;1;0.095587;1.857689;0.088461;0.918842;0.393151;-0.021579;-0.026371;0.083441;1.430334;0.431992;0.209365;-0.956930;-0.057301;-0.192789;0.085988;1.473076;0.427620;-0.891375;-0.401598;0.187897;-0.094150;0.112886;1.453725;0.376443;-0.964279;0.139051;0.215681;0.065670;0.076021;1.444202;0.450941;-0.288814;-0.938780;0.058497;-0.178483;0.091732;1.438982;0.412727;0.209365;-0.956930;-0.057301;-0.192789;0.100340;1.426366;0.434009;0.245045;-0.963287;-0.048620;-0.098319;0.106898;1.476105;0.435754;-0.867879;-0.472223;0.153633;-0.013740;0.128763;1.453261;0.381349;-0.964279;0.139051;0.215681;0.065670;0.095863;1.440268;0.457799;-0.249387;-0.957759;0.093837;-0.108159;0.104998;1.437556;0.411773;0.245045;-0.963287;-0.048620;-0.098319;0.127195;1.462907;0.393749;-0.964279;0.139051;0.215681;0.065670;0.130508;1.423781;0.427552;0.297365;-0.941009;0.156424;-0.040094;0.145423;1.457526;0.439029;-0.784923;-0.573616;0.212123;0.099318;0.152916;1.449298;0.394130;-0.952682;0.063079;0.103449;0.278777;0.131510;1.430807;0.446871;-0.175040;-0.970109;0.167997;-0.005212;0.133680;1.435059;0.408638;0.297365;-0.941009;0.156424;-0.040094;2023/04/28 10:23:59.3850;0.116028;1.423026;0.428017;0.325697;-0.940669;0.064280;-0.070222;0.126415;1.468872;0.439050;-0.820185;-0.549318;0.157470;0.027373;0.145989;1.453336;0.390398;-0.964279;0.139051;0.215681;0.065670;0.115020;1.433607;0.452757;-0.196453;-0.971340;0.126096;-0.044772;0.120451;1.436594;0.407851;0.325697;-0.940669;0.064280;-0.070222;0f79f37f-7c92-4611-b3eb-c11311902c39;0.044260;1.464855;0.398747;-0.707426;0.378076;0.377229;-0.462933;0.102881;1.448395;0.370791;-0.692196;0.398939;0.393704;-0.454654;0.072974;1.454795;0.383036;-0.764967;0.372360;0.363237;-0.379780;0.022049;1.470417;0.408654;-0.707426;0.378076;0.377229;-0.462933;11;0.147493;1.449708;0.351743;-0.964279;0.139051;0.215681;0.065670
NA;74366;2;0.095410;1.857620;0.088612;0.918667;0.393600;-0.021099;-0.026159;0.082809;1.431049;0.432291;0.207707;-0.957099;-0.058203;-0.193471;0.085323;1.473788;0.427792;-0.891759;-0.400272;0.188359;-0.095234;0.112314;1.454358;0.376699;-0.964037;0.139855;0.216471;0.064912;0.075343;1.444973;0.451181;-0.290225;-0.938169;0.058053;-0.179550;0.091128;1.439637;0.413011;0.207707;-0.957099;-0.058203;-0.193471;0.099712;1.427094;0.434351;0.243036;-0.963715;-0.049336;-0.098755;0.106219;1.476860;0.435948;-0.868473;-0.470991;0.153960;-0.014760;0.128186;1.453930;0.381626;-0.964037;0.139855;0.216471;0.064912;0.095191;1.441078;0.458085;-0.251018;-0.957276;0.093372;-0.109064;0.104390;1.438194;0.412075;0.243036;-0.963715;-0.049336;-0.098755;0.126588;1.463602;0.393996;-0.964037;0.139855;0.216471;0.064912;0.129896;1.424565;0.427899;0.296881;-0.941268;0.155712;-0.040377;0.144763;1.458338;0.439311;-0.785587;-0.572861;0.212081;0.098516;0.152326;1.450028;0.394439;-0.952730;0.063805;0.104400;0.278092;0.130877;1.431621;0.447208;-0.175725;-0.970074;0.167466;-0.005770;0.133070;1.435824;0.408974;0.296881;-0.941268;0.155712;-0.040377;2023/04/28 10:23:59.3942;0.115415;1.423775;0.428375;0.324407;-0.941137;0.063507;-0.070624;0.125741;1.469659;0.439284;-0.820934;-0.548198;0.157633;0.026428;0.145398;1.454049;0.390690;-0.964037;0.139855;0.216471;0.064912;0.114369;1.434423;0.453084;-0.197720;-0.971109;0.125608;-0.045564;0.119843;1.437288;0.408174;0.324407;-0.941137;0.063507;-0.070624;0f79f37f-7c92-4611-b3eb-c11311902c39;0.043652;1.465388;0.398944;-0.706386;0.378589;0.377357;-0.463995;0.102323;1.448995;0.371054;-0.691146;0.399421;0.393846;-0.455703;0.072394;1.455359;0.383266;-0.764076;0.372847;0.363409;-0.380929;0.021422;1.470924;0.408824;-0.706386;0.378589;0.377357;-0.463995;21;0.146958;1.450344;0.352045;-0.964037;0.139855;0.216471;0.064912
NA;74367;3;0.095092;1.857488;0.088825;0.918598;0.393804;-0.020487;-0.025991;0.082739;1.430049;0.432019;0.208668;-0.957038;-0.057458;-0.192965;0.085278;1.472799;0.427616;-0.891445;-0.401331;0.188005;-0.094414;0.112190;1.453531;0.376415;-0.964399;0.138399;0.215667;0.065326;0.075309;1.443936;0.450951;-0.289277;-0.938596;0.058418;-0.178728;0.091038;1.438669;0.412746;0.208668;-0.957038;-0.057458;-0.192965;0.099657;1.426073;0.434015;0.244161;-0.963517;-0.048762;-0.098200;0.106186;1.475838;0.435753;-0.867856;-0.472310;0.153465;-0.014035;0.128068;1.453077;0.381320;-0.964399;0.138399;0.215667;0.065326;0.095176;1.439992;0.457795;-0.249741;-0.957690;0.093556;-0.108197;0.104310;1.437223;0.411758;0.244161;-0.963517;-0.048762;-0.098200;0.126492;1.462707;0.393731;-0.964399;0.138399;0.215667;0.065326;0.129817;1.423562;0.427536;0.298066;-0.940836;0.156364;-0.039190;0.144728;1.457292;0.439002;-0.785061;-0.573700;0.211210;0.099689;0.152225;1.449122;0.394094;-0.952856;0.062498;0.103278;0.278377;0.130845;1.430563;0.446863;-0.174538;-0.970281;0.167550;-0.004394;0.132955;1.434874;0.408637;0.298066;-0.940836;0.156364;-0.039190;2023/04/28 10:23:59.4053;0.115339;1.422771;0.428034;0.325430;-0.940803;0.064168;-0.069777;0.125710;1.468620;0.439038;-0.820391;-0.549143;0.157012;0.027356;0.145294;1.453158;0.390367;-0.964399;0.138399;0.215667;0.065326;0.114343;1.433356;0.452772;-0.196582;-0.971371;0.125759;-0.044478;0.119738;1.436330;0.407856;0.325430;-0.940803;0.064168;-0.069777;0f79f37f-7c92-4611-b3eb-c11311902c39;0.043556;1.464560;0.398746;-0.707482;0.377299;0.377600;-0.463177;0.102189;1.448197;0.370759;-0.692202;0.398307;0.394149;-0.454813;0.072276;1.454552;0.383014;-0.765039;0.371614;0.363570;-0.380046;0.021343;1.470083;0.408670;-0.707482;0.377299;0.377600;-0.463177;32;0.146798;1.449576;0.351708;-0.964399;0.138399;0.215667;0.065326
NA;74368;4;0.094867;1.857417;0.089015;0.918522;0.394017;-0.020025;-0.025826;0.082641;1.429129;0.431781;0.209562;-0.956979;-0.056791;-0.192483;0.085203;1.471888;0.427465;-0.891165;-0.402286;0.187662;-0.093668;0.112045;1.452775;0.376163;-0.964731;0.137043;0.214942;0.065678;0.075245;1.442982;0.450751;-0.288406;-0.938989;0.058732;-0.177967;0.090922;1.437780;0.412514;0.209562;-0.956979;-0.056791;-0.192483;0.099577;1.425136;0.433711;0.245242;-0.963319;-0.048271;-0.097693;0.106122;1.474898;0.435584;-0.867258;-0.473578;0.152999;-0.013402;0.127928;1.452297;0.381048;-0.964731;0.137043;0.214942;0.065678;0.095131;1.438990;0.457534;-0.248493;-0.958090;0.093690;-0.107416;0.104207;1.436332;0.411472;0.245242;-0.963319;-0.048271;-0.097693;0.126372;1.461886;0.393498;-0.964731;0.137043;0.214942;0.065678;0.129712;1.422639;0.427217;0.299083;-0.940461;0.156950;-0.038082;0.144664;1.456333;0.438730;-0.784597;-0.574451;0.210390;0.100747;0.152102;1.448294;0.393789;-0.952977;0.061279;0.102255;0.278610;0.130784;1.429592;0.446559;-0.173515;-0.970460;0.167604;-0.003123;0.132816;1.433998;0.408340;0.299083;-0.940461;0.156950;-0.038082;2023/04/28 10:23:59.4170;0.115238;1.421849;0.427732;0.326341;-0.940505;0.064750;-0.068992;0.125649;1.467665;0.438824;-0.819896;-0.550006;0.156428;0.028183;0.145167;1.452342;0.390082;-0.964731;0.137043;0.214942;0.065678;0.114288;1.432376;0.452497;-0.195545;-0.971611;0.125871;-0.043489;0.119610;1.435448;0.407576;0.326341;-0.940505;0.064750;-0.068992;0f79f37f-7c92-4611-b3eb-c11311902c39;0.043434;1.463811;0.398559;-0.708517;0.376130;0.377868;-0.462326;0.102036;1.447471;0.370494;-0.693176;0.397343;0.394491;-0.453875;0.072136;1.453821;0.382782;-0.765928;0.370519;0.363786;-0.379117;0.021235;1.469325;0.408519;-0.708517;0.376130;0.377868;-0.462326;44;0.146621;1.448874;0.351411;-0.964731;0.137043;0.214942;0.065678
NA;74369;5;0.094655;1.857376;0.089138;0.918429;0.394266;-0.019638;-0.025624;0.082522;1.428275;0.431571;0.210394;-0.956925;-0.056187;-0.192023;0.085104;1.471042;0.427335;-0.890916;-0.403151;0.187330;-0.092985;0.111883;1.452078;0.375937;-0.965037;0.135769;0.214282;0.065981;0.075157;1.442097;0.450576;-0.287605;-0.939352;0.059006;-0.177257;0.090786;1.436957;0.412310;0.210394;-0.956925;-0.056187;-0.192023;0.099476;1.424267;0.433433;0.246279;-0.963122;-0.047847;-0.097225;0.106033;1.474026;0.435438;-0.866675;-0.474801;0.152557;-0.012845;0.127770;1.451577;0.380804;-0.965037;0.135769;0.214282;0.065981;0.095061;1.438058;0.457299;-0.247273;-0.958475;0.093783;-0.106706;0.104085;1.435509;0.411213;0.246279;-0.963122;-0.047847;-0.097225;0.126231;1.461127;0.393292;-0.965037;0.135769;0.214282;0.065981;0.129586;1.421785;0.426935;0.299963;-0.940133;0.157482;-0.037036;0.144575;1.455446;0.438488;-0.784188;-0.575124;0.209609;0.101715;0.151960;1.447530;0.393516;-0.953095;0.060134;0.101315;0.278800;0.130700;1.428695;0.446289;-0.172628;-0.970616;0.167633;-0.001933;0.132657;1.433184;0.408076;0.299963;-0.940133;0.157482;-0.037036;2023/04/28 10:23:59.4286;0.115117;1.420995;0.427464;0.327157;-0.940239;0.065270;-0.068255;0.125562;1.466781;0.438635;-0.819445;-0.550797;0.155874;0.028930;0.145021;1.451589;0.389829;-0.965037;0.135769;0.214282;0.065981;0.114208;1.431468;0.452253;-0.194595;-0.971831;0.125952;-0.042578;0.119463;1.434630;0.407326;0.327157;-0.940239;0.065270;-0.068255;0f79f37f-7c92-4611-b3eb-c11311902c39;0.043290;1.463129;0.398379;-0.709502;0.375061;0.378157;-0.461447;0.101866;1.446803;0.370253;-0.694084;0.396502;0.394865;-0.452897;0.071976;1.453153;0.382565;-0.766756;0.369539;0.364047;-0.378149;0.021104;1.468637;0.408372;-0.709502;0.375061;0.378157;-0.461447;55;0.146430;1.448228;0.351147;-0.965037;0.135769;0.214282;0.065981
NA;74370;6;0.094470;1.857280;0.089229;0.918335;0.394511;-0.019292;-0.025492;0.082043;1.429496;0.431848;0.208352;-0.957167;-0.057529;-0.192642;0.084551;1.472256;0.427469;-0.891334;-0.401735;0.187607;-0.094532;0.111434;1.453124;0.376199;-0.964677;0.137384;0.215204;0.064891;0.074617;1.443370;0.450790;-0.289037;-0.938735;0.058079;-0.178497;0.090329;1.438104;0.412563;0.208352;-0.957167;-0.057529;-0.192642;0.098983;1.425511;0.433804;0.243633;-0.963684;-0.048932;-0.097787;0.105463;1.475305;0.435591;-0.867580;-0.472974;0.152960;-0.014293;0.127317;1.452676;0.381088;-0.964677;0.137384;0.215204;0.064891;0.094507;1.439417;0.457591;-0.249564;-0.957811;0.093068;-0.107958;0.103616;1.436636;0.411531;0.243633;-0.963684;-0.048932;-0.097787;0.125743;1.462278;0.393523;-0.964677;0.137384;0.215204;0.064891;0.129116;1.423082;0.427318;0.298951;-0.940609;0.156370;-0.037845;0.144031;1.456798;0.438766;-0.785240;-0.573837;0.209883;0.100290;0.151493;1.448724;0.393835;-0.953131;0.061666;0.102573;0.277880;0.130188;1.430056;0.446652;-0.174049;-0.970476;0.166956;-0.003117;0.132203;1.434439;0.408437;0.298951;-0.940609;0.156370;-0.037845;2023/04/28 10:23:59.4398;0.114647;1.422258;0.427855;0.325331;-0.940901;0.064064;-0.068999;0.124999;1.468103;0.438843;-0.820555;-0.549114;0.156237;0.027449;0.144553;1.452758;0.390123;-0.964677;0.137384;0.215204;0.064891;0.113677;1.432834;0.452599;-0.196494;-0.971480;0.125260;-0.043893;0.119009;1.435816;0.407670;0.325331;-0.940901;0.064064;-0.068999;0f79f37f-7c92-4611-b3eb-c11311902c39;0.042822;1.464061;0.398623;-0.708397;0.375334;0.377373;-0.463560;0.101434;1.447794;0.370537;-0.692614;0.397404;0.394462;-0.454704;0.071526;1.454112;0.382824;-0.765608;0.370292;0.363574;-0.380187;0.020634;1.469532;0.408632;-0.708397;0.375334;0.377373;-0.463560;67;0.146023;1.449252;0.351455;-0.964677;0.137384;0.215204;0.064891
NA;74371;7;0.094221;1.857220;0.089354;0.918218;0.394818;-0.018798;-0.025313;0.081787;1.429315;0.431215;0.208739;-0.956940;-0.057735;-0.193293;0.084285;1.472077;0.426884;-0.890994;-0.402136;0.188188;-0.094873;0.111226;1.452997;0.375625;-0.964637;0.136880;0.215690;0.064944;0.074330;1.443165;0.450163;-0.288426;-0.938790;0.058180;-0.179165;0.090098;1.437941;0.411949;0.208739;-0.956940;-0.057735;-0.193293;0.098715;1.425317;0.433216;0.243611;-0.963632;-0.049066;-0.098288;0.105188;1.475123;0.435030;-0.867372;-0.473203;0.153405;-0.014581;0.127104;1.452549;0.380529;-0.964637;0.136880;0.215690;0.064944;0.094213;1.439222;0.457000;-0.249483;-0.957764;0.093186;-0.108459;0.103371;1.436442;0.410948;0.243611;-0.963632;-0.049066;-0.098288;0.125515;1.462140;0.392971;-0.964637;0.136880;0.215690;0.064944;0.128857;1.422927;0.426740;0.299972;-0.940308;0.156177;-0.038048;0.143757;1.456623;0.438228;-0.784959;-0.574205;0.209974;0.100199;0.151267;1.448591;0.393297;-0.953140;0.061071;0.102945;0.277843;0.129914;1.429872;0.446085;-0.173236;-0.970628;0.166912;-0.003330;0.131957;1.434324;0.407884;0.299972;-0.940308;0.156177;-0.038048;2023/04/28 10:23:59.4510;0.114383;1.422087;0.427281;0.325787;-0.940731;0.063900;-0.069318;0.124723;1.467923;0.438295;-0.820401;-0.549281;0.156491;0.027269;0.144330;1.452627;0.389581;-0.964637;0.136880;0.215690;0.064944;0.113393;1.432648;0.452030;-0.196148;-0.971530;0.125297;-0.044217;0.118758;1.435664;0.407111;0.325787;-0.940731;0.063900;-0.069318;0f79f37f-7c92-4611-b3eb-c11311902c39;0.042581;1.463838;0.398005;-0.708482;0.374375;0.377881;-0.463791;0.101233;1.447670;0.369948;-0.692378;0.397103;0.395300;-0.454599;0.071305;1.453945;0.382207;-0.765544;0.369639;0.364245;-0.380309;0.020390;1.469262;0.408033;-0.708482;0.374375;0.377881;-0.463791;77;0.145841;1.449157;0.350913;-0.964637;0.136880;0.215690;0.064944
NA;74372;8;0.094041;1.857065;0.089389;0.918151;0.394999;-0.018430;-0.025199;0.081531;1.429134;0.430632;0.209174;-0.956711;-0.057943;-0.193891;0.084018;1.471896;0.426347;-0.890668;-0.402532;0.188722;-0.095197;0.111012;1.452871;0.375095;-0.964606;0.136379;0.216132;0.064982;0.074043;1.442958;0.449587;-0.287806;-0.938856;0.058257;-0.179786;0.089863;1.437780;0.411384;0.209174;-0.956711;-0.057943;-0.193891;0.098446;1.425123;0.432674;0.243642;-0.963572;-0.049197;-0.098728;0.104912;1.474940;0.434516;-0.867163;-0.473450;0.153792;-0.014844;0.126885;1.452422;0.380014;-0.964606;0.136379;0.216132;0.064982;0.093922;1.439025;0.456455;-0.249377;-0.957732;0.093281;-0.108901;0.103123;1.436251;0.410411;0.243642;-0.963572;-0.049197;-0.098728;0.125282;1.462000;0.392464;-0.964606;0.136379;0.216132;0.064982;0.128596;1.422772;0.426207;0.300970;-0.940012;0.156001;-0.038185;0.143483;1.456447;0.437734;-0.784693;-0.574565;0.210009;0.100143;0.151038;1.448458;0.392802;-0.953155;0.060490;0.103274;0.277796;0.129642;1.429687;0.445564;-0.172438;-0.970780;0.166850;-0.003480;0.131707;1.434207;0.407376;0.300970;-0.940012;0.156001;-0.038185;2023/04/28 10:23:59.4612;0.114116;1.421916;0.426754;0.326257;-0.940560;0.063757;-0.069562;0.124446;1.467742;0.437793;-0.820255;-0.549452;0.156678;0.027132;0.144103;1.452496;0.389084;-0.964606;0.136379;0.216132;0.064982;0.113111;1.432461;0.451509;-0.195805;-0.971586;0.125316;-0.044463;0.118502;1.435512;0.406599;0.326257;-0.940560;0.063757;-0.069562;0f79f37f-7c92-4611-b3eb-c11311902c39;0.042332;1.463617;0.397428;-0.708576;0.373406;0.378418;-0.463990;0.101026;1.447547;0.369403;-0.692145;0.396807;0.396173;-0.454452;0.071076;1.453781;0.381632;-0.765481;0.368984;0.364953;-0.380393;0.020137;1.468993;0.407473;-0.708576;0.373406;0.378418;-0.463990;88;0.145651;1.449061;0.350413;-0.964606;0.136379;0.216132;0.064982
NA;74373;9;0.093781;1.856986;0.089434;0.917953;0.395492;-0.018109;-0.024902;0.081096;1.429386;0.431315;0.208833;-0.956635;-0.058981;-0.194317;0.083514;1.472157;0.426998;-0.890600;-0.402321;0.188918;-0.096327;0.110612;1.453189;0.375778;-0.964534;0.136141;0.216877;0.064058;0.073561;1.443219;0.450245;-0.288130;-0.938628;0.057581;-0.180674;0.089439;1.438028;0.412070;0.208833;-0.956635;-0.058981;-0.194317;0.098021;1.425403;0.433381;0.243009;-0.963645;-0.050231;-0.099058;0.104393;1.475245;0.435192;-0.867204;-0.473310;0.153873;-0.016023;0.126480;1.452772;0.380718;-0.964534;0.136141;0.216877;0.064058;0.093444;1.439324;0.457141;-0.249763;-0.957610;0.092509;-0.109746;0.102705;1.436507;0.411107;0.243009;-0.963645;-0.050231;-0.099058;0.124841;1.462346;0.393167;-0.964534;0.136141;0.216877;0.064058;0.128184;1.423118;0.426961;0.300359;-0.940366;0.154984;-0.038415;0.142998;1.456833;0.438459;-0.785046;-0.574313;0.209906;0.099026;0.150625;1.448858;0.393538;-0.953377;0.060237;0.103939;0.276839;0.129198;1.430058;0.446310;-0.172938;-0.970828;0.166035;-0.004195;0.131289;1.434530;0.408115;0.300359;-0.940366;0.154984;-0.038415;2023/04/28 10:23:59.4729;0.113700;1.422216;0.427498;0.325381;-0.940916;0.062743;-0.069766;0.123937;1.468089;0.438494;-0.820485;-0.549176;0.156636;0.025985;0.143687;1.452881;0.389810;-0.964534;0.136141;0.216877;0.064058;0.112652;1.432801;0.452235;-0.196516;-0.971510;0.124520;-0.045209;0.118081;1.435779;0.407320;0.325381;-0.940916;0.062743;-0.069766;0f79f37f-7c92-4611-b3eb-c11311902c39;0.041883;1.463823;0.398008;-0.708030;0.373253;0.379080;-0.464407;0.100644;1.447846;0.370072;-0.691481;0.396811;0.396965;-0.454769;0.070668;1.454030;0.382259;-0.764860;0.369055;0.365824;-0.380738;0.019670;1.469161;0.408034;-0.708030;0.373253;0.379080;-0.464407;100;0.145290;1.449447;0.351142;-0.964534;0.136141;0.216877;0.064058
NA;74374;10;0.093494;1.856953;0.089465;0.917762;0.395954;-0.018012;-0.024673;0.080808;1.429375;0.431363;0.205811;-0.957235;-0.059742;-0.194357;0.083213;1.472126;0.426794;-0.891712;-0.399715;0.188784;-0.097150;0.110349;1.452907;0.375687;-0.964139;0.138592;0.217334;0.063200;0.073259;1.443320;0.450205;-0.290936;-0.937712;0.056966;-0.181129;0.089159;1.437897;0.412068;0.205811;-0.957235;-0.059742;-0.194357;0.097743;1.425408;0.433451;0.239893;-0.964384;-0.050806;-0.099165;0.104085;1.475271;0.434982;-0.868477;-0.470907;0.153981;-0.016884;0.126215;1.452526;0.380637;-0.964139;0.138592;0.217334;0.063200;0.093143;1.439466;0.457125;-0.252535;-0.956856;0.092008;-0.110398;0.102438;1.436370;0.411109;0.239893;-0.964384;-0.050806;-0.099165;0.124563;1.462164;0.393036;-0.964139;0.138592;0.217334;0.063200;0.127906;1.423110;0.427058;0.297453;-0.941333;0.154621;-0.038820;0.142701;1.456901;0.438365;-0.786687;-0.572140;0.210101;0.098163;0.150356;1.448695;0.393491;-0.953281;0.062642;0.104929;0.276262;0.128914;1.430164;0.446366;-0.175783;-0.970358;0.165779;-0.004786;0.131005;1.434406;0.408142;0.297453;-0.941333;0.154621;-0.038820;2023/04/28 10:23:59.4841;0.113425;1.422192;0.427597;0.322243;-0.942006;0.062255;-0.070058;0.123632;1.468144;0.438332;-0.822010;-0.546892;0.156771;0.025147;0.143417;1.452693;0.389738;-0.964139;0.138592;0.217334;0.063200;0.112361;1.432929;0.452267;-0.199490;-0.970918;0.124176;-0.045855;0.117806;1.435620;0.407329;0.322243;-0.942006;0.062255;-0.070058;0f79f37f-7c92-4611-b3eb-c11311902c39;0.041595;1.463608;0.397815;-0.706782;0.375075;0.378224;-0.465537;0.100388;1.447529;0.370002;-0.690149;0.398610;0.396159;-0.455920;0.070399;1.453754;0.382137;-0.763629;0.371049;0.365234;-0.381835;0.019373;1.468981;0.407800;-0.706782;0.375075;0.378224;-0.465537;110;0.145042;1.449057;0.351089;-0.964139;0.138592;0.217334;0.063200
