Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;98252;1;0.139569;1.873945;0.093176;0.937229;0.344029;-0.047313;-0.031747;0.218563;1.549861;0.427297;0.172975;0.982001;-0.046857;0.059654;0.227083;1.582922;0.397690;0.987854;0.127679;-0.084744;-0.025707;0.226021;1.529122;0.368859;0.855349;-0.500273;-0.038460;-0.128943;0.220396;1.573395;0.434316;0.597595;0.796708;-0.088101;0.019370;0.221030;1.541043;0.406541;0.172975;0.982001;-0.046857;0.059654;0.234194;1.548836;0.434767;0.245956;0.964026;-0.098277;-0.022405;0.249627;1.580843;0.397731;0.986051;0.073556;-0.095856;-0.114472;0.242039;1.524820;0.369907;0.855349;-0.500273;-0.038460;-0.128943;0.240672;1.575488;0.439958;0.637507;0.754742;-0.152773;-0.024686;0.231979;1.535897;0.413110;0.245956;0.964026;-0.098277;-0.022405;0.247740;1.539333;0.372752;0.855349;-0.500273;-0.038460;-0.128943;0.300490;1.583699;0.441611;0.899702;-0.212447;-0.045494;-0.378594;0.281483;1.553219;0.405616;0.833406;-0.440669;0.088038;-0.321706;0.268023;1.519019;0.377529;0.815876;-0.442563;-0.023124;-0.371416;0.294876;1.574320;0.424172;0.877479;-0.274347;0.032855;-0.392027;0.302931;1.593889;0.461238;0.899702;-0.212447;-0.045494;-0.378594;2023/04/28 10:28:26.1191;0.249044;1.551854;0.442352;0.330133;0.906392;-0.258866;-0.049536;0.266877;1.569320;0.401438;0.974233;-0.061986;-0.074770;-0.203561;0.261143;1.522720;0.373384;0.855349;-0.500273;-0.038460;-0.128943;0.262118;1.575295;0.440206;0.723059;0.641701;-0.219958;-0.130480;0.242131;1.536547;0.424235;0.330133;0.906392;-0.258866;-0.049536;0f79f37f-7c92-4611-b3eb-c11311902c39;0.183450;1.583743;0.386175;0.619272;-0.646104;-0.001024;0.446152;0.213698;1.526382;0.369979;0.639289;-0.629081;0.012320;0.442058;0.195893;1.553239;0.376838;0.719597;-0.602003;0.035500;0.344255;0.168888;1.603794;0.389064;0.619272;-0.646104;-0.001024;0.446152;10;0.245853;1.497822;0.347773;0.855349;-0.500273;-0.038460;-0.128943
NA;98253;2;0.139431;1.874042;0.093099;0.937346;0.343754;-0.047219;-0.031403;0.218775;1.549680;0.427589;0.172877;0.982127;-0.046839;0.057850;0.227207;1.582721;0.397949;0.988022;0.127419;-0.082995;-0.026251;0.226012;1.528908;0.369146;0.855258;-0.500721;-0.036826;-0.128280;0.220647;1.573212;0.434603;0.597726;0.796738;-0.087271;0.017760;0.221162;1.540869;0.406821;0.172877;0.982127;-0.046839;0.057850;0.234425;1.548664;0.435067;0.247480;0.963583;-0.098308;-0.024437;0.249750;1.580630;0.397911;0.986218;0.072841;-0.094065;-0.114976;0.242030;1.524597;0.370140;0.855258;-0.500721;-0.036826;-0.128280;0.240951;1.575321;0.440177;0.638585;0.753955;-0.151870;-0.026404;0.232105;1.535669;0.413455;0.247480;0.963583;-0.098308;-0.024437;0.247751;1.539108;0.372959;0.855258;-0.500721;-0.036826;-0.128280;0.300802;1.583478;0.441594;0.899405;-0.214209;-0.043376;-0.378555;0.281618;1.552991;0.405696;0.832966;-0.441485;0.089809;-0.321235;0.268040;1.518785;0.377673;0.815704;-0.443430;-0.021636;-0.370847;0.295105;1.574090;0.424188;0.877102;-0.275539;0.034712;-0.391875;0.303357;1.593698;0.461191;0.899405;-0.214209;-0.043376;-0.378555;2023/04/28 10:28:26.1302;0.249310;1.551671;0.442581;0.331601;0.905812;-0.258639;-0.051494;0.267007;1.569098;0.401562;0.974275;-0.062638;-0.072975;-0.203811;0.261147;1.522488;0.373551;0.855258;-0.500721;-0.036826;-0.128280;0.262397;1.575097;0.440345;0.723945;0.640772;-0.218824;-0.132027;0.242300;1.536335;0.424526;0.331601;0.905812;-0.258639;-0.051494;0f79f37f-7c92-4611-b3eb-c11311902c39;0.183518;1.583547;0.386601;0.619406;-0.645249;0.000266;0.447203;0.213690;1.526175;0.370308;0.639214;-0.628420;0.013555;0.443069;0.195916;1.553038;0.377220;0.719589;-0.601380;0.036929;0.345210;0.168977;1.603605;0.389546;0.619406;-0.645249;0.000266;0.447203;21;0.245752;1.497586;0.348007;0.855258;-0.500721;-0.036826;-0.128280
NA;98254;3;0.139305;1.874207;0.092983;0.937439;0.343525;-0.047183;-0.031195;0.218589;1.550196;0.428008;0.172702;0.982104;-0.047770;0.058003;0.227099;1.583227;0.398380;0.987962;0.127437;-0.083412;-0.027101;0.225829;1.529430;0.369545;0.855261;-0.500498;-0.036640;-0.129187;0.220499;1.573724;0.435028;0.597631;0.796718;-0.088169;0.017466;0.220975;1.541390;0.407237;0.172702;0.982104;-0.047770;0.058003;0.234228;1.549145;0.435534;0.248276;0.963271;-0.099325;-0.024549;0.249638;1.581097;0.398355;0.986081;0.072895;-0.094402;-0.115837;0.241839;1.525091;0.370548;0.855261;-0.500498;-0.036640;-0.129187;0.240806;1.575795;0.440614;0.638973;0.753442;-0.152701;-0.026874;0.231883;1.536118;0.413944;0.248276;0.963271;-0.099325;-0.024549;0.247584;1.539591;0.373381;0.855261;-0.500498;-0.036640;-0.129187;0.300717;1.583862;0.442035;0.898794;-0.215451;-0.042603;-0.379388;0.281454;1.553400;0.406147;0.832699;-0.441292;0.090202;-0.322082;0.267835;1.519231;0.378098;0.815489;-0.443125;-0.021426;-0.371698;0.294979;1.574468;0.424645;0.876509;-0.276190;0.035315;-0.392688;0.303333;1.594112;0.461608;0.898794;-0.215451;-0.042603;-0.379388;2023/04/28 10:28:26.1409;0.249121;1.552133;0.443061;0.332308;0.905237;-0.259647;-0.051966;0.266873;1.569534;0.402011;0.974065;-0.062479;-0.073056;-0.204835;0.260951;1.522948;0.373974;0.855261;-0.500498;-0.036640;-0.129187;0.262261;1.575526;0.440795;0.724170;0.640117;-0.219494;-0.132857;0.242063;1.536786;0.425033;0.332308;0.905237;-0.259647;-0.051966;0f79f37f-7c92-4611-b3eb-c11311902c39;0.183418;1.584143;0.386968;0.619839;-0.645472;0.000438;0.446280;0.213502;1.526719;0.370693;0.639734;-0.628542;0.013744;0.442138;0.195770;1.553613;0.377595;0.719990;-0.601460;0.037042;0.344221;0.168909;1.604226;0.389899;0.619839;-0.645472;0.000438;0.446280;33;0.245529;1.498085;0.348407;0.855261;-0.500498;-0.036640;-0.129187
NA;98255;4;0.139173;1.874395;0.092874;0.937526;0.343313;-0.047024;-0.031159;0.218410;1.550685;0.428415;0.172634;0.982062;-0.048651;0.058178;0.226994;1.583701;0.398792;0.987911;0.127380;-0.083838;-0.027893;0.225656;1.529921;0.369925;0.855261;-0.500282;-0.036485;-0.130059;0.220355;1.574209;0.435435;0.597625;0.796631;-0.089033;0.017218;0.220795;1.541878;0.407644;0.172634;0.982062;-0.048651;0.058178;0.234036;1.549595;0.435985;0.249128;0.962949;-0.100285;-0.024629;0.249530;1.581534;0.398781;0.985950;0.072952;-0.094762;-0.116623;0.241657;1.525554;0.370939;0.855261;-0.500282;-0.036485;-0.130059;0.240662;1.576239;0.441034;0.639402;0.752902;-0.153492;-0.027285;0.231670;1.536532;0.414419;0.249128;0.962949;-0.100285;-0.024629;0.247425;1.540044;0.373786;0.855261;-0.500282;-0.036485;-0.130059;0.300638;1.584229;0.442452;0.898171;-0.216860;-0.041798;-0.380150;0.281295;1.553782;0.406581;0.832427;-0.441151;0.090555;-0.322880;0.267639;1.519649;0.378507;0.815283;-0.442825;-0.021247;-0.372515;0.294856;1.574824;0.425082;0.875887;-0.277015;0.035944;-0.393437;0.303320;1.594515;0.461998;0.898171;-0.216860;-0.041798;-0.380150;2023/04/28 10:28:26.1521;0.248938;1.552569;0.443528;0.333119;0.904631;-0.260624;-0.052445;0.266744;1.569942;0.402443;0.973859;-0.062345;-0.073140;-0.205823;0.260764;1.523379;0.374379;0.855261;-0.500282;-0.036485;-0.130059;0.262129;1.575930;0.441227;0.724467;0.639390;-0.220132;-0.133677;0.241832;1.537208;0.425532;0.333119;0.904631;-0.260624;-0.052445;0f79f37f-7c92-4611-b3eb-c11311902c39;0.183325;1.584709;0.387302;0.620159;-0.645838;0.000572;0.445306;0.213322;1.527230;0.371059;0.640223;-0.628730;0.013933;0.441156;0.195634;1.554157;0.377945;0.720322;-0.601654;0.037118;0.343178;0.168845;1.604816;0.390209;0.620159;-0.645838;0.000572;0.445306;44;0.245319;1.498553;0.348791;0.855261;-0.500282;-0.036485;-0.130059
NA;98256;5;0.139072;1.874624;0.092761;0.937684;0.342852;-0.047049;-0.031419;0.217760;1.550509;0.428293;0.173141;0.981851;-0.048515;0.060319;0.226436;1.583478;0.398653;0.987862;0.126594;-0.085824;-0.027132;0.225258;1.529643;0.369880;0.854763;-0.500814;-0.038552;-0.130687;0.219655;1.574045;0.435286;0.598030;0.796185;-0.089891;0.019193;0.220239;1.541678;0.407543;0.173141;0.981851;-0.048515;0.060319;0.233351;1.549457;0.435968;0.250340;0.962660;-0.100520;-0.022619;0.248974;1.581330;0.398738;0.985878;0.072166;-0.096798;-0.116048;0.241259;1.525290;0.370968;0.854763;-0.500814;-0.038552;-0.130687;0.239943;1.576118;0.440967;0.640165;0.752107;-0.154516;-0.025481;0.231072;1.536330;0.414430;0.250340;0.962660;-0.100520;-0.022619;0.247004;1.539790;0.373813;0.854763;-0.500814;-0.038552;-0.130687;0.299925;1.584149;0.442604;0.897863;-0.217619;-0.043624;-0.380239;0.280729;1.553619;0.406719;0.832313;-0.441271;0.088508;-0.323577;0.267215;1.519421;0.378655;0.814971;-0.442833;-0.023440;-0.373057;0.294205;1.574701;0.425237;0.875722;-0.277383;0.033968;-0.393720;0.302549;1.594492;0.462127;0.897863;-0.217619;-0.043624;-0.380239;2023/04/28 10:28:26.1643;0.248219;1.552446;0.443563;0.333956;0.904312;-0.261052;-0.050455;0.266181;1.569759;0.402492;0.973727;-0.062711;-0.075288;-0.205562;0.260354;1.523137;0.374493;0.854763;-0.500814;-0.038552;-0.130687;0.261407;1.575808;0.441247;0.724951;0.638729;-0.221419;-0.132082;0.241182;1.537031;0.425586;0.333956;0.904312;-0.261052;-0.050455;0f79f37f-7c92-4611-b3eb-c11311902c39;0.182808;1.584435;0.386952;0.619231;-0.647551;-0.000610;0.444106;0.212922;1.526943;0.370965;0.639452;-0.630353;0.012756;0.439993;0.195185;1.553872;0.377719;0.719587;-0.603249;0.035624;0.342078;0.168298;1.604536;0.389747;0.619231;-0.647551;-0.000610;0.444106;55;0.245034;1.498251;0.348889;0.854763;-0.500814;-0.038552;-0.130687
NA;98257;6;0.138991;1.874957;0.092688;0.937926;0.342187;-0.046773;-0.031859;0.217149;1.550349;0.428187;0.173549;0.981657;-0.048406;0.062344;0.225912;1.583276;0.398536;0.987805;0.125898;-0.087706;-0.026434;0.224883;1.529390;0.369850;0.854295;-0.501297;-0.040489;-0.131305;0.218997;1.573896;0.435158;0.598356;0.795799;-0.090718;0.021052;0.219716;1.541498;0.407457;0.173549;0.981657;-0.048406;0.062344;0.232704;1.549333;0.435961;0.251392;0.962402;-0.100769;-0.020725;0.248451;1.581144;0.398711;0.985800;0.071440;-0.098718;-0.115543;0.240882;1.525050;0.371008;0.854295;-0.501297;-0.040489;-0.131305;0.239267;1.576010;0.440916;0.640839;0.751383;-0.155510;-0.023801;0.230508;1.536151;0.414449;0.251392;0.962402;-0.100769;-0.020725;0.246607;1.539560;0.373852;0.854295;-0.501297;-0.040489;-0.131305;0.299251;1.584074;0.442765;0.897575;-0.218238;-0.045362;-0.380361;0.280196;1.553470;0.406863;0.832218;-0.441328;0.086584;-0.324264;0.266814;1.519213;0.378808;0.814671;-0.442823;-0.025491;-0.373591;0.293591;1.574588;0.425399;0.875577;-0.277640;0.032095;-0.394020;0.301819;1.594467;0.462269;0.897575;-0.218238;-0.045362;-0.380361;2023/04/28 10:28:26.1749;0.247541;1.552333;0.443606;0.334666;0.904030;-0.261476;-0.048573;0.265652;1.569592;0.402552;0.973595;-0.063005;-0.077319;-0.205339;0.259966;1.522918;0.374612;0.854295;-0.501297;-0.040489;-0.131305;0.260726;1.575695;0.441280;0.725360;0.638142;-0.222653;-0.130589;0.240569;1.536870;0.425645;0.334666;0.904030;-0.261476;-0.048573;0f79f37f-7c92-4611-b3eb-c11311902c39;0.182324;1.584187;0.386631;0.618350;-0.649191;-0.001724;0.442935;0.212544;1.526684;0.370889;0.638745;-0.631880;0.011656;0.438859;0.194763;1.553614;0.377517;0.718889;-0.604770;0.034211;0.341000;0.167786;1.604283;0.389319;0.618350;-0.649191;-0.001724;0.442935;67;0.244762;1.497975;0.348994;0.854295;-0.501297;-0.040489;-0.131305
NA;98258;7;0.138929;1.875239;0.092634;0.938270;0.341230;-0.046651;-0.032178;0.216568;1.550202;0.428095;0.173875;0.981480;-0.048317;0.064275;0.225416;1.583091;0.398437;0.987740;0.125273;-0.089505;-0.025785;0.224526;1.529157;0.369832;0.853851;-0.501742;-0.042319;-0.131915;0.218373;1.573758;0.435046;0.598618;0.795462;-0.091521;0.022816;0.219221;1.541334;0.407382;0.173875;0.981480;-0.048317;0.064275;0.232090;1.549222;0.435964;0.252323;0.962168;-0.101032;-0.018926;0.247956;1.580974;0.398698;0.985717;0.070762;-0.100543;-0.115095;0.240523;1.524829;0.371057;0.853851;-0.501742;-0.042319;-0.131915;0.238625;1.575913;0.440880;0.641446;0.750712;-0.156478;-0.022223;0.229972;1.535990;0.414475;0.252323;0.962168;-0.101032;-0.018926;0.246229;1.539347;0.373901;0.853851;-0.501742;-0.042319;-0.131915;0.298609;1.584002;0.442932;0.897300;-0.218755;-0.047021;-0.380510;0.279688;1.553333;0.407011;0.832137;-0.441334;0.084763;-0.324943;0.266431;1.519022;0.378963;0.814379;-0.442797;-0.027429;-0.374119;0.293008;1.574483;0.425566;0.875443;-0.277814;0.030310;-0.394335;0.301123;1.594440;0.462419;0.897300;-0.218755;-0.047021;-0.380510;2023/04/28 10:28:26.1867;0.246894;1.552228;0.443656;0.335281;0.903774;-0.261900;-0.046783;0.265150;1.569439;0.402620;0.973465;-0.063239;-0.079257;-0.205147;0.259596;1.522715;0.374737;0.853851;-0.501742;-0.042319;-0.131915;0.260078;1.575589;0.441322;0.725714;0.637609;-0.223844;-0.129183;0.239985;1.536722;0.425708;0.335281;0.903774;-0.261900;-0.046783;0f79f37f-7c92-4611-b3eb-c11311902c39;0.181867;1.583962;0.386334;0.617505;-0.650773;-0.002784;0.441786;0.212185;1.526445;0.370827;0.638089;-0.633331;0.010618;0.437746;0.194364;1.553379;0.377335;0.718222;-0.606234;0.032863;0.339938;0.167304;1.604053;0.388919;0.617505;-0.650773;-0.002784;0.441786;78;0.244502;1.497721;0.349103;0.853851;-0.501742;-0.042319;-0.131915
NA;98259;8;0.138864;1.875535;0.092592;0.938637;0.340236;-0.046363;-0.032429;0.216935;1.550532;0.428534;0.175112;0.981492;-0.045718;0.062601;0.225513;1.583424;0.398774;0.988069;0.124722;-0.087173;-0.023749;0.224737;1.529446;0.370256;0.853878;-0.502521;-0.041669;-0.128951;0.218665;1.574111;0.435425;0.599648;0.795040;-0.088461;0.022534;0.219537;1.541622;0.407834;0.175112;0.981492;-0.045718;0.062601;0.232495;1.549635;0.436324;0.253593;0.962080;-0.098385;-0.020352;0.248062;1.581405;0.398941;0.986232;0.070038;-0.098391;-0.112960;0.240758;1.525191;0.371415;0.853878;-0.502521;-0.041669;-0.128951;0.238933;1.576363;0.441169;0.642439;0.750485;-0.153457;-0.022269;0.230343;1.536349;0.414873;0.253593;0.962080;-0.098385;-0.020352;0.246411;1.539737;0.374209;0.853878;-0.502521;-0.041669;-0.128951;0.299036;1.584816;0.442810;0.897282;-0.223846;-0.044103;-0.377933;0.279950;1.553914;0.407156;0.831678;-0.444003;0.086069;-0.322126;0.266723;1.519507;0.379212;0.814942;-0.444101;-0.026903;-0.371375;0.293311;1.575178;0.425550;0.875133;-0.282152;0.032615;-0.391751;0.301719;1.595401;0.462195;0.897282;-0.223846;-0.044103;-0.377933;2023/04/28 10:28:26.1968;0.247338;1.552784;0.444003;0.338006;0.903399;-0.259410;-0.048258;0.265324;1.569950;0.402805;0.973966;-0.064915;-0.077203;-0.203016;0.259854;1.523164;0.375010;0.853878;-0.502521;-0.041669;-0.128951;0.260423;1.576186;0.441515;0.727668;0.636400;-0.220917;-0.129189;0.240381;1.537179;0.426160;0.338006;0.903399;-0.259410;-0.048258;0f79f37f-7c92-4611-b3eb-c11311902c39;0.181905;1.584067;0.386932;0.616318;-0.649758;-0.002456;0.444929;0.212413;1.526681;0.371316;0.636716;-0.632527;0.010954;0.440889;0.194497;1.553535;0.377891;0.717096;-0.605700;0.033461;0.343194;0.167265;1.604094;0.389583;0.616318;-0.649758;-0.002456;0.444929;89;0.244759;1.498069;0.349476;0.853878;-0.502521;-0.041669;-0.128951
NA;98260;9;0.138932;1.875901;0.092501;0.938918;0.339464;-0.046150;-0.032660;0.216753;1.550460;0.428055;0.176315;0.981197;-0.046412;0.063337;0.225420;1.583211;0.398195;0.988242;0.122645;-0.088031;-0.024223;0.224553;1.529067;0.369979;0.852205;-0.505048;-0.041974;-0.130044;0.218505;1.574059;0.434874;0.600862;0.794004;-0.089437;0.022883;0.219377;1.541496;0.407381;0.176315;0.981197;-0.046412;0.063337;0.232281;1.549606;0.435952;0.256532;0.961182;-0.099638;-0.019812;0.247965;1.581143;0.398399;0.986238;0.067345;-0.099394;-0.113665;0.240562;1.524779;0.371189;0.852205;-0.505048;-0.041974;-0.130044;0.238771;1.576348;0.440642;0.644601;0.748380;-0.154690;-0.022092;0.230122;1.536190;0.414582;0.256532;0.961182;-0.099638;-0.019812;0.246248;1.539332;0.373914;0.852205;-0.505048;-0.041974;-0.130044;0.298916;1.584756;0.442253;0.895993;-0.227468;-0.045265;-0.378689;0.279783;1.553632;0.406813;0.829811;-0.446770;0.085104;-0.323371;0.266510;1.519087;0.379061;0.813186;-0.446361;-0.027976;-0.372436;0.293174;1.575000;0.425064;0.873674;-0.285373;0.031357;-0.392776;0.301625;1.595487;0.461553;0.895993;-0.227468;-0.045265;-0.378689;2023/04/28 10:28:26.2090;0.247126;1.552798;0.443645;0.340786;0.902033;-0.260691;-0.047342;0.265197;1.569674;0.402351;0.973510;-0.067833;-0.078331;-0.203819;0.259654;1.522735;0.374830;0.852205;-0.505048;-0.041974;-0.130044;0.260263;1.576155;0.441016;0.729505;0.633838;-0.222363;-0.128942;0.240152;1.537091;0.425897;0.340786;0.902033;-0.260691;-0.047342;0f79f37f-7c92-4611-b3eb-c11311902c39;0.181790;1.583897;0.386154;0.614588;-0.652540;-0.001138;0.443251;0.212219;1.526337;0.371022;0.635196;-0.635201;0.012244;0.439200;0.194350;1.553276;0.377372;0.715340;-0.608762;0.034134;0.341369;0.167188;1.603974;0.388624;0.614588;-0.652540;-0.001138;0.443251;100;0.244532;1.497520;0.349430;0.852205;-0.505048;-0.041974;-0.130044
NA;98261;10;0.138916;1.876173;0.092322;0.939144;0.338842;-0.045960;-0.032890;0.216568;1.550378;0.427595;0.177032;0.980988;-0.047008;0.064139;0.225317;1.583007;0.397661;0.988369;0.120898;-0.088914;-0.024602;0.224369;1.528710;0.369724;0.850634;-0.507392;-0.042319;-0.131092;0.218334;1.573991;0.434361;0.601732;0.793229;-0.090352;0.023322;0.219218;1.541381;0.406938;0.177032;0.980988;-0.047008;0.064139;0.232059;1.549570;0.435609;0.259227;0.960348;-0.100816;-0.019238;0.247858;1.580895;0.397903;0.986226;0.064902;-0.100402;-0.114308;0.240365;1.524392;0.370985;0.850634;-0.507392;-0.042319;-0.131092;0.238598;1.576325;0.440157;0.646581;0.746429;-0.155880;-0.021872;0.229897;1.536035;0.414314;0.259227;0.960348;-0.100816;-0.019238;0.246084;1.538951;0.373650;0.850634;-0.507392;-0.042319;-0.131092;0.298769;1.584695;0.441754;0.894830;-0.230625;-0.046556;-0.379374;0.279609;1.553366;0.406509;0.828093;-0.449304;0.084063;-0.324535;0.266298;1.518694;0.378934;0.811539;-0.448440;-0.029036;-0.373448;0.293021;1.574831;0.424629;0.872364;-0.288211;0.030001;-0.393720;0.301492;1.595558;0.460979;0.894830;-0.230625;-0.046556;-0.379374;2023/04/28 10:28:26.2191;0.246904;1.552801;0.443314;0.343243;0.900809;-0.261875;-0.046366;0.265061;1.569413;0.401939;0.973079;-0.070473;-0.079487;-0.204530;0.259455;1.522332;0.374674;0.850634;-0.507392;-0.042319;-0.131092;0.260088;1.576117;0.440561;0.731149;0.631517;-0.223757;-0.128611;0.239921;1.537003;0.425652;0.343243;0.900809;-0.261875;-0.046366;0f79f37f-7c92-4611-b3eb-c11311902c39;0.181664;1.583735;0.385396;0.612885;-0.655334;-0.000035;0.441487;0.212025;1.526012;0.370744;0.633739;-0.637847;0.013331;0.437434;0.194198;1.553031;0.376870;0.713613;-0.611813;0.034582;0.339480;0.167096;1.603859;0.387682;0.612885;-0.655334;-0.000035;0.441487;111;0.244310;1.497007;0.349398;0.850634;-0.507392;-0.042319;-0.131092
