A;Æ;B;C;D;E;Email;F;Framecount;FrameCount;G;Gesture;H;I;K;L;M;N;Nummer0;Nummer1;Nummer2;Nummer3;Nummer4;Nummer5;Nummer6;Nummer7;Nummer8;Nummer9;O;P;Q;R;S;SessionID;Success;T;Time;Timestamp;U;V;W;X;Y
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11359;1;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;12;2023-05-18 10:38:25.1935;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11360;2;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;22;2023-05-18 10:38:25.2037;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11361;3;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;33;2023-05-18 10:38:25.2149;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11362;4;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;45;2023-05-18 10:38:25.2266;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11363;5;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;56;2023-05-18 10:38:25.2399;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11364;6;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;70;2023-05-18 10:38:25.2540;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11365;7;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;89;2023-05-18 10:38:25.2716;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11366;8;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;100;2023-05-18 10:38:25.2840;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11367;9;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;115;2023-05-18 10:38:25.2993;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.999999;0.000000;0.000000;0.000000;NA;0.000000;11368;10;0.000000;B;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000001;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;135;2023-05-18 10:38:25.3179;0.000000;0.000000;0.000000;0.000000;0.000000
