A;Æ;B;C;D;E;Email;F;Framecount;FrameCount;G;Gesture;H;I;K;L;M;N;Nummer0;Nummer1;Nummer2;Nummer3;Nummer4;Nummer5;Nummer6;Nummer7;Nummer8;Nummer9;O;P;Q;R;S;SessionID;Success;T;Time;Timestamp;U;V;W;X;Y
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18461;1;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;16;2023-05-18 10:39:46.7276;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18462;2;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;26;2023-05-18 10:39:46.7377;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18463;3;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;38;2023-05-18 10:39:46.7489;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18464;4;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;49;2023-05-18 10:39:46.7606;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18465;5;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;60;2023-05-18 10:39:46.7717;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18466;6;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;71;2023-05-18 10:39:46.7824;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18467;7;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;83;2023-05-18 10:39:46.7936;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18468;8;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;93;2023-05-18 10:39:46.8048;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18469;9;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;105;2023-05-18 10:39:46.8164;0.000000;0.000000;0.000000;0.000000;0.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;18470;10;0.000000;I;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;116;2023-05-18 10:39:46.8277;0.000000;0.000000;0.000000;0.000000;0.000000
