A;Æ;B;C;D;E;Email;F;Framecount;FrameCount;G;Gesture;H;I;K;L;M;N;Nummer0;Nummer1;Nummer2;Nummer3;Nummer4;Nummer5;Nummer6;Nummer7;Nummer8;Nummer9;O;P;Q;R;S;SessionID;Success;T;Time;Timestamp;U;V;W;X;Y
0.000006;0.000000;0.000000;0.000000;0.000000;0.138098;NA;0.000000;24048;1;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001874;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.856986;0.000000;0.000000;0.000000;0.003037;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;16;2023-05-18 10:40:48.9645;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.112435;NA;0.000000;24049;2;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002564;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.882412;0.000000;0.000000;0.000000;0.002585;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;26;2023-05-18 10:40:48.9747;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.112651;NA;0.000000;24050;3;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002629;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.882099;0.000000;0.000000;0.000000;0.002616;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;38;2023-05-18 10:40:48.9858;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.115248;NA;0.000000;24051;4;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002628;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.879424;0.000000;0.000000;0.000000;0.002695;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;49;2023-05-18 10:40:48.9975;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.108662;NA;0.000000;24052;5;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002745;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.886075;0.000000;0.000000;0.000000;0.002513;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;60;2023-05-18 10:40:49.0088;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.105004;NA;0.000000;24053;6;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002682;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.889785;0.000000;0.000000;0.000000;0.002524;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;71;2023-05-18 10:40:49.0199;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.102116;NA;0.000000;24054;7;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002568;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.892733;0.000000;0.000000;0.000000;0.002577;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;82;2023-05-18 10:40:49.0311;0.000000;0.000000;0.000000;0.000000;0.000000
0.000006;0.000000;0.000000;0.000000;0.000000;0.099845;NA;0.000000;24055;8;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002422;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.895062;0.000000;0.000000;0.000000;0.002666;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;93;2023-05-18 10:40:49.0418;0.000000;0.000000;0.000000;0.000000;0.000000
0.000005;0.000000;0.000000;0.000000;0.000000;0.080283;NA;0.000000;24056;9;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.002889;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.914542;0.000000;0.000000;0.000000;0.002281;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;105;2023-05-18 10:40:49.0535;0.000000;0.000000;0.000000;0.000000;0.000000
0.000004;0.000000;0.000000;0.000000;0.000000;0.064249;NA;0.000000;24057;10;0.000000;O;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003372;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.930426;0.000000;0.000000;0.000000;0.001949;4332d372-f249-41c5-903d-404cd93a7529;TRUE;0.000000;115;2023-05-18 10:40:49.0636;0.000000;0.000000;0.000000;0.000000;0.000000
