A;Æ;B;C;D;E;Email;F;Framecount;FrameCount;G;Gesture;H;I;K;L;M;N;Nummer0;Nummer1;Nummer2;Nummer3;Nummer4;Nummer5;Nummer6;Nummer7;Nummer8;Nummer9;O;P;Q;R;S;SessionID;Success;T;Time;Timestamp;U;V;W;X;Y
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25067;1;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;16;2023-05-18 11:00:30.6747;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25068;2;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;27;2023-05-18 11:00:30.6859;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25069;3;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;38;2023-05-18 11:00:30.6976;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25070;4;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;49;2023-05-18 11:00:30.7087;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25071;5;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;60;2023-05-18 11:00:30.7199;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25072;6;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;71;2023-05-18 11:00:30.7311;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25073;7;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;83;2023-05-18 11:00:30.7418;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25074;8;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;94;2023-05-18 11:00:30.7536;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25075;9;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;105;2023-05-18 11:00:30.7648;0.000000;0.000000;0.000000;0.000000;1.000000
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;NA;0.000000;25076;10;0.000000;Y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;cef3db28-5cb7-421e-b596-6c11962c8586;TRUE;0.000000;117;2023-05-18 11:00:30.7756;0.000000;0.000000;0.000000;0.000000;1.000000
