Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
W,10,0,Static,Right,1,11,0.02276600423877676,0.11340882338248646,0.037227313910622103,0.039477902299894244,0.11733395957266604,0.05792062590304082,0.0897921232737038,0.10100231005774067,0.09561572009873702,0.052202394475732675,0.07283521450507305,0.09559814094949748,0.09647328214588745,0.08881111509265041,0.07552041157859245
W,10,1,Static,Right,2,21,0.022766532761929248,0.1134797551768596,0.037210519990991835,0.039459448209522734,0.11733474605588907,0.05792767077140251,0.08979165966279946,0.10100176749443558,0.09561648567584972,0.0521826507279958,0.07282368852921414,0.09559655870375255,0.09647490569572989,0.08881074978289508,0.07552760217960047
W,10,2,Static,Right,3,33,0.02271474433050032,0.1136095466631216,0.03732045445864776,0.03951737888575104,0.11735820587415258,0.05792923666854244,0.0897923956746895,0.10100156598290946,0.09561632765380598,0.05216260711467548,0.07283848183481038,0.09560491833059646,0.09647401688537707,0.08881355143219986,0.07553055170591566
W,10,3,Static,Right,4,44,0.022688326051077422,0.11369365483174512,0.037343388611640424,0.039544609063688965,0.11736017967351611,0.05792989263756672,0.08979295868273868,0.10100182862701039,0.09561626471474405,0.05214867087472124,0.0728512399414039,0.09560468342607494,0.09647324004613926,0.08881332934306659,0.07553812534740323
W,10,4,Static,Right,5,55,0.022664553425999896,0.11377581343589671,0.037357760331690165,0.039569222597872676,0.11736231669066528,0.057928898090676716,0.08979273633763472,0.10100194453573659,0.09561694703869195,0.052135636123480836,0.07286412528810043,0.09560528095769606,0.09647383552549374,0.08881347675887942,0.07554840396063973
W,10,5,Static,Right,6,66,0.022665708835154463,0.11369078265189324,0.037392701573970205,0.0394829237012661,0.11736958186003732,0.05794028057405311,0.08979163468274762,0.10100129587782518,0.09561583367308986,0.052144760906537975,0.07281470029465201,0.09560811424769336,0.09647324108787875,0.0888119941730844,0.0755497305752972
W,10,6,Static,Right,7,77,0.022649691763907152,0.11366125413261992,0.03741569912483262,0.039454309092924175,0.11733992555392231,0.057938005298767435,0.08979325234114202,0.10100107538536411,0.09561634702288103,0.05214174322939352,0.07281339995495335,0.09561027385171544,0.09647297556310783,0.08880944752108301,0.0755539703457072
W,10,7,Static,Right,8,89,0.02263229139967935,0.11363517221353607,0.037436822661652255,0.03943251577061762,0.11730277891422679,0.0579341642383836,0.08979306613542055,0.10100171142114381,0.09561701765899197,0.052137453754474754,0.07282094263328374,0.09561244986402138,0.09647325300309913,0.08880655366018882,0.07556000776866025
W,10,8,Static,Right,9,100,0.02266151832953826,0.11364214855853441,0.03742336928979,0.039437638481531784,0.11731816843950472,0.0579421286802617,0.08979258726643304,0.10100241482261693,0.0956164946910313,0.05213390958867368,0.07278655884845775,0.09561195817469696,0.09647330047738585,0.08880751937758424,0.07555992766672025
W,10,9,Static,Right,10,111,0.022676636897917664,0.11364172851994117,0.03741861945609435,0.039437181212657685,0.11732477191113577,0.057946851398501344,0.0897917486743632,0.10100192207082014,0.0956169383895971,0.052131832521023075,0.07276628798420323,0.09561102361652653,0.09647325418477393,0.0888073460531279,0.07555967000986705
W,10,10,Static,Right,11,121,0.022687644456840267,0.11364263947128313,0.03741495623410506,0.03943715959599525,0.11732957241889187,0.05795044260400428,0.08979284702580727,0.1010011911315902,0.09561659288010639,0.05213078136763346,0.07275174679002562,0.09561047235528124,0.09647306071645083,0.08880816045274219,0.07555923730425022
W,10,11,Static,Right,12,133,0.022732514027269425,0.11346479302409188,0.03740093155256964,0.03942284257889076,0.11728483428815516,0.05794852980878804,0.08979206928788305,0.10100126567523798,0.09561660298295481,0.05215113936435145,0.07276012442265337,0.09561182337451783,0.09647372829428744,0.08880667142732014,0.07556372162618781
W,10,12,Static,Right,13,144,0.022706314628314416,0.11345807080150792,0.03741632170590795,0.03944637963108907,0.11729546177921803,0.05794283032438101,0.08979150820651141,0.10100210509687405,0.0956162272890956,0.05213580540281318,0.07274635541386254,0.09561699537739092,0.09647427961897415,0.08880816665149666,0.07556632224079718
W,10,13,Static,Right,14,156,0.022669123450191075,0.1134687158868028,0.03743545156666338,0.03947376623784446,0.11730973696160103,0.05793558213222686,0.08979022661180897,0.101002468974773,0.09561590348890724,0.0521164692107975,0.07273081738850454,0.09562121010006101,0.09647480680986092,0.088809125707891,0.07556782646735309
W,10,14,Static,Right,15,167,0.022678105123665044,0.11334435241775385,0.03739476169198037,0.03941112965901893,0.11727514363239983,0.057934959480438024,0.08978910238442063,0.10100233928479074,0.09561659406713875,0.05214839453904598,0.07269520002723699,0.09562102976333185,0.09647440337726895,0.08880539862530885,0.07556726848973702
W,10,15,Static,Right,16,177,0.022699893149528135,0.11327985588797335,0.03741932937667375,0.039381636989845946,0.1172555263857528,0.05793384496993103,0.08979082364028083,0.1010016204127439,0.09561638467856852,0.05216505705929977,0.07267889928995898,0.09562710618856975,0.09647594216694656,0.0888048416360279,0.07556672126008908
W,10,16,Static,Right,17,189,0.022725511875423134,0.11322565935776224,0.03745806600720328,0.03935773700303421,0.11724018254847594,0.0579319612303951,0.08978980555720134,0.10100138110936902,0.09561675025851904,0.05217982205795641,0.07266466361306571,0.09563400172532785,0.09647701366646881,0.08880439980654106,0.07556535503787427
W,10,17,Static,Right,18,200,0.02275290102382558,0.11317977962074323,0.03750734016162697,0.03933699433103652,0.11722521241183574,0.057931275784329155,0.08978957963483293,0.10100170296089069,0.09561774931988312,0.05219284680873427,0.07265283589096852,0.09564023785520398,0.09647592297563147,0.08880365848882579,0.07556376237986034
W,10,18,Static,Right,19,211,0.02269829962794572,0.11320333464169686,0.037569209241079295,0.039305468881569196,0.11718922085669814,0.057931715277557624,0.08979109457513045,0.10100217992201954,0.09561712203889013,0.05220425946223167,0.0726958341997669,0.09564291529433853,0.09647581670553511,0.08880297362701327,0.07557741785083694
W,10,19,Static,Right,20,222,0.02263999642226121,0.11323466901086418,0.03763664259734124,0.03927642832539647,0.1171515920250338,0.057931864073236944,0.08979273311911161,0.10100233147309019,0.09561813244359037,0.052214868868934235,0.07274274606447029,0.0956453301839666,0.09647447723620993,0.08880264841771325,0.07559191339025624
W,10,20,Static,Right,21,233,0.0226236737290829,0.11324453813319206,0.037651337891235676,0.03927778473895893,0.11715647728145455,0.05793781709729836,0.08979275148919312,0.10100189258622823,0.09561792901438522,0.052207160016610625,0.0727431471480304,0.0956588985562764,0.09647750420693924,0.08880095909955027,0.07559460830641293
W,10,21,Static,Right,22,245,0.022590241432972783,0.11324606955210421,0.03758400313963376,0.03927892567268102,0.11713785572990497,0.057940104970564184,0.0897927213586937,0.1010011436222383,0.09561752966375986,0.05221417751913746,0.07274831892215794,0.09565481978970013,0.09647838964763038,0.08880137412225111,0.07559921611366084
W,10,22,Static,Right,23,256,0.02255462187667982,0.11324961762849349,0.037507779699683635,0.03927978417710566,0.11711787268389055,0.05794296417167496,0.0897935045590715,0.10100253999281394,0.09561818187457861,0.052221131891218166,0.07275421995320953,0.0956495781747101,0.09647854161936724,0.08879958741458199,0.07560439326520643
W,10,23,Static,Right,24,267,0.022489597106217785,0.11324745969777868,0.037554838995793836,0.039233626763275305,0.11708202913769478,0.057947993131772874,0.08979268444589453,0.10100175177688735,0.09561771313412591,0.052227397465315045,0.07277428409816206,0.09565507361347847,0.0964787648190003,0.08880149325884111,0.07561912099462671
W,10,24,Static,Right,25,278,0.02248785492215754,0.11319635703060406,0.03749792134238916,0.03923380362646485,0.11705598786051055,0.05795376203491887,0.08979349863993495,0.10100159015579906,0.09561849211841814,0.052243691686174036,0.07278657902388323,0.09565064193198079,0.09647857712466532,0.0888015450822788,0.07562396272346482
W,10,25,Static,Right,26,289,0.02249604863081524,0.11313386115571243,0.03742301384175251,0.039243476209428786,0.11702892251917903,0.05795890469979571,0.08979235792092777,0.10100215074937773,0.09561858326183255,0.05226386910667824,0.07279830033730181,0.09564414326554455,0.0964795775540088,0.08880215371825163,0.075626747523611
W,10,26,Static,Right,27,300,0.022514099160304,0.11306361072422899,0.03733155981204109,0.03925884550009077,0.11700317703806168,0.05796575922042255,0.08979243926411619,0.10100193975860067,0.0956186773230001,0.05228594843741483,0.07280866309032186,0.09563603689509514,0.09647972925438796,0.08880232026247958,0.0756286758974398
W,10,27,Static,Right,28,311,0.022508162830404476,0.1130199940276055,0.03729615360864984,0.03917505925968715,0.11704700038018921,0.05797054615061,0.08979258956617743,0.10100244189127318,0.0956182873513221,0.05229346468728197,0.07275900590992151,0.09563618240498735,0.09647970851427788,0.08879983029826137,0.07561108804269387
W,10,28,Static,Right,29,322,0.022506976207389486,0.11297333502203079,0.03725573279375941,0.0390900050780248,0.11709510444506198,0.05797650870826903,0.08979201205563887,0.10100111338990284,0.09561765317136785,0.05230123750925968,0.07270493182721513,0.09563504893081823,0.09647990811044538,0.08879700047861976,0.07559151278417438
W,10,29,Static,Right,30,333,0.022434831958363186,0.11297864397309787,0.0372081438800702,0.03905709104631324,0.11706192561631636,0.05796205036055915,0.08979286035648938,0.101001933278527,0.09561766800126431,0.05232119094592552,0.07271269257839375,0.09563064537061326,0.09647997486525368,0.08879572194649912,0.07559337657493544
W,10,30,Static,Right,31,345,0.022444005814470865,0.11290553228252356,0.037167058223647534,0.03905883887163068,0.11706368430046943,0.057961550859168744,0.08979123189933418,0.10100174137607741,0.09561693254858156,0.05230843843014244,0.07270302151217649,0.09562968077955715,0.09648003552030858,0.08879696974559428,0.07559485466617422
W,10,31,Static,Right,32,356,0.022462782240853525,0.1128237696631344,0.03712433332734742,0.03906588062491366,0.11707017736810683,0.05796291389328184,0.08979032399986102,0.10100226394987398,0.09561750321986022,0.05229125044402747,0.07269217953810439,0.09562787532409162,0.09648000367951898,0.08879790264978109,0.07559464246228038
W,10,32,Static,Right,33,367,0.02242230436418172,0.11281213080604416,0.037083341057677105,0.039037974921862964,0.11701036661766348,0.05796234348264399,0.0897905459945534,0.10100107776157641,0.09561719032684445,0.0523407827606735,0.07270780163778848,0.09562138311591188,0.0964802346234709,0.08879685537787922,0.07560469197080295
W,10,33,Static,Right,34,378,0.02240565968678439,0.11280745910178118,0.03708047687125932,0.03901123748357651,0.11699298767874922,0.05796247291998503,0.08979241934038754,0.10100175721738704,0.09561799147649974,0.05237442572477526,0.07274159378237462,0.09562002740535047,0.09647995981031497,0.0887956702210191,0.07559908428678214
W,10,34,Static,Right,35,389,0.022392798306598533,0.11280479136543801,0.03708762234223169,0.038982736768985386,0.11698253954330104,0.05796268373703895,0.08979274734631962,0.10100182736465718,0.09561718311056847,0.05240603096018622,0.0727816423420082,0.09561892529201534,0.09647963205257368,0.0887948717719668,0.07559029880877578
W,10,35,Static,Right,36,400,0.02237495340777285,0.11280949414388836,0.03705359973066048,0.03897105472013815,0.11696562452276316,0.05796748684391968,0.08979336584069007,0.10100146360820719,0.09561769211291397,0.052439441272767284,0.07279507008719752,0.09561362430637171,0.09647932637617238,0.08879516731219105,0.07559209282061181
W,10,36,Static,Right,37,412,0.02235773823534043,0.11281437357003751,0.03701901885517774,0.03896143372618619,0.11694995739204027,0.057973955117794046,0.08979200875913167,0.10100099839605546,0.09561760057123375,0.05247218696604906,0.0728054238913558,0.09560662334273708,0.09647880312794098,0.08879656773772274,0.07559349104916367
