Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
H,12,0,Static,Right,1,9,0.08186949025125295,0.05410435120209834,0.022070184548390225,0.11918302909810607,0.015759952918711316,0.05899764112233641,0.08534062193352003,0.09659150609137429,0.05188900170556377,0.053853884734529595,0.07445572765744751,0.08585407278050351,0.08522740632566496,0.06591207149680549,0.057705912054138775
H,12,1,Static,Right,2,20,0.08196615562535561,0.05415964119157364,0.02209166598516281,0.11926695241348292,0.015800771943167938,0.05899789174199362,0.08534122732888248,0.09659022228465987,0.0518483618834771,0.05384784553721715,0.07446954696384278,0.08585842941726798,0.08522368981685784,0.06587199606813202,0.05765272722950754
H,12,2,Static,Right,3,31,0.08195704090558663,0.05431131080171055,0.022134729860560722,0.11933454214518109,0.015845507691456324,0.05899676942850346,0.0853428268631875,0.09658839533815644,0.05176823286533936,0.053814724843670766,0.0744781791466467,0.08587295969046371,0.08523226695330825,0.06586907457221483,0.057654839423937364
H,12,3,Static,Right,4,43,0.08193747292905738,0.05447732627433178,0.022184180084014786,0.11940177881840787,0.015892548222358915,0.058995239782545165,0.08534378693847608,0.09658587546841413,0.05168266278937265,0.053777433083032115,0.07448635814026622,0.0858894142255028,0.08524182800714687,0.06587021088473909,0.05766230095998596
H,12,4,Static,Right,5,53,0.08188203696782337,0.05465640436399013,0.022251845339207214,0.11941575585742446,0.015893513960103352,0.058996011161772624,0.08534709791199699,0.09658689419377768,0.05170845971405451,0.053787916152236256,0.07449145536905559,0.08589991216526352,0.08526260373106133,0.06589595524006006,0.057660143270720395
H,12,5,Static,Right,6,65,0.08192634446867497,0.054694274343846994,0.022239291647892012,0.11943957833984516,0.015892306157383126,0.05899588817027845,0.08534520420621185,0.09658662432241849,0.051732893365826704,0.05376128460146767,0.07449672266616836,0.08590682927451115,0.08528171253557233,0.0659179352983693,0.05764547178226578
H,12,6,Static,Right,7,76,0.0819890375172194,0.054705227117707866,0.022212457585778354,0.11946283930160038,0.01588875693690352,0.05899693322538046,0.0853417944210221,0.09658711989701317,0.051760549359526675,0.053725910369206376,0.07450184527916062,0.08591336351231972,0.08530082537701492,0.06593997412040742,0.05762798223085727
H,12,7,Static,Right,8,88,0.08199218793885181,0.05474584693837516,0.022138015042004147,0.11950550348833312,0.015884390576915444,0.05899754073688157,0.0853433304599721,0.09658683862721668,0.05179555399838871,0.053766409774133134,0.074535748208494,0.08591317962920482,0.08532513265152304,0.06596446464574696,0.057634977799943636
H,12,8,Static,Right,9,98,0.0819906991310601,0.05478139616694704,0.02204992394544708,0.11955284861934488,0.015877863363815813,0.05899764892773271,0.08534455429024163,0.09658723035681267,0.05183528826002612,0.05381621990626984,0.0745749901508542,0.0859111019193678,0.08535210508241724,0.0659891653985713,0.05764653673899241
H,12,9,Static,Right,10,110,0.08198567436448875,0.05481304494369931,0.02195317940527068,0.11960232693806587,0.015870169312266338,0.05899887881138083,0.08534734806073355,0.0965869609471175,0.051876167582041006,0.05387494109509541,0.07461769668114936,0.08590773188718227,0.08537806639295596,0.06601385419743343,0.057659713934427405
H,12,10,Static,Right,11,121,0.08186788706812943,0.05521890815653638,0.022123339282305525,0.119681489918032,0.015892149791642454,0.05899759762905604,0.08535451352447623,0.09658472614756435,0.05182634439163156,0.05391455807108134,0.07462649216598626,0.08593387342020603,0.08541563386757717,0.06603831423499543,0.05768710957397675
H,12,11,Static,Right,12,132,0.08194636558139724,0.05527845442846606,0.022128981201130882,0.11972409317259408,0.015946822159916448,0.05899927118193919,0.0853539756601882,0.09658619659661519,0.05175267222086222,0.05393397683279067,0.07466242023936816,0.08594136970051156,0.08542996383588139,0.0660301237390935,0.057683642828795026
H,12,12,Static,Right,13,143,0.08204534379232009,0.05530326362883117,0.022114971806448332,0.11976179711827975,0.01600556381387419,0.059000536251800295,0.08535358085634134,0.09658646761322207,0.05167423128600946,0.05395404743853792,0.07470215775330724,0.08594844960207254,0.08544261023049331,0.06601835524306858,0.05767803212662511
