Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
I,12,0,Static,Right,1,11,0.08891331394116408,0.05187195560223268,0.01434511021219426,0.01772558097778466,0.09918338301348675,0.05473573302697245,0.03223063227738468,0.03790278539896506,0.046133577413853356,0.07382171942592512,0.07975801468818042,0.07755545563014886,0.07729075151659472,0.07283767878646326,0.07767835390892362
I,12,1,Static,Right,2,22,0.08864961848197664,0.05189212304386856,0.014334341910251755,0.017719764868643163,0.09909557564291159,0.05473662057526015,0.03222741767501691,0.0378720784483768,0.0461164489743086,0.07382228539540087,0.0797571546195073,0.07758901087782984,0.07732995514029478,0.0728324825472811,0.07766734481105944
I,12,2,Static,Right,3,34,0.08865203610182905,0.05193380071783689,0.014350585562965718,0.017726497059486902,0.09911466936836329,0.05474443373531221,0.03217986775920625,0.0379271746113523,0.04618861758052512,0.07382148893784236,0.0797409238220877,0.07758006076305944,0.07733745825924203,0.07284586146103285,0.07767240274383162
I,12,3,Static,Right,4,44,0.08873195232834667,0.05191844244582076,0.014343563051069265,0.017704357260290543,0.09913407771800768,0.05475820751266429,0.032192069644556974,0.03792423412542417,0.046152841450987615,0.07382007927386694,0.07974532353059957,0.07759801443980384,0.07734764164471977,0.07284994358954576,0.07767710801130527
I,12,4,Static,Right,5,56,0.08881750423762197,0.05189692955272014,0.014333292085211974,0.017679248937667032,0.0991510409678083,0.05477338982571739,0.03221137920052479,0.037916280737962785,0.04610391599419726,0.07381911660267938,0.07975241118612025,0.07761854500697625,0.07735806415623389,0.0728522635612648,0.07768137805806484
I,12,5,Static,Right,6,66,0.08895007532880454,0.05184920186463817,0.014357988508144147,0.017660813458048957,0.09919349398524091,0.05479469249845287,0.03221018523697117,0.03795268439781298,0.046135337280657204,0.07381998391357196,0.07974922102440872,0.0776293750071453,0.07734814876259162,0.07284643564375679,0.0776948347189181
I,12,6,Static,Right,7,77,0.08905200868593591,0.05178703854247701,0.014364549209773335,0.01763700104893119,0.09924991082111861,0.0547966074314824,0.032205128069920916,0.037985647829147234,0.04614964959780301,0.07381867974977603,0.07973831382089794,0.0776486406384555,0.07734998574014093,0.07284254894634046,0.07770537312824649
I,12,7,Static,Right,8,89,0.08915047156913969,0.05171789253246894,0.014366016044819099,0.01761321606067449,0.0993129613192558,0.05479375302897227,0.03220062962117363,0.03801679498590055,0.046160708898369346,0.07381782731156475,0.07972511901527647,0.07767000186687263,0.07735351608685932,0.07283982169116011,0.07771515246076542
I,12,8,Static,Right,9,100,0.08931620665926203,0.05170807674822184,0.014370541430301097,0.017598968549321203,0.09937621724537504,0.05480488134281468,0.03222317782280336,0.03804992516418399,0.046185462972671336,0.07381697392876514,0.07972301362843731,0.07767422948443081,0.07735554277490411,0.072854231043914,0.07773434047446481
I,12,9,Static,Right,10,111,0.08949024076959453,0.051706730732081714,0.014372535823576862,0.01758590111424491,0.09943945378973076,0.05481713006898483,0.032252716428233,0.03808304459992659,0.04621023269796422,0.07381467825575075,0.07972385751454832,0.07767619410733258,0.07736050058007647,0.07287307642058224,0.07775576565760266
I,12,10,Static,Right,11,122,0.08967169630379479,0.05171103065110959,0.014374543123174406,0.017575654923785863,0.09950495503742514,0.05483078241280157,0.03228385511366313,0.03811533878899684,0.04623864739587444,0.07381372629802671,0.07972506018185246,0.0776759446482629,0.07736390717899391,0.07289290422256467,0.07777614583533954
