Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
Y,16,0,Static,Right,1,11,0.17254900577227328,0.07524963585958407,0.01519630853200868,0.016592100469801863,0.10820921604466034,0.05867624965009264,0.041840505004122536,0.04867236285614239,0.05020295370792423,0.07431735981585992,0.08520034242302078,0.07747006707754936,0.07628100718396415,0.076210171873576,0.07951443948114076
Y,16,1,Static,Right,2,22,0.17260366562445884,0.0751674603402297,0.015215033190893812,0.016607057836955978,0.10827455599539543,0.05866991980563804,0.04177168169944815,0.04870655455890929,0.05018453950172309,0.07431244183176862,0.08520995065131773,0.07742499361317383,0.07628578166998097,0.07624532382382541,0.07951453326908242
Y,16,2,Static,Right,3,33,0.1728143899245662,0.07521782217001499,0.01520216017544875,0.01654869022007483,0.10829968245105795,0.05866205374856904,0.04167474382644726,0.048611647143457275,0.050051560914720766,0.07430947211493305,0.0852523452639281,0.07736466176491695,0.07631232446990456,0.07624687113580463,0.07951565779769416
Y,16,3,Static,Right,4,44,0.17296513065066033,0.07523683691517079,0.015204892107476472,0.016459687329958575,0.10832836556968817,0.05866066646399447,0.0416060170047555,0.048587375160632156,0.049913883178931216,0.07430578897367296,0.08527606515898818,0.07732052647259972,0.07632926268476586,0.07625084423139196,0.0795159653717416
Y,16,4,Static,Right,5,55,0.17310385365438868,0.0752545371522541,0.015212452432135986,0.01635735314774368,0.10835583037843412,0.05865896439590451,0.04154218643740362,0.048579714264289475,0.04977284934580285,0.07430305176101454,0.08529524069372219,0.07727840083102137,0.07634350813919942,0.07625288386677584,0.07951503808085615
Y,16,5,Static,Right,6,66,0.17299153718607163,0.07520761074518986,0.01522821420915797,0.016237358467435476,0.10829826686517195,0.05865754094743487,0.041487450765261495,0.04854927144664476,0.04966430075013642,0.07430018525548918,0.08529521033446136,0.07723317215419809,0.07636321746102633,0.07622325176086363,0.0795164948485533
Y,16,6,Static,Right,7,77,0.17296831892864084,0.07521924478482882,0.015228191159819352,0.016062378092922578,0.10820257099995365,0.058656021046436496,0.041432028395916094,0.048517053558516925,0.04953575050405512,0.07429781150881906,0.08529953464116907,0.07722504610552203,0.0764133955599409,0.07618993029265742,0.07952859414072404
Y,16,7,Static,Right,8,88,0.1729519438745919,0.07524205341429756,0.015226489221090971,0.015871161457183938,0.10809262791698611,0.05865634467813355,0.04137699352297133,0.04848270303933139,0.0494041572137408,0.07429748613513107,0.08530408708848597,0.07722885869932306,0.07647296791677437,0.0761516960480855,0.0795420527331298
Y,16,8,Static,Right,9,99,0.17293243409204653,0.07521458768084818,0.01523786107037333,0.01572599790156416,0.1079970191486784,0.05865744722539497,0.04135246530740337,0.048498357446412545,0.04933571324101831,0.07429680135106753,0.0853124895311349,0.07724369818308803,0.07653747742119542,0.07614084741451202,0.07955481426664254
Y,16,9,Static,Right,10,111,0.17298295308497888,0.07522627605431492,0.015240092978719014,0.015632023797320697,0.10789349965127655,0.058652580625237635,0.04130047251545666,0.048465750742147845,0.04927423628023076,0.07429634248063621,0.08532206295560368,0.07726677067795698,0.07659018034970277,0.07612756586808746,0.07957012898066705
Y,16,10,Static,Right,11,121,0.17305423332585654,0.07524857480377951,0.015238788731392023,0.015553533489210701,0.10778639048599785,0.058646212784799714,0.04124464854984209,0.04842325347392521,0.049220079429029825,0.07429584917073095,0.085334633238797,0.077294406149475,0.07664070755153557,0.0761156775309791,0.07958643033834341
Y,16,11,Static,Right,12,133,0.17312328114381384,0.0752509373031326,0.015242347949053018,0.015374037400761069,0.10765247775132732,0.058649637381658175,0.041132372469868464,0.04838359748923174,0.049052685002963996,0.07429793287164867,0.0853710535544689,0.07734042271024902,0.07669725229758888,0.07609797996004891,0.07960223791452099
Y,16,12,Static,Right,13,144,0.17315159741971775,0.0752665340108072,0.015228939752983452,0.015274598980005995,0.10754262757158203,0.05864844818918907,0.04111086141155399,0.0483524032287951,0.04900995247906289,0.07429653214652744,0.08537776112079772,0.07738111677276312,0.0767679384964843,0.07608730163437255,0.07961845185005793
Y,16,13,Static,Right,14,155,0.17316445673982866,0.07528529360373111,0.01520976610602546,0.015192408564806324,0.10742933234456972,0.058646229282026355,0.04110948277465901,0.04832340138069758,0.048994478474619976,0.07429770803329003,0.08537763609985932,0.07742074769724194,0.07684116329155874,0.07607817702206066,0.07963630612980481
Y,16,14,Static,Right,15,166,0.17285089842115373,0.07532475556548456,0.015158647729926322,0.014984558084908587,0.10687943515007925,0.05863986703600201,0.041041763156570224,0.04818764813725612,0.04891128210341657,0.07430705565422431,0.08538435758966628,0.07749470363192568,0.07690106514867012,0.075958131592345,0.07967170219092846
Y,16,15,Static,Right,16,177,0.1727578081129765,0.07534867434135786,0.01513208769469697,0.014872539426742212,0.10663802691347969,0.05864079694206078,0.04100883769384347,0.048149974672890505,0.048837660846932494,0.07431524314701525,0.08539742432298529,0.0775525923938072,0.0769430050491921,0.07593339292432548,0.07968260436255833
Y,16,16,Static,Right,17,188,0.17270011032133126,0.0753691161816297,0.015108960553261126,0.014781144915059845,0.1064503461384696,0.05864234199791139,0.040981786259263894,0.04813091605195144,0.04876490562894586,0.0743238689049486,0.08541247849699717,0.07760929320641954,0.0769800604637331,0.07592879186448312,0.07968960510631237
Y,16,17,Static,Right,18,199,0.1726448353267482,0.07546411359050077,0.015073970578450762,0.01466270063801344,0.10623001277416848,0.05863803997406462,0.04093423575688212,0.04810499103003769,0.048701199061214014,0.0743298026366275,0.08540134212645606,0.07764975160939024,0.07699046370168194,0.07586924095442102,0.07969977250281211
Y,16,18,Static,Right,19,211,0.1726668861160124,0.07552175914264712,0.015044335312668333,0.01459290817486356,0.10609870069421211,0.058635459723617826,0.04092531079906422,0.0481010550196146,0.04867840781085581,0.0743324036675797,0.08540440410775078,0.07768424813306748,0.07701092678964455,0.07584685698827608,0.07971075898522108
Y,16,19,Static,Right,20,221,0.17271942978426016,0.07557385529401027,0.015015186445728872,0.014539084531015017,0.1059997390279806,0.0586336138661093,0.04092550741285925,0.0481040608161099,0.048670471961960636,0.07433436788592467,0.08540935935247378,0.07771643951571637,0.07703059344182675,0.07583674689752985,0.07972174873897332
Y,16,20,Static,Right,21,233,0.17266854282410563,0.07562188697063836,0.014984037539995682,0.014464378901287133,0.10584758790827509,0.0586297010481889,0.040917901656854355,0.048110790317765696,0.0486516339499509,0.07433700037666299,0.08539337738372921,0.07772386590359483,0.07704100221310724,0.07580872834311363,0.07973402077532521
Y,16,21,Static,Right,22,244,0.17257694803478243,0.07565149019682295,0.014949905417761008,0.014419153581261307,0.10571571443262351,0.058629042820090474,0.040913725337593104,0.04809428610552396,0.048643839743589365,0.07434035492920385,0.08537853636599775,0.07772888555099712,0.07705041615072564,0.07578618244112842,0.07974005931149042
Y,16,22,Static,Right,23,255,0.17246803371349723,0.07567313395122471,0.014915774837399491,0.014382019990251762,0.10559056732019213,0.05862892567666574,0.04091066918298936,0.04807250171355767,0.04863944096101441,0.07434376499075099,0.08536389890931646,0.0777299294030298,0.07705998001556964,0.07576679591351343,0.07974487720850787
Y,16,23,Static,Right,24,266,0.17224661860831986,0.07562113311766759,0.014877200845589224,0.014308465291567811,0.10542761441861431,0.05862909132845233,0.04090714207812624,0.0480433814900658,0.04856792935672692,0.07434784201979229,0.08535533425627248,0.07773053771845401,0.07707343481381902,0.07575519826388155,0.07974940262472198
Y,16,24,Static,Right,25,277,0.17207312215741302,0.07560299079401556,0.014840368627497092,0.01425252717941629,0.10529800574559806,0.05862729808715391,0.040901493249024486,0.04799989178112789,0.04852403224176657,0.07435183702505266,0.0853406100458627,0.07772578093528561,0.07706909913188299,0.07571702430761533,0.07975429014165952
Y,16,25,Static,Right,26,288,0.1719020896498934,0.0755888885815898,0.014804184374696256,0.014198575773647148,0.10517651609556183,0.05862531492452728,0.04089406258859581,0.04795057085165944,0.048482529193514645,0.07435632537316506,0.08532495509521232,0.07771887177513576,0.07705978128050968,0.07567114204239286,0.07975951314420113
Y,16,26,Static,Right,27,299,0.17187810595011804,0.07563938588460381,0.014759312619495528,0.014150560872276388,0.10510549150258522,0.05862533808857736,0.04090662749482042,0.04794392633066257,0.04846430556605556,0.07435932685951374,0.08533102381900733,0.07771407055353609,0.07703505067824637,0.07563426400117867,0.0797667027900739
Y,16,27,Static,Right,28,310,0.1718180559399972,0.07563047064510438,0.014723062215449634,0.014089696873957175,0.10504128820611433,0.05862621776133947,0.040921219055643894,0.04789130023292336,0.048383839957159176,0.07436067471452905,0.08533334928385268,0.07770959210419266,0.07702086692578841,0.07560476432738877,0.07977538999591288
Y,16,28,Static,Right,29,321,0.17175994204121048,0.07561089664856517,0.01468857038652845,0.014027026876711968,0.10498486641892726,0.05862653643189236,0.04093924447275504,0.04782788364542186,0.048290761455996985,0.07436202388988614,0.08533610406504388,0.07770586598835384,0.07700688674397892,0.07557686034098009,0.07978491771005347
Y,16,29,Static,Right,30,333,0.17183617331924034,0.07570979229927924,0.014662388175191632,0.014031230380832635,0.10494200756608385,0.05862870639029989,0.04089483010112654,0.04777167899498604,0.04824991503619461,0.07436566724638459,0.08532739916345747,0.07769058670135008,0.07695606043710913,0.07554455128597959,0.07979286500684128
