Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
P,22,0,Static,Right,1,13,0.07972618926049332,0.10840261599703213,0.11941006494010459,0.02403943229362959,0.01850555119416875,0.06094765742832125,0.09044191830119484,0.036231110457726694,0.04675129454892129,0.04420236234637241,0.07997990799569606,0.09680839786402828,0.0806331866789351,0.06771517380174115,0.06171572860300684
P,22,1,Static,Right,2,30,0.07969006426148745,0.10844168852429398,0.11939720060788696,0.024051141511371117,0.018512505259958754,0.06094231072087763,0.09044252514166111,0.03619274818247431,0.046742765226289285,0.04422681324716943,0.07996645205334545,0.09680820094392834,0.08061487606515312,0.06769107230647178,0.061699578458851705
P,22,2,Static,Right,3,45,0.07959854623044316,0.1084633234831018,0.1193524246381279,0.024070390150556297,0.018528147343973775,0.06093025860769007,0.09044344197895171,0.03608740726347619,0.046702145325455836,0.04428535799787552,0.07993214928925657,0.0968022052124847,0.08056178710157814,0.06763696281619987,0.06167162752027874
P,22,3,Static,Right,4,55,0.0795696179518288,0.10857998598728949,0.11934554388413504,0.024099469081288866,0.01855025571252317,0.06093083214596688,0.0904443252227579,0.036063787238724804,0.046755852564144364,0.044320462362209205,0.0799342440509698,0.09680209159930378,0.08057253335970019,0.0676477117720918,0.06166959971493256
P,22,4,Static,Right,5,70,0.07953826599819738,0.10869378100425059,0.11933763085883675,0.02412871107208179,0.018573430970071088,0.06093239041757675,0.09044469130910887,0.03603864761613556,0.04680935114910269,0.04435621068125637,0.0799360634757554,0.0968017243389807,0.08058176453764208,0.06765905552843607,0.06166805414475135
P,22,5,Static,Right,6,85,0.07953190200793642,0.10913360957560228,0.11942535178930815,0.024131421010789984,0.018585796942827075,0.06093381396236412,0.09042522728199247,0.036034013681520524,0.04679224983904912,0.044362281783064325,0.07992556861230327,0.09680267030924306,0.08059008600318031,0.0676543251610716,0.06165672915424561
P,22,6,Static,Right,7,101,0.07937985801196672,0.10889479617961535,0.11932486877428358,0.02414147362942038,0.018631500207981072,0.0609240489872431,0.09043359055682791,0.03602272173226227,0.0467873886961005,0.04439884864498174,0.07984758181059712,0.09679666830010213,0.08059683794045525,0.06766673358453185,0.06163418786680004
P,22,7,Static,Right,8,119,0.07927200404304155,0.10877192145494158,0.11927012649863337,0.024148058741853322,0.01865896465509273,0.06091598289447525,0.09043599932548983,0.03601691263837042,0.04679081764620061,0.044422389096040356,0.07979647617532987,0.0967930198981311,0.08059944886287994,0.06767776521133063,0.06162458901282823
P,22,8,Static,Right,9,136,0.07923899339340452,0.10873885650952933,0.11924183769969326,0.02416423414884073,0.018694763411180093,0.060914186664520156,0.09043923592114207,0.036076043103422516,0.046858277955981235,0.04443465680074506,0.0797810211829856,0.09679199420406624,0.08063900003100237,0.06769040217047023,0.06161191633117735
P,22,9,Static,Right,10,152,0.07922772257865299,0.1085357192540778,0.11919326213339415,0.024181962327321584,0.018704946591744008,0.060913568455640485,0.09044092043428129,0.036060097226713196,0.04686802558248005,0.04444775938109813,0.07975858435930269,0.0967860968424701,0.08061991334031561,0.06768059820214359,0.06160645152904047
P,22,10,Static,Right,11,166,0.07922837971964336,0.10842883340237489,0.11917010728366405,0.024193878998622766,0.018735309898691325,0.06091061377132884,0.09044059746596102,0.03612320171302647,0.046930340836179724,0.04448577154551784,0.07975619203547774,0.09678674719712405,0.08064992395532686,0.06769862276294847,0.06159074070832401
P,22,11,Static,Right,12,180,0.07923680178427195,0.10875876914529692,0.11926578427612844,0.024204301993653844,0.01874734570545921,0.060908101620392036,0.09041994005748952,0.036145988366622486,0.04695233779057226,0.04451044050557125,0.07975471007407653,0.09678163179550135,0.08064301292734548,0.06768494913198955,0.061582469274948835
P,22,12,Static,Right,13,197,0.079246982964653,0.10855903294521377,0.1192342023791831,0.024214224022256016,0.018758354592021107,0.06090485604613152,0.09042679172678855,0.03616828836149142,0.04697218591890306,0.04453594552718062,0.07975292028509054,0.09677566042657626,0.0806308396086758,0.06766610363394666,0.06157501294356339
P,22,13,Static,Right,14,212,0.07915239692517213,0.10840990538691551,0.11917840363924996,0.024221773902833817,0.018778014644791365,0.06090798887666539,0.09043109185451648,0.036206171531936344,0.0470338643638815,0.04458759067274207,0.07972414915193521,0.09676866967154195,0.08066949818859666,0.06771762120009828,0.06158842101401853
P,22,14,Static,Right,15,221,0.07915888363917216,0.10822772016909538,0.11913646173611166,0.02422519145435188,0.01878710222466468,0.0609040494630694,0.09043239469902367,0.03618364453727675,0.0470325489103026,0.044604646574095914,0.0797068707327041,0.09676095474415283,0.08064939770388867,0.0677077887469382,0.061571004669405974
P,22,15,Static,Right,16,235,0.07917109955659327,0.1080376853000842,0.11909293922395237,0.024228597710144035,0.01879442454559337,0.060898971181786006,0.09043461481092295,0.03615028340137872,0.04702401196197527,0.044616943429598585,0.07968808680725119,0.09675120694854403,0.08062256725011925,0.06769263015277215,0.06155231481431061
P,22,16,Static,Right,17,246,0.07909460111790186,0.10801253255525496,0.11904230451818378,0.02424927409222802,0.01880655210292414,0.0608983677039049,0.09043559908575827,0.036127276966303454,0.04703281562909026,0.04464996944007909,0.07967322326854862,0.09674825466642795,0.08064035395507636,0.06771405213838558,0.061561513472298615
P,22,17,Static,Right,18,263,0.0790552183793075,0.10834922878359592,0.11909761389297435,0.024255145722093748,0.018829033910426757,0.06089357556425801,0.09041683074516606,0.03610723834634821,0.04700848104331815,0.04467155204377845,0.07965345826767353,0.09674290244767314,0.08064985773701029,0.06771756645066329,0.061551199703986384
P,22,18,Static,Right,19,277,0.07901554191423354,0.1080722532752972,0.11898819826352529,0.02425145692530659,0.01888178691226012,0.06088381783364117,0.09042522556233963,0.03607403648054936,0.046935562700366175,0.04470050764812407,0.07961530878543399,0.09673130867511306,0.08066149171072895,0.06771278254509996,0.061517593491618235
P,22,19,Static,Right,20,291,0.07893022527523917,0.1079726935711062,0.118926186695782,0.024271229758708178,0.018892701686100816,0.0608820795472691,0.09042875753320952,0.036065175696230925,0.04697030275610323,0.044731768811438706,0.07959187814720795,0.09672738505201102,0.08068793388729197,0.06774953128989153,0.06152794426112401
P,22,20,Static,Right,21,302,0.0788434559681398,0.10789072446693461,0.11886851111206873,0.024290830101089563,0.01890411198654943,0.06087874197123329,0.09043116683975717,0.03605907942529871,0.047007311750407475,0.044763091235972545,0.07956658850296404,0.0967248187488609,0.08071328902355547,0.06778758019726032,0.06153805681039983
P,22,21,Static,Right,22,312,0.0787895829472399,0.10782862199805754,0.11881530858437386,0.02431066115925277,0.018915914067260984,0.060875852297935046,0.09043190757138764,0.036052761197999716,0.04701441373664038,0.044798190030401905,0.07955700128209967,0.09671634981222148,0.08072229853640198,0.06779341249708554,0.061536046428089665
P,22,22,Static,Right,23,326,0.07867828371920675,0.10765972408008469,0.11874226697347487,0.02430304503555059,0.018943308950655952,0.06086842548481108,0.09043310810206621,0.036045934361589115,0.047008138274132895,0.04478791080191177,0.0795308285257987,0.09670647430756643,0.08072512630525885,0.06781996376436655,0.06155072930518368
P,22,23,Static,Right,24,340,0.07855555474312431,0.10797204323805305,0.11876041543376312,0.024309873158862797,0.018958499597805746,0.06086090269623014,0.09041377705305757,0.03601051182640973,0.04700506520578384,0.04479583249589187,0.079507374230319,0.09669974135953004,0.08072344712039989,0.06783696753245977,0.06155603902948917
P,22,24,Static,Right,25,353,0.07829527541301581,0.10768871372618387,0.11854194419698036,0.024334209171452407,0.01897799467804752,0.060848376494365086,0.09042143125387919,0.03591262659566976,0.047000453380792,0.04481791508983879,0.07946311324130204,0.09668566246346975,0.08071155023291272,0.06786292677154444,0.06156115647874062
P,22,25,Static,Right,26,367,0.0781614448753348,0.10758280127418139,0.11843526157779194,0.02434923565535475,0.018987142939368245,0.06084149940624408,0.09042409051242928,0.03585783187812668,0.04699954597653043,0.04482957908568851,0.07944100353092227,0.09667909969584944,0.08070338942696277,0.0678744651912633,0.06156217222450819
P,22,26,Static,Right,27,381,0.07815821009977131,0.10742309383926704,0.11842739227898241,0.024338861230550717,0.019001751919231005,0.060836530736063515,0.09042865948359514,0.035903644717493396,0.04701261857203874,0.04481687621867468,0.0794441775651306,0.0966694319524016,0.08071219712658054,0.06789013809825395,0.06158530028342797
P,22,27,Static,Right,28,397,0.07816385290529124,0.10723053733895031,0.11840945586396383,0.024338370426139948,0.01897575690189978,0.06082491237149464,0.09043042762809429,0.035894137836142516,0.04702058154680786,0.04478656835480924,0.07942871602260729,0.09666141463893442,0.08067247395487505,0.06786924788886341,0.06156829887206554
