Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
T,26,0,Static,Right,1,13,0.12889220571469784,0.12057228368908003,0.06336947621686641,0.0222770507249051,0.016050804247762892,0.06187184384677727,0.08228562923135486,0.05074042564858911,0.03786256701545737,0.03141481553343896,0.08865228892138083,0.08914973681396927,0.08419675172475477,0.07660829313462086,0.06931762275208235
T,26,1,Static,Right,2,29,0.12887439479974294,0.12059853489574403,0.06354673816176566,0.02225048972494758,0.016036963116500567,0.06186560106391923,0.08230451233073433,0.050687466281123174,0.03784405686498212,0.03139705951199889,0.08866059007811757,0.08920689220570353,0.08422554015261643,0.07663839640154275,0.06934592326878346
T,26,2,Static,Right,3,45,0.12887959176688926,0.1202504986559307,0.0630971549992549,0.02213884807301409,0.016036412129900045,0.06186160309917626,0.0821038249230814,0.05054561241096994,0.037789451491123824,0.03135497616009302,0.08868978412985343,0.08910630311038603,0.08415611724646045,0.07660832222415523,0.06935184291711356
T,26,3,Static,Right,4,64,0.12887179352364123,0.1202719227459177,0.06309300511150191,0.022076898151687858,0.01602298127690352,0.0618613489426152,0.08206985040805179,0.05047589293910511,0.03777361432269887,0.031362111743312174,0.08866376507345028,0.08908631864658001,0.08412410910078036,0.07659136797968814,0.06934533176068883
T,26,4,Static,Right,5,79,0.12881216648282878,0.12028303239027521,0.06330549454826176,0.022119330030541166,0.01599256552276706,0.06185893717968338,0.08212293528606973,0.050516364695017406,0.03779239995025457,0.03138560297333794,0.08861558744374497,0.08909385261621584,0.08407651945103338,0.07651289604373891,0.06930815023501925
T,26,5,Static,Right,6,95,0.12880367186148084,0.12024713940048641,0.06326258803590003,0.02210841871324131,0.01599161749167366,0.06185892223438754,0.082113764710918,0.05051800545350143,0.03778652783731261,0.03138876349906124,0.08861519812086398,0.08906313227143985,0.08404536005039184,0.07649212815708555,0.06929983604598211
T,26,6,Static,Right,7,110,0.12882252679946946,0.12030730582138398,0.06348267638497924,0.02206272598751109,0.015984677913552094,0.06185437079140004,0.08213746176988912,0.050464687544856564,0.0377699758406065,0.031349500059809535,0.08863354585595673,0.08906855071235857,0.08399452807177382,0.0764590978301471,0.0692897104843136
T,26,7,Static,Right,8,121,0.12883771306182068,0.1203573802390199,0.06363999805939656,0.022034614677820037,0.015982343445189805,0.061852055260920906,0.08215538493610751,0.05043011571471953,0.03776188732041872,0.0313219849626424,0.08864685465373269,0.08908143423856624,0.08397103664359518,0.07644459181655694,0.06928605300491578
T,26,8,Static,Right,9,132,0.12885776422086478,0.12042119190574394,0.06382944328442793,0.02200536666361182,0.015979058545483822,0.06184824729933743,0.08217683544040866,0.05038843165846699,0.03775217655976936,0.03128780660257282,0.08866283700626781,0.08910114286023499,0.08394839762616077,0.0764309082112727,0.06928214815520656
T,26,9,Static,Right,10,145,0.12885885527972057,0.1203739236795079,0.06363245522530149,0.02201319088637533,0.015976712459076167,0.06185091560357039,0.08219108596435505,0.05040771994446883,0.0377730245280941,0.03134277629693967,0.08868168925995948,0.0890571839718728,0.0839857862438639,0.0764646971680396,0.0693007541806004
