Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
B,28,0,Static,Right,1,42,0.07221437262761472,0.10079278219198043,0.020903390753655247,0.021383785469369112,0.03283130862454317,0.05736796335063668,0.08875218864906939,0.09995282271651966,0.09455088819254953,0.07669504331441497,0.06318152949240785,0.0924101465262338,0.09544626163973101,0.0869532968265148,0.0749855282237846
B,28,1,Static,Right,2,85,0.07238079808208814,0.101189542349988,0.02103946111477185,0.021375565512986947,0.0328992779708005,0.05735306141785277,0.08875028016293816,0.09995270202450743,0.09455105085613814,0.07669494036766708,0.06313103187023002,0.0924481481155787,0.09545057621093744,0.0869423331812529,0.07499017082924926
B,28,2,Static,Right,3,129,0.0723977539568736,0.10143059611872532,0.02114296398332082,0.021342121426887215,0.03290873801895171,0.057345377328953055,0.08875087934775619,0.09995204747277558,0.0945512282574902,0.07669626943991482,0.06311394069458824,0.09246952776996321,0.09544968646360237,0.08694134999526981,0.07499411834270743
B,28,3,Static,Right,4,156,0.07263170719458556,0.10152443943208944,0.02108980040209012,0.021448172649435597,0.03292601653707901,0.05733565473594937,0.08875280967946869,0.09995226293086104,0.09455057596863181,0.07669594954754778,0.06323540105036106,0.09247058908647662,0.09545204227254643,0.08694458442594338,0.07501258546404066
B,28,4,Static,Right,5,196,0.07257339623443287,0.10158423051832398,0.021086465659280074,0.021429712783889516,0.03297267185109508,0.05733995588592651,0.08875268077641381,0.09995252339485973,0.09455143270199552,0.0766960864516567,0.06323196483583288,0.09248533964364308,0.09545300888395301,0.08693699334575598,0.07501673670588462
B,28,5,Static,Right,6,217,0.0725441585656626,0.10172649976284458,0.021132787842591868,0.02144984039567661,0.032978760725654935,0.05734086990969002,0.08875357857573972,0.09995256355391777,0.09455120869666338,0.07669618461175236,0.06323269838461744,0.09249640539502063,0.09545179563004556,0.0869407105791068,0.07503490687673303
B,28,6,Static,Right,7,238,0.07248253717965444,0.10168405569212899,0.02120777220737727,0.021525174912181363,0.03294875370935908,0.057378252195409374,0.08875436492928092,0.09995271284962708,0.09455083042469792,0.07669562139392314,0.06347514313493119,0.09250292562400386,0.09545446509200085,0.086946917081631,0.07504583504765604
B,28,7,Static,Right,8,260,0.07259221422439185,0.10179419320865002,0.021067576818419358,0.021579152647868183,0.032985620336746735,0.05733637935900736,0.08875505734886321,0.09995164095701471,0.09455117469920735,0.0766964773636965,0.06343044035004011,0.09249616656380953,0.09545353396810399,0.08694813391902097,0.07506590441072428
B,28,8,Static,Right,9,281,0.07239003316755699,0.10117155095183623,0.02107602891912997,0.021530857902090264,0.03292260653411265,0.0573643324462161,0.08875730667950675,0.09995342504386749,0.0945506922713949,0.07669580897285075,0.06354915045065512,0.09247590316401341,0.09544915076102038,0.08696285844543054,0.07508329167664404
B,28,9,Static,Right,10,304,0.07215728343694758,0.10123511138928036,0.021085127412467684,0.021480464287347206,0.03291703296167503,0.05737600832229445,0.08875500824742232,0.09995206181465188,0.09455047678356782,0.07669583387642376,0.06355134919889584,0.09248880451708734,0.09544710000832929,0.08695688208531865,0.07506932001823385
B,28,10,Static,Right,11,326,0.0720506447160606,0.10115748620838695,0.021023195523040706,0.021525702729527713,0.032932610737686864,0.057407964551967894,0.0887556949553098,0.09995186696105281,0.09455195109568085,0.07669663928752031,0.06367499736160186,0.09250053181468743,0.0954498426347578,0.0869525807955118,0.07507175141822661
B,28,11,Static,Right,12,348,0.07194896900581706,0.10108348781576561,0.020973492532241723,0.021563303596619985,0.032946247145919226,0.05743472306888927,0.08875633815114291,0.09995179062428057,0.09455155299623572,0.07669600284890989,0.06378479788319476,0.09251001110150192,0.0954516465546825,0.08694993999422891,0.07507591264180552
B,28,12,Static,Right,13,371,0.0719340790654888,0.1008810894618015,0.020979394915011242,0.021552911845038488,0.03298390446869507,0.057459644499422376,0.08875634874193512,0.0999524374240068,0.09455032109940192,0.07669629738781403,0.06379677598437085,0.09250246365367797,0.0954513970039202,0.08694819860123612,0.07508144433213848
