Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
D,31,0,Static,Right,1,11,0.036563943523640945,0.11881244689425433,0.1103454434673223,0.023714233067927772,0.01431885557577842,0.06075772795291154,0.08843979977363134,0.08013918429208024,0.0722199744461323,0.05894152392838176,0.08370469307631438,0.09433010409726052,0.08733261890611084,0.07905095062047006,0.0726687231826733
D,31,1,Static,Right,2,22,0.03665522272473593,0.11882763388202267,0.11043429808714322,0.023680388109150623,0.014394889787698954,0.06075592134928082,0.08843898602991783,0.08016118418536493,0.07223853786587876,0.05889357661069669,0.08370033688701611,0.09431695551172117,0.08730916201063883,0.07903795419290659,0.07265838875862848
D,31,2,Static,Right,3,33,0.036748670982771535,0.1188447721441714,0.11053704250159763,0.023636016098319203,0.014485438377902091,0.06075425070725509,0.08843960044007436,0.08018869377287549,0.07226837905335917,0.05884607518773021,0.08369214239102735,0.09430339067605142,0.08728607051528889,0.07902646196686273,0.07264945343910029
D,31,3,Static,Right,4,44,0.0368488378514168,0.11885401659599053,0.11056025818077672,0.02361741971511701,0.014510563221322673,0.06075395804390036,0.08843905477219895,0.08016945609769345,0.07223735353679561,0.05879390365505592,0.08370812406212433,0.09429392695184548,0.0872791912485444,0.07902717707852147,0.07265260651896804
D,31,4,Static,Right,5,55,0.03683781786425473,0.11893128516080194,0.11054528705919583,0.023693136601134104,0.01453609294136494,0.06075351787345322,0.08844025642206155,0.08021140708153673,0.07223203919314478,0.05878145752701273,0.08370709960929247,0.09428469859420457,0.08729040939874214,0.07903792809151822,0.07265332921484065
D,31,5,Static,Right,6,66,0.03678841963172659,0.11903181570487785,0.11051146933237296,0.02380163727561613,0.01455992445035349,0.06075339893372233,0.08844115614350608,0.08027071504602411,0.0722311736648381,0.058782670575604164,0.08370279108249622,0.09427577948232514,0.0873094780937327,0.07905337474137329,0.07265649202927424
D,31,6,Static,Right,7,78,0.03679661749400357,0.11885333513200193,0.11044001812748853,0.023784112575414584,0.014529366262848563,0.06075226284674505,0.08843881309131171,0.080223763430794,0.07219455507169499,0.05877044548070059,0.08367348345802265,0.09426796767195089,0.08730129163992927,0.07904223147153666,0.07264590769616681
D,31,7,Static,Right,8,88,0.03689685391737351,0.11882644033631563,0.11050459460583525,0.023778311420283773,0.014552200005497451,0.060749146010458534,0.0884392123551538,0.08015697141858591,0.07215873852140156,0.058714495688884163,0.08364712029711484,0.09425935125492839,0.08729135158192931,0.0790175704321513,0.07262444410114265
D,31,8,Static,Right,9,100,0.03702817015462683,0.11883918143020013,0.11061193775537972,0.023772239797713795,0.01459155745628266,0.06074613243655927,0.08843851487332896,0.08007864016078196,0.07212151187405881,0.058643105579428534,0.08361905092142576,0.09425030925148196,0.087282335131457,0.07898848324914198,0.07259830971172805
D,31,9,Static,Right,10,111,0.037009068739972464,0.11876351864524717,0.11047443205556659,0.023843820687968545,0.014568231086854766,0.06074338127730467,0.0884372027429632,0.08006688549581531,0.07209277798781236,0.05864145821856752,0.08361746596256073,0.09424721098791211,0.08730401623064094,0.07899729966271,0.07260339549910871
