Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
I,34,0,Static,Left,1,10,0.12293846322042577,0.03662798973462785,0.014786393306009405,0.01875359658838801,0.10480329481939,0.055724706477468376,0.03906839104698339,0.04561775498640864,0.052542836800081566,0.07681504080582122,0.08303840270019648,0.08290821784358891,0.08205505274509294,0.08025782076533093,0.08274951732789737
I,34,1,Static,Left,2,21,0.12290956095438627,0.03668362340336628,0.014781133143301305,0.01873290103000599,0.10489085014432857,0.05570531684677868,0.039028778945798294,0.04560024425373176,0.052487976651800876,0.07681504624095463,0.08302029409728681,0.08286981287537695,0.08202209644967624,0.0802469083641232,0.0827527174840802
I,34,2,Static,Left,3,32,0.12288670255971555,0.03673919872561188,0.014776121040381342,0.018713024929177043,0.10498814861687966,0.05568554852023997,0.03898751910547772,0.045585389106598616,0.05243423339765729,0.07681598124088505,0.0830002441803637,0.08282952529140801,0.08198588373006666,0.08023445871943059,0.08275552557986694
I,34,3,Static,Left,4,44,0.1223229404036708,0.036715477580987595,0.014756869654503272,0.018682755123375156,0.10470823014453072,0.05568356387660549,0.038987652160652204,0.04547500713578825,0.05237919795109521,0.0768143323475509,0.08294087234892096,0.08279948326529575,0.08196220571702546,0.0801657041882624,0.08275195563852254
I,34,4,Static,Left,5,55,0.12225268197058091,0.03672387972423391,0.014747021021209696,0.018687635056368074,0.1047355036938286,0.055680127666879485,0.03899369142566523,0.04552432911092709,0.05242520025712817,0.07681443069501985,0.08291515891560482,0.08278212243594635,0.08195688684912328,0.0801659429496093,0.08275081388119397
I,34,5,Static,Left,6,66,0.12219993704581034,0.03673210313880757,0.014738920482857631,0.018694293487585955,0.10477428686944139,0.055675565610059166,0.03900058775198127,0.04558069899639535,0.05247591128317821,0.07681430425383026,0.08289009292430548,0.08276543929080542,0.08195218592569695,0.08016614111955248,0.08274936508517754
I,34,6,Static,Left,7,78,0.12206218270209655,0.03676804106829737,0.014720482974413565,0.018726386811128305,0.10474657301315396,0.05566357539720212,0.03899773261357651,0.04556972334785457,0.05249865149696708,0.07681592536056571,0.0828657876689771,0.08272449898911444,0.08194811438953312,0.08016210387084408,0.08275032281508037
I,34,7,Static,Left,8,88,0.12191625983026211,0.03677137677596533,0.014695400436871396,0.01871201317336007,0.10473224092895167,0.05566888288801926,0.03901442781843661,0.045580970448203535,0.05252554590863376,0.07681748101832025,0.08283282465906859,0.08271509059415935,0.08196564463847027,0.08015344913975939,0.08275140470106826
I,34,8,Static,Left,9,100,0.121759967070462,0.03676557387013021,0.014667725147411237,0.018683365114454127,0.10471984815688,0.055679597349478034,0.03903693128308109,0.045596665261836714,0.05255408324764124,0.07681917089503118,0.08279744461032598,0.08271538925738067,0.08199145841488621,0.08014288044486556,0.08275269062695186
I,34,9,Static,Left,10,111,0.12159616076587286,0.03675310675303517,0.01463855187510023,0.018641702658287407,0.10470719804292339,0.05569344139124465,0.039066004121230326,0.04561606667611765,0.052582264405405706,0.07682242188970603,0.08275830919611638,0.08272260260049845,0.08202378672068239,0.08013196181299945,0.08275422327591497
I,34,10,Static,Left,11,122,0.12157524865695311,0.03679713255132799,0.014631467903118965,0.01870333644032525,0.10471794101776437,0.05568262348345313,0.03906263476776737,0.04562819139523281,0.05262429451308585,0.07682300408731743,0.08275247688135988,0.08268793753625743,0.08201217315130734,0.08014443429833419,0.08275626984102177
I,34,11,Static,Left,12,133,0.12155794024250334,0.03683804145173842,0.014624408261533184,0.018764804155652674,0.10473031309988537,0.05567109319925379,0.03906080412638727,0.04564108424435145,0.05266853077502734,0.0768244229005335,0.08274784717441294,0.08265519718081853,0.08200132063570675,0.08015965256286979,0.08276053937716935
I,34,12,Static,Left,13,144,0.12123903091414087,0.03686177616447695,0.014617734981863653,0.01882027653888221,0.10464011546247455,0.055675253183079455,0.03903590351202333,0.045581562511612043,0.052661631697090414,0.07682592598856194,0.0826746419647524,0.08261134166081553,0.08195487569998502,0.08012870727148914,0.08275683601370946
I,34,13,Static,Left,14,155,0.1209305347255192,0.036925469340280515,0.014618439075359584,0.01879856606233574,0.10468420357436924,0.05566505884304801,0.0389380535337862,0.04552727908627959,0.052634139263409666,0.07682691472394294,0.08260311434201499,0.08255758175964223,0.08189405207950093,0.080052802880349,0.0827466620595659
I,34,14,Static,Left,15,166,0.1206184934286613,0.03699052151565311,0.014621277714344929,0.018772327958993282,0.10473452439382148,0.05565371111615103,0.03883472746138433,0.04547273400621508,0.052606052180333734,0.07682927809110267,0.08253187411539858,0.08250566080578951,0.0818341281190189,0.0799732256320826,0.08273576845597061
I,34,15,Static,Left,16,178,0.1204562543747729,0.037027341978597444,0.014621152895719256,0.018824282536128716,0.10470916541067454,0.05565034451825083,0.038821587525499295,0.04544559396685227,0.05260441071811374,0.07683039880151606,0.0824991777595389,0.08247604997816033,0.08183364529336336,0.07998907612918157,0.08273181629216175
