Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
Nummer5,34,0,Static,Left,0,0,0.17119211949444404,0.12296112927669453,0.0432854570265811,0.03258279429392154,0.04450968838354172,0.06136776477923901,0.08912028663553548,0.1005725408747338,0.09474111992688285,0.07686279795193528,0.09377258041133332,0.09538538339808661,0.09449843620928329,0.08728564991451909,0.0799195377927075
Nummer5,34,1,Static,Left,1,11,0.17115597228259374,0.12293959086478207,0.04328651164046372,0.03267204474776565,0.04454432365633133,0.06136927023356228,0.08912081353982347,0.10057391946722566,0.09474451757225849,0.07686373090736603,0.0937663126127928,0.09539208223956537,0.09451563289213052,0.08728827303252147,0.07990457337349346
Nummer5,34,2,Static,Left,2,22,0.17106296994966497,0.12294727015269584,0.043317030057472755,0.032730731446150095,0.04444775393650402,0.06136561269962198,0.08912102289583518,0.10057436864827939,0.09474430288940856,0.07686307506859184,0.09375735843655157,0.09539653367916469,0.09451155476977409,0.08726237725388891,0.07987598354324035
Nummer5,34,3,Static,Left,3,33,0.17108619261939287,0.12295805546201516,0.043309967963506946,0.032746956789906384,0.04442755377015488,0.06136458125009904,0.08912018957565108,0.10057342298539901,0.09474605482024048,0.07686352439226303,0.09375505971412948,0.09539676909099173,0.09450692759263729,0.08725348333447779,0.07987384258942344
Nummer5,34,4,Static,Left,4,44,0.17111891353383468,0.12296650848503426,0.04330335109434374,0.03276167581183838,0.04441398288827525,0.06136340367026581,0.08912073817580289,0.10057385440063438,0.09474654291318496,0.07686467448704899,0.09375278160140106,0.09539663756653063,0.09450351989740913,0.08724580134883278,0.07987297606199481
Nummer5,34,5,Static,Left,5,55,0.17109239238785576,0.12294622752244168,0.0433632139606833,0.032788133783428326,0.044360858704493134,0.061362927904395244,0.08912043835731491,0.10057382089788564,0.09474646466227658,0.07686526113271201,0.09375282720003696,0.09540107507779966,0.09449940484997771,0.08724254004784586,0.07986730583912291
Nummer5,34,6,Static,Left,6,67,0.17105955899335176,0.12292034315360494,0.04343475741845464,0.0328169935246969,0.04430446282260957,0.06136229136855949,0.08912141850868395,0.10057339120264355,0.09474762670378611,0.076865104267151,0.09375342059359748,0.09540548561796637,0.09449655287892786,0.0872386973424064,0.0798619077470604
Nummer5,34,7,Static,Left,7,78,0.17102010894921102,0.12289002377735966,0.043516084428633986,0.0328469897098653,0.0442432051958263,0.061361415906088644,0.08912191659182395,0.10057342277659626,0.09474933140661215,0.07686595060233119,0.09375619596058707,0.09541192779731483,0.09449216118811121,0.08723694644472607,0.07985473918935564
Nummer5,34,8,Static,Left,8,89,0.17114859215021316,0.12289903722161535,0.04343351324726103,0.03279057994302624,0.04427563380686954,0.06136129949732159,0.08912152051552986,0.10057396968400906,0.09475091037557369,0.07686603651808768,0.09375411089120309,0.09540310500712236,0.09447656321543464,0.08723587980871175,0.07986426508770987
Nummer5,34,9,Static,Left,9,100,0.17129755338299496,0.12300269845007467,0.04334712131157039,0.032840940196650875,0.044305691124278936,0.06135659401400959,0.08912137044502852,0.10057370483381818,0.09475223625329389,0.07686586036726566,0.09375654679007751,0.09539845847811174,0.0944781611855354,0.08724387768777814,0.07987024437799095
Nummer5,34,10,Static,Left,10,111,0.17144492809645903,0.12310818187675425,0.043264335913082055,0.0328980708704933,0.04433333159147867,0.061352233586072384,0.08912068653797507,0.1005731692749113,0.09475372335692131,0.076866063929409,0.09375854963148697,0.09539381484142469,0.09447930106113202,0.08725135489492412,0.07987589820465248
Nummer5,34,11,Static,Left,11,122,0.17150778450554366,0.1231225373073508,0.04319978552030091,0.03289291502740372,0.04427488844706442,0.0613543674566041,0.0891205985056204,0.1005742745337991,0.09475076318953843,0.07686642248732535,0.0937576024544143,0.09538443078930652,0.09447022346221068,0.08724009321407228,0.07986446158962068
Nummer5,34,12,Static,Left,12,134,0.17165500758789415,0.12313851380457702,0.04311811585633122,0.032918907758308164,0.04427165866556161,0.06135785443608665,0.08912064185697953,0.10057513747442763,0.09475168132017493,0.0768670082805362,0.09376569024435327,0.09537791280479979,0.0944655039048647,0.087243346961244,0.07987614060531473
