Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
B,36,0,Static,Left,1,11,0.06920097257987055,0.10195882149671988,0.03889394767826998,0.029402450255038313,0.03947690952949579,0.056502614470482715,0.08656572032854573,0.09752534836646327,0.09215706795466083,0.07463976722230585,0.06529008480619394,0.09293561945777308,0.09297735317269465,0.08511031666020286,0.07651775058115598
B,36,1,Static,Left,2,22,0.06923005781450717,0.10192969366676238,0.0388724822335801,0.02939552397900064,0.03947565179955862,0.05649073316925528,0.08656563155201949,0.09752634580460814,0.09215802388289354,0.07463875086709307,0.06530782189753387,0.09293662295349463,0.09297715898541978,0.08510900898847323,0.07651538193722887
B,36,2,Static,Left,3,33,0.06925765532415895,0.1020538465027164,0.039046707646099896,0.029398015766374345,0.03951441549611999,0.056481474741723936,0.08656581262253588,0.09752589043941087,0.09215703077356611,0.0746369194099007,0.06528060151377281,0.09295319685196426,0.09297446400490833,0.08511255395651111,0.07653650509397464
B,36,3,Static,Left,4,44,0.06913837064901086,0.10208447477457092,0.03905706473866156,0.029408751231563727,0.03947728026346291,0.05645897431764056,0.08656572574061863,0.09752717880160379,0.09215758997499868,0.07463381813226486,0.0652780274594752,0.09295495367111963,0.09297518139804829,0.0851145881327049,0.07653389979610341
B,36,4,Static,Left,5,55,0.06900989730466203,0.10210774824174709,0.039058246197186085,0.02942245730730193,0.03943414369553361,0.05643674052423651,0.08656544313985808,0.09752737302419265,0.09215702505506561,0.07462933086260388,0.06527586012455139,0.09295606869376515,0.09297563475986598,0.08511628025824425,0.07653168758756075
B,36,5,Static,Left,6,66,0.06928686747862095,0.10224864928692214,0.03920046573702913,0.029439023693050667,0.039529150180594615,0.05641346744351034,0.08656557420245084,0.09752672636257195,0.09215680623806358,0.0746313458206402,0.06526042981776935,0.09296793269724778,0.09297409680658372,0.08511693746252853,0.07655788334325866
B,36,6,Static,Left,7,78,0.06930219490030588,0.10212783719437121,0.039221442439053664,0.029457990121527285,0.03951076776019423,0.05640216189118996,0.08656568156030423,0.09752810577982116,0.0921572827290388,0.07463091149115077,0.065266523547681,0.0929734604604992,0.09297242560566002,0.08511758847030387,0.07655869450950686
B,36,7,Static,Left,8,89,0.06930647708547878,0.1019867912673008,0.03923153596279402,0.0294765892531683,0.03948593485027301,0.0563908069635468,0.08656545108182598,0.09752938360822341,0.09215764674729933,0.0746297035435624,0.06527435345524304,0.09297743658544255,0.09297019437432617,0.08511710172462406,0.0765582968789145
B,36,8,Static,Left,9,100,0.0693532887324025,0.1020213265989028,0.039224487581101634,0.029472439023602987,0.03950485482823608,0.05638021665442583,0.08656508659384564,0.09752869680253075,0.09215817714126077,0.07463032611479054,0.06527533705006815,0.0929806216907587,0.09297099398737214,0.08511847398185655,0.07656574096813788
B,36,9,Static,Left,10,111,0.06939574472545137,0.10205321871945056,0.03921159981434066,0.029468294165085344,0.0395227685518106,0.05636932294253675,0.08656510825962165,0.09752975454188331,0.09215749251146096,0.07462982924407652,0.0652750205898091,0.09298156779168656,0.09296955113369108,0.08511901531972758,0.07657205995661867
