Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
K,36,0,Static,Left,1,11,0.09331438204264134,0.05754613762017385,0.08850077618868656,0.0931111578544699,0.012262815255886426,0.059692291537517705,0.08656806142567819,0.09489525511847263,0.06349423589586696,0.05693761205916525,0.07336489702166837,0.09209877137074092,0.08055796597481837,0.06228780856636395,0.05770929877411442
K,36,1,Static,Left,2,22,0.0932799837478546,0.05759127164770712,0.08831419710329699,0.09333193571870238,0.012279453774496712,0.05969512023607963,0.08656915843994317,0.09492789074344804,0.06346925124026583,0.056950559523151346,0.07335822262023522,0.09210176360960734,0.08059318322290052,0.062292418479298166,0.05770559773540169
K,36,2,Static,Left,3,33,0.09324561257238868,0.057642918463589154,0.08812741542789054,0.09355820097671821,0.012300779609439373,0.059698545225156045,0.08657025688422075,0.0949606364974456,0.06344250742207469,0.056963512040603674,0.07335028708873592,0.09210432196156708,0.0806280505593431,0.06229623300007788,0.0576979913081902
K,36,3,Static,Left,4,44,0.09315501402501102,0.057754465749411926,0.08807874727764925,0.09368877702798763,0.012270493755346619,0.059698196538924005,0.08657048053464882,0.0949796647182964,0.06339300354928767,0.057002868743599104,0.0733498658962646,0.09210980172055541,0.08064405441196526,0.06229900386844078,0.05770168906539914
K,36,4,Static,Left,5,55,0.09306014217698143,0.05787258434699447,0.08803475914092102,0.09381991552969984,0.012239484874781286,0.059697111898315565,0.08656994761463109,0.0949983197009295,0.06334053973562272,0.057042063111356754,0.07335030975394728,0.09211639244455903,0.08065981101515175,0.06230160705792421,0.05770483111490752
K,36,5,Static,Left,6,66,0.09307142588893753,0.05774843909578866,0.0878270209275027,0.09399760798020348,0.012201407869586208,0.059698859252082875,0.08657019423566056,0.0950357992021954,0.06334206949571514,0.05706465436677949,0.07334943553975036,0.09211197929694048,0.08067212545235178,0.06229843508467929,0.05771555319842299
K,36,6,Static,Left,7,77,0.09292861738990849,0.057842648876067215,0.0874937234606003,0.09429318747926595,0.01221700008185321,0.059703739447374636,0.08657225311264578,0.09508457583120405,0.06326077430762289,0.05703567084728639,0.07334571734600463,0.09211026722901212,0.08071185891800534,0.062323285447736125,0.057743323241739405
K,36,7,Static,Left,8,88,0.09277593908444158,0.05795332055197515,0.08715929367543072,0.0945910463151772,0.012236915501873915,0.05970955565904001,0.08657408098270507,0.09513359214283881,0.06317519665976505,0.05700421237066609,0.07334225511258838,0.09210923873857609,0.0807536183337935,0.062350586677271946,0.05777201977601268
K,36,8,Static,Left,9,100,0.09266630900710368,0.05791474112866258,0.08730789405317259,0.09427268555101204,0.012248922483222825,0.05971426379015333,0.08657426032025922,0.09507268391078479,0.06310064690635102,0.05699225033283033,0.07330914004406273,0.09209150467334107,0.08071762541725319,0.062370784394618496,0.05779946980725689
K,36,9,Static,Left,10,111,0.09260456441234413,0.05795009409828419,0.08738717675952226,0.09419497394765824,0.012256075921762206,0.0597169132993325,0.08657363918653296,0.09504527721565126,0.06305157350138063,0.05699458326016603,0.07328602673770761,0.092090917934398,0.08071435491906012,0.06237123110056432,0.05780425488664314
K,36,10,Static,Left,11,122,0.09254050401310765,0.05799563530990924,0.08745789553836744,0.0941367313804765,0.01226523130642059,0.059719952268902546,0.08657248932542025,0.09502221377130718,0.0629996978246721,0.05699622099753628,0.07326298203731539,0.09209050680716233,0.08071329735551631,0.06237167579117951,0.05780620535029088
K,36,11,Static,Left,12,133,0.09247528729341697,0.05804879400986721,0.0875218945407376,0.09409269065129357,0.012272924264412222,0.059721561039544284,0.08657222245616673,0.09500070586053565,0.06294836815994526,0.05699894192877611,0.07324009891446083,0.09209223447718058,0.08071429159696573,0.06237075036425328,0.057808806093881594
