Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
P,36,0,Static,Left,1,11,0.04395250960980499,0.10968039238168327,0.1124755694451022,0.022757288019445557,0.010731311848977321,0.05957825920585462,0.08658115904167601,0.06546449268114744,0.05564521795266865,0.04827527617735609,0.07817517198573981,0.09321866290073035,0.08771197832109363,0.07978065937932576,0.07375754434632426
P,36,1,Static,Left,2,22,0.043938827806394645,0.10981589931335069,0.112586097241178,0.02254264460971693,0.01068939741051858,0.05957536254190983,0.08658209594945132,0.06525639053763242,0.05560182257804131,0.04831186026225865,0.07821265423190799,0.09321934042890462,0.08768860015418194,0.07976348496649321,0.0737515729594969
P,36,2,Static,Left,3,33,0.044059251241935556,0.10973345991537865,0.1125722226706037,0.022466743466733233,0.010689589421488557,0.05957592686647863,0.08658322943272556,0.06514686964851028,0.05556103319773666,0.0482838286592934,0.07821840293690487,0.09321852588943895,0.08768420139340952,0.07975705447168922,0.07373534807675354
P,36,3,Static,Left,4,44,0.044172670023443224,0.1096283664842272,0.11254067341632543,0.02238856518403983,0.010692307000830036,0.05957415944014659,0.08658344743656267,0.06504053426133587,0.055522879653346534,0.04825661867557651,0.07822287049833947,0.09321894898570784,0.08768064314317042,0.07975176250090023,0.07371909332730563
P,36,4,Static,Left,5,55,0.04394344734997471,0.10957740609267949,0.11242796183334455,0.022152796753457556,0.010673720485379073,0.05956843206766486,0.08658368879298228,0.06490491343496263,0.05554143183246181,0.04834672776931242,0.07822796163776738,0.09322096872485286,0.0876867142160088,0.07978415913575826,0.07374358376157207
P,36,5,Static,Left,6,66,0.043910897303516806,0.10959192128528446,0.11245902422660435,0.021948713811975402,0.010660524611856646,0.05956548119506797,0.08658583088473537,0.06474301306704845,0.055511996766464816,0.04835846141059489,0.07824612437047597,0.09321825073449941,0.08767168567445249,0.07978818828623696,0.07375147267682182
P,36,6,Static,Left,7,77,0.04390236290907358,0.10962393639164764,0.11251786269744024,0.021739204539264978,0.0106480693555217,0.05956373826414865,0.08658648185484846,0.06457315518851477,0.055475204731483395,0.048358463354411976,0.07826964648572265,0.09321564991995712,0.0876545394888365,0.07979042294661685,0.07375976904112432
P,36,7,Static,Left,8,88,0.04378845433444756,0.10943665776146501,0.11236943799361103,0.021463022946453757,0.01063155313206868,0.059560551525317515,0.08658749644723543,0.06440199295829277,0.05543952065088597,0.04837889757941994,0.07828646851787353,0.09321894240979135,0.08763311448875934,0.07981046656924146,0.07377899617777407
P,36,8,Static,Left,9,100,0.04366484797866588,0.10921767269998021,0.11219509152364919,0.021177783004837844,0.010615655325979653,0.05955852608149399,0.08658894054670031,0.06422772861467241,0.055400538634565566,0.04839976724117583,0.07830320921903525,0.09322277306002001,0.08761057686717968,0.07983342249333927,0.07380085544219665
P,36,9,Static,Left,10,111,0.04353486870314416,0.10897228265481099,0.11200016020077827,0.02088315014551206,0.0106001268388637,0.05955618898149885,0.08658971431988909,0.0640486437795523,0.05536109573518213,0.04841971703758706,0.0783199512448775,0.09322629005275282,0.08758517635992975,0.07985561771722759,0.0738231535563199
