Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
W,36,0,Static,Left,1,11,0.027066728468730775,0.11073442865703513,0.04383829993282132,0.04245017532354846,0.11105842764058922,0.057236558745263504,0.08653846991945262,0.09750586672605913,0.0920129820025413,0.04741105147536813,0.07046561418167016,0.09242070857767742,0.09276540852063332,0.08566971941707288,0.0732964333375096
W,36,1,Static,Left,2,22,0.027150551467695905,0.11067665377576252,0.043849451912196115,0.04252668327062439,0.11099387797982381,0.05724193960724951,0.0865383344246931,0.09750697986298214,0.09200502347698203,0.04742320466817914,0.07045830980799918,0.0924214817561371,0.09276515581833499,0.08566927736942795,0.07329516741231981
W,36,2,Static,Left,3,33,0.027235979163599065,0.11062190850821559,0.04386432347591836,0.04260647163284005,0.11093109343191387,0.0572497726982387,0.08653862339441279,0.09750813158398654,0.09199789285630391,0.04743500016865192,0.0704517074597912,0.09242287997027579,0.09276573270879707,0.08566874871270162,0.07329361493336238
W,36,3,Static,Left,4,45,0.02723328894937238,0.11059499042452137,0.0438537569428208,0.04261045839931787,0.11089446217462812,0.05724633271223584,0.08653870614355176,0.09750831336865597,0.09199610695024016,0.04744393703098426,0.07044359283142794,0.0924219399168833,0.09276673035630821,0.08566830530598808,0.07329644680337516
W,36,4,Static,Left,5,55,0.027197899275495593,0.11057215016901856,0.04384412966407251,0.04257040650498895,0.11088712605167471,0.05723894660980417,0.0865399063900579,0.0975076076108938,0.09199790696532181,0.047456185297598465,0.07044531985164092,0.0924201635899872,0.09276813641547388,0.08566965552049334,0.07330428050257363
W,36,5,Static,Left,6,66,0.02715264703486567,0.11055128474151717,0.04383685606883777,0.04251224704717459,0.11089233530772084,0.05723230820087552,0.0865402639526827,0.09750730801842493,0.09200104705382428,0.04747112322243914,0.0704500614123225,0.09241729890015188,0.09276616517351571,0.08567002901832126,0.07331128751427031
W,36,6,Static,Left,7,77,0.027116124538731554,0.1106181400404112,0.043928911778007826,0.042503362949300835,0.11091192494046802,0.05722926574751764,0.08653919071726991,0.09750829008858675,0.09200513427521322,0.0474766736092579,0.07046253968599199,0.09241891219333837,0.09276354192245989,0.08567044247580373,0.07331885245965042
W,36,7,Static,Left,8,89,0.02702685547746917,0.11067491331824017,0.04395504304400121,0.042483754094947854,0.11092585232487506,0.05722609780510992,0.08653924670922421,0.09750829819558951,0.09200784393191697,0.04750579279414249,0.07045662491206912,0.09242180933632496,0.09276277747027632,0.08567210779477757,0.07332761588242183
W,36,8,Static,Left,9,100,0.026914832286306464,0.11073489068039943,0.043962788287368666,0.0424609784743593,0.11094030339781856,0.05722016946846621,0.08653995052575446,0.09750801990605702,0.09201216141902123,0.04754348579984437,0.07044426847515704,0.09242444725287782,0.0927621516891453,0.08567366115674072,0.07333867357676992
W,36,9,Static,Left,10,122,0.02683456358877496,0.11080276748348834,0.04401247191421997,0.04244613142560816,0.11092406350292078,0.057217461373255646,0.0865392006780741,0.09750759095065374,0.09201158156449642,0.04757571004199521,0.0704483959576086,0.09242306009324729,0.09275874689213963,0.08567525381929134,0.07334583956844458
W,36,10,Static,Left,11,133,0.02666398331082596,0.11094691782109133,0.04411502131927405,0.04241632787029076,0.11087385335596488,0.05720987143841517,0.0865384485301186,0.09750792461128491,0.09200815169864027,0.04764847709003933,0.07045915609060333,0.09241874417021698,0.09275353529650508,0.08567773837467942,0.07335835214207037
W,36,11,Static,Left,12,144,0.026614207803352018,0.11094854584445896,0.04414233916547687,0.04236163483625246,0.11088383151298481,0.05720807038346952,0.08653957444429697,0.0975079113662066,0.09201034283709635,0.04766620528214939,0.07045301419385833,0.09241858637200623,0.09275188643364622,0.08567861120489753,0.07336736862529548
W,36,12,Static,Left,13,155,0.026618113607091015,0.11085259871108118,0.04417839917878423,0.042355771271457295,0.11086959304065293,0.057206572367167766,0.08653935757214748,0.0975096831140376,0.09200929594883331,0.04767987618482247,0.07043267625896375,0.09241857299266194,0.09274935991692886,0.08568058441093872,0.07337363723436373
W,36,13,Static,Left,14,167,0.02664171009901567,0.11072096381896249,0.044217780236009134,0.04236651613007604,0.11084529591281712,0.05720455077176984,0.08654052327667063,0.09751107318145974,0.09200831226036045,0.0476915521764599,0.0704058317826017,0.09241820978032404,0.09274734257109461,0.08568364180518932,0.07337927905751045
W,36,14,Static,Left,15,177,0.0265148082964971,0.1107949892052887,0.044266378087663726,0.04226641840752535,0.11089802698876114,0.0572020794552086,0.08653962789959302,0.09751015998858778,0.09201481034050998,0.04772037617202941,0.07039704807731641,0.09242053627305988,0.09274497343791718,0.0856839183627825,0.07339088590553998
W,36,15,Static,Left,16,189,0.026368187101126213,0.1108923204464583,0.04431994585962398,0.04215162547280946,0.11095915427759899,0.0571992371365214,0.08653998646290624,0.09750997030560514,0.09202111520732624,0.04775088007565931,0.07038826954116711,0.09242257547807228,0.09274211610697689,0.08568462747190995,0.073403150647639
W,36,16,Static,Left,17,200,0.026209034835338773,0.11100509048687807,0.044375108450571736,0.04202501027959425,0.11103017608740422,0.05719619919190449,0.08653921095665239,0.09750896593647183,0.09202871309542465,0.04778358957843161,0.07038132731769131,0.09242534640454422,0.09273951868001029,0.08568486237370057,0.07341616097971887
W,36,17,Static,Left,18,211,0.026003876595615528,0.11088668218050346,0.04429226652588469,0.041844834292896975,0.1110120294742871,0.05718402586387221,0.08653926102642649,0.09750942203192477,0.09203145296038734,0.04782822255739808,0.0703324383979398,0.0924192932292818,0.09273798945955196,0.08568410409171576,0.0734384477572885
W,36,18,Static,Left,19,222,0.025970621132348798,0.11086796124219113,0.044297788567828025,0.04180005220092431,0.11104109449208431,0.05717793702119723,0.08654050707616642,0.09750989663618749,0.09203359009079248,0.04781340039152201,0.07030901755109369,0.09241738754693304,0.09273580241201339,0.08568411367342267,0.07344082152318282
W,36,19,Static,Left,20,233,0.02593633815711077,0.1108577301995671,0.044308330018180526,0.041755064950254876,0.11107147126062558,0.05716936320268051,0.08654063176912932,0.09751000591221404,0.09203546276300227,0.04779899649574242,0.07028627022399189,0.09241438792742177,0.09273393211764502,0.08568459578010515,0.073443717866132
W,36,20,Static,Left,21,244,0.025912866109328716,0.11087688171120255,0.0443486141722602,0.041723362484344446,0.1110912125057602,0.05716592832273441,0.08654072757378464,0.09751078312166311,0.09203713318547037,0.04781566473447793,0.07028279304353234,0.0924134059214355,0.09273189105696064,0.08568611898084784,0.07344739743517122
W,36,21,Static,Left,22,256,0.025890694003830816,0.11091728256227702,0.04436894785770784,0.04168754304345605,0.11115756696689613,0.057160749968837896,0.0865412392908723,0.09751019973828388,0.09203947610129044,0.047814758987157965,0.0702829722194501,0.09241247314080486,0.09272911365908763,0.08568755653535702,0.07344852131935665
W,36,22,Static,Left,23,267,0.025871589263127975,0.11096875311546049,0.04438258079472173,0.04164832987047628,0.1112413594397336,0.057155762937782476,0.08654094203901426,0.097509594481774,0.09204365182346907,0.047809059005590133,0.07028391163701689,0.09241063878147356,0.09272603809610325,0.08568760952436465,0.0734461567748783
W,36,23,Static,Left,24,278,0.02593314583693999,0.11095993554432146,0.044423953662410615,0.0416777816348232,0.11120441693565938,0.05716073592073494,0.08654119115195939,0.09751023910851626,0.09204059274580971,0.047849537489927686,0.07031607987508966,0.09240721781332877,0.09272441765791789,0.08568950802169405,0.07345178050258547
W,36,24,Static,Left,25,289,0.02601044178786678,0.11094448111555608,0.04446978251577135,0.04171676033682386,0.11115291014633862,0.0571683497837746,0.08654033064993458,0.097511197003216,0.09203575902876011,0.0478960342095251,0.07035254755159905,0.09240355241547801,0.09272273133919219,0.08569071703516072,0.07345784032354886
W,36,25,Static,Left,26,300,0.026098959174649158,0.11092458108552854,0.04451970541232276,0.04176512030390914,0.11109102661781463,0.05717590266012419,0.08653981125470521,0.09751241568641403,0.09203102425269423,0.047946702420500246,0.07039496963562093,0.09240059256844627,0.09272100185502748,0.08569248572074446,0.07346475642102136
W,36,26,Static,Left,27,311,0.02607292858502857,0.11095831488897087,0.044576141656720324,0.04180419893981935,0.1110956213628604,0.05717983169789843,0.08654012512124062,0.09751116884747088,0.0920310893176866,0.04798056725383727,0.0703976357202428,0.09240489321459126,0.09271985369380183,0.08569331494346577,0.07346147280717974
W,36,27,Static,Left,28,322,0.026068951705045612,0.1109530835398457,0.044585117528161806,0.04188015346199203,0.11104203706254662,0.057186057304206624,0.08654094345452906,0.09751107841163477,0.09202984684329306,0.048020975698125884,0.07040781190322562,0.09240611452171334,0.09272006111408693,0.08569382043648183,0.07346293523947971
