Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
X,36,0,Static,Left,1,11,0.04354512815459397,0.060771108349280414,0.08407334750680487,0.01493804836650365,0.011450950877547224,0.05712380956308853,0.08402099641161123,0.05170725900683577,0.04697565991021309,0.03923958401920184,0.07250207039112748,0.09051137777097414,0.08491729299147491,0.07833547948407536,0.0723223640515159
X,36,1,Static,Left,2,22,0.043582061034329274,0.060962136855592576,0.08422061691771207,0.014930217245572912,0.011467762859424604,0.05711093252609356,0.08401425994436905,0.05167069970495848,0.04696842046524455,0.03921352660753684,0.07253516759476054,0.09052932338750785,0.08488958398413783,0.07830057503620268,0.072289339476855
X,36,2,Static,Left,3,33,0.04360922017188575,0.061167129587712345,0.0843554582288543,0.01492183132192556,0.01148925572001959,0.057097640984545076,0.08400866056544405,0.05164255413900439,0.046967244021764776,0.039189869239383786,0.07257339546280042,0.09054598052923174,0.08486396722402291,0.0782670108666481,0.07225491379830176
X,36,3,Static,Left,4,44,0.04366082127033323,0.061013005580777685,0.0841796275591665,0.014912344181918549,0.011512655340971486,0.05709172693131641,0.08397686585006602,0.05151342454156973,0.0469092306694535,0.0391504227946519,0.07257293433505359,0.09051658281773549,0.0848510926329177,0.07824396907749501,0.0722138201800735
X,36,4,Static,Left,5,55,0.043708587439998496,0.060894849946444486,0.08412657329286616,0.014902811177761034,0.011510108817904355,0.05708989548072407,0.08397450049866315,0.05145745032548736,0.04688761158344494,0.039148918171515286,0.0725762037998682,0.09050067630134048,0.0848396970822033,0.07823256603870281,0.07219889553864382
X,36,5,Static,Left,6,66,0.04375131332885916,0.06078714062200982,0.08407580853610641,0.014892990868190228,0.011507716498072102,0.05708759506232508,0.0839722749304794,0.051407533552972604,0.046869621227400605,0.039150424889137524,0.07258222254106042,0.09048403904004286,0.08482772268545248,0.078220856707147,0.07218320864993469
X,36,6,Static,Left,7,77,0.04379671317576252,0.06072443122006152,0.08419223884064361,0.014836550070686884,0.011491170915098343,0.057082099970130744,0.08398068035566263,0.051261752184255265,0.04679351980776821,0.039106641187910796,0.07257071020046577,0.09046376417660273,0.08477071495510696,0.07818306159904463,0.07216534603949465
X,36,7,Static,Left,8,88,0.043762712747269186,0.06068588739567062,0.08415233306926198,0.014824180145964132,0.011475747470208734,0.057083016694985465,0.08398108575744906,0.051209290856249916,0.046776916935599745,0.03910981494458902,0.07256313309801339,0.09044392862431404,0.08474877524188776,0.07816306228008217,0.07215534952448095
X,36,8,Static,Left,9,100,0.043705867443628255,0.06065865648034083,0.08408593564324535,0.014819139414959277,0.011457612709460928,0.0570826215585794,0.0839802908425542,0.05117384035813612,0.04677101312779102,0.03912411256501544,0.0725562591235244,0.0904246863030223,0.08473333755376329,0.07814642182467471,0.07214889730273079
X,36,9,Static,Left,10,111,0.0437299116623851,0.06055879600850733,0.08400882935739541,0.014805886565822445,0.011455362892549581,0.05708802824585899,0.08397426180086376,0.05111069447777048,0.0467608518100344,0.039141596403315,0.07255286265889174,0.09040565022718451,0.08471861078299157,0.07812822036242728,0.07212334649751075
X,36,10,Static,Left,11,122,0.04375966637212844,0.06045236097953498,0.08392022843748687,0.014793238252661186,0.011456755736245786,0.05709373216912694,0.08396792369708801,0.05105029938207999,0.04675369423906518,0.03916453999474527,0.07254786065074569,0.09038591533530003,0.0847057238502808,0.07811061957890249,0.07209634268116515
X,36,11,Static,Left,12,133,0.04379330402013542,0.06033992563800508,0.08382323179166973,0.014781442757728308,0.011459514605776319,0.05709982842356017,0.08396063016676329,0.05099174288058802,0.04675055176144981,0.03918950125990379,0.07254350646336316,0.09036604604053458,0.08469441359381384,0.07809458373024347,0.0720675658392873
X,36,12,Static,Left,13,144,0.04373767371500214,0.06032054504893012,0.08381835546585244,0.014748116964548428,0.011445209565578056,0.057082764622957805,0.08395560463125736,0.050853440925860666,0.0467024048738392,0.03920684895525269,0.07252077989790233,0.09035483926165769,0.08468290610270769,0.07808973568273879,0.07205447868106477
X,36,13,Static,Left,14,155,0.04362799409782665,0.06041440097360887,0.08383033170636989,0.014728685650797203,0.011442164611645777,0.057078148682310925,0.0839578086779306,0.05082613192049932,0.04669866304296088,0.039211382607605136,0.07250586713501186,0.09035059599139333,0.08467841577403284,0.0780942959824851,0.07206091923504711
X,36,14,Static,Left,15,166,0.04351891254385844,0.060510367681910385,0.08384020323210083,0.014710077464106052,0.011440698274143919,0.05707682435104468,0.08396123942629712,0.05080354278984882,0.0466972825226479,0.03921548221047396,0.07249248927992466,0.09034599265601108,0.08467526371969555,0.0780998868693163,0.0720682561187656
X,36,15,Static,Left,16,178,0.04343943021035156,0.06059994952143115,0.08389810136707505,0.014687089500646542,0.011422702394792547,0.057067980970067586,0.08396445387781674,0.050716171789676724,0.046677356362587644,0.03921855369592307,0.07248773905289096,0.09034274768347482,0.08465332322478554,0.07807920943503464,0.07206035781898402
X,36,16,Static,Left,17,189,0.043420595965509415,0.06068160533473045,0.08405144513927162,0.014671938488148125,0.0113943398667935,0.05706180391470291,0.08396391053899295,0.050624445409307946,0.046627997276314566,0.03919699244840095,0.07247144401762666,0.09034741534211162,0.08461486172062224,0.07804484482014179,0.07205296048046882
X,36,17,Static,Left,18,200,0.04342008551350389,0.06075939879557732,0.08423093897731397,0.014658710618604952,0.011364012935578652,0.05705519307652894,0.08396191559272562,0.05052781779376582,0.046569440559233684,0.03916878924603109,0.07245349814881269,0.09035318611980438,0.08457084214432303,0.07800588529720055,0.0720459820600706
X,36,18,Static,Left,19,211,0.0432253776733066,0.06082763159946309,0.08415104592338693,0.014623444019792443,0.01134608117369163,0.05705106155015874,0.08395354659572167,0.05045972918080315,0.046555635158378,0.039192178071650964,0.07243093674666916,0.09032870651127464,0.08455117382981742,0.07799871729073499,0.07204452074238533
X,36,19,Static,Left,20,222,0.043002669568295404,0.060893379755109674,0.08403453858384656,0.014585888797053163,0.011328234504987971,0.057047748430591044,0.0839415360891138,0.05039572031432825,0.04654904450147176,0.03922146413636288,0.0724068183944026,0.09030075746083199,0.0845341209749058,0.07799464408534734,0.07204395931651734
X,36,20,Static,Left,21,233,0.04276022470708021,0.06095897508160712,0.08389299520818169,0.014545580153434922,0.011312226703881035,0.05704435689005527,0.08392952507312314,0.05033547586941045,0.04654552864669173,0.039256429460662864,0.07238113799879085,0.09026811942208605,0.0845184735546023,0.07799450537698162,0.07204286936262325
X,36,21,Static,Left,22,244,0.04274137439296949,0.060958408287946624,0.08399423048043238,0.014529243751826761,0.011273697086581665,0.057031629417367995,0.0839353620651033,0.050272150202671846,0.04647884121834362,0.0392471063137144,0.07237977234697553,0.09026200701291782,0.08447018540289825,0.07795328517772682,0.07204126054560678
X,36,22,Static,Left,23,256,0.042705576649894425,0.06099005876370326,0.08410059535461091,0.014494979061730275,0.01126282273677425,0.057017564083359465,0.08393792756555277,0.05023779137263106,0.046480233788138356,0.03925269197137949,0.07238022498583442,0.09026571598896233,0.08444519352218936,0.07794203575093489,0.0720472968403396
X,36,23,Static,Left,24,266,0.042660982478138,0.061021960186477125,0.08419368595090715,0.014461060265416272,0.011252952901349941,0.057003817740568896,0.08393746449589719,0.050206279886085926,0.046486184065806034,0.03925940715293596,0.07238023996229917,0.09026992283701141,0.0844228034656513,0.07793487030206687,0.0720551624382319
X,36,24,Static,Left,25,278,0.042448755623692914,0.06112972884775478,0.08420579858893351,0.014405121901601365,0.01124052303053566,0.05699172906659341,0.08394159963331654,0.050186734213335735,0.046533022145568814,0.039299310566471776,0.07237474331560692,0.09026624222819941,0.08441501056684163,0.07795356642258248,0.07208428744879143
X,36,25,Static,Left,26,289,0.042395307122369184,0.06125610735265502,0.08442182701766172,0.014364013123079448,0.01123140071406953,0.056976678746659154,0.08395290519690199,0.05015209832100745,0.046524366809232345,0.039271267983094216,0.0723616197579905,0.09027477036248825,0.08437070120604653,0.07793288807044169,0.07209412859588492
X,36,26,Static,Left,27,300,0.04236764788137301,0.06139389055924053,0.08468157099392996,0.01432494502607255,0.011222579248996278,0.05695942876293621,0.08396607845433782,0.050113631788167134,0.046503279400489594,0.0392285721509208,0.07234649402700878,0.09028554924238992,0.08431871934511354,0.07790310662611619,0.07209972569989433
X,36,27,Static,Left,28,311,0.042203065575855916,0.06145314581858291,0.08477328822807331,0.014265407039408401,0.011209410600027088,0.05694119196153166,0.08397089433845509,0.05003399622256848,0.046503015794677235,0.039214603784814665,0.0723285201632108,0.0902770349812176,0.08428395349649886,0.077900406417425,0.07212676872008064
X,36,28,Static,Left,29,322,0.04202452253149345,0.06150264221966409,0.08485055364580728,0.014205537054261613,0.011195660721904711,0.05692244383369351,0.08397260445526271,0.04994517289989097,0.046502641623890575,0.039200585888478766,0.07230795799218774,0.09026347386401636,0.08424859018998462,0.07789779188783205,0.07215445681314483
X,36,29,Static,Left,30,334,0.041833891810349355,0.06154545288646417,0.08491818211667024,0.014146247488291748,0.011181715834343214,0.05690244515835865,0.08397379356680267,0.0498514287458243,0.04650148267528678,0.03918554829270606,0.07228782690052311,0.09024866626161306,0.0842125366913978,0.07789675165242782,0.07218475432527285
X,36,30,Static,Left,31,345,0.041825363130521674,0.06176736563105147,0.08504680811764771,0.014220181925699802,0.01117077163852171,0.056893860134464284,0.08400336319457676,0.049991646462184076,0.0464827609012201,0.03916654220122068,0.07229212141028929,0.09027237207473834,0.08422481661600702,0.07788238781008204,0.07219027629812762
X,36,31,Static,Left,32,356,0.04181075700103989,0.0619104336037149,0.08511218643649096,0.014244851069772538,0.011174230622284499,0.05689018953211532,0.08402287525430199,0.050046072703060336,0.046482421978636154,0.03916534479613321,0.07229723677292242,0.09028364222825756,0.08423193213977698,0.0778798448508983,0.07218497165615567
