Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
G,6,0,Static,Right,1,11,0.11127001180012519,0.05240816888615755,0.09280538594823043,0.01929615767452156,0.015985471653973866,0.06850180957463824,0.0967805961182302,0.04058459831019663,0.03943704930645802,0.03514039062105042,0.1021441544974552,0.09934488370318817,0.09240291495943181,0.08503174309632847,0.07920245206431425
G,6,1,Static,Right,2,21,0.11125675266697298,0.052399319661614,0.09285127554320405,0.019320686685519232,0.015979447205707625,0.06849856878066868,0.09677652579525678,0.04055399065443496,0.039445196348858604,0.035122413214356364,0.10212388768549698,0.09937029675411052,0.09240246936635402,0.08502389971649146,0.07919053158680017
G,6,2,Static,Right,3,32,0.11122113201186183,0.05237279777709037,0.09290740623868476,0.01934206519480277,0.01596519868338623,0.06849738716184725,0.09677833531839658,0.0405473127223002,0.03945816260293938,0.03510233515024319,0.10209355343507248,0.09939730833880756,0.0924013031347502,0.08501958025655025,0.07918365821935734
G,6,3,Static,Right,4,43,0.11120727370545506,0.05254268256379756,0.0929820428577475,0.019352236821618386,0.015962586569851337,0.06851076267273634,0.0968026116073322,0.04056968172169946,0.03942582931277417,0.03504735569197762,0.10206256583586364,0.09946788089127068,0.09248500100556849,0.08508025679909526,0.07921116818353328
G,6,4,Static,Right,5,56,0.11119045664984023,0.05273857086611286,0.09306362547741201,0.01935920876482293,0.015961266741709494,0.0685282313211132,0.09683062032745633,0.04060682846517332,0.03938893027234943,0.03498650224014974,0.10202901609346235,0.09954646839039552,0.09258163713177682,0.08515274940364524,0.07924522229131546
G,6,5,Static,Right,6,65,0.1111687874630285,0.052957595300391,0.09315295733899166,0.019364522431498256,0.015959419475657627,0.06854586250825064,0.09686486403748264,0.0406546696087915,0.03934747253636507,0.03491896868465618,0.10199168017539471,0.09963213755109342,0.09269084858280238,0.08523417673679964,0.07928605166736455
G,6,6,Static,Right,7,77,0.11122367485836818,0.05315617760900433,0.09314845768449416,0.019396558741178866,0.015989756377130966,0.06854252918444138,0.09686022168568477,0.04052919972069513,0.039302002468067775,0.034830452150381344,0.1020261444973787,0.09965395854656246,0.09272561804053933,0.08526020885501047,0.07926989224163236
G,6,7,Static,Right,8,88,0.1112033979426888,0.05293635482350479,0.09299484896487542,0.01941898568411858,0.016023399046394632,0.06854159380989036,0.09684206768754991,0.04040471835070749,0.03927504267343328,0.034818954292166804,0.10203917406074983,0.09959965592812053,0.09274814860685894,0.08528741389560354,0.07925563791302166
G,6,8,Static,Right,9,99,0.11117365251713197,0.0526783395524196,0.09282740119706034,0.019441329018356775,0.01605728959071246,0.06853959780302184,0.09682351008406997,0.04028026505622822,0.039250332304325834,0.034814798994106035,0.10204958327205456,0.09953771828307104,0.09277013811027775,0.08531650219037354,0.0792407519777545
G,6,9,Static,Right,10,111,0.11115580984366044,0.05304947949791779,0.09314326909122313,0.01944309448107474,0.01603637318722657,0.06853907076259494,0.09685728809439176,0.04036939619315613,0.039298997010101935,0.034809310133928226,0.10202685059826162,0.09962933408389331,0.09271124916643085,0.0852516624002137,0.07921299127668394
G,6,10,Static,Right,11,121,0.11113298164811383,0.05276950939699922,0.09311977541317416,0.019441937789222628,0.01603415018016236,0.06854223238996526,0.09684356113340734,0.04032308898137631,0.03931177392334276,0.03477320681214209,0.10200144582308625,0.09960236788851959,0.0926738233213673,0.08523092718608656,0.07920038599022099
G,6,11,Static,Right,12,132,0.11110635903043534,0.05236570200045064,0.09304146158568229,0.019437203322494722,0.016035222792340615,0.0685451014879984,0.09681914567894102,0.04025684115774596,0.03932129879594505,0.03473106426529427,0.10197394872221043,0.09955331808131763,0.0926374307394155,0.08521759499070602,0.07919084626394643
