Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
Å,7,0,Dynamic,Right,1,11,0.116411150784622,0.07340068635237684,0.016723043562701115,0.016895230717572346,0.013342985910207673,0.0693032686458583,0.05351314621660734,0.057613429493478266,0.05431088946058602,0.046215869114407074,0.09431636770995797,0.09208583064728254,0.08715200694189443,0.08078575285283911,0.07484407207655125
Å,7,1,Dynamic,Right,2,22,0.11644996818376549,0.07342662749302865,0.016745845992364807,0.016911405796089192,0.013336326068299334,0.06930346159464194,0.053501636189933297,0.057581503010949685,0.05431011796157309,0.046217912317628486,0.0943114835955834,0.09207582504653433,0.08712472320185587,0.08075042482241199,0.07482546498352013
Å,7,2,Dynamic,Right,3,33,0.11649997511158536,0.07347091965533026,0.016765131344549645,0.016926796123306973,0.013327205933728185,0.06930383379005806,0.05349293909480006,0.05755758835288366,0.05431162841418034,0.04622096894267794,0.09430721826032193,0.09206035897170943,0.08709312065829308,0.08071167059973425,0.0748071846415837
Å,7,3,Dynamic,Right,4,44,0.11648203964560373,0.07340659144790744,0.016790462858420573,0.016917403878846195,0.01334801322294816,0.06930277785918833,0.05340493971534836,0.0575038407934635,0.05430422935646911,0.046190414167876795,0.09430569364571789,0.09207193169473522,0.08708725841361638,0.08070318875360497,0.07479728969020201
Å,7,4,Dynamic,Right,5,56,0.11649588652823756,0.07338629622756551,0.01678912728524029,0.01694590174644009,0.013343633125951847,0.06930297041974463,0.053310938314758624,0.05742265932539181,0.05424974563074021,0.04616635962473116,0.09430236682077496,0.09207335268686588,0.08707639513094234,0.08067495051129565,0.07477074685329817
Å,7,5,Dynamic,Right,6,67,0.11651586079156773,0.07337379192191165,0.016784086183048517,0.01697944572122427,0.01333517922639211,0.06930261831994504,0.053214498729199755,0.05733965387059806,0.054188214927233136,0.046145039050801626,0.0942977345698188,0.09207186469274968,0.08706559196950314,0.08064243891401106,0.07474291882178535
Å,7,6,Dynamic,Right,7,77,0.1165403018745017,0.07336698786920448,0.016775745616812394,0.01701619939939588,0.01332505981224845,0.06930286569110973,0.05311488516414202,0.05725224814799857,0.05411999035476651,0.046122262617959146,0.09429273713282484,0.09206823650966717,0.08705355819264378,0.08060700697830188,0.07471149928893148
Å,7,7,Dynamic,Right,8,89,0.1166389355832776,0.07333956908790767,0.016791106515057313,0.01706052206117972,0.013342351404456429,0.06930308089832649,0.052993930982707646,0.05722082479307671,0.054073071764049,0.04610038916321639,0.09431365999684246,0.09207466349110377,0.0870205418162861,0.08054651135213742,0.0746557662474909
Å,7,8,Dynamic,Right,9,99,0.11674314137455785,0.07331414928920613,0.016805286400415783,0.0171078603571575,0.013359831922595428,0.06930311841468605,0.05287092275532944,0.05719027288796577,0.05402596630325097,0.04607963316911288,0.09433451857088154,0.09207913523703402,0.0869844696598191,0.08048107772638231,0.0745975275595646
Å,7,9,Dynamic,Right,10,111,0.11673063783343259,0.07328881983631601,0.01678548328169316,0.017118135237227244,0.013387169118226603,0.06930347611772437,0.05278544787154882,0.057093852436142206,0.05400108921123726,0.0460474377137318,0.0943256170825296,0.0920489665178268,0.0869685972118672,0.08045403160190291,0.07454625003982425
