Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
F,8,0,Static,Right,1,11,0.1432269366215727,0.1025261862550246,0.0876432485306198,0.030886454911498013,0.04687357842111053,0.0585904555623184,0.08160733532593745,0.09635753732843103,0.08993737458365131,0.07325716167037882,0.07864048521594962,0.08352740508958717,0.09115055059076704,0.08342700937945695,0.07483334066443911
F,8,1,Static,Right,2,22,0.14321582282345763,0.10250478865399407,0.08774554933442492,0.03086333737624631,0.04685545613906662,0.05859704365409582,0.08159817616221578,0.09635583337297239,0.08993072997035,0.07325825727520412,0.07866295042140234,0.08351329385193725,0.09115577967962314,0.0834243011418137,0.07482909309219253
F,8,2,Static,Right,3,32,0.14319364968461415,0.102464674937268,0.08785380937671398,0.030849550142587178,0.046826381218283315,0.05860327065958017,0.08158748499003995,0.09635405297132038,0.08992409283946107,0.07325860780822965,0.07868380969424396,0.08350118004555387,0.09116192416793308,0.08342125502532319,0.07482549766623675
F,8,3,Static,Right,4,44,0.1431642837232806,0.10241259435245256,0.08796372278388401,0.030845067903961604,0.04678929614773013,0.058611285909797375,0.08157784189962371,0.0963505308496014,0.08991777476116715,0.07325699159124682,0.07870522039229673,0.08349011084553672,0.09116903137030702,0.0834193378360199,0.0748222292303565
F,8,4,Static,Right,5,55,0.1429582365797788,0.1024908590363063,0.08788557204683818,0.030750112682720345,0.046752907332057905,0.058621518540549644,0.0815540492005149,0.09634387365058561,0.08990373183021928,0.07325494390141869,0.07866437166214446,0.08346565828530916,0.09116067903432923,0.0834188050801495,0.0748155775022822
F,8,5,Static,Right,6,66,0.1427379866959038,0.10256965935889618,0.08779804365702018,0.03065550500318008,0.04671199869412569,0.05863228812693555,0.08152762065705098,0.09633694081192319,0.08988914704790565,0.07325209392911589,0.07862132889362786,0.08344235097958354,0.09115145803002823,0.08341802458701611,0.07480904430615332
F,8,6,Static,Right,7,77,0.14263082674863806,0.10259259546380531,0.08785924232543776,0.030591462485471305,0.04664180526094602,0.05864000260061403,0.08152200891170433,0.09633463475303164,0.08988303031162237,0.07324411596162517,0.07862612701894953,0.08343112812973343,0.0911553184460456,0.08341496401725525,0.07479529068731534
F,8,7,Static,Right,8,88,0.14246623958678772,0.10274221435709864,0.08777181988542784,0.03051388952591914,0.046583117682267715,0.05864368730733091,0.08151513910924765,0.09633202837582097,0.08987674549626287,0.07323968706241178,0.07858014892452171,0.08340828261629661,0.09114439472617071,0.0834188828023968,0.07479032242877413
F,8,8,Static,Right,9,99,0.14229263033973336,0.10290681743694148,0.08766583608225043,0.030433893244210433,0.0465250821385626,0.05864920412929733,0.08150792036360639,0.09632997009238606,0.08987025137385558,0.07323501710930384,0.0785279891312646,0.08338456102300958,0.09113186115184978,0.08342382892795097,0.07478588704428143
F,8,9,Static,Right,10,110,0.14221077163492216,0.1029869392156112,0.08787967890815253,0.030371584433479898,0.04642712554100249,0.05865533607439314,0.08149763126005564,0.0963299760458809,0.08986110097812078,0.07322606063417571,0.07854070069078836,0.08332821775965218,0.09113101487967755,0.08342103928865917,0.07478062685615841
F,8,10,Static,Right,11,122,0.14213277183675832,0.10306703898434261,0.08811279508107765,0.030310130468211398,0.04632604298879852,0.05866004944593893,0.08148798725579129,0.09633011547278453,0.08985108563061442,0.07321616402817062,0.07855711442638408,0.08326931269081077,0.0911306004643885,0.08341900299691925,0.07477689415187032
F,8,11,Static,Right,12,133,0.1420562902725536,0.1031473856673062,0.08836059314536097,0.030250389022291928,0.046221664736355014,0.05866645619091035,0.08147813287011428,0.09633098519687221,0.08984260306224444,0.07320670915974843,0.07857433559375478,0.08320661833051504,0.09113020189267662,0.08341535691346051,0.07477226759300544
F,8,12,Static,Right,13,144,0.14190902171814165,0.10312187871640044,0.08855047723191568,0.030258975693172454,0.04623809447847086,0.05867189604913073,0.08142361909790059,0.09632584522338758,0.0898365396205798,0.07320567055221885,0.07853462542089328,0.08311614311311613,0.09111506919823986,0.08342365235950781,0.07477789371866533
