Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
R,9,0,Static,Right,1,11,0.0597405675399891,0.04887280819637846,0.02776885409951227,0.05566946628987925,0.02281463333038693,0.062338131484669906,0.087578829405285,0.09776358430929183,0.08008718989326571,0.0639744754491977,0.0790990791223262,0.09487733040616196,0.09449759764671281,0.08529457320955425,0.0768523941982292
R,9,1,Static,Right,2,22,0.05989447882735105,0.0486938810734983,0.027602598718236674,0.055868380735439274,0.022749176029034535,0.06233864230956595,0.08755855789698681,0.09771122415055493,0.0799128606921314,0.06387301002771047,0.07908743597436955,0.09485797858904654,0.09450427317851834,0.08528808855871967,0.07683175905834781
R,9,2,Static,Right,3,32,0.05944062969047349,0.048769561142171486,0.02776893519744676,0.05565619170406833,0.022678966753359852,0.06233844163114765,0.08755743604057846,0.09766920389252698,0.0798845398622287,0.06387206538072804,0.07910351654635839,0.09485515531061021,0.09449412378555615,0.08529831160110955,0.07684802744378022
R,9,3,Static,Right,4,44,0.05956035037673977,0.04869579400728565,0.027805505533976496,0.055369185202601666,0.02257062845824197,0.06233845594013385,0.08754129268522377,0.09759982320168425,0.07983815660447083,0.06386236417484087,0.07913321888435988,0.09485144877122344,0.09449013761763721,0.08531539814711062,0.07687942333940857
R,9,4,Static,Right,5,55,0.0597168514407785,0.04861192408247179,0.027828041217448328,0.05508793716413768,0.022462461085108333,0.0623386521750351,0.08752499300771185,0.09752978064673366,0.07978612773534006,0.06385061724055609,0.07916163414811492,0.09484472129749763,0.09448540416910968,0.08533194202055881,0.0769074389314843
R,9,5,Static,Right,6,66,0.059754337499465286,0.04855128453501518,0.02811583048746734,0.055187947787537855,0.022582607046131752,0.062339237772048466,0.08751776396252363,0.09741458382603708,0.07957631214123963,0.06362019629803105,0.07916182674117613,0.09484301828284457,0.09445986774286734,0.08528301418805508,0.07683805187535661
R,9,6,Static,Right,7,77,0.059246650386329855,0.04854279637598142,0.028299454429370156,0.05486310845185498,0.022524902086357754,0.062337442408234925,0.08751313420281547,0.09734774805304959,0.07954039480666418,0.06359410299705465,0.079152779490047,0.09484279044819378,0.09444745647183958,0.08529653328242602,0.07686732482010805
R,9,7,Static,Right,8,88,0.05868166297064191,0.04854623600239244,0.028474633114405543,0.05450284236624736,0.0224523854857339,0.0623359259977745,0.08750964989645414,0.09728329970246694,0.07951462736503265,0.06358301347058035,0.07914072208414585,0.09484174109536367,0.09443546421233916,0.08531512949647334,0.07690407707007475
R,9,8,Static,Right,9,100,0.05885439880756582,0.04854159094014123,0.028754702676258036,0.054339397687129525,0.02236768734134126,0.06233632124211371,0.08750335769557654,0.09719386430737291,0.07942031884222071,0.06352882685049357,0.07914168597521788,0.09483865137168489,0.09440903266637148,0.08529014763734427,0.07689087441953037
R,9,9,Static,Right,10,111,0.058790361573985955,0.0485684685881695,0.029050158243975215,0.05410894334580917,0.022356193481896835,0.062334518310483436,0.08750548762791964,0.0971118293566752,0.07935404733849434,0.06347150958500986,0.07912317602952999,0.09484389859131695,0.0943939339894253,0.08528545371867356,0.07688814101017143
