Gesture,Participant,Row,Temporality,Handedness,FrameCount,Timestamp,Dist.ThumbTip.PinkyTip,Dist.ThumbTip.IndexTip,Dist.IndexTip.MiddleTip,Dist.MiddleTip.RingTip,Dist.RingTip.PinkyTip,Dist.ThumbProximalJoint.ThumbTip,Dist.IndexKnuckle.IndexTip,Dist.MiddleKnuckle.MiddleTip,Dist.RingKnuckle.RingTip,Dist.PinkyKnuckle.PinkyTip,Dist.Palm.ThumbDistalJoint,Dist.Palm.IndexMiddleJoint,Dist.Palm.MiddleMiddleJoint,Dist.Palm.RingMiddleJoint,Dist.Palm.PinkyMiddleJoint
Z,9,0,Dynamic,Right,1,11,0.08231519872417245,0.08126922543004829,0.10252003461275268,0.02196637687466916,0.014981468319226912,0.061737459657812306,0.08992799703095807,0.05396285549338539,0.047648702752540927,0.03880495186184367,0.08692055315056389,0.09504739055334446,0.08714383682165937,0.07718695310737432,0.06976779813065626
Z,9,1,Dynamic,Right,2,22,0.0824693607226344,0.08147178374136664,0.10254563248134942,0.02199131053393598,0.01498757091726337,0.061754543257966026,0.0899313704832746,0.054149692021284695,0.04773926556829301,0.038803101744577045,0.08700955253878735,0.09505249750532586,0.08714969399831528,0.07722167006741051,0.06982345266455965
Z,9,2,Dynamic,Right,3,33,0.08262290119573389,0.08167620748418712,0.10258017759781861,0.022013630731889656,0.014992343412555656,0.06177131564893209,0.08993445035691268,0.054335708424571055,0.04782841428481611,0.03880191514603376,0.08709381033115961,0.09505708674791159,0.08715136032214298,0.07725361780525233,0.06987624109094592
Z,9,3,Dynamic,Right,4,43,0.08274689711403081,0.08178347134965583,0.10238468518777603,0.022085237082721056,0.015031552614417434,0.0617831775323996,0.08992574680257036,0.05455777046397706,0.0479287869865283,0.038812487114329476,0.08720394147628881,0.09505578510011899,0.08719858252861684,0.07731905452732853,0.06993108651379587
Z,9,4,Dynamic,Right,5,55,0.0828908068605922,0.0818944477849384,0.10240190854666731,0.022077252659694766,0.0150204543539801,0.06179984612440392,0.08992396318001111,0.05463927135312122,0.04799495661004394,0.038807400814793044,0.08727081760244945,0.0950583719248335,0.0871990653619636,0.077335019460785,0.06997221923735163
Z,9,5,Dynamic,Right,6,66,0.08303425121598912,0.08200794387740738,0.10244325363829473,0.02205996248863545,0.015004619322062053,0.061814528162884165,0.08992325297163131,0.05470762401164939,0.04805774603536874,0.038800339289753585,0.0873323929707643,0.09506103044360492,0.08719424794101953,0.07734562176361368,0.07001279671602897
Z,9,6,Dynamic,Right,7,77,0.08314412995515685,0.0820025236989691,0.10222593616592617,0.022092186152574408,0.015042519768974878,0.0618282858973141,0.08991043225343764,0.054912229839991014,0.0481507656221582,0.03880459224112533,0.08742870808264293,0.0950544447198551,0.08723686517751539,0.07742322598548834,0.0700867916657625
Z,9,7,Dynamic,Right,8,88,0.08330259759455282,0.08226203492498839,0.10212845679828905,0.022172548793496963,0.01506001992030553,0.061846192995203844,0.08990713467239404,0.05511015175990715,0.048223562809066665,0.03881946497570519,0.08754105780146822,0.0950616342011854,0.08727629230209084,0.07747790839974963,0.07014197000370036
Z,9,8,Dynamic,Right,9,99,0.08346984687897784,0.08257851984626512,0.10205162618008605,0.022262895701143575,0.01507474115864022,0.061864011339388604,0.08990488772586289,0.05530748730506567,0.04829282097786374,0.038836666115927176,0.08765851265564571,0.09507164866036562,0.08731594778160506,0.07752758867009854,0.07019356980521788
Z,9,9,Dynamic,Right,10,111,0.08371071904481532,0.08307418745314321,0.10201909982449357,0.022301895614498825,0.015091753874218867,0.06188375888712644,0.08989961038847717,0.05539909503773509,0.0483331506421836,0.03883185932967932,0.08781303968659783,0.0950802336398055,0.0873451039097212,0.07756256866556188,0.0702269079199704
