,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,15,0.0,0.0,0.998239,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,26,0.0,0.0,0.998264,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,37,0.0,0.0,0.998294,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,48,0.0,0.0,0.998322,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,60,0.0,0.0,0.99835,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,70,0.0,0.0,0.998413,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,82,0.0,0.0,0.998433,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,93,0.0,0.0,0.998447,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,104,0.0,0.0,0.998432,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,115,0.0,0.0,0.998413,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,126,0.0,0.0,0.99839,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,138,0.0,0.0,0.998365,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.001655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,148,0.0,0.0,0.998342,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,160,0.0,0.0,0.998319,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,174,0.0,0.0,0.998339,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,182,0.0,0.0,0.998281,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,192,0.0,0.0,0.998211,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,207,0.0,0.0,0.998228,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,219,0.0,0.0,0.998222,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,238,0.0,0.0,0.998255,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,252,0.0,0.0,0.998322,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,259,0.0,0.0,0.99832,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,273,0.0,0.0,0.998319,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,283,0.0,0.0,0.998339,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,294,0.0,0.0,0.998358,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,308,0.0,0.0,0.998354,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.00165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,326,0.0,0.0,0.998349,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,340,0.0,0.0,0.998335,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.001734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,359,0.0,0.0,0.998265,0.0,0.0,0
