,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000457,0.001685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987742,0.0,0.0,0.010116,0.0,True,0.0,16,0.0,0.0,0.0,0.0,0.0,3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000432,0.001627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98782,0.0,0.0,0.010122,0.0,True,0.0,27,0.0,0.0,0.0,0.0,0.0,3
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000406,0.001613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987776,0.0,0.0,0.010205,0.0,True,0.0,38,0.0,0.0,0.0,0.0,0.0,3
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000373,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988174,0.0,0.0,0.009924,0.0,True,0.0,49,0.0,0.0,0.0,0.0,0.0,3
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000382,0.001549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987901,0.0,0.0,0.010168,0.0,True,0.0,60,0.0,0.0,0.0,0.0,0.0,3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.0004,0.001605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987437,0.0,0.0,0.010557,0.0,True,0.0,71,0.0,0.0,0.0,0.0,0.0,3
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000421,0.001671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986824,0.0,0.0,0.011085,0.0,True,0.0,82,0.0,0.0,0.0,0.0,0.0,3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000411,0.001612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987391,0.0,0.0,0.010587,0.0,True,0.0,94,0.0,0.0,0.0,0.0,0.0,3
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000397,0.001538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98795,0.0,0.0,0.010115,0.0,True,0.0,105,0.0,0.0,0.0,0.0,0.0,3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000336,0.001407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988809,0.0,0.0,0.009448,0.0,True,0.0,116,0.0,0.0,0.0,0.0,0.0,3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000266,0.001389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989609,0.0,0.0,0.008736,0.0,True,0.0,127,0.0,0.0,0.0,0.0,0.0,3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000209,0.001387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990334,0.0,0.0,0.00807,0.0,True,0.0,138,0.0,0.0,0.0,0.0,0.0,3
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000219,0.001229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990757,0.0,0.0,0.007795,0.0,True,0.0,150,0.0,0.0,0.0,0.0,0.0,3
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000233,0.001082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991132,0.0,0.0,0.007553,0.0,True,0.0,161,0.0,0.0,0.0,0.0,0.0,3
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000252,0.000948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991466,0.0,0.0,0.007334,0.0,True,0.0,172,0.0,0.0,0.0,0.0,0.0,3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000225,0.00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990948,0.0,0.0,0.007547,0.0,True,0.0,183,0.0,0.0,0.0,0.0,0.0,3
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000219,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991861,0.0,0.0,0.00684,0.0,True,0.0,194,0.0,0.0,0.0,0.0,0.0,3
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000215,0.000885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99274,0.0,0.0,0.00616,0.0,True,0.0,205,0.0,0.0,0.0,0.0,0.0,3
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000217,0.000984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992689,0.0,0.0,0.00611,0.0,True,0.0,216,0.0,0.0,0.0,0.0,0.0,3
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000212,0.000921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992863,0.0,0.0,0.006004,0.0,True,0.0,227,0.0,0.0,0.0,0.0,0.0,3
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000207,0.000844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993051,0.0,0.0,0.005899,0.0,True,0.0,238,0.0,0.0,0.0,0.0,0.0,3
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000179,0.000676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994363,0.0,0.0,0.004782,0.0,True,0.0,249,0.0,0.0,0.0,0.0,0.0,3
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000166,0.00067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994524,0.0,0.0,0.00464,0.0,True,0.0,261,0.0,0.0,0.0,0.0,0.0,3
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000156,0.000689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99451,0.0,0.0,0.004645,0.0,True,0.0,272,0.0,0.0,0.0,0.0,0.0,3
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000147,0.000728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994365,0.0,0.0,0.00476,0.0,True,0.0,283,0.0,0.0,0.0,0.0,0.0,3
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000168,0.000587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994558,0.0,0.0,0.004687,0.0,True,0.0,294,0.0,0.0,0.0,0.0,0.0,3
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000194,0.000471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994675,0.0,0.0,0.004661,0.0,True,0.0,305,0.0,0.0,0.0,0.0,0.0,3
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000174,0.000456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995164,0.0,0.0,0.004205,0.0,True,0.0,316,0.0,0.0,0.0,0.0,0.0,3
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000156,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995254,0.0,0.0,0.004039,0.0,True,0.0,328,0.0,0.0,0.0,0.0,0.0,3
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.00014,0.000681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995267,0.0,0.0,0.003912,0.0,True,0.0,339,0.0,0.0,0.0,0.0,0.0,3
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.00014,0.000549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995989,0.0,0.0,0.003322,0.0,True,0.0,350,0.0,0.0,0.0,0.0,0.0,3
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000137,0.000539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996346,0.0,0.0,0.002978,0.0,True,0.0,361,0.0,0.0,0.0,0.0,0.0,3
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000135,0.000547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996626,0.0,0.0,0.002691,0.0,True,0.0,372,0.0,0.0,0.0,0.0,0.0,3
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000133,0.000571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996848,0.0,0.0,0.002447,0.0,True,0.0,383,0.0,0.0,0.0,0.0,0.0,3
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000128,0.000558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997028,0.0,0.0,0.002287,0.0,True,0.0,394,0.0,0.0,0.0,0.0,0.0,3
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000122,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997182,0.0,0.0,0.002146,0.0,True,0.0,405,0.0,0.0,0.0,0.0,0.0,3
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000115,0.000614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997256,0.0,0.0,0.002014,0.0,True,0.0,417,0.0,0.0,0.0,0.0,0.0,3
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,9.7e-05,0.000667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997437,0.0,0.0,0.001799,0.0,True,0.0,428,0.0,0.0,0.0,0.0,0.0,3
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,8.1e-05,0.000725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997595,0.0,0.0,0.0016,0.0,True,0.0,439,0.0,0.0,0.0,0.0,0.0,3
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,8.3e-05,0.000741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997598,0.0,0.0,0.001578,0.0,True,0.0,450,0.0,0.0,0.0,0.0,0.0,3
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,9.3e-05,0.000789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997482,0.0,0.0,0.001636,0.0,True,0.0,462,0.0,0.0,0.0,0.0,0.0,3
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000108,0.000845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997329,0.0,0.0,0.001719,0.0,True,0.0,472,0.0,0.0,0.0,0.0,0.0,3
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000127,0.00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997141,0.0,0.0,0.001822,0.0,True,0.0,483,0.0,0.0,0.0,0.0,0.0,3
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000131,0.001147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996775,0.0,0.0,0.001947,0.0,True,0.0,494,0.0,0.0,0.0,0.0,0.0,3
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.000135,0.001463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99631,0.0,0.0,0.002092,0.0,True,0.0,505,0.0,0.0,0.0,0.0,0.0,3
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O,0.0,0.0,0.0,0.0,0.00014,0.001579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996078,0.0,0.0,0.002204,0.0,True,0.0,517,0.0,0.0,0.0,0.0,0.0,3
