,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.000558,0.0,0.0,0.0,V,0.0,0.0,0.000234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,16,0.0,0.999208,0.0,0.0,0.0,3
1,0.0,0.0,0.0,0.0,0.000617,0.0,0.0,0.0,V,0.0,0.0,0.000249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,27,0.0,0.999134,0.0,0.0,0.0,3
2,0.0,0.0,0.0,0.0,0.000565,0.0,0.0,0.0,V,0.0,0.0,0.000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,38,0.0,0.999163,0.0,0.0,0.0,3
3,0.0,0.0,0.0,0.0,0.000388,0.0,0.0,0.0,V,0.0,0.0,0.000346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,49,0.0,0.999266,0.0,0.0,0.0,3
4,0.0,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,V,0.0,0.0,0.000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,60,0.0,0.999331,0.0,0.0,0.0,3
5,0.0,0.0,0.0,0.0,0.000208,0.0,0.0,0.0,V,0.0,0.0,0.000361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,71,0.0,0.999431,0.0,0.0,0.0,3
6,0.0,0.0,0.0,0.0,0.000174,0.0,0.0,0.0,V,0.0,0.0,0.000301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,82,0.0,0.999525,0.0,0.0,0.0,3
7,0.0,0.0,0.0,0.0,0.000148,0.0,0.0,0.0,V,0.0,0.0,0.000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,93,0.0,0.99961,0.0,0.0,0.0,3
8,0.0,0.0,0.0,0.0,7.1e-05,0.0,0.0,0.0,V,0.0,0.0,0.000344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,105,0.0,0.999585,0.0,0.0,0.0,3
9,0.0,0.0,0.0,0.0,3.4e-05,0.0,0.0,0.0,V,0.0,0.0,0.000496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,116,0.0,0.999469,0.0,0.0,0.0,3
10,0.0,0.0,0.0,0.0,1.9e-05,0.0,0.0,0.0,V,0.0,0.0,0.000616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,127,0.0,0.999364,0.0,0.0,0.0,3
11,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.0,V,0.0,0.0,0.000634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,138,0.0,0.99935,0.0,0.0,0.0,3
12,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.0,V,0.0,0.0,0.000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,149,0.0,0.999332,0.0,0.0,0.0,3
13,0.0,0.0,0.0,0.0,8e-06,0.0,0.0,0.0,V,0.0,0.0,0.000884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,True,0.0,160,0.0,0.999104,0.0,0.0,0.0,3
14,0.0,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,V,0.0,0.0,0.001037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,True,0.0,171,0.0,0.998952,0.0,0.0,0.0,3
15,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.001281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,True,0.0,183,0.0,0.998709,0.0,0.0,0.0,3
16,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.001499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,True,0.0,194,0.0,0.998491,0.0,0.0,0.0,3
17,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.001664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,True,0.0,205,0.0,0.998327,0.0,0.0,0.0,3
18,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.001667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,True,0.0,216,0.0,0.998324,0.0,0.0,0.0,3
19,0.0,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,V,0.0,0.0,0.001278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,True,0.0,228,0.0,0.998714,0.0,0.0,0.0,3
20,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.001113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,238,0.0,0.99888,0.0,0.0,0.0,3
21,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.000968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,249,0.0,0.999025,0.0,0.0,0.0,3
22,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.000864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,261,0.0,0.99913,0.0,0.0,0.0,3
23,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.000798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,272,0.0,0.999195,0.0,0.0,0.0,3
24,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.000744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,283,0.0,0.99925,0.0,0.0,0.0,3
25,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,V,0.0,0.0,0.000723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,294,0.0,0.999271,0.0,0.0,0.0,3
26,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,V,0.0,0.0,0.000709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,305,0.0,0.999286,0.0,0.0,0.0,3
27,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,V,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,True,0.0,316,0.0,0.999295,0.0,0.0,0.0,3
28,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,V,0.0,0.0,0.000563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,328,0.0,0.999432,0.0,0.0,0.0,3
29,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,V,0.0,0.0,0.000489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,339,0.0,0.999506,0.0,0.0,0.0,3
30,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,V,0.0,0.0,0.000428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,True,0.0,349,0.0,0.999567,0.0,0.0,0.0,3
