,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.0,0.051994,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000888,0.0,True,0.0,16,0.0,0.0,0.0,0.947118,0.0,3
1,0.0,0.0,0.0,0.0,0.0,0.046775,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000851,0.0,True,0.0,26,0.0,0.0,0.0,0.952373,0.0,3
2,0.0,0.0,0.0,0.0,0.0,0.039511,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000865,0.0,True,0.0,38,0.0,0.0,0.0,0.959625,0.0,3
3,0.0,0.0,0.0,0.0,0.0,0.032964,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000888,0.0,True,0.0,49,0.0,0.0,0.0,0.966148,0.0,3
4,0.0,0.0,0.0,0.0,0.0,0.041537,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000881,0.0,True,0.0,60,0.0,0.0,0.0,0.957582,0.0,3
5,0.0,0.0,0.0,0.0,0.0,0.055511,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872,0.0,True,0.0,71,0.0,0.0,0.0,0.943618,0.0,3
6,0.0,0.0,0.0,0.0,0.0,0.077851,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855,0.0,True,0.0,82,0.0,0.0,0.0,0.921294,0.0,3
7,0.0,0.0,0.0,0.0,0.0,0.07286,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000845,0.0,True,0.0,94,0.0,0.0,0.0,0.926295,0.0,3
8,0.0,0.0,0.0,0.0,0.0,0.070619,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866,0.0,True,0.0,105,0.0,0.0,0.0,0.928515,0.0,3
9,0.0,0.0,0.0,0.0,0.0,0.069119,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089,0.0,True,0.0,116,0.0,0.0,0.0,0.929992,0.0,3
10,0.0,0.0,0.0,0.0,0.0,0.032598,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000829,0.0,True,0.0,127,0.0,0.0,0.0,0.966573,0.0,3
11,0.0,0.0,0.0,0.0,0.0,0.031158,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872,0.0,True,0.0,138,0.0,0.0,0.0,0.96797,0.0,3
12,0.0,0.0,0.0,0.0,0.0,0.034012,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000941,0.0,True,0.0,149,0.0,0.0,0.0,0.965047,0.0,3
13,0.0,0.0,0.0,0.0,0.0,0.040847,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001034,0.0,True,0.0,160,0.0,0.0,0.0,0.958119,0.0,3
14,0.0,0.0,0.0,0.0,0.0,0.019873,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000921,0.0,True,0.0,171,0.0,0.0,0.0,0.979206,0.0,3
15,0.0,0.0,0.0,0.0,0.0,0.009539,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000808,0.0,True,0.0,183,0.0,0.0,0.0,0.989653,0.0,3
16,0.0,0.0,0.0,0.0,0.0,0.012334,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,True,0.0,194,0.0,0.0,0.0,0.986766,0.0,3
