,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.000103,0.0,0.297071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000104,0.0,True,0.0,15,0.702722,0.0,0.0,0.0,0.0,4
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.000102,0.0,0.302517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6e-05,0.0,True,0.0,26,0.697284,0.0,0.0,0.0,0.0,4
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.000102,0.0,0.322591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2e-05,0.0,True,0.0,37,0.677215,0.0,0.0,0.0,0.0,4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.000105,0.0,0.323762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-05,0.0,True,0.0,48,0.676043,0.0,0.0,0.0,0.0,4
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.00011,0.0,0.327317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-05,0.0,True,0.0,60,0.672484,0.0,0.0,0.0,0.0,4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,0.000115,0.0,0.332159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8e-05,0.0,True,0.0,71,0.667638,0.0,0.0,0.0,0.0,4
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,9.2e-05,0.0,0.317072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,0.0,True,0.0,82,0.682763,0.0,0.0,0.0,0.0,4
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,7.5e-05,0.0,0.300453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,0.0,True,0.0,93,0.699411,0.0,0.0,0.0,0.0,4
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,6.1e-05,0.0,0.287032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-05,0.0,True,0.0,104,0.712855,0.0,0.0,0.0,0.0,4
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,4.7e-05,0.0,0.274961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4e-05,0.0,True,0.0,115,0.724948,0.0,0.0,0.0,0.0,4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3.9e-05,0.0,0.289096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-05,0.0,True,0.0,127,0.710826,0.0,0.0,0.0,0.0,4
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3.3e-05,0.0,0.308648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-05,0.0,True,0.0,138,0.691284,0.0,0.0,0.0,0.0,4
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3.2e-05,0.0,0.287822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05,0.0,True,0.0,149,0.712114,0.0,0.0,0.0,0.0,4
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3.3e-05,0.0,0.268694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,True,0.0,160,0.731243,0.0,0.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3.4e-05,0.0,0.247395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.0,True,0.0,171,0.752543,0.0,0.0,0.0,0.0,4
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,2.8e-05,0.0,0.294502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,True,0.0,182,0.705442,0.0,0.0,0.0,0.0,4
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,2.8e-05,0.0,0.307969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,True,0.0,193,0.691977,0.0,0.0,0.0,0.0,4
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,2.7e-05,0.0,0.317459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,True,0.0,204,0.682486,0.0,0.0,0.0,0.0,4
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,3e-05,0.0,0.292837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,True,0.0,216,0.707107,0.0,0.0,0.0,0.0,4
