,A,Æ,B,C,D,E,F,G,Gesture,H,I,K,L,M,N,Nummer0,Nummer1,Nummer2,Nummer3,Nummer4,Nummer5,Nummer6,Nummer7,Nummer8,Nummer9,O,P,Q,R,S,Success,T,Time,U,V,W,X,Y,Participant
0,0.0,0.00332,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99668,0.0,True,0.0,15,0.0,0.0,0.0,0.0,0.0,4
1,0.0,0.00335,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99665,0.0,True,0.0,26,0.0,0.0,0.0,0.0,0.0,4
2,0.0,0.004136,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995863,0.0,True,0.0,37,0.0,0.0,0.0,0.0,0.0,4
3,0.0,0.004989,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995009,0.0,True,0.0,48,0.0,0.0,0.0,0.0,0.0,4
4,0.0,0.005973,0.0,2e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994025,0.0,True,0.0,60,0.0,0.0,0.0,0.0,0.0,4
5,0.0,0.00711,0.0,3e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992887,0.0,True,0.0,71,0.0,0.0,0.0,0.0,0.0,4
6,0.0,0.006339,0.0,3e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993658,0.0,True,0.0,82,0.0,0.0,0.0,0.0,0.0,4
7,0.0,0.005547,0.0,2e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994451,0.0,True,0.0,93,0.0,0.0,0.0,0.0,0.0,4
8,0.0,0.005083,0.0,2e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994915,0.0,True,0.0,104,0.0,0.0,0.0,0.0,0.0,4
9,0.0,0.004289,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995709,0.0,True,0.0,115,0.0,0.0,0.0,0.0,0.0,4
10,0.0,0.003599,0.0,1e-06,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964,0.0,True,0.0,126,0.0,0.0,0.0,0.0,0.0,4
11,0.0,0.002816,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997184,0.0,True,0.0,138,0.0,0.0,0.0,0.0,0.0,4
12,0.0,0.002293,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997706,0.0,True,0.0,149,0.0,0.0,0.0,0.0,0.0,4
