,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.031227,1.51267,-0.130877,0.99871,0.036557,0.027464,0.022096,0.064406,1.33986,0.323037,0.726152,0.671673,-0.132382,-0.06351,0.086071,1.398105,0.314128,0.776939,0.600414,-0.176997,-0.067387,0.115743,1.411339,0.26407,0.937842,0.216178,-0.190369,-0.193596,0.072387,1.363157,0.322445,0.712401,0.679173,-0.163417,-0.067103,0.058312,1.318142,0.32552,0.726152,0.671673,-0.132382,-0.06351,0.078066,1.327255,0.328881,0.713424,0.672192,-0.141803,-0.138116,0.106445,1.392392,0.322198,0.742964,0.636063,-0.177726,-0.108825,0.131586,1.407324,0.268218,0.937842,0.216178,-0.190369,-0.193596,0.088931,1.352953,0.327753,0.713279,0.670935,-0.172196,-0.106901,0.068544,1.303923,0.331456,0.713424,0.672192,-0.141803,-0.138116,0.128917,1.409156,0.282626,0.937842,0.216178,-0.190369,-0.193596,0.127855,1.363174,0.274561,-0.607568,0.771413,-0.188803,-0.011692,0.142984,1.37236,0.311968,0.392143,0.878085,-0.199971,-0.187623,0.15336,1.396139,0.273657,0.890547,0.293026,-0.011455,-0.347751,0.127841,1.353253,0.2926,-0.243795,0.948877,-0.194269,-0.049554,0.131944,1.383935,0.267664,-0.607568,0.771413,-0.188803,-0.011692,0.113032,1.364774,0.279007,-0.700336,0.701362,-0.120091,0.056559,0.125,1.382706,0.319702,0.508314,0.838388,-0.156177,-0.119714,0.147097,1.402387,0.273685,0.937842,0.216178,-0.190369,-0.193596,0.11079,1.350496,0.301735,-0.279373,0.944891,-0.17056,-0.006394,0.119242,1.388612,0.277049,-0.700336,0.701362,-0.120091,0.056559,0.070984,1.380276,0.300717,0.69163,0.400502,-0.200102,0.566751,0.106224,1.407884,0.256657,0.788205,-0.095519,-0.465709,0.3908,0.079571,1.400851,0.274715,0.815401,0.212412,-0.274429,0.463349,0.074606,1.361277,0.316486,0.69163,0.400502,-0.200102,0.566751,11,0.15139,1.42592,0.243055,0.937842,0.216178,-0.190369,-0.193596,12,N,Static,Right
1,2,-0.031215,1.512675,-0.130908,0.998732,0.036423,0.027317,0.021506,0.063874,1.340464,0.324282,0.727594,0.669882,-0.131195,-0.068214,0.085782,1.398558,0.314985,0.778483,0.598363,-0.175395,-0.071849,0.115122,1.411516,0.264656,0.938325,0.21367,-0.187478,-0.196836,0.071978,1.363714,0.323534,0.714155,0.677119,-0.162297,-0.071784,0.057682,1.318789,0.326886,0.727594,0.669882,-0.131195,-0.068214,0.077517,1.327797,0.330096,0.714722,0.670062,-0.140682,-0.142825,0.106187,1.392752,0.322907,0.744669,0.633663,-0.176289,-0.113408,0.130974,1.407418,0.268685,0.938325,0.21367,-0.187478,-0.196836,0.08851,1.353431,0.328771,0.71503,0.668616,-0.170986,-0.111572,0.067891,1.304525,0.33283,0.714722,0.670062,-0.140682,-0.142825,0.128437,1.409289,0.283114,0.938325,0.21367,-0.187478,-0.196836,0.127069,1.363321,0.275149,-0.606006,0.771503,-0.193338,-0.012667,0.142532,1.37249,0.312438,0.393004,0.8765,-0.201248,-0.191823,0.152734,1.396113,0.273984,0.889984,0.290463,-0.009166,-0.351392,0.127136,1.353442,0.293211,-0.242066,0.948411,-0.197967,-0.052252,0.131223,1.384042,0.268174,-0.606006,0.771503,-0.193338,-0.012667,0.112283,1.365026,0.279742,-0.699713,0.701238,-0.124641,0.055962,0.124668,1.382956,0.320288,0.509479,0.836943,-0.156537,-0.124312,0.146506,1.402396,0.274046,0.938325,0.21367,-0.187478,-0.196836,0.110139,1.350787,0.302503,-0.278157,0.944552,-0.174258,-0.009178,0.118613,1.388828,0.277736,-0.699713,0.701238,-0.124641,0.055962,0.070428,1.380897,0.301757,0.695072,0.401356,-0.197754,0.562745,0.10552,1.408113,0.257326,0.791496,-0.096668,-0.461499,0.388855,0.078968,1.401328,0.275627,0.818648,0.211981,-0.271315,0.459639,0.074051,1.361914,0.317545,0.695072,0.401356,-0.197754,0.562745,22,0.150686,1.425826,0.243322,0.938325,0.21367,-0.187478,-0.196836,12,N,Static,Right
2,3,-0.031177,1.512673,-0.130979,0.998734,0.036594,0.027351,0.021051,0.064844,1.339664,0.324172,0.727373,0.67085,-0.127605,-0.067866,0.086385,1.39791,0.314948,0.778089,0.599957,-0.171943,-0.071171,0.115469,1.411257,0.26457,0.938767,0.215828,-0.184785,-0.194906,0.072816,1.36296,0.323442,0.713933,0.678228,-0.158722,-0.07151,0.058784,1.317949,0.326759,0.727373,0.67085,-0.127605,-0.067866,0.078571,1.327049,0.329862,0.715002,0.670575,-0.137121,-0.142475,0.106852,1.392189,0.322773,0.744094,0.635371,-0.17294,-0.112781,0.131356,1.407231,0.268524,0.938767,0.215828,-0.184785,-0.194906,0.089418,1.352746,0.328551,0.714915,0.669679,-0.167506,-0.111216,0.069086,1.303721,0.332609,0.715002,0.670575,-0.137121,-0.142475,0.128864,1.40902,0.282972,0.938767,0.215828,-0.184785,-0.194906,0.127765,1.363111,0.27479,-0.607311,0.770733,-0.192082,-0.015747,0.143275,1.37218,0.312091,0.391541,0.877764,-0.198032,-0.192378,0.153204,1.396022,0.273701,0.890394,0.291732,-0.006015,-0.349362,0.12793,1.35315,0.292806,-0.243872,0.948292,-0.195683,-0.054566,0.131789,1.383883,0.26789,-0.607311,0.770733,-0.192082,-0.015747,0.112964,1.36473,0.279463,-0.701707,0.699651,-0.123895,0.052405,0.125379,1.38251,0.320048,0.507963,0.838492,-0.152843,-0.124673,0.146941,1.402269,0.273811,0.938767,0.215828,-0.184785,-0.194906,0.110978,1.350347,0.302148,-0.280586,0.94423,-0.17192,-0.012044,0.119148,1.388581,0.277576,-0.701707,0.699651,-0.123895,0.052405,0.071071,1.380274,0.301708,0.693083,0.40477,-0.196319,0.563255,0.105857,1.40784,0.257258,0.791677,-0.093229,-0.461011,0.389903,0.079407,1.400857,0.275631,0.817619,0.21532,-0.270131,0.460614,0.074871,1.361239,0.317392,0.693083,0.40477,-0.196319,0.563255,33,0.150876,1.425851,0.243171,0.938767,0.215828,-0.184785,-0.194906,12,N,Static,Right
3,4,-0.031112,1.512655,-0.13108,0.998723,0.036906,0.027513,0.020825,0.065757,1.338927,0.324057,0.727277,0.671616,-0.1243,-0.067457,0.086954,1.397312,0.314894,0.777742,0.601389,-0.168783,-0.070439,0.115806,1.41102,0.264478,0.939159,0.217839,-0.182379,-0.193038,0.073604,1.362266,0.323339,0.713801,0.679165,-0.155433,-0.071158,0.059821,1.317177,0.326634,0.727277,0.671616,-0.1243,-0.067457,0.079559,1.326362,0.329622,0.715408,0.670887,-0.13389,-0.142039,0.107475,1.391672,0.322634,0.743509,0.636992,-0.169933,-0.112067,0.131727,1.407063,0.268366,0.939159,0.217839,-0.182379,-0.193038,0.090269,1.352116,0.328322,0.714851,0.670601,-0.164358,-0.110766,0.070205,1.302983,0.332392,0.715408,0.670887,-0.13389,-0.142039,0.129273,1.408776,0.282831,0.939159,0.217839,-0.182379,-0.193038,0.128432,1.362929,0.274447,-0.608529,0.77003,-0.190801,-0.018484,0.143973,1.371903,0.311763,0.390138,0.878964,-0.195104,-0.19274,0.153655,1.395947,0.273435,0.890786,0.292926,-0.00318,-0.347397,0.128683,1.35289,0.292418,-0.245608,0.948173,-0.193513,-0.056546,0.132338,1.383747,0.267617,-0.608529,0.77003,-0.190801,-0.018484,0.113613,1.364468,0.279191,-0.703548,0.69818,-0.123092,0.049126,0.126046,1.382105,0.319815,0.5065,0.839961,-0.149418,-0.124889,0.147358,1.402158,0.273589,0.939159,0.217839,-0.182379,-0.193038,0.111771,1.349949,0.301802,-0.282909,0.943909,-0.169664,-0.014618,0.11966,1.388362,0.277414,-0.703548,0.69818,-0.123092,0.049126,0.071687,1.379692,0.30164,0.691137,0.407932,-0.194975,0.563832,0.106189,1.407587,0.257181,0.791756,-0.090065,-0.460636,0.390928,0.079831,1.400419,0.275615,0.81658,0.218424,-0.269058,0.461624,0.075654,1.360612,0.317227,0.691137,0.407932,-0.194975,0.563832,44,0.151071,1.42588,0.243029,0.939159,0.217839,-0.182379,-0.193038,12,N,Static,Right
4,5,-0.031051,1.512643,-0.131169,0.998726,0.036938,0.02775,0.020284,0.064568,1.337311,0.324629,0.724987,0.674408,-0.122478,-0.067578,0.085594,1.395816,0.315837,0.775832,0.604333,-0.166985,-0.070595,0.114326,1.409974,0.265473,0.938758,0.221268,-0.180664,-0.192704,0.072353,1.360675,0.324056,0.711705,0.681751,-0.15358,-0.071449,0.058695,1.315526,0.327056,0.724987,0.674408,-0.122478,-0.067578,0.078426,1.324748,0.33027,0.714997,0.671692,-0.131283,-0.142739,0.106142,1.390172,0.323504,0.742051,0.639241,-0.167559,-0.112501,0.130261,1.406023,0.269304,0.938758,0.221268,-0.180664,-0.192704,0.089064,1.350535,0.329012,0.714205,0.671782,-0.161834,-0.111495,0.069145,1.301338,0.333018,0.714997,0.671692,-0.131283,-0.142739,0.127833,1.407614,0.28379,0.938758,0.221268,-0.180664,-0.192704,0.127061,1.361807,0.275052,-0.610413,0.76858,-0.190356,-0.021118,0.14267,1.370571,0.312434,0.387086,0.880608,-0.192693,-0.193812,0.152231,1.394913,0.274263,0.890163,0.295836,-0.00086,-0.346541,0.127397,1.35167,0.292967,-0.247861,0.947724,-0.192144,-0.058863,0.130879,1.382677,0.26833,-0.610413,0.76858,-0.190356,-0.021118,0.112266,1.363329,0.279847,-0.706778,0.695088,-0.122925,0.046981,0.124731,1.380671,0.320587,0.50341,0.842108,-0.147148,-0.125619,0.145919,1.401107,0.274472,0.938758,0.221268,-0.180664,-0.192704,0.110513,1.348621,0.302342,-0.286567,0.942977,-0.168505,-0.016699,0.118243,1.387256,0.278284,-0.706778,0.695088,-0.122925,0.046981,0.070342,1.378391,0.302533,0.690038,0.411028,-0.195894,0.56261,0.1047,1.406587,0.258165,0.792702,-0.086936,-0.460809,0.389514,0.078393,1.399299,0.276626,0.816157,0.222025,-0.269278,0.460524,0.074352,1.359207,0.317982,0.690038,0.411028,-0.195894,0.56261,56,0.149524,1.425056,0.244076,0.938758,0.221268,-0.180664,-0.192704,12,N,Static,Right
5,6,-0.031003,1.512624,-0.131244,0.998727,0.036833,0.028455,0.019466,0.065628,1.337222,0.324247,0.72599,0.674335,-0.119229,-0.063213,0.086025,1.395938,0.315383,0.776584,0.604667,-0.164167,-0.065916,0.114654,1.410314,0.26502,0.9399,0.221424,-0.180151,-0.187364,0.073159,1.360667,0.323642,0.712582,0.682007,-0.150302,-0.067099,0.059989,1.31538,0.326714,0.72599,0.674335,-0.119229,-0.063213,0.07961,1.324823,0.329943,0.716376,0.671731,-0.128144,-0.138428,0.106625,1.39053,0.323082,0.743127,0.639536,-0.164593,-0.108005,0.130626,1.40654,0.268874,0.9399,0.221424,-0.180151,-0.187364,0.089971,1.350721,0.328643,0.715392,0.671981,-0.158663,-0.107157,0.07058,1.30132,0.33273,0.716376,0.671731,-0.128144,-0.138428,0.128169,1.408127,0.283357,0.9399,0.221424,-0.180151,-0.187364,0.127887,1.362276,0.274712,-0.609528,0.77027,-0.185978,-0.023908,0.143374,1.371302,0.312088,0.389087,0.881266,-0.188269,-0.191144,0.152712,1.39567,0.27388,0.8923,0.295152,-7.3e-05,-0.341595,0.128322,1.35219,0.292654,-0.246349,0.949105,-0.186954,-0.059661,0.131485,1.383171,0.267948,-0.609528,0.77027,-0.185978,-0.023908,0.113065,1.363662,0.279492,-0.706399,0.696418,-0.118851,0.043332,0.125319,1.381224,0.320202,0.504913,0.842436,-0.142696,-0.122486,0.146334,1.401797,0.27407,0.9399,0.221424,-0.180151,-0.187364,0.111466,1.348981,0.302016,-0.285533,0.944199,-0.163212,-0.017925,0.118776,1.38765,0.277886,-0.706399,0.696418,-0.118851,0.043332,0.070963,1.378349,0.302087,0.687349,0.411252,-0.193595,0.56652,0.10507,1.406818,0.257708,0.790393,-0.085548,-0.461335,0.393866,0.078817,1.399299,0.276152,0.813812,0.222584,-0.268088,0.465075,0.07516,1.359232,0.317569,0.687349,0.411252,-0.193595,0.56652,66,0.149713,1.425725,0.243631,0.9399,0.221424,-0.180151,-0.187364,12,N,Static,Right
6,7,-0.030918,1.512606,-0.131363,0.998705,0.03707,0.029073,0.019221,0.066651,1.337138,0.323862,0.726903,0.674261,-0.11619,-0.059027,0.086451,1.396051,0.314944,0.777201,0.605052,-0.161547,-0.061432,0.114985,1.410635,0.264585,0.940944,0.221602,-0.179693,-0.182283,0.07394,1.36066,0.323233,0.713298,0.682325,-0.147241,-0.062916,0.061234,1.315245,0.326366,0.726903,0.674261,-0.11619,-0.059027,0.080745,1.324897,0.329579,0.717313,0.672124,-0.125309,-0.1342,0.107096,1.390867,0.322675,0.743973,0.639957,-0.161908,-0.103662,0.130989,1.40703,0.268463,0.940944,0.221602,-0.179693,-0.182283,0.090841,1.350897,0.328265,0.716185,0.672467,-0.155804,-0.10292,0.071951,1.301306,0.332376,0.717313,0.672124,-0.125309,-0.1342,0.128503,1.408613,0.282941,0.940944,0.221602,-0.179693,-0.182283,0.128688,1.362721,0.274391,-0.6088,0.771761,-0.181791,-0.026459,0.144051,1.371996,0.311755,0.391075,0.881821,-0.184101,-0.18857,0.153182,1.396391,0.273513,0.894295,0.294535,0.000647,-0.336876,0.129213,1.352682,0.292356,-0.245003,0.950367,-0.182035,-0.060332,0.13208,1.38364,0.267592,-0.6088,0.771761,-0.181791,-0.026459,0.113836,1.36397,0.279151,-0.705862,0.697818,-0.114984,0.039851,0.125887,1.381748,0.319832,0.506402,0.842677,-0.138472,-0.119492,0.146741,1.402452,0.273685,0.940944,0.221602,-0.179693,-0.182283,0.112384,1.349323,0.301708,-0.28443,0.945365,-0.158177,-0.019079,0.119293,1.388014,0.277494,-0.705862,0.697818,-0.114984,0.039851,0.071572,1.378286,0.30164,0.684585,0.411494,-0.191487,0.570394,0.105443,1.407034,0.257269,0.788042,-0.084126,-0.462016,0.398062,0.07924,1.399282,0.275688,0.811411,0.223172,-0.267095,0.46954,0.075948,1.359234,0.317152,0.684585,0.411494,-0.191487,0.570394,78,0.14991,1.426359,0.243207,0.940944,0.221602,-0.179693,-0.182283,12,N,Static,Right
7,8,-0.030819,1.512568,-0.1315,0.998682,0.037275,0.029589,0.01923,0.065317,1.336802,0.323507,0.72572,0.674938,-0.118554,-0.061109,0.08549,1.395616,0.314774,0.776064,0.605686,-0.163721,-0.063761,0.114175,1.410198,0.2645,0.939893,0.222772,-0.18064,-0.185318,0.072753,1.36028,0.322949,0.712105,0.682859,-0.149615,-0.065,0.059762,1.314936,0.325945,0.72572,0.674938,-0.118554,-0.061109,0.079339,1.324455,0.329266,0.716559,0.6721,-0.127308,-0.136448,0.106094,1.39028,0.322512,0.742801,0.640436,-0.163916,-0.105926,0.130152,1.406482,0.268385,0.939893,0.222772,-0.18064,-0.185318,0.089595,1.350395,0.327992,0.715364,0.672517,-0.157844,-0.105174,0.070401,1.300915,0.332039,0.716559,0.6721,-0.127308,-0.136448,0.127658,1.408031,0.282866,0.939893,0.222772,-0.18064,-0.185318,0.127596,1.362189,0.274134,-0.610488,0.770058,-0.183672,-0.024065,0.142947,1.371221,0.311573,0.388458,0.882205,-0.187018,-0.189312,0.152274,1.39569,0.273426,0.89276,0.296271,-0.000232,-0.339415,0.128022,1.352085,0.292065,-0.247008,0.949404,-0.184772,-0.058977,0.131138,1.38311,0.267419,-0.610488,0.770058,-0.183672,-0.024065,0.112733,1.363527,0.278902,-0.707685,0.695548,-0.116638,0.042325,0.124832,1.381056,0.319661,0.504254,0.84335,-0.141105,-0.120744,0.14587,1.40179,0.273611,0.939893,0.222772,-0.18064,-0.185318,0.111158,1.348786,0.301389,-0.28677,0.944239,-0.160802,-0.017868,0.118342,1.387545,0.277382,-0.707685,0.695548,-0.116638,0.042325,0.070516,1.377998,0.301395,0.685462,0.411902,-0.193959,0.568206,0.10462,1.406682,0.257159,0.789153,-0.084472,-0.462877,0.394774,0.078348,1.399032,0.275522,0.812352,0.223394,-0.269071,0.466669,0.074768,1.358867,0.316844,0.685462,0.411902,-0.193959,0.568206,89,0.149222,1.425781,0.243219,0.939893,0.222772,-0.18064,-0.185318,12,N,Static,Right
8,9,-0.030713,1.512527,-0.131665,0.998653,0.037527,0.030148,0.019378,0.064107,1.336483,0.323168,0.724659,0.675533,-0.120692,-0.062919,0.084613,1.395207,0.314597,0.775053,0.606226,-0.16569,-0.065796,0.113439,1.409793,0.264406,0.938924,0.223892,-0.181533,-0.187986,0.071673,1.359921,0.322673,0.711049,0.683311,-0.151758,-0.066813,0.05843,1.314642,0.325547,0.724659,0.675533,-0.120692,-0.062919,0.078068,1.324041,0.328972,0.715982,0.671973,-0.12907,-0.138433,0.105177,1.389736,0.322345,0.741769,0.640843,-0.165698,-0.107905,0.129391,1.405979,0.268299,0.938924,0.223892,-0.181533,-0.187986,0.088465,1.349927,0.327728,0.714696,0.672489,-0.159642,-0.107158,0.069003,1.300548,0.331731,0.715982,0.671973,-0.12907,-0.138433,0.126887,1.407495,0.282782,0.938924,0.223892,-0.181533,-0.187986,0.126618,1.361711,0.273875,-0.612136,0.768438,-0.185253,-0.021773,0.141942,1.370514,0.311391,0.385937,0.882625,-0.189708,-0.189834,0.151448,1.395053,0.273334,0.891375,0.297897,-0.001049,-0.341624,0.126948,1.351544,0.291774,-0.248965,0.948503,-0.187193,-0.057591,0.130298,1.382634,0.267244,-0.612136,0.768438,-0.185253,-0.021773,0.111742,1.363127,0.278655,-0.709497,0.693324,-0.118001,0.044628,0.12387,1.38042,0.319488,0.502212,0.844018,-0.143495,-0.121761,0.145077,1.401187,0.27353,0.938924,0.223892,-0.181533,-0.187986,0.110049,1.348294,0.301072,-0.289062,0.943168,-0.163091,-0.016672,0.117486,1.387121,0.277271,-0.709497,0.693324,-0.118001,0.044628,0.069559,1.377714,0.301148,0.686121,0.412302,-0.196178,0.566356,0.103875,1.40635,0.257043,0.790056,-0.08471,-0.463741,0.391893,0.07754,1.398783,0.27535,0.813106,0.223588,-0.270927,0.464182,0.073703,1.358511,0.316538,0.686121,0.412302,-0.196178,0.566356,100,0.148596,1.425255,0.243218,0.938924,0.223892,-0.181533,-0.187986,12,N,Static,Right
9,10,-0.030591,1.512473,-0.131871,0.998622,0.038015,0.030501,0.019466,0.063001,1.336178,0.322842,0.723701,0.676058,-0.122642,-0.064507,0.083804,1.394818,0.314416,0.774149,0.60669,-0.16749,-0.067589,0.112764,1.409413,0.264305,0.938025,0.22497,-0.182381,-0.190353,0.070683,1.359579,0.322402,0.710109,0.683695,-0.153711,-0.068406,0.057213,1.31436,0.325168,0.723701,0.676058,-0.122642,-0.064507,0.076909,1.32365,0.328694,0.71556,0.671753,-0.130633,-0.140206,0.104333,1.389226,0.322173,0.740856,0.641188,-0.167292,-0.109652,0.128693,1.405512,0.268207,0.938025,0.22497,-0.182381,-0.190353,0.087429,1.349486,0.327472,0.714163,0.67239,-0.161239,-0.108923,0.067731,1.3002,0.331448,0.71556,0.671753,-0.130633,-0.140206,0.126177,1.406999,0.28269,0.938025,0.22497,-0.182381,-0.190353,0.125734,1.361276,0.273617,-0.613749,0.766886,-0.186587,-0.019563,0.141019,1.369862,0.311209,0.383496,0.883074,-0.192212,-0.190173,0.15069,1.394468,0.273236,0.890114,0.299432,-0.001816,-0.343561,0.12597,1.351049,0.291482,-0.250881,0.947654,-0.189355,-0.05618,0.129542,1.382202,0.267067,-0.613749,0.766886,-0.186587,-0.019563,0.110842,1.362761,0.278408,-0.711303,0.691136,-0.119123,0.046788,0.122984,1.37983,0.319312,0.500256,0.844686,-0.145682,-0.122586,0.144348,1.400631,0.273443,0.938025,0.22497,-0.182381,-0.190353,0.109037,1.347838,0.300757,-0.291318,0.942144,-0.165103,-0.015491,0.116708,1.386733,0.277161,-0.711303,0.691136,-0.119123,0.046788,0.068683,1.377434,0.3009,0.686604,0.412698,-0.198187,0.564782,0.103194,1.406036,0.256919,0.790792,-0.084864,-0.464606,0.389343,0.076801,1.398537,0.275172,0.813711,0.223759,-0.272682,0.462008,0.072734,1.358167,0.316235,0.686604,0.412698,-0.198187,0.564782,112,0.148021,1.424772,0.243207,0.938025,0.22497,-0.182381,-0.190353,12,N,Static,Right
