,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.044148,1.564451,0.017647,0.998381,0.051828,0.017056,0.016058,0.103389,1.47413,0.303618,-0.31831,-0.940269,-0.009718,-0.120328,0.113868,1.480067,0.262343,-0.959517,0.250941,0.125559,-0.024304,0.129225,1.418173,0.270356,-0.687263,0.70173,0.182367,0.044584,0.103467,1.499602,0.29696,-0.785282,-0.60617,0.078199,-0.098872,0.109267,1.45883,0.28574,-0.31831,-0.940269,-0.009718,-0.120328,0.120745,1.470982,0.31315,-0.337173,-0.938707,0.015831,-0.069953,0.137556,1.484356,0.264865,-0.971631,0.170149,0.163805,0.012229,0.146792,1.419322,0.273572,-0.687263,0.70173,0.182367,0.044584,0.122947,1.499918,0.30618,-0.778714,-0.605973,0.126612,-0.101844,0.124244,1.452857,0.293343,-0.337173,-0.938707,0.015831,-0.069953,0.148606,1.43374,0.266513,-0.687263,0.70173,0.182367,0.044584,0.150325,1.466752,0.319596,-0.32914,-0.897258,0.244895,-0.163161,0.174377,1.473117,0.289786,-0.937345,0.188632,0.274036,0.103471,0.172635,1.424064,0.283745,-0.694512,0.622705,0.226186,0.280591,0.158579,1.486772,0.315698,-0.765917,-0.577988,0.278136,-0.044068,0.152509,1.450041,0.302809,-0.32914,-0.897258,0.244895,-0.163161,0.134902,1.468196,0.318957,-0.314652,-0.930788,0.131349,-0.131814,0.156927,1.480967,0.275859,-0.964633,0.166901,0.197322,0.051886,0.1656,1.423163,0.277493,-0.687263,0.70173,0.182367,0.044584,0.141577,1.495435,0.31246,-0.779664,-0.58855,0.201904,-0.070479,0.138879,1.450466,0.29979,-0.314652,-0.930788,0.131349,-0.131814,0.067766,1.466274,0.27368,-0.427119,0.693151,-0.0847,-0.574402,0.117109,1.414444,0.274878,-0.413257,0.700416,-0.074308,-0.577161,0.090795,1.437855,0.275152,-0.490947,0.717426,-0.073524,-0.488738,0.048041,1.484221,0.273158,-0.427119,0.693151,-0.0847,-0.574402,11,0.159657,1.383125,0.26816,-0.687263,0.70173,0.182367,0.044584,19,Å,Dynamic,Right
1,2,0.044329,1.564792,0.017774,0.998462,0.0501,0.017902,0.015623,0.103128,1.474393,0.303007,-0.318851,-0.940058,-0.010443,-0.120484,0.113593,1.480284,0.261729,-0.959321,0.251569,0.125656,-0.02503,0.129009,1.418426,0.269899,-0.686402,0.702503,0.182764,0.044044,0.10317,1.499857,0.296317,-0.7856,-0.605735,0.077682,-0.099417,0.109024,1.459077,0.285149,-0.318851,-0.940058,-0.010443,-0.120484,0.120489,1.471266,0.312536,-0.337717,-0.938503,0.015055,-0.07023,0.137277,1.484601,0.26424,-0.971526,0.170681,0.163941,0.011381,0.146575,1.4196,0.273112,-0.686402,0.702503,0.182764,0.044044,0.122644,1.500197,0.305534,-0.778971,-0.605638,0.12607,-0.102534,0.124017,1.453121,0.292753,-0.337717,-0.938503,0.015055,-0.07023,0.148375,1.434,0.266015,-0.686402,0.702503,0.182764,0.044044,0.150069,1.467169,0.319006,-0.330077,-0.89699,0.244253,-0.163704,0.174108,1.473459,0.28919,-0.937079,0.190054,0.274236,0.10275,0.172412,1.42439,0.283273,-0.693861,0.623463,0.226841,0.279991,0.158303,1.487188,0.31506,-0.766581,-0.577188,0.277845,-0.044834,0.152274,1.450422,0.302258,-0.330077,-0.89699,0.244253,-0.163704,0.134642,1.468552,0.318355,-0.315356,-0.930594,0.1307,-0.132151,0.156651,1.481258,0.275243,-0.964479,0.167814,0.197479,0.051196,0.165378,1.423467,0.277022,-0.686402,0.702503,0.182764,0.044044,0.141285,1.495787,0.311814,-0.780103,-0.588018,0.201528,-0.071138,0.138642,1.450794,0.299219,-0.315356,-0.930594,0.1307,-0.132151,0.067496,1.466472,0.273135,-0.4258,0.69368,-0.084959,-0.574703,0.116897,1.414699,0.274433,-0.412146,0.700792,-0.074707,-0.577448,0.090559,1.438084,0.274666,-0.489782,0.717969,-0.073768,-0.489074,0.047743,1.484387,0.272572,-0.4258,0.69368,-0.084959,-0.574703,22,0.159473,1.3834,0.26779,-0.686402,0.702503,0.182764,0.044044,19,Å,Dynamic,Right
2,3,0.044524,1.565096,0.017969,0.998519,0.048768,0.018865,0.014995,0.102865,1.474611,0.302443,-0.319159,-0.939923,-0.011169,-0.120651,0.113317,1.480469,0.261165,-0.95916,0.252057,0.125764,-0.025745,0.128791,1.418646,0.269483,-0.685597,0.703215,0.18317,0.043527,0.102871,1.500069,0.295732,-0.785788,-0.605466,0.077174,-0.099966,0.108781,1.459289,0.284597,-0.319159,-0.939923,-0.011169,-0.120651,0.120232,1.471496,0.311968,-0.338029,-0.938381,0.01423,-0.070537,0.136996,1.484815,0.263669,-0.97145,0.17102,0.164095,0.01051,0.146357,1.419844,0.272693,-0.685597,0.703215,0.18317,0.043527,0.122337,1.500427,0.304947,-0.779078,-0.605492,0.125516,-0.103257,0.123792,1.453342,0.292199,-0.338029,-0.938381,0.01423,-0.070537,0.148142,1.434229,0.265562,-0.685597,0.703215,0.18317,0.043527,0.14981,1.467541,0.318462,-0.330861,-0.896777,0.243609,-0.164245,0.173836,1.473766,0.288647,-0.936832,0.191343,0.274446,0.102044,0.172188,1.424681,0.282843,-0.693259,0.624155,0.227485,0.279416,0.158023,1.487561,0.314476,-0.767142,-0.576521,0.277557,-0.045604,0.152038,1.450762,0.301749,-0.330861,-0.896777,0.243609,-0.164245,0.13438,1.468859,0.317799,-0.315884,-0.930457,0.13005,-0.132492,0.156373,1.481516,0.274681,-0.964347,0.168576,0.197646,0.05052,0.165155,1.423737,0.276594,-0.685597,0.703215,0.18317,0.043527,0.140989,1.496094,0.311224,-0.78042,-0.587643,0.201159,-0.071801,0.138404,1.45108,0.298687,-0.315884,-0.930457,0.13005,-0.132492,0.067215,1.466627,0.272648,-0.424534,0.694126,-0.085106,-0.57508,0.116683,1.414919,0.274027,-0.41109,0.701083,-0.074991,-0.57781,0.090319,1.438274,0.274229,-0.488671,0.718425,-0.073905,-0.489493,0.047433,1.484508,0.272052,-0.424534,0.694126,-0.085106,-0.57508,33,0.159289,1.383643,0.267455,-0.685597,0.703215,0.18317,0.043527,19,Å,Dynamic,Right
3,4,0.044704,1.565336,0.018172,0.998555,0.047865,0.019789,0.014316,0.102168,1.47508,0.302072,-0.319948,-0.939369,-0.010879,-0.12289,0.112802,1.480892,0.260833,-0.9587,0.252686,0.128011,-0.02564,0.12824,1.419081,0.269306,-0.684688,0.703594,0.184758,0.044976,0.102185,1.500529,0.295326,-0.785979,-0.60474,0.078643,-0.101692,0.108176,1.459731,0.284279,-0.319948,-0.939369,-0.010879,-0.12289,0.119487,1.472013,0.311685,-0.338804,-0.937927,0.014923,-0.072676,0.13647,1.485242,0.263437,-0.970918,0.171885,0.166308,0.010746,0.145791,1.420284,0.272594,-0.684688,0.703594,0.184758,0.044976,0.121624,1.50093,0.304619,-0.779358,-0.604527,0.127189,-0.104744,0.123136,1.453824,0.291964,-0.338804,-0.937927,0.014923,-0.072676,0.147609,1.434659,0.265451,-0.684688,0.703594,0.184758,0.044976,0.149033,1.468061,0.31832,-0.33124,-0.896043,0.244338,-0.166393,0.173197,1.474229,0.288596,-0.936047,0.191917,0.276606,0.102335,0.171576,1.425137,0.282855,-0.692308,0.624007,0.229255,0.280655,0.157271,1.48807,0.314332,-0.767087,-0.575637,0.279301,-0.047012,0.151328,1.451249,0.30165,-0.33124,-0.896043,0.244338,-0.166393,0.133601,1.46939,0.317599,-0.31684,-0.929719,0.1308,-0.134636,0.155797,1.481959,0.274541,-0.963743,0.169352,0.19985,0.050789,0.164571,1.424183,0.276575,-0.684688,0.703594,0.184758,0.044976,0.14025,1.496607,0.310988,-0.780694,-0.586502,0.202921,-0.073189,0.137701,1.451559,0.298551,-0.31684,-0.929719,0.1308,-0.134636,0.06662,1.467038,0.272129,-0.42401,0.695778,-0.084318,-0.573584,0.116111,1.41536,0.2738,-0.410752,0.702579,-0.074358,-0.576314,0.08974,1.438707,0.27386,-0.488085,0.719956,-0.072857,-0.487985,0.046829,1.484905,0.271417,-0.42401,0.695778,-0.084318,-0.573584,44,0.158747,1.384076,0.267466,-0.684688,0.703594,0.184758,0.044976,19,Å,Dynamic,Right
4,5,0.044872,1.565492,0.018379,0.99856,0.047455,0.020973,0.013662,0.10233,1.475261,0.302012,-0.319703,-0.939535,-0.010384,-0.122295,0.112937,1.481077,0.260768,-0.958821,0.252564,0.127454,-0.025088,0.128304,1.419244,0.269198,-0.684954,0.703521,0.183997,0.045174,0.102374,1.500713,0.295278,-0.785938,-0.604913,0.078733,-0.100913,0.108303,1.459916,0.284204,-0.319703,-0.939535,-0.010384,-0.122295,0.119655,1.472135,0.311602,-0.338467,-0.938089,0.015429,-0.072045,0.136612,1.485394,0.263354,-0.971074,0.171486,0.165767,0.01138,0.145859,1.420422,0.272468,-0.684954,0.703521,0.183997,0.045174,0.121822,1.501058,0.304567,-0.779142,-0.604927,0.127286,-0.103918,0.123263,1.453959,0.291863,-0.338467,-0.938089,0.015429,-0.072045,0.147687,1.434796,0.265329,-0.684954,0.703521,0.183997,0.045174,0.149202,1.468162,0.318215,-0.331242,-0.896039,0.244804,-0.165723,0.173346,1.474319,0.288476,-0.936156,0.191865,0.276064,0.102904,0.171657,1.425232,0.282706,-0.692417,0.624061,0.22847,0.280906,0.157459,1.488165,0.314233,-0.767036,-0.57575,0.279337,-0.046235,0.15146,1.451355,0.301534,-0.331242,-0.896039,0.244804,-0.165723,0.133772,1.469484,0.317498,-0.316451,-0.929878,0.131284,-0.133982,0.155944,1.48208,0.27444,-0.963896,0.168928,0.199316,0.05139,0.164646,1.424291,0.276432,-0.684954,0.703521,0.183997,0.045174,0.140446,1.496702,0.310917,-0.780423,-0.586946,0.202964,-0.072391,0.137836,1.45167,0.298426,-0.316451,-0.929878,0.131284,-0.133982,0.066762,1.467295,0.272105,-0.424243,0.69551,-0.084785,-0.573668,0.116175,1.415539,0.273706,-0.411383,0.702076,-0.075075,-0.576382,0.089845,1.438933,0.273809,-0.488455,0.719624,-0.073508,-0.488006,0.046986,1.485179,0.271409,-0.424243,0.69551,-0.084785,-0.573668,55,0.158762,1.384197,0.267303,-0.684954,0.703521,0.183997,0.045174,19,Å,Dynamic,Right
5,6,0.045062,1.565549,0.018594,0.998537,0.047485,0.02191,0.013734,0.102459,1.475428,0.30195,-0.319465,-0.939693,-0.009896,-0.121741,0.113043,1.48124,0.260702,-0.958911,0.252535,0.126938,-0.024538,0.128348,1.41939,0.269096,-0.685182,0.703466,0.183323,0.045336,0.102531,1.500883,0.295224,-0.785939,-0.60502,0.078847,-0.100169,0.1084,1.460089,0.284128,-0.319465,-0.939693,-0.009896,-0.121741,0.119793,1.472235,0.311516,-0.33812,-0.938251,0.015878,-0.071477,0.136725,1.485529,0.263272,-0.971229,0.171043,0.165273,0.011948,0.145909,1.420547,0.27235,-0.685182,0.703466,0.183323,0.045336,0.121986,1.501163,0.304514,-0.778885,-0.605369,0.127364,-0.103172,0.123364,1.454071,0.291759,-0.33812,-0.938251,0.015878,-0.071477,0.147744,1.434918,0.265212,-0.685182,0.703466,0.183323,0.045336,0.149339,1.468248,0.31811,-0.331216,-0.896055,0.245176,-0.165135,0.173466,1.474399,0.288359,-0.936262,0.191779,0.275589,0.103367,0.171717,1.425318,0.282565,-0.692508,0.62412,0.227777,0.281114,0.157612,1.488247,0.314136,-0.766955,-0.575911,0.279337,-0.045587,0.151567,1.451447,0.30142,-0.331216,-0.896055,0.245176,-0.165135,0.133914,1.469554,0.317391,-0.315926,-0.930085,0.131668,-0.133403,0.156062,1.482187,0.274341,-0.964055,0.168425,0.198838,0.0519,0.1647,1.424388,0.276296,-0.685182,0.703466,0.183323,0.045336,0.140604,1.496778,0.310849,-0.780056,-0.587515,0.20297,-0.071709,0.137948,1.451763,0.298292,-0.315926,-0.930085,0.131668,-0.133403,0.066884,1.467532,0.27208,-0.424374,0.69531,-0.085244,-0.573746,0.116221,1.415701,0.27362,-0.411953,0.701618,-0.075814,-0.576437,0.089932,1.43914,0.27376,-0.488767,0.719337,-0.074175,-0.488015,0.04712,1.485431,0.271395,-0.424374,0.69531,-0.085244,-0.573746,67,0.158764,1.384306,0.267151,-0.685182,0.703466,0.183323,0.045336,19,Å,Dynamic,Right
6,7,0.045267,1.565593,0.018788,0.998507,0.047643,0.022708,0.014087,0.102562,1.475585,0.301886,-0.319236,-0.939843,-0.009418,-0.121223,0.113125,1.481386,0.260635,-0.958978,0.252577,0.126456,-0.023994,0.128377,1.419522,0.269,-0.685378,0.703423,0.182718,0.045469,0.102662,1.50104,0.295165,-0.785973,-0.605076,0.078977,-0.09946,0.108472,1.460249,0.28405,-0.319236,-0.939843,-0.009418,-0.121223,0.119905,1.472317,0.311427,-0.337768,-0.93841,0.01628,-0.070959,0.136813,1.485651,0.26319,-0.971383,0.170571,0.164819,0.012462,0.145943,1.42066,0.272239,-0.685378,0.703423,0.182718,0.045469,0.122121,1.501252,0.30446,-0.778599,-0.60584,0.127428,-0.102494,0.123443,1.454165,0.291652,-0.337768,-0.93841,0.01628,-0.070959,0.147784,1.435027,0.265099,-0.685378,0.703423,0.182718,0.045469,0.149451,1.468323,0.318005,-0.331173,-0.896086,0.245473,-0.164612,0.173561,1.474473,0.288246,-0.936366,0.191671,0.275169,0.103746,0.171759,1.425395,0.282432,-0.692585,0.624182,0.227158,0.281288,0.157735,1.488319,0.314041,-0.766851,-0.576104,0.27931,-0.04504,0.151653,1.451528,0.301306,-0.331173,-0.896086,0.245473,-0.164612,0.134032,1.469605,0.317279,-0.3153,-0.930328,0.131974,-0.132884,0.156155,1.482284,0.274243,-0.964218,0.167865,0.198407,0.052336,0.164737,1.424476,0.276167,-0.685378,0.703423,0.182718,0.045469,0.140734,1.496837,0.310781,-0.779617,-0.588176,0.202949,-0.071122,0.138041,1.451841,0.29815,-0.3153,-0.930328,0.131974,-0.132884,0.066988,1.467752,0.272053,-0.424424,0.695163,-0.085694,-0.57382,0.116252,1.415848,0.273541,-0.412471,0.701196,-0.076565,-0.576481,0.090002,1.439331,0.273715,-0.489031,0.719088,-0.07485,-0.488016,0.047236,1.485663,0.271375,-0.424424,0.695163,-0.085694,-0.57382,78,0.158754,1.384403,0.267009,-0.685378,0.703423,0.182718,0.045469,19,Å,Dynamic,Right
7,8,0.045445,1.565589,0.019,0.998455,0.048263,0.023646,0.014147,0.102966,1.475828,0.300655,-0.321306,-0.939118,-0.008291,-0.121455,0.113598,1.481446,0.2594,-0.958431,0.254595,0.12675,-0.022908,0.128681,1.419577,0.268048,-0.683673,0.705097,0.182411,0.046433,0.103136,1.501258,0.29384,-0.787156,-0.60346,0.080038,-0.099075,0.108863,1.460405,0.28289,-0.321306,-0.939118,-0.008291,-0.121455,0.120292,1.472535,0.310229,-0.339513,-0.937735,0.017323,-0.071307,0.137293,1.485662,0.26197,-0.970945,0.172485,0.165346,0.013259,0.146244,1.420684,0.271308,-0.683673,0.705097,0.182411,0.046433,0.122575,1.501442,0.303163,-0.779672,-0.604276,0.128387,-0.10237,0.123822,1.454306,0.290524,-0.339513,-0.937735,0.017323,-0.071307,0.148133,1.435019,0.264113,-0.683673,0.705097,0.182411,0.046433,0.149818,1.4685,0.316854,-0.332408,-0.895262,0.246258,-0.165436,0.173978,1.4745,0.287126,-0.935708,0.19355,0.275863,0.104353,0.172059,1.425402,0.281521,-0.690722,0.625761,0.227464,0.282109,0.158141,1.48847,0.312847,-0.767467,-0.574752,0.280363,-0.045298,0.152019,1.451652,0.300208,-0.332408,-0.895262,0.246258,-0.165436,0.134405,1.469818,0.316107,-0.317073,-0.929511,0.132865,-0.133495,0.15661,1.482294,0.273065,-0.963704,0.16984,0.199037,0.053036,0.165044,1.424473,0.27525,-0.683673,0.705097,0.182411,0.046433,0.141165,1.497015,0.309526,-0.780536,-0.586603,0.203943,-0.071195,0.138406,1.451974,0.29705,-0.317073,-0.929511,0.132865,-0.133495,0.067369,1.467935,0.270774,-0.422902,0.696892,-0.086796,-0.57268,0.116539,1.41595,0.272581,-0.411675,0.702454,-0.078176,-0.575301,0.090338,1.439489,0.272613,-0.487796,0.720654,-0.075992,-0.486763,0.047627,1.485852,0.269959,-0.422902,0.696892,-0.086796,-0.57268,89,0.158973,1.384377,0.266256,-0.683673,0.705097,0.182411,0.046433,19,Å,Dynamic,Right
8,9,0.045615,1.565574,0.019171,0.998421,0.048677,0.024235,0.014105,0.10333,1.476046,0.299516,-0.323191,-0.938453,-0.007253,-0.121657,0.114022,1.481496,0.258258,-0.95793,0.256435,0.12701,-0.021906,0.128951,1.419625,0.267166,-0.682099,0.706633,0.182132,0.047306,0.103563,1.501453,0.292616,-0.788222,-0.601996,0.081009,-0.098713,0.109214,1.460545,0.281815,-0.323191,-0.938453,-0.007253,-0.121657,0.120641,1.472727,0.309118,-0.341065,-0.937129,0.018239,-0.071635,0.137724,1.485668,0.260842,-0.970549,0.174187,0.165828,0.013954,0.146511,1.420705,0.270447,-0.682099,0.706633,0.182132,0.047306,0.122982,1.501607,0.301966,-0.780615,-0.60289,0.129238,-0.102282,0.124164,1.454428,0.289476,-0.341065,-0.937129,0.018239,-0.071635,0.148445,1.43501,0.263201,-0.682099,0.706633,0.182132,0.047306,0.150148,1.468653,0.315786,-0.333435,-0.894552,0.246929,-0.166206,0.174351,1.474522,0.28609,-0.935114,0.195211,0.276505,0.104877,0.172327,1.425408,0.280677,-0.689007,0.627213,0.227748,0.282849,0.158504,1.488603,0.311744,-0.767961,-0.573611,0.281298,-0.045576,0.152351,1.451761,0.299184,-0.333435,-0.894552,0.246929,-0.166206,0.13474,1.470004,0.315018,-0.318632,-0.928785,0.133634,-0.134066,0.157019,1.482301,0.271976,-0.963239,0.171601,0.199618,0.053636,0.165317,1.42447,0.274401,-0.682099,0.706633,0.182132,0.047306,0.141552,1.497171,0.308366,-0.781323,-0.585235,0.204822,-0.0713,0.138737,1.452091,0.296026,-0.318632,-0.928785,0.133634,-0.134066,0.067705,1.468094,0.269587,-0.421388,0.698542,-0.087725,-0.571643,0.116793,1.416041,0.271692,-0.410921,0.703619,-0.07963,-0.574216,0.090637,1.439629,0.271592,-0.48661,0.722122,-0.076992,-0.485616,0.047968,1.486009,0.268641,-0.421388,0.698542,-0.087725,-0.571643,100,0.159166,1.384352,0.265559,-0.682099,0.706633,0.182132,0.047306,19,Å,Dynamic,Right
9,10,0.045767,1.565469,0.019328,0.998384,0.049243,0.024545,0.014256,0.10336,1.476532,0.299207,-0.324127,-0.938066,-0.006081,-0.122219,0.114142,1.481892,0.257961,-0.957618,0.257374,0.127647,-0.020785,0.128914,1.42,0.266984,-0.681364,0.707284,0.182015,0.048608,0.103658,1.501927,0.292266,-0.788732,-0.60118,0.082297,-0.09855,0.109246,1.460988,0.281543,-0.324127,-0.938066,-0.006081,-0.122219,0.120642,1.47321,0.308846,-0.341967,-0.936734,0.019671,-0.072116,0.137849,1.486015,0.260584,-0.970201,0.175336,0.16654,0.015203,0.146471,1.421046,0.270298,-0.681364,0.707284,0.182015,0.048608,0.123069,1.502072,0.301648,-0.781144,-0.60195,0.130641,-0.101994,0.124157,1.454868,0.289244,-0.341967,-0.936734,0.019671,-0.072116,0.148451,1.435336,0.263036,-0.681364,0.707284,0.182015,0.048608,0.15013,1.469051,0.315575,-0.33386,-0.893942,0.248098,-0.166892,0.174402,1.474823,0.285916,-0.934593,0.196096,0.27724,0.105923,0.172278,1.425705,0.280571,-0.688022,0.627698,0.227897,0.284051,0.158539,1.488976,0.311521,-0.768154,-0.572703,0.282639,-0.04545,0.152332,1.452136,0.298997,-0.33386,-0.893942,0.248098,-0.166892,0.134726,1.47045,0.314783,-0.31961,-0.928177,0.134899,-0.13468,0.157115,1.48262,0.271759,-0.962839,0.172617,0.200378,0.054712,0.165278,1.424774,0.274283,-0.681364,0.707284,0.182015,0.048608,0.141613,1.497589,0.308094,-0.78175,-0.584212,0.206161,-0.071137,0.138715,1.452488,0.295835,-0.31961,-0.928177,0.134899,-0.13468,0.067775,1.468611,0.269204,-0.42176,0.699274,-0.088629,-0.570333,0.11674,1.416449,0.271492,-0.411116,0.704449,-0.080438,-0.572944,0.090638,1.440096,0.271301,-0.486694,0.722915,-0.077678,-0.484241,0.048088,1.486577,0.268195,-0.42176,0.699274,-0.088629,-0.570333,111,0.159053,1.384657,0.265487,-0.681364,0.707284,0.182015,0.048608,19,Å,Dynamic,Right
